[00:00:09.483 --> 00:00:15.665]  It is July 30th, 2017 on this Sunday, live global transmission.
[00:08:11.400 --> 00:08:14.763]  I'm going to try to change this and kind of stick it off on a side YouTube channel.
[00:08:14.763 --> 00:08:17.144]  For whatever reason, I think they're very, very, very powerful.
[00:08:17.144 --> 00:08:19.606]  So we're going to get this posted to Facebook as well.
[00:08:19.606 --> 00:08:23.749]  I'm going to go to InfoWars.com and tweak that out in the next 20 minutes at Real Alex Jones.
[00:08:25.074 --> 00:08:31.097]  Also we have the Obamacare repeal failure, which they're saying is a failure of Trump.
[00:08:31.097 --> 00:08:33.078]  It's called Obamacare.
[00:08:33.078 --> 00:08:35.039]  Trump didn't create it.
[00:08:35.039 --> 00:08:44.403]  Trump now has a good bill to repeal and replace it with something that won't bankrupt the country, it won't double and triple your prices, and that takes care of people that aren't covered.
[00:08:44.403 --> 00:08:47.145]  And Rand Paul has said it's the best plan out there.
[00:08:47.145 --> 00:08:51.847]  And that Obamacare will kill our economy if we don't get rid of it.
[00:08:51.847 --> 00:08:53.528]  Trump isn't the one that did Obamacare.
[00:08:54.226 --> 00:08:58.208]  The globalists are the ones that engage in this activity.
[00:08:58.208 --> 00:09:03.451]  So the way they spin it, National Review, that it's the death of an effing salesman is the headline.
[00:09:03.451 --> 00:09:14.438]  One of the top articles on the web today from the losers at National Review, you know, the never Trumpers who are betting against America and this recovery and openly saying Trump's been a loser his whole life.
[00:09:14.918 --> 00:09:18.560]  The guy came from nowhere from behind and won this presidency.
[00:09:18.560 --> 00:09:21.021]  That alone is historic and a total winner move.
[00:09:21.021 --> 00:09:23.122]  Everything else he's done has been a total winner move.
[00:09:23.122 --> 00:09:24.983]  He's had 400 and something companies.
[00:09:24.983 --> 00:09:27.244]  Four of them have gone bankrupt.
[00:09:27.244 --> 00:09:29.926]  Most new companies, 70% or more, go bankrupt.
[00:09:29.926 --> 00:09:37.550]  I'm going to break all that down, too, because they're just beating the drum that he's way down in the polls, just like they said during the election, with fake polls.
[00:09:37.550 --> 00:09:41.052]  You know MSN was more fake than ever, but first, here is an extremely
[00:09:41.966 --> 00:09:48.411]  Important report, the full video is on InfoWars.com that focuses on the new nuke threat, the fact that the U.S.
[00:09:48.411 --> 00:09:53.354]  from Austin, Texas to Chicago, Illinois is now in ICBM nuke range.
[00:09:53.354 --> 00:09:55.236]  But who gave them the nukes?
[00:09:55.236 --> 00:09:59.779]  Spies inside America who've been identified at the highest levels of the government.
[00:09:59.779 --> 00:10:03.642]  Here is the report with myself and of course put together by Michael Zimmerman.
[00:10:04.451 --> 00:10:06.333]  Breaking developments involving North Korea.
[00:10:06.333 --> 00:10:13.859]  Tonight they have launched an intercontinental ballistic missile and this evening experts now saying that this missile went higher and further than before.
[00:10:13.859 --> 00:10:18.963]  Kim Jong-un claims they are now able to hit the entire United States at any time.
[00:10:18.963 --> 00:10:19.804]  Are we in range?
[00:10:20.564 --> 00:10:21.364]  Is it that simple?
[00:10:21.364 --> 00:10:22.725]  Yeah, we probably are.
[00:10:22.725 --> 00:10:25.466]  And if we're not, we will be in range in a month or two.
[00:10:25.466 --> 00:10:29.247]  It looks like this thing can go about 10,000 kilometers.
[00:10:29.247 --> 00:10:33.529]  That means, from North Korea, they could hit most of the United States.
[00:10:33.529 --> 00:10:34.709]  So they've finally done it.
[00:10:34.709 --> 00:10:42.632]  The world is in shock after yesterday's successful launch of an ICBM by North Korea's dictator, Kim Jong-un.
[00:10:43.252 --> 00:10:46.796]  He had previously threatened that he had missiles that were able to hit the U.S.
[00:10:46.796 --> 00:10:49.439]  mainland, including places like Chicago.
[00:10:49.439 --> 00:11:02.052]  And now NASA, as well as Japanese authorities, have looked at the trajectory of yesterday's test missile and confirmed it can hit most of the United States and maybe even New York City, all the way on the East Coast.
[00:11:02.752 --> 00:11:10.237]  On top of all of this, Kim Jong-un is now threatening to nuke the United States, as well as attacking U.S.
[00:11:10.237 --> 00:11:14.019]  Carrier Task Force strike groups that are in the Pacific Ocean.
[00:11:14.019 --> 00:11:21.424]  We're here in Hawaii, which had previously been the closest area of the United States that Kim Jong-un had proven that he could.
[00:11:22.104 --> 00:11:39.737]  Now we're about to drive to the other side of the island to show you the United States Pacific Missile Defense Center that has supersonic interceptor missiles able to shoot down not just Kim Jong-un's ICBMs, but also Russia's and China's.
[00:11:39.737 --> 00:11:40.458]  Intruder alert!
[00:11:40.458 --> 00:11:42.039]  Evacuate bridge!
[00:11:42.039 --> 00:11:45.982]  We have one life support failure in 10 seconds.
[00:11:45.982 --> 00:11:48.904]  This is emergency transmission.
[00:11:52.993 --> 00:11:57.701]  If you are receiving this transmission, you are the resistance.
[00:11:57.701 --> 00:12:02.949]  These people are coming for everybody!
[00:12:05.253 --> 00:12:08.175]  We're here at the Pacific Missile Range.
[00:12:08.175 --> 00:12:15.299]  This is the furthest western island, major inhabited island, of the Hawaiian chain, Kauai.
[00:12:15.299 --> 00:12:20.642]  And on the western edge of this, we are standing on the furthest western piece of U.S.
[00:12:20.642 --> 00:12:21.742]  territory.
[00:12:21.742 --> 00:12:25.004]  Just a few thousand miles away is the island of Japan.
[00:12:25.004 --> 00:12:29.267]  And then, of course, North Korea is just southwest of there.
[00:12:29.987 --> 00:12:42.015]  North Korea now has long-range missiles, reportedly, that can hit areas of Alaska and Hawaii, and that are reportedly trained on the island of Kauai, where we're standing here today.
[00:12:42.015 --> 00:12:53.803]  Incredibly fast interceptor missiles, anti-missile missiles, can be fired from this facility at, reportedly, over Mach 5.
[00:12:53.803 --> 00:12:55.764]  Of course, a lot of their speeds are classified.
[00:12:55.764 --> 00:12:58.766]  Some estimations are they have missiles that can go Mach 6, Mach 7.
[00:12:59.887 --> 00:13:04.649]  And then go up and intercept an ICBM or other missile fired from North Korea.
[00:13:04.649 --> 00:13:08.131]  Now, of course, there's also nuclear weapons clearly stationed here.
[00:13:08.131 --> 00:13:14.613]  And down the road, there are missile silos that can fire ICBMs and other systems.
[00:13:14.613 --> 00:13:23.097]  So this is one of the main missile bases protecting the United States, not just from North Korea, but also from Russia and the big threat, Communist China.
[00:13:23.097 --> 00:13:27.839]  And that's why it makes me so angry to see the Clintons calling Trump a traitor.
[00:13:28.559 --> 00:13:32.723]  And saying that he somehow has violated our national security law is made-up crap.
[00:13:32.723 --> 00:13:48.656]  When it's the Clintons in the mid-1990s that transferred, via Laurel and Hughes, the entire system for long-range ICBMs and helped the Communist Chinese get their Long March off the ground and into space and then back into re-entry with the MIRV technology.
[00:13:48.656 --> 00:13:55.622]  So from the launch technology, the guidance, to the re-entry devices, to warhead miniaturization, our government, under the Clintons,
[00:13:55.742 --> 00:13:56.242]  I don't know.
[00:14:12.350 --> 00:14:15.131]  This is the true real world treason.
[00:14:15.131 --> 00:14:17.191]  And there is no statute of limitations on that.
[00:14:17.191 --> 00:14:22.573]  And that's why Attorney General Sessions needs to go after them for the real crimes they've committed.
[00:14:22.573 --> 00:14:29.975]  As a father of four children, as someone who loves my family but also loves being alive and loves living in a free country, it makes me sick.
[00:14:30.655 --> 00:14:46.550]  To see this leftover of the communist era, this failure, this little pig-like, goblin-like demon, this little nobody, this man-child with nuclear weapons and missiles to deliver them because of the globalists, because of Bill and Hillary Clinton.
[00:14:46.550 --> 00:14:50.854]  Even mainstream media admits they literally are responsible for all of it.
[00:14:51.394 --> 00:14:54.576]  These people are a plague upon our country.
[00:14:54.576 --> 00:14:56.777]  They have sold us out to everyone.
[00:14:56.777 --> 00:15:02.020]  They have sold us out to every authoritarian they could because they have kinship with other authoritarians.
[00:15:02.020 --> 00:15:03.101]  It's their spirit.
[00:15:03.101 --> 00:15:04.321]  They hate America.
[00:15:04.321 --> 00:15:05.182]  They hate Christians.
[00:15:05.182 --> 00:15:06.383]  They hate bitter clingers.
[00:15:06.383 --> 00:15:08.304]  They hate flyover country.
[00:15:08.304 --> 00:15:13.527]  And now our entire nation and the world is in danger of thermal nuclear war because of their evil.
[00:15:14.267 --> 00:15:25.876]  And MSM is somehow blaming Trump for what's happening with Kim Jong-un, a third-generation dictator now threatening to preemptively strike the United States and pushing Trump to move in the next few months.
[00:15:25.876 --> 00:15:32.341]  And I'm betting Trump will move against North Korea because we have no other choice.
[00:15:32.341 --> 00:15:37.345]  Now that report came out yesterday from here in Hawaii and
[00:15:38.732 --> 00:15:41.453]  Since the North Korean dictator has threatened to nuke the U.S.
[00:15:41.453 --> 00:15:46.515]  again, threatened serious retaliation, he has a gun pointed at us.
[00:15:46.515 --> 00:15:50.276]  And the left is just cheering and saying, look, Trump's not doing anything.
[00:15:50.276 --> 00:15:53.017]  As usual, they're cheering for whoever hates the country.
[00:15:53.017 --> 00:15:55.378]  I mean, these people are just pure scum.
[00:15:55.378 --> 00:15:58.519]  We'll be back with the move to make you take microchips to buy and sell.
[00:15:58.519 --> 00:15:59.179]  It's now official.
[00:16:00.131 --> 00:16:03.152]  They use their media to assassinate real news.
[00:16:03.152 --> 00:16:07.353]  They use their schools to teach children that their president is another Hitler.
[00:16:07.353 --> 00:16:14.035]  They use their movie stars and singers and comedy shows and award shows to repeat their narrative over and over again.
[00:16:14.035 --> 00:16:17.796]  And then they use their ex-president to endorse the resistance.
[00:16:18.516 --> 00:16:38.002]  All to make them march, make them protest, make them scream racism and sexism and xenophobia and homophobia, to smash windows, burn cars, shut down interstates and airports, bully and terrorize the law-abiding, until the only option left is for the police to do their jobs and stop the madness.
[00:16:38.562 --> 00:16:42.686]  And when that happens, they'll use it as an excuse for their outrage.
[00:16:42.686 --> 00:16:53.938]  The only way we stop this, the only way we save our country and our freedom, is to fight this violence of lies with a clenched fist of truth.
[00:16:53.938 --> 00:16:59.043]  I'm the National Rifle Association of America, and I'm freedom's safest place.
[00:16:59.904 --> 00:17:06.408]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[00:17:06.408 --> 00:17:19.397]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[00:17:19.397 --> 00:17:23.060]  They took the good halogen out and put the deadly halogen in.
[00:17:23.060 --> 00:17:29.644]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family
[00:17:30.024 --> 00:17:42.894]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[00:17:42.894 --> 00:17:44.755]  You can pull these studies up for yourself.
[00:17:44.755 --> 00:17:51.140]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[00:17:51.140 --> 00:17:56.064]  Stock up on Survival Shield X2 today at InfoWarsLife.com or by calling 888-253-3139.
[00:18:01.024 --> 00:18:02.905]  It's not just our water we need to filter.
[00:18:02.905 --> 00:18:04.925]  It's not just our food that needs to be cleaned.
[00:18:04.925 --> 00:18:07.847]  It's the air we're breathing, especially for our children.
[00:18:07.847 --> 00:18:13.909]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:18:13.909 --> 00:18:23.092]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed Alexa Pure Breathe.
[00:18:23.092 --> 00:18:27.954]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children.
[00:18:28.174 --> 00:18:30.619]  Do the best job you can to purify your air.
[00:18:30.619 --> 00:18:38.674]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[00:18:38.674 --> 00:18:39.756]  The general public doesn't.
[00:18:40.832 --> 00:18:44.773]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[00:18:44.773 --> 00:18:48.334]  One of these systems can keep 800 square feet incredibly clean.
[00:18:48.334 --> 00:18:55.056]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:18:55.056 --> 00:18:59.137]  Find out why this system is so revolutionary today at m4warstore.com.
[00:19:02.614 --> 00:19:06.436]  MycoZx is back in after five plus months sold out.
[00:19:06.436 --> 00:19:07.937]  Talk about next level probiotic.
[00:19:07.937 --> 00:19:09.637]  It's the anti-fungus, anti-yeast.
[00:19:09.637 --> 00:19:12.079]  Latest technology of 4.8 stars.
[00:19:12.079 --> 00:19:13.279]  It's been sold out for months.
[00:19:13.279 --> 00:19:14.160]  Big waiting list.
[00:19:14.160 --> 00:19:18.002]  Limited amount because it's so hard to get the compounds and to have it be California standards.
[00:19:18.002 --> 00:19:18.862]  Nobody's got something this
[00:19:18.922 --> 00:19:19.583]  We're good to go.
[00:19:40.685 --> 00:19:42.446]  10% off when you choose auto ship.
[00:19:42.446 --> 00:19:48.328]  It's kind of embarrassing to get family and crew members on that, you know, have terrible bowel and Crohn's type stuff that didn't exist years ago.
[00:19:48.328 --> 00:19:48.908]  Now it's epidemic.
[00:19:48.908 --> 00:19:51.870]  But I'm getting ready to have a bunch of folks go ahead and come on air and tell you what it did for them.
[00:19:51.870 --> 00:19:54.271]  Because regardless, you can't lose your fun in the operation.
[00:19:54.271 --> 00:19:56.592]  Infowarslife.com, infowarsstore.com, or 888-253-3139.
[00:19:56.592 --> 00:19:57.892]  You're listening to the Alex Jones Show.
[00:20:15.182 --> 00:20:22.064]  The globalists' great error is to believe that as they collapse humanity, they end up on top.
[00:20:22.064 --> 00:20:30.867]  The truth is, humanity is coming down fast, but we're miles above them, on our journey to hell.
[00:20:30.867 --> 00:20:33.548]  You're listening to the Alex Jones Show.
[00:20:43.208 --> 00:20:54.213]  Now, I remember being on air 20 years ago, and they had Pentagon studies going on to put brain chips in troops for PTSD.
[00:20:54.213 --> 00:20:57.895]  But it wasn't anything but MIT-type publications.
[00:20:57.895 --> 00:21:06.880]  Now, if you go back about five years ago, there's headlines in the Daily Mail and the New York Times of microchips in the brains of troops may help with PTSD.
[00:21:07.930 --> 00:21:10.271]  And then my dad's brother was in a motorcycle accident.
[00:21:10.271 --> 00:21:15.854]  He's got a chip that goes up from his neck into his brain whenever he starts to have seizures.
[00:21:15.854 --> 00:21:17.495]  It can kill the seizures.
[00:21:17.495 --> 00:21:19.136]  There's a lot of great things about technology.
[00:21:19.136 --> 00:21:23.998]  There's a lot of great things about so-called cell phones or smartphones.
[00:21:23.998 --> 00:21:28.160]  But it's the Trojan horse stuff that's built into them that's the problem.
[00:21:28.160 --> 00:21:30.301]  So I would try to have debates about that.
[00:21:30.301 --> 00:21:34.043]  Just like I did about animal-human cloning and chimeras.
[00:21:35.560 --> 00:21:37.201]  It's the same thing with child pornography.
[00:21:37.201 --> 00:21:43.163]  Child pornography is illegal, but then they have the images of children being raped, and they're saying that's legal.
[00:21:43.163 --> 00:21:47.905]  Well, animals have rights, humans have rights, what about the human animal chimeras?
[00:21:47.905 --> 00:21:51.887]  And you notice the media just makes jokes and says, I'm insane, it doesn't exist.
[00:21:53.114 --> 00:21:54.716]  Because they don't want to have a debate about this now.
[00:21:54.716 --> 00:22:08.472]  They want to culturally through movies and predictive programming, everybody conditioned to accept it, ridicule it ahead of time so that people still are conditioned not to ridicule it, just accept it when it's rolled out.
[00:22:10.202 --> 00:22:12.203]  The sperm counts have dropped globally 60%.
[00:22:12.203 --> 00:22:13.843]  In the West, it's almost 90%.
[00:22:13.843 --> 00:22:19.325]  So you'll have to go get a designer baby made because you can't have a child, which won't even be a real human.
[00:22:19.325 --> 00:22:21.145]  It'll be a humanoid.
[00:22:21.145 --> 00:22:25.766]  These new embryos that have five parents, or it's the new trendy thing to say, oh, we're feminist.
[00:22:25.766 --> 00:22:27.007]  We're two lesbians.
[00:22:27.007 --> 00:22:29.287]  We're having a baby together with our genetics.
[00:22:29.287 --> 00:22:30.448]  That's not even a human.
[00:22:30.448 --> 00:22:32.488]  Like two men together isn't a human.
[00:22:32.488 --> 00:22:33.909]  The genome doesn't even work that way.
[00:22:33.909 --> 00:22:34.589]  It's a humanoid.
[00:22:35.657 --> 00:22:38.099]  They're trying to legalize bringing those to term.
[00:22:38.099 --> 00:22:40.540]  And we're supposed to accept it because it's liberal.
[00:22:40.540 --> 00:22:43.522]  Kind of like paying for somebody's sex change because it's liberal.
[00:22:43.522 --> 00:22:46.304]  No, it's meant to disrupt society.
[00:22:46.304 --> 00:23:03.315]  So, I told people 20 years ago, hey, it's in establishment social engineering publications that they're even doing the whole body modification movement, and I'm not criticizing your body modification, this is what they said, to prepare the public to accept microchipping.
[00:23:04.653 --> 00:23:06.915]  So it's been going on in the military for a long time.
[00:23:06.915 --> 00:23:17.444]  Then it expanded into places like Mexico, Venezuela, other areas for people that are in the Attorney General's offices or that can be kidnapped.
[00:23:17.444 --> 00:23:24.470]  And it's the basic verichip, digital angel type deal that can be read just like a chip, you know, in your dog or cat's back.
[00:23:25.831 --> 00:23:28.574]  Those are 20, 30-year-old technology.
[00:23:28.574 --> 00:23:40.565]  Well, now they've got firms all over the world, nightclubs, Baja Beach Club in Florida, and companies over in Europe that are saying, if you want to work here, you've got to take a microchip.
[00:23:40.565 --> 00:23:44.808]  But at first, we just incentivize it and pay for it and give you raises.
[00:23:44.808 --> 00:23:45.789]  It's always a party.
[00:23:45.789 --> 00:23:46.870]  It's always fun.
[00:23:46.870 --> 00:23:48.952]  That's the allegory.
[00:23:50.954 --> 00:23:58.050]  Pinocchio where they first break some things and have fun and have a party and then they all get loaded on slave ships and turn into jackasses.
[00:23:58.050 --> 00:23:59.994]  An analogy of don't be a jackass, don't be a fool.
[00:24:00.956 --> 00:24:05.738]  Well, this company, 3Square, is a marketing company with 85 employees.
[00:24:05.738 --> 00:24:09.320]  50 of them decided to take the chip and be at the chip party.
[00:24:09.320 --> 00:24:12.462]  They've got lots of little fun puns.
[00:24:12.462 --> 00:24:21.946]  And again, these are people being paid by the major companies, a particular one in Stockholm, Sweden, can't make that up, to take the chip and be part of the conditioning of the public to accept it.
[00:24:21.946 --> 00:24:29.050]  So now, everything I told you word for word of how they would roll it out and condition you 20 years ago is now fact.
[00:24:29.730 --> 00:24:37.037]  We'll play the report and then I'm going to come back and get into the next level, what's coming after they get you to accept this.
[00:24:37.037 --> 00:24:43.463]  The Cashless Society, total surveillance, total control, one world government in their own words.
[00:24:43.463 --> 00:24:44.765]  So see we're right again.
[00:24:46.468 --> 00:24:52.034]  A woman in Australia is now a combo of Darth Vader and the Terminator, thanks to some special implants.
[00:24:52.034 --> 00:24:54.476]  Here's an x-ray of her hands.
[00:24:54.476 --> 00:24:56.338]  Those circles are microchips.
[00:24:56.338 --> 00:25:00.542]  They allow her to unlock doors without using a key.
[00:25:00.542 --> 00:25:02.604]  Kind of like the Force.
[00:25:02.604 --> 00:25:05.988]  She can also access her computer without a password.
[00:25:08.418 --> 00:25:10.099]  Problem solved.
[00:25:10.099 --> 00:25:16.424]  Many things start off with the best of intentions, but sometimes intentions turn.
[00:25:16.424 --> 00:25:21.168]  We've survived thousands of years as a species without being microchipped.
[00:25:21.168 --> 00:25:23.310]  Is there any particular need to do it now?
[00:25:23.310 --> 00:25:30.636]  Approximately 50 employees at Three Square Market, a vending machine technology company based in River Falls, Wisconsin,
[00:25:30.836 --> 00:25:43.063]  ...have decided to ignore the Book of Revelation's eugenics, the existence of the New World Order, and common sense to gleefully act as guinea pigs for the acceptance of microchip technology.
[00:25:43.063 --> 00:25:50.767]  CNET proudly reports, employees of ThreeSquare won't have to worry about forgetting their employee ID cards at home anymore.
[00:25:51.087 --> 00:26:00.216]  Starting next month, a voluntary program will offer company employees the chance to get an RFID chip implanted in their hands.
[00:26:00.216 --> 00:26:15.531]  The tiny chips will use NFC near-field communication technology to allow employees to unlock doors, make vending machine purchases, log into computers, and access office tools like photocopiers, all with the wave of the hand.
[00:26:15.811 --> 00:26:18.914]  What did the employees say when you brought this idea to them?
[00:26:18.914 --> 00:26:21.878]  Half of them actually within five seconds says yes.
[00:26:21.878 --> 00:26:36.453]  What CNET doesn't tell you is that how long before one of the female employees has a chip implanted resulting in a terminated pregnancy or employees are remotely vaccinated in order to test eugenicist Bill Gates' goals.
[00:26:36.773 --> 00:26:41.260]  But that's called the death panel and you're not supposed to have that discussion.
[00:26:41.260 --> 00:26:45.266]  This equation has four factors, a little bit of multiplication.
[00:26:45.266 --> 00:26:49.031]  So you've got a thing on the left, CO2, that you want to get to zero.
