[00:00:10.265 --> 00:00:10.766]  News.
[00:05:29.070 --> 00:05:39.697]  It is such a pleasure that they want to destroy us, and they can't because you support us, and you pray for us, and you spread the articles, and you buy the products, and you just absolutely are committed.
[00:05:40.717 --> 00:05:41.398]  Oh, you're awesome.
[00:05:41.458 --> 00:05:45.661]  It's just unbelievable how we rub at their faces and how our will's stronger than theirs.
[00:05:50.707 --> 00:05:58.729]  Ladies and gentlemen, we had to end the super male vitality, super female vitality, the X2 and the brain force because...
[00:06:00.205 --> 00:06:00.905]  They're selling out.
[00:06:01.326 --> 00:06:05.207]  And I don't like to just do discounts so good that we're sold out for a month or two before more comes in.
[00:06:05.227 --> 00:06:06.448]  There's a limited supply left.
[00:06:06.468 --> 00:06:08.549]  Sign up for auto ship, conditional 10% off.
[00:06:08.589 --> 00:06:11.110]  But now, we only do this a few times a year.
[00:06:11.130 --> 00:06:12.991]  66% off Silver Bullet.
[00:06:13.351 --> 00:06:15.872]  It's 24 bucks in stores for the very same little silver.
[00:06:16.112 --> 00:06:19.694]  We just private label it from the big national top manufacturer, 30 parts per million.
[00:06:19.714 --> 00:06:20.414]  66% off retail. $9.95.
[00:06:25.506 --> 00:06:27.188]  Strawberry Caveman just got in.
[00:06:27.208 --> 00:06:28.349]  25% off.
[00:06:29.670 --> 00:06:31.952]  Caveman Combo with chocolate and strawberry.
[00:06:31.972 --> 00:06:32.853]  25% off.
[00:06:33.614 --> 00:06:34.915]  Super Silver Special.
[00:06:35.015 --> 00:06:40.520]  Silver Bullet, Ployol Silver, Super Blue Toothpaste, Ployol Silver, Fluoride Free, and Ionize.
[00:06:41.041 --> 00:06:47.407]  Power Toothbrush, which is an amazing, amazing, amazing electric toothbrush that has impregnated silver in it as well.
[00:06:47.427 --> 00:06:49.449]  50% off retail.
[00:06:49.489 --> 00:06:50.650]  That's almost a loss leader.
[00:06:51.130 --> 00:06:53.931]  ProPure Traveler, 30% off, $132.
[00:06:54.611 --> 00:06:59.712]  Blows away all the other major gravity-fed filters that sell the same type of unit that didn't as good for $225.
[00:07:01.033 --> 00:07:02.973]  ProPure is amazing.
[00:07:03.493 --> 00:07:05.174]  Infowarsstore.com.
[00:07:05.534 --> 00:07:07.575]  Alexa Pure Breeze, amazing.
[00:07:07.915 --> 00:07:09.995]  Air filtration system, comparable units are $400.
[00:07:10.055 --> 00:07:11.916]  They were like $1,000 a few years ago.
[00:07:11.936 --> 00:07:12.656]  They're all getting cheaper.
[00:07:12.856 --> 00:07:14.396]  There's a miniaturization of technology.
[00:07:14.697 --> 00:07:16.257]  But $200 is a great deal.
[00:07:16.897 --> 00:07:19.419]  $149.96, 25% off retail.
[00:07:19.920 --> 00:07:21.441]  Usually we discount it to $189.
[00:07:21.541 --> 00:07:24.163]  That is a devastating price right there.
[00:07:24.243 --> 00:07:24.944]  Amazing.
[00:07:25.464 --> 00:07:27.506]  Vitamin Mineral Fusion, 33% off.
[00:07:27.586 --> 00:07:29.067]  Knockout, 50% off.
[00:07:29.367 --> 00:07:30.648]  Prostagard, 33% off.
[00:07:30.808 --> 00:07:33.310]  Conservatism is a new counterculture.
[00:07:33.350 --> 00:07:35.152]  Coffee Mugs, 33% off.
[00:07:35.672 --> 00:07:37.934]  Mico ZX, 46% off.
[00:07:38.014 --> 00:07:41.597]  Even though it's a bestseller, because I want you to see how great it is.
[00:07:41.617 --> 00:07:41.997]  46% off.
[00:07:43.118 --> 00:07:47.764]  On the other side of the equation of probiotic, that's MycoZx DNA 4 20% off.
[00:07:48.045 --> 00:07:49.487]  Infowarslife.com.
[00:07:49.527 --> 00:07:50.748]  Support the operation!
[00:07:51.009 --> 00:07:52.030]  Savage the enemy!
[00:07:52.230 --> 00:07:52.951]  Victory!
[00:07:53.072 --> 00:07:54.073]  Break their spirit!
[00:07:54.253 --> 00:07:55.054]  Never give up!
[00:07:55.315 --> 00:07:56.716]  We're gonna stop killing the babies!
[00:07:56.857 --> 00:07:58.299]  We're gonna crush the Satanists!
[00:07:58.559 --> 00:07:58.879]  Yes!
[00:08:11.149 --> 00:08:15.718]  Broadcasting live from the UN Stronghold, Austin, Texas.
[00:08:15.978 --> 00:08:18.984]  You're listening to The Alex Jones Show.
[00:08:19.485 --> 00:08:22.310]  And now, your host, Owen Troyer.
[00:08:24.790 --> 00:08:28.372]  I just had a weird joke hit me, David, when I was thinking about just coming back.
[00:08:29.073 --> 00:08:32.775]  We've been calling the Trump-Russia investigation a witch hunt, right?
[00:08:32.935 --> 00:08:33.956]  Because it is a witch hunt.
[00:08:34.336 --> 00:08:35.276]  We know where the witches are.
[00:08:35.617 --> 00:08:43.001]  Now you've got actual witches trying to cast spells from Satan onto Donald Trump, like Lana Del Rey, amongst the others.
[00:08:43.521 --> 00:08:45.823]  And the big story today, a pastor
[00:08:46.383 --> 00:08:53.136]  Says a senior Republican has told him a plan to take out Trump and has basically said that that is inevitable.
[00:08:53.437 --> 00:08:54.840]  Let's go to that clip now.
[00:08:59.187 --> 00:09:01.469]  Bombshell clip of the pastor.
[00:09:02.169 --> 00:09:09.475]  Tuesday was a low because I got to go into the Congress and spend three hours from 9 30 in the evening to 12 30 a.m.
[00:09:10.015 --> 00:09:19.943]  with one of the senior ranking members of Congress and he told me and of course this is what I said on CBN but they cut it out but I'm gonna go public with this because we have to.
[00:09:20.543 --> 00:09:22.645]  He said there is a plot on Capitol Hill
[00:09:23.425 --> 00:09:24.525]  To take the president out.
[00:09:24.626 --> 00:09:27.066]  I said, you mean by impeachment or by indictment?
[00:09:27.106 --> 00:09:28.567]  He said, no, to take him out.
[00:09:28.907 --> 00:09:30.608]  He will be removed suddenly from office.
[00:09:30.628 --> 00:09:32.388]  Well, you can read between the lines.
[00:09:32.449 --> 00:09:34.689]  I said, look, I said, that's not going to happen.
[00:09:35.130 --> 00:09:37.731]  He said, he said, well, really, there's nothing we can do to stop it.
[00:09:37.791 --> 00:09:43.553]  I said, we are going to stop it because we're going to mobilize the body of Christ to pray.
[00:09:44.733 --> 00:09:46.314]  So listen, they started a war.
[00:09:47.475 --> 00:09:53.497]  You know, they are so upset about what's happening because when since when last has the Body of Christ had access into the White House?
[00:09:53.977 --> 00:09:55.557]  It wasn't that way under Reagan.
[00:09:55.978 --> 00:09:57.718]  They might come and go a little bit.
[00:09:58.018 --> 00:09:59.519]  It wasn't that way under Clinton.
[00:09:59.779 --> 00:10:01.479]  It wasn't that way under both Bushes.
[00:10:01.819 --> 00:10:03.840]  And it definitely wasn't that way under Obama.
[00:10:04.180 --> 00:10:06.921]  But we have a President that's opened the door for the Body of Christ.
[00:10:07.381 --> 00:10:08.681]  And that is huge.
[00:10:09.222 --> 00:10:10.422]  Whichever way you want to look at it.
[00:10:11.102 --> 00:10:13.924]  And let me tell you, you know, everybody's moaning Republican-Democrat.
[00:10:14.144 --> 00:10:15.205]  He actually is neither.
[00:10:15.445 --> 00:10:19.328]  He's basically a populist that the American people voted for.
[00:10:19.548 --> 00:10:22.349]  They put a businessman in the White House because things are so fouled up.
[00:10:22.790 --> 00:10:27.993]  Well, if you want to really see fouled up, go to Congress and go sit and talk to the... He's been there since 96.
[00:10:29.534 --> 00:10:32.316]  So he knows everything, everything about what's going on.
[00:10:32.516 --> 00:10:39.580]  And I can tell you the games that have been played, how they're actually trying to set the President up, in every way.
[00:10:39.960 --> 00:10:46.984]  But when he told me what he said, that they are planning, the talk on the Hill is the plan that suddenly he'll be removed.
[00:10:51.107 --> 00:10:59.630]  So what we're going to do, we're going to launch it today, it's a 24-hour prayer initiative to pray around the clock and we do it across the nation, around the world, for the protection of the President.
[00:11:00.391 --> 00:11:02.832]  Wow, the Red Pill Church of Christ there.
[00:11:02.892 --> 00:11:11.475]  No, that is actually Revival Ministries International, Rodney Howard Brown, addressing a leading congressman, telling him the plans to take out Trump.
[00:11:11.495 --> 00:11:15.797]  Of course, we've known about this, we've had witches praying against Trump, we've seen Trump
[00:11:16.957 --> 00:11:19.840]  Effigies that Trump had with the CNN Kathy Griffin.
[00:11:19.900 --> 00:11:21.281]  So we've known this plan.
[00:11:21.561 --> 00:11:23.363]  They've been trying to push this into the mainstream.
[00:11:23.703 --> 00:11:24.544]  We know what they did.
[00:11:25.225 --> 00:11:30.750]  And they got their lunatic Bernie supporter to go out and try to assassinate Republicans when they were practicing baseball.
[00:11:31.430 --> 00:11:33.172]  So we know what's going on, David.
[00:11:33.192 --> 00:11:35.194]  But it's starting to enter the mainstream now.
[00:11:35.294 --> 00:11:37.336]  More people feel like they're willing to talk about it.
[00:11:37.576 --> 00:11:42.641]  And I thought it was powerful what the pastor said there about President Trump having the body of Christ in the White House.
[00:11:43.280 --> 00:11:48.727]  Well, as Christians, we understand that we don't wrestle against flesh and blood, but against principalities and powers and spiritual wickedness.
[00:11:48.787 --> 00:11:50.450]  So, that's the key.
[00:11:50.470 --> 00:11:51.431]  That's what he's talking about.
[00:11:51.471 --> 00:11:55.176]  And so, the prayers that we see, the lightest one is Lana Del Rey.
[00:11:55.196 --> 00:11:57.679]  As we said before, you know, she's just another Pop-Tart.
[00:11:58.280 --> 00:11:58.940]  Who is toast?
[00:11:59.180 --> 00:12:01.501]  Because we don't really care what she has to pray about.
[00:12:01.841 --> 00:12:03.762]  There is a power in praying for the president.
[00:12:04.102 --> 00:12:06.883]  But we have to understand also there's something else involved here.
[00:12:06.903 --> 00:12:11.564]  And that is the drumbeat, the constant drumbeat of false news that's coming out of the mainstream media.
[00:12:11.924 --> 00:12:17.486]  And this was addressed by Tammy Bruce, who is a contributor on Fox News, also the Washington Times.
[00:12:17.506 --> 00:12:18.586]  I want to play a clip of that.
[00:12:18.806 --> 00:12:19.446]  We're good to go.
[00:12:43.294 --> 00:12:46.039]  Who have the slick tongues, but they don't accomplish anything.
[00:12:46.059 --> 00:12:48.724]  I mean the DNC is like 3.3 million dollars in debt.
[00:12:48.944 --> 00:12:50.647]  That's what they want to do to the rest of the country.
[00:12:50.867 --> 00:12:52.590]  That's what they've done in the areas that they control.
[00:12:52.791 --> 00:12:55.455]  But let's listen to what Tammy Bruce had to say on Fox News.
[00:12:56.055 --> 00:12:56.375]  Yes.
[00:12:56.395 --> 00:12:56.976]  Lattes, sipping.
[00:13:25.540 --> 00:13:35.944]  But when they focus on what he has to say, Owen, we see this article that's on Infowars.com from Zero Hedge, support for Trump's impeachment is now higher than it was for Richard Nixon.
[00:13:36.344 --> 00:13:41.066]  And they're pointing out that for Nixon it was 24% of the people who were favoring impeachment.
[00:13:41.526 --> 00:13:42.527]  But for Trump it is now 41%.
[00:13:42.567 --> 00:13:43.587]  So 24% for Nixon, 41% for Trump.
[00:13:43.607 --> 00:13:43.887]  Why is that?
[00:13:48.829 --> 00:13:54.035]  That is a very dangerous metric as they start to get to the 50% rate, as it's getting higher and higher.
[00:13:54.075 --> 00:13:59.501]  Because when we look at what happened recently, we had a couple of people that have come up for parole.
[00:13:59.541 --> 00:14:01.624]  We've had Dennis Hastert who's getting out of jail.
[00:14:01.644 --> 00:14:02.264]  We've had O.J.
[00:14:02.304 --> 00:14:03.145]  Simpson getting out of jail.
[00:14:03.786 --> 00:14:10.148]  They went to jail not for the putative crime so much as for the fact that Hastert was a pedophile.
[00:14:10.188 --> 00:14:18.751]  Everybody knew he was a pedophile but they couldn't get a conviction because we have this idiotic idea here in the United States that there ought to be some kind of a statute of limitations for pedophiles.
[00:14:18.911 --> 00:14:19.571]  There shouldn't be.
[00:14:20.171 --> 00:14:24.213]  And of course we see Cardinal Pell being called back to Australia because they eliminated
[00:14:24.873 --> 00:14:27.274]  Their statute of limitations for pedophilia.
[00:14:27.634 --> 00:14:30.296]  They couldn't get a conviction for murder, so they tried to put O.J.
[00:14:30.336 --> 00:14:30.736]  Simpson in.
[00:14:30.756 --> 00:14:37.600]  They tried to keep him in on some extraneous charges that they brought up before he went to the parole board at the very last minute.
[00:14:37.880 --> 00:14:38.680]  That didn't work either.
[00:14:38.740 --> 00:14:49.406]  But both of them really went to jail, not so much for getting back sports memorabilia from somebody, and certainly not for the non-crime of taking out... It is a crime, and of course Dennis Hastert
[00:14:50.026 --> 00:14:51.626]  is responsible for it being a crime.
[00:14:51.686 --> 00:14:54.327]  He was the longest-serving Republican Speaker of the House we've ever had.
[00:14:54.667 --> 00:15:12.090]  And so when they make a financial crime out of withdrawing your own money from the bank, money that they've already looked at when you put it into the bank, money that was not obtained illegally, money that was not any tax avoidance issue, but simply the fact that he structured his withdrawals, they said, to avoid detection.
[00:15:12.270 --> 00:15:13.130]  They sent him to jail.
[00:15:13.150 --> 00:15:14.730]  So they come up with these minor things.
[00:15:15.110 --> 00:15:19.171]  That's what they will do to Donald Trump if they believe that the American public
[00:15:19.611 --> 00:15:26.472]  And if you go back to that poll, I think that this is kind of a visual that you can see directly how the mainstream media's hold on the thoughts and minds and hearts of the public is losing its grip.
[00:15:48.596 --> 00:16:06.198]  Even Nixon did not experience this type of from-all-angles attack that President Trump has from all members of the media and still, you know, they want to get the point of the public interest in Trump to impeach, you know, to impeach him up to the certain point so then they think they can go through with it.
[00:16:06.658 --> 00:16:07.759]  But they can't get there.
[00:16:07.819 --> 00:16:09.319]  They cannot get to that point.
[00:16:09.359 --> 00:16:21.105]  They do not have the grip on the American public that they used to have, so they keep struggling, and that's why they want you to listen to what he says and not what he does, because they edit what he says.
[00:16:21.445 --> 00:16:23.726]  They focus on the negative of what he says.
[00:16:23.986 --> 00:16:26.887]  This guy is talking for three, four hours a day in public.
[00:16:26.928 --> 00:16:34.231]  In fact, he's got another meeting today, 2.15 here, Central Time, 3.15 Eastern Time, where he's giving a public address on the current state of healthcare.
[00:16:34.531 --> 00:16:46.734]  So of course, when President Trump is talking for three hours a day, you can edit it down, pick and choose what you want to get out there to try to paint President Trump as whatever you want to paint him as, instead of looking at the actual fruits.
[00:16:47.833 --> 00:16:50.614]  Last night on Lou Dobbs, they were highlighting all the accomplishments of Trump.
[00:16:50.634 --> 00:16:51.854]  A lot of people are doing this right now.
[00:16:52.254 --> 00:16:58.636]  He's had, I think it was 115 record stock closures.
[00:16:58.656 --> 00:16:58.636]  115!
[00:16:59.716 --> 00:17:03.357]  Let's talk about the economy here, because we've got a story from the AP today saying U.S.
[00:17:03.397 --> 00:17:05.058]  home sales fell in June.
[00:17:05.158 --> 00:17:05.438]  Why?
[00:17:05.838 --> 00:17:08.559]  Because the economy is so strong, buyers can't find homes.
[00:17:09.019 --> 00:17:10.340]  And the prices are going up quite a bit.
[00:17:10.360 --> 00:17:11.781]  That's a strong economy.
[00:17:12.682 --> 00:17:14.864]  Demand is outpacing supply.
[00:17:14.904 --> 00:17:15.784]  That's a good thing.
[00:17:16.124 --> 00:17:19.447]  We've got the Tea Party, finally winning an eight-year battle with the IRS.
[00:17:19.467 --> 00:17:21.909]  This is the Albuquerque Tea Party.
[00:17:22.209 --> 00:17:24.051]  They've had hundreds of conservative tea parties.
[00:17:24.071 --> 00:17:25.792]  You remember the corruption in the IRS?
[00:17:25.832 --> 00:17:34.699]  That was one of the reasons that the charges were brought up against Richard Nixon, was that he tried to get the IRS to attack his political enemies.
[00:17:35.419 --> 00:17:39.922]  And the IRS Commissioner blew the whistle on that, showed the letter that he had sent him.
[00:17:40.202 --> 00:17:45.786]  And yet, we have Obama actually getting the IRS Commissioner to attack his enemies.
[00:17:45.906 --> 00:17:46.127]  Why?
[00:17:46.187 --> 00:17:49.489]  Because they're aligned with the Democrats, so it's a political alignment.
[00:17:49.769 --> 00:17:54.853]  But even when we see that the IRS is coming after the political enemies, nothing was done about it.
[00:17:54.953 --> 00:17:55.473]  Until now.
[00:17:55.573 --> 00:17:57.294]  It took a change of administration to do that.
[00:17:57.635 --> 00:18:00.176]  So, on many different fronts, we're seeing that
[00:18:01.797 --> 00:18:02.518]  This is happening.
[00:18:02.598 --> 00:18:07.340]  I just see a message here that we've got Alex live now on Facebook Mention.
[00:18:07.380 --> 00:18:09.822]  He's on vacation, but Alex never goes on vacation.
[00:18:10.002 --> 00:18:11.623]  So let's join him right now on Facebook.
[00:18:11.663 --> 00:18:14.004]  We have a Facebook Mentions Live with Alex Jones.
[00:18:17.284 --> 00:18:19.087]  Brexit, they can kill the movement, they think.
[00:18:19.948 --> 00:18:20.649]  He's targeted.
[00:18:20.689 --> 00:18:22.752]  He represents us now beyond a figurehead.
[00:18:22.792 --> 00:18:23.653]  We're bound to that.
[00:18:23.974 --> 00:18:31.044]  The free press he's defending, the sovereignty of our nation, the lower taxes, the not having open borders to Islamists that they're openly invading Europe with.
[00:18:32.045 --> 00:18:32.966]  This is the reality.
[00:18:34.386 --> 00:18:36.407]  So you need to go to the article on Infowars.com.
[00:18:36.447 --> 00:18:38.028]  David Knight is live right now.
[00:18:39.089 --> 00:18:42.431]  Senior Republican told me the plan to take out Trump suddenly.
[00:18:42.831 --> 00:18:43.472]  This is violent.
[00:18:43.492 --> 00:18:44.412]  This is not impeachment.
[00:18:44.973 --> 00:18:45.693]  This is violently.
[00:18:45.713 --> 00:18:49.916]  You see them pushing it everywhere saying kill president, kill supporters.
[00:18:50.476 --> 00:18:54.078]  And then they had Newsweek on Friday come out with a headline, Republicans call for civil war.
[00:18:54.538 --> 00:19:02.002]  Then they would edit words I said down to three words where I was saying we don't want civil war, where I was quoting Democrats calling for blowing up the White House, killing cops, killing Trump.
[00:19:02.342 --> 00:19:09.566]  And they edited it together, three word lines, the biggest fake news I've ever seen by this lady, who's got connections to intelligence groups.
[00:19:10.842 --> 00:19:16.923]  And it's a whole article about how me and Michael Savage are calling for violent overthrow of the Democrats and blood in the streets when we're calling for the opposite.
[00:19:17.203 --> 00:19:18.724]  We're winning the information war.
[00:19:19.444 --> 00:19:21.904]  We want to take the government back and restore the Republican prosperity.
[00:19:22.344 --> 00:19:23.425]  We're in a race with these people.
[00:19:24.565 --> 00:19:25.045]  Skip the break?
[00:19:26.345 --> 00:19:26.945]  Yeah, skip the break.
[00:19:27.345 --> 00:19:28.306]  Absolutely, they're live right now.
[00:19:28.326 --> 00:19:28.966]  I haven't skipped the break.
[00:19:30.126 --> 00:19:32.407]  So, so, so, all of this is going on.
[00:19:32.587 --> 00:19:34.027]  All of this is happening right now.
[00:19:34.047 --> 00:19:34.587]  We're live.
[00:19:35.647 --> 00:19:37.888]  I'm taking a week off with my children on vacation.
[00:19:38.448 --> 00:19:39.008]  But I'm up.
[00:19:40.225 --> 00:19:41.987]  Where I'm at, at, you know, six in the morning.
[00:19:42.007 --> 00:19:45.410]  I've been up since four in the morning, working with Paul Watson, who's in England.
[00:19:45.430 --> 00:19:49.174]  It's already the afternoon over there, the evening, to break all this down.
[00:19:49.194 --> 00:19:51.297]  But the story's on Infowars.com.
[00:19:51.997 --> 00:19:58.104]  It is absolutely, totally, and completely critical that everybody understand the magnitude of this.
[00:19:59.710 --> 00:20:02.032]  We don't just have this senior pastor that's good friends with Trump.
[00:20:02.533 --> 00:20:05.015]  We don't just have a senior Republican telling him this.
[00:20:05.515 --> 00:20:06.677]  This is in the news.
[00:20:07.297 --> 00:20:14.063]  But it's in Atlantic Monthly, it's in New Yorker Magazine, it's in Financial Times of London, it's in The Economist, it's in Harvard Review.
[00:20:15.024 --> 00:20:28.031]  Staying we need to violently take him out then we say don't do that It'll cause a civil war and they say oh you want violence We're gonna arrest you too when we take over and they're in Newsweek saying why haven't the feds arrested Alex Jones yet?
[00:20:28.792 --> 00:20:29.912]  Why haven't they come after him yet?
[00:20:30.693 --> 00:20:32.634]  Yeah, Madonna saying blow up the White House you got
