[00:00:05.188 --> 00:00:07.212]  Important instructions will follow.
[00:12:42.845 --> 00:12:45.107]  Sixty-nine percent down in illegals coming across.
[00:12:45.467 --> 00:12:47.269]  A good Supreme Court justice appointed.
[00:12:48.129 --> 00:12:49.270]  Should I keep going here?
[00:12:49.991 --> 00:12:51.392]  Killing all these regulations.
[00:12:51.412 --> 00:12:52.593]  The economy roaring back.
[00:12:52.633 --> 00:12:55.775]  The Dow closes at a record high for the ninth straight time.
[00:12:56.396 --> 00:12:57.437]  Infowars.com.
[00:12:57.717 --> 00:12:58.297]  Michael Snyder.
[00:13:00.419 --> 00:13:04.022]  Optimism of small business owners at highest level seen in a decade.
[00:13:07.287 --> 00:13:11.090]  Ladies and gentlemen, that's put out by the federal government itself.
[00:13:13.072 --> 00:13:13.852]  But doesn't matter.
[00:13:14.353 --> 00:13:17.655]  Here's the Pat Buchanan story up on DrugsReport.com.
[00:13:18.136 --> 00:13:19.717]  After the coup, what then?
[00:13:19.737 --> 00:13:22.599]  And Buchanan goes over it.
[00:13:22.899 --> 00:13:25.942]  Meanwhile, MSNBC puts out a new fake news headline.
[00:13:26.262 --> 00:13:29.224]  Trump should be on 24-hour suicide watch.
[00:13:29.805 --> 00:13:33.728]  Fake media pushes Pence's betrayal angle to sow more chaos.
[00:13:34.228 --> 00:13:34.469]  Nope.
[00:13:35.643 --> 00:13:44.370]  Pence is doing his job for the Republican National Committee, raising seven times any previous record in the first six and a half months.
[00:13:46.151 --> 00:13:47.332]  Now, let's be honest.
[00:13:47.632 --> 00:13:52.756]  Is the party positioning Pence in case they bring down Trump, as parts of the party are?
[00:13:52.816 --> 00:13:53.096]  Yes.
[00:13:53.216 --> 00:13:54.998]  Is Pence, I think, actively part of that?
[00:13:55.078 --> 00:13:55.278]  No.
[00:13:55.318 --> 00:14:00.442]  But we have to be pragmatist and understand Trump's already had devastating victories.
[00:14:01.505 --> 00:14:03.106]  Against globalism, against political correctness.
[00:14:03.146 --> 00:14:05.107]  We've set them back decades.
[00:14:05.607 --> 00:14:06.808]  Killing their carbon taxes.
[00:14:06.868 --> 00:14:08.069]  It goes on and on.
[00:14:10.310 --> 00:14:11.310]  But this is a war.
[00:14:12.591 --> 00:14:15.092]  It's been going on since the beginning of time between good and evil.
[00:14:15.233 --> 00:14:17.314]  And you've got to say, get behind me, Satan.
[00:14:17.554 --> 00:14:19.335]  That's not just a saying, it's a metaphor.
[00:14:20.015 --> 00:14:20.776]  It's a coordinate.
[00:14:23.657 --> 00:14:25.498]  The High Women's, super hit.
[00:14:26.239 --> 00:14:28.540]  Silver Stallion, great poetry.
[00:14:31.209 --> 00:14:35.572]  Riding like the one-eyed Jack of Diamonds, with the devil close behind.
[00:14:36.013 --> 00:14:37.734]  One-eyed Jack of Diamonds is like Odin.
[00:14:38.635 --> 00:14:41.116]  One eye on this plane, one eye at God.
[00:14:41.777 --> 00:14:45.199]  One eye into the mist.
[00:14:47.821 --> 00:14:48.962]  Into the land of the gods.
[00:14:50.163 --> 00:14:54.126]  Riding forward, trailblazing, with the devil close behind.
[00:14:54.726 --> 00:14:56.868]  That's even in the Germanic literature.
[00:14:56.908 --> 00:14:58.169]  It's in all the archetypes.
[00:14:59.250 --> 00:15:00.511]  It's in the Norse archetypes.
[00:15:02.875 --> 00:15:05.217]  Can you guys pull up Silver Stallion live version?
[00:15:06.037 --> 00:15:06.818]  The one that I have in there?
[00:15:07.498 --> 00:15:08.679]  Because, I mean, it just says it all.
[00:15:09.540 --> 00:15:13.442]  He's riding like the one-eyed jack of diamonds with the devil close behind.
[00:15:13.662 --> 00:15:14.623]  He's not one-eyed.
[00:15:15.143 --> 00:15:17.745]  He's got one eye on earth, one eye into heaven.
[00:15:18.746 --> 00:15:20.587]  He's already not of the earth completely.
[00:15:21.147 --> 00:15:22.849]  He's already transcended his body.
[00:15:25.350 --> 00:15:27.752]  The one-eyed man in the land of the blind is king.
[00:15:30.029 --> 00:15:31.990]  And if Trump's anything, he's a one-eyed man.
[00:15:32.010 --> 00:15:34.052]  They'll go, oh, Illuminati symbolism!
[00:15:34.072 --> 00:15:38.956]  The Illuminati steals all the archetypes, all the images, and then expropriates them for them!
[00:15:40.877 --> 00:15:44.880]  They say, Alex, don't use images of rising suns for a new day on your website!
[00:15:45.180 --> 00:15:45.881]  That's occultic!
[00:15:45.941 --> 00:15:47.442]  They've stolen every symbol!
[00:15:47.782 --> 00:15:48.803]  We're taking them back!
[00:15:50.384 --> 00:15:55.088]  If any symbol is truly satanic, it's the pentagram, because it's a symbol of a man, a human.
[00:15:55.668 --> 00:15:56.809]  The head, the arms, the legs.
[00:15:57.469 --> 00:15:58.030]  Inverted!
[00:15:59.790 --> 00:16:02.031]  This is the true esoteric knowledge they don't want you to have.
[00:16:04.571 --> 00:16:06.412]  Now, let's expand on this.
[00:16:06.512 --> 00:16:13.473]  We have, joining us, coming up at the bottom of the hour, Roger Stone with the biggest news yet that he's broken here.
[00:16:13.493 --> 00:16:20.355]  You even saw Fox News on Sunday say, we've got to stop those memos with Alex Jones information getting the president.
[00:16:21.235 --> 00:16:29.097]  Now, they know specifically, so we can tell you now, because it's even on Fox News, it's the dreaded Alex Jones-Roger Stone memo.
[00:16:30.267 --> 00:16:33.989]  Believe me, at the highest levels of government, they've known about him for about a year.
[00:16:34.009 --> 00:16:39.331]  Because Stone was doing the memos before for decades, and then you know who gets stuff in the memos.
[00:16:39.391 --> 00:16:40.172]  They don't like it.
[00:16:40.912 --> 00:16:42.853]  So, I'm going to leave it right there.
[00:16:43.153 --> 00:16:46.095]  But they're angry, and they know what's going on.
[00:16:46.615 --> 00:16:50.237]  And so, we can get into more of this now, because we now clearly know they know.
[00:16:55.805 --> 00:16:56.345]  It's incredible.
[00:16:57.146 --> 00:16:58.886]  The President says, send me the info here.
[00:16:59.626 --> 00:17:00.727]  They divert it.
[00:17:01.487 --> 00:17:02.027]  Phone calls.
[00:17:02.067 --> 00:17:03.108]  They divert our phone calls.
[00:17:03.548 --> 00:17:05.408]  So this is real cloak and dagger stuff.
[00:17:05.448 --> 00:17:08.510]  I haven't talked about this the last four or five months because it's not about bragging.
[00:17:08.530 --> 00:17:09.630]  It's about saving the country.
[00:17:10.150 --> 00:17:15.892]  It's just that the President's real, but he's completely surrounded in a swamp, and they're coming after him, ladies and gentlemen.
[00:17:15.932 --> 00:17:23.355]  And we're going to give you the biggest news ever about who exactly McMaster's working for, what he's doing, and it's a form of espionage.
[00:17:24.582 --> 00:17:37.564]  We always think of espionage as doing it to a foreign government, but multinational corporations and combines, and people that are based in reality, that then have characters based on them,
[00:17:38.482 --> 00:17:47.828]  Like Spectre, and in the last James Bond movie, the Quantum Group, and it's a guy that plays countries off against each other, and he's one of the richest guys in the world, and he's a war criminal.
[00:17:48.389 --> 00:17:50.730]  They admit it's... MI6 helped write the script.
[00:17:50.830 --> 00:17:55.433]  It's based on George Soros, who tried to crash the British pound, and almost did.
[00:17:56.114 --> 00:18:00.497]  Israel has come out in Reuters and said he is an enemy of Israel and trying to overthrow them.
[00:18:00.997 --> 00:18:01.998]  They have the documents.
[00:18:02.058 --> 00:18:04.960]  I kept saying, why doesn't Israel come out against Soros?
[00:18:05.340 --> 00:18:07.982]  We've got thousands of pages where he's trying to overthrow Israel.
[00:18:10.964 --> 00:18:13.325]  And Israel responded and said, oh, we are going to.
[00:18:14.426 --> 00:18:18.349]  Ladies and gentlemen, Trump is trying to restore the Republic.
[00:18:19.209 --> 00:18:20.570]  Trump's trying to make peace with everybody.
[00:18:20.590 --> 00:18:21.451]  He's trying to be a pragmatist.
[00:18:21.471 --> 00:18:22.131]  He's trying to be fair.
[00:18:22.171 --> 00:18:24.893]  He's doing default things that are good, that are wholesome.
[00:18:25.053 --> 00:18:26.434]  And the enemy is trying to destroy him.
[00:18:26.674 --> 00:18:28.115]  He has delivered incredibly.
[00:18:28.416 --> 00:18:31.618]  And shame on anybody that buys into the hoax that his polls are down.
[00:18:31.958 --> 00:18:37.342]  And shame on anybody, you know, that buys into this whole thing that he's been defeated and that he hadn't delivered.
[00:18:38.260 --> 00:18:48.222]  He's delivered like nobody in modern history on his promises, and then they leak his phone calls to the Mexican president and people to embarrass him, and it's him on the phone saying, listen!
[00:18:49.056 --> 00:18:50.137]  We're going to have sanctions.
[00:18:50.177 --> 00:18:52.658]  We send you ten times the money, you know, that you send us.
[00:18:53.018 --> 00:18:54.219]  You're going to pay for the wall.
[00:18:54.299 --> 00:18:55.159]  You got a wall.
[00:18:55.440 --> 00:18:57.261]  All you send up here is a bunch of criminals.
[00:18:57.641 --> 00:19:01.403]  And it's bankrupting our country and driving down wages and not even helping you.
[00:19:01.983 --> 00:19:03.204]  Stop criticizing me.
[00:19:03.424 --> 00:19:04.705]  They call that weakness?
[00:19:05.025 --> 00:19:07.766]  That he's doing exactly what he says behind the scenes?
[00:19:07.906 --> 00:19:09.127]  That he says on television?
[00:19:10.528 --> 00:19:15.250]  You know how much easier it is to just say what you say in the open and what you say in private?
[00:19:16.651 --> 00:19:17.772]  What you see is what you get.
[00:19:20.825 --> 00:19:31.530]  And they run him down for defending America to the Chinese, the phone calls they've released, and to Italy, and to Russia, and to Australia.
[00:19:31.730 --> 00:19:36.172]  That he's actually in there, pleading with them, talking to them, being real.
[00:19:36.432 --> 00:19:38.893]  And they go, look at Trump say this, look at Trump say that.
[00:19:42.174 --> 00:19:43.055]  Because he's real!
[00:19:43.075 --> 00:19:45.296]  And they don't know what to do!
[00:19:46.829 --> 00:19:48.371]  And so they're getting ready to kill him.
[00:19:49.072 --> 00:19:50.834]  And then what are they going to do after they've done that?
[00:19:50.874 --> 00:19:56.281]  You think with this insurrection against them, this awakening, they're just going to go away once they engage in that criminal activity?
[00:19:56.541 --> 00:20:00.386]  They're going to come after everybody, and that's going to kick off the real deal.
[00:20:00.987 --> 00:20:02.068]  And then they better watch it.
[00:20:02.369 --> 00:20:02.969]  We'll be right back.
[00:20:03.610 --> 00:20:03.890]  Fully.
[00:20:04.371 --> 00:20:12.918]  Of the 30 plus proprietary products that we've developed for Infowarslife.com, which are all amazing, DNA Force is the flagship.
[00:20:13.298 --> 00:20:21.865]  This highly advanced formula has been sold out for close to six months due to a worldwide shortage of the sought after ingredients.
[00:20:22.205 --> 00:20:39.385]  Today I'm very excited to announce that we have received a limited shipment of DNA Force and despite the fact that we have been sold out for close to six months, I'm still discounting it 20% because I want listeners and viewers that haven't tried DNA Force yet to actually get a chance to see how amazing it is.
[00:20:39.645 --> 00:20:53.389]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systemic enzymes, NaR lipoic acid, BioPQQ, and many, many others that synergistically work together.
[00:20:53.669 --> 00:21:04.392]  Visit InfoWarsLife.com for yourself and read the hundreds and hundreds and hundreds of third-party outside reviews that are an average of 4.8 stars for DNA Force.
[00:21:04.553 --> 00:21:09.334]  This is a total 360 win because you're getting the highest quality supplement
[00:21:09.634 --> 00:21:19.783]  Nutraceutical with 175 plus studies to back up all the amazing properties, nerve regrowth factor, detoxifying cells, it just goes on and on.
[00:21:20.243 --> 00:21:29.411]  And you're supporting the broadcast that is going 110% against the globalists and having massive, massive effects against the New World Order.
[00:21:29.711 --> 00:21:37.177]  We are winning together thanks to your support and you're getting a great product that you and your family really need at a very, very competitive price.
[00:21:37.478 --> 00:21:37.678]  Again,
[00:21:37.938 --> 00:21:39.299]  Since the time of Hippocrates,
[00:22:06.849 --> 00:22:09.532]  The father of modern western medicine.
[00:22:09.893 --> 00:22:16.560]  In 420 BC, the ancients have marveled at the power of whey protein from milk and cheese.
[00:22:16.740 --> 00:22:21.185]  That's why I'm so proud to announce the latest addition to the InfoWars Life family.
[00:22:21.546 --> 00:22:24.129]  True whey protein from InfoWars Life.
[00:22:24.449 --> 00:22:30.374]  It's produced right here in the United States of America under the strictest high-quality organic conditions.
[00:22:30.954 --> 00:22:37.680]  Our True Whey Protein from Infowars Life contains a whopping 20 grams of protein per serving.
[00:22:38.140 --> 00:22:45.306]  We went out and did massive research and found the very best company and facility to develop our whey.
[00:22:45.506 --> 00:22:58.179]  And it took us years to finally get contacts with some of the larger, most respected companies to bring you a super high-quality whey protein at a very reasonable price.
[00:22:58.680 --> 00:23:06.248]  That way you get the benefits and the taste of high-quality whey while supporting our information warfare operation against the globalists.
[00:23:06.548 --> 00:23:09.050]  Doing our research, one thing continued to really stand out.
[00:23:09.610 --> 00:23:18.275]  It's not just that cows and their milk are associated with the best, highest quality protein, but also that those cows be grass-fed.
[00:23:18.676 --> 00:23:19.516]  That is essential.
[00:23:19.896 --> 00:23:24.199]  And all of this whey protein comes from grass-fed, happy cows.
[00:23:24.679 --> 00:23:27.101]  This is the very best whey that we were able to bring to market.
[00:23:27.481 --> 00:23:29.162]  Please try it for yourself and tell us what you think.
[00:23:29.182 --> 00:23:30.923]  Again, thank you so much for all your support.
[00:23:31.463 --> 00:23:33.985]  It is true whey from mfullwashlife.com.
[00:23:37.561 --> 00:23:40.443]  Accept the truth and fuck the system and the group collective.
[00:23:41.503 --> 00:23:46.766]  Do that, and you'll earn your way to the next level.
[00:23:46.806 --> 00:23:47.786]  This is the Info War.
[00:24:12.108 --> 00:24:17.392]  I'm gonna steal me a silver stallion Red knight I'll mark upon his silky hide
[00:24:43.707 --> 00:24:50.452]  One-Eyed Jack of Diamonds with the devil close behind.
[00:25:08.686 --> 00:25:10.848]  That's what it always looks like when there's renewal.
[00:25:11.688 --> 00:25:13.830]  As we get a beachhead, things turn around.
[00:25:14.090 --> 00:25:15.631]  Prosperity starts coming back.
[00:25:15.952 --> 00:25:17.793]  The enemy then throws everything they've got.
[00:25:18.914 --> 00:25:21.856]  And sometimes, the restoration fails.
[00:25:22.697 --> 00:25:24.779]  And then a great dark age comes upon the land.
[00:25:25.739 --> 00:25:30.183]  But then, it will grow strong in the people's heart to resist yet again.
[00:25:31.991 --> 00:25:33.592]  That's why they've never defeated humanity.
[00:25:33.632 --> 00:25:35.573]  The globalists have never been successful long term.
[00:25:35.593 --> 00:25:38.134]  That's why they're seeking to end the human species.
[00:25:38.614 --> 00:25:39.394]  End men and women.
[00:25:39.574 --> 00:25:40.295]  End families.
[00:25:41.055 --> 00:25:44.737]  First they got us where we didn't go out and cook outside at night and talk to our neighbors.
[00:25:45.257 --> 00:25:46.838]  Look at the stars and tell stories.
[00:25:47.498 --> 00:25:48.858]  They got us to stop hunting and fishing.
[00:25:48.878 --> 00:25:49.999]  They got us to stop farming.
[00:25:50.639 --> 00:25:56.462]  They got us to move into the big mega cities and turn their artificial television world into our reality.
[00:25:57.762 --> 00:25:58.883]  And at first the message is
[00:26:00.336 --> 00:26:01.918]  Were things that we were accustomed to.
[00:26:03.200 --> 00:26:04.162]  Father knew best.
[00:26:06.325 --> 00:26:09.670]  Fast forward 70 years, we're told fathers can't even exist.
[00:26:11.813 --> 00:26:15.579]  It isn't misguided, liberal, looney-tune visions that we're under.
[00:26:17.611 --> 00:26:21.012]  It's absolutely scientific AI exterminism.
[00:26:21.453 --> 00:26:25.414]  That's why of course there's real racism by whites against other people.
[00:26:25.694 --> 00:26:29.876]  Of course there's other real crimes and other real issues and other real systems.
[00:26:30.096 --> 00:26:37.840]  But all of it is nothing compared to the globalist and its world exterminist, anti-human, transhumanist program.
[00:26:38.920 --> 00:26:52.508]  All of it is manipulated and is only secondary to the larger compendium of the false reality they're building, which is already partially constructed and wreaking devastating havoc.
[00:26:53.669 --> 00:27:01.033]  Their job is to take everything we do, trying to bring back common sense in a pro-human system.
[00:27:02.974 --> 00:27:05.476]  Pro-sovereignty, pro-
[00:27:08.112 --> 00:27:15.774]  Family pro-barriers in our own lives, our own privacy, our own country, our own system.
[00:27:16.374 --> 00:27:23.476]  We are tolerant in the West, but we are not open to be colonized and programmed by whatever the globalists cook up.
[00:27:26.737 --> 00:27:37.200]  And so everything we do to try to stabilize things from the destabilization, to then try to rebuild and have a real discussion and educate the public about how scientific social engineering has been used against them,
[00:27:38.786 --> 00:27:45.488]  The enemy just throws more chaos, more fog of war, more smoke in to confound those that are not aware.
[00:27:49.048 --> 00:27:59.111]  And those who bought into this delusion, they've already invested so much in it that even the smarter minions of the system don't want to pull out of it because they'll have to admit they've been conned.
[00:27:59.611 --> 00:28:07.773]  Just like everybody knows people that have done the Nigerian email scams, and those people get mad at you when they get ripped off and never talk to you again.
[00:28:08.737 --> 00:28:10.660]  They don't thank you for trying to warn them?
[00:28:13.204 --> 00:28:18.793]  In my whole life when I've warned people, and it turns out to be right, they hate me for it!
[00:28:20.444 --> 00:28:23.766]  I almost know no one that's ever thanked me, other than our audience.
[00:28:23.826 --> 00:28:27.288]  It's a big enough pool of people where I guess that's what this audience is.
[00:28:27.348 --> 00:28:29.350]  It's just normal, common sense folks.
[00:28:29.610 --> 00:28:34.253]  I want to thank everybody that taught me right, even though I thought they were wrong at the time.
[00:28:34.293 --> 00:28:40.477]  And I guess that's a sign of immaturity when you're a snot-nosed teenager and don't appreciate people that give you advice on things they've already experienced.
[00:28:41.077 --> 00:28:48.762]  You take it as an insult, but later you find out how right they were and so many times they're already dead and gone and you can't thank them, can you?
