[00:00:18.752 --> 00:00:20.333]  Welcome to Infowars Nightly News.
[00:06:52.432 --> 00:06:52.852]  Not me.
[00:06:53.032 --> 00:06:54.333]  That's what he said on Friday.
[00:06:54.934 --> 00:07:06.101]  Now at the same time we see another conflict that is being addressed and of course that is the conflict between the Trump administration and the globalists themselves and the heart of that right now is the European Union.
[00:07:06.721 --> 00:07:17.848]  I think it's interesting that that is the focus of the Trump administration at this point not as much on the United Nations and of course the man that Trump has picked as his choice for ambassador to the European Union
[00:07:18.548 --> 00:07:26.791]  Is Ted Malek, and of course he's a good example of how Trump has gone in and picked people who essentially know what the plans to the Death Star are.
[00:07:27.351 --> 00:07:33.854]  This guy, his book is Davos, Aspen, and Yale, My Life Behind the Elite Curtain as a Global Sherpa.
[00:07:34.254 --> 00:07:35.234]  He's very well connected.
[00:07:35.555 --> 00:07:45.158]  He has been the person as a Sherpa, that's essentially what they call an executive that prepares for a summit conference, just like the Sherpas help the mountain climbers get up Everest.
[00:07:45.498 --> 00:07:46.759]  He's the guy who put this all together.
[00:07:47.399 --> 00:07:53.461]  So, he's one of these guys who really made it all work for the globalists, and now he's going to take them apart.
[00:07:54.141 --> 00:08:07.744]  And of course, he's making the rounds in Europe talking to the BBC, talking to RT this last weekend, made some amazing announcements, and got into people's faces like our own American version of Nigel Farage.
[00:08:07.784 --> 00:08:12.065]  First of all, he said when he was talking to RT, he said, the Davos man is dead.
[00:08:12.685 --> 00:08:15.466]  And you have to understand what the Davos man is.
[00:08:16.286 --> 00:08:22.988]  This refers to the global elite of wealthy whose members view themselves as completely international.
[00:08:23.029 --> 00:08:29.231]  This is something that was created this term, the Davos Man, was created by a political scientist, Samuel Huntington.
[00:08:29.811 --> 00:08:34.893]  He said, they are people who have little need for national loyalty, who view national boundaries as obstacles.
[00:08:35.433 --> 00:08:46.941]  That thankfully are vanishing and they see national governments as residues from the past whose only useful function is to facilitate their, the elites, global operations.
[00:08:48.002 --> 00:08:51.825]  The first person you think of when you hear that, isn't it, is George Soros.
[00:08:51.905 --> 00:08:54.466]  Of course people like Bill Gates also believe that as well.
[00:08:54.486 --> 00:08:58.909]  But that's a very concise definition of who these elitists are.
[00:08:59.778 --> 00:09:01.940]  They don't see themselves as belonging to any country.
[00:09:01.960 --> 00:09:03.482]  They see themselves as transcending.
[00:09:03.522 --> 00:09:07.646]  They see themselves as more important than any country or any national boundary.
[00:09:08.087 --> 00:09:10.429]  And as a matter of fact, they want to destroy national boundaries.
[00:09:11.290 --> 00:09:14.093]  And they want to destroy the people who work within those.
[00:09:14.113 --> 00:09:15.995]  They have nothing but contempt for those who are lower down.
[00:09:16.015 --> 00:09:16.896]  So he said,
[00:09:17.637 --> 00:09:20.919]  In his interview with RT, he said, the Davos man is dead.
[00:09:20.979 --> 00:09:23.180]  He said, look at the people that they're talking to at Davos.
[00:09:23.720 --> 00:09:26.441]  He said, these are people who are on their way out, people like John Kerry.
[00:09:26.942 --> 00:09:31.204]  And then, of course, he went on the BBC, and he shocked them with his bluntness.
[00:09:31.244 --> 00:09:37.607]  He said, obviously, Trump does not want a union, a European Union, that is tilted toward Germany.
[00:09:38.183 --> 00:09:47.747]  He said he is going to deal with nations bilaterally, but he's not going to deal with a supranational bureaucracy that is not democratic.
[00:09:48.507 --> 00:09:50.508]  And that's precisely what the European Union is.
[00:09:50.568 --> 00:09:53.069]  He said Trump won't cow down to the powers that be.
[00:09:53.509 --> 00:09:57.231]  He'll speak his mind even if it gets him in trouble or is held in disregard by others.
[00:09:57.711 --> 00:09:59.472]  It used to be called honesty.
[00:10:00.132 --> 00:10:07.715]  But now in this current age, he said, of baby talk and political correctness and mostly bullshit, it's now regarded as dishonesty.
[00:10:07.795 --> 00:10:11.837]  And that, of course, was a very shocking bit of frankness coming out of him.
[00:10:11.937 --> 00:10:14.378]  And then he kind of channeled Nigel Farage.
[00:10:14.398 --> 00:10:22.281]  Remember when Nigel Farage said of the first European president, Herman Von Rumpuy, he said, you have the demeanor of a third-rank bank clerk.
[00:10:22.781 --> 00:10:28.384]  Who are you to take away an elected official in Greece and impose a banker
[00:10:29.224 --> 00:10:32.945]  In the heart of the place that created democracy.
[00:10:33.285 --> 00:10:47.389]  And so today, or over this weekend, Ted Malik said of Mr. Juncker, the current European president, he said he was a very adequate mayor, I think, of some city in Luxembourg, and maybe he should go back there and do that again.
[00:10:48.830 --> 00:10:50.511]  So that's pretty amazing.
[00:10:51.131 --> 00:10:53.933]  But he also says that Trump is not going to back down.
[00:10:53.973 --> 00:10:55.174]  Trump is not going to be cowed down.
[00:10:55.214 --> 00:10:59.658]  And of course, Ted Malik is not going to be bowed down as well.
[00:11:00.178 --> 00:11:08.164]  One other thing that he said that really threw the gauntlet down and got them talking, and this was about a week and a half ago, he said that he was part of the State Department.
[00:11:08.204 --> 00:11:11.386]  He was a scholar diplomat with the State Department.
[00:11:11.626 --> 00:11:14.809]  He said I was part of the organization that helped to bring down the Soviet Union.
[00:11:15.416 --> 00:11:18.878]  And he said, maybe there's another union that needs a little taming.
[00:11:19.518 --> 00:11:21.239]  And of course by that he meant the European Union.
[00:11:21.279 --> 00:11:25.161]  He supports Brexit and he believes that the Euro is doomed.
[00:11:25.921 --> 00:11:28.002]  But of course the people have pushed back at this.
[00:11:28.082 --> 00:11:32.064]  The European Union has said that they want to block Trump's appointment.
[00:11:32.664 --> 00:11:37.787]  To which Ted Malik said, well maybe they don't realize that Trump won the American election.
[00:11:38.547 --> 00:11:44.413]  And that it is the prerogative of countries to choose who they want to send as ambassadors to other places.
[00:11:44.713 --> 00:11:46.715]  And even The Guardian agreed with that.
[00:11:46.835 --> 00:11:51.540]  Even The Guardian said it was never a requirement of envoys to the Soviet Union that they support communism.
[00:11:52.256 --> 00:12:04.999]  It wasn't a requirement of those who go to Saudi Arabia that they support Islam or that they support the misogyny policies that come out of Saudi Arabia or even that they would decline to support Sharia law or communism.
[00:12:05.459 --> 00:12:06.399]  That was never a requirement.
[00:12:06.999 --> 00:12:16.741]  So we've had a long tradition where we have ambassadors sent to places that don't necessarily agree with the policies of those countries and yet in the European Union
[00:12:17.401 --> 00:12:29.444]  The globalists who are losing so badly, just as we see here in America in the riots that are happening in the streets, they are desperate to censor and shut down anyone that they cannot defeat in terms of debate.
[00:12:29.484 --> 00:12:32.645]  And of course, I don't think they're going to be able to defeat Ted Malik.
[00:12:32.685 --> 00:12:37.747]  He is more than capable of handling himself, as I said before, I think he is America's Nigel Farage.
[00:12:38.467 --> 00:12:48.373]  Now one of the things that we should remember when we look at globalism is it's more than just about what's happening at the national borders and more than just moving people around.
[00:12:49.013 --> 00:12:57.438]  Moving people around has been a tool of the globalists because it allows them to create conflicts within countries, but it also allows them to get slave labor.
[00:12:58.298 --> 00:13:13.449]  And having open border and so-called free trade allows them to use the free labor of slaves in China and elsewhere to essentially take over markets from people who are working with domestic labor in America, for example.
[00:13:14.290 --> 00:13:17.232]  And as we look at this, we need to understand where this is all headed.
[00:13:17.252 --> 00:13:20.635]  There's been several stories that have been on the Drudge Report over the weekend
[00:13:21.295 --> 00:13:27.618]  Talking about the end of employees, the end of human labor, Amazon having stores that are going to be manned by robots.
[00:13:27.638 --> 00:13:34.642]  But I want to start with this story about automobiles, because of course they're not going to allow you to drive cars.
[00:13:35.122 --> 00:13:37.644]  Understand, it is not going to be your option.
[00:13:37.984 --> 00:13:41.366]  It is not going to be one of these things where if you like your car, you can keep your car.
[00:13:42.079 --> 00:13:44.860]  We've heard that about Obamacare and we saw very quickly that that wasn't true.
[00:13:44.900 --> 00:13:47.162]  We told you it wasn't true before it happened.
[00:13:47.582 --> 00:13:52.905]  They are not going to allow some people to drive cars while they have these robotic cars on the road.
[00:13:52.945 --> 00:13:54.505]  And let me give you an example why.
[00:13:55.146 --> 00:13:57.607]  CarDriver was talking about how great Waymo.
[00:13:57.647 --> 00:14:02.029]  Now Waymo is the car company that Google spun off for their smart cars.
[00:14:02.570 --> 00:14:04.831]  So Waymo, they said, looks to be way out in front.
[00:14:04.871 --> 00:14:09.153]  They're doing much better than all the other 10 companies that are working on self-driving cars.
[00:14:09.193 --> 00:14:10.894]  So how good is Waymo doing?
[00:14:11.374 --> 00:14:16.018]  Well they say that they only have to have a disengagement once every 5,000 miles.
[00:14:16.038 --> 00:14:17.079]  What is a disengagement?
[00:14:17.419 --> 00:14:25.865]  Well that means that they have a software malfunction that is a complete breakdown or and or human drivers have to intervene and take over driving the car.
[00:14:26.486 --> 00:14:32.891]  So these things are very far from being able to give us zero deaths on the highway as they're promising.
[00:14:33.857 --> 00:14:34.517]  Think about that.
[00:14:35.138 --> 00:14:44.761]  An accident, if you let these things go into fully autonomous mode at this point, you would have an accident every 5,000 miles, about as frequently as you change your oil or rotate your tires.
[00:14:45.341 --> 00:14:47.302]  But it's far worse for Mercedes-Benz.
[00:14:48.242 --> 00:14:49.603]  They're not doing as well as Waymo.
[00:14:49.643 --> 00:14:57.126]  They have to have a disengagement, in other words, they have a software malfunction, total software malfunction, where human drivers need to intervene.
[00:14:57.446 --> 00:14:59.847]  They have that happen once every two miles.
[00:15:00.899 --> 00:15:02.360]  But folks, it is coming.
[00:15:02.981 --> 00:15:06.283]  And it is coming because the government wants it to come.
[00:15:06.784 --> 00:15:11.027]  The government wants to put us into an Agenda 21 reservation system.
[00:15:11.668 --> 00:15:18.813]  They want to track everything that we do, follow us everywhere we go, and tax us for every mile that we travel.
[00:15:19.654 --> 00:15:21.995]  And they want the partnership of the corporations to do this.
[00:15:22.135 --> 00:15:24.236]  This is going to be a kind of economic fascism.
[00:15:24.616 --> 00:15:37.121]  There will be favors handed out to a few car companies that will be allowed to have the taxi, the robotic taxi business, and they are jockeying for favor with the governments at this point.
[00:15:37.141 --> 00:15:43.023]  That's what the Audi commercial, as I pointed out on the radio on Friday, that's what the Audi commercial was all about.
[00:15:43.043 --> 00:15:44.464]  They weren't trying to sell cars to women.
[00:15:45.199 --> 00:15:52.084]  They weren't showing them a dramatic soapbox derby race and saying, that was you as a child, but now you can drive an Audi.
[00:15:52.144 --> 00:15:54.306]  No, they were complaining about equal pay for equal women.
[00:15:54.767 --> 00:16:05.235]  They didn't show anybody riding cars, and they didn't show that as being the fulfillment of a girl's dream, her crowning accomplishment in the field of business to be able to afford an Audi.
[00:16:05.255 --> 00:16:07.356]  They weren't selling the driving experience.
[00:16:08.223 --> 00:16:13.827]  They were complaining about unequal treatment, so their target market was not women, even.
[00:16:14.187 --> 00:16:18.070]  Their target market was the government, for which they hope they're going to get favors from.
[00:16:18.490 --> 00:16:21.072]  Wall Street Journal points out, the end of employees.
[00:16:21.112 --> 00:16:26.295]  They say, never before have big employers tried so hard to hand over chunks of their business to contractors.
[00:16:26.676 --> 00:16:32.380]  From Google to Walmart, the strategy prunes costs for firms and job security for millions of workers.
[00:16:33.280 --> 00:16:34.100]  We're good.
[00:16:50.766 --> 00:17:00.851]  And they're going to start outsourcing away from the slave labor of China, or India, or third world countries, and they're going to start outsourcing to machines, to robots.
[00:17:01.431 --> 00:17:07.334]  That is the true threat to human independence, to our lives as individual humans.
[00:17:07.375 --> 00:17:09.756]  And we've seen this happen before with the Indian reservations.
[00:17:10.376 --> 00:17:30.079]  That's a perfect example where they were boxed in, not allowed freedom or independence, and even as we see with the Bureau of Indian Affairs, they would shut down many independent Indian businesses, not allowing them the freedom to start their own business, not allowing them the freedom to travel, taking their children away from them in the early days, transporting them across the country.
[00:17:30.700 --> 00:17:33.101]  To be schooled away from their parents.
[00:17:33.502 --> 00:17:40.205]  All of these are tactics that they have now refined and sophisticated for the 21st century.
[00:17:40.705 --> 00:17:50.931]  And you have to understand that the end run of all of this movement away towards automation as we see with Amazon having a supermarket that only has three employees before they have a supermarket that has none.
[00:17:51.171 --> 00:17:52.432]  Who is going to buy their goods?
[00:17:53.072 --> 00:17:53.812]  They don't care.
[00:17:54.133 --> 00:17:55.433]  They want to contain you.
[00:17:55.694 --> 00:17:56.714]  They want to control you.
[00:17:56.994 --> 00:18:00.917]  The cars are a big part of it, but of course the work is a big part of it as well.
[00:18:01.277 --> 00:18:12.904]  Once they pacify you, and you're unable to do anything, and the surveillance network, and you've been pacified so that you don't have any skills, you don't have any ambition, then it's time for the soft kill.
[00:18:13.544 --> 00:18:14.845]  Stay with us, we're going to take a quick break.
[00:18:15.125 --> 00:18:23.749]  We're going to be right back and we're going to talk about the fight about the immigration travel ban, the temporary travel ban that Donald Trump has put in, and the pushback by the judge.
[00:18:24.129 --> 00:18:24.889]  What's behind that?
[00:18:24.969 --> 00:18:25.730]  Will it be taken down?
[00:18:25.770 --> 00:18:26.390]  We'll be right back.
[00:18:36.536 --> 00:18:43.226]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:18:43.486 --> 00:18:45.549]  You better believe you got one!
[00:19:01.587 --> 00:19:15.655]  Now what I'm announcing here today is already a custom here in the United States, and that is extending the Christmas holiday up until New Year's Eve and then taking down the Christmas trees and taking down the Christmas lights.
[00:19:15.795 --> 00:19:16.855]  Ooh, I keep saying Christmas.
[00:19:17.516 --> 00:19:18.676]  I'm so politically incorrect.
[00:19:19.136 --> 00:19:22.338]  The day after New Year's Eve or New Year's Day.
[00:19:22.878 --> 00:19:27.161]  And so I've decided right through New Year's Day, we're going to keep
[00:19:27.981 --> 00:19:45.818]  The virtual Christmas tree or an HD video shot of downtown Austin at the capital of the beautiful Christmas tree up just to upset the social justice warriors and all the little snowflakes that want to bully us into banning our culture and banning free speech.
[00:19:46.238 --> 00:19:49.781]  In fact, there's a war going on, not just online, but in the streets.
[00:19:49.841 --> 00:19:56.425]  I've seen it, where people on the hike and bike trails say Merry Christmas, and then folks don't respond and they say Happy Holidays!
[00:19:56.966 --> 00:20:04.932]  Or even family I have, that I send the message of Merry Christmas to, they respond back with Happy Holidays.
[00:20:04.992 --> 00:20:07.454]  It is some distant cousins, but it's going on.
[00:20:08.325 --> 00:20:18.469]  But we're also going to extend the Christmas sale right through until New Year's Eve, until everything sells out at InfoWarsTore.com.
[00:20:18.489 --> 00:20:30.473]  Now, we normally try to budget things to where, in the warehouse, most of the products sell out by year-end, and the new products come in in a few weeks or a month after, because we have to pay taxes on inventory.
[00:20:31.233 --> 00:20:35.934]  And this year, I've decided to extend the sale until everything completely sells out.
[00:20:36.094 --> 00:20:52.257]  So to be clear, almost every one of our best-selling nutraceutical supplements is selling out, and for a good reason, because here are the specials that we're running until they sell out or until the new year comes here in just about four or five days.
[00:20:52.997 --> 00:20:54.058]  Living Defense, 30% off.
[00:20:55.618 --> 00:20:57.319]  Super Mel Vitality, 30% off.
[00:20:57.359 --> 00:20:58.179]  These are huge specials.
[00:20:58.639 --> 00:21:00.320]  Silver Bullet Coil Silver, 50% off.
[00:21:01.581 --> 00:21:03.881]  Brain Force Plus, 33% off.
[00:21:04.222 --> 00:21:06.843]  Winter Sun Vitamin D, 25% off.
[00:21:07.323 --> 00:21:10.104]  And again, a lot of these are selling out as we speak or have sold out.
[00:21:10.384 --> 00:21:12.745]  Survival Shield X2, 30% off.
[00:21:12.805 --> 00:21:15.526]  Bio True Selenium, 30% off.
[00:21:15.626 --> 00:21:18.868]  And then let me finish up with this, the Coup De Grace.
[00:21:19.608 --> 00:21:23.630]  Store-wide free shipping until New Year's Day.
[00:21:23.730 --> 00:21:26.412]  Store-wide at InfoWarsTore.com.
[00:21:26.812 --> 00:21:36.637]  On the non-GMO heirloom seeds, and the Trump is my president shirts, and Hillary for prison 2017 shirts, and deport George Soros, the goblin globalist specials.
[00:21:37.217 --> 00:21:38.518]  Store-wide free shipping.
[00:21:39.738 --> 00:21:45.500]  50 to 30 percent off on scores of items and all of these are super high quality products.
[00:21:45.800 --> 00:21:51.501]  They help fund the spearhead in the fight against the globalists and they are game changers.
[00:21:51.861 --> 00:21:54.342]  We couldn't have built this operation without you.
[00:21:54.502 --> 00:21:56.922]  So you're not standing beside us or behind us.
[00:21:57.302 --> 00:21:58.723]  You are standing at the heart
[00:21:59.423 --> 00:21:59.623]  Thank you.
[00:22:16.537 --> 00:22:28.847]  I certainly hope and pray you had a blessed and merry Christmas, and I'm really focusing and working hard to make sure we have a great new year as Americanism, not globalism, accelerates into the future.
[00:22:29.208 --> 00:22:44.921]  So again, I want to encourage you all, take advantage of the biggest sales of 2016 with Christmas sales extended with free shipping store-wide and 50 to 30% off on high-quality supplements and many other items at InfoWarsTore.com
[00:22:45.461 --> 00:22:46.762]  And Infowarslife.com.
[00:22:47.162 --> 00:22:51.325]  I'm Alex Jones signing off from the Central Texas News Center in Austin.
[00:22:51.385 --> 00:22:58.749]  Go to Infowarsstore.com today for 30-50% off specials while supplies last plus free shipping or call 1-888-253-3139
[00:23:04.943 --> 00:23:11.308]  Today was a deadline for legal briefs to be filed by the government in defense of Trump's travel ban to certain countries.
[00:23:11.389 --> 00:23:12.910]  And of course, that was going to be done today.
[00:23:12.930 --> 00:23:18.094]  Either way, it looks like this case is going to go before the Supreme Court, win or lose.
[00:23:18.695 --> 00:23:24.640]  Now, we've had a lot of national security advisors and foreign policy officials, State Department officials, who have now weighed on this.
[00:23:25.180 --> 00:23:30.745]  We also have 100 tech companies that have weighed in on the so-called Trump travel ban.
[00:23:31.326 --> 00:23:32.166]  And let me just say this.
[00:23:32.887 --> 00:23:44.515]  For all the people who are so upset and calling this a Muslim ban, saying that you're banning Muslims, were they ever concerned about the fact that Obama was bombing Muslims?
[00:23:45.256 --> 00:23:49.859]  Are they calling for the bombing of Muslims to stop in these seven countries?
[00:23:50.359 --> 00:24:00.547]  Understand that in all seven of these countries, as we will see, we have not only bombings going on, but troops being put there, with the possible exception of Iran, and of course things are heating up there as well.
[00:24:00.867 --> 00:24:10.775]  But in all the other six countries, we do have American forces on the ground, and there are bombing campaigns that are being carried on by us, or directly, or by our surrogates.
[00:24:11.316 --> 00:24:15.078]  Why isn't the left, who is so concerned about humanity,
[00:24:15.879 --> 00:24:19.864]  And humanitarian causes, why are they not calling for the bombing to be stopped?
[00:24:19.884 --> 00:24:23.668]  Why are they only concerned about the fact that people are coming into this country?
[00:24:24.169 --> 00:24:31.877]  Now we see, as we see, Madeleine Albright, Condoleezza Rice, former CIA directors, Michael Hayden, Michael Morrell,
[00:24:32.538 --> 00:24:35.643]  Understand that these people are all on the same side.
[00:24:36.264 --> 00:24:46.018]  Condoleezza Rice was with Bush, Madeleine Albright was with the Clintons, and yet they're all part of the globalist establishment, the perpetual war establishment.
[00:24:46.650 --> 00:24:47.210]  That's what we see.
[00:24:47.411 --> 00:24:50.013]  They are opposing Donald Trump on this travel ban.
[00:24:50.373 --> 00:24:53.756]  They want to use this as an excuse to bring people into this country.
[00:24:54.256 --> 00:25:03.804]  We first see tech leaders have put together nearly 100 companies and a legal brief, have filed a sympathetic brief here in this argument going before the court.
[00:25:04.764 --> 00:25:09.286]  They said that it inflicts significant harm on American business.
[00:25:10.166 --> 00:25:13.107]  And I have to ask them, really, why would that be?
[00:25:13.227 --> 00:25:17.048]  Because these are the companies, these tech companies that want to use H-1B visas.
[00:25:17.728 --> 00:25:23.711]  They want to bring people in and use them to replace American engineers at half the price, or less.
[00:25:23.971 --> 00:25:27.632]  This is also something we've seen from Disney, using a variant of that.
[00:25:28.172 --> 00:25:28.592]  We're good to go.
[00:25:48.797 --> 00:25:51.818]  Are Somalia and Libya high-tech centers?
[00:25:52.218 --> 00:25:52.519]  Really?
[00:25:52.639 --> 00:25:55.960]  Do we have to get state-of-the-art engineers from those areas?
[00:25:56.040 --> 00:25:58.921]  I don't think there are any state-of-the-art engineers in those areas.
[00:25:59.241 --> 00:26:02.563]  They aren't in Iran, Iraq, Sudan, Syria or Yemen either.
[00:26:03.363 --> 00:26:05.864]  Those are not places that you go to to get
[00:26:07.605 --> 00:26:08.385]  I don't think so.
[00:26:36.860 --> 00:26:37.521]  Are you kidding me?
[00:26:38.121 --> 00:26:39.162]  They've been doing this all along.
[00:26:39.182 --> 00:26:40.603]  That's why we have this situation.
[00:26:41.403 --> 00:26:50.250]  Meanwhile, we've got Kerry, Panetta, we've got Madeleine Albright, we have Condoleezza Rice, all of them saying this is going to endanger troops in the field.
[00:26:50.290 --> 00:27:02.459]  And that gets back to what I just said, in the sense that in all of these countries, with the possible exception of Iran, we don't know if there's troops in Iran or not, but we do know that they have put troops in Libya, Syria, Somalia, Sudan, Iraq, and Yemen.
[00:27:03.735 --> 00:27:20.944]  And again, why is it more of a danger to the troops to say that we're not going to allow people that we say these are countries who say they're dangerous enough, there's enough terrorism or whatever going on there, whether that's true or not, we say they're dangerous enough that we have to send bombs, we have to send troops, but we cannot vet the people who are coming into this country.
[00:27:21.044 --> 00:27:29.628]  And the fact that people cannot immigrate into this country is supposed to be more of an irritant to people in that country than if we drop bombs on their weddings?
[00:27:29.988 --> 00:27:30.709]  I don't think so.
[00:27:31.649 --> 00:27:32.469]  Meanwhile we have
[00:27:33.972 --> 00:27:39.273]  The anti-Trump protesters are blocking ambulances that are trying to rush people to the hospital.
[00:27:39.314 --> 00:27:41.134]  This is something that we knew was coming.
[00:27:41.194 --> 00:27:54.318]  I reported on this and actually I put a poll up on my Twitter account back on January the 20th saying laws have been introduced in multiple states to fine protesters blocking the roads or to remove penalties for accidental hitting of protesters when they block the road.
