[00:00:00.169 --> 00:00:02.772]  Nascent Iodine is essential.
[00:07:36.531 --> 00:07:39.214]  That was an incredible interview for so many reasons.
[00:07:39.335 --> 00:07:45.181]  I think the most telling line was her saying, I can't be anything other than what I am.
[00:07:45.201 --> 00:07:51.088]  And for Hillary Clinton, to the frustration of a lot of her supporters,
[00:07:51.909 --> 00:07:57.114]  That includes being somebody who has some difficulty taking responsibility for what happens.
[00:07:57.615 --> 00:08:09.987]  Now she did, she had a pretty remarkable moment where she said that she definitely has regrets, she definitely takes responsibility in some ways, that she is also spending time looking for...
[00:08:11.032 --> 00:08:12.293]  We're good to go.
[00:08:30.270 --> 00:08:45.788]  Quoting Nate Silver, the statistician, that if the election were held on October 27th, the day before James Comey sent his letter saying that they are reopening the investigation into her emails, that she would have been your president.
[00:08:46.088 --> 00:08:46.809]  She said it like that.
[00:08:47.129 --> 00:08:48.751]  And then of course, blaming Russia as well.
[00:08:49.172 --> 00:08:49.712]  But you know what?
[00:08:50.093 --> 00:08:50.753]  Having said that...
[00:08:51.534 --> 00:08:58.095]  She did win 3 million more votes in the general election than Donald Trump.
[00:08:58.295 --> 00:08:59.296]  And it's got to be painful.
[00:08:59.436 --> 00:09:00.216]  It's got to be hard.
[00:09:00.336 --> 00:09:03.316]  It's got to be almost impossible to come to terms with.
[00:09:03.537 --> 00:09:05.757]  Brianna, you covered that campaign.
[00:09:05.957 --> 00:09:07.477]  You were with her very often.
[00:09:07.517 --> 00:09:15.179]  She describes herself now as an activist citizen, part of the resistance, but she also had a little bit of blunt criticism of the president.
[00:09:15.359 --> 00:09:33.227]  Downright trolling him, I think we might say at some point, where she says, I did win 3 million more votes, and she talks about Donald Trump tweeting about foreign affairs versus her, and she indicated that she's fine with him tweeting about her because, quote, I'm happy to be the diversion.
[00:09:33.727 --> 00:09:35.108]  So that was where she's...
[00:09:36.088 --> 00:09:44.156]  I mean in a way you can almost see or think of Donald Trump, if he's watching this, having a visceral reaction as he does to these kinds of things.
[00:09:44.957 --> 00:09:50.422]  But there was, it did strike me that she seemed to say, I've taken some responsibility.
[00:09:51.242 --> 00:09:52.203]  You'll see it in the book.
[00:09:52.223 --> 00:09:53.004]  She made some mistakes.
[00:09:53.024 --> 00:09:53.504]  That's right.
[00:09:53.604 --> 00:09:55.225]  And we haven't seen that as much.
[00:09:55.305 --> 00:10:02.350]  She certainly is always first to go to external factors, be it James Comey or WikiLeaks.
[00:10:02.450 --> 00:10:07.034]  We didn't hear any mention of the original sin of her campaign, which was her email process.
[00:10:07.394 --> 00:10:10.516]  I know that Democrats are so sick of hearing about it.
[00:10:13.104 --> 00:10:16.066]  It certainly affected her trust.
[00:10:16.246 --> 00:10:19.467]  I'm going to be really interested to see what she has been writing.
[00:10:19.487 --> 00:10:22.068]  She says, when I'm not walking in the woods, I'm writing.
[00:10:22.108 --> 00:10:30.953]  Because the last books that she's written, Hard Choices in Living History, these were the books written by someone who had a political future in front of them.
[00:10:31.593 --> 00:10:34.934]  And the expectation now, I think, is that that is behind Hillary Clinton.
[00:10:34.994 --> 00:10:36.395]  Is she going to be less cautious?
[00:10:36.435 --> 00:10:38.236]  Is she going to be a little more forthcoming?
[00:10:41.499 --> 00:10:42.942]  Well there you go.
[00:10:43.143 --> 00:10:47.072]  That wasn't actually Clinton taking no responsibility.
[00:10:47.092 --> 00:10:47.773]  Do we have that clip?
[00:10:49.813 --> 00:10:50.634]  All the other people.
[00:10:50.694 --> 00:10:52.696]  That was the rest of the talking heads just blaming.
[00:10:52.716 --> 00:10:53.957]  That's typical Hillary, though.
[00:10:53.977 --> 00:10:56.399]  She's blaming everyone else but herself.
[00:10:57.219 --> 00:10:59.441]  And it's the old, tired, same old story.
[00:10:59.602 --> 00:11:00.522]  Russian propaganda.
[00:11:00.542 --> 00:11:09.990]  You know what's funny about that is so Russian propaganda was so powerful that it influenced the entire country except for states like California.
[00:11:10.011 --> 00:11:11.312]  Yeah, California and New York were immune to it.
[00:11:11.332 --> 00:11:14.394]  Were somehow immune to the Russian propaganda.
[00:11:14.414 --> 00:11:16.176]  They were too smart for that.
[00:11:16.636 --> 00:11:17.377]  They didn't fall for it.
[00:11:18.726 --> 00:11:22.949]  No, and I think also is maybe all the illegals that were voting.
[00:11:23.049 --> 00:11:25.771]  We'll never even have an investigation on that.
[00:11:25.871 --> 00:11:27.652]  Sounds like a conspiracy theory.
[00:11:27.672 --> 00:11:30.634]  So, but here's an interesting story.
[00:11:31.514 --> 00:11:32.855]  This is on InfoWars.com.
[00:11:32.875 --> 00:11:35.977]  Kellyanne Conway throws Hillary Clinton's woman card back in her face.
[00:11:37.338 --> 00:11:39.339]  Signed the tweet from a woman in the White House.
[00:11:39.359 --> 00:11:44.983]  Kellyanne Conway fired back at Hillary Clinton in defense of President Trump's electoral victory late Tuesday night.
[00:11:46.783 --> 00:11:47.783]  Conway wasn't having it.
[00:11:47.843 --> 00:11:48.984]  She opened up, let's read her tweet.
[00:11:49.004 --> 00:11:52.905]  It says, you ignored Wisconsin, which Trump didn't.
[00:11:53.065 --> 00:11:54.185]  I went all over Wisconsin.
[00:11:54.405 --> 00:11:54.846]  He was there.
[00:11:55.246 --> 00:11:59.047]  You called us deplorable, irredeemable, had oodles of money and no message.
[00:11:59.067 --> 00:12:02.248]  Yeah, she spent way more money, like five times as much.
[00:12:02.368 --> 00:12:02.848]  I don't even know.
[00:12:03.348 --> 00:12:07.689]  I think she spent almost a billion, maybe even more than a billion dollars, and he spent like a couple hundred million.
[00:12:08.010 --> 00:12:11.971]  So the Russian propaganda also kept people from going to her rallies.
[00:12:12.091 --> 00:12:12.871]  Yeah, exactly.
[00:12:13.211 --> 00:12:14.131]  It made her co-opt
[00:12:16.840 --> 00:12:17.161]  That's right.
[00:12:35.812 --> 00:12:36.232]  Oh, yeah.
[00:12:36.432 --> 00:12:41.675]  By speaking engagements that's getting paid, you know, pretty close to what a half million dollars by Wall Street.
[00:12:41.715 --> 00:12:44.937]  Well, you know, that's payback for all the good stuff he did back when he was president.
[00:12:44.957 --> 00:12:48.279]  They couldn't really pay him off at that time.
[00:12:48.799 --> 00:12:50.280]  When you get out, come on in.
[00:12:50.800 --> 00:12:51.260]  We'll pay you.
[00:12:51.340 --> 00:12:51.701]  What was that?
[00:12:53.081 --> 00:12:53.521]  All right.
[00:12:54.822 --> 00:12:56.483]  Well, our next guest is on the line.
[00:12:56.583 --> 00:12:59.985]  And hey, guys, at some point, can y'all come in and try to get this working, this computer?
[00:13:01.732 --> 00:13:02.172]  At some point.
[00:13:02.252 --> 00:13:03.232]  Our next guest is on the line.
[00:13:03.672 --> 00:13:04.753]  It is Ben Garrison.
[00:13:05.113 --> 00:13:11.874]  He's going to tell us how you can get his amazing book, which we'll be thumbing through as we go through this interview.
[00:13:12.634 --> 00:13:17.095]  The 2016 Presidential Election Collection by Ben Garrison.
[00:13:17.355 --> 00:13:20.736]  I'm not sure if he'll be smoking a cigar now, but Ben, are you there?
[00:13:20.756 --> 00:13:23.457]  I don't smoke cigar in the house.
[00:13:25.852 --> 00:13:28.715]  Yeah, I'm here and am I speaking to Rob?
[00:13:29.036 --> 00:13:31.859]  Yes, this is Rob Dew and you got Darren McBreen as well.
[00:13:31.879 --> 00:13:33.901]  Okay, good to be on your show.
[00:13:34.061 --> 00:13:35.042]  Hey Ben, good to have you.
[00:13:36.926 --> 00:13:38.167]  So where do we start, Ben?
[00:13:38.187 --> 00:13:40.069]  I mean, we've got Trump in the White House.
[00:13:40.129 --> 00:13:48.656]  It looks like... I think you were one of the main purveyors of that, at least image-wise, to be putting these out and people were spreading these.
[00:13:48.696 --> 00:13:49.978]  They were little memes on their own.
[00:13:50.438 --> 00:13:53.861]  They didn't even need, you know, an extra meme text on the top or bottom.
[00:13:54.321 --> 00:14:01.267]  But now we've got him in and now we've seen, you know, we've got a hundred days and we're looking and we see, you know, some things we don't like, some things we like.
[00:14:01.648 --> 00:14:02.769]  What's your overall impression?
[00:14:04.671 --> 00:14:05.892]  Overall, I'm happy.
[00:14:06.072 --> 00:14:07.653]  Progress has been made.
[00:14:07.673 --> 00:14:09.014]  I still support Trump.
[00:14:10.595 --> 00:14:12.736]  I was disappointed with the Syrian bombings.
[00:14:12.796 --> 00:14:18.780]  That really disturbed me because he said we're not going to be in the business of nation building.
[00:14:18.800 --> 00:14:21.962]  We're going to rebuild our own nation.
[00:14:22.896 --> 00:14:28.459]  And so that was the very first quasi-negative cartoon I drew of Trump.
[00:14:28.479 --> 00:14:36.384]  That's not in the book, but I had Rand Paul on one side, the angel telling him not to do it, and I had
[00:14:37.259 --> 00:14:42.022]  I had McCain as the devil telling him, yeah Warren, let's go for it.
[00:14:43.403 --> 00:14:44.283]  Money could be made.
[00:14:44.803 --> 00:14:55.990]  Well, when I drew that cartoon, and I think it was based on a false flag too, so I drew that cartoon and instantly lost a lot of Patreon supporters and Twitter followers.
[00:14:56.810 --> 00:15:01.494]  I gotta call it as I see it, and that one, you know, it had to be drawn.
[00:15:01.934 --> 00:15:08.399]  But overall, I've still been drawing fairly positive Trump cartoons, although the swamp has gotten bigger.
[00:15:09.079 --> 00:15:19.947]  In my book, I have him pulling the plug on the swamp, and it looks like Trump is this looming figure, and he's reaching into the swamp and pulling the plug, and they're all going swirling down the drain.
[00:15:20.726 --> 00:15:27.431]  Well, I drew another variation of that, and the swamp appears much more vast.
[00:15:28.231 --> 00:15:33.054]  And now the swamp monster is coming after him, saying, what the hell do you think you're doing?
[00:15:33.095 --> 00:15:34.515]  And I have much smaller Trump.
[00:15:34.996 --> 00:15:42.361]  So the task is a lot more monumental than many people might have thought.
[00:15:42.381 --> 00:15:48.965]  Well, and I think our overall opinion in this society we live in now, which is instant gratification, that
[00:15:50.066 --> 00:15:58.892]  Oh, Trump's gonna come in and in two weeks, 100 days, everything's gonna be different and Hillary will be in prison and everything, you know, we'll have nothing to worry about.
[00:16:00.653 --> 00:16:04.376]  I'm guilty of that myself, I have to admit, but I'm not giving up on it.
[00:16:04.396 --> 00:16:10.760]  Some people out there, I've seen some YouTube videos, I'm gonna give them until May and then I'm gonna really turn against them and I'm not gonna do that.
[00:16:11.281 --> 00:16:13.142]  I'm gonna, I'm gonna just see if, you know,
[00:16:13.979 --> 00:16:21.983]  He did NTPP, and he's making progress on the jobs, and he wants to get rid of Obamacare.
[00:16:22.003 --> 00:16:23.263]  I mean, it's only been 100 days.
[00:16:23.303 --> 00:16:25.985]  Let's give the guy a shot.
[00:16:26.485 --> 00:16:27.385]  I was disappointed.
[00:16:27.425 --> 00:16:30.086]  I drew another one where I showed him as in a tug-of-war.
[00:16:30.106 --> 00:16:37.670]  Steve Bannon was on one side of Trump, and Trump was the rope, and the other people are the Kushner and Ivanka, who are
[00:16:38.425 --> 00:16:40.565]  A little bit more Democrats, I guess.
[00:16:40.585 --> 00:16:43.026]  They lean more toward the Democrats.
[00:16:43.086 --> 00:16:46.227]  I think Kushner even has a Soros connection, which disturbed me.
[00:16:46.827 --> 00:17:03.090]  So I showed him kind of trying to drag them toward the globalist side with the swamp, and I had Bannon trying to drag him back over to his campaign promises and the people who all believe he should continue to try to make America great again.
[00:17:03.683 --> 00:17:04.984]  Yeah and Bannon's outnumbered.
[00:17:05.264 --> 00:17:17.575]  I mean he's got Kushner and Ivanka who both have the ear of Trump and they seem to be a lot more ideologically influenced than I thought and less common sense influenced for being that successful.
[00:17:17.635 --> 00:17:18.916]  They seem to be duped by
[00:17:19.932 --> 00:17:22.813]  The propaganda that we've debunked over and over again.
[00:17:22.893 --> 00:17:28.055]  You know, anytime it's clear pictures of dead children, you know there's something wrong.
[00:17:28.155 --> 00:17:34.897]  Because anytime it's dead children anywhere else in the world, we either don't see them or they are blurred out.
[00:17:34.977 --> 00:17:37.378]  But here it was in your face over and over again.
[00:17:37.398 --> 00:17:38.379]  You in pictures.
[00:17:38.879 --> 00:17:40.179]  It was babies in incubators 2.0.
[00:17:41.460 --> 00:17:42.000]  Exactly.
[00:17:42.020 --> 00:17:43.240]  That's the point.
[00:17:43.260 --> 00:17:45.061]  That's exactly the way I feel about it.
[00:17:45.971 --> 00:17:52.292]  And, you know, overall, I'm not too happy with a lot of his cabinet choices, a lot of the Goldman Sachs men and Tillerson.
[00:17:52.332 --> 00:17:57.473]  I mean, I'm not too crazy about that, but maybe he needs these people in there because they know where their bodies are buried.
[00:17:57.593 --> 00:17:58.033]  I don't know.
[00:17:58.494 --> 00:18:10.476]  Now, when I drew that cartoon, Roger Stone follows me on Twitter, and he commented he didn't agree with it at all, and that we should, you know, Trump knows what he's doing and is his own man and making his own decisions, and that's reassuring.
[00:18:11.056 --> 00:18:13.117]  And I have a lot of respect for Roger Stone.
[00:18:13.157 --> 00:18:14.838]  I've read many of his books.
[00:18:14.898 --> 00:18:15.819]  So I hope he's right.
[00:18:16.399 --> 00:18:20.341]  Maybe Trump really is indeed playing like 4D, 5D chess.
[00:18:21.061 --> 00:18:25.384]  And I just don't know what's going on on the inside, naturally.
[00:18:25.524 --> 00:18:28.185]  But still, I have to draw it as I see it.
[00:18:30.495 --> 00:18:54.276]  You know, that's why I'm just going to try to keep the faith and hope that he can come through on things such as, you know, the wall and rebuilding infrastructure and try to stay out of all these globalist wars and all the intrigue that comes from the multinational globalist central bankers who are really
[00:18:55.447 --> 00:18:56.907]  Have been in charge for too long.
[00:18:56.927 --> 00:18:59.288]  I mean, there really are sovereigns now.
[00:18:59.348 --> 00:19:00.268]  They're above the law.
[00:19:00.308 --> 00:19:01.669]  They can't be prosecuted.
[00:19:02.129 --> 00:19:05.650]  And Hillary, unfortunately, is part of that system.
[00:19:05.690 --> 00:19:07.090]  And WikiLeaks confirmed that.
[00:19:07.190 --> 00:19:11.071]  I mean, she all but told the bankers, hey, I'm on your side.
[00:19:11.111 --> 00:19:15.212]  I'm going to fork over a bunch of guff to the voters because they're a bunch of
[00:19:16.232 --> 00:19:20.454]  Very much a sap, so believe any kind of empty platitudes I shovel at them.
[00:19:20.714 --> 00:19:22.075]  But I'm really on your side now.
[00:19:22.315 --> 00:19:23.575]  They'll pay me some more millions.
[00:19:23.876 --> 00:19:26.277]  Yeah, I've got a public and private position.
[00:19:26.297 --> 00:19:27.197]  No doubt about it.
[00:19:27.257 --> 00:19:30.859]  I mean, that was just, you know, hey, that's confirmation.
[00:19:31.279 --> 00:19:40.423]  And the one really good thing that resulted in this entire election campaign was that the deep state, the shadow state,
[00:19:41.181 --> 00:19:42.081]  They tipped their hand.
[00:19:42.321 --> 00:19:44.482]  It's no longer a conspiracy theory.
[00:19:44.602 --> 00:19:45.783]  It's a conspiracy.
[00:19:46.283 --> 00:19:49.584]  And so the shadow government is real and he's fighting.
[00:19:49.724 --> 00:20:00.668]  He's up against this immense swamp that includes the NSA and the CIA and, you know, the Soros's and everybody who's got the grapple hooks on Congress.
[00:20:01.248 --> 00:20:09.211]  So Trump may be our last best hope because if this doesn't work and he's unable to
[00:20:10.783 --> 00:20:22.829]  You know rest control out of these the shadow government and back into the we the people and we the people unfortunately are now we the criminals that's how we're treated and we're you know routinely spied on and treated with contempt
[00:20:23.624 --> 00:20:31.012]  But if this doesn't get turned around soon, then I'm thinking this Trump administration might be our last chance.
[00:20:31.093 --> 00:20:32.674]  Otherwise, what else do we have?
[00:20:32.794 --> 00:20:34.576]  Well, probably revolution.
[00:20:34.837 --> 00:20:38.281]  Yeah, a cartridge box, because the ballot box will have failed.
[00:20:38.501 --> 00:20:41.564]  And we're either criminals or we're Russian agents.
[00:20:43.049 --> 00:21:08.664]  You know and you know before you you came on the show we were talking about how unfortunate I want to talk about the difference between late-night comedy and the kind of comedy cartoons that that you draw and unfortunately we're talking about how there's millions of Americans across the country who they get their news source from late-night comedy they get their news from they trust
[00:21:10.034 --> 00:21:16.499]  Like Saturday Night Live, Stephen Colbert, Oliver, Jimmy Kimmel.
[00:21:16.720 --> 00:21:19.802]  They trust those guys more than they do the mainstream news media.
[00:21:20.463 --> 00:21:20.823]  What's that?
[00:21:21.644 --> 00:21:22.644]  Don't forget Bill Maher.
[00:21:23.085 --> 00:21:24.386]  Oh yeah, and Bill Maher, of course.
[00:21:24.866 --> 00:21:28.229]  And so that's their go-to news source nowadays.
[00:21:28.629 --> 00:21:38.317]  In fact, guys, if you could play that clip, we're going to play a short compilation of late-night television going after the Alex Jones and, of course, President Trump.
[00:21:38.337 --> 00:21:38.958]  Let's check it out.
[00:21:41.726 --> 00:21:42.469]  I'm a throwback!
[00:21:42.670 --> 00:21:43.152]  I'm here!
[00:21:43.513 --> 00:21:44.999]  I've got the fire of human liberty!
[00:21:45.200 --> 00:21:46.445]  I'm setting fires everywhere!
[00:21:50.516 --> 00:21:55.299]  Uh, welcome back to Brain Fight, sovereign citizens of the Brain Nation.
[00:21:55.859 --> 00:21:57.440]  Old Tuck's riled up today.
[00:21:57.460 --> 00:22:06.484]  Okay, my ex-wife thinks she can conspire with the government to divorce me and take my children, but I'm fighting back with my brain fist, okay?
[00:22:06.504 --> 00:22:09.806]  Because my mind is a weapon, and my skull's a cage.
[00:22:10.226 --> 00:22:11.907]  For your protection, alright?
[00:22:12.247 --> 00:22:15.429]  For everyone's protection, because I've got power, okay?
[00:22:15.749 --> 00:22:16.510]  I'm a father!
[00:22:18.611 --> 00:22:22.653]  That man is Alex Jones, and that is actually him at his most presentable.
[00:22:23.533 --> 00:22:25.574]  That is Alex Jones at a job interview.
