[00:00:00.109 --> 00:00:01.857]  Please, spread the word.
[00:04:18.368 --> 00:04:18.748]  Blah!
[00:04:19.881 --> 00:04:27.927]  The major institutions of media and cultural power in the West are almost completely dominated and controlled by the left.
[00:04:28.067 --> 00:04:33.811]  The same left using institutional power to push anti-white racism.
[00:04:33.931 --> 00:04:42.457]  Emboldening actual white supremacists and black supremacists and causing more racial tension.
[00:04:42.557 --> 00:04:43.057]  Stop!
[00:04:43.397 --> 00:04:47.300]  Stop lecturing everyone about historical context.
[00:04:47.560 --> 00:04:55.008]  When you have no frigging idea whatsoever about the true historical context of slavery.
[00:04:55.028 --> 00:05:02.536]  By the way, Paul just reported to me he got BuzzFeed to respond to revelations that the employees were plotting the murder of Donald Trump or promoting it.
[00:05:04.366 --> 00:05:09.247]  DNA Force is finally back in stock at Infowarsstore.com.
[00:05:09.967 --> 00:05:14.688]  DNA Force protects your body from the toxic environment that surrounds us all.
[00:05:14.828 --> 00:05:19.269]  The powerful ingredients include Bio-PQQ and Coenzyme Q10.
[00:05:19.509 --> 00:05:22.010]  Protect yourself against dangerous free radicals.
[00:05:22.210 --> 00:05:24.030]  Optimize cellular energy.
[00:05:24.770 --> 00:05:25.691]  It's DNA Force.
[00:05:25.731 --> 00:05:27.611]  It's available for a limited time only.
[00:05:28.371 --> 00:05:31.792]  Get yours today, right now, at Infowarsstore.com.
[00:05:33.973 --> 00:05:35.594]  You think our information's hardcore?
[00:05:35.954 --> 00:05:37.194]  You think our focus is brutal?
[00:05:37.434 --> 00:05:38.995]  Try our nutraceuticals.
[00:05:39.255 --> 00:05:40.055]  Try our supplements.
[00:05:40.335 --> 00:05:42.956]  We've taken BrainForce and made it BrainForce Plus.
[00:05:43.196 --> 00:05:46.958]  Now at 20% more in the bottle and an even more hardcore formula.
[00:05:47.378 --> 00:05:49.759]  You owe it to yourself to get these products.
[00:05:49.799 --> 00:05:52.260]  They really have worked for myself, my family.
[00:05:52.300 --> 00:05:54.441]  They have five-star reviews by the thousands.
[00:05:55.021 --> 00:05:58.562]  Secure your BrainForce Plus today at InfoWarsLife.com.
[00:05:58.582 --> 00:05:58.902]  Now 20% stronger.
[00:05:58.922 --> 00:05:59.883]  Again, InfoWarsLife.com.
[00:06:03.684 --> 00:06:07.525]  I want to tell you about some of the products at Infowarsstore.com.
[00:06:07.565 --> 00:06:09.425]  We are under constant attack.
[00:06:09.885 --> 00:06:12.106]  You know it by now from the mainstream media.
[00:06:12.306 --> 00:06:15.206]  They're trying to attack us on every level.
[00:06:15.246 --> 00:06:29.549]  Now with the YouTube scandal, they're demonetizing our channels, which again takes a huge chunk out of our income, which is why we always appreciate and rely on you getting the products because that's how we stay afloat.
[00:06:30.249 --> 00:06:31.890]  They can't get to us that way.
[00:06:32.270 --> 00:06:35.091]  They can't pressure you to not buy the products.
[00:06:35.111 --> 00:06:36.091]  They don't have that power.
[00:06:36.552 --> 00:06:39.093]  And that's why you're the key to this entire operation.
[00:06:39.433 --> 00:06:41.834]  We have Super Blue Fluoride Free Toothpaste.
[00:06:42.294 --> 00:06:45.135]  Bubblegum flavor just arrived at Infowarsstore.com.
[00:06:45.155 --> 00:06:46.796]  This is by listener request.
[00:06:47.036 --> 00:06:52.278]  Bubblegum flavored Super Blue Toothpaste now available at Infowarsstore.com in limited supply.
[00:06:52.298 --> 00:06:57.160]  Again, if you're not using fluoride free toothpaste by now,
[00:06:58.001 --> 00:06:59.342]  You're absolutely insane.
[00:06:59.762 --> 00:07:04.087]  Harvard studies, it reduces IQ, it causes bone cancer.
[00:07:04.668 --> 00:07:09.793]  It's not great, let's just put it that way, and I've been using it for about, what, 15 years now?
[00:07:10.554 --> 00:07:13.277]  So, you're gonna buy it anyway, why not buy it from us?
[00:07:13.297 --> 00:07:19.123]  It's in limited supply, but it is available at infowarsstore.com with the new bubblegum flavor.
[00:07:19.703 --> 00:07:31.726]  Super blue fluoride free toothpaste and it supports this network which is under constant demonization and attack because we don't take big fat checks from George Soros.
[00:07:32.026 --> 00:07:34.846]  We don't get put on extremist lists even though they want us to.
[00:07:34.886 --> 00:07:36.927]  That's how they're taking away the YouTube money.
[00:07:37.267 --> 00:07:43.488]  That's why we need your support more than ever because we're not funded by giant corporations who are now
[00:07:44.149 --> 00:07:51.120]  Pulling the plug on YouTube as they move it into a TV thing, a Netflix model, to drown out independent voices.
[00:07:51.361 --> 00:07:54.466]  So, support us by getting the product at Infowarsstore.com.
[00:08:10.791 --> 00:08:21.774]  You have discovered a spearhead in the front lines in the fight against the New World Order, and a 30-hour special transmission in defense of liberty, free speech, and the West.
[00:08:22.354 --> 00:08:32.397]  Coming to you live from the InfoWars.com studios in the recaptured state of Texas, it's Alex Jones.
[00:08:32.838 --> 00:08:33.238]  Yes!
[00:08:37.390 --> 00:08:39.031]  Well, we're 24 hours into the global transmission.
[00:08:39.051 --> 00:08:45.294]  Then I was thinking, we have that new show we do from 3 to 5 live, then the nightly news comes on 7 o'clock.
[00:08:45.334 --> 00:08:46.014]  I talked to the crew.
[00:08:46.034 --> 00:08:48.755]  They just said, hey, most of us only had three hours sleep.
[00:08:49.136 --> 00:08:53.017]  Let's just go right through to 8 o'clock central on the nightly news and tonight live.
[00:08:53.678 --> 00:08:55.479]  That comes like 34, 35 hours.
[00:08:56.779 --> 00:08:57.780]  Simply amazing.
[00:08:57.880 --> 00:08:59.340]  Again, I am your host, Alex Jones.
[00:08:59.961 --> 00:09:04.503]  Infowars.com is the besieged, hated site by tyrants globally.
[00:09:05.373 --> 00:09:13.234]  Prince Philip, I saw this in the Daily Mail last night, or yesterday afternoon, reportedly had some type of fit.
[00:09:13.794 --> 00:09:24.096]  There was a big emergency at the palace and then they announced this morning that he will be retiring from public life now in the next few months, which means if he gets better they'll roll him out and say bye-bye and then that's it.
[00:09:24.736 --> 00:09:26.757]  He's definitely flown over the cuckoo's nest.
[00:09:27.197 --> 00:09:30.057]  I'm sure I will by the time I'm 95 years old.
[00:09:30.477 --> 00:09:34.038]  But if you know about him, he was the Prince of Cyprus
[00:09:34.898 --> 00:09:37.319]  A Greek prince, but not of Greek bloodline.
[00:09:37.719 --> 00:09:43.722]  He is a Transylvanian-Romanian-German, heir to the Austrian-Hungarian Empire.
[00:09:44.802 --> 00:09:49.304]  Even more royal than Queen Elizabeth II, but she was the British bloodline, it was German itself.
[00:09:49.765 --> 00:09:52.486]  House of Windsor, fake name, or Saxe-Coburg-Gothas.
[00:09:54.467 --> 00:09:57.808]  The top hat-wearing Nazi, and he was a Nazi.
[00:09:58.789 --> 00:10:00.769]  So was his cousin, Prince Bernhard of the Netherlands.
[00:10:01.910 --> 00:10:03.491]  Of course, the King of England before him,
[00:10:05.330 --> 00:10:10.055]  Edward VIII, you can Google Edward VIII meets with Hitler, was a Nazi.
[00:10:10.896 --> 00:10:16.261]  And the Nazis had planned to set up the European Union.
[00:10:18.263 --> 00:10:19.725]  That was a plan that Hitler announced in 1939.
[00:10:20.285 --> 00:10:26.392]  He also announced it in 1938 as well, but officially announced it in 1939 at the World Olympics.
[00:10:27.915 --> 00:10:30.158]  So this goes on and on and on.
[00:10:30.218 --> 00:10:33.481]  Hitler invented himself the Olympic symbol of the rings.
[00:10:33.541 --> 00:10:36.104]  He invented the Volkswagen.
[00:10:36.124 --> 00:10:38.927]  He drew it, he designed it, the engine, everything.
[00:10:39.568 --> 00:10:45.113]  He also designed a lot of the looks and sleek designs on wolf-packed submarines.
[00:10:45.373 --> 00:10:52.400]  Hitler was a bad guy, but he did win the German Congressional Medal of Honor, Iron Cross First Class, and Iron Cross Second Class.
[00:10:52.420 --> 00:10:54.702]  They had like ten different classes of those.
[00:10:55.423 --> 00:11:01.488]  And that's why he was admired by the German military, because he was like an Audie Murphy of World War I. Just interesting things people should know.
[00:11:01.929 --> 00:11:05.352]  But again, just search engine, Edward VIII, King of England.
[00:11:06.892 --> 00:11:07.873]  With Adolf Hitler.
[00:11:07.913 --> 00:11:13.982]  There are hundreds of photos, and there's the Queen of England, came out a few years ago as a young girl, hailing, hiling Hitler.
[00:11:15.344 --> 00:11:19.850]  But there is the King of England with his American wife, and they later claimed he advocated because he had an American wife.
[00:11:20.050 --> 00:11:21.352]  No, that's not why.
[00:11:21.492 --> 00:11:22.213]  It's a fact.
[00:11:22.964 --> 00:11:33.327]  There was a treaty with Germany, signed in 1939 by Never Chamberlain, a secret treaty, to double down with the United States in an attack on Russia.
[00:11:33.947 --> 00:11:40.128]  And that's when he broke his deal, I guess in 1941, and launched Operation Barbarossa against the Russians.
[00:11:40.549 --> 00:11:46.230]  But the United States by then broke the secret treaty, and so did the British, broke the secret treaty.
[00:11:46.290 --> 00:11:49.271]  The vice-fuehrer then
[00:11:50.987 --> 00:11:59.393]  Rudolph Hess parachuted in, he was a fighter ace from World War I, parachuted in from his fighter bomber over one of the main palaces with the treaty.
[00:11:59.854 --> 00:12:04.017]  He was then locked up for life in the Tower of London, right by London Bridge.
[00:12:05.638 --> 00:12:06.479]  That's how that works.
[00:12:06.559 --> 00:12:09.161]  So, that's how deep all this goes.
[00:12:09.461 --> 00:12:11.763]  People ask, why would the British be on the Nazi side?
[00:12:12.463 --> 00:12:13.965]  Because right up until the end,
[00:12:15.472 --> 00:12:36.021]  They had deals to do it until they basically announced a secret arrest warrant, this is in mainline history books, for the King of England, because he had run off to Germany when World War II started, and then he had to sneak back through into Spain, then was brought back to England, but had to advocate.
[00:12:36.541 --> 00:12:39.963]  So, I mean, isn't that amazing, amazing history?
[00:12:40.203 --> 00:12:41.624]  And it's all completely on record.
[00:12:42.418 --> 00:12:45.321]  But you don't see it on Discovery Channel, you don't see it on History Channel.
[00:12:45.681 --> 00:12:47.403]  This morning when I got up at 6 a.m.
[00:12:47.543 --> 00:13:05.920]  and turned on Fox News and started punching up Infowars.com and DrudgeReport.com, as I do to monitor fake conservative news on Fox and then look at real news analysis from Drudge and Infowars, you would think that an American icon, George Washington,
[00:13:06.941 --> 00:13:08.461]  Uh, was retiring.
[00:13:09.262 --> 00:13:10.742]  The Duke of Edinburgh!
[00:13:10.762 --> 00:13:12.262]  And they rolled out all these Brits.
[00:13:12.342 --> 00:13:14.323]  I love Brits, but just, you know, Brits on U.S.
[00:13:14.343 --> 00:13:27.606]  TV lecturing us how great the Queen is and how great her consort, the Duke of Edinburgh, Prince Charles' father, how great he is.
[00:13:27.626 --> 00:13:32.287]  This is a guy who on live TV goes, oh my goodness, we have blacks in here.
[00:13:33.047 --> 00:13:35.288]  I'm surprised they know how to screw in light bulbs.
[00:13:36.164 --> 00:13:43.806]  Of course he was best friends with Jimmy Savile, the famous satanist and pedophile who liked to slit little girls' throats with the Prime Minister.
[00:13:44.266 --> 00:13:46.427]  I reported that ten years ago, now it's mainstream news.
[00:13:46.987 --> 00:13:49.828]  There he is in the Scottish Guard regalia.
[00:13:50.428 --> 00:13:59.251]  He couldn't stand the Queen of England, that's in mainline history books, because she was a nymphomaniac demanding sex up to 20 times a day.
[00:14:00.151 --> 00:14:02.573]  And he called her a cow and other names.
[00:14:03.274 --> 00:14:05.416]  He liked really racy, sexy supermodels.
[00:14:06.317 --> 00:14:24.373]  But good friends with the pedophile, confirmed pedophile, Jimmy Savelle, who had the highest level national security, royal security clearance, up until the time he died, to all of the royal palaces, even above MI5 and MI6 and the Royal Guard.
[00:14:26.894 --> 00:14:32.660]  Can't make that stuff up, but let's punch him up in the Scottish Guard regalia.
[00:14:32.700 --> 00:14:35.884]  He looks like what Emperor Palpatine wishes he looked like.
[00:14:36.344 --> 00:14:41.370]  Pure, seething, unabated, absolute vampiric evil.
[00:14:45.157 --> 00:14:49.180]  And the admitted blood transfusions that they get from children, that's admitted.
[00:14:49.981 --> 00:14:54.244]  The Queen of England, him, the Queen Mother lived up to 100 and something with the blood transfusions.
[00:14:55.045 --> 00:14:57.827]  But the old brain finally ain't working on that guy.
[00:14:58.088 --> 00:15:02.031]  You think that snapper, you think that little demon's seen a few things?
[00:15:03.332 --> 00:15:07.195]  95 years old, you want to know who the enemy is, that's it right there.
[00:15:07.255 --> 00:15:08.976]  You want to know who's at the bottom of the rat hole?
[00:15:09.377 --> 00:15:10.257]  People like this.
[00:15:11.881 --> 00:15:13.442]  Lord Rothschild.
[00:15:13.462 --> 00:15:15.282]  I remember talking about the Rothschilds being at the top of the pyramid.
[00:15:15.303 --> 00:15:16.303]  They go, oh, you're anti-semitic.
[00:15:17.223 --> 00:15:18.804]  What, Jews can't be at the top of the pyramid?
[00:15:18.924 --> 00:15:19.684]  Germans can't be?
[00:15:19.724 --> 00:15:20.325]  Transylvanians?
[00:15:20.365 --> 00:15:20.885]  It's a fact.
[00:15:21.445 --> 00:15:22.946]  The Rothschilds aren't even Jewish.
[00:15:23.766 --> 00:15:32.450]  For 200 years, they've been marrying into this French-Merovingian-slash-Transylvanian-slash-Germanic bloodline.
[00:15:32.810 --> 00:15:35.511]  And if you look at the Rothschilds, they look like this guy.
[00:15:37.332 --> 00:15:43.698]  Yeah, they might be some, I think the current Rothschilds in England, the Lords over there, I think are like 12.5% Jewish.
[00:15:43.738 --> 00:15:45.760]  Last time I read a mainstream news article about it.
[00:15:46.521 --> 00:15:49.004]  What they are is New World Order demons.
[00:15:51.506 --> 00:15:55.851]  So you just think about that, you look at that for a long time, ladies and gentlemen, and you think about
[00:15:56.860 --> 00:16:00.084]  Being locked up in some dungeon when one of these boys comes toddling in.
[00:16:00.124 --> 00:16:02.506]  Yeah, he just died at 100 and whatever it was.
[00:16:02.967 --> 00:16:04.889]  First Rockefeller to go past 100.
[00:16:05.750 --> 00:16:09.394]  All of them, back to John D. I, had huge bets they could make it past 100.
[00:16:09.574 --> 00:16:11.857]  None of them did it but David.
[00:16:13.418 --> 00:16:14.279]  Old David.
[00:16:14.960 --> 00:16:17.803]  And old David in the 30s was in Germany for years.
[00:16:18.658 --> 00:16:37.791]  In Army Intelligence, a secret commission that I've been told about by high-level sources, and working for the, what was it, AP, the nice front for those boys, taking famous photos of the Duke of Edinburgh meeting with Hitler, and photos of Hitler early on, before he even launched wars, 36, 37, 38.
[00:16:39.592 --> 00:16:48.038]  Old David was representing the family in Deutschland, making big profits, and Rockefeller-owned factories were not allowed to be bombed by my grandfathers.
[00:16:48.638 --> 00:16:50.520]  Both the Army Air Corps in World War II.
[00:16:50.981 --> 00:16:54.545]  By the way, everything I'm saying you can just search engine and find even mainstream news.
[00:16:56.468 --> 00:17:03.176]  Ford, Chevrolet, Opel factories, tank factories owned by the Rockefellers were not allowed to be bombed.
[00:17:03.656 --> 00:17:06.640]  IBM computer factories were not allowed to be bombed.
[00:17:11.854 --> 00:17:21.536]  That right there, ladies and gentlemen, is the Duke of Edinburgh marching with Adolf A. Louis Hitler and the German High Command.
[00:17:26.897 --> 00:17:28.897]  Isn't that just precious?
[00:17:29.958 --> 00:17:31.658]  Isn't that just delightful?
[00:17:32.398 --> 00:17:34.679]  Isn't that just cutie cake time?
[00:17:36.299 --> 00:17:36.759]  But see,
[00:17:39.264 --> 00:17:48.768]  In this modern world, if your grandfathers thought that Nazis and the mainline Nazi groups hate you more than anybody and David Duke says you're the enemy and all the rest of it, then you get called a David Duke lover.
[00:17:51.630 --> 00:17:54.371]  You get called a David Duke lover in court and lose your children.
[00:17:58.273 --> 00:18:00.354]  That's how America works, ladies and gentlemen.
[00:18:01.574 --> 00:18:04.756]  Because being informed is a crime.
[00:18:05.656 --> 00:18:07.337]  Being real is a crime.
[00:18:09.025 --> 00:18:11.806]  Reading hundreds and hundreds and hundreds and hundreds and hundreds.
[00:18:11.826 --> 00:18:17.707]  I've read over 300, 400, 500 books just on World War II and World War I. Over 20, 30 on the Civil War.
[00:18:17.727 --> 00:18:19.647]  I'm not bragging, I just got into it.
[00:18:20.928 --> 00:18:25.969]  More than a hundred on British naval warfare history, because they were the ones that actually wrote down their history, so they have the best histories.
[00:18:26.649 --> 00:18:27.569]  All intriguing stuff.
[00:18:27.869 --> 00:18:29.089]  Each page a new battle.
[00:18:29.349 --> 00:18:30.510]  The Battle of the Nile.
[00:18:35.671 --> 00:18:37.331]  Lord Nelson, all of it, amazing.
[00:18:39.480 --> 00:18:47.164]  But then you look on with horror when you see a Prince Philip and, oh, the Queen, she likes a good pea soup.
[00:18:47.664 --> 00:18:49.045]  Oh, good old Prince Philip.
[00:18:49.365 --> 00:18:58.810]  I've got a stack of quotes out of the London Guardian here of Prince Philip saying black people aren't humans, all the rest of it.
[00:18:59.911 --> 00:19:06.234]  On death, he says, in the event that I'm reincarnated, I would like to return as a deadly virus to contribute something to solving overpopulation. 1988.
[00:19:10.325 --> 00:19:13.087]  And of course, who runs the modern eugenics operation?
[00:19:15.128 --> 00:19:15.989]  Same people we're talking about.
[00:19:16.249 --> 00:19:18.591]  So I've just spent 12 minutes on this.
[00:19:18.611 --> 00:19:19.371]  I'm going to stop now.
[00:19:20.892 --> 00:19:26.776]  I've got Le Pen slams Macron.
[00:19:27.136 --> 00:19:31.760]  France will be led by a woman, either me or Ms.
[00:19:31.840 --> 00:19:32.120]  Merkel.
[00:19:33.336 --> 00:19:36.539]  Because Germany's running the EU right now, and the globalists run Germany.
[00:19:36.879 --> 00:19:37.700]  That's absolutely a fact.
[00:19:38.100 --> 00:19:38.841]  And the French know that.
[00:19:39.641 --> 00:19:43.204]  So she destroys Macron.
[00:19:45.026 --> 00:19:53.593]  She's the daughter of a World War II hero, paratrooper in D-Day, that won France's highest award, and England's highest award, and high awards from the United States.
[00:19:55.109 --> 00:19:58.412]  And her dad was demonized for being a French patriot, not wanting the Muslims to take over.
[00:19:58.712 --> 00:20:03.096]  And it's gotta be sweet victory for him to now see his daughter about to be present.
[00:20:03.116 --> 00:20:08.921]  In ancient times, man roamed the earth in a constant state of hunting or being hunted.
[00:20:09.082 --> 00:20:14.266]  Introducing Caveman, where cutting-edge science meets ancient super nutrients.
[00:20:14.506 --> 00:20:17.970]  Secure your bottle right now at Infowarsstore.com.
[00:20:18.150 --> 00:20:19.211]  Our fellow Infowarriors,
[00:20:19.671 --> 00:20:21.552]  Across the United States and across the planet.
[00:20:22.072 --> 00:20:26.274]  Really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[00:20:27.254 --> 00:20:31.876]  It became a global meme against globalism and corruption.
[00:20:32.476 --> 00:20:36.058]  And a very strong maxim that's now being continued on today.
[00:20:36.458 --> 00:20:40.340]  So we now have George Soros, because the media attacked me on this whole goblin meme.
[00:20:40.420 --> 00:20:43.401]  They've made huge jokes about it, but it's totally blown up their face.
[00:20:43.421 --> 00:20:44.902]  We now have George Soros.
[00:20:46.002 --> 00:20:46.763]  As a goblin.
[00:20:47.443 --> 00:20:53.228]  On the back, and it says, with a cross through him, you know, an X, like Ghostbusters, no Soros, him as a goblin.
[00:20:53.968 --> 00:20:58.332]  It says, deport Soros on the bottom, and on the top it says, InfoWars established 1996.
[00:21:00.573 --> 00:21:07.659]  So, it is a limited edition, deport Soros on the back, Hillary for prison on the front, right hand shoulder, InfoWars.com.
[00:21:08.019 --> 00:21:08.599]  It's powerful.
[00:21:08.619 --> 00:21:09.660]  Hope you get out to everybody you know.
[00:21:09.940 --> 00:21:11.702]  InfoWarsStore.com, or call 888-253-3139.
[00:21:18.496 --> 00:21:20.878]  Survival Shield X2 Nascent Iodine.
[00:21:20.898 --> 00:21:32.630]  If you're interested in healthy thyroid, if you're interested in well-being, if you're interested in having a higher IQ, which this has been linked to, get your powerful Survival Shield X2 at InfoWarsTore.com.
[00:21:33.490 --> 00:21:42.483]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:21:42.583 --> 00:21:50.714]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:21:50.974 --> 00:21:55.657]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:21:55.837 --> 00:22:02.581]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:22:02.641 --> 00:22:09.725]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:22:09.805 --> 00:22:16.669]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:22:16.829 --> 00:22:21.172]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:22:21.312 --> 00:22:24.574]  Available in original or with our immune support infusion blend.
[00:22:24.714 --> 00:22:30.838]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:22:31.018 --> 00:22:32.679]  Available at InfoWarsLife.com.
[00:22:34.045 --> 00:22:38.929]  DNA Force is finally back in stock at Infowarsstore.com.
[00:22:39.650 --> 00:22:44.414]  DNA Force protects your body from the toxic environment that surrounds us all.
[00:22:44.534 --> 00:22:49.017]  The powerful ingredients include Bio-PQQ and Coenzyme Q10.
[00:22:49.197 --> 00:22:51.699]  Protect yourself against dangerous free radicals.
[00:22:51.900 --> 00:22:53.741]  Optimize cellular energy.
[00:22:54.462 --> 00:22:55.382]  It's DNA Force.
[00:22:55.423 --> 00:22:57.304]  It's available for a limited time only.
[00:22:58.065 --> 00:23:01.487]  Get yours today, right now, at Infowarsstore.com.
[00:23:03.188 --> 00:23:14.938]  These aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine and chloramines, and pharmaceuticals like statins, pain meds and antidepressants.
[00:23:15.158 --> 00:23:19.181]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:23:19.381 --> 00:23:22.984]  Protect your family's water supply with a trusted Big Berkey Water Filter.
[00:23:23.205 --> 00:23:29.470]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA,
[00:23:29.770 --> 00:23:30.791]  We're good to go!
[00:24:03.918 --> 00:24:10.912]  In 1814, we took a little trip along with Colonel Jackson on the mighty Mississippi.
[00:24:12.586 --> 00:24:17.791]  In 1814 we took a little trip along with Colonel Jackson down to mighty Mississippi.
[00:24:18.071 --> 00:24:23.276]  We took a little bacon and we took a little beans and we caught the bloody British in a town in New Orleans.
[00:24:23.496 --> 00:24:25.998]  We fired our guns and the British kept a coming.
[00:24:26.218 --> 00:24:28.721]  There wasn't as many as there was a while ago.
[00:24:28.921 --> 00:24:34.165]  We fired once more and they began to run it on down to Mississippi to the Gulf of Mexico.
[00:24:34.245 --> 00:24:35.707]  Yeah, they ran so fast!
[00:24:36.806 --> 00:24:38.507]  There's an adult version of this.
[00:24:38.527 --> 00:24:40.568]  We gotta play it sometime, but I guess we can't.
[00:24:40.668 --> 00:24:41.189]  Old Hickory!
[00:25:01.386 --> 00:25:03.967]  Old Hick Cree said we could take them by surprise.
[00:25:04.047 --> 00:25:06.709]  If we didn't fire muskets till we looked them in the eye.
[00:25:06.949 --> 00:25:09.390]  We held our fire till we see their faces well.
[00:25:09.430 --> 00:25:12.452]  Then we opened up our squirrel guns and really gave them well.
[00:25:12.552 --> 00:25:14.133]  We fired our guns.
[00:25:14.153 --> 00:25:16.214]  That's right, don't fire these, you'll wash their eyes.
[00:25:16.514 --> 00:25:18.335]  As many as there was a while ago.
[00:25:18.375 --> 00:25:21.216]  We fired once more and they began to run it.
