[00:00:05.572 --> 00:00:17.396]  He never gives up.
[00:02:33.784 --> 00:02:36.046]  We don't want to mention where that is, but wow.
[00:02:36.326 --> 00:02:37.788]  Paul, what's coming up today?
[00:02:39.110 --> 00:02:42.352]  Well Alex, I'm going to break down what happened with Macron.
[00:02:42.813 --> 00:02:52.960]  He entered to make his acceptance speech, and by the way there's a hilarious clip of him trying to read from a teleprompter and completely failing, which shows you the kind of presidency that it's going to be.
[00:02:52.980 --> 00:02:53.541]  Total puppet!
[00:02:54.241 --> 00:03:03.686]  Yeah, there's video of him entering to make his acceptance speech and he walks out to the EU National Anthem before they even play the French National Anthem.
[00:03:03.726 --> 00:03:13.872]  He's walking out to the EU Anthem in front of a giant pyramid in the Louvre with a red blinking eye at the top of the pyramid right above his head.
[00:03:14.392 --> 00:03:18.834]  And I think they've actually got a GIF image of that that I sent that they can play to show you that.
[00:03:19.234 --> 00:03:22.096]  Macron giving his acceptance speech in front of the Louvre.
[00:03:22.596 --> 00:03:24.857]  Again, the giant pyramid symbolism behind him.
[00:03:24.877 --> 00:03:30.520]  And of course, the EU's got its own symbolism, Alex, just like the Stars and Stripes is a form of symbolism.
[00:03:30.860 --> 00:03:33.361]  You know, the Pledge of Allegiance is a form of symbolism.
[00:03:33.781 --> 00:03:35.442]  Yeah, that's him reading out the teleprompter.
[00:03:35.522 --> 00:03:36.643]  That's the GIF right there.
[00:03:37.303 --> 00:03:38.904]  All hail the New World Order!
[00:03:39.424 --> 00:03:40.545]  Now, come on.
[00:03:41.445 --> 00:03:44.889]  We've got our own symbolism when it comes to nationalism and patriotism.
[00:03:45.250 --> 00:03:47.252]  That is globalist symbolism.
[00:03:47.332 --> 00:03:52.418]  By the way, Francois Mitterrand, this is mainstream news, was a Luciferian.
[00:03:52.978 --> 00:03:54.961]  He commissioned the 666 pieces of pink glass
[00:03:57.864 --> 00:04:04.247]  Pink orange glass for the pyramid, and he believed that it is the site of where now Lucifer resides.
[00:04:04.887 --> 00:04:11.530]  So that was Francois Mitterrand, the former French president, saying that the Louvre is the center of Satanism in the world.
[00:04:11.550 --> 00:04:17.312]  And of course they have it in movies when the aliens invade, in that Tom Cruise movie that came out a few years ago.
[00:04:17.552 --> 00:04:20.333]  But that's where the aliens have their mothership, is at the Louvre.
[00:04:20.633 --> 00:04:22.294]  I mean, talk about throwing it in our face, Paul.
[00:04:24.158 --> 00:04:28.162]  Well, this is a guy who said, quote, there's no such thing as French culture.
[00:04:28.502 --> 00:04:34.968]  The call to prayer in the Paris streets, they're now petitioning for that Islamic prayer to be made completely legal and acceptable.
[00:04:35.428 --> 00:04:38.611]  This is the future of France and we're going to talk about it after the break, Alex.
[00:04:39.210 --> 00:04:43.293]  All right, I'm going to come back and get a few of the other stories that are coming up and hand the baton to Paul for the rest of the hour.
[00:04:43.313 --> 00:04:44.494]  Really great to have Paul here.
[00:04:44.514 --> 00:04:47.276]  I'll also be back tomorrow hosting the fourth hour.
[00:04:48.057 --> 00:04:52.140]  Please tell everybody you know, listening on AM, FM, Internet, you name it, to tune in now.
[00:04:52.400 --> 00:04:57.103]  They're trying to censor us and block us everywhere because we are so effective in the face of the globalists.
[00:04:57.464 --> 00:04:58.724]  We are the resistance.
[00:04:59.085 --> 00:05:01.827]  Their New World Order is an anti-human, transhumanist movement.
[00:05:05.810 --> 00:05:07.291]  We're going to talk to Gerald Cilenti.
[00:05:07.998 --> 00:05:13.447]  The founder and editor of Trends Research Journal and also Trends Research Institute.
[00:05:13.467 --> 00:05:16.913]  So I want to talk to Gerald about how he sees
[00:05:18.067 --> 00:05:28.212]  Things going economically, but also the war and peace issues, because we're now seeing that Donald Trump talked to the UN National Security Council yesterday at the White House.
[00:05:28.953 --> 00:05:38.338]  He'll be meeting, I think it's today, with all 100 senators from within the White House, again, talking about the North Korean situation.
[00:05:39.098 --> 00:05:41.299]  And, Gerald, let's get your comments on that.
[00:05:43.360 --> 00:05:48.583]  Optimistic about this working out peacefully, or do you think this is something that they're pushing for war?
[00:05:49.703 --> 00:05:52.725]  I've been hearing about North Korea just about all my life.
[00:05:52.745 --> 00:05:55.046]  I mean, this is a poor country.
[00:05:55.066 --> 00:05:57.307]  I mean, this is a country of nothing.
[00:05:58.021 --> 00:05:58.221]  Yeah.
[00:05:58.561 --> 00:06:03.144]  So, what this is, it's more war propaganda.
[00:06:03.684 --> 00:06:16.232]  It's what Eisenhower warned us of, that the military-industrial complex is robbing the nation of the genius of the scientists, the sweat of the laborers, and the future of the children.
[00:06:16.252 --> 00:06:24.257]  It is spending the sweat of its laborers, the genius of its scientists, the hope of its children.
[00:06:25.245 --> 00:06:35.003]  And when I listen to this guy that's in charge of the Defense Department, James, quote, Mad Dog Mattis, what adult would call himself Mad Dog?
[00:06:35.664 --> 00:06:38.168]  And I hear the words that they're speaking.
[00:06:39.175 --> 00:06:41.136]  In fact, it's a lot of fun to fight them, you know?
[00:06:41.817 --> 00:06:44.399]  It's a hell of a hoot.
[00:06:44.479 --> 00:06:46.460]  It's fun to shoot some people, I'll be right up on you.
[00:06:46.480 --> 00:06:47.241]  I like brawling.
[00:06:47.841 --> 00:06:59.410]  And Gerald, we've just seen the Russians as well as the Chinese move massive amounts of military to the border that they have with North Korea because they're concerned about a massive flood of refugees.
[00:06:59.770 --> 00:07:00.631]  Coming into their country.
[00:07:00.771 --> 00:07:08.917]  If there is an economic meltdown from the sanctions or if there is a war, they know they can't absorb massive amounts of refugees.
[00:07:09.018 --> 00:07:10.199]  No country can.
[00:07:10.419 --> 00:07:11.620]  It isn't a racist thing.
[00:07:11.980 --> 00:07:15.803]  It isn't that the Chinese are racist against the North Koreans or the Russians are racist against them.
[00:07:16.023 --> 00:07:16.864]  You simply can't do it.
[00:07:16.984 --> 00:07:18.245]  That's the way you destroy a country.
[00:07:18.485 --> 00:07:21.027]  So they have positioned their troops there at the border.
[00:07:21.047 --> 00:07:26.592]  Of course, we don't have troops to protect our borders because we're abroad fighting wars everywhere, aren't we?
[00:07:27.032 --> 00:07:30.775]  It's not racist if you don't want refugees.
[00:07:31.295 --> 00:07:33.397]  Go back to the Great Depression.
[00:07:34.398 --> 00:07:40.422]  I mentioned how bad this country is doing for we the little people who have to work for a living.
[00:07:41.043 --> 00:07:42.244]  When the Depression hit,
[00:07:42.944 --> 00:07:49.269]  They stopped everybody from coming in until the country rebuilt itself.
[00:07:49.689 --> 00:07:50.410]  We have 220, 320 million people.
[00:07:50.430 --> 00:07:51.731]  We can't take care of our own.
[00:07:51.871 --> 00:07:52.651]  I got a great idea.
[00:07:52.731 --> 00:07:54.313]  Let's bring in another 100 million.
[00:08:07.603 --> 00:08:13.885]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:19.107 --> 00:08:31.972]  In front of a pyramid designed by Francois Mitterrand, the former president of France, with 666 pieces of pink glass dedicated to Lucifer,
[00:08:34.468 --> 00:08:43.151]  Mr. Macron, the new president who won by a landslide against the Nationalists, Marine Le Pen, walked out to the EU National Anthem.
[00:08:43.731 --> 00:08:45.812]  And there is the headline out of the Express News.
[00:08:46.472 --> 00:08:47.472]  I'll defend Europe!
[00:08:48.393 --> 00:08:53.974]  Macron snubs French National Anthem and walks out to EU song after win.
[00:08:54.615 --> 00:08:54.955]  Wow!
[00:08:59.077 --> 00:09:00.357]  Unbelievable!
[00:09:01.058 --> 00:09:08.419]  Imagine like having Hillary Clinton win the presidency and she walks out to a North American Union anthem.
[00:09:08.999 --> 00:09:11.280]  Dun-da-dun, dun-dun-dun.
[00:09:11.920 --> 00:09:13.740]  Instead of the Star-Spangled Banner.
[00:09:18.121 --> 00:09:19.302]  Then they go on to the French anthem.
[00:09:19.342 --> 00:09:20.902]  I mean, talk about minions.
[00:09:22.722 --> 00:09:24.323]  This is truly incredible.
[00:09:25.168 --> 00:09:27.229]  Paul Watson lives in France part of the year.
[00:09:27.249 --> 00:09:28.170]  His family lives there.
[00:09:28.250 --> 00:09:29.231]  He's an expert on it.
[00:09:29.791 --> 00:09:35.735]  He's evacuating with his family because of the Islamic overrun of multi-million people.
[00:09:36.235 --> 00:09:39.537]  Paris is now a giant feces-covered cesspit.
[00:09:39.657 --> 00:09:41.518]  That's mainstream news.
[00:09:41.538 --> 00:09:44.280]  80% down in the last decade of their tourism.
[00:09:44.300 --> 00:09:45.061]  But they don't care.
[00:09:45.101 --> 00:09:46.581]  They want to be cuckold.
[00:09:47.162 --> 00:09:53.446]  That's why we put the photo on screen for TV viewers of Macron kneeling and bowing at the feet of Merkel.
[00:09:55.458 --> 00:10:05.044]  So France capitulated to Hitler in less than two weeks in World War II because their high command stood down and became dictators over the country with their new capital in the south, Vichy France.
[00:10:05.624 --> 00:10:06.685]  And now they've done it again.
[00:10:07.025 --> 00:10:08.306]  But it isn't the German people.
[00:10:08.586 --> 00:10:09.827]  The Germans are paying for the EU.
[00:10:09.847 --> 00:10:13.509]  They're actually paying for the French pensions and the French welfare system.
[00:10:13.929 --> 00:10:17.752]  So Macron is attached to Germany like a giant lamprey.
[00:10:19.485 --> 00:10:20.346]  Truly insane.
[00:10:20.406 --> 00:10:22.127]  Coming up in the next hour, research.
[00:10:22.187 --> 00:10:25.029]  Unvaccinated children far healthier, have fewer disorders.
[00:10:25.230 --> 00:10:26.090]  Mainstream news.
[00:10:26.370 --> 00:10:27.451]  I got a stack of studies.
[00:10:27.471 --> 00:10:32.435]  I'm gonna tie it into the globalists trying to destabilize the West.
[00:10:32.575 --> 00:10:37.519]  Also, Florida man sentenced to 30 years for world's largest child porn website.
[00:10:37.599 --> 00:10:40.041]  Get this, it's called Playpen.
[00:10:40.662 --> 00:10:41.923]  Could it be sicker?
[00:10:42.483 --> 00:10:44.645]  How about hatching upside your head?
[00:10:45.185 --> 00:10:46.006]  Look at that demon.
[00:10:47.073 --> 00:10:50.854]  We're going to break that down as part of Trump's giant sweep rounding up the pedophiles everywhere.
[00:10:51.394 --> 00:10:52.214]  That's all coming up.
[00:10:52.614 --> 00:10:59.415]  Also, Rand Paul's discovering, and others are, that thousands of Americans were targeted by the NSA during the election for political purposes.
[00:10:59.775 --> 00:11:00.695]  He wants the details.
[00:11:01.716 --> 00:11:10.577]  We also have, insult to injury, unreal, Obamacare architect Jonathan Gruber, who calls you dumb idiots, says, thank God you're so stupid and have no memories.
[00:11:10.937 --> 00:11:15.198]  He blames Trump for rising premiums when Obamacare was designed to do that.
[00:11:16.425 --> 00:11:17.765]  And Obamacare is still in place.
[00:11:19.766 --> 00:11:21.526]  Unreal, he thinks you have no memory.
[00:11:21.586 --> 00:11:23.086]  He says, thank God you're so stupid.
[00:11:23.126 --> 00:11:25.227]  So that's all coming up today.
[00:11:25.267 --> 00:11:29.068]  Let me tell you who we have joining us in the second hour.
[00:11:29.128 --> 00:11:38.350]  Jack Posobiec, Roger Stone with huge inside intel from the White House on exactly who the traitors are, how the shadow government deep-stakes blocking Trump.
[00:11:38.730 --> 00:11:39.990]  Leanne McAdoo, David Knight.
[00:11:41.877 --> 00:11:42.878]  And many others today.
[00:11:42.978 --> 00:11:46.980]  Paul Joseph Watson now takes over this hour.
[00:11:47.580 --> 00:11:50.562]  And I will be back in the second hour with also this report.
[00:11:50.582 --> 00:11:53.203]  It's one of the most viral videos out there in the last two days.
[00:11:54.164 --> 00:11:55.245]  It was just posted on May 6.
[00:11:55.865 --> 00:11:57.626]  What humans will look like in a thousand years.
[00:11:57.666 --> 00:11:59.647]  They're telling you the reality of the world.
[00:12:00.067 --> 00:12:00.928]  Telling you what they're planning.
[00:12:00.988 --> 00:12:01.708]  Not a thousand.
[00:12:03.609 --> 00:12:05.410]  In a hundred years, ladies and gentlemen.
[00:12:06.231 --> 00:12:09.953]  This is the system thrown in your face at idiotic level.
[00:12:11.690 --> 00:12:14.052]  I've been warning you about this in my film, Endgame, and so much more.
[00:12:14.092 --> 00:12:15.933]  This is the machine takeover of humanity.
[00:12:15.953 --> 00:12:18.335]  We're going to be breaking all this down.
[00:12:18.355 --> 00:12:26.280]  That's why they're getting rid of the genders right now, preparing you to not have a gender because you're going to be non-biological, as if you're even going to exist.
[00:12:26.320 --> 00:12:32.424]  So we're going to break all this down, everything we told you they denied, down in your face, in the second hour.
[00:12:32.504 --> 00:12:36.827]  But now, Paul Joseph Watson, I know he was just in France a few days ago.
[00:12:36.927 --> 00:12:37.868]  Are you still in France, Paul?
[00:12:38.959 --> 00:12:40.159]  No, I'm in London now, Alex.
[00:12:40.339 --> 00:12:41.020]  You're back in London.
[00:12:41.080 --> 00:12:41.760]  Okay, my friend.
[00:12:42.100 --> 00:12:42.560]  Take over.
[00:12:42.580 --> 00:12:43.581]  I want to ask you this question.
[00:12:43.601 --> 00:12:45.461]  Do you think it was election fraud?
[00:12:45.481 --> 00:12:47.822]  Because a lot of polls showed her neck and neck or her head.
[00:12:48.022 --> 00:12:59.006]  Or is this just French loving to go with trendiness, loving to go with the establishment, loving to go with the latest fashion, loving to go with the Rothschild banker, loving to go with groveling to the EU dictatorship?
[00:12:59.346 --> 00:13:01.286]  Was this them giving in to the propaganda?
[00:13:01.907 --> 00:13:04.727]  Or was this a massive fraud or a mix of both?
[00:13:05.008 --> 00:13:05.928]  Paul Joseph Watson.
[00:13:07.403 --> 00:13:09.584]  Well, there's definitely questions about fraud, Alex.
[00:13:09.624 --> 00:13:16.285]  We had 500,000 French voters, expat voters, who would normally be expected to vote Macron.
[00:13:16.385 --> 00:13:18.886]  In fact, the vast majority did in this final run-off.
[00:13:19.306 --> 00:13:24.168]  Before the first round, being sent, again, 500,000 double ballots.
[00:13:24.608 --> 00:13:27.649]  So they could have voted twice, they're more likely to vote for Macron.
[00:13:27.689 --> 00:13:28.589]  That was a big problem.
[00:13:28.609 --> 00:13:32.210]  The police said, we're not going to investigate it until after the election, nobody cares.
[00:13:32.830 --> 00:13:35.851]  Then the other thing, we had a video up yesterday which showed, again,
[00:13:36.491 --> 00:13:42.374]  People receiving ballots, they received the ballot papers with the name of the candidate on them, and it was Macron-Macron.
[00:13:42.414 --> 00:13:43.754]  There wasn't Macron-Le Pen.
[00:13:44.155 --> 00:13:45.815]  So there were questions about fraud.
[00:13:46.175 --> 00:13:54.899]  So it could have happened, but I think in the greater scheme of things, as you said, this was about the cowardice of some, some of the French people.
[00:13:54.939 --> 00:14:02.022]  We have to remember that there were 25% of French people didn't even vote or spoiled their ballots.
[00:14:02.283 --> 00:14:05.064]  So this is by no means a huge mandate that Macron has.
[00:14:05.664 --> 00:14:27.300]  The other thing why people voted for Macron instead of Le Pen is because probably, mistakenly, Le Pen came out in her platform and said that she would immediately exit from the EU and revert back to the French franc, because of course France is currently on the euro system, which was probably not the brightest idea to announce that straight away.
[00:14:27.380 --> 00:14:34.506]  Obviously to move towards it would be striking back against globalism, but the fact that that was in her platform put off
[00:14:35.046 --> 00:14:50.637]  A lot of the older voters in France, because their pensions are denominated in Euros, so they knew that if France switched back to the franc, the French franc, at least for a while, their savings, their pensions, would be devalued, at least in the short term.
[00:14:51.517 --> 00:15:13.225]  So it was kind of a somewhat selfish financial decision on their part and this is why Macron had the least support amongst 18 to 24 year olds who mainly supported Le Pen but he got the most support from over 65s which tells you that this whole image that's been manufactured around Macron's campaign this bright fresh young face
[00:15:14.185 --> 00:15:15.266]  Is complete BS.
[00:15:15.586 --> 00:15:23.530]  His supporters are over 65 in general when compared to Marine Le Pen, who has a youthful, energized, young movement behind her.
[00:15:23.550 --> 00:15:26.712]  In fact, I met several of them on Friday.
[00:15:27.192 --> 00:15:28.132]  So she's going to be back in 2022.
[00:15:29.713 --> 00:15:50.427]  The question is, will anything be left of France that's worth rescuing in 2022, given that they've had 21 jihadist attacks since Charlie Hebdo, given that they've had over 230 jihadist murders in that same time period, and of course six massive jihadist attacks in Paris alone in the last three years?
[00:15:51.167 --> 00:15:58.231]  But 90% of Parisians still voted for Emmanuel Macron, who again was sold on this lie.
[00:15:58.251 --> 00:16:00.432]  And I think this is why a lot of French people fell for it.
[00:16:01.092 --> 00:16:05.515]  French people have never had a Barack Obama or a Tony Blair.
[00:16:06.195 --> 00:16:25.128]  You know, a contrived fake populist that the media can package and sell as a, quote, maverick outsider, as they do with Macron, without digging an inch beneath the surface, which if anyone did, they would find out he was a bureaucrat in the outgoing socialist government, which got 6% of the vote, pathetically.
[00:16:25.608 --> 00:16:28.650]  He was a bureaucrat in the outgoing government for two years.
[00:16:29.250 --> 00:16:32.733]  He was a Bilderberg member, attended Bilderberg in Copenhagen in 2014.
[00:16:33.853 --> 00:16:35.915]  He was, of course, a Rothschild banker.
[00:16:36.816 --> 00:16:44.261]  He came from the very elitist school which the elite in France use to groom future leaders of their country.
[00:16:44.662 --> 00:16:57.131]  You can go down the line, every single establishment checkmark, Emmanuel Macron has got it, but because French people have never had this phenomenon where they are packaged and sold this fresh new face,
[00:16:58.032 --> 00:16:59.093]  A lot of them fell for it.
[00:16:59.153 --> 00:17:02.594]  Of course, now Americans are more wary to that post-Obama.
[00:17:03.294 --> 00:17:13.038]  British people even more so, post-Tony Blair, who turned out to be, who is now the most unpopular politician in Britain, yet he's still out there on the public stage.
[00:17:13.339 --> 00:17:14.539]  But France never had that.
[00:17:15.019 --> 00:17:17.260]  So a lot of them were cowardly, a lot of them fell for it.
[00:17:17.320 --> 00:17:18.721]  They do have, again,
[00:17:19.221 --> 00:17:21.322]  Not all of them, not even the majority of them.
[00:17:21.402 --> 00:17:29.827]  So I'm not laying it on the French people, but there is this cowardice that's implicit within the mindset of the French, this fear of change.
[00:17:30.348 --> 00:17:40.494]  But in terms of old people, it was the fact that they were scared that their pensions would be devalued, and that's why many of them voted for Macron, who, by the way, has been greeted
[00:17:41.516 --> 00:17:45.280]  With riots out on the streets of Paris and France in major cities again today.
[00:17:45.661 --> 00:17:47.103]  Not by Le Pen voters.
[00:17:47.743 --> 00:17:53.089]  I was going to ask the question, you know, did you hear about all the Le Pen voters rioting across France last night?
[00:17:53.630 --> 00:17:55.072]  No, because it didn't happen.
[00:17:55.292 --> 00:17:59.917]  Because only leftists throw violent temper tantrums when they don't win an election.
[00:18:00.518 --> 00:18:12.243]  Yeah, Macron won and still these unionists, these left-wingers are out trashing the streets, starting fights with police officers on major streets, major cities in France today.
[00:18:12.784 --> 00:18:17.206]  So even the election of this fake populist has failed to quell that.
[00:18:17.346 --> 00:18:22.108]  In the very hours afterwards they were immediately out on the streets rioting.
[00:18:22.768 --> 00:18:32.214]  So if French people, Macron supporters, think they can stick their head in the sand, vote Macron, hold their nose and think this is all going to go away, it's not going to go away.
[00:18:32.594 --> 00:18:38.337]  This is a guy who said, quote, there is no such thing as French culture.
[00:18:38.638 --> 00:18:45.542]  This is now the guy leading France, a country once celebrated globally for its culture.
[00:18:46.022 --> 00:18:48.183]  Now says there is no French culture.
[00:18:48.684 --> 00:19:03.252]  Six months after a Muslim migrant mowed down, killed 84 people, injured hundreds more, including children in Nice, he came out six months later and said we should celebrate Muslim immigration.
[00:19:03.332 --> 00:19:06.174]  Anyone who is against it is basically a hateful coward.
[00:19:07.045 --> 00:19:14.190]  That's what he called 11 million Le Pen voters, who, by the way, are not far-right extremists.
[00:19:14.250 --> 00:19:22.335]  Most of them are poor farmers left behind, forgotten by globalism, forgotten by the very interests that Macron represents.
[00:19:22.836 --> 00:19:26.758]  Those are the people that he came out and called hateful cowards, 11 million of them.
[00:19:28.601 --> 00:19:31.202]  So that's what the situation is in France going forward.
[00:19:31.423 --> 00:19:40.487]  We've got a guy who literally hates the guts of 11 million people, a huge chunk of the population, who voted for Marine Le Pen.
[00:19:41.308 --> 00:19:42.428]  Absolutely incredible.
[00:19:42.508 --> 00:19:44.389]  And he's walking out to the EU anthem.
[00:19:44.990 --> 00:19:50.653]  He's basically hailing the new world order in front of a giant glass pyramid with a red flashing light above it.
[00:19:50.873 --> 00:19:52.233]  Absolutely incredible.
[00:19:52.614 --> 00:19:54.014]  We're going to get more into it after the break.
[00:19:54.054 --> 00:19:56.676]  This is the Alex Jones Show live with me, Paul Joseph Watson.
[00:19:57.427 --> 00:19:58.940]  Breaking news import for wars.org.
[00:20:03.786 --> 00:20:08.670]  DNA Force is finally back in stock at Infowarsstore.com.
[00:20:09.371 --> 00:20:14.094]  DNA Force protects your body from the toxic environment that surrounds us all.
[00:20:14.255 --> 00:20:18.778]  The powerful ingredients include Bio-PQQ and Coenzyme Q10.
[00:20:18.938 --> 00:20:21.441]  Protect yourself against dangerous free radicals.
[00:20:21.641 --> 00:20:23.442]  Optimize cellular energy.
[00:20:24.203 --> 00:20:25.104]  It's DNA Force.
[00:20:25.164 --> 00:20:27.025]  It's available for a limited time only.
[00:20:27.786 --> 00:20:31.529]  Get yours today, right now, at Infowarsstore.com.
[00:20:33.001 --> 00:20:35.084]  Caveman True Paleo Formula.
[00:20:35.325 --> 00:20:36.987]  Give your body what it needs.
[00:20:37.268 --> 00:20:39.451]  The muscle growth, the joint support.
[00:20:39.551 --> 00:20:44.579]  Get your Caveman True Paleo Formula for a limited time only at 53% off at infowarsstore.com.
[00:20:53.297 --> 00:21:05.644]  France, specifically Paris, has been hit with six jihadist terror attacks in the last three years, yet just 5% of people in Paris voted for Marine Le Pen.
[00:21:05.664 --> 00:21:06.925]  38% voted for Macron.
[00:21:07.305 --> 00:21:12.588]  Are they happy just continuing to live with terrorism, you know, as Macron said before the vote?
[00:21:12.648 --> 00:21:14.950]  Are they just happy to continue with business as usual?
[00:21:15.919 --> 00:21:30.487]  It's insanity, and the worrying thing is, I hope the pen can do it this time, and I keep gauging that when it will happen is in four years' time, when we have the elections of Holland at the same time as Germany, now because of Theresa May, there'll be elections across Europe in four years' time.
[00:21:30.887 --> 00:21:35.230]  But the worrying thing is that the new generations, or the younger generations, think this is normal.
[00:21:35.750 --> 00:21:39.032]  Because as they're growing up in it, terrorism will become part of everyday life.
[00:21:39.872 --> 00:21:41.714]  Because that's all they've known and all they've seen.
[00:21:42.154 --> 00:21:45.916]  Because for the last four or five years, across Europe, it's just terror, terror, terror.
[00:21:45.996 --> 00:21:50.820]  For the next four years, I think when you look at the arrest rate, they go up 60% a year across Europe.
[00:21:51.120 --> 00:21:55.383]  The attacks are intensifying, they're getting worse, they're getting bigger, they're getting badder.
[00:21:55.403 --> 00:22:00.106]  So it's worrying for the next... I think that the changing point will be the election in four years' time.
[00:22:00.526 --> 00:22:01.767]  But yeah, it's insanity.
[00:22:02.107 --> 00:22:02.888]  And for Paris,
[00:22:05.831 --> 00:22:08.895]  The feminists in France yesterday, they're not upset about this.
[00:22:08.955 --> 00:22:14.121]  They're not... Well, the women are in France, the ones who don't go out and expose themselves, the actual women voters.
[00:22:21.403 --> 00:22:28.125]  Majority voted for Marine Le Pen in France because of the threats they face, because they don't feel safe.
[00:22:28.245 --> 00:22:31.707]  They've done polls where they tell pollsters that they don't feel safe.
[00:22:32.367 --> 00:22:41.070]  She got the most votes from women, yet we have feminists out trying to block people from voting from Marine Le Pen, who would be the first female president of France.
[00:22:41.770 --> 00:22:50.761]  Anti-Le Pen protesters have come here to protest against the fact that the National Front is due to hold a rally in the venue just behind me.
[00:22:50.901 --> 00:22:56.027]  They were saying that they're unhappy with the National Front holding this rally here in Paris.
[00:22:56.067 --> 00:23:01.654]  They call them fascists and they say that they don't want them here and they're calling on people to rise up on the streets.
[00:23:01.914 --> 00:23:02.074]  I think?
[00:23:16.852 --> 00:23:19.133]  What is the fundamental disconnect?
[00:23:19.553 --> 00:23:28.376]  I mean, I guess it's just Islamism, feminism, the far left, they all have the general same goal of destabilizing society, overturning everything.
[00:23:28.796 --> 00:23:38.959]  So they've formed this toxic alliance, even though on the surface it's completely contradictory to the ideals of original feminism to protect women and women's rights.
[00:23:40.560 --> 00:23:43.761]  It's like they use each other, because they see it as an ally who's getting their way.
[00:23:48.021 --> 00:23:50.503]  Survival Shield X2 Nascent Iodine.
[00:23:50.543 --> 00:24:02.672]  If you're interested in healthy thyroid, if you're interested in well-being, if you're interested in having a higher IQ, which this has been linked to, get your powerful Survival Shield X2 at InfoWarsTore.com.
[00:24:04.514 --> 00:24:07.656]  Ladies and gentlemen, Alex Jones here, riding shotgun, hosting this hour.
[00:24:07.696 --> 00:24:10.558]  This is Paul Watson, back by popular demand.
[00:24:10.578 --> 00:24:12.700]  He'll be hosting the fourth hour tomorrow as well.
[00:24:13.981 --> 00:24:15.882]  Look at that image behind me, if you're a TV viewer.
[00:24:15.922 --> 00:24:17.604]  That is from French News Agency.
[00:24:19.121 --> 00:24:20.762]  You can probably fade it onto the screen in front of us.
[00:24:20.782 --> 00:24:21.722]  You can really see it clearly.
[00:24:22.062 --> 00:24:32.825]  A big, giant, black pyramid with an all-seeing eye right above his head, built by François Mitterrand, designed by the former French president in homage to Lucifer.
[00:24:33.325 --> 00:24:35.626]  That is mainstream news.
[00:24:36.566 --> 00:24:44.649]  Luciferianism in your face in Paris, where the Jacobins and Communism and all of the Illuminati systems come from.
[00:24:46.240 --> 00:24:48.442]  There it is in your face, ladies and gentlemen.
[00:24:48.782 --> 00:24:51.324]  Back to Paul Joseph Watson in London, England.
[00:24:52.785 --> 00:24:53.326]  Thanks, Alex.
[00:24:53.346 --> 00:24:54.607]  Yeah, we're going to go to a clip now.
[00:24:54.647 --> 00:25:07.638]  This is Nigel Farage and he's explaining why Marine Le Pen may need to ditch the National Front image to detoxify that whole brand and come back in five years' time with a better chance of winning the presidency.
