[00:00:02.498 --> 00:00:03.199]  Is the U.S.
[00:12:43.059 --> 00:12:47.422]  You notice after we put that out, some of the mainstream news said, oh, the word is he may be.
[00:12:47.422 --> 00:12:50.305]  No, the word is he is.
[00:12:50.305 --> 00:12:53.167]  And in politics, a month is imminent, but we're talking the next month or so.
[00:12:55.086 --> 00:13:07.314]  And so I was just really reflecting on the bad things Trump's doing, saying we want to go after Assange, you helped get him elected, knew he said, release more of the intel, Assange, please.
[00:13:07.314 --> 00:13:08.214]  That's just betrayal.
[00:13:08.214 --> 00:13:09.215]  I don't like that.
[00:13:09.215 --> 00:13:10.636]  It's a big black eye for the president.
[00:13:11.806 --> 00:13:15.848]  And for my confidence, but I look at some of the other stuff, the Syria thing was clearly a false flag.
[00:13:15.848 --> 00:13:17.869]  I don't know who did it, probably the jihadis.
[00:13:17.869 --> 00:13:24.151]  I know Trump had to kind of go along with that or he'd get blamed for going along with the chemical attack and being a Russian minion.
[00:13:24.151 --> 00:13:28.073]  So he did kind of kill that false agenda by doing that.
[00:13:28.073 --> 00:13:30.274]  But now Russian relations are falling apart.
[00:13:30.274 --> 00:13:33.215]  So you do one move like that and then, you know, things start unraveling.
[00:13:33.215 --> 00:13:35.857]  Even though it handled a bunch of other problems, it's like whack-a-mole.
[00:13:35.857 --> 00:13:36.737]  It starts a bunch of others.
[00:13:40.202 --> 00:13:57.150]  And then I see some of the other things, but I mean, when it comes to the border and the wall and the security and crushing ISIS and standing up against radical Islam and three trillion plus in the stock market and hundreds and hundreds and hundreds of billions of new jobs and hundreds of major companies coming back, even foreign countries coming in.
[00:13:57.150 --> 00:13:59.411]  It's amazing.
[00:13:59.411 --> 00:14:03.913]  Killing DPP, getting a good Supreme Court justice in, set to get another one in.
[00:14:07.386 --> 00:14:14.352]  Thank God we've got this respite and people that expect everything to be perfect are instant gratification folks.
[00:14:14.352 --> 00:14:20.738]  In fact, I was thinking about two weeks ago about instant gratification myself and so many others I know.
[00:14:20.738 --> 00:14:22.480]  So I'm certainly not perfect here.
[00:14:22.480 --> 00:14:24.321]  I'm not again lecturing everybody.
[00:14:24.321 --> 00:14:26.684]  I'm just saying what I'd like to be better at.
[00:14:26.684 --> 00:14:27.885]  What I think you should try to be better at.
[00:14:28.953 --> 00:14:32.414]  Then we had a military guy calling who was so eloquent about the North Korea situation.
[00:14:32.414 --> 00:14:33.495]  It was on a Friday.
[00:14:33.495 --> 00:14:36.616]  And he said, you know, it's an instant gratification society.
[00:14:36.616 --> 00:14:45.359]  You're not going to get instant gratification and you're not going to get exactly what you want right when you want it, but you will get what you need.
[00:14:45.359 --> 00:14:50.001]  You can't always get what you want.
[00:14:50.001 --> 00:14:54.123]  No, you can't always get what you want, but you get what you need.
[00:14:56.007 --> 00:15:00.630]  And the spirit of Trump has them in a total complete hissy fit.
[00:15:00.630 --> 00:15:04.632]  So there's the big debate going on as Trump goes, he's bad.
[00:15:04.632 --> 00:15:08.174]  Everybody's weakness is their family, mine is too.
[00:15:08.174 --> 00:15:17.120]  And I get that Ivanka can run around and do her own peacemaking and kind of maybe charm the left and not hating Trump so much if they can have a relationship with her or Kushner.
[00:15:17.120 --> 00:15:19.061]  And if that's all Trump was doing, I'd be for it.
[00:15:20.828 --> 00:15:24.130]  But the swamp isn't getting drained as fast as we need.
[00:15:24.130 --> 00:15:27.751]  I'm seeing the swamp get drained some, but it's kind of like a video game.
[00:15:27.751 --> 00:15:29.712]  Picture two different graphs.
[00:15:29.712 --> 00:15:34.335]  The swamp's getting drained at, you know, say 10% every few months.
[00:15:34.335 --> 00:15:37.056]  And Trump's already drained at maybe 20, 30%.
[00:15:37.056 --> 00:15:38.897]  But he's getting drained.
[00:15:38.897 --> 00:15:42.459]  As fast as he's having victories, he's starting to have defeats.
[00:15:42.459 --> 00:15:50.183]  So I look at the calculus, I look at the arithmetic, I look at the mathematics, I just dead reckon it, and it doesn't look good a year from now on the current trajectory he's on.
[00:15:51.377 --> 00:15:54.419]  He's already done devastating good to the globalists.
[00:15:54.419 --> 00:15:58.981]  He's done devastating harm to their operations.
[00:15:58.981 --> 00:16:07.346]  But, I can look at the track this is on, and first 70 days, almost perfect, I couldn't believe it.
[00:16:07.346 --> 00:16:13.809]  It was like, God sent, just like he was un...
[00:16:15.106 --> 00:16:17.627]  Stoppable, infallible.
[00:16:17.627 --> 00:16:26.189]  And then by day 71 or 2, we're now like 105 days in, 104 days in, the track started going off to the side.
[00:16:26.189 --> 00:16:29.330]  He's not going sideways yet, but he was going straight.
[00:16:29.330 --> 00:16:31.151]  Now the track's starting to go like that.
[00:16:31.151 --> 00:16:32.691]  And you know, you launch a rocket, it's going straight up.
[00:16:32.691 --> 00:16:39.013]  If it starts turning a few degrees, goes up, turns and crashes.
[00:16:39.013 --> 00:16:41.514]  So, hoping he can get his gyros back in.
[00:16:43.164 --> 00:16:52.152]  I hope he can get the avionics back in line, because the missile's kind of going like this, the rocket's going like this, and if it keeps going like that, it's gonna crash land.
[00:16:53.826 --> 00:17:00.788]  As we all know, missiles don't crash land, so that's the big issue we're going to be discussing here today, is the spending bill.
[00:17:00.788 --> 00:17:01.708]  More on Facebook.
[00:17:01.708 --> 00:17:03.649]  I only mentioned this briefly yesterday.
[00:17:03.649 --> 00:17:20.974]  It really hit me last night how big this is, that Facebook got caught in its internal high-level memos running giant computer programs to prey on young people, and to make them insecure, and to make them controlled, and to put them into control groups to dominate and manipulate their lives.
[00:17:21.254 --> 00:17:27.937]  Because I was reading the documents that news.co.au got, and the media missed it as usual.
[00:17:27.937 --> 00:17:37.581]  They're saying leaked documents reveal Facebook conducted research to target emotionally vulnerable and insecure youth, but it's also trendies and other insecure groups.
[00:17:37.581 --> 00:17:42.144]  And the key is, it's to keep them insecure and keep them under a controlled paradigm.
[00:17:42.144 --> 00:17:45.165]  I shot a 30-minute video on it last night with Zimmerman.
[00:17:45.165 --> 00:17:47.866]  Facebook targeted insecure children and vulnerable trendies.
[00:17:47.866 --> 00:17:48.847]  Very powerful, I think.
[00:17:49.963 --> 00:18:11.011]  But I'm going to get more into that today because I was thinking more about it this morning and it's the whole system, the whole worldview, the whole false paradigm cosmology of the globalist to create addled, stunted, cowardly, fearful, groupthink followers.
[00:18:13.217 --> 00:18:15.459]  And that's why they hate me so much.
[00:18:15.459 --> 00:18:17.860]  And listen, I don't want to sit here and say, oh, I'm so big.
[00:18:17.860 --> 00:18:20.302]  Oh, look, they attack me every night on the nightly news.
[00:18:20.302 --> 00:18:24.125]  Oh, every night on the late night shows.
[00:18:24.125 --> 00:18:27.287]  To me, this is about survival for myself and you and my family.
[00:18:27.287 --> 00:18:30.309]  I mean, I'm so committed to this.
[00:18:30.309 --> 00:18:33.892]  Things are so bad now that I've got just unlimited energy.
[00:18:33.892 --> 00:18:36.294]  I've never had so much energy.
[00:18:36.294 --> 00:18:37.635]  Because things have never been so good.
[00:18:39.042 --> 00:18:41.504]  Best of times, worst of times.
[00:18:41.504 --> 00:18:43.445]  The Tale of Two Cities, one of my favorite quotes.
[00:18:43.445 --> 00:18:47.547]  The opening pages of that book, Tale of Two Cities.
[00:18:47.547 --> 00:18:49.969]  Can you guys print me that opening page?
[00:18:49.969 --> 00:18:52.731]  Thank you.
[00:18:52.731 --> 00:18:53.471]  And that's where we are.
[00:18:53.471 --> 00:18:54.392]  We're in that moment.
[00:18:54.392 --> 00:19:02.277]  The Chinese proverb, the Chinese character, the Chinese symbol for opportunity is also uncertainty.
[00:19:03.430 --> 00:19:05.370]  Now, you live in interesting times.
[00:19:05.370 --> 00:19:10.152]  Don't we live in interesting times where they've got human animal clones all over the place?
[00:19:10.152 --> 00:19:13.132]  MIT admits it, but the media says I'm crazy.
[00:19:13.132 --> 00:19:21.274]  Or it's in Fox Business, lab-grown meat coming to supermarket shelves.
[00:19:21.274 --> 00:19:24.975]  China's already got lab-grown meat on its shelves.
[00:19:24.975 --> 00:19:29.736]  And for 20 years, they've been selling human baby milk produced by cows.
[00:19:29.736 --> 00:19:32.937]  Now, the cows have human cells in their breasts that produce human milk.
[00:19:34.667 --> 00:19:38.350]  I mean, people are saying, okay, yeah, tell us something we don't know.
[00:19:38.350 --> 00:19:50.819]  They admitted and declassified two days ago that in the 1960s they had cyborg cats with hidden microphones and stuff on them.
[00:19:50.819 --> 00:19:54.281]  I mean, folks, imagine where we're at in 2017.
[00:19:54.281 --> 00:19:55.442]  That's all I'm saying.
[00:19:55.442 --> 00:19:57.864]  We're not in Kansas anymore.
[00:19:57.864 --> 00:19:59.705]  We're not in 1950 anymore.
[00:19:59.705 --> 00:20:00.106]  We'll be back.
[00:20:01.704 --> 00:20:04.266]  We use cell phones against our heads every day.
[00:20:04.266 --> 00:20:05.667]  But now a landmark U.S.
[00:20:05.667 --> 00:20:11.312]  government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[00:20:11.312 --> 00:20:13.374]  The time to protect yourself is now.
[00:20:13.374 --> 00:20:15.215]  The solution is DefenderShield.
[00:20:15.215 --> 00:20:22.341]  Proudly made in the USA, DefenderShield blocks virtually 100% of EMF radiation emitted from cell phones, tablets, and laptops.
[00:20:22.341 --> 00:20:24.263]  Buy now at DefenderShield.com.
[00:20:24.263 --> 00:20:26.485]  Use discount code DEFENDER for 10% off.
[00:20:26.485 --> 00:20:27.846]  DefenderShield.com.
[00:20:27.846 --> 00:20:30.408]  The worldwide leader in EMF radiation protection.
[00:20:31.351 --> 00:20:33.292]  Are you looking to become more self-sufficient?
[00:20:33.292 --> 00:20:35.533]  Then you need to have your own energy source.
[00:20:35.533 --> 00:20:40.875]  The Sol-Arc EMP Harden Generator is automatic, maintenance-free, and reduces your monthly electric bill.
[00:20:40.875 --> 00:20:43.076]  You can also take it off-grid when you go camping.
[00:20:43.076 --> 00:20:49.459]  Contact PortableSolarLLC.com or call for details at 972-575-8875 today.
[00:20:49.459 --> 00:20:54.581]  Portable Solar LLC gives you everything you need to start using solar energy in less than one hour.
[00:20:54.581 --> 00:20:57.623]  Sol-Arc EMP Harden Solar Generator Energy Insurance.
[00:20:57.623 --> 00:21:00.704]  For your family or business, call Portable Solar LLC today.
[00:21:01.064 --> 00:21:06.425]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back in stock at InfoWareStore.com.
[00:21:06.425 --> 00:21:09.266]  The first shipment of Super Blue sold out in one week.
[00:21:09.266 --> 00:21:11.227]  I thought it would be a six-month supply for listeners.
[00:21:11.227 --> 00:21:16.228]  And since then, people are beating down our doors, wanting to be able to resupply their Super Blue.
[00:21:16.228 --> 00:21:18.308]  Research across the board is clear.
[00:21:18.308 --> 00:21:19.589]  In fact, it's certified.
[00:21:19.589 --> 00:21:24.690]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[00:21:24.690 --> 00:21:28.031]  That's why the last Surgeon General's report on oral health warrants.
[00:21:28.351 --> 00:21:31.513]  Your oral health can have a serious impact on your entire body.
[00:21:31.513 --> 00:21:34.414]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[00:21:34.414 --> 00:21:38.156]  It's loaded with good halogen iodide instead of the bad halogen fluoride.
[00:21:38.156 --> 00:21:45.020]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[00:21:45.020 --> 00:21:52.504]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[00:21:52.504 --> 00:21:55.466]  Learn more about InfoWars Life Super Blue Toothpaste.
[00:21:55.666 --> 00:21:56.006]  I think so.
[00:22:16.613 --> 00:22:20.635]  Customized high-quality business cards starting at just $9.99.
[00:22:20.635 --> 00:22:25.617]  We're talking about 500 business cards you'll be proud to share starting at $9.99.
[00:22:25.617 --> 00:22:31.939]  Plus, you get even more for your money because we have a team available online or over the phone to help with any questions about your order.
[00:22:32.119 --> 00:22:37.140]  Our design specialists can help make sure your colors, fonts, and images look exactly how you want.
[00:22:37.140 --> 00:22:39.861]  That's how we can guarantee your satisfaction.
[00:22:39.861 --> 00:22:42.662]  And if you aren't satisfied for any reason, we'll make it right.
[00:22:42.662 --> 00:22:44.682]  Even if it means reprinting your order.
[00:22:44.682 --> 00:22:48.583]  Give us a chance to treat you like you treat your customers.
[00:22:48.583 --> 00:22:54.705]  Head to vistaprint.com to get your 500 business cards and complete satisfaction starting at just $9.99.
[00:22:54.705 --> 00:22:57.125]  Use promo code 7733 at checkout.
[00:22:57.125 --> 00:22:58.286]  That's vistaprint.com.
[00:22:58.286 --> 00:22:58.786]  Promo code 7733.
[00:23:00.126 --> 00:23:05.249]  The answer to being in control of your own health care is freedom from insurance.
[00:23:05.249 --> 00:23:10.953]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:23:10.953 --> 00:23:16.156]  Individual share amounts begin at $107 a month and $347 for families.
[00:23:16.156 --> 00:23:18.098]  Choose from three health sharing programs.
[00:23:18.098 --> 00:23:20.499]  Holistic treatments may be eligible for sharing.
[00:23:20.499 --> 00:23:21.440]  See guidelines.
[00:23:21.440 --> 00:23:24.722]  Discount programs available for dental, vision, and pharmacy.
[00:23:24.722 --> 00:23:26.663]  Go to LibertyOnCall.org.
[00:23:26.663 --> 00:23:28.224]  That's LibertyOnCall.org.
[00:23:30.370 --> 00:23:31.170]  This is Dan Pilla.
[00:23:31.170 --> 00:23:32.990]  Do you owe the IRS money you can't pay?
[00:23:32.990 --> 00:23:34.631]  Are tax debts crippling you?
