[00:00:07.976 --> 00:00:08.336]  It's May Day.
[00:05:55.637 --> 00:05:56.478]  Then you have your source.
[00:05:56.878 --> 00:05:58.239]  He wants 150,000 on the ground.
[00:05:58.479 --> 00:06:11.286]  Now Bloomberg comes out today and says Trump has told Bloomberg, I don't want a war, but it turns out the aides were doing exactly what we said, trying to jockey and get them in place and move artillery in that wasn't for ISIS, but was for Assad.
[00:06:12.066 --> 00:06:12.566]  Exactly.
[00:06:12.606 --> 00:06:15.609]  So Bloomberg is now reporting what we covered a week ago.
[00:06:16.109 --> 00:06:22.113]  And one thing that frustrates me a little bit is the idea that we need Bloomberg to validate our reporting.
[00:06:22.193 --> 00:06:23.234]  Because this is real news.
[00:06:23.274 --> 00:06:26.076]  We don't make stuff up like ABC does, like Bloomberg does.
[00:06:26.096 --> 00:06:27.296]  They fabricate things.
[00:06:27.336 --> 00:06:29.698]  I put a transcript out of what the president said on Monday.
[00:06:29.778 --> 00:06:32.020]  It's what the president said, and I'm not going to say where it came from.
[00:06:32.760 --> 00:06:34.501]  Everybody knows we have contact with the President.
[00:06:34.701 --> 00:06:37.243]  The media is attacking that, saying, oh look, Alex is making this up.
[00:06:37.523 --> 00:06:37.723]  What?
[00:06:37.863 --> 00:06:38.343]  I said it?
[00:06:38.603 --> 00:06:41.345]  It came out three days later, out of his mouth, the exact same words.
[00:06:41.625 --> 00:06:49.430]  And they are so desperate for war now that they're trying to claim that us, by trying to oppose a ground war in Syria, trying to save American lives.
[00:06:49.750 --> 00:06:52.651]  I mean, Alex, when I did that live stream, 11 hours,
[00:06:53.832 --> 00:06:56.814]  So many mothers called in and said, my son has PTSD.
[00:06:56.874 --> 00:06:57.734]  This is so sad.
[00:06:58.175 --> 00:06:59.195]  You know, it was heartbreaking.
[00:06:59.235 --> 00:07:01.536]  I could hardly even stay on the line.
[00:07:01.556 --> 00:07:02.217]  It was so sad.
[00:07:02.717 --> 00:07:04.618]  Moms do not want to do another war.
[00:07:04.638 --> 00:07:06.579]  They do not want the McMaster plan to go through.
[00:07:06.919 --> 00:07:07.360]  Exactly.
[00:07:07.420 --> 00:07:08.540]  And again, we love our military.
[00:07:08.580 --> 00:07:09.541]  We criticize the wars.
[00:07:09.561 --> 00:07:12.923]  It's because it's not for our national sovereignty.
[00:07:12.943 --> 00:07:13.783]  It's not for our interests.
[00:07:13.883 --> 00:07:17.105]  This is one of the most elite publications published by the Rothschilds.
[00:07:17.145 --> 00:07:18.126]  I mean, you can't make that up.
[00:07:19.261 --> 00:07:23.583]  And they literally say, we're dupe idiots, and Assad tells us what to say.
[00:07:23.863 --> 00:07:27.104]  So now it's not just we're dupes of Putin, now it's Assad.
[00:07:27.165 --> 00:07:27.425]  No, no, no.
[00:07:27.665 --> 00:07:29.706]  We said first on Wednesday, false flag.
[00:07:30.026 --> 00:07:31.767]  We have the articles, the history, all of it.
[00:07:31.807 --> 00:07:32.447]  You did as well.
[00:07:32.947 --> 00:07:34.668]  Then, over the next week and a half,
[00:07:35.348 --> 00:07:39.110]  Everybody else from Putin to Ron Paul, everybody else came out and said it was a false flag.
[00:07:39.150 --> 00:07:40.831]  Again, we're the progenitors.
[00:07:41.172 --> 00:07:48.516]  We're not here grabbing it, you know, from Assad how a pair of self-publicists wound up as apologists for Assad.
[00:07:48.776 --> 00:07:50.437]  We're not apologizing for Assad.
[00:07:50.617 --> 00:07:52.659]  He didn't start the Civil War six years ago.
[00:07:52.899 --> 00:07:54.059]  He's never done anything to us.
[00:07:54.280 --> 00:07:55.200]  I mean, this is so crazy.
[00:07:55.300 --> 00:08:01.284]  Everything we say has just docked because we're going off what's already there and the sources we have.
[00:08:10.035 --> 00:08:26.366]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:08:26.827 --> 00:08:38.355]  This morning, I was talking to one of my friends, and he said to me, he said, Alex, man, InfoWars is going to be shut down soon.
[00:08:39.482 --> 00:08:45.307]  While your traffic's down 85% and you don't have any audience, everybody's turning against you.
[00:08:46.788 --> 00:08:49.490]  And I asked him, I said, where'd you get that information?
[00:08:49.650 --> 00:08:53.894]  He said, oh, I saw it on Infowars.com being spammed in the comments.
[00:08:54.214 --> 00:09:01.840]  And I looked at my friend, who I've known for more than a decade, and I said, well, you know that's part of a PR campaign of disinformation, right?
[00:09:01.860 --> 00:09:04.462]  He looked at me and he said, is it really?
[00:09:04.482 --> 00:09:08.766]  I mean, they attack you every day on every major news channel.
[00:09:09.804 --> 00:09:25.673]  Almost every night on the late night shows, from Jimmy Kimmel to Stephen Colbert, you're on CNN or MSNBC every night saying you're fake news, saying you're a liar, saying you're an actor, saying you're a fraud.
[00:09:26.314 --> 00:09:27.715]  How could you survive that?
[00:09:29.636 --> 00:09:32.958]  And I looked at him and I said, we're bigger than we've ever been.
[00:09:35.559 --> 00:09:36.620]  We have more traffic.
[00:09:37.785 --> 00:09:48.074]  More people, more affiliates, more listeners, and more revenue than InfoWars has ever had in 22 years.
[00:09:51.757 --> 00:09:56.221]  And my friend looked at me like I was a liar and said, we'll see.
[00:10:01.686 --> 00:10:04.869]  And if you can understand that statement,
[00:10:06.408 --> 00:10:09.771]  You can understand everything in this world today.
[00:10:10.272 --> 00:10:16.437]  There are people that believe mainstream media and believe the hype, and there are people that don't.
[00:10:18.459 --> 00:10:23.324]  But if mainstream media can get enough people to believe something,
[00:10:24.761 --> 00:10:28.423]  And get enough people to buy into it, then it becomes a self-fulfilling prophecy.
[00:10:28.463 --> 00:10:35.906]  I got a call from a New York Times writer, a very prominent writer last night, wanted to talk to me.
[00:10:36.787 --> 00:10:40.689]  And I've known him for about 16, 17 years, so I called him back.
[00:10:41.909 --> 00:10:49.433]  And they said, listen, I don't agree with your politics, but it's clear the Chobani yogurt lawsuit and the Democrats trying to get
[00:10:51.690 --> 00:11:07.354]  The pizza place to sue you there in DC and the media saying you're fake news and the one-sided coverage on your custody battle for your children and all the major news channels attacking you that they're trying to shut you down.
[00:11:08.614 --> 00:11:10.435]  And I said, do you think I need to be shut down?
[00:11:12.035 --> 00:11:14.956]  And they said, no, if you stop bashing the Muslims,
[00:11:16.869 --> 00:11:18.529]  Who are nice, peaceful people.
[00:11:18.589 --> 00:11:19.670]  You don't need to be shut down.
[00:11:20.030 --> 00:11:21.770]  And I said, oh, is that a message?
[00:11:24.591 --> 00:11:25.731]  And the person was silent.
[00:11:28.051 --> 00:11:31.472]  So here's what's happening.
[00:11:31.492 --> 00:11:32.812]  99% of people are followers.
[00:11:33.712 --> 00:11:35.313]  Most people act like they're leaders.
[00:11:37.293 --> 00:11:45.195]  But a leader does what's right, regardless of what happens to them individually, for the greater good of the species.
[00:11:47.461 --> 00:12:00.108]  Don't get confused by that and think that means we're collectivists and just give ourselves over to some slave master that directs us around for the greater good.
[00:12:00.308 --> 00:12:03.670]  We're not a beehive or an ant hill, an ant colony.
[00:12:06.431 --> 00:12:14.336]  But what I'm going through is no longer a microcosm, but it is on a smaller scale to what's happening to President Trump.
[00:12:15.615 --> 00:12:16.975]  And it's a beta test.
[00:12:17.115 --> 00:12:18.456]  I've been picked for the test.
[00:12:22.296 --> 00:12:24.797]  The test pilot of the Globalist.
[00:12:24.837 --> 00:12:28.418]  I don't work for them, don't like them, but they've chosen me as the test pilot.
[00:12:29.918 --> 00:12:32.619]  I'm like the chimp they fire up into space to see what happens to me.
[00:12:33.179 --> 00:12:35.739]  To test the news wars.
[00:12:36.640 --> 00:12:43.161]  The Pentagon, the CIA, the Broadcast Board of Governors of the FCC having congressional meetings.
[00:12:44.716 --> 00:12:53.079]  And saying, we're gearing up to take out Alex Jones and other fake news, and we say we can do that because they work for the Russians.
[00:12:53.499 --> 00:12:56.540]  So I've now been dehumanized and I'm a foreign spy, see?
[00:12:56.780 --> 00:13:03.923]  With no evidence, no jury, never get to face my accuser, never get to respond on the news, don't get to go before the Congress at a hearing.
[00:13:05.883 --> 00:13:10.365]  They were calling real reds in front of the House on American activities.
[00:13:11.820 --> 00:13:12.180]  Committee.
[00:13:13.061 --> 00:13:16.163]  Some were innocent, some weren't, but at least they got to face their accuser.
[00:13:17.324 --> 00:13:19.485]  Not in the 1984 scenario of 2017.
[00:13:19.525 --> 00:13:23.167]  So I'm a Russian spy, they say.
[00:13:23.227 --> 00:13:24.028]  I'm a racist.
[00:13:25.209 --> 00:13:26.209]  I'm a homophobe.
[00:13:26.429 --> 00:13:28.431]  I'm just, you name it, I hate women!
[00:13:28.851 --> 00:13:30.812]  You don't see any proof of that, but they don't care!
[00:13:31.132 --> 00:13:32.093]  That's what they say!
[00:13:33.334 --> 00:13:37.697]  And that's the accepted, kosher,
[00:13:39.002 --> 00:14:02.566]  The politically correct thing to do, whether it's in a civil trial for your children, or whether it's on the news, is you sit there and you can't talk, and the mainstream media, the Rachel Maddows, the Colberts, the lawyers, whoever it is, they point at you, and they say, that's a person who doesn't think women should be able to be judges.
[00:14:03.006 --> 00:14:04.187]  That's a person that's racist.
[00:14:04.207 --> 00:14:05.887]  That's a person that's in the KKK.
[00:14:07.614 --> 00:14:10.896]  That's a person that's a cult leader and brainwashes children.
[00:14:11.836 --> 00:14:13.837]  That's a person that's an actor and isn't real.
[00:14:14.117 --> 00:14:15.698]  That's a person that's bad.
[00:14:16.879 --> 00:14:18.139]  And they all point at you.
[00:14:19.340 --> 00:14:24.723]  And they feel strong in the big collective of the corporate system going along with that narrative.
[00:14:24.763 --> 00:14:25.783]  It's very inviting.
[00:14:25.843 --> 00:14:27.144]  It's very sexy.
[00:14:27.184 --> 00:14:31.426]  It's very alluring to imagine you're powerful through the power structure.
[00:14:32.446 --> 00:14:33.827]  To imagine you're powerful.
[00:14:36.527 --> 00:14:37.327]  Because here's what's happening.
[00:14:37.367 --> 00:14:38.788]  The followers are scared.
[00:14:39.528 --> 00:14:40.909]  They can feel the energy rising.
[00:14:40.949 --> 00:14:42.249]  They can see the political change.
[00:14:44.230 --> 00:14:45.550]  The economy's shutting down.
[00:14:45.630 --> 00:14:46.751]  Trump's trying to fix that.
[00:14:47.151 --> 00:14:47.911]  Say what you want about Trump.
[00:14:47.931 --> 00:14:48.611]  He's trying to do that.
[00:14:49.892 --> 00:14:50.792]  He's trying to be president.
[00:14:51.392 --> 00:14:58.195]  And so they're there beta testing their false reality, acting like it's the end of the world that Alex Jones exists.
[00:14:59.595 --> 00:15:01.916]  It's the end of the world that Donald Trump exists.
[00:15:02.396 --> 00:15:04.077]  It's the end of the world.
[00:15:05.250 --> 00:15:07.072]  That someone's speaking out against globalism.
[00:15:07.252 --> 00:15:07.693]  And why?
[00:15:08.213 --> 00:15:09.655]  Because we're right about GMO.
[00:15:09.815 --> 00:15:10.856]  We're right about fluoride.
[00:15:10.876 --> 00:15:11.918]  We're right about the vaccines.
[00:15:11.958 --> 00:15:13.620]  We're right about unelected world government.
[00:15:13.820 --> 00:15:16.303]  We're right about the elites working with radical Islam.
[00:15:17.204 --> 00:15:19.346]  And trying to open the borders up to it and protecting it.
[00:15:19.867 --> 00:15:20.748]  And letting them attack.
[00:15:21.048 --> 00:15:22.129]  And not even calling it terror.
[00:15:22.550 --> 00:15:26.134]  And we're right about globalism being designed to impoverish people.
[00:15:28.479 --> 00:15:29.701]  And so folks are scared.
[00:15:30.241 --> 00:15:31.463]  Even Donald Trump's family.
[00:15:31.883 --> 00:15:35.428]  Ivanka and Jared Kushner aren't bad people, but they're weak-minded.
[00:15:36.028 --> 00:15:37.790]  They live on Fifth Avenue.
[00:15:39.312 --> 00:15:41.875]  They hang around with the richest, disconnected people in the world.
[00:15:42.336 --> 00:15:44.338]  They're not blue-collar rich like their dad.
[00:15:45.940 --> 00:15:47.863]  Like the father-in-law for Kushner.
[00:15:49.560 --> 00:15:52.523]  And they go out to dinner with the Schmitz of the world.
[00:15:52.563 --> 00:15:54.726]  They go out to dinner with the Clintons of the world.
[00:15:54.766 --> 00:15:58.350]  They go out to dinner with the Soros's of the world.
[00:15:59.331 --> 00:16:09.582]  And they have this elitist attitude towards everybody else and they get scared when their elitist friends start putting pressure on them and telling them your dad's gonna fail if you don't get him back on track.
[00:16:10.484 --> 00:16:11.924]  Or Alex Jones is going to fail.
[00:16:12.024 --> 00:16:13.305]  Alex Jones is going down.
[00:16:13.585 --> 00:16:14.765]  Alex Jones is in trouble.
[00:16:15.025 --> 00:16:16.325]  Alex Jones is under attack.
[00:16:16.566 --> 00:16:20.166]  Alex Jones has got everybody coming after him, second only to Donald Trump.
[00:16:21.847 --> 00:16:26.528]  And people say, oh my gosh, how are you handling it when they walk over on the street and shake my hand?
[00:16:26.568 --> 00:16:29.089]  I really appreciate you, what you've done for everybody.
[00:16:29.109 --> 00:16:30.289]  And I'm like, done for everybody?
[00:16:32.634 --> 00:16:35.036]  I'm so glad they're attacking me everywhere.
[00:16:35.357 --> 00:16:37.499]  I'm so glad they're lying about me everywhere.
[00:16:38.019 --> 00:16:42.984]  I'm so glad they're moving heaven and earth to politically assassinate my character.
[00:16:43.464 --> 00:16:46.947]  Because that means I've dealt them grievous blows.
[00:16:47.228 --> 00:16:49.309]  That means I really counted in this life.
[00:16:49.530 --> 00:16:52.492]  That meant I was on the field and took it to the enemy.
[00:16:52.913 --> 00:16:56.016]  I wasn't the third measure or the tenth of a measure of a man.
[00:16:57.199 --> 00:16:58.800]  I measured up to my ancestors.
[00:16:59.020 --> 00:17:00.180]  I did what it took.
[00:17:00.481 --> 00:17:01.401]  I didn't back down.
[00:17:01.881 --> 00:17:04.202]  Victory or death like Colonel Travis at the Alamo.
[00:17:04.503 --> 00:17:05.383]  And I'll say that now.
[00:17:05.783 --> 00:17:06.944]  Victory or death.
[00:17:07.884 --> 00:17:09.305]  I'm the opposite of scared now.
[00:17:09.705 --> 00:17:15.468]  I am totally invigorated, empowered, and quite frankly can't handle the discernment I have.
[00:17:16.148 --> 00:17:20.750]  That's why I've tended to pour alcohol on top of it because I can't even handle being this alive.
[00:17:21.030 --> 00:17:21.911]  But I'm done with that.
[00:17:25.372 --> 00:17:26.173]  Ladies and gentlemen,
[00:17:27.369 --> 00:17:31.191]  We stand at the threshold of a totally new era, a renaissance.
[00:17:31.692 --> 00:17:32.472]  It's our choice.
[00:17:32.712 --> 00:17:33.613]  We're given free will.
[00:17:35.274 --> 00:17:36.775]  Trust in God, but tie up your camel.
[00:17:37.055 --> 00:17:38.256]  Something good the Vettel one said.
[00:17:41.118 --> 00:17:45.000]  Got kind of changed a little bit by another great writer.
[00:17:46.461 --> 00:17:53.706]  Of course, the book Fear and Loathing of Las Vegas that he wrote, where he said, pray to God, but row away from the rocks.
[00:17:53.966 --> 00:17:54.707]  Hunter S. Thompson.
[00:17:55.247 --> 00:17:56.748]  Pray to God, but row away from the rocks.
[00:17:58.143 --> 00:18:03.548]  We're already seeing cancer up thousands of percentile, depending on the type, 10,000% more in children.
[00:18:03.828 --> 00:18:06.530]  We're already seeing cross-species pollinization.
[00:18:06.790 --> 00:18:09.512]  We're already seeing mutations accelerate exponentially.
[00:18:09.773 --> 00:18:11.814]  We're already seeing allergies exponentially.
[00:18:12.055 --> 00:18:14.176]  We're seeing neurological disorders off the charts.
[00:18:14.416 --> 00:18:16.458]  We're seeing brain aneurysms off the charts.
[00:18:16.698 --> 00:18:19.020]  We're seeing deformities off the charts in children.
[00:18:19.341 --> 00:18:22.163]  We're seeing the plagues of the new world order.
[00:18:25.942 --> 00:18:33.767]  And I realize, like, we're in a Houdini chamber, and the water's pouring in, and if we don't get out of these chains, folks, we're gonna drown.
[00:18:34.048 --> 00:18:38.871]  I'm fighting as hard as I can to get the chains off me and you, because we're collectively bound together.
[00:18:38.891 --> 00:18:44.315]  And you're saying, you're sitting there, while I'm trying to get the chains off of us, going, wow, you really have courage, thank you.
[00:18:44.835 --> 00:18:45.416]  Courage?
[00:18:45.916 --> 00:18:47.517]  Courage is to sit here and drown!
[00:18:48.558 --> 00:18:50.379]  This is called life force.
[00:18:50.759 --> 00:18:51.540]  It's called will.
[00:18:53.123 --> 00:18:55.044]  It's called the will to not be killed.
[00:18:55.125 --> 00:18:56.486]  It's the will to survive.
[00:19:00.689 --> 00:19:07.694]  But it's all just the PR hype of the empty globalist system attacking Trump, attacking me, you name it.
[00:19:07.734 --> 00:19:09.115]  Has Trump gone sideways some?
[00:19:09.175 --> 00:19:09.635]  Absolutely.
[00:19:09.876 --> 00:19:11.196]  I'm surprised he got this much done.
[00:19:11.377 --> 00:19:16.681]  But he's returning jobs, he's promoting the family, he's promoting people, he's trying to stop radical Islam.
[00:19:17.321 --> 00:19:22.524]  He is moving the power away from the global elites back to America and back to the states and back to our industry.
[00:19:22.604 --> 00:19:24.125]  He's doing a great job.
[00:19:24.345 --> 00:19:31.929]  And that's why even though on the surface he looks like he's given in some, they're only tripling down their attacks because they know he's real and they know the course he's on.
[00:19:32.570 --> 00:19:33.970]  That's why they say he's not real.
[00:19:34.651 --> 00:19:36.472]  It's why they say I'm not real constantly.
[00:19:38.422 --> 00:19:39.383]  I've got it easier than Trump.
[00:19:39.423 --> 00:19:41.705]  I'm just a broadcast, an investigative system.
[00:19:41.945 --> 00:19:42.906]  I can be totally pure.
[00:19:43.126 --> 00:19:46.449]  Trump has to work with all these groups to compromise to get things done.
[00:19:46.909 --> 00:19:48.610]  Or they'll shut the government down and say he did it.
[00:19:48.851 --> 00:19:50.612]  But overall, he's doing a fabulous job.
[00:19:51.913 --> 00:19:53.715]  Trump's not falling, Trump's rising.
[00:19:54.115 --> 00:19:55.456]  I'm not falling, I'm rising.
[00:19:55.816 --> 00:19:59.780]  They may end up defeating me, but I win in the animating contest.
[00:19:59.800 --> 00:20:00.300]  You understand?
[00:20:00.460 --> 00:20:02.262]  But right now, we are kicking butt.
[00:20:12.856 --> 00:20:20.781]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by Infowarslife.com.
[00:20:20.821 --> 00:20:22.783]  Now, this is our 20th product.
[00:20:23.543 --> 00:20:30.447]  We can easily go out to a major vitamin or supplement company and private label a thousand different products.
[00:20:31.048 --> 00:20:36.832]  But it's taken us four plus years to even come out with 20 because we private label some, but we also develop
[00:20:37.708 --> 00:20:47.495]  Many of the products originally were some of the top labs in the country, so that they're true game changers, they're organic, they're proven as safe, and they're also very affordable.
[00:20:47.515 --> 00:20:49.637]  Exactly, you talk about being a game changer, right?
[00:20:49.657 --> 00:20:54.300]  You talk about, we're in an industry where we talk to the industry leaders, we've both talked to them.
[00:20:54.620 --> 00:21:00.525]  They have conveyor belts of herbs falling on the ground and they have someone come and sweep them up and put them back on the conveyor belt.
[00:21:00.865 --> 00:21:09.833]  They have individuals that are hired only to save money and get the lowest quality junk and put it in as many capsules as possible so they can make the highest profit margins.
[00:21:10.713 --> 00:21:11.814]  We refuse to screw people.
[00:21:12.155 --> 00:21:13.135]  We refuse to do that.
[00:21:13.516 --> 00:21:16.158]  We actually want to make something that's good.
[00:21:16.258 --> 00:21:18.180]  We're producing something we want to take.
[00:21:18.280 --> 00:21:18.680]  Exactly.
[00:21:19.060 --> 00:21:20.101]  We're looking for the best.
[00:21:20.141 --> 00:21:25.003]  We went out and searched for the best to Private Label, and most of the time found out it wasn't available.
[00:21:25.203 --> 00:21:28.865]  So we go to these big firms and say, we want to make the dream formula.
[00:21:28.885 --> 00:21:34.888]  Bio PCA, for example, one of the ingredients is silica, and it's from bamboo extract.
[00:21:35.168 --> 00:21:36.369]  It's everywhere.
[00:21:36.569 --> 00:21:37.229]  It's in nature.
[00:21:37.289 --> 00:21:39.390]  It's an essential part of being healthy, right?
[00:21:39.750 --> 00:21:45.793]  Just this bottle of silica, okay, again, one ingredient, in a lower amount that's even in our product, is $35.
[00:21:46.974 --> 00:21:52.237]  They're charging more than what we charge when they have one ingredient that's less than ours.
[00:21:52.257 --> 00:21:52.898]  This is insane.
[00:21:52.918 --> 00:22:02.084]  When I told him we wanted 10,000 micrograms, he goes, okay, I get that you guys want to do, you know, high power stuff, but why don't you just do 3,000 and then you can sell, you know, multiple bottles of it.
[00:22:02.124 --> 00:22:03.004]  People will buy more of it.
[00:22:03.104 --> 00:22:03.705]  I was like, no, let's do 10.
[00:22:03.805 --> 00:22:04.265]  Okay.
[00:22:04.705 --> 00:22:05.586]  Compare that to this.
[00:22:05.806 --> 00:22:07.187]  This is a $50 product.
[00:22:07.207 --> 00:22:10.589]  One of the leaders in the industry has 3,000 micrograms of biotin.
[00:22:10.609 --> 00:22:10.749]  Okay.
[00:22:10.829 --> 00:22:11.030]  We have 10,000.
[00:22:11.070 --> 00:22:11.810]  This is $50, $48 to be exact.
[00:22:14.872 --> 00:22:16.714]  There's no script, there's no teleprompter, I'll just be honest with you.
[00:22:17.135 --> 00:22:22.382]  My problem is, with 20 products now, it's remembering to take them all.
[00:22:22.402 --> 00:22:26.267]  Because when I do, I have great days, great weeks, a great life.
[00:22:26.687 --> 00:22:32.655]  When I forget to take the X2, a super male, or the lung cleanse, or to do a liver cleanse, or to take this product,
[00:22:33.760 --> 00:22:35.381]  My quality of life just isn't as good.
[00:22:35.461 --> 00:22:36.541]  It's changed my life.
[00:22:36.641 --> 00:22:38.882]  I looked like Jabba the Hutt four years ago.
[00:22:39.223 --> 00:22:41.104]  I was swimming two miles some days a day.
[00:22:41.504 --> 00:22:42.944]  I was jogging, lifting weights.
[00:22:43.004 --> 00:22:43.865]  I couldn't lose the weight.
[00:22:44.765 --> 00:22:51.829]  I went on what Mother Nature gave us, and it's changed my life, and it's also helped the InfoWars change the country and the world.
