[00:00:03.792 --> 00:00:16.241]  He never gives up.
[00:07:04.673 --> 00:07:10.959]  Despite our current decadence and weakness, their strength is the wind that fills our sails.
[00:07:11.260 --> 00:07:12.261]  And we will succeed.
[00:07:24.737 --> 00:07:26.258]  All right, let's get right into the news.
[00:07:26.338 --> 00:07:42.328]  We've got huge North Korea news, martial law news in England, more Islamic attacks, more acid attacks, more stabbings, more bombings to where they just hope we give in and they stop reporting on it as the Islamist mayor of London has said, just get used to it and submit.
[00:07:42.828 --> 00:07:46.611]  High-level CIA agent blows the whistle on deep state shadow government.
[00:07:46.751 --> 00:07:53.055]  He breaks down the architecture of it from the inside exactly as I told you the architecture
[00:07:54.195 --> 00:07:55.035]  Has been established.
[00:07:56.796 --> 00:08:05.438]  One time I was driving around in Westlake and saw the top of a building open up and SAM missiles pop up and then go back in.
[00:08:05.458 --> 00:08:09.859]  And I later talked to one of my sources and they said, yeah, that's a special operations base.
[00:08:10.539 --> 00:08:11.879]  He gets into all this though.
[00:08:11.959 --> 00:08:13.320]  It's just crazy.
[00:08:14.940 --> 00:08:19.361]  Don't need to have any secret documents to see SAM missiles coming out of the top of a house.
[00:08:21.362 --> 00:08:22.662]  So that's the type of stuff that's going on.
[00:08:23.456 --> 00:08:24.858]  We're going to get into all of it today.
[00:08:25.219 --> 00:08:27.462]  Trump says he will not pull out of the Paris climate deal.
[00:08:28.123 --> 00:08:29.445]  He's not doing the DACA deal.
[00:08:29.526 --> 00:08:31.909]  We've got all of that information here for you.
[00:08:32.290 --> 00:08:33.171]  Chaos in St.
[00:08:33.191 --> 00:08:33.472]  Louis.
[00:08:33.512 --> 00:08:34.934]  Protesters stormed the mayor's house.
[00:08:36.038 --> 00:08:36.639]  Burn U.S.
[00:08:36.699 --> 00:08:43.224]  flags that are joined by mass gunmen in violent clashes over white cop being cleared of murder for shooting dead black suspect.
[00:08:43.565 --> 00:08:50.891]  You know, I wish some of the young folks and some of the people brainwashed by MTV and Soros would look at the statistics.
[00:08:50.911 --> 00:08:59.939]  You got 3,000 plus black people being shot, over 2,000 of them dying, and 95 plus percent of them were shot by black folks in Chicago alone.
[00:09:01.363 --> 00:09:04.184]  How many people you got shot by cops every year that are black?
[00:09:04.304 --> 00:09:06.024]  It's about 230 on average.
[00:09:06.464 --> 00:09:09.705]  Let's say all of them were unjustified shootings.
[00:09:10.625 --> 00:09:17.247]  Is the issue the tens of thousands of blacks killing each other every year or the couple hundred cops killing black folks?
[00:09:17.827 --> 00:09:19.307]  I mean, I'm just doing numbers here.
[00:09:19.327 --> 00:09:20.768]  51% of blacks are aborted.
[00:09:22.929 --> 00:09:24.893]  Don't hear anything out of the liberal blacks about that.
[00:09:25.534 --> 00:09:27.979]  Millions of black people get killed in their mama's tummy.
[00:09:28.520 --> 00:09:29.563]  We know they were innocent.
[00:09:30.124 --> 00:09:31.306]  Why no discussion of that?
[00:09:32.318 --> 00:09:34.200]  Because it's all about media hype.
[00:09:34.620 --> 00:09:38.184]  That's coming up as Soros tries to film in a race war in this country.
[00:09:38.544 --> 00:09:39.826]  Meanwhile, we've got flashbacks.
[00:09:39.926 --> 00:09:44.851]  Bernie said Medicare for All would bankrupt the U.S., like Venezuela or Cuba.
[00:09:45.351 --> 00:09:46.812]  It would, but now he's all for it.
[00:09:47.113 --> 00:09:48.995]  We're going to juxtapose those for you.
[00:09:49.615 --> 00:09:54.080]  Hillary had a big book signing in Connecticut in the toilet paper aisle.
[00:09:55.486 --> 00:09:59.348]  We're going to have that exclusive HD video for you coming up with Laura Loomer who shot it.
[00:09:59.588 --> 00:10:01.889]  She did a live feed, but we have the HD video she shot.
[00:10:02.110 --> 00:10:02.690]  She gave it to us.
[00:10:02.970 --> 00:10:05.011]  She's going to be joining us coming up in the second hour.
[00:10:06.792 --> 00:10:11.495]  We also have just a bunch of other really, really, really big news.
[00:10:11.575 --> 00:10:17.878]  Scientists have edited human embryos to quote safely remove disease for the first time.
[00:10:18.238 --> 00:10:19.239]  You mean remove
[00:10:20.407 --> 00:10:25.971]  Genetics that showed you were predisposed to, say, have lung cancer if you smoked cigarettes.
[00:10:26.832 --> 00:10:27.052]  See?
[00:10:27.712 --> 00:10:30.134]  But by removing that, what else are they removing?
[00:10:31.315 --> 00:10:33.016]  And again, they're backdooring the people.
[00:10:33.977 --> 00:10:35.838]  Many scientists agree these aren't really humans.
[00:10:36.179 --> 00:10:37.159]  These are humanoids.
[00:10:37.179 --> 00:10:41.062]  And they're making it where the environment's so toxic we can't have children.
[00:10:41.403 --> 00:10:48.488]  But don't worry, you can go to the scientist and they'll make something that looks and acts like a human for you, but just like your cell phone,
[00:10:50.097 --> 00:10:53.079]  Or just like your smart TV, it's got a lot of back doors.
[00:10:53.720 --> 00:10:56.782]  It's got a lot of little Trojan horses in it.
[00:10:57.883 --> 00:10:59.944]  So that's coming up as well.
[00:11:00.305 --> 00:11:04.248]  And GOP congressman proposes pardon deal for Julian Assange.
[00:11:05.749 --> 00:11:08.091]  I'll say this, there's no evidence of Russian collusion.
[00:11:08.451 --> 00:11:11.153]  We know Wikileaks got info from US folks and others.
[00:11:11.653 --> 00:11:14.716]  Everything Wikileaks exposed about Hillary, thank God they deserve a medal.
[00:11:15.464 --> 00:11:19.986]  So if Trump doesn't pardon Assange, then Trump ought to call for his own indictment.
[00:11:20.507 --> 00:11:27.210]  Because WikiLeaks was part of the trifecta of individuals and groups that got Trump in.
[00:11:27.570 --> 00:11:37.615]  InfoWars, the American People Waking Up Taking Action, the WikiLeaks, Benghazi, all of that is what defeated that arrogant entitled witch.
[00:11:40.987 --> 00:11:46.928]  Trump's good on almost every other subject, but it's hypocritical when he talks about Wikileaks, very evil, very bad what they did.
[00:11:48.449 --> 00:11:48.629]  What?
[00:11:49.929 --> 00:11:53.610]  If Wikileaks has got the documents and Wikileaks has got our emails, release it!
[00:11:53.910 --> 00:11:54.950]  Great job, Wikileaks!
[00:11:57.290 --> 00:11:58.931]  You know, I like the President.
[00:11:58.971 --> 00:11:59.571]  He's a great guy.
[00:11:59.591 --> 00:12:02.331]  He's under globalist attack, but he's really wrong on that.
[00:12:02.992 --> 00:12:07.292]  Maybe we should put together his clips on Wikileaks, praising it, and then saying they're criminal?
[00:12:07.833 --> 00:12:09.933]  I mean, I'm not trying to score points here against the President, but
[00:12:11.766 --> 00:12:15.227]  What's good for the goose is good for the gander.
[00:12:17.008 --> 00:12:24.910]  And I don't like seeing people that stick their necks out to try to restore this republic being backstabbed.
[00:12:24.950 --> 00:12:29.432]  I mean, somebody literally puts you over the top and you try to flush them down the toilet?
[00:12:29.832 --> 00:12:32.733]  Now, I know the word is that's rhetorical for cover.
[00:12:33.253 --> 00:12:36.254]  The president is looking at a partner ways to do this.
[00:12:37.449 --> 00:12:40.710]  Then that allows all the leaks they're using to destroy him.
[00:12:41.270 --> 00:12:42.050]  The criminal leaks.
[00:12:42.910 --> 00:12:44.690]  So then it's kind of a balancing act, isn't it?
[00:12:45.111 --> 00:12:47.291]  So I get where El Presidente's coming from.
[00:12:48.911 --> 00:12:53.132]  So I can say I see why he's doing what he's doing, but I can also see how it's not the right thing to do.
[00:12:54.312 --> 00:12:54.932]  That's what we do here.
[00:12:54.952 --> 00:13:00.634]  We don't just pick a political topic that we think sounds the best and makes the most people happy, but then not deliver on it.
[00:13:01.334 --> 00:13:02.394]  We go with what's right.
[00:13:04.005 --> 00:13:18.509]  Because compromising with what's right is what's turned us from the greatest, strongest, most focused, able, inventive, creative, tough, amazing, loving, dynamic nation in the world to turning us into a paradox.
[00:13:18.829 --> 00:13:25.911]  Where we still have that in us, and it still shines now and then, but we've also plumbed the depths.
[00:13:26.311 --> 00:13:29.392]  We've hit the heights, boy, we've gone to the depths.
[00:13:29.432 --> 00:13:30.272]  And let me tell you about the depths.
[00:13:31.584 --> 00:13:50.877]  The Deep State, run by the shadow government, had the decision to have the strategy of tension and strategic patience and all this other baloney to give North Korea nuclear, fissile material, and delivery systems, just like the same Deep State gave the CHICOMS, and just like they gave it to the Russians.
[00:13:51.537 --> 00:13:57.781]  The Russians were able when it came to missile technology and rocket technology, but not to atomic weapons and H-bombs.
[00:13:58.062 --> 00:13:59.763]  The globalists gave that to them.
[00:14:00.083 --> 00:14:01.304]  That's part of the public record!
[00:14:03.874 --> 00:14:26.012]  And so now, why on earth would we be critical of our president when North Korea is threatening to nuke South Korea, Seoul, and Tokyo, Japan, and running around thumbing at the mouth, and shot another missile over Japan, and is engaged in all this bizarre behavior?
[00:14:26.473 --> 00:14:31.557]  Why on earth would we sit here now and put up with this?
[00:14:32.973 --> 00:14:33.953]  And look, I don't want war.
[00:14:35.554 --> 00:14:37.875]  But they're the ones threatening preemptively to strike.
[00:14:38.935 --> 00:14:41.396]  So, Nikki Haley has her issues.
[00:14:41.456 --> 00:14:53.100]  I've got her full transcript here where she says, in a diplomatic process when North Korea doesn't work, she said we'd be perfectly happy to send this over to Secretary Mattis since he has plenty of military options.
[00:14:53.520 --> 00:14:55.841]  You don't say you're happy to go to the military option.
[00:14:57.145 --> 00:15:15.739]  But she's accurate when she says if we hit North Korea, they'll be totally destroyed because you can't let them, if you just pinprick them, knock out their ICBMs, they're going to respond with conventional weapons against Japan and against Korea, and you're into a major war, you've got to decapitate them fully if you decide to strike them, and I've been saying that for years.
[00:15:16.399 --> 00:15:18.681]  So I agree with what she's saying there, but she's getting briefed on that.
[00:15:18.901 --> 00:15:25.966]  Let's go to a clip of her on CNN today talking about totally destroying North Korea.
[00:15:26.007 --> 00:15:26.367]  Here it is.
[00:15:26.783 --> 00:15:31.089]  We wanted to be responsible and go through all diplomatic means to get their attention first.
[00:15:31.489 --> 00:15:33.852]  If that doesn't work, General Mattis will take care of it.
[00:15:34.473 --> 00:15:39.480]  Well, by saying General Mattis will take care of it, you're talking about the Pentagon and you're talking about a military option.
[00:15:39.780 --> 00:15:41.182]  Is that what fire and fury meant?
[00:15:41.983 --> 00:15:56.850]  You have to ask the president what fire and fury meant, but I think we all know that basically, if North Korea keeps on with this reckless behavior, if the United States has to defend itself or defend its allies in any way, North Korea will be destroyed.
[00:15:56.870 --> 00:15:58.531]  That's right, it's the only option.
[00:16:02.751 --> 00:16:06.173]  Thousands of years ago, there was a basic form of chivalry.
[00:16:06.514 --> 00:16:13.678]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[00:16:14.259 --> 00:16:22.644]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[00:16:22.865 --> 00:16:27.047]  But in the 21st century, there are silent weapons for quiet war.
[00:16:27.308 --> 00:16:32.451]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality.
[00:16:32.871 --> 00:16:36.734]  Turn off our hormones and accelerate our journey towards death.
[00:16:37.114 --> 00:16:40.336]  I personally counter this onslaught with AnthroPlex.
[00:16:40.536 --> 00:16:51.623]  AnthroPlex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[00:16:51.683 --> 00:16:54.365]  Discover why AnthroPlex is turning so many heads today.
[00:16:54.585 --> 00:17:00.569]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex.
[00:17:01.189 --> 00:17:03.370]  And they tell the trainees that the trainees to rip me off!
[00:17:03.390 --> 00:17:04.271]  Get into it!
[00:17:04.311 --> 00:17:05.471]  Jump up and down!
[00:17:36.027 --> 00:17:52.705]  I mean that's that's what we're dealing with here, and I'm sick of it!
[00:17:54.968 --> 00:17:56.870]  Bing bing bong bong bing bing bing
[00:18:01.047 --> 00:18:05.270]  Men, give your body the support it needs with InfoWars Life Prostagard.
[00:18:05.790 --> 00:18:09.713]  It's time to start assisting the body in regulating proper prostate balance.
[00:18:10.213 --> 00:18:20.840]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[00:18:21.440 --> 00:18:29.207]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[00:18:29.407 --> 00:18:38.415]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[00:18:38.775 --> 00:18:49.044]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[00:18:49.525 --> 00:18:52.650]  Now's the time to start naturally supporting your body.
[00:18:52.971 --> 00:18:57.178]  Get Prostagard on your side today, exclusively at Infowarslife.com.
[00:18:57.599 --> 00:18:58.721]  That's Infowarslife.com.
[00:19:00.476 --> 00:19:01.916]  Vitamin Mineral Fusion.
[00:19:02.076 --> 00:19:04.497]  Visit InfoWarsLife.com to secure your chemistry.
[00:19:04.657 --> 00:19:11.959]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:19:12.159 --> 00:19:22.462]  Vitamin Mineral Fusion Drink Mix at InfoWarsLife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:19:22.802 --> 00:19:30.346]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[00:19:30.646 --> 00:19:40.612]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:19:40.852 --> 00:19:42.773]  And this part is most important.
[00:19:42.913 --> 00:19:49.297]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[00:19:49.697 --> 00:19:50.777]  That means it's clean.
[00:19:51.137 --> 00:19:52.078]  That means it's pure.
[00:19:52.278 --> 00:19:55.078]  And rest secured, you're finding the tip of the spear in the Infowar.
[00:19:55.158 --> 00:19:57.739]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:19:57.959 --> 00:19:59.620]  Take action now before we sell out.
[00:20:05.881 --> 00:20:08.482]  You're listening to the Alex Jones Show.
[00:20:17.560 --> 00:20:21.101]  Resistance to tyrants is obedience to God.
[00:20:21.641 --> 00:20:23.461]  It's Alex Jones.
[00:20:25.202 --> 00:20:33.883]  Up until the 1960s, the CIA generally overthrew dictators.
[00:20:34.083 --> 00:20:39.404]  After that, they installed them.
[00:20:39.664 --> 00:20:42.265]  And they worked for private, corporate, special interests.
[00:20:43.351 --> 00:20:45.552]  The CIA is the National Security Act 1947.
[00:20:46.173 --> 00:20:47.093]  It's the dominant group.
[00:20:48.014 --> 00:20:50.195]  It's plugged into all the other 16 agencies.
[00:20:51.696 --> 00:20:55.418]  And if you want to know what the CIA wants, just turn on Hollywood.
[00:20:55.938 --> 00:20:57.058]  Just turn on MTV.
[00:20:57.799 --> 00:20:59.159]  Mothers and fathers are bad.
[00:20:59.660 --> 00:21:01.221]  Christians are bad.
[00:21:01.581 --> 00:21:02.962]  Radical Muslims are good.
[00:21:02.982 --> 00:21:04.622]  Gun owners are bad.
[00:21:04.943 --> 00:21:06.383]  Private property's bad.
[00:21:06.744 --> 00:21:07.784]  Freedom's bad.
[00:21:08.124 --> 00:21:09.185]  America's bad.
[00:21:11.229 --> 00:21:17.172]  Hollywood does exactly what the deep state, what the FBI and CIA tell them to do.
[00:21:18.453 --> 00:21:25.897]  Now by the way, some of the most awake people out there are in the CIA and the FBI because they go out and recruit the best and brightest because they want to control them.
[00:21:26.538 --> 00:21:31.180]  But it's the people at the top of those agencies that are establishing world government.
[00:21:31.240 --> 00:21:35.783]  Coming up, stories up on Infowars.com with an hour plus video.
[00:21:36.823 --> 00:21:42.965]  I was talking to William Binney six months ago about this guy and how he's going to go public soon, and I'm glad to see it's now happened.
[00:21:43.565 --> 00:21:50.087]  Kevin Schipp, high-level CIA, exposing the entire operation.
[00:21:50.527 --> 00:21:51.707]  We're getting into that coming up.
[00:21:54.088 --> 00:21:57.029]  And how the shadow government controls the deep state.
[00:21:58.329 --> 00:22:00.910]  And if you want to know their aims, just look at what they did.
[00:22:01.960 --> 00:22:03.701]  Cancer viruses and vaccines.
[00:22:04.562 --> 00:22:05.863]  Steroids and vaccines.
[00:22:05.923 --> 00:22:08.144]  Vaccine protection so they can do it and get away with it.
[00:22:08.625 --> 00:22:08.985]  All of it.
[00:22:09.065 --> 00:22:14.249]  But they go out and get the best and brightest to compartmentalize them to control them.
[00:22:14.329 --> 00:22:20.333]  They go get the best with the best grades, the best, you know, the guy that's a valedictorian and the star quarterback.
[00:22:20.573 --> 00:22:21.394]  They want that guy.
[00:22:21.654 --> 00:22:24.676]  They can compartmentalize him and put him where they want him.
[00:22:26.838 --> 00:22:29.680]  To make sure he never ends up threatening their operations.
[00:22:32.421 --> 00:22:34.806]  Google, Facebook, Twitter, all CIA.
[00:22:35.067 --> 00:22:35.748]  He gets into that.
[00:22:36.409 --> 00:22:39.255]  But I don't need to read the transcript of his speech.
[00:22:41.354 --> 00:22:43.495]  Everything he said was already public knowledge.
[00:22:43.515 --> 00:22:43.895]  You know why?
[00:22:44.095 --> 00:22:47.657]  He didn't tell you anything secret in his speech or he'd get arrested or killed.
[00:22:48.057 --> 00:22:49.198]  He played the whole game.
[00:22:49.258 --> 00:22:52.779]  He told you everything that's public but that no one's paying attention to.
[00:22:53.420 --> 00:22:58.442]  It's a fact that in 1997 Google was founded by the CIA and DARPA.
[00:22:58.722 --> 00:23:01.103]  It's a fact Facebook is a CIA front.
[00:23:01.364 --> 00:23:03.044]  It's a fact Twitter is.
[00:23:03.284 --> 00:23:04.785]  It's a fact CNN is.
[00:23:05.045 --> 00:23:06.626]  It's a fact people say, well are you?
[00:23:07.546 --> 00:23:10.588]  Infowars is true and organic and proven.
[00:23:12.108 --> 00:23:13.369]  And that's why we're so successful.
[00:23:13.929 --> 00:23:18.051]  These groups are there to scoop up anything that's organic, but it's not worked.
[00:23:19.092 --> 00:23:23.835]  Instead, we're scooping up the country with the information, the truth about globalism.
[00:23:25.096 --> 00:23:26.817]  Decompartmentalizing the information.
[00:23:27.768 --> 00:23:30.209]  And our biggest audience is in the deep state.
[00:23:30.789 --> 00:23:32.369]  There's a civil war is in the deep state.
[00:23:32.809 --> 00:23:34.670]  The shadow government, it's blocking Trump.
[00:23:35.010 --> 00:23:35.750]  It's in control.
[00:23:35.830 --> 00:23:37.430]  It's run by foreign multinationals.
[00:23:38.150 --> 00:23:41.511]  It's run by the Saudis, the corrupt Vatican, the anti-Catholic.
[00:23:41.891 --> 00:23:42.812]  It's run by the globalists.
[00:23:43.592 --> 00:23:45.312]  But their days are numbered.
[00:23:46.913 --> 00:23:47.793]  If you want to know the players.
[00:23:51.594 --> 00:23:54.254]  The truth is the globalists had to command their operations.
[00:23:54.894 --> 00:23:56.115]  So everything they do is public.
[00:23:56.155 --> 00:23:57.115]  It's all in textbooks.
[00:23:58.479 --> 00:24:03.904]  How they put 1.3 parts per million hydrofluorosilic acid into lower fertility and brain damage you.
[00:24:04.245 --> 00:24:07.988]  How they put cancer viruses in but at a level that only triggers 20-30 years later.
[00:24:08.749 --> 00:24:11.572]  How they run the whole operation to break up the family.
[00:24:11.972 --> 00:24:15.275]  It's all in white papers because they've got to communicate.
[00:24:15.556 --> 00:24:16.537]  They hide it in plain view.
[00:24:21.274 --> 00:24:23.375]  They've always got an excuse for the shadow government.
[00:24:23.776 --> 00:24:28.959]  Oh, we're going to put SAM missile bases in every city in case someone hijacks jets again.
[00:24:28.979 --> 00:24:32.502]  Well, they've got remote control already in all the jets before 9-11.
[00:24:33.262 --> 00:24:43.509]  Oh, and then once they put in a shadow substation, then you can remove who builds it originally and torture people or run drugs or make kiddie porn or whatever it is the people on top want to do.
[00:24:45.190 --> 00:24:46.191]  The good guys build it.
[00:24:47.752 --> 00:24:48.693]  The Satanists run it.
[00:24:50.302 --> 00:24:51.222]  Well, guess what?
[00:24:53.123 --> 00:24:56.083]  I'm the creature out of Texas, and I've come to destroy you.
[00:24:57.224 --> 00:24:59.044]  You can destroy me and only make me more powerful.
[00:24:59.384 --> 00:25:01.925]  I don't even actually want that to happen, but quite frankly, I'm not worried about it.
[00:25:04.045 --> 00:25:11.467]  Because I'm committed to not even bringing you down, just getting you out of the way.
[00:25:13.708 --> 00:25:14.748]  Move, bitch.
[00:25:15.528 --> 00:25:16.208]  Get out the way.
[00:25:17.489 --> 00:25:18.629]  You can get out of the way and
[00:25:20.242 --> 00:25:20.842]  Have a future?
[00:25:21.182 --> 00:25:21.682]  She won't.
[00:25:23.023 --> 00:25:23.943]  No, you're gonna be destroyed.
[00:25:24.983 --> 00:25:25.623]  I can see that.
[00:25:25.643 --> 00:25:29.024]  So I'm not gonna cry about it.
[00:25:31.144 --> 00:25:32.104]  Something needs to happen.
[00:25:33.085 --> 00:25:33.485]  And it will.
