[00:00:12.449 --> 00:00:16.792]  You are listening to an InfoWars.com Frontline Report.
[00:09:28.399 --> 00:09:29.520]  That's beautiful.
[00:09:29.520 --> 00:09:30.961]  They're now the most unpopular
[00:09:31.841 --> 00:09:47.507]  When people are asked about it, most unpopular sport in America, because you're not America's team, you're not America's sport, you're a globalist, Hollywood, filth production, spewing anti-gun, anti-family trash, and you're another bellwether of the death of the establishment.
[00:09:47.507 --> 00:09:52.769]  It is creme de la creme, coup de gras, it is the best, it is delicious, it is the final blow.
[00:09:52.769 --> 00:09:55.950]  It just doesn't get better than that, does it?
[00:09:57.119 --> 00:10:03.381]  Trump proclaims Columbus Day without Obama's qualms, while Antifa promises violent demonstrations tomorrow.
[00:10:03.381 --> 00:10:05.121]  They're all acting like, oh, it's so racist.
[00:10:05.121 --> 00:10:11.843]  The Native Americans were killing each other 24-7 and were cutting people's hearts out and eating them.
[00:10:11.843 --> 00:10:15.585]  I mean, Karankawas in Texas were eating people, not just the Aztecs.
[00:10:15.585 --> 00:10:17.485]  And by the way, folks, I'm part Native American.
[00:10:17.485 --> 00:10:19.426]  I'm not putting Native Americans down.
[00:10:19.426 --> 00:10:22.267]  It's just they were just as barbarous as anybody you'd ever imagine.
[00:10:22.267 --> 00:10:25.668]  And as soon as settlers showed up, they'd say, you're going to help us take over the next tribe.
[00:10:25.668 --> 00:10:26.448]  We're going to kill you.
[00:10:27.619 --> 00:10:35.091]  They were constantly killing each other, and just to lionize them under these angels, and oh, the evil of the West showing up.
[00:10:35.091 --> 00:10:37.354]  That's just a way to make you hate yourself.
[00:10:37.354 --> 00:10:41.040]  It's just a load of bull for people that actually haven't studied history.
[00:10:41.040 --> 00:10:41.721]  So I think that's good.
[00:10:44.008 --> 00:10:56.444]  There's a big report coming out here with Catalonia and how Spain is attempting basically martial law to keep that breakaway district under control, but it's not going to work because the more they squeeze, the more people will resist.
[00:10:56.444 --> 00:10:58.666]  But here's the really big news for you.
[00:11:00.816 --> 00:11:02.317]  Progress!
[00:11:02.317 --> 00:11:05.219]  Knowingly exposing others to HIV.
[00:11:05.219 --> 00:11:06.480]  No longer a felony.
[00:11:06.480 --> 00:11:08.621]  It is the same as a parking ticket.
[00:11:08.621 --> 00:11:10.963]  The lowest level misdemeanor.
[00:11:10.963 --> 00:11:19.048]  So you knowingly give somebody a virus that can cause an autoimmune disease that makes you slowly die over five to ten years.
[00:11:19.048 --> 00:11:20.409]  But that's okay.
[00:11:20.409 --> 00:11:22.911]  Governor Jerry Brown signed it.
[00:11:24.235 --> 00:11:25.696]  And talked about equality.
[00:11:25.696 --> 00:11:36.683]  Well, it's not evil to have a disease, be it leprosy, HIV, hepatitis, whatever, but it's certainly evil to give it to someone.
[00:11:36.683 --> 00:11:38.705]  But they're saying no, that's okay.
[00:11:38.705 --> 00:11:46.130]  And I want to get into the psychology of the insane Democratic Party here, because when HIV goes from lowered numbers like it is to exploding in the next five years,
[00:11:47.572 --> 00:11:51.394]  In a few years we're still here, as a planet, don't have nuclear war.
[00:11:51.394 --> 00:11:59.076]  I will go back to this show and say here I am in 2017 saying within three to five years California will have a 200% increase in HIV.
[00:12:05.543 --> 00:12:11.846]  They will also complain and say we need single-payer, we need social health care, the reason we have HIV is because we don't have free health care.
[00:12:11.846 --> 00:12:22.692]  No, the reason we have HIV is because it is a culture now in the gay community, that I first read about 20 years ago in Rolling Stone, to give other people HIV.
[00:12:22.692 --> 00:12:24.012]  It's truly nihilistic.
[00:12:24.012 --> 00:12:25.633]  So here's the article.
[00:12:25.633 --> 00:12:28.334]  Progress, LA Times.
[00:12:28.334 --> 00:12:33.537]  Knowingly exposing others to HIV, no longer a felony in California, it's the same thing
[00:12:37.404 --> 00:12:38.985]  As a parking ticket.
[00:12:38.985 --> 00:12:41.086]  So it's essentially legalized.
[00:12:41.086 --> 00:12:50.012]  And here's the LA Times, Governor Jerry Brown signed a bill Friday that lowers from a felony to a misdemeanor the crime of knowingly exposing a sexual partner to HIV without disclosing the infection.
[00:12:50.012 --> 00:12:50.993]  How about hepatitis?
[00:12:50.993 --> 00:12:52.073]  How about everything else?
[00:12:52.073 --> 00:12:56.456]  The measure also applies to those who give blood without telling blood bank they're HIV positive.
[00:12:56.456 --> 00:12:57.537]  Oh wow!
[00:12:57.537 --> 00:13:00.359]  Don't tell the blood bank you're HIV positive!
[00:13:00.859 --> 00:13:02.099]  See, this is a religion.
[00:13:02.099 --> 00:13:03.399]  This is Satanism, folks.
[00:13:03.399 --> 00:13:06.660]  Because if they can get away with this thing or with anything, this is totally insane.
[00:13:06.660 --> 00:13:13.121]  Remember the Clintons for over a decade knew that all the blood coming out of their prisons was infected with HIV and Hepatitis?
[00:13:13.121 --> 00:13:13.501]  All of it.
[00:13:13.501 --> 00:13:25.984]  Because they would mix it together, and they would sell it into Canada, and say it was all clean, and then Bayer would buy it, turn it into Factor VIII, and Bayer knew it all had HIV in it, and they still shipped it out as population reduction.
[00:13:25.984 --> 00:13:27.184]  It's in the documents.
[00:13:27.184 --> 00:13:27.344]  So,
[00:13:28.971 --> 00:13:31.015]  This takes bug chasing to a whole new level.
[00:13:31.015 --> 00:13:37.686]  This isn't two guys getting together in a bar bathroom or wherever, okay?
[00:13:37.686 --> 00:13:42.574]  This is children, hemophiliacs, getting it and there's a religion.
[00:13:43.673 --> 00:13:49.557]  This is mainstream news, of giving people HIV and then AIDS, of killing them, and then of wanting to get killed.
[00:13:49.557 --> 00:13:59.763]  But see, that's not enough of a thrill, it's more of a sacrament for Jerry Brown to destroy the entire blood industry, to destroy it even further, and then let the entire U.S.
[00:13:59.763 --> 00:14:01.544]  blood supply be tainted again
[00:14:02.304 --> 00:14:08.614]  But it's okay, it's like it's okay to teach five-year-olds, you know, that they're not really a man or not really a woman, that they're really something else in school.
[00:14:08.614 --> 00:14:13.782]  Pedophilia being normalized by mainstream news, by the New York Times, by Salon.
[00:14:13.782 --> 00:14:17.187]  It's all about how far can they push you, what can they get away with.
[00:14:18.319 --> 00:14:19.840]  So let me read this again from the LA Times.
[00:14:19.840 --> 00:14:27.823]  Governor Jerry Brown signed a bill Friday that lowers from a felony to a misdemeanor the crime of knowingly exposing a sexual partner to HIV without disclosing the infection.
[00:14:27.823 --> 00:14:31.924]  The measure also applies to those who give blood without telling the blood bank they're HIV positive.
[00:14:31.924 --> 00:14:41.628]  So you can go in, give them the blood, it infects the entire system, and you kill a bunch of people, but it's liberal, so it's like, well, it's liberal.
[00:14:41.628 --> 00:14:42.588]  See, oh my gosh.
[00:14:42.588 --> 00:14:44.229]  No, it's a satanic ritual.
[00:14:45.120 --> 00:14:47.201]  And that's what bug chasers say.
[00:14:47.201 --> 00:14:53.705]  They say how wonderful it is when they first get the AIDS and first have the fever, and then now they're gods.
[00:14:53.705 --> 00:14:54.746]  They call it being a god.
[00:14:54.746 --> 00:15:02.791]  Like Meryl Streep, when she's not promoting pedophilia, standing ovations for Roman Polanski, says that Weinstein's a god.
[00:15:02.791 --> 00:15:03.231]  You understand?
[00:15:03.231 --> 00:15:06.173]  And let me just give you a few of the articles to back this up briefly.
[00:15:09.452 --> 00:15:11.153]  CNN reports it like it's a good deal.
[00:15:11.153 --> 00:15:14.235]  California hepatitis, an outbreak on the verge of a statewide epidemic.
[00:15:14.235 --> 00:15:17.677]  Again, most of it sexually transmitted and illegal is coming in, but that's okay.
[00:15:17.677 --> 00:15:19.758]  They'll blame it on folks that aren't vaccinated.
[00:15:19.758 --> 00:15:24.061]  Man intentionally poked holes in condoms to inflict grinder hookups with HIV.
[00:15:24.061 --> 00:15:27.443]  Well, hell, that's a good thing in California.
[00:15:27.443 --> 00:15:29.324]  I mean, you're not going to get caught anyways.
[00:15:29.324 --> 00:15:31.265]  It's a parking ticket now.
[00:15:31.265 --> 00:15:32.826]  What's wrong with that in New York?
[00:15:32.826 --> 00:15:33.826]  Don't indict him.
[00:15:33.826 --> 00:15:36.828]  Bug chasers, gay men in the intentional pursuit of HIV.
[00:15:36.828 --> 00:15:37.849]  A narrative analysis.
[00:15:38.909 --> 00:15:40.109]  Read all the mainstream news.
[00:15:40.109 --> 00:15:41.430]  Bug chasing on Wikipedia.
[00:15:41.430 --> 00:15:43.250]  Read all about it!
[00:15:43.250 --> 00:15:44.551]  Oh, but there's nothing satanic.
[00:15:44.551 --> 00:15:45.311]  There's nothing evil.
[00:15:45.311 --> 00:15:49.772]  And they'll probably say, Jones hates gay people and says that they want to give you AIDS.
[00:15:49.772 --> 00:15:55.474]  No, I said the governor signed a bill where they could do it and go give blood and kill a bunch of people.
[00:15:55.474 --> 00:15:56.394]  That's what you did.
[00:15:56.394 --> 00:15:58.295]  So go ahead and defend it, Media Matters.
[00:16:00.976 --> 00:16:04.958]  Refresh your breath with Emerix Essentials Organic Mouthwash.
[00:16:04.958 --> 00:16:13.761]  Our formula is made from organic, herbal ingredients to help stimulate the gums and provide a cleansing effect while adding a pleasant, refreshing taste.
[00:16:13.761 --> 00:16:24.605]  Emerix Essentials Mouthwash is non-GMO, certified organic, made without alcohol, chemicals, or other artificial ingredients such as flavors, fragrances, or dyes.
[00:16:25.325 --> 00:16:33.536]  The pure organic plant extracts are concentrated, containing antibacterial properties that work well to help tone gum and freshen your breath.
[00:16:33.536 --> 00:16:36.780]  This antiseptic mouthwash is a concentrated formula.
[00:16:36.780 --> 00:16:39.964]  You will need to dilute 1 part mouthwash to 10 parts water.
[00:16:40.885 --> 00:16:45.348]  Emmerich's Essentials Mouthwash is a great addition to your daily brushing routine.
[00:16:45.348 --> 00:16:50.251]  It is effective, yet gentle enough for the most sensitive gums and canker sores.
[00:16:50.251 --> 00:16:53.073]  Go organic today with Emmerich's Essentials.
[00:16:53.073 --> 00:16:55.595]  Visit infowarsstore.com to learn more.
[00:16:55.595 --> 00:16:57.316]  That's infowarsstore.com.
[00:16:59.830 --> 00:17:06.112]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
[00:17:06.112 --> 00:17:10.474]  This powerful combo is perfect for supporting your thyroid and health.
[00:17:10.474 --> 00:17:17.756]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[00:17:17.756 --> 00:17:19.957]  Our super high quality nascent iodine
[00:17:20.177 --> 00:17:26.381]  Is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[00:17:26.381 --> 00:17:34.166]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[00:17:34.166 --> 00:17:41.071]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[00:17:41.451 --> 00:17:47.658]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[00:17:47.658 --> 00:17:51.503]  Take control of your chemistry today with this super combo.
[00:17:51.503 --> 00:17:58.551]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com
[00:18:00.512 --> 00:18:09.274]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:18:09.274 --> 00:18:09.795]  That's right.
[00:18:09.795 --> 00:18:15.056]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:18:15.056 --> 00:18:21.738]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:18:21.738 --> 00:18:29.000]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:18:29.360 --> 00:18:29.560]  Woo!
[00:18:29.560 --> 00:18:30.601]  That's what I'm talking about.
[00:18:30.601 --> 00:18:39.346]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:18:39.346 --> 00:18:48.932]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:18:48.932 --> 00:18:52.374]  Now that's what I call the miracle of food preservation.
[00:18:52.374 --> 00:18:56.496]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:18:56.496 --> 00:18:57.337]  So what are you waiting for?
[00:18:57.557 --> 00:19:00.439]  Check it out right now at InfoWarsStore.com.
[00:19:00.439 --> 00:19:05.082]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[00:19:05.082 --> 00:19:12.728]  InfoWars Life brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[00:19:12.728 --> 00:19:16.971]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[00:19:16.971 --> 00:19:21.114]  Pair this groundbreaking toothpaste with the super blue fluoride free mouthwash and
[00:19:21.274 --> 00:19:23.095]  And supercharge your oral health.
[00:19:23.095 --> 00:19:29.698]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[00:19:29.698 --> 00:19:39.823]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[00:19:40.063 --> 00:19:46.868]  Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[00:19:46.868 --> 00:19:49.731]  Xylitol, Nano Silver, and Iodine.
[00:19:49.731 --> 00:19:53.333]  Notice the difference with our Super Blue Fluoride-Free products.
[00:19:53.333 --> 00:19:58.337]  Refresh your breath and invigorate your oral health routine at InfoWarsStore.com.
[00:19:58.337 --> 00:20:02.401]  That's InfoWarsStore.com.
[00:20:02.401 --> 00:20:05.103]  You're listening to The Alex Jones Show.
[00:20:11.725 --> 00:20:12.007]  Yeah.
[00:20:32.131 --> 00:20:33.792]  Well, guess what, ladies and gentlemen?
[00:20:33.792 --> 00:20:45.836]  If you live in the United States or Canada, California is the biggest state for overall blood donations, and the blood is then mixed and processed at central locations across the country.
[00:20:45.836 --> 00:20:49.878]  So if you live in New York or you live in Florida or Texas or Oklahoma or...
[00:20:50.798 --> 00:21:02.173]  Illinois, you will be getting HIV and hepatitis blood now from California because they've legalized, as of Friday, giving blood if you have HIV.
[00:21:02.173 --> 00:21:05.737]  Because we don't want to be politically incorrect and have a stigma.
[00:21:05.737 --> 00:21:06.418]  I'm not kidding.
[00:21:08.320 --> 00:21:19.332]  They're also saying you can intentionally give it to someone without telling them, and that it's the equivalent of a parking ticket, a $50 fine.
[00:21:19.332 --> 00:21:20.633]  No, I'm not kidding.
[00:21:20.633 --> 00:21:24.577]  That's in the LA Times, ladies and gentlemen.
[00:21:24.577 --> 00:21:26.219]  They are very, very proud of this.
[00:21:26.219 --> 00:21:27.240]  Now this was first called...
[00:21:28.261 --> 00:21:38.785]  Bug chasing, back in the 90s, Rolling Stone, the San Francisco Chronicle reported on bug chasers, gay men and the intentional pursuit of HIV, a narrative analysis.
[00:21:38.785 --> 00:21:49.288]  Now, if you want to commit suicide, and you're mentally ill, and you want to get a horrible long-term disease that takes a decade to kill you, that's your issue.
[00:21:49.288 --> 00:21:54.990]  But if you want to then make everyone else accept it, because misery loves company,
[00:21:56.394 --> 00:22:00.017]  That is pure evil, ladies and gentlemen.
[00:22:00.017 --> 00:22:10.944]  And it shows the mindset of Hollywood and the people that are involved in this is that they want to infect society with their culture of death.
[00:22:10.944 --> 00:22:16.568]  They want to sexualize your children, whether it be heterosexual, homosexual, it's all pedophilia.
[00:22:16.568 --> 00:22:20.311]  With Salon and the New York Times promoting it, I mean, Weinstein
[00:22:21.191 --> 00:22:28.553]  You know, harassing all these women is wrong and is bad, but it's the tip of the proverbial iceberg.
[00:22:28.553 --> 00:22:36.954]  And if you understand all this, you understand the mindset of what they want to do to fly over country.
[00:22:36.954 --> 00:22:43.896]  California has set incredible precedents, saying that they'll give your kids vaccines even if you don't want to.
[00:22:43.896 --> 00:22:47.097]  And if you try to homeschool your kid, they'll take them away from you.
[00:22:47.097 --> 00:22:48.237]  I mean, it is a true
[00:22:49.767 --> 00:22:59.731]  authoritarian utopia and you're seeing the mindset, the world view of the authoritarians and what they want to do to you.
[00:22:59.731 --> 00:23:03.413]  So let that sink in.
[00:23:03.413 --> 00:23:08.175]  They want to see how far they can go as deviants.
[00:23:08.175 --> 00:23:12.477]  And let me tell you, it doesn't get more deviant than wanting to knowingly give blood when you've got
[00:23:13.713 --> 00:23:15.073]  HIV, so other people get it.
[00:23:15.073 --> 00:23:16.554]  I mean, that is pure evil.
[00:23:16.554 --> 00:23:23.535]  But see, now being liberal means, oh, you can't have a mother and father on your elementary school entrance form.
[00:23:23.535 --> 00:23:24.916]  Someone may not have that.
[00:23:24.916 --> 00:23:31.717]  And see, if you don't have HIV, if you're not dying, if you don't know what it's like, well, you're going to find out!
[00:23:31.717 --> 00:23:35.238]  And now the precedent will be, well, if I have hepatitis, can I give it to you?
[00:23:35.238 --> 00:23:37.799]  Oh, if I have leprosy, can I give it to you?
[00:23:37.799 --> 00:23:40.440]  And now you understand why these folks want to run your life.
[00:23:40.440 --> 00:23:41.760]  They are evil.
[00:23:42.677 --> 00:23:43.998]  This is what they're into.
[00:23:43.998 --> 00:23:45.839]  This is what they do.
