[00:00:03.707 --> 00:00:04.533]  That's Allen Railway, Chevy.
[00:03:18.710 --> 00:03:19.751]  That is where the country should be.
[00:03:21.420 --> 00:03:34.973]  I regret and disapprove of the decision by the United States to continue with the construction of the wall, which has for years, far from uniting us, divided us.
[00:03:34.973 --> 00:03:36.955]  Mexico does not believe in walls.
[00:03:36.955 --> 00:03:38.056]  I've said time and time again.
[00:03:39.452 --> 00:03:41.414]  Well, I'll pay for a wall.
[00:03:41.414 --> 00:03:49.483]  All it means is pennies charged for people wiring money would pay for it.
[00:03:49.483 --> 00:03:50.223]  Pennies.
[00:03:50.223 --> 00:03:51.745]  Let me tell you, 8 to 14 million dollars is nothing.
[00:03:58.815 --> 00:04:04.219]  But a drop in the bucket when you talk about money transfers to Mexico and back and forth.
[00:04:04.219 --> 00:04:05.900]  Okay, that's good.
[00:04:05.900 --> 00:04:10.984]  So he goes on to say, you know, a negotiation is good for us to have, but now he's pulled out of the negotiation.
[00:04:10.984 --> 00:04:15.067]  So now Trump is going to run over Mexico.
[00:04:15.067 --> 00:04:16.407]  We deserve to have a wall.
[00:04:16.407 --> 00:04:22.332]  Mexico has collapsed into tyranny under previous globalist policies, and we can have a wall.
[00:04:23.274 --> 00:04:36.012]  Quite frankly, it's not going to completely stop anybody, but it's an act of sovereignty and will slow down just complete criminal lawlessness where the Mexican drug trucks just drive right over and right back over the border in large parts of
[00:04:37.771 --> 00:04:45.833]  Arizona are basically off-limits unless you're a drug cartel, and you've got the coyotes in there murdering and killing the people coming across the border.
[00:04:45.833 --> 00:04:52.595]  Oh, it's the coyotes doing the murdering, not a bunch of guys, you know, white guys in cowboy hats like Robert Rodriguez would have you believe.
[00:04:52.595 --> 00:04:53.455]  Stay with us, folks.
[00:04:53.455 --> 00:04:58.036]  I'm gonna launch into MSM pushing big-time openly for the murder of President Trump.
[00:04:59.972 --> 00:05:05.514]  Sanctuary cities across the nation are pushing back against President Trump's immigration policies.
[00:05:05.514 --> 00:05:07.675]  They're vowing to take it all the way to the courts.
[00:05:07.675 --> 00:05:18.499]  Bill de Blasio of New York is promising immediate action against Sanctuary City's order, as President Trump's executive order is said to block federal funding to sanctuary cities just like New York.
[00:05:18.499 --> 00:05:25.522]  De Blasio is saying that it's very susceptible to legal challenge, and he's promising to take it to the court immediately for an injunction to stop the order.
[00:05:25.802 --> 00:05:34.727]  If an attempt to pull funds from the city is made, he goes on to say, if they make an attempt to pull that money, it would be from the NYPD, from security funding to fighting terrorism.
[00:05:34.727 --> 00:05:36.608]  Of course, we know that simply isn't true.
[00:05:36.608 --> 00:05:44.353]  The president is trying to enforce the law of the land and say that these rogue cities have no right to give benefits to people that are here illegally.
[00:05:44.353 --> 00:05:54.119]  On Wednesday, Trump signed an order to stop federal funds from going to these cities, from New York to San Francisco, that have policies limiting cooperation with federal immigration enforcement agencies.
[00:05:54.759 --> 00:05:59.741]  I'm Margaret Howe reporting for InfoWars.com.
[00:05:59.741 --> 00:06:10.604]  National Defense Labs and Citizen Armor has given InfoWars the exclusive on distributing to the American people the true next generation in body armor.
[00:06:10.604 --> 00:06:18.387]  Basically what we're bringing to the InfoWars team is a new line of dynamic, lightweight body armor.
[00:06:18.387 --> 00:06:24.309]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[00:06:24.409 --> 00:06:30.413]  You said when you talked to people that have been using this actually testing it for years, people that currently have tested it for us, they didn't just say outstanding.
[00:06:30.413 --> 00:06:31.554]  I mean, what did they really say about this?
[00:06:31.554 --> 00:06:34.396]  They want to know how do they get it, where do they find it.
[00:06:34.396 --> 00:06:38.118]  A lot of my law enforcement official buddies want to know the same thing.
[00:06:38.118 --> 00:06:41.060]  The backpack body armor is only $200.
[00:06:41.060 --> 00:06:42.921]  I mean, it's unbelievable.
[00:06:42.921 --> 00:06:44.062]  It's a quarter inch thick.
[00:06:44.062 --> 00:06:45.083]  It's got a 20-year warranty.
[00:06:45.083 --> 00:06:45.743]  It's waterproof.
[00:06:45.743 --> 00:06:46.224]  You can wear it.
[00:06:46.224 --> 00:06:46.904]  It's comfortable.
[00:06:46.904 --> 00:06:49.086]  And we shot everything you can imagine on it.
[00:06:49.086 --> 00:06:50.807]  Again, fund the Info Ward.
[00:06:50.807 --> 00:06:53.508]  Get the game-changing Nanotech Tubes.
[00:06:53.508 --> 00:06:54.169]  It's a win-win.
[00:06:54.629 --> 00:06:55.069]  $200.
[00:06:55.069 --> 00:06:58.550]  Go check out all their different products at InfoWarsTore.com.
[00:06:58.550 --> 00:06:59.931]  It's amazing.
[00:06:59.931 --> 00:07:01.391]  I respect my audience.
[00:07:01.391 --> 00:07:09.174]  I know that our viewers and listeners are among the most informed, pro-liberty, pro-human, God-fearing people on the face of the earth.
[00:07:09.174 --> 00:07:17.397]  It's time to go to InfoWarsTore.com and prepare and to get the storable foods and the high-quality water filtration systems that you need for your family.
[00:07:17.757 --> 00:07:22.640]  Shortwave emergency radios, you name it, we have it all at InfoWarsStore.com.
[00:07:22.640 --> 00:07:30.665]  And for a limited time, InfoWars select storable foods that are the highest quality, longest lasting, produced right here in the U.S.
[00:07:30.665 --> 00:07:33.367]  foods, are 30 to 40% off retail.
[00:07:33.367 --> 00:07:35.028]  We only do this special twice a year.
[00:07:35.148 --> 00:07:48.992]  You get super high quality storable foods that are fresh, last 25 years, you're prepared, you're ready, that key area is taken care of, it's insurance you can eat, you are getting an amazing deal on it, and you are funding the very tip of the spear in the fight against the globalists.
[00:07:48.992 --> 00:07:50.912]  Bottom line, it's time to get prepared.
[00:07:50.912 --> 00:07:57.534]  So for a limited time, 40 to 30% off all the InfoWars select storable food at InfoWarsStore.com or by calling toll free 888-253-3139.
[00:08:09.922 --> 00:08:14.506]  I am a shotgun rider for the San Jacinto Line.
[00:08:14.506 --> 00:08:19.189]  The desert is my brother, my skin is cracked and dry.
[00:08:19.189 --> 00:08:26.915]  I was riding on a folk coach and everything was fine, till we took a shorter road to save some time.
[00:08:26.915 --> 00:08:28.896]  The globalists only fired once.
[00:08:28.896 --> 00:08:32.579]  Bandits only fired once, they shot me in the chest.
[00:08:32.579 --> 00:08:33.400]  They may have wounded.
[00:08:33.880 --> 00:08:38.544]  They may have wounded me, but they'll never get the best of better men.
[00:08:38.544 --> 00:08:43.809]  It's alright again.
[00:08:43.809 --> 00:08:44.910]  Gotta love the Highwoman.
[00:08:44.910 --> 00:08:47.453]  ...waging war on corruption.
[00:08:47.453 --> 00:08:52.598]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:09:07.961 --> 00:09:10.163]  Wow!
[00:09:10.163 --> 00:09:18.208]  Trump is delivering on so much of what he claimed he was going to do that it's dizzying right now.
[00:09:18.208 --> 00:09:28.915]  And his approval rating, even in the skewed Gallup poll, which they admit mainly targets the elderly and mainline TV watchers, which skews heavily towards the Democrats,
[00:09:32.031 --> 00:09:41.374]  Shows he's already at 59% up from 57 last Friday, up from 49 just a month ago.
[00:09:41.374 --> 00:09:43.174]  So you look at how they're skewing.
[00:09:43.174 --> 00:09:44.014]  He's been as low as 41%.
[00:09:44.014 --> 00:09:46.775]  You look at how they're skewing it.
[00:09:46.775 --> 00:09:48.716]  This means his approval rating's more like 70%.
[00:09:48.716 --> 00:09:49.776]  Amazing.
[00:09:54.128 --> 00:10:01.592]  Most of the, quote, minorities I speak to, whether they be upper class, working class, poor, go, no, I really like Trump.
[00:10:01.592 --> 00:10:03.333]  I think it's all lies what they've said about him.
[00:10:03.333 --> 00:10:06.995]  And, but man, you know, I've got friends and family get mad at me if I say anything.
[00:10:06.995 --> 00:10:10.157]  But then when I talk to them, they actually like Trump too.
[00:10:10.157 --> 00:10:13.258]  They're just going along with it because they feel intimidated.
[00:10:13.258 --> 00:10:16.520]  It's bullying.
[00:10:16.520 --> 00:10:17.881]  But I'm going to tell you something, folks.
[00:10:17.881 --> 00:10:19.982]  Ron Paul talked about it yesterday and he's been dead on.
[00:10:21.954 --> 00:10:27.036]  The IMF, the World Bank, all of them are cutting stimulus next month.
[00:10:27.036 --> 00:10:29.917]  They're ending the QE globally.
[00:10:29.917 --> 00:10:32.038]  Now remember, that was only done for them.
[00:10:32.038 --> 00:10:38.300]  Trillions and trillions and trillions and trillions of liquid liquidity with 0% interest was given to them.
[00:10:38.300 --> 00:10:41.981]  Sometimes pure bailouts, just pure cash.
[00:10:41.981 --> 00:10:48.464]  But it's the same thing when you're a big mega bank and you give yourself and your subsidiaries, backed up by taxpayers, 0% money.
[00:10:50.794 --> 00:10:57.159]  Then they go out and loan us to the public for 5, 10, 15, 20, 30, 40 points.
[00:10:57.159 --> 00:10:59.541]  Some of these rates are loan sharking.
[00:10:59.541 --> 00:11:03.725]  They take 0% interest and go out and give you payday loans at 25%.
[00:11:03.725 --> 00:11:08.689]  This is madness.
[00:11:08.689 --> 00:11:10.050]  25% a month in some cases.
[00:11:10.050 --> 00:11:16.936]  I mean, they've changed laws all over the country and all over Europe to allow loan sharking, ladies and gentlemen, feeding on poor people.
[00:11:18.393 --> 00:11:21.954]  Trump is moving to announce initiatives to try to stop that.
[00:11:21.954 --> 00:11:30.856]  Trump is ending incentives and bailouts for the real estate market.
[00:11:30.856 --> 00:11:34.057]  And the Von Mises Institute is really praising him.
[00:11:34.057 --> 00:11:39.039]  Ron Paul praised him yesterday and said, no, he's doing just the right thing for the economy.
[00:11:39.039 --> 00:11:40.539]  Just the right thing.
[00:11:40.539 --> 00:11:43.400]  And Paul's eyes lit up like I've never seen them light up before.
[00:11:45.529 --> 00:11:52.013]  Except the time Sasha Cohen-Barron, whatever his name is, tried to have sex with him in a hotel room.
[00:11:52.013 --> 00:11:55.655]  He said, I'm going to beat the hell out of you, get the hell out of my way.
[00:11:55.655 --> 00:11:57.976]  He lit up then, boy, got ready to kick some butt.
[00:11:57.976 --> 00:12:04.059]  But they started talking about Trump really doing just the right thing to try to supercharge the economy and save it.
[00:12:04.059 --> 00:12:08.942]  Paul's eyes lit up because he realizes what a desperate situation this is.
[00:12:08.942 --> 00:12:13.765]  You see, the globalists gave themselves all the money for now, what, nine years at zero percent interest.
[00:12:17.845 --> 00:12:39.516]  Now they are cutting it because they don't want the public to actually get any of it because Trump is normally not for 0% interest rates, but he wants to keep them like that or close that for a while to actually get the money out of the public and have the big banks, basically under order, loan to the people to try to jumpstart things before we go over the edge of a cliff.
[00:12:39.516 --> 00:12:40.837]  The problem is he doesn't control
[00:12:42.657 --> 00:12:44.738]  The IMF particularly.
[00:12:44.738 --> 00:12:46.879]  And they are cutting their forecast.
[00:12:46.879 --> 00:12:48.780]  They are trying to dial things back.
[00:12:48.780 --> 00:12:51.722]  They're trying to do everything they can to put brakes on this economy.
[00:12:52.717 --> 00:12:55.639]  And coming up today, let me see what time he's coming on.
[00:12:55.639 --> 00:12:58.261]  Harry Dent's on the third hour.
[00:12:58.261 --> 00:13:08.147]  We're going to see if he thinks the Trump effect can pull us out of this global spiral that the globalists have had scheduled for a long time, for this year.
[00:13:08.147 --> 00:13:11.289]  So we're far from out of the woods right now.
[00:13:11.289 --> 00:13:16.152]  And as Ron Paul said, if the economy goes down, it is not Trump's fault.
[00:13:16.152 --> 00:13:17.533]  Obviously, he just got in.
[00:13:17.533 --> 00:13:20.675]  He's doing everything he can, like an airplane pilot, where
[00:13:22.301 --> 00:13:29.547]  The pilot has a heart attack, and there's no co-pilot, and the stewardess comes back and says, can someone fly the plane?
[00:13:29.547 --> 00:13:32.149]  And Trump gets up and says, yes, I can fly the plane.
[00:13:32.149 --> 00:13:34.611]  The question is, by then, it's nosediving.
[00:13:34.611 --> 00:13:36.193]  Can he pull it up?
[00:13:36.193 --> 00:13:41.577]  Well, Soros, who has been publicly betting against the United States for decades,
[00:13:42.682 --> 00:13:48.724]  And who has been naked shorting the stock market, has everything he's got bet on this, and guess what?
[00:13:48.724 --> 00:13:53.905]  It got magically leaked out of the Dutch regulator's computer system.
[00:13:53.905 --> 00:13:59.827]  Dutch regulator, this is Bloomberg, accidentally posts Soros' short positions.
[00:13:59.827 --> 00:14:07.029]  Yeah, no, the major patriot intelligence agencies are moving against Soros, and there's marches against him happening all over the world.
[00:14:07.029 --> 00:14:11.651]  Millions have been marching in different Eastern European countries against what they call the Soros evil.
[00:14:14.491 --> 00:14:26.663]  And now his positions have been released, and it turns out he was betting against America, betting against the West, and it's been blowing up in his ugly, evil face.
[00:14:26.663 --> 00:14:29.967]  It's been blowing up in this goblin's face, and it's beautiful.
[00:14:29.967 --> 00:14:31.068]  That's all coming up.
[00:14:35.080 --> 00:14:45.384]  Now I want to praise Trump because I know he's for real and I know that he's been an incredible straight shooter and it's very refreshing to see a statesman instead of a politician.
[00:14:45.384 --> 00:14:51.347]  Someone who does what they say they'll do.
[00:14:51.347 --> 00:15:01.211]  Trump has kept his promise on everything he said he would do so far and is trying to launch this agenda immediately and has added two trillion dollars now.
[00:15:01.211 --> 00:15:04.352]  Oh, it's up to two trillion according to Bloomberg.
[00:15:04.352 --> 00:15:04.612]  Since
[00:15:06.522 --> 00:15:08.223]  He was president-elect.
[00:15:08.223 --> 00:15:13.885]  Now he's been president for less than six days, and it's dizzying.
[00:15:13.885 --> 00:15:18.366]  They've got CNN and all the rest of the Washington Post coming out saying, oh, it's Hitler!
[00:15:18.366 --> 00:15:22.968]  Any stock market surge is Hitler!
[00:15:22.968 --> 00:15:27.470]  Everything's Hitler, but their global authoritarian program.
[00:15:27.470 --> 00:15:30.911]  But there's one thing Trump has not kept his promise on.
[00:15:32.298 --> 00:15:34.880]  And I say that tentatively because we're going to see.
[00:15:34.880 --> 00:15:47.729]  But so far, he has reversed himself, at least verbally, when it comes for calls for Hillary to be locked up or the fact that Hillary should be in jail.
[00:15:47.729 --> 00:15:54.814]  Now, bottom line, I believe Trump is going to do the right thing and not try to block Sessions or others doing their job.
[00:15:54.814 --> 00:15:56.695]  But here's the big news.
[00:15:56.695 --> 00:16:00.337]  Clearly, if it looks like candidate Trump
[00:16:01.294 --> 00:16:07.457]  Was calling for her to be locked up, which is a common sense, prima facie fact, on his face.
[00:16:07.457 --> 00:16:11.179]  Then they'll use that to say, oh, he's just doing this to be political.
[00:16:11.179 --> 00:16:17.342]  That's why he needs to say now, hey, we need to try to mend fences, come together and move forward.
[00:16:19.252 --> 00:16:21.013]  Is because yes, justice must be done.
[00:16:21.013 --> 00:16:27.395]  I believe he won't stand in the way of justice, but he needs to recuse himself publicly from the process.
[00:16:27.395 --> 00:16:34.697]  But if he doesn't, then he would have broken a major promise, and plus he shouldn't be involved blocking justice.
[00:16:34.697 --> 00:16:40.438]  We need to see her foundation, her cronies, and Hillary investigated and clearly prosecuted.
[00:16:40.438 --> 00:16:41.799]  And coming up, we have Senator Sessions.
[00:16:43.086 --> 00:16:48.027]  There's confirmation hearings saying when she is basically prosecuted, I'll recuse myself.
[00:16:48.027 --> 00:16:49.528]  He didn't say if she is.
[00:16:49.528 --> 00:16:52.368]  That's a big tell right there.
[00:16:52.368 --> 00:16:56.610]  But the crimes are so ultra massive.
[00:16:56.610 --> 00:17:00.210]  They thought that they could just commit them.
[00:17:00.210 --> 00:17:04.372]  And because they were so big, they'd be too big to prosecute, like too big to fail.
[00:17:04.372 --> 00:17:05.912]  Like they said, if you're going to steal, steal big.
[00:17:08.882 --> 00:17:21.625]  But I'll say this, this is a reversal, and this is Trump, on the surface, breaking a promise, because he said, you ought to be in jail, I'll call for a prosecutor.
[00:17:21.625 --> 00:17:30.108]  Let's go ahead and play this compilation of him back during the debates, with the mic drop moments of saying, yeah, you bet I shouldn't be in office, because if I am in office, you'll be in jail.
[00:17:30.108 --> 00:17:30.428]  Here it is.
[00:17:31.172 --> 00:17:40.297]  You know, it is, uh, it's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.
[00:17:40.297 --> 00:17:41.577]  Because you'd be in jail.
[00:17:41.577 --> 00:17:46.480]  Secretary Clinton... When you talk about apology...
[00:17:47.333 --> 00:18:02.635]  I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 emails that you deleted and that you acid washed and then the two boxes of emails and other things last week
[00:18:03.375 --> 00:18:03.876]  We're good to go.
[00:18:17.998 --> 00:18:27.162]  To get a special prosecutor to look into your situation because there has never been so many lies, so much deception.
[00:18:27.162 --> 00:18:31.544]  There has never been anything like it and we're going to have a special prosecutor.
[00:18:31.544 --> 00:18:36.646]  When I speak, I go out and speak, the people of this country are furious.
[00:18:36.646 --> 00:18:41.988]  In my opinion, the people that have been long-term workers at the FBI are furious.
[00:18:41.988 --> 00:18:45.009]  There has never been anything like this where emails and you get
[00:18:46.397 --> 00:18:46.477]  Yeah.
[00:19:03.454 --> 00:19:07.076]  Their lives have been destroyed for doing one-fifth of what you've done.
[00:19:07.076 --> 00:19:07.417]  That's right.
[00:19:07.417 --> 00:19:08.357]  It's a disgrace.
[00:19:08.357 --> 00:19:10.899]  And honestly, you ought to be ashamed of yourself.
[00:19:10.899 --> 00:19:12.279]  Mr. President, you bring up Hillary Clinton.
[00:19:12.279 --> 00:19:14.341]  You had her stand up at Statuary Hall.
[00:19:14.341 --> 00:19:14.941]  Yeah.
[00:19:14.941 --> 00:19:16.702]  And said some very kind things about her.
[00:19:16.702 --> 00:19:18.003]  She fought hard.
[00:19:18.003 --> 00:19:18.623]  She fought hard.
[00:19:18.623 --> 00:19:22.266]  This is like America is done hearing about investigations into Hillary Clinton.
[00:19:22.266 --> 00:19:23.186]  I just don't know.
[00:19:23.186 --> 00:19:24.747]  I mean, I hope so.
[00:19:24.747 --> 00:19:27.689]  And from my standpoint, we want to move on to the future.
[00:19:28.611 --> 00:19:29.513]  So I hope so.
[00:19:29.513 --> 00:19:31.198]  I don't know what the status of that is.
[00:19:31.198 --> 00:19:34.025]  I know it's a lot of very serious stuff, but I certainly hope so.
[00:19:36.255 --> 00:19:39.577]  So he doesn't completely break with his promise.
[00:19:39.577 --> 00:19:41.778]  He says, oh, yeah, she fought hard.
[00:19:41.778 --> 00:19:42.599]  I sure hope so.
[00:19:42.599 --> 00:19:44.340]  I don't know the status of those things.
[00:19:44.340 --> 00:19:46.561]  I'm not involved in those things.
[00:19:46.561 --> 00:19:48.983]  I think he's going to deliver on this as well.
[00:19:48.983 --> 00:19:50.204]  It's the nature of Trump.
[00:19:50.204 --> 00:20:03.191]  He's also somebody that if you attack him, lie about him and come after his family, like the press, she still commands and Soros still commands and attack his wife and attack his son and others.
[00:20:03.191 --> 00:20:03.912]  He's coming after you.
[00:20:05.461 --> 00:20:14.648]  And by he's coming after you, he's recused himself and Sessions says he's going to recuse himself as well when there is a prosecution.
[00:20:14.648 --> 00:20:23.194]  Because Hillary has been caught in lies to Congress, massive fraud, the stand down of Benghazi, the list goes on and on, getting money from the Saudi Arabians.
[00:20:23.194 --> 00:20:25.736]  And I want to see it brought out.
[00:20:25.736 --> 00:20:31.981]  I want to see them broken because they're not stopping and they've created a giant army of mentally ill cultists.
[00:20:33.695 --> 00:20:35.318]  Who want race war in this country.
[00:20:35.318 --> 00:20:44.536]  They're a bunch of mentally ill, twisted, ne'er-do-well white people trying to bully and whip mainly black folks and Hispanics into
[00:20:46.147 --> 00:20:47.087]  Hating white people.
[00:20:47.087 --> 00:20:56.769]  I mean, everyone up there campaigning to be DNC chair are making the most racist statements about how we don't need white people at the top of the Democratic Party.
[00:20:56.769 --> 00:21:01.990]  Or, well I'm white, elect me because I'll keep the whites in line and make sure they don't get privilege.
[00:21:01.990 --> 00:21:04.610]  I'll shut them up and make sure you get privilege.
[00:21:04.610 --> 00:21:05.451]  That is the quote.
[00:21:05.451 --> 00:21:09.631]  That is the definition of racketeering.
[00:21:09.631 --> 00:21:13.052]  DNC chair candidate bash white people in racially charged forum.
[00:21:13.891 --> 00:21:15.693]  My job is to shut other white people down.
[00:21:15.693 --> 00:21:18.255]  She goes on to make sure you get the privilege.
[00:21:18.255 --> 00:21:23.179]  That is the essence of racketeering.
[00:21:23.179 --> 00:21:24.680]  That's what it is.
[00:21:24.680 --> 00:21:30.044]  I want to set up a group and organization and make sure white people don't get anything, but you get everything.
[00:21:30.044 --> 00:21:32.146]  What on earth are you talking about?
[00:21:35.589 --> 00:21:39.891]  Now people say, oh, then is it racketeering when Trump says he's going to try to focus jobs into minority areas?
[00:21:39.891 --> 00:21:41.232]  No, those are depressed areas.
[00:21:41.232 --> 00:21:45.394]  Give people a right to work and be honorable and raise their kids.
[00:21:45.394 --> 00:21:47.916]  That's how you show somebody how to fish.
[00:21:47.916 --> 00:21:49.717]  You don't go give them fish.
[00:21:49.717 --> 00:21:52.338]  This is total domestication.
[00:21:52.338 --> 00:21:57.681]  We should put factories and jobs in all the poorest areas, like the Appalachians, for poor white people.
[00:22:00.534 --> 00:22:01.895]  It's a low cost of living.
[00:22:01.895 --> 00:22:09.660]  You can put factories there, pay them a low wage that's kingly for that area, and they can live better there on that low wage than they could in New York City.
[00:22:09.660 --> 00:22:10.701]  There's a plan.
[00:22:10.701 --> 00:22:12.202]  This is what you're supposed to do.
[00:22:12.202 --> 00:22:19.947]  You rise up your poor areas by giving them a culture of honor and success.
[00:22:19.947 --> 00:22:21.688]  And bringing back agriculture.
[00:22:21.688 --> 00:22:22.688]  And we're doing it.
[00:22:22.688 --> 00:22:23.229]  We're doing it.
[00:22:24.178 --> 00:22:27.701]  Russia's bringing back organic agriculture and micro-farms.
[00:22:27.701 --> 00:22:29.562]  It flips a switch in humans to do it.
[00:22:29.562 --> 00:22:30.843]  We're meant to do it.
[00:22:30.843 --> 00:22:33.425]  When we're not farming, we're killing.
[00:22:33.425 --> 00:22:39.369]  People sitting around in cities without jobs, their brain flips and says, something's wrong, I gotta go out and get violent.
[00:22:39.369 --> 00:22:47.215]  You need to be either in the dirt with your wife, your husband, having kids, you know, building farms and growing crops, or you go to war.
[00:22:47.215 --> 00:22:50.417]  It's what humans do.
[00:22:50.417 --> 00:22:52.139]  And we are farmers, all of us.
[00:22:53.246 --> 00:22:54.908]  So we need to get back to it.
[00:22:54.908 --> 00:22:57.310]  And Thomas Jefferson said that and he was absolutely on target.
[00:22:57.310 --> 00:23:03.076]  He said if a nation isn't based on farmers, it wasn't just because they were growing things, it was the culture, it was the...
[00:23:05.777 --> 00:23:14.804]  Ingenuity and the hard workingness and the common sense intelligence and the toughness of farmers that he grew up around and watched compared to what he saw in the cities.
[00:23:14.804 --> 00:23:17.006]  I'm not running down city folks.
[00:23:17.006 --> 00:23:19.728]  I'm just telling you that this is why we've lost our soul.
[00:23:19.728 --> 00:23:28.815]  We look at Mexicans coming in here and go, well they've got their problems in Mexico but they're hard working and can do anything and got their families and they look excited and they're doing things.
[00:23:28.815 --> 00:23:30.496]  Yeah, because they're farmers folks.
[00:23:34.704 --> 00:23:36.024]  Let me stop right there, though.
[00:23:36.024 --> 00:23:38.885]  Let's get to the Sessions clip, because I mentioned it.
[00:23:38.885 --> 00:23:42.225]  Here he is, very ominous for old Hillary.
[00:23:42.225 --> 00:23:44.266]  And, no, justice is going to be done.
[00:23:44.266 --> 00:23:50.827]  And, you know, there were some people arguing to Trump, back off, they're going to leave you alone and let us fix the country.
[00:23:50.827 --> 00:23:53.587]  And Trump knows they're not doing that now.
[00:23:53.587 --> 00:23:55.208]  Trump knows.
[00:23:55.208 --> 00:24:01.429]  And so Trump's not going to stand in the way and break the law and stop the ongoing criminal investigations of Hillary.
[00:24:02.625 --> 00:24:06.187]  Now people ask members of Congress why they were seen at the inauguration shaking her hand.
[00:24:06.187 --> 00:24:09.329]  It's because she's dangerous.
[00:24:09.329 --> 00:24:18.154]  And when you're about to destroy somebody who's very dangerous and the head of a major mafia, you want to go over, it's an art of war, and make them think that you're not their enemy.
[00:24:18.154 --> 00:24:20.656]  Well, I don't engage in art of war.
[00:24:20.656 --> 00:24:27.500]  I engage in the straight attack, which historically trumps everything if you've got moral power behind you.
[00:24:28.604 --> 00:24:30.285]  I'm coming after all these people.
[00:24:30.285 --> 00:24:36.407]  They're not going to stop Madonna saying, blow up the White House, and then saying, F the Secret Service, you know, F Trump.
[00:24:36.407 --> 00:24:37.328]  I'm not ashamed.
[00:24:37.328 --> 00:24:48.212]  And then every day I see two or three articles where people are in major newspapers and major publishing houses and on TV saying, kill Donald Trump, kill Donald Trump, blow him up, murder him.
[00:24:49.861 --> 00:24:53.784]  This is total insurrection against the restoration of our Republic.
[00:24:53.784 --> 00:25:00.228]  ABC airs promo, I'm going to play this in a moment, for a show about President being shot during Trump interview.
[00:25:00.228 --> 00:25:06.753]  Teacher posts video shouting, shooting Trump in the classroom with a squirt gun, yelling, die!
[00:25:07.990 --> 00:25:13.452]  Chinese propaganda, new Hollywood movie depicts Trump like president killing US.
[00:25:13.452 --> 00:25:16.894]  Albright, I'm ready to register and convert to Islam.
[00:25:16.894 --> 00:25:18.835]  See, I'm telling you, the left is merging with them.
[00:25:18.835 --> 00:25:25.857]  Washington Post columnist compares Trump's stock market bump to Nazi Germany.
