[00:00:07.065 --> 00:00:10.448]  Thursday, 27th.
[00:07:18.476 --> 00:07:23.118]  If I ever forget to take them, I have a noticeable difference.
[00:07:23.118 --> 00:07:24.259]  I don't feel good.
[00:07:24.259 --> 00:07:28.000]  The nascent iodine is one of the ones that was life-changing for me.
[00:07:28.000 --> 00:07:30.701]  Yeah, I actually have just run out of my Super Female.
[00:07:30.701 --> 00:07:36.484]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[00:07:36.484 --> 00:07:39.445]  Very exciting, feeling great, looking good.
[00:07:39.445 --> 00:07:42.987]  And I know my hair is a little luxurious once again.
[00:07:42.987 --> 00:07:45.228]  So, obviously, the Super Female is amazing.
[00:07:45.228 --> 00:07:45.588]  I love it.
[00:07:45.748 --> 00:07:48.552]  Nascent Iodine is essential.
[00:07:48.552 --> 00:07:49.554]  Survival Shield X2.
[00:07:49.554 --> 00:07:55.523]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:07:55.523 --> 00:07:57.405]  It's got a five-star rating.
[00:07:57.405 --> 00:07:59.428]  It's a win-win in fullwarslife.com.
[00:08:16.275 --> 00:08:21.919]  From the front lines of the Information War, it's Alex Jones.
[00:08:21.919 --> 00:08:27.003]  Out of my way!
[00:08:27.003 --> 00:08:28.504]  Out of my way, Satan!
[00:08:28.504 --> 00:08:30.645]  Get behind me!
[00:08:30.645 --> 00:08:33.547]  I'm not strong, but God's strong.
[00:08:33.547 --> 00:08:42.714]  When I come into the presence of God, when I got on my knees this morning for about 15 minutes, I could just feel how fallen I was in my separation from God.
[00:08:42.714 --> 00:08:45.416]  And then, I could feel God come closer.
[00:08:46.704 --> 00:08:49.845]  And I could feel the Spirit rise in me.
[00:08:49.845 --> 00:08:53.445]  And quite frankly, it makes you be ashamed of yourself, but you are so close to God.
[00:08:53.445 --> 00:08:55.246]  You just, you know how real it is.
[00:08:55.246 --> 00:08:57.686]  Now you want to be purified and sanctified.
[00:08:57.686 --> 00:09:14.670]  You know, the Holy Spirit comes on me when I'm never expecting it and it's so strong, but it's whenever you purposely get on your knees and pray at a set time, it's good to do because you realize how worldly you are and how you were in the world and how you were so much more fallen like someone down deep in black water.
[00:09:15.578 --> 00:09:20.840]  But as you begin to swim up towards the surface, you break out and then there's the sun.
[00:09:20.840 --> 00:09:35.945]  You're not like God, you're not pure like God, you're not holy like God, but now you're in the atmosphere of God and you can see the edge, the light, the archetype of God.
[00:09:35.945 --> 00:09:39.766]  It's an amazing time to be alive.
[00:09:39.766 --> 00:09:43.368]  Evil is rising because liberty is rising.
[00:09:43.368 --> 00:09:44.088]  The great test!
[00:09:45.606 --> 00:09:54.933]  The trials and tribulations that we're always facing are now going to intensify because the energetic level of the planet is rising.
[00:09:55.970 --> 00:10:05.956]  And the enemy is moving against humanity on every front, but God is working through you and so many others in the face of this flood of corruption.
[00:10:05.956 --> 00:10:14.400]  I forget the exact area of the Bible, maybe we can search engine it, but when the enemy comes in like a flood, the Spirit of the Lord will lift up a standard against it.
[00:10:14.400 --> 00:10:15.981]  Everything is part of God's plan.
[00:10:15.981 --> 00:10:17.362]  The Lord works in mysterious ways.
[00:10:19.206 --> 00:10:32.114]  And you see the enemy taking everything we say out of context, twisting it, turning the fact that I'm truthful against me, using their worldly systems for control.
[00:10:32.114 --> 00:10:35.315]  But then you have to really pity people like that.
[00:10:35.315 --> 00:10:41.979]  Isaiah, so shall they fear the name of the Lord from the west and his glory from the rising of the sun.
[00:10:41.979 --> 00:10:46.222]  When the enemy shall come in like a flood, the spirit of the Lord shall lift up the standard against them.
[00:10:48.155 --> 00:10:50.417]  All right, let me just hit some of the basics that's coming up today.
[00:10:50.417 --> 00:10:58.643]  David Knight's going to be here and then I get to go enjoy my trials and tribulations and my family's trials and tribulations.
[00:10:58.643 --> 00:11:02.005]  And then I should be back Sunday, maybe even tomorrow here in Studio One.
[00:11:07.841 --> 00:11:11.402]  He's for a few days with his girlfriend, and then they'll go back to London.
[00:11:11.402 --> 00:11:12.262]  Paul's doing a great job.
[00:11:12.262 --> 00:11:14.602]  It's been great having him and the rest of the crew here together.
[00:11:14.602 --> 00:11:16.143]  It's wonderful.
[00:11:16.143 --> 00:11:22.204]  True blessing, you know, the folks that work here getting to be associated with such a great, hardworking, focused, dedicated people.
[00:11:22.204 --> 00:11:24.664]  It's night and day in this office compared to out there on the street.
[00:11:24.664 --> 00:11:26.265]  There's a lot of great people on the street as well.
[00:11:26.265 --> 00:11:30.426]  It's just, at InfoWars, there's such a concentration of hardworking, dedicated people.
[00:11:30.426 --> 00:11:37.787]  We get angry at the globalists sometimes and kind of wears off on each other, but we've got to just always remember that we're focused, we're moving forward, and we're
[00:11:37.807 --> 00:11:42.911]  We're going to keep the bullets going politically down field.
[00:11:42.911 --> 00:11:44.912]  Let me hit this first.
[00:11:44.912 --> 00:11:52.917]  We started hearing rumblings the last month that the new CIA director and the new Attorney General were going to make their big focus leaks.
[00:11:52.917 --> 00:11:57.641]  Now, the president has said leaks in the White House, leaks in Congress, leaks in the intelligence agencies.
[00:11:59.164 --> 00:12:02.045]  People leaking on his meetings every day.
[00:12:02.045 --> 00:12:04.467]  Oh, Jared Kushner's not going to get in trouble.
[00:12:04.467 --> 00:12:05.167]  We've confirmed.
[00:12:05.167 --> 00:12:07.268]  We've got the copies of the text messages.
[00:12:07.268 --> 00:12:09.029]  Oh, yeah, we've got them all.
[00:12:09.029 --> 00:12:15.152]  That's why they didn't deny it when it all came out a few weeks ago with Roger Stone.
[00:12:15.152 --> 00:12:17.333]  Mr. Fake News is not Mr. Fake News.
[00:12:17.333 --> 00:12:19.154]  The media immediately went, oh, my God, it's true.
[00:12:19.154 --> 00:12:25.817]  And then you saw all the backpedaling where Kushner and others are leaking like a sieve.
[00:12:27.378 --> 00:12:34.999]  Bannon will not even talk to anybody, including Breitbart, because he won't be accused of leaking.
[00:12:34.999 --> 00:12:35.960]  So he won't even talk to people.
[00:12:35.960 --> 00:12:40.560]  He's completely isolated because he's doing what Trump says.
[00:12:40.560 --> 00:12:53.062]  So imagine with the pedophile rings getting rounded up, and the borders getting secured, and the first hundred days, a lot of good economic things that are happening, a lot of amazing things like TPP getting killed.
[00:12:53.062 --> 00:12:54.383]  Trump is an American president.
[00:12:54.383 --> 00:12:55.883]  He is actually acting as president.
[00:12:57.162 --> 00:13:00.745]  Doing some things I don't like, doing a lot of things I love, but he's being the president.
[00:13:00.745 --> 00:13:01.786]  So that's the big positive.
[00:13:01.786 --> 00:13:06.911]  And there's a lot of great positive things about the first hundred days that take hours to go over.
[00:13:06.911 --> 00:13:08.933]  Most of you can probably think of more than I can.
[00:13:08.933 --> 00:13:10.655]  But look at these headlines now.
[00:13:10.655 --> 00:13:13.998]  This is bad.
[00:13:13.998 --> 00:13:22.606]  If they were prosecuting the leakers in the government with the hack that happened a few years ago, with the OPM hack,
[00:13:23.612 --> 00:13:35.201]  Where you had 14 to 20 million names of secret agents and government people and their social security numbers and their phone numbers and their associates and their connections all leaked.
[00:13:35.201 --> 00:13:38.824]  Nobody got in trouble, nobody lost their job.
[00:13:38.824 --> 00:13:43.947]  Biggest devastating blow to our security in our history probably.
[00:13:43.947 --> 00:13:45.829]  And there's been so many other big events like that.
[00:13:48.760 --> 00:13:51.541]  Inside the cyber attack that shocked the U.S.
[00:13:51.541 --> 00:13:52.542]  government.
[00:13:52.542 --> 00:13:55.003]  Well, nothing ever happened.
[00:13:55.003 --> 00:13:57.504]  Here we are like three years later, two and a half years later.
[00:13:57.504 --> 00:14:07.488]  So you've got all this leaking of sellouts to Communist China, all the Clintons in bed with the Russians and Chinese up with their eyeballs.
[00:14:07.488 --> 00:14:09.209]  And then Snowden
[00:14:10.396 --> 00:14:31.671]  And Assange that have exposed targeted corruption that whistleblowers have put out that needs to be exposed, that's criminal activity against the American people, the DNC rigging the election, trying to steal it, rigging the questions, all the things they did, let's keep America poor, let's keep them in the dark, all those incredible revelations of just how bonafide evil they are.
[00:14:34.264 --> 00:14:41.286]  And now the Democratic Party's running the entire MSM every day, running Google, banning Libertarian Patriot News.
[00:14:41.286 --> 00:14:43.206]  All of it proof.
[00:14:43.206 --> 00:14:44.606]  Huge victories we had.
[00:14:44.606 --> 00:14:45.927]  None of that's even in the news.
[00:14:45.927 --> 00:14:49.867]  And all we hear from Trump is, stop these leaks.
[00:14:49.867 --> 00:14:51.808]  They go, oh, yes, sir, we will.
[00:14:51.808 --> 00:14:54.088]  Well, sir, you said stop the leaks.
[00:14:54.088 --> 00:14:56.129]  And I know this isn't Trump.
[00:14:56.129 --> 00:14:57.669]  This is him delegating.
[00:14:57.669 --> 00:15:00.250]  I can barely run an office here with 60-something crew members.
[00:15:00.250 --> 00:15:00.910]  They're great people.
[00:15:01.789 --> 00:15:03.811]  You get a few traders in there, a few moles.
[00:15:03.811 --> 00:15:08.075]  We've had a couple moles in here over the years, and they almost ran the ship aground.
[00:15:08.075 --> 00:15:08.495]  They tried.
[00:15:08.495 --> 00:15:14.841]  By the grace of God, we discovered them right as they were, you know, basically involved in the sabotage.
[00:15:14.841 --> 00:15:22.808]  And can you imagine Trump with 4,000 people under him and all the other interlocking agencies and a million-plus employees that plug into that?
[00:15:22.808 --> 00:15:23.909]  It is crazy.
[00:15:27.574 --> 00:15:36.517]  You've got the Vault 7 stuff coming out, all the illegal hacking and everything, that proves that Trump's being illegally spied on and being framed.
[00:15:36.517 --> 00:15:37.617]  So people in the U.S.
[00:15:37.617 --> 00:15:41.859]  government are leaking the WikiLeaks.
[00:15:41.859 --> 00:15:44.400]  He was a high-level contractor, been in the CIA, you name it, Snowden.
[00:15:45.846 --> 00:15:48.687]  All of that's happening to back up what Trump's saying.
[00:15:48.687 --> 00:15:50.287]  Putting him in office.
[00:15:50.287 --> 00:15:51.588]  Exposing the deep state.
[00:15:51.588 --> 00:15:53.268]  The deep state's trying to sabotage Trump.
[00:15:53.268 --> 00:15:54.469]  He said that himself.
[00:15:54.469 --> 00:15:55.889]  So has Spicer.
[00:15:55.889 --> 00:15:57.150]  John Spicer.
[00:15:57.150 --> 00:15:58.190]  The press secretary.
[00:15:58.190 --> 00:16:01.531]  They've all said, yes, we're battling deep state.
[00:16:01.531 --> 00:16:06.333]  And here's all the intel proving that and trying to save the country.
[00:16:06.333 --> 00:16:13.895]  And now the CIA director says that WikiLeaks is a hostile intelligence service.
[00:16:16.158 --> 00:16:17.359]  Wow!
[00:16:17.359 --> 00:16:20.623]  Our own patriots are giving 90% of the intel to Wikileaks.
[00:16:20.623 --> 00:16:21.684]  That's admitted.
[00:16:21.684 --> 00:16:25.528]  And he says that CIA chief blasts Wikileaks once praised by Trump.
[00:16:25.528 --> 00:16:27.270]  That's USA Today.
[00:16:27.270 --> 00:16:28.571]  Candidate Trump, I love Wikileaks.
[00:16:28.571 --> 00:16:30.493]  President Trump arrests Assange.
[00:16:30.493 --> 00:16:31.614]  Ron Paul.
[00:16:31.614 --> 00:16:36.520]  It's all up on InfoWars.com.
[00:16:36.520 --> 00:16:36.700]  So...
[00:16:38.720 --> 00:16:43.606]  Trump always talks about how he's loyal and how he, you know, all the rest of this stuff.
[00:16:43.606 --> 00:16:49.434]  And these people went out on a total limb to do all this and they're being thrown to the wolves.
[00:16:49.434 --> 00:16:53.059]  You add the cherry on top of Ivanka Trump.
[00:16:56.400 --> 00:16:59.942]  Go into the Women's Conference with Merkel and say we need to bring more refugees in.
[00:16:59.942 --> 00:17:14.231]  It's for the women when it's 80% military-aged men, 89% men gender-wise, 11% women, and it's giant rape gangs all over, running people over with cars in every major country multiple times a year, shooting people every week.
[00:17:14.231 --> 00:17:15.472]  They won't even call it terror.
[00:17:15.472 --> 00:17:18.154]  And then she sits up there and says, I disagree with my father.
[00:17:18.154 --> 00:17:19.795]  He needs to change his position.
[00:17:19.795 --> 00:17:22.777]  Wow, Ivanka, we didn't elect you, sweetheart.
[00:17:26.184 --> 00:17:27.185]  Is it intimidation?
[00:17:27.185 --> 00:17:28.165]  Is it because they're liberals?
[00:17:28.165 --> 00:17:30.347]  Is it because they want to go to the coolest trendy restaurants?
[00:17:30.347 --> 00:17:33.529]  I don't know, but it's betrayal after betrayal.
[00:17:33.529 --> 00:17:37.772]  And it's a paradox, because Trump's doing all this great stuff, and I'm glad Hillary isn't in.
[00:17:37.772 --> 00:17:40.715]  And he is being the American president, and the globalists still hate him.
[00:17:40.715 --> 00:17:42.396]  But what is his family thinking?
[00:17:43.504 --> 00:17:47.345]  And it's family taking advantage of Trump, bare minimum.
[00:17:47.345 --> 00:18:02.650]  But it doesn't matter, because even if he's a good guy or a bad guy or whatever it is, it's a dereliction of duty to let his daughter run around and countervail everything we've built, our sovereignty, what we've done, and to side with the UN and the globalists that are trying to destroy her father and this country.
[00:18:04.414 --> 00:18:07.176]  And then we told you two and a half weeks ago, was it three weeks ago?
[00:18:07.176 --> 00:18:08.737]  We can put it on screen.
[00:18:08.737 --> 00:18:11.379]  We had former high-level CIA, you name it.
[00:18:11.379 --> 00:18:20.406]  That's all classified regime change expert, Dr. Steve Pichinik, saying it's gonna come out that Kushner's run by the Communist Chinese as April 10th.
[00:18:20.406 --> 00:18:22.747]  So three weeks ago.
[00:18:22.747 --> 00:18:28.532]  Bribe cases of Jared Kushner partner and potential conflicts, New York Times, getting into all of that yesterday.
[00:18:28.532 --> 00:18:32.555]  So there we are giving you all that intel way ahead of it being mainstream news.
[00:18:34.366 --> 00:18:36.087]  So it's simply amazing.
[00:18:36.087 --> 00:18:42.171]  Meanwhile, Paramount's new chief revives a China deal where they begin the takeover of Paramount.
[00:18:42.171 --> 00:18:44.432]  They're trying to buy up all six right now.
[00:18:44.432 --> 00:18:46.193]  Look at DrugsReport.com.
[00:18:46.193 --> 00:18:49.536]  Kim puts White House in crosshairs, threatens to blow it up.
[00:18:50.316 --> 00:18:51.957]  Just look at government worship.
[00:18:51.957 --> 00:18:59.203]  Just look at the cult of government worship and how Venezuela is starving to death and Brazil has the natives shooting arrows.
[00:18:59.203 --> 00:19:00.524]  I want to play that when we come back.
[00:19:00.524 --> 00:19:08.131]  Shooting arrows, you know, at the parliament building because they won't even let the natives into the parliament to be represented in their tribal lands.
[00:19:08.131 --> 00:19:13.295]  And just all the craziness that's going on.
[00:19:13.295 --> 00:19:16.478]  Historic tax cuts to put USA back to work.
[00:19:16.478 --> 00:19:17.338]  That's some good news.
[00:19:17.338 --> 00:19:18.920]  Trump is trying to fulfill that promise.
[00:19:20.134 --> 00:19:24.558]  Austrian press, all women must wear headscarves to fight Islamophobia.
[00:19:24.558 --> 00:19:25.558]  See what I told you?
[00:19:25.558 --> 00:19:31.243]  They're gonna make everyone submit to Islam to stop making them get mad at us.
[00:19:31.243 --> 00:19:34.766]  I've been saying that for five, six years, and now they're actually doing it.
[00:19:34.766 --> 00:19:36.647]  That's the plan.
[00:19:36.647 --> 00:19:40.811]  You go to the liberal women's marches funded by Soros, half the women are wearing hijabs.
[00:19:40.811 --> 00:19:43.613]  It's like a little rebellious, you know, cuckold thing they do.
[00:19:45.925 --> 00:19:46.085]  Wow!
[00:19:46.085 --> 00:19:53.670]  We're going to come back and get into where I see all this going for one more segment and then David Knight's coming in.
[00:19:53.670 --> 00:19:55.392]  We've got so much to cover today.
[00:19:55.392 --> 00:19:58.073]  Infowars.com forward slash show.
[00:19:58.073 --> 00:20:02.957]  The enemy hates the broadcast because we are telling the truth and we bring the light in the dark of the night.
[00:20:04.309 --> 00:20:04.869]  I think so.
[00:20:30.988 --> 00:20:32.289]  It's called the Deep State.
[00:20:32.289 --> 00:20:37.072]  Barack Obama's most loyal aides still hold office and they want to stop President Trump.
[00:20:37.072 --> 00:20:41.155]  Deep State was first revealed in the runaway New York Times bestseller Big Agenda.
[00:20:41.155 --> 00:20:46.759]  David Horowitz's Big Agenda exposes Obama's government in exile and his shocking plan.
[00:20:46.759 --> 00:20:53.843]  Newsmax, Lou Dobbs, Ann Coulter all say you must read Big Agenda at bookstores everywhere or check out our free offer.
[00:20:53.843 --> 00:20:58.286]  Call 800-NEWSMAX 800-NEWSMAX or go to bigagenda411.com.
[00:20:58.286 --> 00:20:59.167]  That's bigagenda411.com.
[00:21:00.788 --> 00:21:07.273]  More than two years ago, InfoWars first told you about our research into what has been called the Iodine Conspiracy.
[00:21:07.273 --> 00:21:16.541]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ, and how the government knowingly started taking iodine out of the food and
[00:21:16.881 --> 00:21:23.862]  They took the good halogen out and put the deadly halogen in.
[00:21:23.862 --> 00:21:30.804]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
[00:21:30.804 --> 00:21:43.546]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[00:21:43.646 --> 00:21:45.487]  You can pull these studies up for yourself.
[00:21:45.487 --> 00:21:51.852]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[00:21:51.852 --> 00:21:56.755]  Stock up on Survival Shield X2 today at Infowarslife.com or by calling 888-253-3139.
[00:22:00.638 --> 00:22:04.381]  When it comes to the success of your small business, you make every dollar count.
[00:22:04.381 --> 00:22:06.503]  So, what could you do with $10?
[00:22:06.503 --> 00:22:11.767]  It may not sound like a lot of money, but it's enough to turn 500 strangers into 500 connections.
[00:22:11.767 --> 00:22:14.069]  All it takes is the right business card.
[00:22:14.069 --> 00:22:19.313]  Go to vistaprint.com today and you'll get 500 high-quality custom business cards for only $9.99.
[00:22:19.313 --> 00:22:19.894]  You heard right.
[00:22:19.894 --> 00:22:20.554]  500 business cards for $9.99.
[00:22:23.737 --> 00:22:25.398]  That's less than two cents per card.
[00:22:25.398 --> 00:22:26.638]  But don't let the price fool you.
[00:22:26.638 --> 00:22:34.342]  Vistaprint uses only carefully selected inks and paper stocks, so your satisfaction is absolutely guaranteed, every time, for any reason.
[00:22:34.342 --> 00:22:38.003]  You'll find dozens of designs that are just right for your business at Vistaprint.
[00:22:38.003 --> 00:22:41.665]  And you can add your logo and contact information with just a few clicks.
[00:22:41.665 --> 00:22:44.906]  It's never been easier to turn strangers into connections.
[00:22:44.906 --> 00:22:48.828]  Just visit Vistaprint and start today, because the software won't last forever.
[00:22:48.828 --> 00:22:51.209]  Get your 500 business cards for just $9.99 at Vistaprint.com.
[00:22:53.070 --> 00:22:56.152]  Use promo code 1414 at checkout.
[00:22:56.152 --> 00:22:59.815]  That's vistaprint.com promo code 1414.
[00:22:59.815 --> 00:23:00.916]  Think about this.
[00:23:00.916 --> 00:23:13.425]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine, and chloramines, and pharmaceuticals like statins, pain meds, and antidepressants.
[00:23:13.425 --> 00:23:17.408]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:23:17.628 --> 00:23:21.449]  Protect your family's water supply with the trusted Big Berkey Water Filter.
[00:23:21.449 --> 00:23:32.453]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:23:32.453 --> 00:23:35.955]  Big Berkey Water Filters are the original and most trusted on the market.
[00:23:35.955 --> 00:23:38.175]  The gold standard in water purification.
