[00:00:03.197 --> 00:00:03.819]  It's Friday.
[00:11:55.156 --> 00:12:04.481]  And I just pray that God bring judgment to these evil people and that God also bring comfort to good people around the world who just are trying to be decent and honorable.
[00:12:07.349 --> 00:12:08.170]  Look at this article.
[00:12:08.190 --> 00:12:11.555]  Again, this is fleshing it out because they know there's tapes.
[00:12:12.516 --> 00:12:13.017]  It's in the Hill.
[00:12:15.300 --> 00:12:16.302]  And that's what I said a few days ago.
[00:12:16.322 --> 00:12:20.107]  I said, well, now that Bill O'Reilly's covered this, they're going to have to cover it now.
[00:12:24.264 --> 00:12:26.405]  And again, I can't live in a lawsuit world.
[00:12:26.625 --> 00:12:29.525]  A lot of times I know the names, a lot of times I've heard the tapes.
[00:12:29.806 --> 00:12:34.427]  And you've got to know that if we put it out, they'll just spit it and ignore it a lot of the time.
[00:12:34.447 --> 00:12:41.949]  So I, a lot of times I'll wait, not sitting on a story, but just waiting until more of it builds up where it's unstoppable and we can put it out.
[00:12:44.590 --> 00:12:45.770]  But here's the takeaway.
[00:12:45.810 --> 00:12:46.350]  Exclusive.
[00:12:46.390 --> 00:12:48.871]  Prominent lawyer sought donor cash for two Trump accusers.
[00:12:49.171 --> 00:12:49.611]  That's the hill.
[00:12:50.964 --> 00:12:51.864]  Prominent lawyers.
[00:12:52.565 --> 00:12:53.385]  Key revelations.
[00:12:53.425 --> 00:12:58.066]  Lisa Bloom arranged for a donor to pay off one Trump accuser's mortgage.
[00:13:00.867 --> 00:13:04.408]  Another accuser offered $750,000 but declined to come forward.
[00:13:05.149 --> 00:13:11.130]  Bloom signed contracts that guaranteed her 33% commission in women's stories were sold to the news media.
[00:13:12.731 --> 00:13:15.892]  Bloom contacted Clinton's super PACs to support the women.
[00:13:17.588 --> 00:13:24.110]  Bloom urged one woman to delete her pro-Trump social post to make her accusation more believable to reporters.
[00:13:24.130 --> 00:13:25.051]  We all know who that is.
[00:13:27.612 --> 00:13:31.293]  And ladies and gentlemen, months ago it was over a dozen women.
[00:13:31.873 --> 00:13:33.014]  A few weeks ago it was more than 20.
[00:13:33.194 --> 00:13:36.335]  And the people I'm talking to don't just say those numbers.
[00:13:36.395 --> 00:13:43.758]  I mean, they have not tapes or evidence of women that took the money, but women
[00:13:45.009 --> 00:13:47.511]  That, oh, you work for Trump, or you knew Trump, or you dated Trump.
[00:13:47.811 --> 00:13:53.395]  They've gone to women that Trump dated, and they won't say anything bad about him, so they quote him in the New York Times.
[00:13:53.435 --> 00:13:55.836]  He was mean, he was horrible, he called me fat.
[00:13:56.036 --> 00:13:58.478]  And the woman goes out and goes, I never told the New York Times that.
[00:13:58.838 --> 00:14:02.701]  He showered me with gifts, he was so nice, it was almost like a turn-off.
[00:14:09.349 --> 00:14:13.351]  He showered me in gifts and praise and attention and was so nice.
[00:14:13.872 --> 00:14:16.213]  And he never did anything mean to me.
[00:14:21.676 --> 00:14:23.957]  He once said we need to both probably work out a little more.
[00:14:24.217 --> 00:14:25.098]  We're both gaining weight.
[00:14:27.807 --> 00:14:28.387]  What a criminal!
[00:14:28.707 --> 00:14:33.810]  It's like one of these women up there that says, oh, once at a reception, he said, can I have your number?
[00:14:34.270 --> 00:14:37.472]  And I'm not being mean, but I mean, she's not Donald Trump's type.
[00:14:38.332 --> 00:14:41.194]  I don't want to call her ugly, but she does look like a space alien.
[00:14:43.475 --> 00:14:46.416]  And then the big thing is, he asked for your number.
[00:14:46.436 --> 00:14:48.397]  And it's like, Megyn Kelly's like, done, done, done.
[00:14:48.758 --> 00:14:49.818]  Sexual assault.
[00:14:50.138 --> 00:14:51.259]  He asked for the number.
[00:14:51.399 --> 00:14:53.320]  I mean, this is crazy town.
[00:14:55.026 --> 00:14:55.747]  There's the big article.
[00:14:55.767 --> 00:14:58.950]  We've got it linked up on InfoWars.com right now, ladies and gentlemen.
[00:15:00.891 --> 00:15:02.693]  We're going to go over more of the article when we come back.
[00:15:03.694 --> 00:15:08.258]  And then, another report, stories up on InfoWars.com with the video.
[00:15:08.758 --> 00:15:10.220]  It's in Dutch, so there's subtitles.
[00:15:10.860 --> 00:15:11.561]  Fairly sickening.
[00:15:11.701 --> 00:15:15.304]  They get a Down syndrome, gentlemen, on the TV show.
[00:15:16.205 --> 00:15:17.766]  This is a video put out by the Ministry of Health.
[00:15:18.752 --> 00:15:21.074]  And they guilt him and they say, you cost too much money.
[00:15:21.554 --> 00:15:24.677]  And they kind of tease him and make fun of him and, you know, make him look stupid.
[00:15:24.757 --> 00:15:28.820]  I mean, it is the most sickening eugenics-based filth.
[00:15:30.661 --> 00:15:36.906]  With a guy that's probably, doesn't even have a soul, talking to the individual that's guaranteed got a soul.
[00:15:38.628 --> 00:15:41.650]  Sorry for the little children, but you'll do the least of me you've done to me.
[00:15:42.511 --> 00:15:45.173]  Better for you to tie a millstone around your neck and throw it in the deepest sea.
[00:15:46.374 --> 00:15:47.295]  Because there is a God.
[00:15:48.143 --> 00:15:48.985]  There is justice.
[00:15:50.367 --> 00:15:56.940]  And the evil and the wicked will be brought to justice in this life and the next.
[00:15:57.481 --> 00:15:59.505]  God will cut you down.
[00:16:02.093 --> 00:16:03.474]  You developed Living Defense for us.
[00:16:03.494 --> 00:16:04.595]  It took you over a year to do it.
[00:16:04.855 --> 00:16:05.776]  Why is this so good?
[00:16:06.076 --> 00:16:11.320]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:16:11.400 --> 00:16:24.950]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:16:25.010 --> 00:16:26.391]  Right now with all the refugees,
[00:16:27.291 --> 00:16:28.733]  Spreading disease around.
[00:16:28.813 --> 00:16:31.296]  We have biological warfare going on everywhere.
[00:16:31.396 --> 00:16:32.658]  These are all parasites.
[00:16:32.718 --> 00:16:33.799]  Tell us about all the stuff that's in it.
[00:16:33.819 --> 00:16:34.880]  There's so many things that are in it.
[00:16:35.161 --> 00:16:39.506]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:16:39.706 --> 00:16:42.890]  I recommend doing a parasite cleanse at least twice a year.
[00:16:42.950 --> 00:16:46.033]  All right, well, I'm glad we've got some back in, because I'm going back on it today.
[00:16:46.053 --> 00:16:47.073]  It just came back in yesterday.
[00:16:47.113 --> 00:16:48.995]  Living Defense, Infowarslife.com.
[00:16:49.055 --> 00:16:50.076]  And folks, you can't lose.
[00:16:50.096 --> 00:16:52.177]  It's full of stuff that's great for your body, period.
[00:16:52.818 --> 00:16:55.820]  And you support the broadcast, Infowarslife.com.
[00:16:56.081 --> 00:16:57.982]  Thank you, Dr. Group from the Global Healing Center.
[00:16:58.362 --> 00:17:00.344]  Thank you so much for all your work, sir, on this great product.
[00:17:04.768 --> 00:17:09.091]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[00:17:10.232 --> 00:17:10.952]  Optimum levels.
[00:17:12.011 --> 00:17:16.594]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[00:17:16.614 --> 00:17:18.576]  Up, up, up, up, optimum levels.
[00:17:18.976 --> 00:17:20.577]  B vitamins we need every day.
[00:17:20.758 --> 00:17:25.841]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[00:17:26.041 --> 00:17:27.663]  Up, up, up, up, optimal absorption.
[00:17:28.403 --> 00:17:33.427]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[00:17:34.008 --> 00:17:34.348]  Secret 12.
[00:17:35.849 --> 00:17:36.710]  Optimal absorption.
[00:17:37.010 --> 00:17:41.694]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[00:17:42.135 --> 00:17:46.438]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[00:17:47.339 --> 00:17:48.060]  Optimum levels.
[00:17:49.481 --> 00:17:53.306]  Secret 12 is an easy way to increase your vitamin B12 intake.
[00:17:53.646 --> 00:17:57.992]  Head to InfoWarsLife.com and support optimal brain and body function with Secret 12.
[00:17:58.813 --> 00:18:00.475]  That's InfoWarsLife.com.
[00:18:03.319 --> 00:18:06.322]  You heard it here first and the globalists are already dreading it.
[00:18:07.202 --> 00:18:12.606]  It's the first annual Christmas Spectacular Extravaganza brought to you by InfoWars.
[00:18:12.887 --> 00:18:16.069]  And it's launching Christmas week, leading into Christmas.
[00:18:16.189 --> 00:18:17.991]  You know, Christmas is about Christmas.
[00:18:18.711 --> 00:18:24.416]  And to celebrate this, we've got the biggest sales in the history of InfoWars at InfoWarsTore.com.
[00:18:25.236 --> 00:18:29.319]  50 to 67% off all our best-selling items and free shipping.
[00:18:29.660 --> 00:18:35.845]  A lot of these items, high-quality supplements, nutraceuticals, Patriot apparel, water filtration, you name it.
[00:18:36.685 --> 00:18:46.210]  Is lost leader prices right now because I want to celebrate the birth of Jesus Christ and celebrate Western culture and celebrate the resurgence of freedom.
[00:18:46.591 --> 00:18:54.855]  So find out about the mega sales and special broadcasts going on this week only at InfoWars.com forward slash show and InfoWarsStore.com.
[00:18:54.995 --> 00:19:00.438]  Again, it is the Christmas spectacular extravaganza!
[00:19:01.238 --> 00:19:05.441]  Maximize your potential and take your body back with super male vitality.
[00:19:06.581 --> 00:19:11.003]  We're breaking the conditioning and fighting back against the globalist's war on male vitality.
[00:19:11.743 --> 00:19:19.967]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[00:19:21.087 --> 00:19:27.129]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[00:19:27.830 --> 00:19:30.851]  Info Wars Life wants to bring you the highest quality products.
[00:19:32.102 --> 00:19:39.747]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[00:19:41.168 --> 00:19:44.090]  Support your body and mind and take yourself to the next level.
[00:19:44.771 --> 00:19:47.332]  Boost your vitality and energize your life.
[00:19:48.533 --> 00:19:49.674]  Take control of your body.
[00:19:49.994 --> 00:19:54.237]  Grab a bottle of Super Male Vitality today at InfoWarsLife.com.
[00:19:55.077 --> 00:19:56.979]  That's InfoWarsLife.com.
[00:20:04.364 --> 00:20:16.779]  You're listening to the Alex Jones Show.
[00:20:17.280 --> 00:20:23.548]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:26.299 --> 00:20:31.424]  Ladies and gentlemen, we are broadcasting worldwide.
[00:20:31.544 --> 00:20:33.606]  I'm your host Alex Jones.
[00:20:33.626 --> 00:20:37.349]  I intend to open the phones up this hour.
[00:20:48.985 --> 00:20:51.547]  Specifically on several big issues here.
[00:20:51.587 --> 00:21:02.457]  There's so much news, but we really should just get into the fact that they intend to remove the president and reverse all the major gains of restoring the sovereignty of our nation.
[00:21:03.618 --> 00:21:16.709]  They intend to remove the president and intend to do it with hundreds, is the word, of fake accusers they've got lined up where it's just going to be wall-to-wall women.
[00:21:18.590 --> 00:21:25.853]  Given hundreds of thousands of dollars to say that Trump assaulted them or attacked them.
[00:21:26.373 --> 00:21:31.735]  Now, the first woman they've gotten to go forward just say, oh, I was at a public dinner and he called me the C-word because I was rude to him at the airport.
[00:21:31.755 --> 00:21:34.616]  Or, oh, he asked for my phone number because they know Trump's going to sue them.
[00:21:35.776 --> 00:21:36.776]  They know there's nothing there.
[00:21:40.478 --> 00:21:47.340]  And then they've lined up other star seekers and folks and people that have been on the TV shows, and it's going to come out that they've been paid money.
[00:21:51.391 --> 00:21:51.831]  It's crazy.
[00:21:52.712 --> 00:21:55.754]  It's absolutely insane that they're this bold.
[00:21:55.814 --> 00:22:00.778]  But again, it's the entitlement of being in power, of hijacking power for so long.
[00:22:01.418 --> 00:22:20.772]  It's like McCabe and the FBI agents and all of them in the meeting at the highest levels with the Justice Department saying, don't worry, Trump's not going to get in, but we've got insurance policies in case we need to remove the president if he gets elected, if Trump gets elected to remove him.
[00:22:21.809 --> 00:22:33.742]  And so they then go pay for the other fake dossier and pay millions of dollars to act like it has value to the wife who heads up that department at Fusion GPS of the head of the Justice Department operation.
[00:22:35.333 --> 00:22:43.840]  Over all Russia investigations, I mean, that story right there that he paid money to his wife is the big story that no one is touching on.
[00:22:44.320 --> 00:22:51.286]  And I sit here, always, just elephant in the room, the big enchilada, the key to it all, and you know, a month from now, maybe it'll get mentioned.
[00:22:52.007 --> 00:23:01.975]  Instead, they're going, well, the FBI agents are allowed to not like somebody, and they're allowed to talk about it and text messages to their mistresses that just so happen to work for the government as well, and you know, it's no big deal.
[00:23:02.896 --> 00:23:04.017]  When that's not even the issue.
[00:23:05.285 --> 00:23:08.269]  Yes, a regular FBI agent can have a political view in their life.
[00:23:08.289 --> 00:23:09.610]  They're not supposed to project it on the cases.
[00:23:09.890 --> 00:23:17.540]  But not when you're carrying out political operations and going up against the other political candidate and then making fake dossiers.
[00:23:18.120 --> 00:23:18.941]  It's just the motive.
[00:23:19.747 --> 00:23:20.428]  It's the fraud.
[00:23:21.048 --> 00:23:23.510]  They're the people that are going to end up being the heads of the FBI.
[00:23:23.890 --> 00:23:27.653]  McCabe is a Democrat minion of Mueller and of Comey.
[00:23:28.134 --> 00:23:29.755]  He is going to go up in the ascension.
[00:23:30.376 --> 00:23:40.644]  If the swamp gets drained, they don't get to become directors and deputy directors and then get the big fat chairmanships of the big fat law firms that sign off on all the corruption.
[00:23:42.389 --> 00:23:45.290]  So they believe they can stop America.
[00:23:45.370 --> 00:23:47.930]  They believe they can stop the resurgence of our jobs.
[00:23:47.990 --> 00:23:52.171]  They believe they can continue to demoralize us and take control of the civilization.
[00:23:53.671 --> 00:24:07.334]  Because they're FBI agents, and they are wearing rep ties, and they went to colleges, and they've got accounting degrees, and they go to the shooting range, and they're lawyers, and they're gonna show you America!
[00:24:09.804 --> 00:24:20.514]  They're going to manufacture whatever they want, and they're going to shove it down your throat because they work for the foreign consortiums that have gang-raped this country financially, culturally, and most importantly, spiritually.
[00:24:21.475 --> 00:24:29.983]  These are the little conspiratorial rat beta males and cucks that hate anybody that's real and successful that builds something.
[00:24:30.003 --> 00:24:30.964]  They're the parasites.
[00:24:31.244 --> 00:24:32.826]  They're the people that go infiltrate government.
[00:24:34.127 --> 00:24:38.729]  So they can bully everybody else and suck off everyone like Rosenstein and all these people.
[00:24:39.289 --> 00:24:40.029]  They're wimps!
[00:24:40.049 --> 00:24:41.330]  That's why they do it!
[00:24:41.350 --> 00:24:42.830]  That's why they seek power!
[00:24:43.290 --> 00:24:47.772]  Instead of building a civilization, they want to rob and loot a civilization.
[00:24:48.232 --> 00:24:49.873]  They are a parasite.
[00:24:54.795 --> 00:24:55.275]  They're criminals.
[00:24:56.517 --> 00:24:59.960]  Hardcore, committed criminals who think they're invincible.
[00:25:00.300 --> 00:25:09.268]  And you see the criminal mind all the time, and you wonder why they always go too far, why they always get busted, why they always... Because they're just crazy.
[00:25:09.929 --> 00:25:10.970]  They can't help it.
[00:25:11.570 --> 00:25:13.032]  It's their modus operandi.
[00:25:13.272 --> 00:25:15.834]  They push, and they push, and they push, and they push.
