[00:00:18.717 --> 00:00:20.439]  Welcome to NIFA Wars Nightly News.
[00:13:47.367 --> 00:13:49.348]  It is obviously an individual right.
[00:13:49.808 --> 00:13:53.110]  All of the Bill of Rights are individual rights, except for the 9th and 10th Amendment.
[00:13:53.771 --> 00:13:56.032]  And those are individual rights and state rights.
[00:13:56.072 --> 00:14:06.798]  But nevertheless, going back to this opinion for the United States versus Gamez-Perez, he said, the 2nd Amendment protects an individual's right to own firearms and may not be infringed lightly.
[00:14:07.118 --> 00:14:07.619]  I would just say,
[00:14:08.379 --> 00:14:09.999]  The word lightly is not in the Constitution.
[00:14:10.139 --> 00:14:11.140]  It may not be infringed.
[00:14:11.380 --> 00:14:11.820]  Period.
[00:14:11.880 --> 00:14:12.780]  Should have stopped at that point.
[00:14:12.800 --> 00:14:20.802]  But then he goes on to say, there is a long tradition of widespread gun ownership by private individuals in this country.
[00:14:21.122 --> 00:14:26.843]  Again, it's great that we have a tradition, but the Constitution specifically protects that God-given right of self-defense.
[00:14:27.364 --> 00:14:31.685]  But they point out in this article that Trump pledged to nominate a justice in the mold of Scalia.
[00:14:31.705 --> 00:14:32.905]  And that's truly what we have.
[00:14:33.425 --> 00:14:38.049]  An originalist, a textualist, somebody who goes to the Constitution for what it says.
[00:14:38.369 --> 00:14:45.034]  If you don't do that, then what you wind up with are justices who act as dictators, who say, the law is in my mouth.
[00:14:45.134 --> 00:14:46.615]  I can change the Constitution.
[00:14:46.675 --> 00:14:47.776]  It's a living document.
[00:14:47.816 --> 00:14:48.576]  That's the alternative.
[00:14:48.937 --> 00:14:50.378]  They call it a living document approach.
[00:14:50.778 --> 00:14:56.923]  They say that he comes with a set of judicial and ideological commitments apart from his policy.
[00:14:57.643 --> 00:14:57.963]  I think?
[00:15:17.757 --> 00:15:27.779]  Of referring to legislative history instead of the Constitution, and he is less than enamored of the dormant Commerce Clause that they love to appeal to, like the Welfare Clause.
[00:15:28.019 --> 00:15:30.300]  Let's take a look at another thing that they're complaining about as well.
[00:15:30.320 --> 00:15:36.961]  Of course, there's the Hobby Lobby decision, which has been criticized by Democrat senators.
[00:15:37.001 --> 00:15:44.443]  I've heard them say, look, he said that a corporation had religious liberty.
[00:15:45.071 --> 00:15:46.492]  No, that's not at all what that's about.
[00:15:47.012 --> 00:15:57.916]  We'll talk about the Hobby Lobby decision and whether that is giving religious liberty to a corporation, but let's take a look at a related case which they were also very upset about, and that's Little Sisters of the Poor.
[00:15:58.377 --> 00:16:13.263]  They also had to take their case to the Supreme Court because liberals did not want to allow a group of nuns who were taking care of elderly citizens to get by without buying insurance for contraception and for abortion.
[00:16:13.973 --> 00:16:15.154]  How ridiculous is that?
[00:16:15.214 --> 00:16:19.476]  And that was a unanimous decision by the Supreme Court without Scalia on it.
[00:16:19.816 --> 00:16:33.582]  So even the liberals shut down the idea that you're now seeing bantered around by the senators who are opposing Gorsuch saying, you know, we have to have, we can't allow them to opt out of Obamacare even for religious reasons.
[00:16:34.182 --> 00:16:41.246]  And if we look at his decision, what he actually said, it is not for secular courts, to paraphrase it, to decide about religious teachings.
[00:16:41.966 --> 00:16:43.887]  We have the free exercise religion.
[00:16:44.107 --> 00:16:50.652]  He's also written against euthanasia and assisted suicide, even though in Colorado, where he is, they were legalized last November.
[00:16:51.272 --> 00:16:54.694]  Now, they talked to a longtime friend of his, and I think this gives an insight into his character.
[00:16:55.675 --> 00:17:03.100]  And the friend said he's won some of the largest damages ever under the Sherman Antitrust Act, one of those on behalf of a Memphis business.
[00:17:03.140 --> 00:17:10.605]  But then he talks about how he represented a small business owner, treating it with the same gravity that he treated this large corporation.
[00:17:10.925 --> 00:17:17.871]  He told a story about a smaller award for a small gravel pit owner that he represented who was cheated out of his fair share of mining royalties.
[00:17:18.352 --> 00:17:20.213]  During his closing remarks, he looked at the jurors.
[00:17:20.574 --> 00:17:22.996]  He said, this is what they did to my poor client.
[00:17:23.356 --> 00:17:26.119]  He put his hands in his pockets and he turned them inside out.
[00:17:26.159 --> 00:17:27.040]  He said, for Neil,
[00:17:27.760 --> 00:17:34.885]  His friend said, for Neil Gorsuch, this fight over a few thousand dollars worth of dirt was the most important case ever tried.
[00:17:35.285 --> 00:17:37.266]  For Neil, this wasn't gravel.
[00:17:37.547 --> 00:17:38.827]  This was good versus evil.
[00:17:39.188 --> 00:17:43.911]  And a woman who had been a member of the jury came up to him afterwards and said, you're Perry Mason.
[00:17:44.531 --> 00:17:47.413]  Let's hope that we have somebody with strong moral character.
[00:17:47.773 --> 00:17:48.394]  I think we do.
[00:17:49.014 --> 00:17:53.637]  And if we look at what Ted Cruz is saying, he said, every option is on the table.
[00:17:53.697 --> 00:17:54.158]  Let's hope.
[00:17:54.818 --> 00:17:55.078]  I don't know.
[00:18:36.536 --> 00:18:43.226]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:18:43.486 --> 00:18:45.549]  You better believe you got one!
[00:19:01.584 --> 00:19:15.653]  Now, what I'm announcing here today is already a custom here in the United States, and that is extending the Christmas holiday up until New Year's Eve and then taking down the Christmas trees and taking down the Christmas lights.
[00:19:15.813 --> 00:19:16.854]  Ooh, I keep saying Christmas.
[00:19:17.514 --> 00:19:18.675]  I'm so politically incorrect.
[00:19:19.155 --> 00:19:22.337]  The day after New Year's Eve or New Year's Day.
[00:19:22.878 --> 00:19:27.161]  And so I've decided right through New Year's Day, we're going to keep
[00:19:27.981 --> 00:19:45.818]  The virtual Christmas tree or an HD video shot of downtown Austin at the capital of the beautiful Christmas tree up just to upset the social justice warriors and all the little snowflakes that want to bully us into banning our culture and banning free speech.
[00:19:46.238 --> 00:19:49.781]  In fact, there's a war going on, not just online, but in the streets.
[00:19:49.841 --> 00:19:56.425]  I've seen it, where people on the hike and bike trails say Merry Christmas, and then folks don't respond and they say Happy Holidays!
[00:19:56.966 --> 00:20:04.932]  Or even family I have, that I send the message of Merry Christmas to, they respond back with Happy Holidays.
[00:20:04.992 --> 00:20:07.454]  It is some distant cousins, but it's going on.
[00:20:08.325 --> 00:20:18.469]  But we're also going to extend the Christmas sale right through until New Year's Eve, until everything sells out at InfoWarsTore.com.
[00:20:18.489 --> 00:20:30.473]  Now, we normally try to budget things to where, in the warehouse, most of the products sell out by year-end, and the new products come in in a few weeks or a month after, because we have to pay taxes on inventory.
[00:20:31.233 --> 00:20:35.934]  And this year, I've decided to extend the sale until everything completely sells out.
[00:20:36.094 --> 00:20:52.257]  So to be clear, almost every one of our best-selling nutraceutical supplements is selling out, and for a good reason, because here are the specials that we're running until they sell out or until the new year comes here in just about four or five days.
[00:20:52.997 --> 00:20:54.058]  Living Defense, 30% off.
[00:20:55.618 --> 00:20:57.319]  Super Mel Vitality, 30% off.
[00:20:57.359 --> 00:20:58.179]  These are huge specials.
[00:20:58.639 --> 00:21:00.320]  Silver Bullet Coil Silver, 50% off.
[00:21:01.581 --> 00:21:03.881]  Brain Force Plus, 33% off.
[00:21:04.222 --> 00:21:06.843]  Winter Sun Vitamin D, 25% off.
[00:21:07.323 --> 00:21:10.104]  And again, a lot of these are selling out as we speak or have sold out.
[00:21:10.384 --> 00:21:12.745]  Survival Shield X2, 30% off.
[00:21:12.805 --> 00:21:15.526]  Bio True Selenium, 30% off.
[00:21:15.626 --> 00:21:18.868]  And then let me finish up with this, the Coup De Grace.
[00:21:19.608 --> 00:21:23.630]  Store-wide free shipping until New Year's Day.
[00:21:23.730 --> 00:21:26.412]  Store-wide at InfoWarsTore.com.
[00:21:26.812 --> 00:21:36.637]  On the non-GMO heirloom seeds, and the Trump is my president shirts, and Hillary for prison 2017 shirts, and deport George Soros, the goblin globalist specials.
[00:21:37.217 --> 00:21:38.518]  Store-wide free shipping.
[00:21:39.738 --> 00:21:45.500]  50 to 30 percent off on scores of items and all of these are super high quality products.
[00:21:45.800 --> 00:21:51.501]  They help fund the spearhead in the fight against the globalists and they are game changers.
[00:21:51.861 --> 00:21:54.342]  We couldn't have built this operation without you.
[00:21:54.502 --> 00:21:56.922]  So you're not standing beside us or behind us.
[00:21:57.302 --> 00:21:58.723]  You are standing at the heart
[00:21:59.423 --> 00:21:59.623]  Thank you.
[00:22:16.537 --> 00:22:28.847]  I certainly hope and pray you had a blessed and merry Christmas, and I'm really focusing and working hard to make sure we have a great new year as Americanism, not globalism, accelerates into the future.
[00:22:29.208 --> 00:22:44.921]  So again, I want to encourage you all, take advantage of the biggest sales of 2016 with Christmas sales extended with free shipping store-wide and 50 to 30% off on high-quality supplements and many other items at InfoWarsTore.com
[00:22:45.461 --> 00:22:46.762]  And Infowarslife.com.
[00:22:47.162 --> 00:22:51.324]  I'm Alex Jones signing off from the Central Texas News Center in Austin.
[00:22:51.384 --> 00:22:58.747]  Go to Infowarsstore.com today for 30-50% off specials while supplies last plus free shipping or call 1-888-253-3139.
[00:23:05.014 --> 00:23:08.135]  Last night we played the first part of our interview with John Kiriakou.
[00:23:08.175 --> 00:23:12.476]  Of course, he is a CIA agent who had 14 years experience as an officer.
[00:23:12.857 --> 00:23:16.918]  He blew the whistle on waterboarding and torture, and he was the only one to go to jail.
[00:23:16.938 --> 00:23:19.959]  So we're going to play a little bit more of that interview for you tonight.
[00:23:20.479 --> 00:23:25.741]  It talks about torture, it talks about the persecution of whistleblowers, how the people at the top who
[00:23:26.161 --> 00:23:26.681]  We're good to go.
[00:23:44.614 --> 00:23:50.657]  What you do, the only way you can succeed really, is to establish a rapport, or to establish a relationship with a prisoner.
[00:23:51.218 --> 00:23:59.342]  Get the prisoner comfortable, maybe offer him a cigarette, or a piece of fruit or something, and eventually he'll open up to you.
[00:23:59.862 --> 00:24:06.266]  That's succeeded since the end of the Second World War, when the FBI was interrogating Nazi war criminals.
[00:24:07.349 --> 00:24:09.051]  But that was too slow for the CIA.
[00:24:10.592 --> 00:24:20.583]  And so George Tenet, who at the time was the CIA director, went to President Bush and asked President Bush to give primacy over the case to the CIA rather than to the FBI.
[00:24:20.883 --> 00:24:22.044]  President Bush did that.
[00:24:22.525 --> 00:24:25.268]  The FBI withdrew from this secret location.
[00:24:25.788 --> 00:24:29.853]  And on August 1st, 2002, the torture of Abu Zubaydah began.
[00:24:31.058 --> 00:24:41.985]  And so before we get into the details of that, you know, going back again to the ethics issue, you know, one of the things that concerns me about this is that we don't want to become what we fight.
[00:24:42.666 --> 00:24:49.570]  You know, and this is why we had people that we executed, as you pointed out, in World War II, who did waterboard torturing.
[00:24:49.931 --> 00:24:52.592]  This is why we imprisoned American soldiers who did this.
[00:24:52.632 --> 00:24:55.034]  This is something that it goes before Donald Trump.
[00:24:55.054 --> 00:24:56.295]  It goes before Barack Obama.
[00:24:56.315 --> 00:24:57.616]  It goes before George Bush.
[00:24:57.956 --> 00:25:00.718]  We had made that decision for ethical reasons.
[00:25:01.078 --> 00:25:02.900]  That we want to take the high ground.
[00:25:02.960 --> 00:25:05.942]  We do not want to become the same as the terrorists.
[00:25:06.263 --> 00:25:07.364]  So that's a very important point.
[00:25:07.384 --> 00:25:27.001]  You also pointed out that the legal issues, you also pointed out that there's a pragmatic issue that again, you and the FBI agent and General Mattis have all said that it is much more effective to use other interrogation techniques because once you start torturing people, they will tell you anything to get it to stop, won't they?
[00:25:27.878 --> 00:25:30.039]  They will tell you literally anything.
[00:25:30.319 --> 00:25:39.221]  You know, I hear something that's called, I'm having a mental blank right now, the ticking time bomb scenario.
[00:25:39.381 --> 00:25:41.362]  Oh yeah, yeah, 24, yeah.
[00:25:41.382 --> 00:25:43.682]  They dramatize that on a weekly basis.
[00:25:43.722 --> 00:25:44.823]  We saw it every week.
[00:25:45.023 --> 00:25:49.604]  You had to beat somebody, you had to torture somebody in order to get the information at the last second, yeah.
[00:25:49.784 --> 00:25:50.285]  Exactly.
[00:25:50.305 --> 00:25:54.168]  And the truth of the matter is, there is no such thing as the ticking time bomb.
[00:25:54.348 --> 00:25:55.829]  This is just right out of the movies.
[00:25:55.869 --> 00:25:57.070]  It doesn't happen in real life.
[00:25:57.130 --> 00:26:06.098]  It's a red herring that people throw out there into this debate when they are pro-torture and can't really articulate why they're pro-torture.
[00:26:06.418 --> 00:26:15.226]  So this idea that there's a bomb getting ready to go off in an American city and you have to torture the person to get the information to prevent the bomb from going off.
[00:26:15.646 --> 00:26:22.437]  But the person you're torturing will tell you literally anything that he thinks will cause you to stop the torture.
[00:26:22.698 --> 00:26:24.921]  Let's say there is a bomb getting ready to go off in New York.
[00:26:25.626 --> 00:26:28.927]  He's going to tell you that it's in Chicago, or Los Angeles, or Atlanta.
[00:26:29.187 --> 00:26:31.787]  All he's going to do is buy some time and get you to stop torturing him.
[00:26:32.087 --> 00:26:32.708]  That's it!
[00:26:32.828 --> 00:26:35.808]  And in the meantime, you have to vet this information.
[00:26:35.868 --> 00:26:37.849]  You have to analyze the information.
[00:26:38.129 --> 00:26:43.030]  You can't just run to... He's not going to give you an address where you can go dismantle the bomb.
[00:26:43.310 --> 00:26:44.430]  This is only in the movies.
[00:26:44.730 --> 00:26:47.751]  So to me, that argument is just a non-starter.
[00:26:48.666 --> 00:26:51.167]  Let's talk about the actual process.
[00:26:51.227 --> 00:26:52.447]  Can you describe this?
[00:26:52.668 --> 00:26:54.168]  You've seen it, presumably, right?
[00:26:54.228 --> 00:26:54.428]  Yes.
[00:26:54.788 --> 00:26:59.370]  Can you describe this for the audience so they understand what we're talking about here?
[00:26:59.470 --> 00:27:01.911]  Why we made this a heinous crime?
[00:27:01.951 --> 00:27:04.392]  Why we executed Japanese soldiers for doing this?
[00:27:04.652 --> 00:27:07.453]  Why Americans should not be doing this as a matter of policy?
[00:27:07.713 --> 00:27:09.154]  Talk about the actual process.
[00:27:09.494 --> 00:27:11.656]  And I'll give you Abu Zubaydah as the example.
[00:27:11.876 --> 00:27:14.117]  Abu Zubaydah was waterboarded 83 times.
[00:27:14.198 --> 00:27:25.746]  What that means is the prisoner is strapped to a board or to a gurney with his feet slightly elevated, so there's more pressure on the upper part of the body, on the face and head, on the torso.
[00:27:26.607 --> 00:27:29.589]  And his face is then wrapped in material.
[00:27:29.629 --> 00:27:34.512]  It can be cloth or burlap or even cellophane, something like that.
[00:27:35.393 --> 00:27:40.578]  And then water is forced on the face, like from a hose, for example.
[00:27:41.198 --> 00:27:43.921]  So the prisoner takes in water.
[00:27:44.141 --> 00:27:49.806]  There's going to be water escaping into the nose or into the mouth, and it creates a sense of drowning.
