[00:00:06.266 --> 00:00:08.387]  The Alex Jones Show.
[00:03:46.551 --> 00:04:02.937]  Of course they came in on their convoys from all over the Middle East, from all over the world, protected by Obama, by Hillary, the modern founders of the Al-Qaeda, Wahhabist, Al-Nusra, known as ISIS, Islamic State is their country, between Syria and Iraq.
[00:04:04.522 --> 00:04:21.336]  And they spin that with their bizarre, twisted, upside-down, inverted alchemy that Trump is bad for cleaning up their treasonous, outrageous criminal activities that they and CNN and others backed and promoted and funded.
[00:04:21.336 --> 00:04:27.081]  And he signed an order killing all funding to the rebels, because they're all al-Qaeda.
[00:04:27.081 --> 00:04:33.466]  Let's go out to break with the President to their horror, saying ISIS is falling fast while visiting with the military.
[00:04:44.485 --> 00:04:46.669]  As you can see, we're doing very well against ISIS.
[00:04:46.669 --> 00:04:47.850]  ISIS is falling fast.
[00:04:47.850 --> 00:04:48.532]  Very fast.
[00:04:48.532 --> 00:04:48.812]  Thank you.
[00:05:01.117 --> 00:05:05.040]  Just 6% of Americans say the Russian collusion conspiracy theory is important.
[00:05:05.040 --> 00:05:19.609]  The Daily Wire pointed out that in a Bloomberg survey pulling Americans on what they feel is the most important issues concerning the Trump administration, 35% said healthcare, 13% said the economy, 11% said terrorism, and a measly 6% said President Trump's relationship with Russia was an important issue for them.
[00:05:19.609 --> 00:05:23.811]  Then why does the mainstream media spend so much time focusing on the Russian conspiracy theory?
[00:05:23.811 --> 00:05:24.252]  Simple.
[00:05:24.252 --> 00:05:29.575]  They want to undermine the Trump presidency to appease their bosses, the globalist owners of major news corporations.
[00:05:29.755 --> 00:05:32.097]  You see, the best forms of propaganda spread through deception.
[00:05:32.097 --> 00:05:36.061]  And the mainstream media role plays as objective journalists while pushing a globalist agenda.
[00:05:36.061 --> 00:05:37.022]  But don't take it from me.
[00:05:37.022 --> 00:05:39.465]  Just look at the Bloomberg article that accompanied the poll.
[00:05:39.465 --> 00:05:43.068]  Americans feel good about the economy, not so good about Trump, the headline read.
[00:05:43.068 --> 00:05:43.609]  No, really.
[00:05:43.609 --> 00:05:45.611]  The top three issues that Americans find important
[00:05:45.731 --> 00:05:47.652]  As most of you already know, I am a voracious consumer of news and information.
[00:06:05.942 --> 00:06:18.891]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[00:06:18.891 --> 00:06:25.456]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[00:06:25.456 --> 00:06:27.938]  And so I set out to develop caveman.
[00:06:27.998 --> 00:06:39.230]  But to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[00:06:39.230 --> 00:06:41.573]  InfoWars isn't just fighting the globalists.
[00:06:41.573 --> 00:06:43.054]  We're getting results.
[00:06:43.054 --> 00:06:49.021]  And we're expanding in the face of the complete media assault and winning because of your support.
[00:06:49.141 --> 00:06:52.042]  Caveman is finally back at the InfoWars store.
[00:06:52.042 --> 00:07:01.304]  You can get 25% off the regular price for a limited time only at InfoWarsLife.com or by calling toll-free, AAA253-3139.
[00:07:01.304 --> 00:07:09.565]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high-quality products and fund the InfoWar.
[00:07:09.565 --> 00:07:10.786]  A 360 win.
[00:07:10.786 --> 00:07:17.047]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at InfoWarsStore.com.
[00:07:17.347 --> 00:07:25.291]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[00:07:25.291 --> 00:07:29.953]  Number three, we're giving you free shipping on all orders above $50.
[00:07:29.953 --> 00:07:36.455]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:07:36.455 --> 00:07:39.957]  Just go to InfoWareStore.com, select your favorite product or products,
[00:07:40.097 --> 00:07:44.238]  Click on AutoShip and choose how often you want us to send you another order.
[00:07:44.238 --> 00:07:51.460]  As you know, I coined the term 360Win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[00:07:51.460 --> 00:07:52.421]  10% off on AutoShip.
[00:07:52.421 --> 00:07:54.841]  Win, win, win at InfoWarsLife.com.
[00:07:54.841 --> 00:07:56.842]  Free shipping on orders above $50.
[00:07:56.842 --> 00:08:00.683]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[00:08:15.632 --> 00:08:21.957]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:21.957 --> 00:08:28.402]  It's Alex Jones.
[00:08:28.402 --> 00:08:34.107]  It's Friday, the 21st day of July 2017.
[00:08:34.107 --> 00:08:38.350]  We have a loaded raft of informative guests today.
[00:08:38.350 --> 00:08:41.613]  I'm going to work on getting Roger Stone on as we speak because
[00:08:43.069 --> 00:08:55.383]  Mr. Scaramucci is next in line to be Communications Director at the White House, and that's the word, is that he's who's being looked at to be announced, probably next week, after Sean Spicer just resigned.
[00:08:55.383 --> 00:08:58.106]  The news was announced two minutes ago.
[00:08:58.106 --> 00:08:59.768]  So, that is breaking.
[00:08:59.768 --> 00:09:03.212]  Sean Spicer resigns as White House Press Secretary.
[00:09:04.724 --> 00:09:19.570]  The embattled press secretary, Sean Spicer, the White House press secretary, resigned on Friday morning telling President Trump he vehemently disagreed with the appointment of the new New York financier, Anthony Scaramucci, as communications director.
[00:09:19.570 --> 00:09:20.911]  So I guess that's going to be announced.
[00:09:21.451 --> 00:09:25.434]  Mr. Trump offered Mr. Scaramucci the job at 10 a.m.
[00:09:25.434 --> 00:09:34.819]  The president requested that Mr. Spicer stay on, but Mr. Spicer told Mr. Trump that he believed the appointment was a major mistake according to a person with direct knowledge of the exchange.
[00:09:34.819 --> 00:09:37.421]  You see, I hadn't even seen this New York Times piece yet.
[00:09:37.421 --> 00:09:43.385]  I just knew the inner workings a few months ago and a few weeks ago from my sources that Scaramucci was being looked at.
[00:09:44.645 --> 00:09:51.108]  I just learned it during the break when they just said boom on Fox News that the resignation had come.
[00:09:51.108 --> 00:10:02.573]  They pulled up the New York Times, who's always got their ear to the ground, and I guess the word is from Spicer, who's constantly leaking information to anybody that'll listen, that he doesn't like Scaramucci.
[00:10:02.573 --> 00:10:10.316]  Who, by the way, they would do stuff in the last six months like come in and say the president has fired you, get your stuff and get out.
[00:10:10.316 --> 00:10:11.597]  That's what Rens Prevost would do.
[00:10:13.331 --> 00:10:20.154]  And then Scaramucci would call some of his confidants and they'd say, don't go.
[00:10:20.154 --> 00:10:23.555]  Say you want to meet with the president, you want to see it in a letter.
[00:10:23.555 --> 00:10:27.097]  And then the president would be like, I didn't fire Scaramucci.
[00:10:27.097 --> 00:10:33.139]  Scaramucci the whole time has been giving the president accurate intel on what they're planning.
[00:10:33.139 --> 00:10:36.681]  And that's why the globalists are completely panicking right now.
[00:10:37.597 --> 00:10:45.282]  Because they're getting rid of the people they can't trust that are rhinos, that are neocons, that are playing both sides, that are scared!
[00:10:45.282 --> 00:10:50.846]  Like Spicer hiding in the bushes when Trump fired the FBI director.
[00:10:50.846 --> 00:10:59.691]  You don't need people that are hiding in the bushes having panic attacks and drinking gallons of vodka on the job.
[00:10:59.691 --> 00:11:05.955]  Spicer reportedly has a little refrigerator full of vodka that he's imbibing in quite a bit.
[00:11:07.421 --> 00:11:17.986]  And I don't want to sit here and attack Spicer, but I know all this stuff about Spicer from multiple sources, and I never released any of it because he wasn't publicly going against the President.
[00:11:17.986 --> 00:11:23.929]  But Spicer is showing his hand now, jumping ship publicly.
[00:11:23.929 --> 00:11:36.776]  Because Mueller, who 98% plus of his donations from his law firm are to the Democratic Party and to Bill and Hillary Clinton.
[00:11:38.137 --> 00:11:45.883]  Yes, he was appointed by George W. Bush, who's a globalist, covered up the Saudi involvement in 9-11, covered up so much.
[00:11:45.883 --> 00:11:57.491]  And so that's the bottom line of what's going on behind the scenes, is that Scaramucci is a banning constitutional patriot.
[00:11:57.491 --> 00:12:03.315]  And they have been trying to shut him down and get him fired since day one, and repeatedly
[00:12:04.261 --> 00:12:08.363]  They would leak stuff trying to get Scaramucci in trouble.
[00:12:08.363 --> 00:12:22.589]  And so this is a very good sign that when they tried to put Scaramucci over Spicer that he flipped out and left.
[00:12:22.589 --> 00:12:27.872]  The moles are being exercised from the hosts.
[00:12:29.955 --> 00:12:33.558]  Anthony Scaramucci is expected to be named White House Communications Director.
[00:12:33.558 --> 00:12:38.482]  And I heard this months ago, and I just kept my little trap shut.
[00:12:38.482 --> 00:12:42.325]  And boy, I tell you, that just proves how good our sources are.
[00:12:42.325 --> 00:12:43.627]  That is amazing.
[00:12:43.627 --> 00:12:46.989]  Guys, they've got my cell phone.
[00:12:46.989 --> 00:12:51.053]  The crew does, because Dew was downloading videos I shot this morning.
[00:12:51.053 --> 00:12:55.677]  Please get me my phone, because I need to call some of these sources during the next break.
[00:12:55.677 --> 00:12:56.778]  I need to call some people.
[00:12:58.365 --> 00:13:01.366]  I'm pretty close to the old White House, I'll leave it to you that way.
[00:13:01.366 --> 00:13:20.752]  But wow, because I heard this months ago and I thought that it was a bit fanciful because if this happens and this is accurate it means the other stuff I was told was accurate and these sources have only been accurate.
[00:13:20.752 --> 00:13:21.772]  I mean some of these sources
[00:13:22.938 --> 00:13:25.479]  Or as high as you can go in the executive branchels.
[00:13:25.479 --> 00:13:25.960]  Leave it at that.
[00:13:25.960 --> 00:13:27.641]  The media knows that.
[00:13:27.641 --> 00:13:28.841]  Doesn't like that.
[00:13:28.841 --> 00:13:31.243]  But this is such a good sign.
[00:13:31.243 --> 00:13:32.563]  Trump is so real.
[00:13:32.563 --> 00:13:35.245]  This just boggles my mind.
[00:13:35.245 --> 00:13:36.005]  How real he is.
[00:13:36.005 --> 00:13:36.706]  How amazing he is.
[00:13:36.706 --> 00:13:39.247]  Let's get Sarnathachan to pop in.
[00:13:39.247 --> 00:13:41.368]  Let's get Roger Stone.
[00:13:41.368 --> 00:13:43.509]  I know you guys have been calling for 10 minutes.
[00:13:43.509 --> 00:13:45.991]  He hasn't been answering, but I need to get him on immediately.
[00:13:45.991 --> 00:13:50.013]  And I need to talk to him.
[00:13:50.013 --> 00:13:50.573]  He's already on.
[00:13:50.573 --> 00:13:51.174]  He's already on at 1230, huh?
[00:13:53.404 --> 00:13:54.305]  Just get him on now.
[00:13:54.305 --> 00:13:56.086]  Get him on now and come back on at 12.30 too.
[00:13:56.086 --> 00:13:57.326]  Because he'll know more then.
[00:13:57.326 --> 00:14:00.168]  Because I need to talk to him during the break too.
[00:14:00.168 --> 00:14:00.948]  I don't know.
[00:14:00.948 --> 00:14:05.651]  He's one of my sources obviously, but I've got four others.
[00:14:05.651 --> 00:14:07.152]  I'm just going to leave it at that.
[00:14:07.152 --> 00:14:10.574]  And they've all said the same thing about this internal battle going on.
[00:14:10.574 --> 00:14:13.656]  But I want to be real careful about how much I release.
[00:14:17.160 --> 00:14:18.701]  Sure, can we do it by phone?
[00:14:18.701 --> 00:14:19.281]  Alright, I'm ready.
[00:14:46.417 --> 00:14:49.839]  So he's got most other phone numbers on Do Not Disturb because his phone rings constantly.
[00:14:49.839 --> 00:14:51.780]  But he doesn't have my number on Do Not Disturb.
[00:14:51.780 --> 00:14:52.821]  That's why I've got to call for Nico.
[00:14:52.821 --> 00:14:53.581]  It's not Nico's fault.
[00:14:53.581 --> 00:14:56.723]  We just need to make sure he gets your number off Do Not Disturb.
[00:14:59.133 --> 00:14:59.973]  I don't blame him.
[00:14:59.973 --> 00:15:00.313]  I've seen him.
[00:15:00.313 --> 00:15:01.114]  He takes his phone off.
[00:15:01.114 --> 00:15:01.674]  Do not disturb.
[00:15:01.674 --> 00:15:03.815]  It's ringing continually.
[00:15:03.815 --> 00:15:05.055]  Hundreds of messages an hour.
[00:15:05.055 --> 00:15:07.956]  That's why he's got a secretary sitting there during the day trying to handle it.
[00:15:07.956 --> 00:15:09.457]  But you can't get a hold of Roger Stone at night.
[00:15:09.457 --> 00:15:14.358]  I mean, his phone just rings, rings, rings, rings, rings, rings.
[00:15:14.358 --> 00:15:15.019]  It's insane.
[00:15:15.019 --> 00:15:16.939]  Because he wouldn't be able to make a phone call if he didn't have it on.
[00:15:16.939 --> 00:15:18.280]  Do not disturb.
[00:15:18.280 --> 00:15:18.520]  So.
[00:15:18.520 --> 00:15:22.061]  We're going to.
[00:15:22.061 --> 00:15:24.862]  Yeah, I'm going to not talk about this right now until I talk to Roger.
[00:15:26.365 --> 00:15:31.370]  We'll talk to him on air and see what, how much he thinks we ought to put out here.
[00:15:31.370 --> 00:15:32.410]  But let me just tell you something.
[00:15:32.410 --> 00:15:35.093]  This country is in the middle of a civil war.
[00:15:35.093 --> 00:15:41.979]  If you're watching on Facebook, you notice the headline is Obama prepared military for martial law on election day.
[00:15:41.979 --> 00:15:45.863]  I told you this previously because I was told this by army sources I have.
[00:15:46.912 --> 00:15:54.837]  in special operations, that they'd never seen such a mobilization, and that they believe that conservatives might fight back when Hillary won.
[00:15:54.837 --> 00:16:04.124]  But as you notice, the best laid plans of mice and men often go astray.
[00:16:05.140 --> 00:16:06.602]  Madam President!
[00:16:06.602 --> 00:16:10.067]  I bought this for like $3.25 off eBay.
[00:16:10.067 --> 00:16:11.669]  They printed hundreds of thousands of them.
[00:16:11.669 --> 00:16:16.114]  They didn't print Mr. President Newsweek's special editions, commemorative editions.
[00:16:16.114 --> 00:16:19.058]  Here, let's just look at the commemorative edition.
[00:16:19.058 --> 00:16:20.240]  But the big news here is...
[00:16:21.241 --> 00:16:27.563]  They had martial law prepared to basically take over the states, take over the government, in case there was a rebellion by the states.
[00:16:27.563 --> 00:16:30.945]  But because we actually had an election, they were unable to steal all the states.
[00:16:30.945 --> 00:16:33.946]  They stole five, tried to steal an additional six.
[00:16:33.946 --> 00:16:36.507]  They were unable to go ahead and launch that martial law plan.
[00:16:36.507 --> 00:16:39.708]  Now they've got an ongoing civil war inside the deep state going on.
[00:16:39.708 --> 00:16:45.350]  It's not really deep state against us, it's a deep state civil war.
[00:16:45.350 --> 00:16:47.811]  And the public is critical deciding which way this is going to go.
[00:16:51.334 --> 00:16:56.275]  Obama's secret plan to deploy the military on election day.
[00:16:56.275 --> 00:16:57.376]  That's out of the New York Post.
[00:16:57.376 --> 00:16:58.316]  Zero Hedge has it.
[00:16:58.316 --> 00:17:00.137]  The document's now public.
[00:17:00.137 --> 00:17:02.777]  Homeland Security was going to federalize the nation, basically.
[00:17:02.777 --> 00:17:05.878]  And now, look at the President's Advisory Commission on Election Fraud.
[00:17:05.878 --> 00:17:12.080]  Already has found 1,000 proven cases of election and voter fraud, and with indexes from Harvard
[00:17:13.809 --> 00:17:23.033]  They now, the computer algorithm shows 5.7 million were estimated to have voted illegally or repeatedly in dead people's names.
[00:17:23.033 --> 00:17:26.054]  That's Harvard.
[00:17:26.054 --> 00:17:27.974]  That's why they're like, oh, there's no election fraud!
[00:17:27.974 --> 00:17:34.217]  While the Democrats brag in what, 11 states they tried to pass laws to let illegals vote.
[00:17:36.169 --> 00:17:38.730]  They're trying to legalize illegals voting.
[00:17:38.730 --> 00:17:45.951]  They've got voter programs to get them registered in all these Democrat states where you can't show an ID and you get a voter registration card.
[00:17:45.951 --> 00:17:58.794]  Oh, but, and we have all the Democratic officials on video, like eight different ones from New York, Chicago, DC, National, saying, oh, we have, you know, people voting at least 10 times and dead people's names.
[00:17:58.794 --> 00:17:59.875]  We bus them around.
[00:17:59.875 --> 00:18:01.095]  There's not an effing thing.
[00:18:01.095 --> 00:18:03.136]  Skip this break.
[00:18:03.136 --> 00:18:04.836]  There's not a effing thing.
[00:18:06.192 --> 00:18:10.098]  Quote, the American people can do about this.
[00:18:10.098 --> 00:18:12.141]  And then they go, oh, don't look into election fraud.
[00:18:12.141 --> 00:18:15.526]  And then we look, and everywhere we look, it's intense.
[00:18:15.526 --> 00:18:17.550]  Election fraud organizing voter fraud.
[00:18:18.985 --> 00:18:21.646]  Because they confuse it between retail voter fraud and election fraud.
[00:18:21.646 --> 00:18:22.947]  It's all election fraud.
[00:18:22.947 --> 00:18:27.209]  There isn't anybody engaged in voter fraud they've ever caught that's doing it on their own.
[00:18:27.209 --> 00:18:37.254]  It's being directed off of obituary databases, looking at voter rolls, and then handing out the names and busing people to precincts on average ten times a day to vote.
[00:18:38.792 --> 00:18:39.893]  on Election Day.
[00:18:39.893 --> 00:18:41.655]  Joining us is Roger Stone.
[00:18:41.655 --> 00:18:44.057]  Roger, I'm glad you could come on on such short notice.
[00:18:44.057 --> 00:18:50.983]  You're already scheduled to be on, coming up in about an hour, because obviously you've been an amazing source on Scaramucci.
[00:18:50.983 --> 00:19:02.012]  Other sources told me the same thing, that if the realignment did happen, and that we brought in Bannon-type patriots, that we would see Scaramucci put in as Communications Director.
[00:19:02.012 --> 00:19:04.754]  Separately, we also know that
[00:19:05.831 --> 00:19:09.897]  There's been a full-on push to remove Scaramucci, but they failed.
[00:19:09.897 --> 00:19:19.050]  From my intel, which you're just obviously part of, but I've got it from other sources as well, this shows a major realignment's about to happen.
[00:19:19.050 --> 00:19:21.934]  Just like day 70, he kind of turned towards the establishment.
[00:19:22.395 --> 00:19:25.037]  Trying to work with him because they lied to him and said they would.
[00:19:25.037 --> 00:19:27.339]  He wanted to compromise just to get stuff done.
[00:19:27.339 --> 00:19:31.523]  He's so worried about the economy stalling, as he said, they screwed him.
[00:19:31.523 --> 00:19:37.808]  30 days later, he turned back towards populism hardcore with a serious jerk to the right, in their view.
[00:19:37.808 --> 00:19:44.633]  And now I think this is going to signify he's going into full war mode with them, with the Mueller fishing expedition.
[00:19:44.633 --> 00:19:47.496]  He's not going to wait till they kill the economy and then try to bring him down.
[00:19:47.836 --> 00:19:53.779]  He's going to try to rally the people and absolutely go into full war mode, which is the only way to be victorious.
[00:19:53.779 --> 00:19:56.681]  Is that an accurate analysis, Roger Stone?
[00:19:56.681 --> 00:19:59.762]  Alex, I think that's a pretty good assessment of the situation.
[00:19:59.762 --> 00:20:08.227]  First of all, the appointment of Anthony Scaramucci, who is a very capable guy, a true patriot, and a Trump loyalist.
[00:20:08.227 --> 00:20:12.229]  His loyalty is not to the Republican Party, it's to Trump and the Trump agenda.
[00:20:14.153 --> 00:20:24.620]  It has long been resisted by Reince Priebus, Sean Spicer, and the establishment mandarins within the Trump White House.
[00:20:24.620 --> 00:20:31.766]  I think this shift is really a manifestation of the extremely poor handling of the Donald Trump Jr.
[00:20:31.766 --> 00:20:37.650]  saga, which the White House allowed to drip-drop out over almost a 10-day period.
[00:20:38.411 --> 00:20:46.137]  As opposed to releasing it all the Friday before our last holiday, which they were urged to do and at least they rejected.
[00:20:47.523 --> 00:20:54.448]  And again, any moron at a college-level journalism course knows you bury something on a Friday evening, you dump it all.
[00:20:54.448 --> 00:20:56.289]  So that was deliberate, them.
[00:20:56.289 --> 00:21:03.493]  And now, Spicer, proving his true colors, is in the New York Times saying how horrible Scaramucci is and that that's why he left.
[00:21:03.493 --> 00:21:10.178]  So he is not just leaving, he's stabbing the president in the back, which reportedly he's been doing behind the scenes the entire time.
[00:21:11.829 --> 00:21:13.130]  Extraordinarily disloyal.
[00:21:13.130 --> 00:21:16.772]  Of course, we have to remember he was never for Donald Trump for president anyway.
[00:21:16.772 --> 00:21:30.260]  This is the same Sean Spicer who said back in September of last year that if Trump didn't get his poll numbers up, the Republican National Committee should suspend its financial support of his candidacy.
[00:21:30.260 --> 00:21:31.181]  Unheard of.
[00:21:31.181 --> 00:21:32.682]  Just unheard of.
[00:21:32.682 --> 00:21:40.967]  Completely ignores the fact that the Republican National Committee exists at the pleasure of the nominee and certainly of the president.
[00:21:41.784 --> 00:21:48.571]  Does this signify, though, that with Mueller's biggest fishing expedition in history, 98% plus, it's like 98.6% of the donations the law
[00:21:56.940 --> 00:21:57.741]  We're good to go.
[00:22:25.058 --> 00:22:38.606]  I think you have to read between the lines on the President's terrific interview with the New York Times conducted by Maggie Abraman, where he correctly, I think, expressed a lack of confidence in Jeff Sessions.
[00:22:38.606 --> 00:22:53.955]  I mean, we have now a FISA court decision proving that the Obama administration illegally surveilled, spied on, and charted the phone calls and other communications of tens of thousands of Americans that illegally unmasked them.
[00:22:54.847 --> 00:22:59.189]  All for political purposes, yet Obama has not been arrested.
[00:22:59.189 --> 00:23:01.309]  Susan Rice has not been arrested.
[00:23:01.309 --> 00:23:02.890]  James Clapper has not been arrested.
[00:23:02.890 --> 00:23:16.854]  And you've got Hillary with all the illegal servers, all the uranium, all the Chinese-Russian deals, and they're completely dirty, caught red-handed, and they point at Trump, who's done nothing wrong but tried to find dirt on Hillary, and say, remove him.
[00:23:16.854 --> 00:23:18.535]  You're right, he's got to move against him.
[00:23:18.535 --> 00:23:23.977]  Here is the President, surreptitiously again, I guess recorded by the New York Times, but here it is.
[00:23:24.949 --> 00:23:29.032]  Sessions gets the job.
[00:23:29.032 --> 00:23:31.653]  Right after he gets the job, he recuses himself.
[00:23:31.653 --> 00:23:34.295]  Is that a mistake?
[00:23:34.295 --> 00:23:38.217]  Well, Sessions should have never recused himself.
[00:23:38.217 --> 00:23:43.941]  And if he was going to recuse himself, he should have told me before he took the job, and I would have picked somebody else.
[00:23:43.941 --> 00:23:46.122]  He gave you no heads up at all?
[00:23:46.122 --> 00:23:47.463]  Zero.
[00:23:47.463 --> 00:23:52.967]  So Jeff Sessions takes the job, gets into the job,
[00:23:53.877 --> 00:23:58.018]  Recuses himself.
[00:23:58.018 --> 00:24:04.640]  I then have, uh, which, which frankly, I think is very unfair to the president.
[00:24:04.640 --> 00:24:07.161]  How do you take a job and then recuse yourself?
[00:24:07.161 --> 00:24:13.422]  If he would have recused himself before the job, I would have said, thanks, Jeff, but I can't, you know, I'm not gonna thank you.
[00:24:13.422 --> 00:24:18.544]  It's extremely unfair, and that's a mild word to the president.
[00:24:18.544 --> 00:24:19.504]  So he recuses himself.
[00:24:20.438 --> 00:24:21.299]  Now let's be specific.
[00:24:21.299 --> 00:24:25.804]  This is one of the most important things I've ever said, so please listen carefully, listeners.
[00:24:25.804 --> 00:24:29.308]  This country's gotten run into a ditch by people covering their butts.
[00:24:29.308 --> 00:24:30.890]  CYA.
[00:24:30.890 --> 00:24:31.932]  We're going into entropy.
[00:24:31.932 --> 00:24:32.833]  We're going into collapse.
[00:24:32.833 --> 00:24:34.054]  And I like Sessions.
[00:24:34.054 --> 00:24:35.256]  He's been an honorable man.
[00:24:35.256 --> 00:24:40.382]  He killed open borders and globalism four times in the Senate when they were trying to pass bills secretly.
[00:24:41.437 --> 00:24:45.881]  I like Sessions, but judges don't recuse themselves unless they've got a conflict.
[00:24:45.881 --> 00:24:47.622]  He doesn't have a conflict.
[00:24:47.622 --> 00:24:48.523]  He never did anything.
[00:24:48.523 --> 00:24:52.487]  He got bullied and intimidated in CYA.
[00:24:52.487 --> 00:25:01.835]  And if the Republican Party keeps doing their old CYA, the Democrats are going to overthrow the entire system and bring in martial law, as is in the New York Post and the
[00:25:03.775 --> 00:25:05.057]  Atlantic Monthly.
[00:25:05.057 --> 00:25:08.323]  They admit they know they've lost the mind of the people.
[00:25:08.323 --> 00:25:10.145]  They admit they've committed all these crimes.
[00:25:10.145 --> 00:25:11.548]  They're going for broke.
[00:25:11.548 --> 00:25:13.090]  They're cornered rats.
[00:25:13.090 --> 00:25:14.392]  You can give them no quarter.
[00:25:15.370 --> 00:25:16.251]  Roger, I'm ranting.
[00:25:16.251 --> 00:25:17.512]  Recap about Scaramucci.
[00:25:17.512 --> 00:25:19.773]  Recap what this really signifies with Spicer.
[00:25:19.773 --> 00:25:23.596]  Recap why you think it's good that he's exposing what's happening with Sessions.
[00:25:23.596 --> 00:25:24.637]  And I totally agree.
[00:25:24.637 --> 00:25:30.922]  He's got to go all out now, while he's still got the people behind him, or they're going to bring not just him down, but this country.
[00:25:30.922 --> 00:25:40.048]  This is America on death watch, with the Democratic Party allied with orthodox radical Islam, anti-God, anti-Christian, anti-family.
[00:25:40.048 --> 00:25:41.810]  They mean to finish us.
[00:25:41.810 --> 00:25:44.212]  We must now finish them.
[00:25:44.212 --> 00:25:44.532]  Stone.
[00:25:45.951 --> 00:25:50.712]  Alex, I think it's very important people understand the ramifications of what we're talking about.
