[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[00:02:19.649 --> 00:02:21.570]  And just look at what is happening.
[00:02:21.570 --> 00:02:28.315]  We're going to get more into that later in regards to the migrant crisis because there is just a deluge of news on that.
[00:02:28.315 --> 00:02:34.300]  Also breaking at this hour though, this is also out of RT, North Korea believed to have conducted a new missile test.
[00:02:34.958 --> 00:02:43.823]  North Korea is believed to have conducted a new missile test, Japanese national public broadcaster NHK reported today, citing government officials.
[00:02:43.823 --> 00:02:47.725]  It looks like it landed in the Sea of Japan once again.
[00:02:47.725 --> 00:02:55.070]  Whether this will be the spark that entails new military action potentially against North Korea, we'll wait and see.
[00:02:55.070 --> 00:02:56.210]  Usually doesn't, does it?
[00:02:56.210 --> 00:03:00.813]  It usually just drags on until the next missile incident and nothing really happens.
[00:03:00.813 --> 00:03:03.995]  Tensions continue to simmer, but that is also breaking
[00:03:04.728 --> 00:03:06.350]  At this hour.
[00:03:06.350 --> 00:03:13.080]  Now one of the top stories up on m4wars.com right now is a new development on a story we've been tracking all week.
[00:03:13.080 --> 00:03:18.167]  The headline is PASTA confirms plot to take out Trump is physical.
[00:03:19.105 --> 00:03:35.913]  As the deep state democratic coup against the legitimately elected president intensifies, we have more details on this potential assassination plot against the president being cooked up from within the dark underbelly of the deep state.
[00:03:35.913 --> 00:03:41.676]  This is, of course, Pastor Rodney Howard Brown, who appeared on the show with Alex a couple of days ago.
[00:03:41.676 --> 00:03:42.957]  After he went public,
[00:03:43.473 --> 00:03:51.775]  With how he was told by a senior Republican congressman of a plot to quote, take out President Trump in the near future.
[00:03:51.775 --> 00:04:00.538]  Now he's made it even more explicit in these new comments that that meant to physically remove the President.
[00:04:00.538 --> 00:04:04.819]  Not through indictment, not through impeachment, not through some kind of political protest.
[00:04:04.819 --> 00:04:07.160]  To physically remove the President
[00:04:07.780 --> 00:04:10.662]  He went on to talk about the John Hinckley Jr.
[00:04:10.662 --> 00:04:18.408]  assassination attempt against Ronald Reagan, how that changed Ronald Reagan's direction back in the 80s.
[00:04:18.408 --> 00:04:34.280]  So again, whether this supposed assassination plot, and we've been talking about this story for months now, given how the media, given how the dominant culture is placing this in the public's mind, that this is inevitable that someone will try and assassinate Donald Trump,
[00:04:34.995 --> 00:04:40.277]  Given that build-up, given that lead-up, could we see an attempt in the near future?
[00:04:40.277 --> 00:04:48.720]  That's what a lot of people are warning about, including this prominent pastor who now has confirmed that this threat, this plan, was physical.
[00:04:48.720 --> 00:04:54.362]  Of course, he was interrogated to some extent by the Secret Service after he made these comments.
[00:04:54.362 --> 00:04:56.342]  He actually made them over a week ago.
[00:04:56.342 --> 00:04:57.923]  It only really intensified when
[00:04:58.875 --> 00:05:04.484]  Infowars.com picked up the story, but he's now confirming that that is a physical plot.
[00:05:04.484 --> 00:05:07.049]  We'll be back after the break with more news, Infowars.com.
[00:05:08.426 --> 00:05:22.335]  All the perplexities, the confusion and distress in America arise not from objects in their constitution or confederation, not from want of honor or virtue, so much as from the downright ignorance of the nature of coin, credit and circulation.
[00:05:22.335 --> 00:05:26.638]  Those are the words of John Adams, the second president of the United States.
[00:05:26.638 --> 00:05:29.180]  Are you ignorant of the private Federal Reserve?
[00:05:29.180 --> 00:05:31.381]  Do you understand the nature of our fiat currency?
[00:05:31.381 --> 00:05:38.066]  Do you understand how a private corporation has the ability to create boom and bust cycles and to profit from it?
[00:05:38.506 --> 00:05:43.248]  What kind of leverage do these people in the Federal Reserve have over the American people?
[00:05:43.248 --> 00:05:47.570]  Or for that matter, what kind of leverage do the Saudis have over our money?
[00:05:47.570 --> 00:05:50.031]  Will you be a slave or will you be free?
[00:05:50.031 --> 00:05:55.033]  Adams also said, liberty cannot be preserved without general knowledge among the people.
[00:05:55.033 --> 00:05:56.373]  Join the InfoWars.
[00:05:56.373 --> 00:05:57.674]  Spread the information.
[00:05:57.674 --> 00:05:59.634]  Educate yourself and others.
[00:05:59.634 --> 00:06:01.455]  The truth shall set you free.
[00:06:01.455 --> 00:06:03.236]  For InfoWars.com, I'm David Knight.
[00:06:07.048 --> 00:06:11.731]  As most of you already know, I am a voracious consumer of news and information.
[00:06:11.731 --> 00:06:24.680]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[00:06:24.680 --> 00:06:31.244]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[00:06:31.244 --> 00:06:33.706]  And so I set out to develop caveman.
[00:06:33.826 --> 00:06:34.026]  I think?
[00:06:54.392 --> 00:06:57.816]  Support Caveman is finally back at the InfoWars store.
[00:06:57.816 --> 00:07:04.485]  You can get 25% off the regular price for a limited time only at InfoWarsLife.com or by calling toll free at 888-253-3139.
[00:07:07.262 --> 00:07:11.206]  Enjoy all natural bath and beauty products with Emmerich's Essentials.
[00:07:11.206 --> 00:07:30.705]  We are proud to bring you a collection of organic-based household products at Infowarestore.com, including non-nano SPF 30 zinc oxide sunscreen, date-free herbal bug spray, concentrated peppermint mouthwash, unscented body wash, tea tree shampoo, and long-lasting natural deodorant.
[00:07:30.805 --> 00:07:34.986]  Emmerich's Essentials is free of chemicals and toxins that may harm your body.
[00:07:34.986 --> 00:07:41.569]  We carefully select pure and simple ingredients to create formulas that are certified USDA Made With Organic.
[00:07:41.569 --> 00:07:46.350]  Our mission is to offer you everyday organic household products to enhance your life.
[00:07:46.350 --> 00:07:51.512]  Truly feel the difference by going organic natural without compromising on quality.
[00:07:51.512 --> 00:07:53.893]  Feel good about using Emmerich's Essentials.
[00:07:53.893 --> 00:07:58.014]  Start saving money and stop exposing yourself and your family to toxic ingredients.
[00:07:58.294 --> 00:08:04.300]  Visit InfowarsStore.com and learn more about the new Emmerich's Essentials line of organic products.
[00:08:04.300 --> 00:08:06.662]  That's InfowarsStore.com.
[00:08:06.662 --> 00:08:08.784]  This is a national emergency.
[00:08:08.784 --> 00:08:11.246]  Important instructions will follow.
[00:08:11.246 --> 00:08:12.107]  Shots fired.
[00:08:23.991 --> 00:08:30.754]  This message is transmitted at the request of the President of the United States of America and the Office of Homeland Security.
[00:08:30.754 --> 00:08:36.097]  In compliance with the United Nations, the President of the United States has declared martial law.
[00:08:36.097 --> 00:08:37.957]  Curfew is now in place.
[00:08:37.957 --> 00:08:38.938]  Return to your homes.
[00:08:52.795 --> 00:09:19.543]  If you are receiving this transmission, you are the Resistance.
[00:09:21.180 --> 00:09:22.481]  We are live.
[00:09:22.481 --> 00:09:25.442]  This is the Alex Jones Show with me, Paul Joseph Watson.
[00:09:25.442 --> 00:09:28.843]  Now what's the biggest story in the United States right now?
[00:09:28.843 --> 00:09:30.244]  Is it the fight?
[00:09:30.244 --> 00:09:35.346]  The three-way would-be cage match between Scaramucci, Bannon and Reince Priebus?
[00:09:35.706 --> 00:09:36.026]  No.
[00:09:36.026 --> 00:09:37.487]  Is it the Russian collusion?
[00:09:37.487 --> 00:09:38.587]  Nothing, Berger.
[00:09:38.587 --> 00:09:39.228]  No.
[00:09:39.228 --> 00:09:55.834]  It's actually this, which has received no attention whatsoever from any other mainstream network than Fox News, despite the fact that this is clearly the most intriguing, most potentially damaging, the biggest story that has emerged this week.
[00:09:55.834 --> 00:09:58.335]  This is out of Gateway Pundit to set the scene.
[00:09:58.335 --> 00:10:00.456]  Debbie Wasserman Schultz.
[00:10:00.456 --> 00:10:01.697]  Absolute wreck.
[00:10:02.236 --> 00:10:07.380]  Barely able to function since Imran Awan arrest.
[00:10:07.380 --> 00:10:22.392]  Now, to give you the backstory, Debbie Wasserman Schultz, former head of the DNC, employed Pakistani IT staffers and brothers who were paid over four million dollars over the course of their employment, even though they were accused of a cyber security breach.
[00:10:22.392 --> 00:10:27.516]  Number of other criminal accusations against one of the brothers as well, which we'll get into later.
[00:10:27.516 --> 00:10:29.678]  Imran Awan was arrested
[00:10:30.180 --> 00:10:37.164]  After he attempted to flee the US after wiring approximately $300,000 to Pakistan.
[00:10:37.164 --> 00:10:41.386]  And again, Fox News is the only cable network covering this huge scandal.
[00:10:41.386 --> 00:10:46.189]  When Imran Awam was arrested, he was carrying $12,000 of cash on him.
[00:10:46.189 --> 00:10:47.910]  That's not suspicious at all.
[00:10:47.910 --> 00:10:52.132]  His wife was carrying $12,000 of cash as well when she fled the country.
[00:10:53.061 --> 00:11:04.009]  So basically, these individuals had high security access to the DNC computers, they had the password to Wasserman Schultz's iPad, they had direct access to all that.
[00:11:04.801 --> 00:11:09.784]  The guy smashed his hard drive before the FBI was able to descend on him.
[00:11:09.784 --> 00:11:11.825]  This is a massive scandal.
[00:11:11.825 --> 00:11:23.511]  Now it turns out, and we're going to get to this clip in a moment, that this has ties to the Muslim Brotherhood, with these individuals potentially colluding with a terrorist organization
[00:11:24.071 --> 00:11:28.052]  While having direct access, secure access to the DNC.
[00:11:28.052 --> 00:11:30.952]  You want to talk about collusion with a foreign power?
[00:11:30.952 --> 00:11:35.493]  You want to talk about collusion with a foreign terrorist entity?
[00:11:35.493 --> 00:11:36.533]  This is it.
[00:11:36.533 --> 00:11:37.153]  Right here.
[00:11:37.153 --> 00:11:45.655]  There's more evidence for this than there is for Russian collusion and Donald Trump, yet that is the story they're talking about on CNN.
[00:11:45.655 --> 00:11:48.555]  They den-touched it.
[00:11:48.555 --> 00:11:51.276]  Now we go back to March and we've got this video clip lined up
[00:11:51.903 --> 00:12:09.111]  When this investigation first emerged, bearing in mind she actually employed these guys after this, for months afterwards, the headline, the original Daily Caller headline from back in March, Wasserman Schultz threatened police chief for gathering evidence on her IT staffers' alleged crimes.
[00:12:09.111 --> 00:12:18.415]  Debbie Wasserman Schultz threatened the chief of the US Capitol Police with, quote, consequences for holding equipment that she says belonged to her,
[00:12:19.170 --> 00:12:37.654]  And again, bearing in mind this is before the evidence of them smashing up hard drives came out, what she says belongs to her in order to build a criminal case against a Pakistani staffer suspected of massive cyber security breaches involving funneling sensitive congressional data off-site.
[00:12:37.654 --> 00:12:44.035]  Not only off-site, but now it turns out potentially directly to the Muslim Brotherhood.
[00:12:44.035 --> 00:12:46.276]  The Florida lawmaker used her position
[00:12:47.233 --> 00:12:59.600]  On the committee that sets the police force's budget to press its chief to relinquish the piece of evidence in what could be considered using her authority to attempt to interfere with a criminal investigation.
[00:12:59.600 --> 00:13:02.241]  No scandal about that back in March.
[00:13:02.241 --> 00:13:03.542]  Now this is blown up.
[00:13:03.542 --> 00:13:12.647]  Let's go back to March and play that clip where Wasserman Schultz directly threatens the Capitol Police with, quote, consequences if they don't drop this.
[00:13:12.647 --> 00:13:13.127]  Here's the clip.
[00:13:14.522 --> 00:13:23.526]  It is not, under my understanding, the Capitol Police is not able to confiscate members' equipment when the member is not under investigation.
[00:13:23.526 --> 00:13:25.807]  It is their equipment and it's supposed to be returned.
[00:13:27.142 --> 00:13:45.090]  Well, I think there's extenuating circumstances in this case, and I think that, you know, working through my counsel and, you know, the necessary personnel, if that in fact is the case, and with the permission of, through the investigation, we'll return the equipment.
[00:13:45.090 --> 00:13:48.912]  But until that's accomplished, I can't return the equipment.
[00:13:48.912 --> 00:13:53.334]  I think you're violating the rules when you conduct your business that way.
[00:13:53.334 --> 00:13:55.735]  And you should expect that there would be consequences.
[00:13:57.642 --> 00:13:58.242]  There you have it.
[00:13:58.242 --> 00:13:59.944]  Consequences.
[00:13:59.944 --> 00:14:03.927]  Four months later, this guy has smashed up his hard drive.
[00:14:03.927 --> 00:14:12.473]  He's fled the country after wiring nearly $300,000 from the Congressional Federal Credit Union to Pakistan.
[00:14:12.473 --> 00:14:16.737]  Now we're finding out he has direct links with the Muslim Brotherhood.
[00:14:16.737 --> 00:14:20.339]  She employed him for months after this investigation began.
[00:14:20.339 --> 00:14:22.201]  Here's another headline out of Gateway Pundit.
[00:14:22.941 --> 00:14:24.142]  That's weird.
[00:14:24.142 --> 00:14:29.787]  Wasserman Schultz paid Imran Awan for five months after he was banned from house computers.
[00:14:29.787 --> 00:14:32.409]  Why is she still employing this guy?
[00:14:32.409 --> 00:14:35.292]  Multiple criminal charges leveled against him.
[00:14:35.292 --> 00:14:36.613]  Now he's wired 300,000.
[00:14:36.613 --> 00:14:38.635]  He's tried to flee the country.
[00:14:38.635 --> 00:14:40.656]  He smashed up his hard drives.
[00:14:40.656 --> 00:14:42.458]  What on earth is going on here?
[00:14:42.458 --> 00:14:44.820]  Why is nobody reporting on this?
[00:14:44.820 --> 00:14:50.605]  Three brothers who managed office IT for government officials were relieved of their duties in February.
[00:14:51.326 --> 00:14:57.249]  On suspicion that they access specific computer networks without permission, also known as hacking.
[00:14:57.249 --> 00:15:04.072]  And again, remember the entire hysteria we've had for the past 6, 7, 8 months is Russia hacked the DNC.
[00:15:04.072 --> 00:15:13.436]  Well here we have individuals with direct ties to terrorist organizations, also with direct access to the DNC, literally with the passwords.
[00:15:13.436 --> 00:15:16.017]  This is the biggest scandal since Seth Rich.
[00:15:16.017 --> 00:15:20.199]  It's getting no attention whatsoever, nowhere near the attention it should have received.
[00:15:21.147 --> 00:15:30.548]  Debbie Wasserman Schultz continued to pay Imran Awan for five months for IT services after he was banned from house computers.
[00:15:31.263 --> 00:15:38.468]  According to reports earlier this week, Imran Awan was still employed by Wasserman Schultz after his arrest on Monday night.
[00:15:38.468 --> 00:15:45.794]  David Damron, spokesman for Wasserman Schultz, told Fox News reporter Chad Pergram that Awan was terminated on Tuesday.
[00:15:45.794 --> 00:15:49.416]  Five months after this came out, he was still employed by her.
[00:15:49.416 --> 00:15:52.779]  So why was Imran still being paid?
[00:15:52.779 --> 00:15:55.901]  Wasserman Schultz has some explaining to do.
[00:15:55.901 --> 00:15:57.362]  Fast forward to last night,
[00:15:58.095 --> 00:16:06.060]  Where Lieutenant Colonel Tony Schaffer appeared on Tucker Carlson's show, hosted by filling host Laura Ingram.
[00:16:06.060 --> 00:16:13.204]  Just when you thought the case surrounding the Awan brothers could not get any darker, a new piece of news emerges.
[00:16:13.204 --> 00:16:24.750]  Lieutenant Colonel Tony Schaffer revealed to Laura Ingram that Pakistani IT staffers were sending sensitive information to the Muslim Brotherhood.
[00:16:24.750 --> 00:16:25.671]  Let's go to the clip.
[00:16:26.514 --> 00:16:30.336]  So that's why the Capitol Hill police rolled in saying there's something wrong here.
[00:16:30.336 --> 00:16:32.137]  And now the FBI has rolled in.
[00:16:32.137 --> 00:16:35.638]  And let me give you the big takeaway here.
[00:16:35.638 --> 00:16:39.340]  It looks like a foreign intelligence service may be the recipient of all this.
[00:16:39.340 --> 00:16:41.961]  And something called the Muslim Brotherhood.
[00:16:41.961 --> 00:16:42.641]  Whoa, whoa, whoa.
[00:16:42.641 --> 00:16:43.682]  The Muslim Brotherhood?
[00:16:44.582 --> 00:16:46.745]  Oh, they're going to really say it's a conspiracy theory now.
[00:16:46.745 --> 00:16:50.068]  It's really a conspiracy now, but that's where apparently all this has been going in law enforcement.
[00:16:50.068 --> 00:16:53.072]  That's why the FBI is now investigating beyond the wire.
[00:16:53.072 --> 00:17:02.442]  Well, these brothers have been kicking around Capitol Hill in various capacities for IT, but they essentially were blacklisted by most of the other Democrats, correct?
[00:17:03.163 --> 00:17:04.264]  So there you have it.
[00:17:27.594 --> 00:17:40.018]  Direct connections feeding intel to the Muslim Brotherhood while having secure high-level access within the DNC, wiring $300,000 to Pakistan, smashing up hard drives.
[00:17:40.018 --> 00:17:48.121]  Bear in mind the Muslim Brotherhood is basically the umbrella, the parent organization to terrorist groups like Al-Qaeda and Hamas.
[00:17:48.121 --> 00:17:55.163]  Looks like these guys are working for them and they're running Debbie Wasserman Schultz and the DNC's IT.
[00:17:56.129 --> 00:18:00.690]  With direct password to her iPad to all the secure systems.
[00:18:00.690 --> 00:18:08.293]  How is that not a massive foreign government, foreign terrorist organisation collusion scandal?
[00:18:08.293 --> 00:18:10.554]  That is absolutely huge.
[00:18:10.554 --> 00:18:17.196]  That is a giant scandal, bigger than anything that's come out of this Russia-Trump collusion investigation.
[00:18:17.196 --> 00:18:18.776]  It's being covered nowhere.
[00:18:18.776 --> 00:18:20.457]  Fox News and that is it.
[00:18:22.532 --> 00:18:34.926]  Conservative media, the online media, have been talking about it all week, relentlessly, trying to push it into the headlines, trying to force the likes of CNN just to cover it, even if it's to dismiss it.
[00:18:34.926 --> 00:18:37.288]  Nothing, nothing whatsoever.
[00:18:37.288 --> 00:18:38.890]  Now this gets even more bizarre because
[00:18:39.944 --> 00:18:42.587]  Imran Awan's attorney actually came out.
[00:18:42.587 --> 00:18:59.906]  His defence, even after the smashed up hard drives, wiring $300,000 to Pakistan, the links to the Muslim Brotherhood, him and his wife carrying 12 grand in cash through an airport, or attempting to, even after all that, and all the other criminal charges against him,
[00:19:01.249 --> 00:19:03.210]  He blamed Islamophobia.
[00:19:03.210 --> 00:19:05.071]  Yes, you guessed it.
[00:19:05.071 --> 00:19:06.812]  None of that is evidence.
[00:19:06.812 --> 00:19:08.033]  Ignore all that.
[00:19:08.033 --> 00:19:08.513]  No.
[00:19:08.513 --> 00:19:14.457]  The reason he's being persecuted, the reason he's being arrested is because of Islamophobia.
[00:19:14.457 --> 00:19:17.339]  The right wing, and wait for it, wait for it.
[00:19:17.339 --> 00:19:18.399]  Pizzagate.
[00:19:18.399 --> 00:19:24.023]  Yes, he actually mentioned Pizzagate as one of the reasons for this guy being arrested.
[00:19:24.023 --> 00:19:25.704]  That's his lawyer's defence.
[00:19:26.485 --> 00:19:27.986]  None of these charges are true.
[00:19:27.986 --> 00:19:29.508]  None of it even exists.
[00:19:29.508 --> 00:19:33.471]  The only reason he's been persecuted is because of Islamophobia.
[00:19:33.471 --> 00:19:50.485]  Once again, they turn to identity politics, literally, to try to wriggle out of criminal charges, a massive scandal involving foreign collusion, deep access to the IT systems of the DNC, and even collusion with a foreign terrorist group.
[00:19:51.853 --> 00:19:53.595]  Absolutely huge scandal.
[00:19:53.595 --> 00:19:56.277]  There's more on this and we're going to get to that after the break.
[00:19:56.277 --> 00:19:57.979]  This is the Alex Jones Show live.
[00:19:57.979 --> 00:20:00.481]  FrankyNewsAtInfoWars.com.
[00:20:00.481 --> 00:20:01.161]  Don't go away.
[00:20:01.161 --> 00:20:01.822]  We'll be back.
[00:20:06.432 --> 00:20:07.833]  It's time to get greedy.
[00:20:07.833 --> 00:20:09.694]  A real zinc shortage is upon us.
[00:20:09.694 --> 00:20:17.779]  The Wall Street Journal says zinc supplies are down to three weeks, mine supplies struggling to meet demand, and no major discoveries in the last 22 years.
[00:20:17.779 --> 00:20:18.720]  What's it mean for you?
[00:20:18.720 --> 00:20:24.724]  Keith Neumeyer, who's made hundreds of millions investing in hard asset mining plays, is making his biggest call yet.
[00:20:24.724 --> 00:20:30.327]  Download a special zinc report at futuremoneytrends.com forward slash z. Don't wait.
[00:20:30.327 --> 00:20:34.730]  Get your special zinc report today at futuremoneytrends.com forward slash z.
[00:20:35.971 --> 00:20:38.273]  At Humalife, we believe your health is your wealth.
[00:20:38.273 --> 00:20:45.277]  That's why we offer an exclusive potent and pure selection of OMRI certified 100% organic humic and fulvic acid concentrates.
[00:20:45.277 --> 00:20:50.621]  These two acids stop viruses and harmful bacteria and increase frequency, vibration, and vitality.
[00:20:50.621 --> 00:20:52.782]  In fact, they're called the missing link to your health.
[00:20:52.782 --> 00:20:56.845]  Pure liquid organic ATP energy rebuilds and regrows the immune system.
[00:20:56.845 --> 00:20:58.325]  You are the doctor at Humalife.
[00:20:58.325 --> 00:21:00.207]  You know best because you are the test.
[00:21:00.207 --> 00:21:02.668]  Find out more at HumalifeUSA.com.
[00:21:02.668 --> 00:21:03.829]  That's HumalifeUSA.com.
[00:21:05.615 --> 00:21:11.376]  Today, I'm excited to announce that a new limited shipment of DNA Force has finally arrived at the M4's warehouse in Austin, Texas.
[00:21:11.376 --> 00:21:17.417]  We have thousands of listeners on the waiting list who've signed up for AutoShip to receive out-of-stock products like DNA Force.
[00:21:17.417 --> 00:21:19.938]  And we are now once again expected to sell out very, very soon.
[00:21:19.938 --> 00:21:27.840]  And when it comes to a formula that is such a game-changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[00:21:27.840 --> 00:21:33.961]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systematic enzymes,
[00:21:34.301 --> 00:21:37.343]  NAR, lipoic acid, BioPQQ and many others.
[00:21:37.343 --> 00:21:42.027]  BioPQQ alone is backed by an unprecedented 175 clinical studies.
[00:21:42.027 --> 00:21:45.770]  And just one batch of this stuff costs us more than $30,000.
[00:21:45.770 --> 00:21:48.472]  Visit InfoWarsLife.com and read the reviews for yourself.
[00:21:48.472 --> 00:21:56.578]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third-party certified review agency, Power Review.
[00:21:56.578 --> 00:22:02.122]  Take advantage of this new limited shipment and get DNA Force today at InfoWarsLife.com before it sells out again.
[00:22:02.122 --> 00:22:03.263]  That's InfoWarsLife.com.
[00:22:05.134 --> 00:22:10.257]  The answer to being in control of your own health care is freedom from insurance.
[00:22:10.257 --> 00:22:15.960]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[00:22:15.960 --> 00:22:21.143]  Individual share amounts begin at $107 a month and $347 for families.
[00:22:21.143 --> 00:22:23.084]  Choose from three health sharing programs.
[00:22:23.084 --> 00:22:25.486]  Holistic treatments may be eligible for sharing.
[00:22:25.486 --> 00:22:26.426]  See guidelines.
[00:22:26.426 --> 00:22:29.708]  Discount programs available for dental, vision, and pharmacy.
[00:22:29.708 --> 00:22:31.669]  Go to LibertyOnCall.org.
[00:22:31.669 --> 00:22:33.490]  That's LibertyOnCall.org.
[00:22:34.952 --> 00:22:36.833]  Fully cooked, ready-to-eat bacon.
[00:22:36.833 --> 00:22:40.076]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:22:40.076 --> 00:22:41.677]  Savory and delicious.
[00:22:41.677 --> 00:22:44.499]  I buy some, I use some, I store some.
[00:22:44.499 --> 00:22:45.159]  Awesome.
[00:22:45.159 --> 00:22:48.261]  No refrigeration needed with a 10-year shelf life.
[00:22:48.261 --> 00:22:49.823]  NASA PAC Technology.
[00:22:49.823 --> 00:22:50.443]  Bacon.
[00:22:50.443 --> 00:22:54.606]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[00:22:54.606 --> 00:22:56.027]  Or warm and served.
[00:22:56.027 --> 00:22:58.088]  Life-saving, ready-to-eat bacon.
[00:22:58.088 --> 00:23:00.030]  10-year shelf life bacon.
[00:23:00.030 --> 00:23:02.812]  Ships free at FullyCookedBacon.com.
[00:23:02.812 --> 00:23:04.033]  FullyCookedBacon.com.
[00:23:05.033 --> 00:23:06.314]  Maybe not today.
[00:23:06.314 --> 00:23:07.595]  Maybe not tomorrow.
[00:23:07.595 --> 00:23:11.338]  But soon, you'll need a plan and place to survive.
[00:23:11.338 --> 00:23:12.419]  Forget bunkers.
[00:23:12.419 --> 00:23:14.241]  You're not a live underground gopher.
[00:23:14.241 --> 00:23:15.962]  You need Survivalist Camps.
[00:23:15.962 --> 00:23:23.748]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[00:23:23.748 --> 00:23:24.769]  Bold statement?
[00:23:24.769 --> 00:23:25.750]  You bet.
[00:23:25.750 --> 00:23:28.231]  See them now at survivalistcamps.com.
[00:23:28.231 --> 00:23:30.453]  That's survivalistcamps.com.
[00:23:30.453 --> 00:23:33.235]  Trust your family's survival to survivalistcamps.com.
[00:23:34.637 --> 00:23:41.081]  KD Armor has been on a mission to manufacture the most comfortable body armor on the market, and we've succeeded.
[00:23:41.081 --> 00:23:48.145]  With the release of our CQB technology, we now offer the most comfortable, concealable, rifle-threat body armor available.
[00:23:48.145 --> 00:23:52.028]  Things may look good now, but what if you need added protection?
[00:23:52.028 --> 00:23:57.271]  Get your very own concealable rifle-threat armor today at KDArmor.com.
[00:23:57.271 --> 00:24:02.834]  And for a limited time, get all plates at wholesale pricing only at CATIArmor.com.
[00:24:18.543 --> 00:24:22.767]  We're back live on the Alex Jones Show.
[00:24:22.767 --> 00:24:30.654]  Coming up in the next segment, we have Roger Stone joining us with huge breaking news regarding all things President Trump.
[00:24:30.654 --> 00:24:31.574]  We're going to get into that.
[00:24:31.574 --> 00:24:43.745]  We're also going to get back to the huge scandal regarding the Pakistani IT staffer arrested after having been smashed his hard drive, tried to wire $300,000 to Pakistan and was actually successful in doing so.
[00:24:44.460 --> 00:24:48.102]  First, I want to tell you about the last week of July specials.
[00:24:48.102 --> 00:24:53.285]  It's absolutely crucial that you support us here at Infowars.com by getting the products.
[00:24:53.285 --> 00:24:55.666]  We're under constant media assault.
[00:24:55.666 --> 00:25:02.550]  Your support has enabled us to grow, to thrive, even in the face of this daily onslaught.
[00:25:03.163 --> 00:25:04.285]  Which we don't even talk about.
[00:25:04.285 --> 00:25:08.951]  I mean, there is such a deluge of hit pieces every single day, we don't even get the chance to talk about them.
[00:25:08.951 --> 00:25:10.032]  And why should we?
[00:25:10.032 --> 00:25:11.695]  Why should we always be on the defensive?
[00:25:11.695 --> 00:25:17.662]  We should get on the offensive, and we've been able to remain on the offensive with the help of you getting the products.
[00:25:18.383 --> 00:25:24.064]  Absolutely gigantic discounts available at InfoWarsStore.com.
[00:25:24.064 --> 00:25:29.186]  Now is the time to stock up because next week these discounts are all going to be gone.
[00:25:29.186 --> 00:25:35.427]  This is basically the final call over the next couple of days to get these discounts.
[00:25:35.427 --> 00:25:37.627]  57% off Super Female Vitality.
