[00:00:13.151 --> 00:00:16.192]  Welcome to this live edition of the InfoWars Nightly News.
[00:09:51.226 --> 00:09:53.508]  That's the state of the attack on InfoWars.
[00:09:53.528 --> 00:09:54.950]  They're coming at us at every level.
[00:09:55.510 --> 00:10:02.197]  Trying to attack the way we fund ourselves, trying to mock us in the media, and Watson sums it up this way.
[00:10:02.458 --> 00:10:06.942]  He says the fact that an Alex Jones character has been written into this show tells us two things.
[00:10:07.002 --> 00:10:10.626]  Number one, we're part of the cultural zeitgeist and we can't be ignored.
[00:10:10.666 --> 00:10:11.167]  Number two,
[00:10:11.767 --> 00:10:22.773]  The establishment knows that young people don't watch TV news, they don't trust mainstream media, so they have to resort to propaganda placement by smearing Alex Jones through the media of fictional entertainment.
[00:10:23.534 --> 00:10:25.174]  Let's take a look at what's going on with the news today.
[00:10:25.195 --> 00:10:32.959]  Of course, in financial circles, we now have the Feds, the masters of the economy, the people who are unelected, unaccountable.
[00:10:33.439 --> 00:10:35.921]  We're not even allowed to audit them, this private organization.
[00:10:35.961 --> 00:10:40.083]  They're now saying that they see a rate hike, another one, coming fairly soon.
[00:10:40.123 --> 00:10:44.586]  And of course, we didn't have rate hikes for a very, very long time under the Obama administration.
[00:10:44.626 --> 00:10:48.888]  They did everything to keep interest rates low to try to help the Obama administration.
[00:10:48.928 --> 00:10:54.151]  And we've already had one rate hike after the election, and they're getting ready to do another.
[00:10:54.191 --> 00:11:00.875]  As a matter of fact, after they did that first rate hike, they signaled the fact that they were looking at another three rate hikes after that.
[00:11:00.915 --> 00:11:02.256]  We've seen this all before, haven't we?
[00:11:02.856 --> 00:11:10.600]  We saw the Fed artificially drop interest rates continuously for a very long time, basically creating a kind of trough, if you looked at the graph.
[00:11:11.140 --> 00:11:25.428]  Dropping interest rates successively for a very long time, holding them there, creating a bubble economy, and then through a series of rapid rates about one quarter of a point, about every quarter, they burst that balloon.
[00:11:25.488 --> 00:11:28.769]  That's what brought us, that's a key part of what brought us the housing crisis.
[00:11:29.109 --> 00:11:29.610]  And so now,
[00:11:30.310 --> 00:11:34.331]  We have the GOP dragging their feet on a tax cut, of course dragging their feet on Obamacare.
[00:11:34.371 --> 00:11:36.691]  Now Trump is going to take the lead on this, he said.
[00:11:37.151 --> 00:11:49.134]  He's going to give us something in the beginning to the middle of March, and he's going to have to take the lead because the Republicans, even though we've elected them to do this a couple of years ago, they will not take the lead in getting rid of the financial burdens of Obamacare.
[00:11:49.394 --> 00:11:50.754]  So that's going to have to come from Trump.
[00:11:50.794 --> 00:11:54.795]  Hopefully that's going to happen within the next couple weeks, but then also there's the issue of tax cuts.
[00:11:55.655 --> 00:12:02.497]  Are they going to drag their feet on that while the Federal Reserve is allowed to continually raise interest rates?
[00:12:02.537 --> 00:12:04.058]  It's going to be very interesting to see what happens.
[00:12:04.098 --> 00:12:16.802]  Federal Reserve officials have expressed confidence that they can raise interest rates gradually, yeah, and continuously, I would add, while a hike fairly soon might be appropriate to avoid the risk of an overheated economy.
[00:12:17.361 --> 00:12:20.844]  Minutes of the Federal Open Market Committee's latest meeting show.
[00:12:20.864 --> 00:12:22.925]  There is nothing open about their committee, folks.
[00:12:22.945 --> 00:12:24.986]  Let's just understand that.
[00:12:25.387 --> 00:12:30.150]  This is wrong on so many different levels, but of course they're going to manipulate this politically.
[00:12:30.210 --> 00:12:31.331]  It's a private organization.
[00:12:31.671 --> 00:12:33.693]  They don't just get rich off of this.
[00:12:33.733 --> 00:12:35.414]  They also manipulate our economy.
[00:12:36.348 --> 00:12:38.390]  Now at the same time, we see some positive news.
[00:12:38.850 --> 00:12:45.837]  I don't know how long this is going to last, but CIA arms for Syrian rebels have frozen amid infighting.
[00:12:45.917 --> 00:12:49.280]  Now this is, no official explanation is offered for the freeze.
[00:12:49.300 --> 00:12:50.682]  This is coming from antiwar.com.
[00:12:50.702 --> 00:13:01.492]  They say sources are confirming that the CIA's long-standing arms smuggling program for quote-unquote moderate Syrian rebels has been frozen since earlier this month.
[00:13:01.932 --> 00:13:09.558]  With a move coinciding with the beginning of infighting between the Free Syrian Army and Al-Qaeda's Al-Nusra Front.
[00:13:09.898 --> 00:13:12.180]  And they talk about the fact that these guys are fighting each other.
[00:13:12.200 --> 00:13:13.862]  Look, that's absolute nonsense.
[00:13:13.982 --> 00:13:17.985]  The real infighting is going on within the Pentagon and the CIA.
[00:13:18.025 --> 00:13:19.566]  They're the ones who started this war.
[00:13:19.606 --> 00:13:21.808]  They're the ones who are arming these rebels.
[00:13:21.848 --> 00:13:23.409]  There are no moderate rebels.
[00:13:23.549 --> 00:13:29.134]  These people, no matter what they want to call themselves, we see Al-Nusra has now become Al-Qaeda as well.
[00:13:29.734 --> 00:13:31.995]  They're just different aliases that they adopt.
[00:13:32.375 --> 00:13:33.756]  And we can go back and look at this.
[00:13:34.016 --> 00:13:43.480]  I wonder if this freezing of CIA shipments was due to Michael Flynn being there or if he didn't have a chance to have much of an effect there.
[00:13:43.500 --> 00:13:47.161]  Now we're going back to December of 2015.
[00:13:47.621 --> 00:13:51.743]  Remember we had Seymour Hersh come out and talk about what was going on in Syria.
[00:13:52.123 --> 00:13:53.384]  He said the White House knew
[00:13:54.164 --> 00:13:54.885]  That the U.S.
[00:13:54.925 --> 00:13:56.386]  was arming the Islamic State.
[00:13:56.406 --> 00:13:59.147]  Of course, this is Pulitzer Prize-winning journalist Seymour Hersh.
[00:13:59.508 --> 00:14:07.633]  He says that Obama, and in particular the CIA, knowingly armed militant Islamists in Syria, including the Islamic State.
[00:14:08.053 --> 00:14:23.624]  He said Obama's repeated insistence that Assad must leave office and that there are moderate rebel groups in Syria capable of defeating him has in recent years provoked quiet dissent, even overt opposition, among some of the most senior officers in the Pentagon's joint staff.
[00:14:24.424 --> 00:14:29.129]  And interestingly enough, when he's talking about this, he talks about General Flynn.
[00:14:29.529 --> 00:14:32.972]  And it was General Flynn who openly talked about this as well.
[00:14:33.412 --> 00:14:36.195]  That's one of the reasons we're so upset that he was removed.
[00:14:36.215 --> 00:14:43.982]  At least many of us who understand what's going on here, who understand that it is a CIA project to arm the rebels in Syria.
[00:14:45.023 --> 00:14:59.192]  But a highly classified 2013 Defense Intelligence Agency Joint Chief of Staff report on Syria forecast that the fall of the Assad regime would lead to chaos and possibly to Islamist extremists taking over Syria.
[00:14:59.532 --> 00:14:59.952]  Imagine!
[00:15:00.552 --> 00:15:01.353]  Can you imagine something?
[00:15:01.413 --> 00:15:02.253]  Well, of course we can.
[00:15:02.293 --> 00:15:03.694]  We've seen that happen in Iraq.
[00:15:03.734 --> 00:15:04.915]  We saw it happen in Libya.
[00:15:05.175 --> 00:15:07.657]  It happens every time they do this regime change.
[00:15:08.197 --> 00:15:11.358]  We always see things go from bad to far worse.
[00:15:11.918 --> 00:15:13.558]  Hirsch reported that Lt.
[00:15:13.758 --> 00:15:14.098]  Gen.
[00:15:14.178 --> 00:15:26.842]  Michael Flynn, director of the DIA between 2012 and 2014, told him that his agency sent a, quote, constant stream of warnings to the civilian leadership about the dire consequences of ousting Assad.
[00:15:27.442 --> 00:15:31.723]  And Hirsch quotes Flynn, saying, I felt they did not want to hear the truth.
[00:15:32.623 --> 00:15:36.244]  Now we've seen the CIA, working with the Washington Post,
[00:15:37.062 --> 00:15:43.545]  And of course, The Washington Post, owned by Jeff Bezos, who has a massive contract, data contract, with the CIA.
[00:15:43.705 --> 00:15:45.626]  A $600 million contract three years ago.
[00:15:45.646 --> 00:15:47.567]  I don't know how large that contract is today.
[00:15:47.987 --> 00:15:48.908]  I'm sure it's much higher.
[00:15:49.568 --> 00:15:52.649]  Working together, they've now pushed General Flynn out.
[00:15:53.390 --> 00:15:56.151]  And we now have McMaster's taking his place.
[00:15:56.271 --> 00:15:59.833]  Now, McMaster's is a CFR member.
[00:15:59.893 --> 00:16:03.595]  He's part of the establishment, but he has also talked
[00:16:04.455 --> 00:16:05.576]  About Vietnam.
[00:16:05.616 --> 00:16:10.139]  He talked about the fact that civilian leadership was not listening to the military.
[00:16:10.179 --> 00:16:14.523]  The military was not doing their job in terms of telling them what was going on in Vietnam.
[00:16:14.623 --> 00:16:17.225]  Hopefully he will tell the truth.
[00:16:17.285 --> 00:16:19.366]  Hopefully he will move them in the right direction.
[00:16:19.386 --> 00:16:20.347]  But we'll have to wait and see.
[00:16:20.967 --> 00:16:23.289]  This could have been a coup.
[00:16:23.509 --> 00:16:25.331]  It certainly looks like it at this point.
[00:16:25.651 --> 00:16:27.412]  Against somebody who would tell the truth.
[00:16:27.652 --> 00:16:30.955]  Who would work against the CIA's secret war in Syria.
[00:16:32.213 --> 00:16:40.864]  Now the CNN, which we're going to find out more about tomorrow, is talking about, surprisingly, how Trump could change the fabric of the U.S.
[00:16:40.904 --> 00:16:42.166]  without changing its laws.
[00:16:42.266 --> 00:16:42.787]  Imagine that.
[00:16:43.467 --> 00:16:47.793]  Could a president change the fabric of society without changing its laws?
[00:16:47.813 --> 00:16:48.494]  Well, of course they could.
[00:16:48.534 --> 00:16:50.036]  We just saw Barack Obama do it.
[00:16:50.686 --> 00:16:56.608]  They say he's instructed the Department of Homeland Security to reinterpret the laws on immigration and to start building a border wall.
[00:16:57.148 --> 00:17:05.111]  He's told the State Department to reinterpret visas and refugees and HHS to reinterpret aspects of Obamacare.
[00:17:05.412 --> 00:17:06.692]  The EPA could be next.
[00:17:07.152 --> 00:17:07.993]  Yeah, you can bet it is.
[00:17:08.413 --> 00:17:09.613]  You can absolutely bet it is.
[00:17:09.913 --> 00:17:11.454]  Listen, what has happened here?
[00:17:12.014 --> 00:17:20.096]  We had Barack Obama say how many dozens of times early in his administration, hey, y'all want me to do something about immigration, but I'm not a dictator.
[00:17:20.156 --> 00:17:21.656]  I have to follow the laws.
[00:17:21.736 --> 00:17:23.897]  It's Congress that makes those laws, so forth and so on.
[00:17:23.917 --> 00:17:25.977]  But towards the end of his administration, he just did it.
[00:17:26.717 --> 00:17:28.018]  He just did it by executive order.
[00:17:28.498 --> 00:17:32.139]  So if he's going to do it by executive order, it can be undone by executive order.
[00:17:32.219 --> 00:17:33.279]  It was Barack Obama.
[00:17:34.059 --> 00:17:36.781]  Who changed the fabric of America.
[00:17:37.161 --> 00:17:39.143]  And of course CNN was cheering him on.
[00:17:39.463 --> 00:17:40.464]  Now they're afraid.
[00:17:40.924 --> 00:17:44.727]  They're afraid that we've got somebody that is going to operate by executive order.
[00:17:44.807 --> 00:17:46.248]  And we said this when it happened.
[00:17:46.888 --> 00:17:49.710]  We said the liberals need to understand where this is going.
[00:17:49.951 --> 00:17:54.134]  There's going to be a day where they're going to have a president that they don't agree with.
[00:17:54.154 --> 00:17:55.555]  Well that day has now come.
[00:17:56.271 --> 00:17:56.571]  I don't know.
[00:18:13.686 --> 00:18:15.467]  The Congress had been elected by the people.
[00:18:15.507 --> 00:18:17.027]  It wasn't the will of the people to do that.
[00:18:17.568 --> 00:18:22.149]  And the bureaucracy that creates the rules is the other aspect of the executive branch.
[00:18:22.189 --> 00:18:25.551]  It's not just executive orders, but it is the bureaucracy that has done this.
[00:18:26.031 --> 00:18:30.672]  And now this bureaucracy is going to see those rules change very quickly with the EPA.
[00:18:30.713 --> 00:18:36.175]  We're going to take a quick break, and when we come back, we're going to talk about two examples of this that have surfaced already.
[00:18:36.615 --> 00:18:41.517]  First, the transgender rules that we see coming up, and then we're going to talk about the EPA.
[00:18:41.637 --> 00:18:42.357]  We'll be right back.
[00:18:59.534 --> 00:19:01.135]  This is one of the biggest secrets out there.
[00:19:02.062 --> 00:19:02.122]  The
[00:19:22.561 --> 00:19:30.784]  That humans, just an average farmer of 10,000 years ago in England, was stronger than Olympic athletes today.
[00:19:30.924 --> 00:19:37.086]  In the final equation, everyone knows our modern society has lost its vitality.
[00:19:37.967 --> 00:19:39.807]  The sperm counts are down like 90%.
[00:19:40.808 --> 00:19:42.028]  People are falling apart.
[00:19:42.088 --> 00:19:43.068]  They're totally depressed.
[00:19:43.088 --> 00:19:43.629]  They're unhappy.
[00:19:44.209 --> 00:19:45.189]  What is going on?
[00:19:46.470 --> 00:19:50.311]  Every ancient culture was obsessed
[00:19:51.550 --> 00:19:54.132]  With what I'm about to reveal to you.
[00:19:54.512 --> 00:19:56.234]  Today, we call it bone broth.
[00:19:56.414 --> 00:20:03.440]  And for thousands of years, our ancestors enjoyed its benefits before it became a loss to our modern diets of processed junk.
[00:20:03.660 --> 00:20:11.987]  That's why I'm so excited to announce the product that is undoubtedly the jewel in the crown of InfoWars Life products.
[00:20:13.379 --> 00:20:19.885]  Caveman, we lost our vitality because we just ignored the ancient traditions.
[00:20:20.286 --> 00:20:23.689]  Everyone knew that you used all the parts of the animal.
[00:20:23.749 --> 00:20:26.872]  You used the skin to cover yourself for shelter.
[00:20:27.473 --> 00:20:32.558]  You used the meat for sustenance, the fat for cooking, but you used the bones for strength.
[00:20:33.078 --> 00:20:46.942]  We are now introducing Caveman by Infowarsline.com, the ultimate in true paleo nutrition with bone broth, turmeric roots, chaga mushroom, and seven total primal superfoods in a single great-tasting formula.
[00:20:47.042 --> 00:20:48.482]  The bone is so amazing.
[00:20:48.922 --> 00:20:54.504]  From the outside structure full of minerals and key cofactors to the marrow that produces the blood for the body.
[00:20:55.646 --> 00:20:58.568]  This is the engine of the life essence.
[00:20:59.108 --> 00:21:04.532]  I've made a lot of important points here, but this is the one you need to research for yourself because it's so key.
[00:21:04.832 --> 00:21:14.298]  High quality bone broth helps support healthy muscles and connective tissue, while the active compounds in turmeric do battle on the cellular level and help fight free radicals.
[00:21:14.558 --> 00:21:19.121]  And collagen is essential to aid healthy tendons, ligaments, and muscle tissue.
[00:21:19.361 --> 00:21:21.142]  This is a absolute win-win.
[00:21:21.202 --> 00:21:23.982]  You get an amazing product produced right here in America.
[00:21:24.262 --> 00:21:30.384]  You support InfoWars and all we're doing to promote freedom and the restoration of our Republic and promotion of freedom worldwide.
[00:21:31.664 --> 00:21:40.407]  The journey towards better health and giving our bodies these amazing compounds that God created starts at InfoWarsLife.com.
[00:21:40.567 --> 00:21:44.968]  Three years in the making, incredible research, and the very best ingredients.
[00:21:45.488 --> 00:21:48.109]  I'm Alex Jones, and I may not be a caveman,
[00:21:48.800 --> 00:21:52.104]  But compared to these trendies out there in the street, I'm as close as it gets.
[00:21:52.504 --> 00:21:55.908]  Join me at InfoWarsLive.com and get your caveman formula today.
[00:21:59.383 --> 00:22:02.684]  The globalist social engineers are not just targeting us with propaganda.
[00:22:02.844 --> 00:22:05.104]  They are manipulating our genetics.
[00:22:05.264 --> 00:22:13.647]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:22:13.907 --> 00:22:17.267]  The key is to be aware of this attack and to fight back against it.
[00:22:17.407 --> 00:22:27.730]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:22:28.050 --> 00:22:35.335]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:22:35.515 --> 00:22:37.436]  I've always believed in nutrition and herbs.
[00:22:37.776 --> 00:22:45.341]  Super Mill Vitality was developed to activate your body's own natural processes, instead of using synthetic chemicals.
[00:22:45.721 --> 00:22:51.885]  Super Mel Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:22:52.185 --> 00:22:59.109]  Visit InfoWarsLife.com today to secure your Super Mel Vitality and other powerful products from InfoWars Life.
[00:23:08.985 --> 00:23:12.066]  Welcome back to this live edition of the InfoWars Nightly News.
[00:23:12.146 --> 00:23:12.766]  I'm David Knight.
[00:23:13.367 --> 00:23:18.088]  And of course, this is our fundraiser that we're doing as part of our 13-hour live broadcast.
[00:23:18.128 --> 00:23:21.029]  We've seen Google's surrogate block our advertisement.
[00:23:21.489 --> 00:23:25.411]  We've seen videos with millions of views taken down in just the last week or so.
[00:23:25.491 --> 00:23:28.272]  And just last night, as I pointed out at the beginning of the broadcast,
[00:23:28.812 --> 00:23:43.400]  My report on censorship in Sweden and how the government there was suppressing information, threatening the police who blew the whistle on the massive crime wave that had been created by migrants there, that video itself was put onto an R restriction.
[00:23:44.437 --> 00:23:50.521]  So we're back with this live broadcast, and I hope if you're not a subscriber that you'll consider supporting our operation in that way.
[00:23:50.941 --> 00:23:53.263]  But take a look at the products that we have at Infowars Life.
[00:23:54.043 --> 00:23:57.565]  We have some great products, and it's not a political product.
[00:23:57.585 --> 00:23:58.886]  That's how we fund our operation.
[00:23:59.347 --> 00:24:01.688]  They have said you cannot have political ads.
[00:24:01.708 --> 00:24:02.629]  Well, they're not political ads.
[00:24:02.669 --> 00:24:07.512]  These are ads for supplements that they're now taking down from sites that are not political.
[00:24:08.412 --> 00:24:10.274]  But I want to talk about Trump's cabinet.
[00:24:10.919 --> 00:24:20.902]  And as I just mentioned in the last block, we've had General Flynn now been moved out of the cabinet, even though we've seen CIA armed shipments to ISIS being stopped now for the last month.
[00:24:21.282 --> 00:24:22.602]  Will those resume now?
[00:24:23.002 --> 00:24:24.603]  Is the CIA going to win with this?
[00:24:25.143 --> 00:24:32.665]  Also, very troubling, is news that Trump might be willing to remove Steve Bannon from the National Security Council.
[00:24:32.685 --> 00:24:33.845]  This came out of Fox News.
[00:24:34.185 --> 00:24:37.026]  White House Press Secretary Sean Spicer said yesterday,
[00:24:37.586 --> 00:24:47.928]  But if President Trump's newly appointed National Security Advisor wanted to remove Chief Strategist Steve Bannon from the National Security Council's Principles Committee, the President would take that under serious consideration.
[00:24:48.489 --> 00:24:58.331]  See, the media is pushing for Steve Bannon to be taken out, just like they pushed to get David Petraeus in as Secretary of State or as National Security Advisor.
[00:24:59.071 --> 00:25:02.013]  It's not any question what the mainstream media wants.
[00:25:02.033 --> 00:25:08.157]  They say the president has made it clear to him that he's got full authority to structure the national security team the way he wants.
[00:25:08.217 --> 00:25:13.140]  So the media comes in and talks to the White House press secretary, putting that idea out there.
[00:25:13.481 --> 00:25:14.661]  Shouldn't we get Bannon out?
[00:25:14.681 --> 00:25:16.943]  And this is not the first time they've been attacking Bannon.
[00:25:16.963 --> 00:25:19.745]  Of course, the last couple of weeks, they've been all over him.
[00:25:20.225 --> 00:25:23.967]  We've seen a close-up image of him filling the cover of Time magazine.
[00:25:24.007 --> 00:25:31.612]  We've seen Saturday Night Live mocking him, but also setting him up as if he was a real power in the White House.
[00:25:32.273 --> 00:25:35.275]  Now, we've had strong advisors to former presidents.
[00:25:35.335 --> 00:25:38.056]  We had Henry Kissinger with Richard Nixon.
