[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[00:02:26.090 --> 00:02:27.010]  Oh yeah, yeah.
[00:02:27.070 --> 00:02:29.131]  But then he got out after a couple years.
[00:02:30.151 --> 00:02:33.992]  He still had the cover up going big time in Nebraska.
[00:02:34.012 --> 00:02:37.693]  That's when I wrote the book and just said, you know, same old thing.
[00:02:37.873 --> 00:02:45.035]  People in very high up places from judges to police chiefs to others who are participating in the
[00:02:45.976 --> 00:02:52.364]  Larry King was a very evil person who stole money, was involved in child abuse, satanism, and all these other things.
[00:02:52.744 --> 00:02:53.926]  That's what this book documents.
[00:02:54.346 --> 00:02:55.328]  He was an evil person.
[00:02:55.348 --> 00:02:57.010]  He had a lot of other people connected with him.
[00:02:57.250 --> 00:02:58.432]  He did not act alone.
[00:03:00.626 --> 00:03:09.397]  He was protected and his little time he's going to spend in prison is probably nothing more than a respite.
[00:03:09.997 --> 00:03:13.622]  And I'm sure he's going to be well taken care of when he comes out.
[00:03:14.623 --> 00:03:18.407]  Larry King was merely a functionary of a lot of other people doing a lot of bad things.
[00:03:19.048 --> 00:03:32.081]  The horror De Camp investigated continues unabated to this very day, although local police task forces under the Trump administration have been making arrests regardless of the mainstream media's silence on the issue.
[00:03:32.321 --> 00:03:37.807]  Of course, the very bureaucracy, namely child protective services, continues to be a
[00:03:37.827 --> 00:03:42.974]  According to the Adoption and Foster Care Analysis and Reporting System, there are roughly 415,000 children in foster care.
[00:03:43.014 --> 00:03:46.678]  At least 75% of those children are there simply due to poverty rather than reported abuse.
[00:03:55.970 --> 00:04:09.560]  But it is horror-like what happened to a young girl in Arizona that calls out for something to be done immediately to protect these children and a major overhaul of CPS to be undertaken, beginning in Arizona.
[00:04:09.781 --> 00:04:22.330]  A lawsuit filed in Arizona recounts how a two-year-old victim was taken from her mother, who had not abused her, and placed her into a pornographic pedophile ring that eventually led to the victim nearly being burned to death.
[00:04:22.751 --> 00:04:25.873]  An innocent child, right here in America.
[00:04:26.293 --> 00:04:36.001]  And under Senator John McCain's nose, this dubious foster care system in Arizona rose by 80%, while the rest of the country declined by 22%.
[00:04:36.502 --> 00:04:49.753]  What's more, the foster care system is a revolving door into, in some cases, the abused becoming the abusers, and those abusers becoming yet another statistic of incarceration.
[00:04:49.913 --> 00:04:51.394]  The system is broken.
[00:04:51.574 --> 00:04:54.597]  John Bowne reporting for InfoWords.com.
[00:04:55.925 --> 00:04:58.514]  The system is satanic.
[00:04:58.975 --> 00:05:01.103]  The system is vampiric.
[00:05:07.250 --> 00:05:17.759]  Ladies and gentlemen, this is a dangerous, dangerous time, and Trump warns this new low is dangerous for the whole planet, as we need Russia to deal with North Korea and so much more.
[00:05:18.079 --> 00:05:20.782]  So Alexander, thank you so much for joining us.
[00:05:20.822 --> 00:05:23.284]  Alexander Dugan, geopolitical.ru.
[00:05:23.824 --> 00:05:24.945]  You've got the floor, my friend.
[00:05:24.965 --> 00:05:34.494]  Let's go through who the globalists are, what their aims are, why they hate the United States and Russia so much, and is there any way to stop them before they trigger World War III.
[00:05:36.422 --> 00:05:52.064]  Hi Alex, I'm really happy to to be broadcasted in the United States because I think that your station and your channel and your heroic struggle is a unique
[00:05:52.644 --> 00:06:01.227]  Unique possibility, unique momentum to say the truth that nobody wants to hear.
[00:06:01.707 --> 00:06:13.712]  And first of all, I think that globalists need enemy, but not the right enemy, because the right enemy of globalists are they themselves.
[00:06:14.552 --> 00:06:27.124]  Because they are going to destroy humanity, to exchange the humankind by artificial intelligence, by kind of cyborgs.
[00:06:27.934 --> 00:06:35.360]  And they try to destroy all kind of links of the humanity with its essence.
[00:06:35.720 --> 00:06:44.106]  And that is an essence that is the very, very negative, absolutely negative, satanic plan.
[00:06:44.507 --> 00:06:49.430]  And they need, in order to keep attention elsewhere, they need some enemy.
[00:06:49.931 --> 00:06:54.234]  And they have designated Russia as enemy number one.
[00:06:55.014 --> 00:07:03.457]  It helps for them to deplace attention from the real crimes they commit.
[00:07:04.258 --> 00:07:15.682]  And in the case of Trump, that is trying to reaffirm, reassert America, to regain its almost lost
[00:07:16.252 --> 00:07:16.432]  I think?
[00:07:34.628 --> 00:07:36.869]  They try to control everybody.
[00:07:36.949 --> 00:07:40.790]  They try, they want to divide the people and the countries.
[00:07:41.130 --> 00:08:00.616]  Not because some of countries or regimes are wrong or commit some horrible acts, but because in the agenda of globalists, they should be exposed as such, because they serve for their creation of global world government.
[00:08:22.145 --> 00:08:23.588]  You want to stop tyranny?
[00:08:23.849 --> 00:08:24.991]  Well, so does he.
[00:08:25.492 --> 00:08:30.222]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:33.991 --> 00:08:36.852]  It's Thursday, the 10th day of August 2017.
[00:08:37.012 --> 00:08:45.916]  I was on Coast to Coast AM last night with the great George Norrie, and was unable to go to sleep, basically, after I was on.
[00:08:45.956 --> 00:09:02.302]  I listened to the rest of the show and then laid down on the couch for about an hour, so I'm a little bit out of it today, but we're gonna pound through this because, you know, I could have had Owen Schroeder do a great job and fill in, David Knight's on vacation, but I just wanted to come in because, obviously, these are such incredible times, the good, the bad, and the ugly.
[00:09:05.728 --> 00:09:19.706]  But right now, I want to, before I get into North Korea and China and Russia and the economy and the SWAT team raids on Trump campaign people and just all the rest of it,
[00:09:22.346 --> 00:09:24.547]  And this big story that's on Infowars.com.
[00:09:24.787 --> 00:09:26.408]  It's also on DrudgeReport.com.
[00:09:26.869 --> 00:09:27.849]  Black Sky event.
[00:09:28.390 --> 00:09:31.231]  Feds preparing for widespread power outages across the U.S.
[00:09:31.251 --> 00:09:32.572]  They're preparing for nuclear war.
[00:09:33.453 --> 00:09:41.117]  Trump is not doing the old duck and cover to scare you, which statistically would get you politically in line behind him.
[00:09:41.737 --> 00:09:45.440]  He is not doing that, but he is making preparations.
[00:09:47.041 --> 00:09:48.561]  So it's a very serious situation.
[00:09:50.142 --> 00:09:51.063]  But before I get to that,
[00:09:55.063 --> 00:10:00.887]  I have several hundred news articles in front of me, and each one of them is more insane than the next.
[00:10:04.490 --> 00:10:17.799]  It's like when I was on Coast to Coast AM last night on 600 radio stations, the second biggest radio show in the world, 10 million listeners a night, and George Norrie asked me, he said, what happened with you and Trump?
[00:10:17.819 --> 00:10:19.100]  What goes on behind the scenes?
[00:10:19.840 --> 00:10:23.363]  And I went ahead and just said it, and it was so fantastical.
[00:10:25.523 --> 00:10:29.324]  But this morning I was thinking about it and I was just like, that's not even real.
[00:10:32.826 --> 00:10:42.089]  And we just put this stuff out there and it's like, do people understand we've seized control of the government, at least partially, and are defeating the globalists right now?
[00:10:48.232 --> 00:10:49.952]  They asked, how was Trump introduced to you?
[00:10:50.032 --> 00:10:51.253]  Trump didn't even know who I was.
[00:10:53.574 --> 00:10:53.694]  And...
[00:10:55.080 --> 00:11:03.684]  Patriots in the government heard what I said, looked into what I was documenting, and others were going back to Barry Goldwater.
[00:11:04.065 --> 00:11:08.227]  But I was doing it with a modern megaphone, and they decided to counter the globalists.
[00:11:08.247 --> 00:11:12.149]  It's kind of like six months ago I went, you know, I've not been anti-Israel.
[00:11:14.710 --> 00:11:28.321]  But if Israel doesn't come out against George Soros, who in the WikiLeaks wants to overthrow Israel and supports Islamic Jihad and bombing Jews, then I'm against Israel.
[00:11:28.501 --> 00:11:29.702]  Because Israel is against itself.
[00:11:30.323 --> 00:11:38.049]  And then Israel, I'm not saying I did this, just that it was the timing, Israel came out and said George Soros is an enemy of Israel.
[00:11:38.289 --> 00:11:43.173]  It's like, all we're doing is covering common sense stuff here.
[00:11:44.369 --> 00:11:53.820]  And these labels that we hear out there don't actually fit into the reality of what's going on or how complex things are.
[00:11:57.224 --> 00:12:00.347]  El Cid is the King Arthur of Spain.
[00:12:04.492 --> 00:12:05.013]  Roland
[00:12:08.368 --> 00:12:13.331]  DeShane is the King Arthur of, or the archetypal person of France.
[00:12:13.351 --> 00:12:16.873]  Everybody will think, oh that's the Dark Tower, that's Stephen King.
[00:12:16.913 --> 00:12:25.198]  No, that's, Stephen King took the mythos of France and made a character, the gunslinger, who's fighting Satan.
[00:12:28.035 --> 00:12:29.215]  And then turns into a character.
[00:12:29.675 --> 00:12:36.057]  But every culture has its ethos, has its leader, has its warrior, has its priest.
[00:12:36.677 --> 00:12:43.038]  Like Shaka Zulu in South Africa and the Zulus.
[00:12:45.879 --> 00:12:46.979]  He's named Shaka Zulu.
[00:12:47.459 --> 00:12:48.239]  He's a Zulu.
[00:12:49.799 --> 00:12:52.880]  They named the tribe after the strongest, smartest man.
[00:13:04.830 --> 00:13:08.734]  Think about El Cid.
[00:13:08.814 --> 00:13:10.096]  That was the Arab name for him.
[00:13:12.358 --> 00:13:19.085]  When Spain was a Germanic country.
[00:13:19.846 --> 00:13:21.488]  It had six different kingdoms in it.
[00:13:24.070 --> 00:13:27.133]  And then it was overrun by North African Muslims.
[00:13:28.402 --> 00:13:32.963]  And every town they took over, took them 500 years to take most of Spain.
[00:13:33.283 --> 00:13:36.064]  They couldn't take Catalonia, they didn't take the Moors, the mountains.
[00:13:36.764 --> 00:13:43.426]  But they took almost the entire country, and they killed every man above the age of 13.
[00:13:48.387 --> 00:13:53.348]  And the Moors, of course, ran galleys, slave galleys, and they ran slave women, that was what they sold.
[00:13:54.829 --> 00:13:55.229]  And they...
[00:13:57.315 --> 00:14:01.576]  They sold the women all over the world as far east as what is Indonesia today.
[00:14:01.596 --> 00:14:16.779]  They loaded women on ships and trans-shipped them across the Gulf into the Indian Ocean into the South China Sea.
[00:14:16.799 --> 00:14:23.221]  I mean, this is history.
[00:14:23.401 --> 00:14:23.921]  Muslims
[00:14:26.784 --> 00:14:34.413]  had ships all the way as far out 200 years ago as Hawaii, trying to take Hawaii.
[00:14:36.615 --> 00:14:38.578]  And that's why most of the Pacific is Muslim.
[00:14:42.582 --> 00:14:44.725]  In fact, it wasn't until about 500, 600 years ago that the desperate
[00:14:48.154 --> 00:14:53.796]  Polynesians started breeding their men to be bigger and more warlike just to stave off the Muslims.
[00:14:54.697 --> 00:14:57.078]  And I'm not attacking Muslims, they're attacking me.
[00:14:57.098 --> 00:15:06.562]  You know, we have the term La Reconquista, the Ford Foundation the CIA uses for Mexico, saying, oh, reconquer the Southwest, take it over, whatever.
[00:15:06.582 --> 00:15:15.526]  But the real La Reconquista took 300 years, and it took French Norman
[00:15:17.188 --> 00:15:31.139]  And it took Germanics and it took all these groups to come into Spain and fight town by town to drive the Muslims out.
[00:15:36.584 --> 00:15:44.710]  And I'm not bashing the Muslims, but if you go to North Africa after our government liberated
[00:15:46.334 --> 00:15:57.487]  Libya, who was a progressive, a true progressive, women going to college, not wearing burqas, they now sell women, this is like International Business Times, Associated Press, on slave blocks.
[00:15:57.507 --> 00:15:59.930]  I mean, women are slaves in North Africa.
[00:16:01.932 --> 00:16:17.742]  This is what George Soros wants, and then there's video of Spain, because Italy finally cut off, because it was thousands a day, these 100-foot and 60-foot Zodiac rubber boats that George Soros has spent $2 billion on.
[00:16:19.821 --> 00:16:21.262]  And he gets taxpayer money from the EU.
[00:16:21.322 --> 00:16:23.724]  And they always show you like a little baby.
[00:16:24.164 --> 00:16:27.547]  It's like 90%, I mean I say 90, it's like 100% men.
[00:16:27.887 --> 00:16:31.670]  You see these videos, the actual videos, there's like no women, no children.
[00:16:31.850 --> 00:16:36.434]  But they always do these PR stage deals where they show one woman and one baby out of North Africa.
[00:16:36.454 --> 00:16:46.642]  But you have to understand, they're advertising with these 100 foot boats, these Zodiacs, that pull up and then the military age men get on
[00:16:48.479 --> 00:16:54.223]  And they drive up on the beach in Spain and they go to town.
[00:16:55.244 --> 00:16:57.785]  And some of them are real people fleeing.
[00:16:58.326 --> 00:17:07.612]  The point is, though, they're fleeing a culture that our government destabilized and blew up and destroyed in Tunisia and Libya and Egypt.
[00:17:08.653 --> 00:17:09.793]  Egypt got back control.
[00:17:10.914 --> 00:17:12.635]  And so it's been done by design.
[00:17:12.735 --> 00:17:13.436]  It's a plan.
[00:17:13.776 --> 00:17:14.817]  It's an admitted plan.
[00:17:18.792 --> 00:17:22.134]  And then they flood 10 million.
[00:17:22.194 --> 00:17:25.616]  I kept saying from numbers I'd read, 5 million in the last four years.
[00:17:26.217 --> 00:17:36.983]  The UN came out two months ago and said, no, it is 10 million people, 81% military age men.
[00:17:39.865 --> 00:17:44.928]  Because women in North Africa, ladies and gentlemen, are kept as lower than a donkey.
[00:17:45.728 --> 00:17:48.170]  I mean, women are kept in chains.
[00:17:50.740 --> 00:17:52.720]  Women are used like animals.
[00:17:54.101 --> 00:17:55.481]  Most areas of Africa aren't like that.
[00:17:55.601 --> 00:17:56.641]  I mean, it's a fact.
[00:17:56.741 --> 00:17:59.622]  It's like Nazis killed people and did bad stuff.
[00:18:00.402 --> 00:18:03.963]  Muslims in Africa are like demons.
[00:18:04.223 --> 00:18:06.143]  I mean, let's just admit this.
[00:18:10.304 --> 00:18:13.745]  You look at Western culture, women run my life.
[00:18:14.745 --> 00:18:16.846]  My whole life is red carpets for women.
[00:18:17.826 --> 00:18:18.686]  Women are God.
[00:18:19.835 --> 00:18:23.098]  You go to Muslim countries and women are dirt.
[00:18:24.399 --> 00:18:29.642]  And I will not sit here and play games with this anymore.
[00:18:31.844 --> 00:18:41.772]  I will not sit here and watch these videos in Spain, as they say in Spanish, run, run, and a Zodiac brand new pulls up with nothing but men dumping off.
[00:18:42.719 --> 00:18:47.382]  And then you turn on our news, they'll show the one baby every month or something.
[00:18:47.602 --> 00:18:49.743]  They even staged like a dead baby on the beach.
[00:18:49.763 --> 00:18:50.604]  They got caught doing that.
[00:18:50.724 --> 00:18:57.268]  I mean... Our elites... Skip this break.
[00:18:57.948 --> 00:18:59.109]  I know I said I was not going to do it.
[00:18:59.929 --> 00:19:02.951]  Our elites... So-called elites...
[00:19:06.161 --> 00:19:20.875]  They own factories in China where people work 18 hours a day till their fingers bleed, and they have suicide nets in the hallways, in the stairwells, and on the tops of the buildings, and they force drug people with addictive, high-tech synthetic drugs.
[00:19:24.979 --> 00:19:26.500]  They're completely whacked out of their minds.
[00:19:27.261 --> 00:19:28.062]  And why do I bring that up?
[00:19:28.872 --> 00:19:38.384]  Our liberal elite are allied with China that has a billion, 300 million people, a billion of them living on like a dollar a week, basically.
[00:19:39.525 --> 00:19:45.573]  And our elites would treat us just like that in a second.
[00:19:46.783 --> 00:19:53.810]  They're not bringing in North Africans and they're not bringing in people from the Middle East because they want to make their world a better place.
[00:19:54.931 --> 00:20:07.023]  If we were doing real programs to go there and bring culture and wells and funding and solar power like Gaddafi was doing... I don't want to sit here and say Gaddafi... Gaddafi was an angel compared to our elites.
[00:20:07.711 --> 00:20:20.283]  He lives in a tent with a little 10-foot wall around him and gave 99% of the money from the oil to the people directly in jobs and creation and that's what's so crazy about this.
[00:20:21.917 --> 00:20:29.504]  Is that I don't want to sit there and look down on Africans or Muslims because I feel good because they're satanic cavemen.
[00:20:30.004 --> 00:20:31.626]  But they're coming for me.
[00:20:32.066 --> 00:20:40.354]  The globalists are allied with them, with their AI and their fluoride and their vaccines and their GMO and all this death.
[00:20:43.016 --> 00:20:45.999]  And I watched the video on Infowars.com that Paul Watchman posted.
[00:20:47.022 --> 00:20:55.624]  Because you can go to YouTube, and I mean, there are thousands of videos of boats pulling up, and you don't ever see a woman.
[00:20:57.465 --> 00:21:02.126]  I mean, I've watched hundreds of these, and I've seen, like, one woman.
[00:21:05.767 --> 00:21:13.949]  It's, I mean, turn on the news, it's like a woman and a baby, and it's just some PR op on some nice boat, a nice barge, and, oh, look, we saved this baby out of the water.
[00:21:14.730 --> 00:21:16.230]  Saved the baby out of the water?
[00:21:19.500 --> 00:21:30.228]  Muslim countries are so backward and so barbarous and gang-driven by patriarchal gangs of men who feed on each other.
[00:21:31.549 --> 00:21:44.439]  I mean it is the most anti-liberal evil and then our government goes and blows up secular countries like Syria and blows up Iraq that was secular.
[00:21:44.840 --> 00:21:46.201]  Saddam Hussein was
[00:21:48.530 --> 00:21:51.312]  A CIA officer.
[00:21:51.432 --> 00:21:52.613]  He wasn't just an asset.
[00:21:52.933 --> 00:21:53.674]  He was trained.
[00:21:53.714 --> 00:21:54.735]  It's all declassified.
[00:21:54.775 --> 00:21:55.455]  He was set up.
[00:21:56.116 --> 00:21:57.277]  He wanted swimming pools.
[00:21:57.337 --> 00:21:58.598]  He wanted women in college.
[00:21:58.998 --> 00:22:00.359]  He wanted burqas banned.
[00:22:00.659 --> 00:22:02.221]  He wanted hijabs banned.
[00:22:02.321 --> 00:22:03.662]  He had them banned basically.
[00:22:05.463 --> 00:22:15.051]  And so our government told him to attack Iran and then double-crossed him after he killed 2 million Iranians and lost 700,000 Iraqis.
[00:22:18.413 --> 00:22:20.115]  And then they told him invade Kuwait.
[00:22:20.155 --> 00:22:21.296]  He did it and they set him up.
[00:22:21.536 --> 00:22:22.677]  And then they went and took him out.
[00:22:23.378 --> 00:22:28.862]  There was Playboy magazine in 7-Elevens in Iraq when Saddam was there in 1990.
[00:22:29.963 --> 00:22:33.026]  And there was rock and roll music on the radio.
[00:22:33.346 --> 00:22:35.148]  And by the way, I'm not saying that's a good thing.
[00:22:35.829 --> 00:22:38.931]  I'm saying that's what our government got rid of.
[00:22:40.513 --> 00:22:42.695]  Now you put that in your pipe and you think about that.
[00:22:45.595 --> 00:22:47.496]  You know who Sam Hussein tortured?
[00:22:47.696 --> 00:22:48.516]  It was radical Muslims.
[00:22:48.756 --> 00:22:49.757]  And I'm not defending what he did.
[00:22:50.297 --> 00:22:51.937]  But he had his thumb on them.
[00:22:51.957 --> 00:23:04.742]  60% just like Syria of the same number of the similar number in Libya.
[00:23:05.563 --> 00:23:08.284]  60% of the college graduates were women.
[00:23:08.764 --> 00:23:11.765]  And have you looked at Gaddafi and Saddam?
[00:23:14.525 --> 00:23:24.588]  And if you looked at the Alawite Christian, Crypto-Christian Assad, if you look at their cabinets, it was a third, or in some cases a half, women.
[00:23:26.149 --> 00:23:28.369]  And where are the liberals and the feminists there?
[00:23:28.589 --> 00:23:30.650]  They're blowing those countries up!
[00:23:32.070 --> 00:23:34.451]  See, if you're empowering women, they destroy you.
[00:23:35.171 --> 00:23:43.234]  And if women are empowered in America or Europe, they say you're not empowered, so the state becomes your husband, the state becomes your father, the state becomes your protector.
[00:23:44.298 --> 00:23:45.679]  You see, I'm a woman, I don't need a protector.
[00:23:47.199 --> 00:23:47.920]  I need a protector.
[00:23:50.241 --> 00:23:51.401]  My mother looked out for me.
[00:23:52.482 --> 00:23:53.682]  My father looked out for me.
[00:23:53.702 --> 00:23:55.103]  I looked out for them.
[00:23:55.123 --> 00:23:59.525]  How'd they ever convince you, you don't need somebody standing up for you?
[00:24:00.445 --> 00:24:04.407]  If you don't think your family is there to stand up for you, who else is?
[00:24:04.427 --> 00:24:12.971]  The mafia never did too good in Texas, cause...
[00:24:14.605 --> 00:24:16.206]  You go threatening somebody, you get killed.
[00:24:16.626 --> 00:24:19.148]  People don't talk big talk about it.
[00:24:19.168 --> 00:24:19.928]  They don't run their mouth.
[00:24:19.948 --> 00:24:20.768]  They just kill people.
[00:24:22.309 --> 00:24:43.221]  And I'm not gonna sit here and put up with the globalists, put up with them pissing down our backs with the most barbarous, backward, ignorant, evil people the world has ever seen.
[00:24:45.612 --> 00:24:58.837]  And then having Linda Sarsour trot around in a hijab and run her mouth about how women should convert to Islam and how wearing a hijab is a symbol of feminine strength.
[00:25:00.537 --> 00:25:13.682]  When I looked at the numbers, in Egypt alone, more than 10,000 women have been imprisoned, thousands more executed, stoned to death, murdered by crowds.
[00:25:15.855 --> 00:25:21.920]  In the 1920s, 30s, and 40s, so that Egypt is quasi-secular and acceptive and women don't have to wear hoods over their heads.
[00:25:22.921 --> 00:25:27.545]  Women, by the thousands, died so they would have freedom in Egypt.
[00:25:30.347 --> 00:25:31.068]  Not feminism.
[00:25:32.028 --> 00:25:32.329]  Freedom.
[00:25:32.609 --> 00:25:33.109]  Humanism.
[00:25:35.771 --> 00:25:36.732]  And you hear nothing about it.
[00:25:37.433 --> 00:25:45.039]  Instead, there is the obnoxious abomination of Linda Saussure in our face.
[00:25:47.495 --> 00:25:55.037]  With her mother writing white papers on chopping little girls' genitals off.
[00:25:55.717 --> 00:26:03.819]  And when I first covered this about a year ago, they had articles in mainstream news making jokes going, how do you cut a woman's genitals off, Alex?
[00:26:04.699 --> 00:26:06.019]  Thinking their readers were stupid.
[00:26:10.440 --> 00:26:12.821]  And they had articles saying, Alex is a pervert.
[00:26:13.720 --> 00:26:19.704]  He's criticizing Uma Abedin's mother, who also wrote a book on genital mutilation, how good it is.
[00:26:20.144 --> 00:26:23.327]  And they said, Alex, stop digging in the panty drawer, pervert.
[00:26:23.847 --> 00:26:35.135]  That was in a bunch of, it was like a Soros talking point, that I didn't want women to have their clitorises cut off with loppers at birth.
[00:26:36.816 --> 00:26:38.577]  And then I was the pervert.
[00:26:42.617 --> 00:26:55.448]  And in the BuzzFeeds and in the Daily Beast, the world, they sat there and told their readers that I made it up that women are being mutilated.
[00:26:59.212 --> 00:27:03.035]  Think about the type of scum you've got to be to do something like that.
[00:27:08.860 --> 00:27:09.581]  It's in Spanish.
[00:27:11.874 --> 00:27:16.557]  That's probably the dominant language on the planet today, so let me just play in Spanish for you.
[00:27:18.619 --> 00:27:20.540]  The video and the audio.
[00:27:20.980 --> 00:27:25.763]  Stunned tourists watch migrants invade beach in Spain.
[00:27:27.064 --> 00:27:37.611]  Now remember, these are the ancestors of people that fought a 300-year war that reportedly millions died in.
[00:27:37.631 --> 00:27:39.873]  Because it went on generationally.
[00:27:41.004 --> 00:28:00.263]  To let women not wear hoods over their heads or be sold in the slave galleys, and they're now there watching brand new black Zodiac boats, admittedly paid for by George Soros and the UN, pulling up with military-age men storming the beach like it's Normandy.
[00:28:01.764 --> 00:28:04.146]  And it's all organized, it's all funded, it's all run.
[00:28:04.166 --> 00:28:04.487]  Here it is.
[00:28:10.823 --> 00:28:17.570]  If you're a radio listener, it's a brand new Zodiac pulling up, and what looks like 50 men, 40 men, I don't know, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 60, 61, 62, 63, 63, 64, 65, 66, 67, 67, 68, 67, 68, 69, 69, 69, 70, 71, 71, 71, 72, 71, 72, 72, 73, 73, 74, 74, 75, 75, 75, 75, 75, 75, 75,
[00:28:38.584 --> 00:28:55.053]  And the Spaniards are sitting there literally watching a replay of what the La Reconquista took 300 years to turn around.
[00:29:00.116 --> 00:29:00.536]  What is it?
[00:29:00.596 --> 00:29:01.176]  It's men.
[00:29:02.577 --> 00:29:04.318]  Come here with the boy.
[00:29:10.499 --> 00:29:17.044]  The group vanished before authorities arrived.
[00:29:17.064 --> 00:29:18.205]  They got picked up by buses.
[00:29:22.468 --> 00:29:29.673]  Now again, it's one thing if starving people from Africa came in or the Middle East, but it's orchestrated.
[00:29:30.514 --> 00:29:32.635]  They go, oh, have open arms, bring it in.
[00:29:34.617 --> 00:29:35.718]  You go to those countries.
[00:29:37.227 --> 00:29:41.730]  And they're gonna walk up in five minutes to you and say, quote, this surpasses the Quran.
[00:29:42.150 --> 00:29:48.994]  If you don't, they're gonna shove a Kalashnikov in your face, and you're gonna be kidnapped, and you're gonna be lucky if you ever see the light of day again.
[00:29:49.014 --> 00:29:50.375]  We'll be back.
[00:29:50.395 --> 00:29:50.795]  Stay with us.
[00:29:52.436 --> 00:29:53.336]  We're on the march.
[00:29:53.837 --> 00:29:55.418]  The empire's on the run.
[00:29:55.438 --> 00:29:59.060]  Alex Jones and the GCN Radio Network.
[00:30:04.013 --> 00:30:05.954]  Super Blue mouthwash is here.
[00:30:06.114 --> 00:30:12.879]  We have 50% off out of the gates because I want you to try these products when you get it in the silver special.
[00:30:13.539 --> 00:30:24.607]  You get the electric toothbrush, silver impregnated, the Super Blue mouthwash, the colloidal silver, the Super Blue toothpaste and all of it 50% off or get it by itself at what 11% off.
[00:30:24.887 --> 00:30:30.991]  It's $17.76, part of the $17.76 special, but whatever you do, support the broadcast, commit to do it today.
[00:30:31.351 --> 00:30:33.793]  It is an act of rebellion to fund us.
[00:30:34.073 --> 00:30:37.614]  It's Paul Joseph Watson and the t-shirt has finally arrived.
[00:30:38.075 --> 00:30:44.117]  Nothing triggers safe space snowflakes more than this slogan and my face.
[00:30:44.517 --> 00:30:47.298]  It is the new t-shirt from infowarsstore.com.
[00:30:47.698 --> 00:30:50.699]  Conservatism is the new counterculture.
[00:30:50.899 --> 00:30:54.341]  You've seen how much this triggers the safe space snowflakes.
[00:30:54.681 --> 00:30:55.141]  The left
[00:30:55.481 --> 00:30:56.422]  ...controls culture.
[00:30:56.462 --> 00:30:57.422]  They control arts.
[00:30:57.502 --> 00:30:58.723]  They control entertainment.
[00:30:59.023 --> 00:31:06.107]  They have the complete monopoly on culture, which is why conservatism is the new counterculture.
[00:31:06.167 --> 00:31:08.568]  We are striking back in the culture war.
[00:31:09.048 --> 00:31:12.911]  This triggers snowflakes like nothing you've ever seen in your life.
[00:31:12.971 --> 00:31:15.032]  You've seen how much they absolutely hate
[00:31:15.652 --> 00:31:21.035]  The image of my face and that particular slogan, conservatism, is the new counterculture.
