[00:00:07.577 --> 00:00:08.577]  Paul Watson reports.
[00:02:43.256 --> 00:02:50.198]  Is that why the first thing that women in Syria did after they were liberated from ISIS was to discard it?
[00:02:50.258 --> 00:02:51.899]  Who's fighting to wear it?
[00:02:52.059 --> 00:02:56.420]  Last time I checked, ISIS was stoning women to death for not wearing it.
[00:02:56.480 --> 00:02:58.941]  Sharia police patrol Muslim countries
[00:02:59.181 --> 00:03:00.761]  Forcing women to wear it!
[00:03:00.841 --> 00:03:06.703]  Women exposing their hair is only one of the controversial crimes considered to be against local Sharia law.
[00:03:06.723 --> 00:03:12.404]  And by the way, we don't undermine a woman who does not wear the face veil or the hijab at all.
[00:03:12.544 --> 00:03:12.964]  Really?
[00:03:13.144 --> 00:03:19.646]  So are women in Europe who are being beaten by Sharia patrol gangs for not wearing it being undermined?
[00:03:19.686 --> 00:03:24.367]  What about women in Sweden who are being refused service in shops if they don't wear it?
[00:03:24.527 --> 00:03:25.787]  Are they being undermined?
[00:03:26.007 --> 00:03:27.308]  Go back to your own country!
[00:03:27.348 --> 00:03:28.849]  When it's a problem, something happens.
[00:03:28.889 --> 00:03:34.212]  But when you want your curry, when you want your samosas, when you want the glitter, when you want to put bindis on your forehead to go to a wireless festival, it's all good.
[00:03:34.272 --> 00:03:40.136]  No one who puts bindis on their heads, which, by the way, is a Hindu thing, so why are we even talking about it?
[00:03:40.156 --> 00:03:47.800]  No one who does that and then goes to music festivals is walking up to Muslims on the street and asking them, why don't you go back to your own country?
[00:03:47.860 --> 00:03:50.442]  Where did the BBC get these dumb questions from?
[00:03:50.862 --> 00:03:51.282]  It's cultural.
[00:03:51.462 --> 00:03:52.863]  It's never been Islamic.
[00:03:52.903 --> 00:03:55.144]  So it's cultural and not Islamic.
[00:03:55.504 --> 00:03:57.024]  Okay, so why do you wear it?
[00:03:57.164 --> 00:03:58.985]  I am wearing it for God.
[00:03:59.005 --> 00:04:00.485]  It's an act of worship.
[00:04:00.546 --> 00:04:04.927]  Right, so it's cultural, not Islamic, but you wear it for Allah.
[00:04:04.987 --> 00:04:05.667]  So it's Islamic.
[00:04:05.727 --> 00:04:06.908]  What are you hiding there?
[00:04:07.388 --> 00:04:07.788]  A bomb.
[00:04:08.828 --> 00:04:17.872]  Yeah, why are you laughing about suicide bombings less than three months after a suicide bomber in the UK blew up a bunch of kids at a pop concert?
[00:04:17.912 --> 00:04:18.712]  I've also got a few
[00:04:18.712 --> 00:04:20.293]  Two questions for the BBC.
[00:04:20.333 --> 00:04:24.736]  Why are you using taxpayer money to normalise the oppression of women?
[00:04:24.796 --> 00:04:30.381]  Why are you trying to popularise something that's clearly abnormal for an open liberal society?
[00:04:30.441 --> 00:04:36.905]  Why are you also trying to normalise other backward Islamic practices like people marrying their cousins?
[00:04:37.086 --> 00:04:42.750]  Something that's caused a huge spike in childhood deaths in the UK of Muslim children.
[00:04:42.850 --> 00:04:47.073]  Why are you continually shoving regressive belief systems down our throats?
[00:04:47.273 --> 00:04:57.931]  In the name of progressivism and diversity, women being smothered in black cloths to obey the whims of a brutal, archaic, 7th century patriarchy isn't progressive!
[00:05:04.580 --> 00:05:11.923]  A 44-year-old father was beat by a gang of teenagers and knocked out with a skateboard after he asked them to stop smoking marijuana on a Dallas train.
[00:05:12.524 --> 00:05:20.327]  The group of teenagers included young men and women who punched the father and threw him against the train's doors before arriving at the station near Deep Ellum in Dallas, Texas.
[00:05:20.987 --> 00:05:25.770]  In world news, 22.5% of the German population now has a migrant background.
[00:05:26.430 --> 00:05:30.532]  Migrants and their children make up an estimated 18.6 million people in Germany.
[00:05:31.292 --> 00:05:38.567]  According to the Federal Statistical Office, which attributed the shocking statistic to German Chancellor Angela Merkel and her open border policies.
[00:05:39.801 --> 00:05:46.624]  In contrast, President Trump plans to overhaul immigration laws in America as part of his wide-ranging agenda to tighten border security.
[00:05:47.384 --> 00:05:57.048]  The president is working with two senators to draft a bill to create a skills-based immigration program that gives priority to Americans by cutting down on work visa abuse, among other things.
[00:05:57.588 --> 00:06:01.649]  For more breaking news and reports, check back at InfoWars.com throughout the day.
[00:06:01.909 --> 00:06:03.090]  This is Kit Daniels reporting.
[00:06:04.142 --> 00:06:24.747]  I'm Millie Weaver and you're watching Flyover America, an InfoWars original series where we're going to be traveling around the United States talking to Flyover America, the people who feel like they have had their voices ignored by their government, by the mainstream media, and by the people on the coast.
[00:06:25.207 --> 00:06:30.428]  So we're going to be talking to the deplorables, finding out why they actually supported Trump
[00:06:30.808 --> 00:06:35.892]  So come along with us on this journey as we discover Flyover America.
[00:06:36.212 --> 00:06:42.897]  Throughout our travels, we will be making scheduled stops to talk with those who want to tell their story.
[00:06:43.417 --> 00:06:53.304]  Like us and follow our progress on Facebook at Flyover States of America for meeting locations, updates, and even sneak peeks.
[00:06:53.784 --> 00:06:57.287]  And if you have a story to tell, come tell it.
[00:06:58.410 --> 00:07:01.523]  I'm Millie Weaver and you're watching Fly Over America!
[00:07:03.644 --> 00:07:04.985]  Why is the fungus?
[00:07:05.065 --> 00:07:06.006]  Why is the mold?
[00:07:06.146 --> 00:07:07.567]  Why is the yeast taking over?
[00:07:07.887 --> 00:07:08.707]  What is going on?
[00:07:08.848 --> 00:07:09.608]  What has changed?
[00:07:33.904 --> 00:07:35.305]  We only have a limited supply of this.
[00:07:35.325 --> 00:07:36.345]  I want to get your reviews.
[00:07:36.365 --> 00:07:37.305]  I want to hear what you have to say.
[00:07:37.325 --> 00:07:38.165]  For me, it's been incredible.
[00:07:38.765 --> 00:07:43.087]  MycoZX, antifungal, antifungus, anti-yeast.
[00:07:43.307 --> 00:07:44.027]  Get it today.
[00:07:44.127 --> 00:07:44.587]  Limited run.
[00:07:44.607 --> 00:07:45.627]  It'll be months till we get more.
[00:07:46.028 --> 00:07:50.189]  InfoWarsStore.com, InfoWarsLife.com, or 888-253-3139.
[00:07:50.689 --> 00:07:53.950]  I cannot sell something unless it helps somebody.
[00:07:54.030 --> 00:07:56.310]  And you can't support an organization that isn't fighting hard.
[00:07:56.350 --> 00:07:57.731]  Look at the response we're getting.
[00:07:57.751 --> 00:07:59.631]  We're changing the world together.
[00:07:59.691 --> 00:08:00.692]  You are the InfoWar.
[00:08:00.712 --> 00:08:01.452]  God bless you all.
[00:08:16.884 --> 00:08:26.547]  Coming to you live from the Infowars.com studios in the recaptured state of Texas, it's Alex Jones.
[00:08:30.808 --> 00:08:34.909]  Well, Mueller has impaneled in the District of Columbia.
[00:08:35.953 --> 00:08:45.015]  The district run by Debbie Wasserman Schultz, where she threatens the police chief to cover up all the IT fraud from India, and the people trying to flee justice.
[00:08:45.915 --> 00:08:50.156]  Yes, that same District of Columbia, completely run by the Swamp.
[00:08:51.497 --> 00:08:56.298]  The District of Columbia Swamp Rat Team.
[00:08:57.278 --> 00:08:59.799]  If the grand jury had a baseball team, it's...
[00:09:03.072 --> 00:09:10.662]  Mascot would be a crocodile, an alligator, a Bigfoot, a large obese swamp rat, led by people like H.R.
[00:09:10.702 --> 00:09:11.262]  McMaster.
[00:09:12.520 --> 00:09:16.722]  But now Mueller probing collusion, obstruction, financial crimes.
[00:09:17.162 --> 00:09:20.043]  We knew this was coming because there was never any Russia collusion.
[00:09:20.343 --> 00:09:27.626]  But now the entire Trump family, the entire Trump entourage, the entire Trump company, and the entire Trump campaign.
[00:09:27.987 --> 00:09:29.747]  Can we find a bounce check?
[00:09:30.748 --> 00:09:34.770]  Can we find somebody we think might have said something wrong to an FBI dragnet?
[00:09:35.310 --> 00:09:37.611]  We always told you it wouldn't be Russia.
[00:09:38.851 --> 00:09:40.352]  Because there was nothing there except
[00:09:42.423 --> 00:09:43.184]  Trump Jr.
[00:09:43.224 --> 00:09:48.893]  trying to find corruption on Hillary, which is like trying to find a blade of grass in the middle of a giant prairie.
[00:09:49.313 --> 00:09:49.934]  It's everywhere.
[00:09:49.954 --> 00:09:52.398]  It's like trying to find water at the seaside.
[00:09:53.299 --> 00:09:56.664]  Mueller probing collusion, obstruction, financial crimes.
[00:09:58.746 --> 00:09:59.186]  That's right.
[00:10:00.027 --> 00:10:01.408]  But you know what, swamp creatures?
[00:10:01.468 --> 00:10:03.049]  You can run, but you can't hide.
[00:10:03.550 --> 00:10:10.035]  Because you get more and more governors, more and more statehouse members, more and more members of Congress switching to Republican.
[00:10:10.776 --> 00:10:17.521]  And they're not switching to Rhino, they're not switching to Neocon, as the Neocons hold on for dear life along with the Democrats.
[00:10:18.202 --> 00:10:24.006]  No, they're switching to Libertarian Ron Paul, Rand Paul, Donald Trump style.
[00:10:25.207 --> 00:10:26.909]  And you are so scared.
[00:10:28.180 --> 00:10:35.608]  And the big cherry on top, we learn, from the Daily Caller and Breitbart News as well, H.R.
[00:10:35.648 --> 00:10:40.293]  McMaster fired National Security Council official for pinning memo on globalists.
[00:10:41.574 --> 00:10:47.060]  They go back and they data mine it, and they find out, oh, you wrote an article how globalism is allied with Islam.
[00:10:47.180 --> 00:10:48.281]  It's publicly allied.
[00:10:48.321 --> 00:10:49.022]  So is the Vatican.
[00:10:50.427 --> 00:10:51.969]  And then, oh, we can't have you here.
[00:10:52.369 --> 00:10:53.210]  You're fired.
[00:10:53.230 --> 00:10:57.375]  And that ties in with this new article from Jack Posobiec, who's going to be joining us later.
[00:10:58.196 --> 00:11:04.263]  White House to staffers, if you like InfoWars or Milo, you're fired.
[00:11:04.863 --> 00:11:09.068]  That's the new litmus test that if you share any InfoWars articles,
[00:11:10.626 --> 00:11:11.206]  You're fired.
[00:11:11.747 --> 00:11:17.110]  And I guess if you write memos and write articles for Breitbart, you're fired, too.
[00:11:17.811 --> 00:11:22.334]  McMaster is definitely a bootlicker of the globalist.
[00:11:23.554 --> 00:11:28.778]  Trump, after Flynn left, tried to get five other people to sign on, and they wouldn't.
[00:11:29.378 --> 00:11:30.799]  And he finally got McMaster.
[00:11:30.919 --> 00:11:34.742]  And Trump's one blind spot is he really respects generals.
[00:11:34.762 --> 00:11:36.623]  Because he respects veterans, which is great.
[00:11:37.063 --> 00:11:38.344]  But they can be political, too.
[00:11:38.484 --> 00:11:39.325]  Look at Benedict Arnold.
[00:11:40.580 --> 00:11:59.381]  So, McMaster is in there with the trifecta, Mattis, and of course, the other usual suspect, Kelly, and they are supposedly protecting the President by protecting him from the American people and himself.
[00:12:00.863 --> 00:12:03.266]  And what we put him in office for, and what's sweeping the nation.
[00:12:03.306 --> 00:12:04.186]  But here's the good news.
[00:12:04.787 --> 00:12:08.070]  This desperate fight for their lives, politically, is just that.
[00:12:08.090 --> 00:12:10.553]  A fight for their lives.
[00:12:11.754 --> 00:12:14.296]  Because people now know the UN was set up by the Rockefellers.
[00:12:14.336 --> 00:12:15.618]  They now know about world government.
[00:12:15.918 --> 00:12:17.679]  They now understand the stakes.
[00:12:19.150 --> 00:12:19.210]  And
[00:12:34.110 --> 00:12:44.417]  Their time is running short because what they've established is totally unelected, totally authoritarian, and deeply allied with orthodox, radical, Wahhabist Islam.
[00:12:44.938 --> 00:12:47.099]  And Trump has rolled back their Arab Spring.
[00:12:47.760 --> 00:12:50.402]  Trump has rolled back their Christian-killing, failed state.
[00:12:51.062 --> 00:13:08.836]  Extravaganza, the jihad with his own Americana culture, but also military crusade, not to take the Middle East, but to simply roll back the Islamicist turn list on the non-radical Muslim and Christian areas of that area of the world.
[00:13:10.876 --> 00:13:18.482]  Meanwhile, Debbie Wasserman Schultz says she doesn't regret standing by her arrested IT staffer and trying to cover up whatever's on those laptops.
[00:13:19.223 --> 00:13:24.728]  So, no wonder they're so desperate in the District of Criminals, in the District of the Swamp Things.
[00:13:25.288 --> 00:13:26.529]  Deep in the swamp.
[00:13:27.190 --> 00:13:28.351]  Mueller desperate.
[00:13:29.622 --> 00:13:37.408]  Is there snooping about for the perfect Democratic Party grand jury that could indict a ham sandwich?
[00:13:38.249 --> 00:13:41.231]  And are now preparing to come out with all their fake charges.
[00:13:42.932 --> 00:13:44.293]  All their fake charges.
[00:13:45.274 --> 00:13:54.742]  All their fake hoaxes to then prepare the Congress for the impeachment.
[00:13:55.430 --> 00:14:23.183]  And to say to the House, look, this grand jury found this, and because a president is above the law, except for Congress moving with impeachment, we demand you move forward after we found some campaign impropriety, or some finance information, or something they can twist to sell the public that sort of a fraud happened, as if we don't remember the entire gigantor witch hunt was supposedly
[00:14:24.235 --> 00:14:25.637]  The entire time.
[00:14:29.503 --> 00:14:30.364]  About Russia.
[00:14:31.045 --> 00:14:40.137]  But as that evaporates, as that hoax trails away, now it moves to collusion, obstruction, financial crimes.
[00:14:41.715 --> 00:14:53.174]  But just remember, ladies and gentlemen, that Hillary and all of her corruption, all of her Russia and China dealings and missile secrets and North Korean reactors and stealing the money from the Haitian children, on and on and on.
[00:14:53.194 --> 00:14:56.018]  Remember all the crimes, the illegal servers.
[00:14:57.864 --> 00:15:16.859]  The dead staffers, the fixing the debates, the fixing the polls, all of it, the legions of crimes, but now Mueller, the man of wholesomeness, the good person that stood by and covered it all up, he's trying to crucify this president because this president's a patriot and is standing against orthodox Islam.
[00:15:18.197 --> 00:15:20.238]  Are there moderate rebels in Syria?
[00:15:20.438 --> 00:15:20.738]  Sure.
[00:15:21.038 --> 00:15:23.319]  Maybe there are unicorns in Detroit, too.
[00:15:23.519 --> 00:15:31.641]  Listen to this video, Senator McCain, of a Syrian fighter jet being shot out of the sky.
[00:15:31.721 --> 00:15:33.482]  Listen to what they say afterwards.
[00:15:37.303 --> 00:15:38.124]  Allahu Akbar!
[00:15:38.564 --> 00:15:41.425]  Allahu Akbar!
[00:15:41.685 --> 00:15:43.865]  I have a problem helping those people out.
[00:15:43.885 --> 00:15:45.166]  They're screaming that after a hit.
[00:15:46.031 --> 00:15:51.193]  Would you have a problem with an American Christian saying, thank God, thank God?
[00:15:51.553 --> 00:15:53.133]  That's what they're saying.
[00:15:53.173 --> 00:15:53.533]  Come on.
[00:15:54.453 --> 00:15:56.594]  Of course they are Muslims, but they are moderates.
[00:15:56.634 --> 00:15:59.115]  And I guarantee you that they are moderates.
[00:15:59.275 --> 00:16:00.775]  I know them and I've been with them.
[00:16:01.756 --> 00:16:06.477]  Every place that I went, every person that I spoke to, I asked this question to them.
[00:16:07.097 --> 00:16:10.298]  And without hesitation, they said, there are no moderate rebels.
[00:16:10.338 --> 00:16:13.679]  Who are these moderate rebels that people keep speaking of?
[00:16:14.941 --> 00:16:22.085]  Regardless of the name of these groups, the strongest fighting force on the ground in Syria is al-Nusra or Al-Qaeda and ISIS.
[00:16:22.165 --> 00:16:23.126]  That is a fact.
[00:16:23.186 --> 00:16:36.254]  When Senator Carter was here before this committee in July, he testified that there were only about 60 Syrian fighters that had been trained in our train and equip program and reinserted
[00:16:37.915 --> 00:16:44.138]  We've heard reports about the attacks on those individuals when they were reinserted back into Syria.
[00:16:44.758 --> 00:16:48.440]  Can you tell us what the total number of trained fighters remains?
[00:16:51.684 --> 00:17:00.887]  It's a small number and the ones that are in the fight is, we're talking four or five.
[00:17:01.747 --> 00:17:09.889]  Now in a move that should be celebrated rather than demonized, President Trump has pulled the plug on the support for these mythical moderates.
[00:17:10.109 --> 00:17:14.650]  The red flag was raised due to, as the Weekly Standard reports,
[00:17:14.890 --> 00:17:22.635]  Earlier this year, President Donald Trump was shown a disturbing video of Syrian rebels beheading a child near the city of Aleppo.
[00:17:22.775 --> 00:17:33.763]  It had caused a minor stir in the press as the fighters belonged to the Nur al-Din al-Zenki movement, a group that had been supported by the CIA as part of its rebel aid program.
[00:17:34.003 --> 00:17:38.106]  It is a scene reminiscent of the Islamic State's snuff videos.
[00:17:38.406 --> 00:17:41.948]  Except this wasn't the work of Abu Bakr al-Baghdadi's men.
[00:17:42.028 --> 00:17:44.550]  The murderers were supposed to be the good guys.
[00:17:45.511 --> 00:17:56.624]  It is now well known that Obama's State Department spent vast sums of taxpayer dollars to pull the wool over the American public's eyes on the moderate rebel myth.
[00:17:56.784 --> 00:18:05.133]  Obama's State Department even went as far as embarrassing itself with this Center for Strategic Counterterrorism Communications propaganda piece.
[00:18:18.578 --> 00:18:26.946]  Radio listeners are showing images of unbelievable atrocities committed by McCain's Obama and Hillary's forces.
[00:18:27.026 --> 00:18:32.151]  Suicide bombings, killings of Catholic priest nuns, enslaving little children.
[00:18:32.191 --> 00:18:39.238]  Congress wants to give Trump's State Department $80 million to counter ISIS and Russian propaganda.
[00:18:39.438 --> 00:18:43.842]  But Secretary of State Rex Tillerson has refused the propaganda funds
[00:18:44.022 --> 00:18:47.944]  that would embolden the enemy and endanger diplomacy with the Russians.
[00:18:48.124 --> 00:19:08.072]  Aside from the globalists' failing propaganda attack through their Mockingbird media appendages, the federal government's flailing propaganda wing, the Broadcasting Board of Governors, and its elitist taxpayer-siphoning child, Voice of America, continues to get its rear end handed to it by its nemesis, Russia, today.
[00:19:08.332 --> 00:19:11.413]  If ever there was a federal program ready for the acts,
[00:19:11.693 --> 00:19:21.401]  The VOA fits the bill, as left-wing publication Mother Jones reported in one odd episode Voice of America Senior Management in October 2014 reported.
[00:19:31.027 --> 00:19:32.108]  You've got it.
[00:19:32.348 --> 00:19:38.031]  This transmission is coming to you.
[00:19:38.131 --> 00:19:42.233]  Waging war on corruption.
[00:19:42.513 --> 00:19:48.216]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:19:50.077 --> 00:19:52.058]  We see the earth.
[00:19:52.098 --> 00:19:52.758]  You've got it.
[00:19:52.818 --> 00:19:54.519]  We see the earth now.
[00:19:54.599 --> 00:19:55.479]  You've got it.
[00:20:09.002 --> 00:20:13.806]  An illegal teenage immigrant from Honduras has been charged with killing his mother.
[00:20:13.946 --> 00:20:19.751]  Punez is a so-called dreamer, protected under the Deferred Action for Childhood Arrivals, or DACA.
[00:20:21.152 --> 00:20:26.055]  A truck had smashed the family's car on the right side.
[00:20:26.476 --> 00:20:28.778]  That's where Lennox was sitting in his little car seat.
[00:20:29.238 --> 00:20:33.221]  Border officials say Banda is a Mexican national in the country illegally.
[00:20:33.701 --> 00:20:35.403]  He's been deported 15 times in 15 years.
[00:20:38.465 --> 00:20:48.649]  Uvia Lopez has a sordid story that includes a prior deportation and identity fraud in addition to the sexual assault of a friend's teenage daughter.
[00:20:48.989 --> 00:20:53.651]  But I have a simple message today for every gang member and criminal alien.
[00:20:54.471 --> 00:21:01.154]  We will find you, we will arrest you, we will jail you, and we will deport you.
[00:21:11.734 --> 00:21:13.635]  He was deported a whopping eight times.
[00:21:13.956 --> 00:21:16.557]  Suspected in a deadly hit-and-run earlier this week.
[00:21:16.857 --> 00:21:21.920]  He's charged with sex abuse, sodomy, burglary, robbery, assault, and kidnapping.
[00:21:22.220 --> 00:21:26.222]  Court records show he's been deported and returned 20 different times.
[00:21:26.422 --> 00:21:29.424]  The father of two killed in a horrifying crash.
[00:21:29.804 --> 00:21:34.487]  Police say that the driver was a drunk, unlicensed, illegal immigrant.
[00:21:34.787 --> 00:21:41.469]  According to an ICE news release, he is a known gang member and has been previously deported four times.
[00:21:41.989 --> 00:21:50.092]  Tonight, police say an illegal immigrant with a blood alcohol level three times the legal limit slammed into the back of an SUV carrying a family of four.
[00:21:50.572 --> 00:21:53.213]  He had been arrested just hours before this crash.
[00:22:01.255 --> 00:22:09.844]  A woman telling deputies she was sure she was going to die after deputies say this man, Juan Ortega Orozco, broke into her home and crept into her bed.
[00:22:09.924 --> 00:22:11.466]  He's in this country illegally.
[00:22:12.927 --> 00:22:16.110]  He has a rich criminal history of violating the law.
[00:22:16.331 --> 00:22:22.257]  In the past two years, he's been charged with five felonies, including trafficking meth and leaving the scene of a crash.
[00:22:33.894 --> 00:22:42.362]  Domaine Daniels says in a change from under the Obama administration, federal agents now appear to be rounding up any undocumented person they come in contact with.
[00:22:42.402 --> 00:22:46.045]  Federal agents eating breakfast one minute, arresting restaurant staff the next.
[00:22:46.545 --> 00:22:49.828]  Illegal border crossings are down reportedly 70%.
[00:22:50.749 --> 00:22:56.374]  Arrests inside the country are up 40% and demands for removal up 80% as well.
[00:22:57.916 --> 00:23:01.005]  But, you know, we can't apologize for enforcing the law.
[00:23:01.045 --> 00:23:05.055]  If you break the law, that's a choice that you make, and there are consequences to that.
[00:23:33.942 --> 00:23:38.565]  We have private labeled it, and it is the exact same product, just the name is different.
[00:23:38.745 --> 00:23:39.626]  Emrix Essentials.
[00:23:39.986 --> 00:23:41.907]  It's on average 20% off.
[00:23:42.188 --> 00:23:47.451]  On top of that, if you sign up for AutoShip, you get an additional 25% off.
[00:23:47.811 --> 00:23:51.674]  Emrix Essentials is all about personal care.
[00:23:52.134 --> 00:23:57.278]  Hygiene, not getting skin cancer, not getting bit by a bunch of bugs and mosquitoes.
[00:23:57.778 --> 00:23:58.759]  It's all there.
[00:23:59.039 --> 00:24:03.722]  Infowarslife.com, Infowarsstore.com, and you'll find Emrix Essentials.
[00:24:03.922 --> 00:24:07.143]  We don't need no education.
[00:24:07.303 --> 00:24:09.804]  We don't need no thought control.
[00:24:09.844 --> 00:24:12.245]  No dark sarcasm in the classroom.
[00:24:27.483 --> 00:24:36.130]  The full John Bowne report breaking down Trump seeing the beheading video and it moving him to want to oppose ISIS and Al Qaeda even more.
[00:24:36.150 --> 00:24:38.031]  It's a very important piece.
[00:24:38.391 --> 00:24:39.973]  Every once in a while we have a computer hiccup.
[00:24:40.433 --> 00:24:41.934]  About 30 seconds to break that happen.
[00:24:41.954 --> 00:24:45.377]  But the full report is up on Infowars.com.
[00:24:45.537 --> 00:24:50.080]  And McMaster and all these other people like Kelly are actually in the news.
[00:24:51.161 --> 00:25:06.526]  Going along with the media's narrative that the president is a bumbling booby, a bumbling buffoon, who is emotional and makes quick decisions and that, you know, made up, because he read it in Breitbart, that the NSA is spying on the president.
[00:25:07.946 --> 00:25:10.047]  Well, the New York Times had bragged that that was the case.
[00:25:10.107 --> 00:25:10.807]  That's admitted.
[00:25:12.253 --> 00:25:24.258]  And folks that have talked to the president tell me that he didn't know that Arpaio had been found guilty by a judge, no jury, of contempt and was facing six months in jail.
[00:25:25.219 --> 00:25:27.940]  That he didn't know they're trying to prosecute Julian Assange.
[00:25:29.600 --> 00:25:32.722]  That is one of his biggest supporters and who he's praised.
[00:25:33.567 --> 00:25:37.248]  Because Trump, now more than ever, is not getting the hundreds of letters a day.
[00:25:37.829 --> 00:25:44.511]  He's not getting the phone calls from his friends and family and neighbors and calling who he wants to on a cell phone to ask questions.
[00:25:45.351 --> 00:25:54.035]  He is now isolated by McMaster's, by Kelly, and by Mattis.
[00:25:55.135 --> 00:25:57.376]  And we know that McMaster's bad news.
[00:25:57.896 --> 00:25:58.977]  I don't know about Mattis.
[00:25:59.477 --> 00:26:00.397]  I don't know about Kelly.
[00:26:00.417 --> 00:26:01.297]  The jury's still out.
[00:26:03.680 --> 00:26:12.303]  This is a serious, serious situation because he doesn't know how he's being set up.
[00:26:12.623 --> 00:26:15.704]  But every time he ends up finding out what's happening, he's able to defeat it.
[00:26:17.505 --> 00:26:27.988]  So now more than ever, out in the street and on Twitter and through talk radio, we've all got to communicate to President Trump.
[00:26:29.295 --> 00:26:43.245]  Because the enemy, the globalists, are fighting as hard as they can to keep the American people from getting through to him, and they're trying to demoralize the president, and they're trying to basically break his will and break our will.
[00:26:45.366 --> 00:26:47.968]  Coming up the next segment, I'm going to show you the new Newsweek cover.
[00:26:50.891 --> 00:26:54.794]  Where they show Trump as the lazy president that's got nothing done.
[00:26:55.215 --> 00:26:56.576]  A total inversion of reality.
[00:26:56.616 --> 00:26:59.358]  The same news week that told you Hillary Clinton won the election.
[00:27:00.199 --> 00:27:01.480]  So we're going to be going over that.
[00:27:01.520 --> 00:27:04.423]  We're going to go over this new so-called grand jury.
[00:27:04.443 --> 00:27:11.569]  We're going to go over Cernovich being correct months ago when he talked about the purge that was coming and how it was all run by McMaster.
[00:27:11.849 --> 00:27:13.170]  That's now all been confirmed.
[00:27:13.571 --> 00:27:14.672]  Cernovich is on target.
[00:27:17.094 --> 00:27:17.934]  It's all coming up.
[00:27:17.974 --> 00:27:18.455]  But first,
[00:27:21.226 --> 00:27:27.571]  Jim Mars died a few days ago at age 74, and hours after we learned he died, I put out a short eulogy.
[00:27:28.511 --> 00:27:36.817]  And I am intending to air some large excerpts next week from interviews we did with Mr. Mars, some of his more important work, because he was a good friend of mine and a fellow Texan.
[00:27:37.558 --> 00:27:45.443]  But I thought right now I would go ahead and air that little piece I put together Wednesday evening when I learned the news.
[00:27:45.884 --> 00:27:48.626]  Then we're going to come back and get into all the news, but here's that Jim Mars piece.
[00:27:49.815 --> 00:27:53.898]  I got some bad news today from my good friend George Norrie.
[00:27:54.279 --> 00:27:58.982]  It was that Jim Mars had suddenly died today.
