[00:00:13.939 --> 00:00:16.163]  Welcome to the InfoWars Nily News.
[00:07:00.356 --> 00:07:02.877]  I'm still confused at how this would even impact the election.
[00:07:03.378 --> 00:07:17.084]  All that I really understand, and again, I'm a layman when it comes to computer hacking and this stuff, but I still have common sense and understand technology enough to say even if they're able to get into these people's computers or get access to their passwords or this, that, and the other thing,
[00:07:17.944 --> 00:07:26.231]  There's still nothing really here that indicates there was actually anything that changed in the election, or that there were any actual votes changed.
[00:07:26.631 --> 00:07:39.241]  And if they do allege that there were votes changed, the only study that we have that could say there's evidence of that, I believe it came out of Michigan, and the votes actually went to Hillary.
[00:07:39.821 --> 00:07:41.403]  It was actually Trump that lost votes.
[00:07:41.443 --> 00:07:47.009]  If you remember that recount, they stopped that recount real quick because Hillary was actually losing votes.
[00:07:47.269 --> 00:07:51.614]  Of course, you have other stories about illegal voting in California, 5,000 illegal votes in Virginia.
[00:07:51.974 --> 00:07:55.938]  Those go on and they don't get near as much publicity.
[00:07:57.196 --> 00:07:57.416]  I don't
[00:08:12.285 --> 00:08:15.747]  Skeptical of this entire thing to begin with could be a PSYOP.
[00:08:15.767 --> 00:08:17.589]  We're going to see how it develops.
[00:08:18.029 --> 00:08:22.312]  But the new development here is that WikiLeaks is now come out.
[00:08:22.392 --> 00:08:24.173]  Julian Assange to be specific.
[00:08:24.773 --> 00:08:26.555]  And well, he's not happy about this.
[00:08:26.935 --> 00:08:32.779]  He's not happy that the Intercept would turn in the NSA leaker Reality Winter.
[00:08:33.159 --> 00:08:34.320]  I guess he's standing up for that.
[00:08:34.380 --> 00:08:37.182]  And of course, this is a guy who always stands true.
[00:08:37.502 --> 00:08:37.802]  Winner.
[00:08:38.122 --> 00:08:38.463]  Sorry.
[00:08:39.303 --> 00:08:41.965]  This is a guy who always stands true to never revealing his sources.
[00:08:43.146 --> 00:09:10.127]  So, he's very upset because now, thanks to this, and you know, again, this could now, see, this is what you happen when you start to break this down, perhaps Assange is now upset because he thinks this is an attack on WikiLeaks as well, where you have somebody leaking this document to the Intercept, the Intercept then turns them in, which, by the way, they're not telling us, or the Intercept is not turning in the name of this reporter, the FBI is not turning in the name of this reporter,
[00:09:11.048 --> 00:09:14.291]  I guess reality winner is not turning in the name of this reporter.
[00:09:14.311 --> 00:09:15.572]  She's already been to court.
[00:09:15.672 --> 00:09:21.397]  You think that she might have wanted to do that because this reporter you think could be held just as accountable as she could.
[00:09:21.837 --> 00:09:23.119]  And that's what Assange is saying.
[00:09:23.399 --> 00:09:29.104]  And then he's unhappy because he says this makes it harder to get sources.
[00:09:29.484 --> 00:09:30.265]  This makes it
[00:09:31.257 --> 00:09:42.967]  This creates an environment where people who may have access to certain emails or certain documents don't want to put them out there in the public, even though they feel they should, because they're scared for their own well-being and their own freedom.
[00:09:43.287 --> 00:09:58.320]  So there's another aspect that could be a PSYOP here, aside from just looking for anything to try to catch some legs with this Trump-Russia collusion, also another attempt to scare other potential leakers or sources to WikiLeaks or anywhere else.
[00:09:59.448 --> 00:10:16.150]  But Assange has taken it one step further now and has offered a $10,000 reward to get the Intercept reporter fired who turned over the name Reality Winner, the government contractor who leaked this
[00:10:18.425 --> 00:10:47.685]  NSA Russian document or Russian hacking or Russian meddling whatever you want to say document to the intercept which again I read the document I read the five pages Doesn't really make much sense to me I've read other stuff that's similar that made more sense and created a clear picture this one kind of seems like a Bit of nonsense to be honest with you a bit of a plant But we're gonna see how that develops, but just an interesting real quick note here on reality winner again
[00:10:48.705 --> 00:11:00.416]  I'm thinking that she just didn't even realize what she was getting herself into here, and probably not only regrets what she did, but perhaps was just really fooled.
[00:11:00.837 --> 00:11:01.558]  Greatly fooled.
[00:11:02.238 --> 00:11:03.780]  Perhaps not the sharpest tool in the shed.
[00:11:03.820 --> 00:11:06.702]  Again, a Bernie supporter, so what else needs to be said?
[00:11:07.443 --> 00:11:10.285]  But she had a tweet, and I find this funny.
[00:11:10.305 --> 00:11:12.186]  Excuse me while I have a little humor with you.
[00:11:12.266 --> 00:11:16.208]  She tweets out, or by the way, Sarah Winners, I guess, was her Twitter account.
[00:11:16.668 --> 00:11:21.591]  She tweets out to Kanye West, you should make a shirt that says, being white is terrorism.
[00:11:22.739 --> 00:11:27.880]  Okay, so if being white is a terrorist, then reality winner is a terrorist.
[00:11:28.380 --> 00:11:33.982]  So there you go, she admits she's a terrorist right there on her own Twitter account, so I thought that we might just report on that.
[00:11:34.342 --> 00:11:39.843]  But here's the strange coincidence that actually was brought to me by Rob Dew and Darren McBreen.
[00:11:39.883 --> 00:11:42.504]  I missed this when I was actually doing my investigation of this earlier.
[00:11:42.544 --> 00:11:46.845]  That just shows you just how crazy the state of news is right now in this cycle.
[00:11:46.885 --> 00:11:48.585]  It's just impossible to keep up with everything.
[00:11:49.125 --> 00:11:53.890]  Michael Moore launches Trumpy Leaks website for leftist leakers.
[00:11:54.530 --> 00:11:56.772]  What convenient timing.
[00:11:57.433 --> 00:12:06.742]  Right as Reality Winner comes out with these leaks, Michael Moore is launching his Trumpy Leaks website for leftist leakers.
[00:12:08.476 --> 00:12:11.457]  Just a coincidence though, I'm sure, that timing.
[00:12:11.477 --> 00:12:19.481]  And I wonder how this is going to go, especially now that Reality Winner is facing an espionage charge.
[00:12:19.901 --> 00:12:26.484]  But here's the thing, Rob Dude tweeted out, I'm glad Michael Moore is going to help find out who killed Seth Rich.
[00:12:26.864 --> 00:12:30.146]  Please send all tips here, michaelmoore.com slash TrumpyLeaks.
[00:12:30.186 --> 00:12:33.007]  So here's what we're going to do, just like we co-opted
[00:12:34.309 --> 00:12:36.650]  Whatever it was, Shia LaBeouf's little thing was.
[00:12:36.690 --> 00:12:37.590]  What was Shia LaBeouf?
[00:12:37.670 --> 00:12:38.751]  He will not divide us.
[00:12:38.811 --> 00:12:39.191]  Thank you.
[00:12:39.591 --> 00:12:40.452]  He will not divide us.
[00:12:40.492 --> 00:12:46.154]  So, just like we co-opted Shia LaBeouf's He Will Not Divide Us, let's co-opt Trumpy leaks.
[00:12:46.494 --> 00:12:51.857]  So Trump supporters, 4chan, Reddit, all of you people out there, I'm politically incorrect.
[00:12:52.617 --> 00:12:54.019]  Let's help Michael Moore out.
[00:12:54.159 --> 00:12:57.062]  Let's send him some leaks on Seth Rich.
[00:12:57.102 --> 00:12:58.343]  Let's send him intel on Seth Rich.
[00:12:58.603 --> 00:13:01.226]  Let's send him intel on, um, how about the Clintons?
[00:13:01.546 --> 00:13:02.587]  How about some Clinton leaks?
[00:13:02.647 --> 00:13:07.953]  Apparently Michael Moore didn't read the WikiLeaks, so maybe let's just forward some of those to TrumpyLeaks.
[00:13:08.293 --> 00:13:09.174]  In fact, that's a good one.
[00:13:09.515 --> 00:13:12.237]  Why don't we take all of the most powerful WikiLeaks,
[00:13:13.188 --> 00:13:18.834]  The succulent hot dogs, the children for your enjoyment, the I'll make example of the leakers, etc.
[00:13:18.855 --> 00:13:19.395]  etc.
[00:13:19.455 --> 00:13:20.957]  Donna Brazile, it goes on and on.
[00:13:21.337 --> 00:13:23.380]  Why don't we send those to Trumpy Leaks?
[00:13:23.640 --> 00:13:25.262]  Let's push those out to Michael Moore.
[00:13:25.282 --> 00:13:26.844]  Apparently he hasn't read those yet.
[00:13:27.424 --> 00:13:29.046]  And yeah, that should be nice.
[00:13:29.907 --> 00:13:34.530]  And that is, folks, that is just the tip of the iceberg on the WikiLeaks that I just mentioned there.
[00:13:34.550 --> 00:13:39.093]  So, let's co-op Trump leaks, just like we co-op all these other leftist nonsense movements.
[00:13:39.473 --> 00:13:40.574]  Send all our leaks.
[00:13:40.814 --> 00:13:46.577]  Send all the powerful leaks that actually have some legs, actually have some ground, and are actually changing the world with Trumpy leaks.
[00:13:46.797 --> 00:13:47.758]  And then you know what'll happen?
[00:13:47.978 --> 00:13:51.000]  Michael Moore will shut down his little website, just like Shia LaBeouf had to shut down his.
[00:13:51.929 --> 00:13:54.630]  Okay, so that's how we win in the culture war.
[00:13:54.690 --> 00:13:59.852]  So let's turn Trumpy Leaks into Clinton Leaks, Seth Rich Leaks, Shawn Lucas Leaks, Wiz and Hunt Leaks.
[00:13:59.912 --> 00:14:05.255]  Let's do that for Michael Moore there, just because he's never seen that information.
[00:14:06.997 --> 00:14:09.759]  Now here's what's going on into the Clinton group right now.
[00:14:09.799 --> 00:14:11.500]  It's not looking good, folks.
[00:14:11.540 --> 00:14:23.347]  I don't know if the Clintons are going to be able to body count their way out of all of this investigation that's now going on, especially when Bill and Hillary both look like death warmed over.
[00:14:23.648 --> 00:14:25.089]  They don't have much left in them, folks.
[00:14:25.489 --> 00:14:28.591]  Senate committee launches first new Clinton corruption investigation.
[00:14:28.631 --> 00:14:30.372]  Now, this is an interesting one.
[00:14:32.813 --> 00:14:36.215]  This one is a little more different than what we've seen in the past.
[00:14:36.615 --> 00:14:50.284]  Senate Committee on the Judiciary Chairman Chuck Grassley has launched a new investigation of former Secretary of State Hillary Clinton's effort to thwart a Bangladesh government corruption probe of Mohammed Yunus, a Clinton Foundation donor and a close friend of the Clintons.
[00:14:50.644 --> 00:14:55.387]  So basically what you have here, undeniable, on record, is the Clinton campaign
[00:14:56.147 --> 00:15:06.992]  Working with Muhammad Yunus, millions and millions of dollars funneled between the Clinton campaign and Yunus's causes in Bangladesh, and then...
[00:15:08.652 --> 00:15:23.049]  When what Eunice is doing in Bangladesh starts to get investigated, Clinton starts to work with I guess what is the IMF to try to thwart that investigation, specifically what was happening while she was in the State Department.
[00:15:23.089 --> 00:15:26.193]  Now, Grassley has the numbers, he has the dates, he has it all.
[00:15:26.893 --> 00:15:30.916]  And what he's basically saying is, why can't we get an investigation into this?
[00:15:31.296 --> 00:15:35.698]  If we can't have a fair investigation into this, then there is truly something wrong here.
[00:15:35.738 --> 00:15:38.920]  And Chuck Grassley is really on to something, folks.
[00:15:38.960 --> 00:15:46.405]  So we're going to keep this in mind and see how it develops, because Chuck Grassley is a very well-respected senator.
[00:15:47.465 --> 00:15:49.446]  And he's been in there for a long time.
[00:15:49.946 --> 00:15:51.287]  He's very well respected.
[00:15:51.487 --> 00:15:55.909]  And if he starts to raise red flags about this, perhaps others in there will start to listen.
[00:15:56.149 --> 00:15:56.889]  But that's not it.
[00:15:57.410 --> 00:15:59.070]  The Clintons got another lawsuit coming.
[00:15:59.110 --> 00:16:00.771]  The lawsuit that could sink the Clintons.
[00:16:01.131 --> 00:16:04.373]  Linda Ives says she can prove feds covered up her son's murder.
[00:16:05.728 --> 00:16:16.234]  Now this is a very interesting story, and to be honest with you, there's a lot of vagaries here, and you would think it wouldn't be so vague, but this has been an ongoing thing.
[00:16:16.274 --> 00:16:18.175]  They've been delaying this case for a long time.
[00:16:18.255 --> 00:16:28.100]  Apparently the next developments will be in November 2017, but this official lawsuit was actually filed in August of last year.
[00:16:28.180 --> 00:16:29.281]  There you can see it, folks.
[00:16:29.821 --> 00:16:38.829]  And there's actually no mention of the Clintons as far as the defendants here, even though she has tied Bill Clinton and Hillary Clinton into this.
[00:16:39.210 --> 00:16:48.938]  And she's even reached out to the Seth Rich family saying, don't be intimidated by controlled tactics to try to shut you up and trick you from investigating your son's murder.
[00:16:49.199 --> 00:16:55.985]  She's suing the CIA, the Defense Intelligence Agency, the Department of Justice, Homeland Security, DEA, FBI.
[00:16:56.385 --> 00:17:04.352]  The United States Attorney's Office, the Department of State, the State of Arkansas, Arkansas State Police, Bryant Police Department, and Saline County Sheriff's Office.
[00:17:04.733 --> 00:17:14.301]  She believes that all of them were acting in collusion to stop the investigation of her son, Kevin Ives' murder, which was actually years ago.
[00:17:14.401 --> 00:17:16.984]  Let me go back and check on the date of that.
[00:17:17.024 --> 00:17:18.025]  I think it was 30 years ago.
[00:17:18.045 --> 00:17:18.665]  Yeah, August 1987.
[00:17:20.026 --> 00:17:22.889]  The killers have never been brought to justice.
[00:17:24.150 --> 00:17:42.533]  What she believes or I guess the conspiracy theory surrounding this is that her son happened to stumble upon a Bill Clinton or perhaps a Arkansas government or police run drug deal and so they had to kill her son and then put him on a train tracks to be mutilated.
[00:17:42.773 --> 00:17:50.415]  The official story is that Kevin Ives got so high off marijuana that he passed out on train tracks and got ran over.
[00:17:51.175 --> 00:17:55.181]  So high on marijuana, couldn't hear an oncoming train horn coming right at him.
[00:17:55.361 --> 00:17:56.763]  That's the story they want you to believe.
[00:17:57.865 --> 00:18:03.493]  You know what guys, since we're running out of time, let's run Chelsea Clinton getting trolled here real quick to finish this segment.
[00:18:03.633 --> 00:18:06.037]  Go ahead and roll Chelsea Clinton at a book signing.
[00:18:06.724 --> 00:18:07.485]  Hi, how are you?
[00:18:07.585 --> 00:18:08.145]  Good, how are you?
[00:18:08.185 --> 00:18:13.710]  Good, because this book's for everyone, including women who have wanted to speak up but have been told to quiet down.
[00:18:13.730 --> 00:18:15.751]  Can you sign it for my friend Juanita Broderick?
[00:18:15.791 --> 00:18:19.795]  Because she's been silenced by your parents, especially Bill Clinton, who's a rapist.
[00:18:20.035 --> 00:18:20.635]  Can you sign it for her?
[00:18:20.655 --> 00:18:21.496]  Thank you for coming today.
[00:18:21.696 --> 00:18:22.277]  Can you sign it?
[00:18:23.568 --> 00:18:27.690]  Oh, she gets really blushy there and doesn't want to talk about Juanita Broderick.
[00:18:28.091 --> 00:18:35.796]  And I love the way the woman that asked the question referred to Bill Clinton as if it wasn't her father, because it's not her father, it's Webb Hubble.
[00:18:36.996 --> 00:18:40.459]  But there's Chelsea Clinton getting totally trolled, totally embarrassed.
[00:18:40.959 --> 00:18:42.100]  We're sick of the Clintons.
[00:18:42.500 --> 00:18:43.280]  We're calling you out.
[00:18:43.320 --> 00:18:44.861]  The people of America are rising up.
[00:18:44.881 --> 00:18:45.902]  We're not taking it anymore.
[00:18:46.522 --> 00:18:47.503]  And you can see it, folks.
[00:18:47.583 --> 00:18:48.483]  It's happening right now.
[00:18:48.583 --> 00:18:49.904]  Freedom is manifesting itself.
[00:18:49.944 --> 00:18:50.824]  We're taking power back.
[00:18:50.864 --> 00:18:51.445]  We'll be right back.
[00:18:51.505 --> 00:18:53.446]  InfoWars Nightly News after these messages.
[00:18:55.267 --> 00:19:06.952]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[00:19:07.532 --> 00:19:09.613]  That's why I'm introducing Z-SHIELD.
[00:19:09.793 --> 00:19:12.614]  Toxic Metal and Chemical Defense Support.
[00:19:13.054 --> 00:19:14.255]  It's made in the USA.
[00:19:14.995 --> 00:19:23.379]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the InfoWars.
[00:19:23.720 --> 00:19:25.681]  It is a classical 360 win.
[00:19:26.181 --> 00:19:30.003]  Our formula at InfoWarsLife.com is quite frankly simple.
[00:19:30.663 --> 00:19:37.207]  We go out and look at the recognized research and we take it to the next level of quality, of purity,
[00:19:38.408 --> 00:19:39.109]  And of strength.
[00:19:40.069 --> 00:19:43.452]  Because this is what I personally use for myself and my family.
[00:19:43.872 --> 00:19:51.457]  We've gone through five or six different permutations in the last four years, since we launched in Fuller's Life, to actually come up with this.
[00:19:52.258 --> 00:20:03.446]  This is the formula that I personally have been taking for over a year, and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[00:20:03.706 --> 00:20:18.150]  If you're not mitigating the pesticides, the heavy metals, the chemicals, if you're not trying to purify your water, if you're not trying to take products like Z-Shield that are full of known concentrated compounds that'll purify our cells and our bodies, you're crazy.
[00:20:18.651 --> 00:20:19.371]  You owe it to yourself.
[00:20:20.131 --> 00:20:29.973]  You owe it to your family, and you owe it to the future of this country and the world, that patriots stay as healthy, and as clean, and as focused as you can be.
[00:20:30.033 --> 00:20:38.295]  Because we need you, the remnant of America, to reignite those brush fires to the next level, and to be healthy and as focused as you can be.
[00:20:38.495 --> 00:20:45.196]  Because if you're sick, if you're over there on the sidelines and not in the fight, you're basically giving in to the New World Order.
[00:20:46.221 --> 00:20:50.027]  Thanks to your support and your prayers, together, we're changing the world.
[00:20:50.467 --> 00:20:51.809]  Now it's time to change our bodies.
[00:20:52.450 --> 00:20:54.253]  With Z Shield and Infowarslive.com.
[00:21:01.663 --> 00:21:03.826]  You know it by now from the mainstream media.
[00:21:04.046 --> 00:21:06.929]  They're trying to attack us on every level.
[00:21:06.969 --> 00:21:21.326]  Now with the YouTube scandal, they're demonetizing our channels, which again takes a huge chunk out of our income, which is why we always appreciate and rely on you getting the products because that's how we stay afloat.
[00:21:21.986 --> 00:21:23.607]  They can't get to us that way.
[00:21:23.987 --> 00:21:26.809]  They can't pressure you to not buy the products.
[00:21:26.849 --> 00:21:27.810]  They don't have that power.
[00:21:28.290 --> 00:21:30.812]  And that's why you're the key to this entire operation.
[00:21:31.172 --> 00:21:33.574]  We have Super Blue Fluoride Free Toothpaste.
[00:21:34.014 --> 00:21:36.856]  Bubblegum flavor just arrived at InfoWarsStore.com.
[00:21:36.876 --> 00:21:38.517]  This is by listener request.
[00:21:38.757 --> 00:21:44.001]  Bubblegum flavored Super Blue toothpaste now available at InfoWarsStore.com in limited supply.
[00:21:44.021 --> 00:21:48.904]  Again, if you're not using fluoride free toothpaste by now,
[00:21:49.744 --> 00:21:51.086]  You're absolutely insane.
[00:21:51.506 --> 00:21:55.810]  Harvard studies, it reduces IQ, it causes bone cancer.
[00:21:56.411 --> 00:22:01.535]  It's not great, let's just put it that way, and I've been using it for about, what, 15 years now?
[00:22:02.296 --> 00:22:05.018]  So, you're gonna buy it anyway, why not buy it from us?
[00:22:05.038 --> 00:22:10.844]  It's in limited supply, but it is available at InfoWarsStore.com with the new bubblegum flavor.
[00:22:11.424 --> 00:22:23.472]  Super blue fluoride free toothpaste and it supports this network which is under constant demonization and attack because we don't take big fat checks from George Soros.
[00:22:23.772 --> 00:22:26.593]  We don't get put on extremist list even though they want us to.
[00:22:26.633 --> 00:22:28.655]  That's how they're taking away the YouTube money.
[00:22:29.015 --> 00:22:40.442]  That's why we need your support more than ever because we're not funded by giant corporations who are now pulling the plug on YouTube as they move it into a TV thing, a Netflix model.
[00:22:41.082 --> 00:22:43.065]  To drown out independent voices.
[00:22:43.085 --> 00:22:46.189]  So, support us by getting the products at Infowarsstore.com.
[00:23:00.418 --> 00:23:01.379]  Well how do you like this?
[00:23:01.559 --> 00:23:07.722]  In the face of liberals and liberal media freaking out about Donald Trump tweeting, they don't get the monopoly of information over there.
[00:23:08.062 --> 00:23:14.086]  With the upcoming Comey testimony on Thursday, Donald Trump may be live tweeting it.
[00:23:14.406 --> 00:23:16.087]  How about them apples?
[00:23:16.167 --> 00:23:25.272]  According to a source with real clear politics, Robert Costa says, Donald Trump, President Trump may be live tweeting the Comey testimony.
[00:23:26.351 --> 00:23:27.292]  I say, heck yeah!
[00:23:27.652 --> 00:23:30.814]  First ever presidential live tweet, apparently right around the corner.
[00:23:31.535 --> 00:23:34.717]  That is the day and age that we live in, whether we like it or not.
[00:23:35.578 --> 00:23:47.167]  Now, let's go to this video of Maxine Waters, and I'm actually going to... Well, let's just play this video of Maxine Waters and... Well, she's nuts, folks.
[00:23:47.187 --> 00:23:48.908]  Go ahead and play it.
[00:23:48.928 --> 00:23:54.993]  Can you imagine a president that disrespects all of our allies in the world?
[00:23:55.598 --> 00:24:00.661]  There she is yelling again about Trump.
[00:24:01.042 --> 00:24:12.929]  He literally just went on a foreign trip for like 10 days showing appreciation for other cultures.
[00:24:12.949 --> 00:24:16.812]  This woman is so into it.
[00:24:16.852 --> 00:24:17.412]  Look at her.
[00:24:17.712 --> 00:24:19.333]  These people actually has followers too.
[00:24:19.373 --> 00:24:20.975]  Now this is a Young Turks reporter.
[00:24:20.995 --> 00:24:21.395]  Listen to this.
[00:24:22.108 --> 00:24:25.429]  I look at your tweets and around 60% had to do with this Russia issue.
[00:24:25.809 --> 00:24:28.931]  Do you think that's a proportionate focus for Democrats?
[00:24:28.991 --> 00:24:31.112]  Should it be overwhelmingly on this Russia matter?
[00:24:31.132 --> 00:24:31.812]  Well, no.
[00:24:32.112 --> 00:24:32.732]  And this is it.
[00:24:33.352 --> 00:24:35.913]  We can walk and chew gum at the same time.
[00:24:36.294 --> 00:24:40.675]  And for people who say, you know, don't do this, don't do this, you just should do that.
[00:24:41.175 --> 00:24:49.739]  Let me just say that I consider that protection of our democracy and understanding that Russia is not our friend.
[00:24:50.459 --> 00:25:01.744]  And that they are undermining our democracy by hacking into our elections and trying to determine as they have done who should be President of the United States.
[00:25:01.784 --> 00:25:03.265]  And that's very important.
[00:25:03.305 --> 00:25:06.626]  At the same time, we fight very hard for health care.
[00:25:07.007 --> 00:25:09.728]  We're trying to preserve the ACA by their trying to undo it with health care.
[00:25:13.030 --> 00:25:15.331]  For 35 years, right?
[00:25:15.692 --> 00:25:18.334]  And so we know how to do both, and we're doing that.
[00:25:18.354 --> 00:25:25.319]  When you say Russia's not our friend, was Obama mistaken to forge military cooperation with Russia in Syria and to try to get a START treaty?
[00:25:25.499 --> 00:25:27.421]  You and I have a different agenda, young man.
[00:25:27.621 --> 00:25:29.943]  I'm out to impeach this president.
[00:25:30.183 --> 00:25:30.903]  Get that straight.
[00:25:31.284 --> 00:25:32.745]  I'm out to impeach the president.
[00:25:33.025 --> 00:25:35.787]  I'm not going to be diverted by people who are Obama haters.
[00:25:37.228 --> 00:25:38.749]  Alright, so cut it there, that's fine.
[00:25:39.089 --> 00:25:45.574]  So that's a Young Turks reporter being called an Obama-hater by Maxine Waters, so she obviously doesn't know much about the Young Turks.
[00:25:45.954 --> 00:25:49.717]  And then the Young Turks reporter is shocked at the end of it, like, oh my gosh, why did I trigger Maxine Waters?
[00:25:50.118 --> 00:25:52.259]  Bro, do you realize what side you're on?
