[00:00:00.009 --> 00:00:00.329]  Tom.
[00:14:35.819 --> 00:14:38.981]  Okay, Mexican citizens to get land at three cents an acre.
[00:14:41.001 --> 00:14:43.042]  And that's what it's all about, ladies and gentlemen.
[00:14:43.082 --> 00:14:44.103]  That's where the wealth is.
[00:14:44.383 --> 00:14:48.245]  But under Agenda 21, they want to force us all into these compact cities.
[00:14:49.566 --> 00:14:54.908]  And when you realize that Bill Clinton and Barack Obama and Rahm Emanuel, I mean, think about each one of those people.
[00:14:54.948 --> 00:14:58.270]  These are actual gutter-level thugs.
[00:14:58.370 --> 00:15:03.212]  I mean, Bill Clinton is an actual total cokehead, nose like a vacuum cleaner.
[00:15:03.912 --> 00:15:04.793]  Roger Clinton said,
[00:15:06.459 --> 00:15:12.124]  A guy who's settled with a bunch of women, where he'd have them at a dinner and say, step in the cloakroom with me for a second.
[00:15:12.604 --> 00:15:19.270]  He'd get a woman in, punch her in the face, bloody her nose, and then bite her lip with blood dripping.
[00:15:19.770 --> 00:15:21.912]  That's a high-tech rapist technique, by the way.
[00:15:21.972 --> 00:15:23.253]  Only real psychopaths know that.
[00:15:23.754 --> 00:15:25.215]  They don't even talk about it, give people ideas.
[00:15:25.495 --> 00:15:30.680]  And you bite while you talk to them, and you say, you take your panties off right now, I'm gonna bite your lip off.
[00:15:31.479 --> 00:15:35.423]  You understand, I hate to talk like that, but that's what came out in court that Bill Clinton would do.
[00:15:35.743 --> 00:15:49.175]  Start strangling a woman, bite their face, and then Gloria Steinem and all of them, when this came out in the, like, 1997-98, right during the impeachment, they all came to his aid, because they're there to ruin women.
[00:15:51.297 --> 00:15:52.979]  Hillary's humiliation, how she
[00:15:54.562 --> 00:15:56.343]  Swept Bill Clinton's affair under the carpet.
[00:15:56.363 --> 00:16:01.505]  And they all made it about the affair of Monica Lewinsky and Paula Jones and all the rest of this.
[00:16:01.825 --> 00:16:06.967]  I mean, I've interviewed the people who've been tortured and beaten up by Bill Clinton's folks.
[00:16:07.548 --> 00:16:15.111]  And so I told Don Salazar to go dig up some of those names and people and, you know, who it happened to, and put it in the article.
[00:16:16.252 --> 00:16:18.973]  There's a story up on Drudge that's from the Washington Times.
[00:16:19.433 --> 00:16:23.635]  Rand Paul demands Dems return money raised by sexual predator Bill Clinton.
[00:16:24.411 --> 00:16:26.412]  We're going to play the video in a moment.
[00:16:26.932 --> 00:16:28.313]  But that's it.
[00:16:28.393 --> 00:16:37.697]  Why always be on the defense while they arrest Dinesh D'Souza, and while they arrest governors for no reason, who's a rising star against Hillary.
[00:16:38.358 --> 00:16:45.461]  And I don't like Chris Christie, but they're like obsessing over some bridge deal and all the rest of it, while Democrats do stuff literally a thousand times worse.
[00:16:45.721 --> 00:16:46.422]  And again, I'm just...
[00:16:47.242 --> 00:16:50.984]  I'm a big critic of Republicans when they're on office as well, and of Boehner, and all of them.
[00:16:51.344 --> 00:16:55.046]  My thing is the Democrats really are the gutter scum of the earth.
[00:16:56.307 --> 00:16:58.928]  I don't mean the well-meaning camp followers.
[00:17:00.729 --> 00:17:05.191]  And they really are gangsters, and Gloria Steinem and all these fake feminists do not have the moral high ground.
[00:17:05.772 --> 00:17:07.613]  They are not consistent about women's rights.
[00:17:07.953 --> 00:17:09.734]  They are not consistent about anybody's rights.
[00:17:11.055 --> 00:17:13.536]  Somebody like Camille Paglia is consistent.
[00:17:13.916 --> 00:17:15.976]  These people are not feminists, okay?
[00:17:16.196 --> 00:17:17.717]  They don't want women owning guns.
[00:17:17.957 --> 00:17:19.057]  They don't want women empowered.
[00:17:19.477 --> 00:17:20.398]  I have two daughters.
[00:17:21.138 --> 00:17:32.461]  I want them to be the most informed, educated, healthy, smart, dynamic, armed, beautiful, vicious, 21st century caveman women.
[00:17:33.507 --> 00:17:34.849]  Because I'm a caveman too, folks.
[00:17:35.130 --> 00:17:35.691]  I'm natural.
[00:17:35.711 --> 00:17:36.532]  I've got my instincts.
[00:17:36.953 --> 00:17:37.775]  I want to be like that.
[00:17:38.235 --> 00:17:40.259]  And I want my son to be powerful.
[00:17:40.760 --> 00:17:41.281]  And strong.
[00:17:41.782 --> 00:17:42.864]  Because I want to be free.
[00:17:44.567 --> 00:17:46.490]  And so the media is trying to act like it's outrageous.
[00:17:47.654 --> 00:17:49.275]  But the media is out of bullets, folks.
[00:17:49.555 --> 00:17:50.636]  They're out of political bullets.
[00:17:50.656 --> 00:17:53.318]  That's what I told Politico years ago when Rand Paul got elected.
[00:17:53.358 --> 00:17:54.779]  I said, listen, don't you get it?
[00:17:54.899 --> 00:17:57.240]  You need to endorse Rand Paul to destroy Rand Paul.
[00:17:57.840 --> 00:18:05.185]  Even if you don't like him, your endorsement will destroy him because the people run like the plague from the New York Times.
[00:18:05.926 --> 00:18:08.787]  And so they fence it out into Politico and then people run from that.
[00:18:09.068 --> 00:18:10.469]  They're running from you.
[00:18:11.269 --> 00:18:12.450]  We're sick of you.
[00:18:12.891 --> 00:18:22.782]  We know you're a bunch of con artists, globalist crooks and thugs, and a gang using social engineering to sabotage society so you can rule the pile of crud.
[00:18:24.403 --> 00:18:28.248]  And the answer is Bob Barr saying if he gets back in he's going to impeach Obama.
[00:18:28.268 --> 00:18:31.111]  He's the guy that introduced the Articles of Impeachment with Shippers and the rest of them.
[00:18:32.179 --> 00:18:34.420]  The answer is have Ted Cruz go at the jugular.
[00:18:34.920 --> 00:18:36.801]  The answer is have Rand Paul go at the jugular.
[00:18:37.041 --> 00:18:38.842]  The answer is have Alex Jones go at the jugular.
[00:18:39.082 --> 00:18:40.343]  And Matt Drudge go at the jugular.
[00:18:40.603 --> 00:18:42.104]  And Joseph Farah go at the jugular.
[00:18:42.484 --> 00:18:44.925]  And Glenn Beck go at the jugular.
[00:18:45.987 --> 00:18:50.869]  Listen, we're not going to beat these people playing games and quarter measures.
[00:18:51.130 --> 00:18:55.732]  We've got to all in, move the Overton window back to reality.
[00:18:55.952 --> 00:19:02.755]  They've got it all extreme where if you criticize five-year-olds being taught how to be transvestites or transgender, you're a homophobe.
[00:19:03.536 --> 00:19:07.998]  Or if you don't want five-year-olds being taught how to have anal sex, you're a homophobe.
[00:19:08.598 --> 00:19:12.320]  Or if you don't want to give illegal aliens free everything, no other country does that.
[00:19:12.520 --> 00:19:14.821]  We're going bankrupt, you hate Mexicans.
[00:19:15.101 --> 00:19:17.283]  It's all them with fake moral high ground.
[00:19:17.923 --> 00:19:35.353]  We have all the ammo, Benghazi, and NSA, and IRS, and just all the lying, and the cheating, and Obamacare, and the fraud, and all of it to totally destroy these people, overthrow the Republican establishment, have the Libertarians take over, and literally save the country.
[00:19:36.753 --> 00:19:41.176]  Or, if they keep taking over and we lose this round, they'll all just get to blame the globalists
[00:19:42.839 --> 00:19:44.260]  And so we'll just win in the next round.
[00:19:44.481 --> 00:19:45.742]  Because resistance is victory.
[00:19:45.982 --> 00:19:47.083]  Never giving up is victory.
[00:19:47.243 --> 00:19:49.925]  We're just as good as the scum that runs the New World Order.
[00:19:49.965 --> 00:19:50.386]  We're better.
[00:19:50.786 --> 00:19:52.007]  We just don't cheat like them.
[00:19:52.908 --> 00:19:53.789]  We've got the power.
[00:19:56.451 --> 00:19:58.453]  We've got the mouths like alligators.
[00:19:59.454 --> 00:20:02.456]  It's time to get aggressive and eat these people alive.
[00:20:02.777 --> 00:20:04.538]  It's time to gut up and stomp.
[00:20:05.039 --> 00:20:06.120]  It's time to get aggressive!
[00:20:06.680 --> 00:20:07.881]  Time to get back in their face!
[00:20:10.089 --> 00:20:11.489]  My husband's the gun guy.
[00:20:11.709 --> 00:20:13.430]  I've just never felt comfortable with them.
[00:20:13.570 --> 00:20:15.950]  But these days, I know I need protection.
[00:20:16.150 --> 00:20:18.951]  And I found it at TheUltimateKnife.com.
[00:20:19.111 --> 00:20:20.632]  It fits my hand like a glove.
[00:20:20.812 --> 00:20:23.032]  Plus, it's small enough to easily conceal.
[00:20:23.172 --> 00:20:25.633]  And the peace of mind it gives me is unbeatable.
[00:20:25.653 --> 00:20:31.374]  The fastest one-handed deployable defense knife is waiting for you at TheUltimateKnife.com.
[00:20:31.534 --> 00:20:34.055]  Use promo code RADIO at checkout for free shipping.
[00:20:34.295 --> 00:20:36.675]  Get The Ultimate Knife at the ultimate price.
[00:20:36.955 --> 00:20:38.816]  Only at TheUltimateKnife.com.
[00:20:41.041 --> 00:20:42.442]  My name is Jessica Armand.
[00:20:42.562 --> 00:20:45.243]  I'm an activist, a GCN listener, and mother of three.
[00:20:45.403 --> 00:20:50.085]  Our drinking water and food are filled with fluoride and other contaminants that harm our teeth and gums.
[00:20:50.245 --> 00:20:55.427]  To protect my family, I created My Magic Mud, an all-natural teeth whitening and strengthening remedy.
[00:20:55.567 --> 00:21:02.170]  My Magic Mud is a soft powder that polishes your teeth, reduces sensitivity, and removes harmful toxins from deep inside your mouth.
[00:21:02.290 --> 00:21:04.211]  You deserve a bright, healthy smile.
[00:21:04.271 --> 00:21:06.712]  Visit MyMagicMud.com and get yours today.
[00:21:06.832 --> 00:21:08.693]  That's MyMagicMud.com.
[00:21:10.106 --> 00:21:12.667]  Hi folks, Alex Jones here with some important information.
[00:21:12.928 --> 00:21:17.810]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:21:18.070 --> 00:21:25.934]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:21:26.175 --> 00:21:30.497]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:21:30.717 --> 00:21:34.519]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:21:34.679 --> 00:21:40.381]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:21:40.621 --> 00:21:43.402]  It is rare to find companies who practice what they preach.
[00:21:43.782 --> 00:21:49.023]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:21:49.163 --> 00:21:57.286]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:21:57.346 --> 00:21:57.526]  That's 866-229-0927.
[00:21:57.606 --> 00:21:58.146]  Do business
[00:22:09.749 --> 00:22:17.310]  If you ever wanted to get off the grid and start generating your own supply of electricity, this will be the most important message you'll ever hear.
[00:22:17.350 --> 00:22:22.271]  Hi, I'm Brian Brady with a time-sensitive solar generator offer from Solutions from Science.
[00:22:22.471 --> 00:22:32.353]  Remember, solar generators provide life-saving electrical power, and unlike gas generators, solar generators run quietly, emit no fumes, and produce free electricity from the sun.
[00:22:32.373 --> 00:22:33.253]  Here's the good news.
[00:22:33.713 --> 00:22:38.558]  Our Power Hub solar generator, on sale now, is one of our most powerful solar generators.
[00:22:38.758 --> 00:22:44.204]  And due to an overwhelming demand from our customers, we've recently restocked this remarkable solar workhorse.
[00:22:44.364 --> 00:22:45.926]  The Power Hub is easy to use.
[00:22:46.026 --> 00:22:48.028]  Just point, plug, and power up.
[00:22:48.208 --> 00:22:51.271]  Even better, with dramatic price reductions on the Power Hub.
[00:22:51.451 --> 00:22:59.221]  With bonuses worth thousands of dollars, there's never been a better time to get off the grid and generate your own private supply of electricity.
[00:22:59.281 --> 00:23:02.125]  Go to solargeneratorfreedom.com to learn more.
[00:23:02.165 --> 00:23:04.388]  That's solargeneratorfreedom.com.
[00:23:04.448 --> 00:23:05.409]  Get off the grid!
[00:23:05.650 --> 00:23:07.552]  Go to solargeneratorfreedom.com.
[00:23:07.572 --> 00:23:09.535]  That's solargeneratorfreedom.com.
[00:23:14.079 --> 00:23:17.861]  In the U.S., one in every 50 homes will have a break-in this year.
[00:23:19.162 --> 00:23:20.883]  Burglars call it smash and grab.
[00:23:21.243 --> 00:23:22.524]  Police call it robbery.
[00:23:23.444 --> 00:23:24.845]  We call it avoidable.
[00:23:25.345 --> 00:23:30.968]  We are Fake TV, a simple electronic device that can fool even professional burglars.
[00:23:31.388 --> 00:23:36.291]  Fake TV easily plugs into any outlet and simulates the changing colors of a television.
[00:23:36.791 --> 00:23:42.815]  To a burglar, it looks like someone must be home watching TV, so they'll likely move on to an easier target.
[00:23:44.015 --> 00:23:50.719]  At only $29.95, Fake TV costs less than a month of most alarm monitoring plans and comes with free shipping.
[00:23:51.059 --> 00:23:54.942]  Order your Fake TV by calling 877-5-FAKE-TV or go to Faketv.com.
[00:23:55.002 --> 00:23:56.323]  That's 877-532-5388 or Faketv.com.
[00:23:56.383 --> 00:23:58.444]  Fake TV, the burglar deterrent.
