[00:00:01.408 --> 00:00:09.332]  I can't believe I'm doing a Nickelback video.
[00:04:43.519 --> 00:04:52.661]  Enjoy your corporately created revolution, brought to you by the 2011 number one musical turnoff and the band that was voted the second worst band of the 90s, Nickelback.
[00:04:53.582 --> 00:05:01.304]  And all you Nickelheads out there, before you start writing in the comments telling me how much you hate me, read a little bit about the tax-free foundations in the links provided below.
[00:05:01.584 --> 00:05:02.824]  You just might learn something.
[00:05:03.578 --> 00:05:06.919]  And this is Rob Doo for InfoWars Nightly News and InfoWars.com.
[00:05:07.359 --> 00:05:11.301]  If you are watching this on YouTube, please consider becoming a member of PrisonPlanet.tv.
[00:05:12.261 --> 00:05:20.605]  The new album drops November 17th, so get ready for an onslaught of vapid Nickelback songs to flood corporate radio!
[00:05:31.926 --> 00:05:36.308]  Symbols are powerful, and the globalists have hijacked the symbols of America.
[00:05:36.608 --> 00:05:38.889]  They've turned them into their own symbols.
[00:05:39.189 --> 00:05:48.873]  Well, we are restoring the idea of the true republic, not the counterfeit globalist empire, by promoting the icon George Washington and others.
[00:05:49.213 --> 00:05:57.437]  That's why we're rolling out on a 100% Made in America line of incredible pro-liberty apparel.
[00:05:57.638 --> 00:06:00.179]  We are re-popularizing liberty.
[00:06:00.599 --> 00:06:04.841]  We are helping fellow Americans rediscover what made this country great.
[00:06:05.202 --> 00:06:06.102]  We are the spirit of 1776.
[00:06:07.603 --> 00:06:09.884]  We are 1776 worldwide.
[00:06:09.944 --> 00:06:15.167]  We are all brothers and sisters in arms in the animating contest of liberty.
[00:06:15.447 --> 00:06:19.632]  In the long march towards humanity's ultimate destiny of freedom.
[00:06:20.053 --> 00:06:31.768]  Visit MadeIn1776.com today and vote with your dollars to promote truly made in America high quality products and promote the ideals of liberty.
