[00:00:00.049 --> 00:00:00.369]  I think so.
[00:08:32.355 --> 00:08:33.076]  You can feel it!
[00:08:38.891 --> 00:08:43.625]  Defending the Republic from enemies foreign and domestic.
[00:08:44.507 --> 00:08:46.011]  It's Alex Jones!
[00:09:02.777 --> 00:09:04.960]  Monday through Friday from 11 a.m.
[00:09:04.980 --> 00:09:05.561]  to 2 p.m.
[00:09:05.601 --> 00:09:06.021]  Central.
[00:09:06.482 --> 00:09:07.824]  We're here live ladies and gentlemen.
[00:09:07.864 --> 00:09:12.790]  We're live on this 29th day of May 2014 on this Thursday edition
[00:09:19.810 --> 00:09:34.282]  Our reporters, Paul Joseph Watson, David Knight, Josh Owens, and others are on the ground in Copenhagen, Denmark for Bilderberg 2014 as the world discovers our overlords and our illegitimate rulers.
[00:09:35.683 --> 00:09:38.245]  They want us to stay focused on the puppets, the front men.
[00:09:38.746 --> 00:09:43.670]  But we're going to spotlight the real power behind the throne, the man behind the curtain,
[00:09:44.997 --> 00:10:02.863]  The men behind the curtain, the women behind the curtain, that are eugenicist, globalist, anti-human garbage, who are the progenitors, the creators of people like the Nazis and modern communism as we know it.
[00:10:04.444 --> 00:10:11.446]  They are the old oligarchs, the robber barons, the great-grandchildren of the robber barons and the British and Dutch and German royalty.
[00:10:12.543 --> 00:10:13.504]  And the Rothschilds.
[00:10:13.864 --> 00:10:15.725]  They are the power elite.
[00:10:16.846 --> 00:10:22.229]  And they see you and I as total scum animals who have no rights and are here to be usurped by them.
[00:10:22.649 --> 00:10:23.870]  And now our labor's cheap.
[00:10:23.970 --> 00:10:24.911]  In fact, it's worthless.
[00:10:25.251 --> 00:10:26.932]  They've got robots, they've got computers.
[00:10:27.372 --> 00:10:28.733]  They say they're done with us.
[00:10:29.614 --> 00:10:39.420]  Now they're just busy slowing the economy, turning off the economy to get control of us politically, to domesticate us, for the orderly reclamation
[00:10:41.361 --> 00:10:47.663]  Spiking, the wrecking, the demolition of humanity as we know it.
[00:10:47.783 --> 00:10:49.044]  Every statistic shows it.
[00:10:49.504 --> 00:10:50.544]  Every number shows it.
[00:10:51.024 --> 00:10:52.405]  The system isn't failed.
[00:10:52.925 --> 00:10:55.006]  It's designed to implode.
[00:10:55.086 --> 00:10:57.126]  But there's still good people in the system.
[00:10:57.406 --> 00:11:01.988]  There's still part of the old system that wasn't perfect, but is wonderful compared to this.
[00:11:02.788 --> 00:11:08.190]  And there's renaissance new systems as well that are all in competition with each other.
[00:11:09.448 --> 00:11:15.270]  The globalists worldwide have control of central banking and the issuance of fractional reserve banking.
[00:11:15.590 --> 00:11:20.873]  For every euro, for every dollar, they are able to loan out under the old system $10.
[00:11:21.193 --> 00:11:33.798]  Under derivatives of the last 50 years and other paper frauds, they are able to loan out thousands of times per dollar what they have.
[00:11:35.000 --> 00:11:38.382]  And then they hope you go bankrupt because then they get your real assets.
[00:11:38.742 --> 00:11:39.562]  They get you.
[00:11:40.003 --> 00:11:41.243]  They get your soul.
[00:11:42.784 --> 00:11:51.609]  Because we're sold out to money and to them it's literally nothing but garbage that they create out of nothing.
[00:11:52.769 --> 00:11:56.651]  In fact, there was an article on Monday I meant to cover that was so chilling.
[00:11:56.671 --> 00:11:57.972]  Will you guys reprint it for me?
[00:11:58.072 --> 00:11:59.012]  It was a headline.
[00:11:59.032 --> 00:12:01.594]  It was also in the Jerusalem Post, but I think the one I had was from
[00:12:03.823 --> 00:12:04.804]  It was zero hedge.
[00:12:05.724 --> 00:12:08.966]  It was Israel to become first cashless nation.
[00:12:11.007 --> 00:12:16.191]  And I was reading through the article, there's nothing more hellish for control than cashless.
[00:12:16.771 --> 00:12:18.632]  Oh, it's very convenient.
[00:12:18.652 --> 00:12:19.453]  It's very easy.
[00:12:19.893 --> 00:12:21.294]  Oh, you just have it on your key fob.
[00:12:21.314 --> 00:12:22.955]  You don't have to keep track of it.
[00:12:22.995 --> 00:12:25.757]  The problem is they're going to put fines and fees and regulations on it.
[00:12:26.277 --> 00:12:30.880]  It's going to kill the underground markets and it's going to create a nightmare system
[00:12:33.340 --> 00:12:35.381]  Of absolute total control.
[00:12:35.401 --> 00:12:38.543]  In fact, they found the headline.
[00:12:38.563 --> 00:12:38.924]  There it is.
[00:12:38.964 --> 00:12:39.704]  Zero Hedge.
[00:12:40.725 --> 00:12:46.088]  Government plan would transfer Israel into the world's first cashless society.
[00:12:47.869 --> 00:12:49.770]  And they're selling it like it's a wonderful thing.
[00:12:50.311 --> 00:12:52.052]  It could not be more hellish.
[00:12:53.333 --> 00:12:56.195]  That's why more and more I'm getting cash to pay for dinners.
[00:12:57.315 --> 00:12:59.297]  I'm getting cash to pay for bonuses.
[00:13:00.182 --> 00:13:06.744]  I mean, we need to take it out of the bank post-IRS tax, the private federal reserve, so the tax is even paid on it.
[00:13:06.784 --> 00:13:13.487]  But I'm paying people in cash, in some cases, so that we can keep cash alive.
[00:13:14.127 --> 00:13:17.688]  Because cash is already digital.
[00:13:17.728 --> 00:13:18.328]  The new U.S.
[00:13:18.368 --> 00:13:23.050]  money has tracker numbers on it, and it's got RFID they can read from a distance.
[00:13:24.540 --> 00:13:28.322]  But the elite themselves, rich families and others are hoarding gold and cash.
[00:13:28.902 --> 00:13:37.886]  It is so important to keep cash, ladies and gentlemen, because it allows the globalists that run the narcotics and all the corrupt operations to exempt themselves in the digital systems.
[00:13:38.707 --> 00:13:44.529]  I'm sure you've noticed that you never see the big banks getting busted for publicly laundering trillions in drug money every year.
[00:13:45.230 --> 00:13:48.831]  Or owning the drug aircraft as Wells Fargo has been caught doing with Wachovia.
[00:13:49.712 --> 00:13:51.413]  Because they're literally above the law.
[00:13:52.253 --> 00:13:58.215]  So, no amount of cashless society, no-your-customer garbage is there to keep us safe or stop terrorism.
[00:13:58.955 --> 00:14:09.959]  It's there to selectively shut down our society and then totally destroy their competition because only, again, the globalists will be exempt.
[00:14:10.699 --> 00:14:17.942]  You won't be exempt, so you can't exempt yourself and go to the black market or the underground economy that keeps authoritarian societies going.
[00:14:19.301 --> 00:14:21.363]  And by that, it doesn't keep the authoritarians going.
[00:14:21.743 --> 00:14:25.826]  It keeps people in an authoritarian society from being completely destroyed.
[00:14:27.247 --> 00:14:32.071]  When you have a lawless criminal government, it becomes a duty to not follow the criminal laws.
[00:14:32.131 --> 00:14:35.493]  It becomes a duty to not pay the taxes.
[00:14:35.553 --> 00:14:37.795]  It becomes a duty to not comply.
[00:14:39.636 --> 00:14:42.799]  And I've never really said, you know, don't pay the taxes.
[00:14:43.519 --> 00:14:45.761]  But when it comes to Obamacare, it's now time to not do it.
[00:14:47.219 --> 00:14:48.079]  It's a death panel.
[00:14:48.139 --> 00:14:49.660]  It's an abortion funding system.
[00:14:50.060 --> 00:14:52.001]  It's an infanticide eugenic system.
[00:14:52.482 --> 00:14:54.403]  It's kill grandma system on record.
[00:14:55.023 --> 00:14:56.804]  It's don't give cancer patients treatment.
[00:14:57.624 --> 00:14:59.465]  That's NBC News today.
[00:15:02.747 --> 00:15:03.587]  Look at this headline.
[00:15:03.928 --> 00:15:09.750]  Children as young as five labeled suspicious by Florida police as they put them in databases.
[00:15:11.551 --> 00:15:14.493]  That's out of Fusion.net, one of the big police sites.
[00:15:17.247 --> 00:15:19.429]  I mean, this country is just a total joke.
[00:15:19.849 --> 00:15:22.271]  What about listing the globalists as suspicious?
[00:15:22.872 --> 00:15:24.834]  What about listing powerful elites as suspicious?
[00:15:25.374 --> 00:15:27.456]  Oh, they don't exist, remember?
[00:15:31.339 --> 00:15:31.739]  Remember?
[00:15:32.640 --> 00:15:36.544]  There's no secret elites meeting with government officials to set policy.
[00:15:36.624 --> 00:15:37.925]  Oops, we exposed it.
[00:15:39.141 --> 00:15:40.842]  We've gotten the documents time and time again.
[00:15:41.142 --> 00:15:51.305]  Now Bilderberg admits they exist, that they're more powerful than Davos, that they are setting policy, and they've told that to major German newspapers, and you can just put it in a pipe and smoke it, they don't care.
[00:15:53.345 --> 00:15:58.807]  Really what they're doing is acting like they don't care and acting like they're powerful and untouchable because they're totally scared.
[00:15:59.927 --> 00:16:01.108]  They are running scared.
[00:16:01.468 --> 00:16:05.869]  And I have the stack of Bilderberg news here in front of me.
[00:16:05.889 --> 00:16:07.950]  Let me just read these headlines ahead of David Knight joining us.
[00:16:09.588 --> 00:16:15.529]  We caught video of General Petraeus going for a jog at Bilderberg 2014 on the waterfront.
[00:16:15.569 --> 00:16:16.890]  They have completely fenced off.
[00:16:18.170 --> 00:16:26.232]  General Petraeus, CIA head and former General Petraeus was seen exiting the Marriott Hotel and jogging down the street being chased by InfoWars reporters.
[00:16:27.352 --> 00:16:29.972]  And again, our guys confirmed it was Petraeus that was in the Bilderberg area.
[00:16:30.012 --> 00:16:35.054]  It's hard to pick up on the camera, but if you blow it up you can see that it's Petraeus.
[00:16:35.834 --> 00:16:36.514]  Continuing,
[00:16:38.339 --> 00:16:44.602]  We have a photo gallery at Infowars.com of people being arrested and other such things at Bilderberg.
[00:16:44.622 --> 00:16:48.244]  2014 protesters being arrested.
[00:16:49.784 --> 00:16:56.668]  The police aren't messing with you unless you cause a disturbance and I had some provocateur getting in our reporter's faces and they got drug off.
[00:16:57.659 --> 00:17:04.041]  Photos of that and a lot more, and then putting up weird black film on the window so you can't even see in.
[00:17:04.061 --> 00:17:06.081]  Although there's nothing being hidden, though.
[00:17:06.101 --> 00:17:06.821]  It doesn't exist.
[00:17:07.261 --> 00:17:10.622]  The New York Times said that I literally, you know, said it was imaginary in 2008.
[00:17:12.723 --> 00:17:15.564]  Again, mainstream media is beginning to cover Bilderberg.
[00:17:15.944 --> 00:17:18.184]  CNBC has the headline, Bilderberg Conference.
[00:17:18.304 --> 00:17:20.345]  Spies, CEOs, and politicians gather.
[00:17:20.845 --> 00:17:24.266]  London Independent asks, is it a conspiracy that they're involved in inside?
[00:17:25.262 --> 00:17:28.964]  Oh, from us being conspiracy theorists too, is it a criminal conspiracy?
[00:17:29.925 --> 00:17:34.668]  London Evening Standard, Ed Steers, Clear, Bilderberg Group.
[00:17:36.129 --> 00:17:40.772]  We've got other reports, Bilderberg at 60, Insides the World's Most Secretive Conference.
[00:17:41.333 --> 00:17:42.613]  That's the London Guardian.
[00:17:43.414 --> 00:17:51.539]  And we have all that big exclusive live feeds and more at InfoWars.com and PrisonPlanet.com.
[00:17:51.559 --> 00:17:53.340]  But here is the specific article.
[00:17:54.301 --> 00:18:06.046]  If you're watching us on television, Out of the Guardian, that's a big report by Charlie Skelton, Bilderberg at 60, inside the world's most secretive conference.
[00:18:07.047 --> 00:18:19.692]  So, massive coverage now in the foreign dinosaur press, and now even some coverage in the controlled press here in the United States.
[00:18:20.252 --> 00:18:21.173]  So that is certainly
[00:18:22.921 --> 00:18:24.322]  Some extremely positive news.
[00:18:24.402 --> 00:18:26.584]  Here's RT, the Russian news.
[00:18:27.865 --> 00:18:29.086]  NATO chief, former U.S.
[00:18:29.126 --> 00:18:34.430]  intelligence director, among Bilderberg elite, meeting right now.
[00:18:35.611 --> 00:18:37.613]  Zero Hedge is covering it as well.
[00:18:38.413 --> 00:18:40.735]  We have to again thank DrudgeReport.com.
[00:18:41.476 --> 00:18:45.279]  Every year, there's not a lot of coverage until Drudge picks up the list from us.
[00:18:46.854 --> 00:18:49.735]  And then picks up some of the other reports we put out.
[00:18:50.395 --> 00:18:51.535]  That's the pattern it follows.
[00:18:51.595 --> 00:19:03.638]  And then a day later, it's so embarrassing to the dinosaur media that even though they ignore it, everyone's seeing live video feeds, they're seeing videos, they're seeing photos, they're seeing Bilderberg security say, yes, we're Bilderberg, you can't come in.
[00:19:03.998 --> 00:19:05.278]  They're seeing people being arrested.
[00:19:05.639 --> 00:19:10.420]  So we show the Emperor's butt naked with Drudge, Report.com, Infowars.com does.
[00:19:10.840 --> 00:19:15.761]  And then it forces the Berlin Wall, the electronic Berlin Wall, to collapse.
[00:19:17.595 --> 00:19:22.419]  Now, in huge, huge, huge, huge, huge news.
[00:19:22.479 --> 00:19:23.700]  We're going to cover this when we come back.
[00:19:26.242 --> 00:19:29.745]  There's a story out of the Washington Times that we have up on Infowars.com.
[00:19:29.785 --> 00:19:31.567]  It's red-linked on drugs on the right-hand side.
[00:19:32.648 --> 00:19:38.973]  Inside the ring, directive outlines Obama's plan to use the military against citizens.
[00:19:39.854 --> 00:19:40.214]  That's right.
[00:19:42.056 --> 00:19:44.418]  And it's a direct link to the memo.
[00:19:47.020 --> 00:19:51.622]  In the article, and it says, including drones.
[00:19:56.343 --> 00:19:58.364]  So, there it is, ladies and gentlemen.
[00:19:58.384 --> 00:20:05.086]  We're going to go over the document, we're going to go over the directive, for you, coming up in the next segment.
[00:20:05.146 --> 00:20:09.047]  It is a big deal, and I know for you it's old news, but now it's drones.
[00:20:09.067 --> 00:20:13.369]  Remember, just a few years ago, we were insane to say that drones would even operate, period.
[00:20:14.585 --> 00:20:16.626]  Even though they were already spying on farmers and ranchers.
[00:20:17.707 --> 00:20:22.250]  In local news, we reported on it and they had the national media and AP say that it did not exist.
[00:20:23.111 --> 00:20:24.812]  Just like Obamacare tax doesn't exist.
[00:20:26.493 --> 00:20:28.175]  Just like Hillary and Benghazi don't exist.
[00:20:28.475 --> 00:20:29.796]  Fast and Furious doesn't exist.
[00:20:30.476 --> 00:20:32.558]  Only thing that exists is what our government
[00:20:33.592 --> 00:20:34.032]  It tells us.
[00:20:34.052 --> 00:20:34.713]  Do you understand that?
[00:20:35.794 --> 00:20:37.776]  Tired of taking handfuls of vitamin pills?
[00:20:37.976 --> 00:20:42.661]  Look and feel super with a great-tasting liquid vitamin and mineral supplement called Passion For Life.
[00:20:42.901 --> 00:20:48.226]  This incredible one-ounce daily drink can lead to better stamina and energy due to faster, more complete absorption.
[00:20:48.386 --> 00:20:52.009]  Passion For Life contains 135 all-natural, whole food ingredients.
[00:20:52.270 --> 00:20:55.413]  It's the best-tasting, most powerful product of its kind on the market.
[00:20:55.633 --> 00:20:56.854]  Order now by calling 844-TRY-LIFE.
[00:20:57.995 --> 00:21:10.141]  Or find out much more about passion for life by visiting 844TriLife.com 844TriLife.com That's the sound of your door being kicked in by an intruder with a single kick.
[00:21:10.361 --> 00:21:14.663]  Criminals know that your wooden door frames are weak and your alarm system can't keep them out.
[00:21:16.937 --> 00:21:20.078]  That's the sound of the sane door now protected by the Door Sentinel.
[00:21:20.258 --> 00:21:23.500]  Standard locks, deadbolts, and alarm systems can't prevent forced entry.
[00:21:23.700 --> 00:21:26.141]  Harden your door and door jam with a Door Sentinel.
[00:21:26.301 --> 00:21:28.602]  Protect your home now at MySafeDoor.com.
[00:21:28.742 --> 00:21:31.723]  Go to MySafeDoor.com for a special limited time offer.
[00:21:31.923 --> 00:21:34.524]  The Door Sentinel, your home's first line of defense.
[00:21:35.024 --> 00:21:38.448]  It's been said, those who control the food, control the people.
[00:21:38.689 --> 00:21:42.413]  Are you concerned about GMO foods making you sick and affecting your mind?
[00:21:42.513 --> 00:21:48.460]  Many people suffer from lack of energy, insomnia, loss of stamina, weight gain, and the inability to think clearly.
[00:21:48.700 --> 00:21:50.082]  Genetically modified crops.
[00:21:50.202 --> 00:21:58.785]  Processed foods and toxic chemicals can compromise your health and are silently destroying your digestive system, which accounts for 80% of your immune system.
[00:21:58.885 --> 00:22:03.367]  Take back control of your health with Pro-EM1 Probiotic from Terragenics.
[00:22:03.567 --> 00:22:13.570]  Pro-EM1 Probiotic helps protect your body against irritable bowel syndrome, constipation, Crohn's disease, celiac disease, diabetes, the common cold, and much more.
[00:22:13.730 --> 00:22:18.032]  And including a powerful probiotic like Pro-EM1 is part of your daily routine.
[00:22:18.592 --> 00:22:25.237]  Get back in control and prevent you from becoming a mindless zombie manipulated by the pharmaceutical and GMO agendas.
[00:22:25.418 --> 00:22:28.340]  Call Terragonics at 866-369-3678 or visit Terragonics.com.
[00:22:28.380 --> 00:22:29.661]  T-E-R-A-G-A-N-I-X dot com.
[00:22:34.725 --> 00:22:39.129]  More and more people are discovering the incredible benefits of alkalizing the body.
[00:22:39.209 --> 00:22:42.911]  And there's no better product for it than AlkaVision Plasma pH Drops.
[00:22:43.031 --> 00:22:53.059]  Packed with a powerful combination of the most alkaline minerals and compounds, just a few drops in water will rid your body of harmful waste and give you more vibrance and vigor than you've had in years.
[00:22:53.159 --> 00:22:55.281]  Now buy two bottles and get $10 off your order.
[00:22:55.341 --> 00:23:00.205]  Call 800-518-7615 or visit alkavision.com.
[00:23:00.345 --> 00:23:01.326]  Alkalize your body.
[00:23:01.426 --> 00:23:03.928]  Supercharge your health at alkavision.com.
[00:23:04.764 --> 00:23:09.665]  Gentlemen, in search of a million-dollar smile that'll make them take notice, I mean really get their attention?
[00:23:10.045 --> 00:23:10.946]  Then get the mud!
[00:23:11.406 --> 00:23:12.386]  My Magic Mud.
[00:23:12.806 --> 00:23:17.327]  The fluoride-free whitener with no chemicals, additives, GMOs, or bad taste.
[00:23:17.768 --> 00:23:18.708]  And safe to swallow.
[00:23:19.168 --> 00:23:24.750]  My Magic Mud detoxifies, reduces sensitivity, cleans and strengthens your teeth while it whitens.
[00:23:25.170 --> 00:23:27.590]  Comes as a powder for pure whitening power.
[00:23:27.970 --> 00:23:29.971]  Start looking good for that special someone.
[00:23:30.371 --> 00:23:31.411]  Get the mud now.
[00:23:31.771 --> 00:23:32.932]  MyMagicMud.com
[00:23:33.931 --> 00:23:36.494]  Hi folks, Alex Jones here with some important information.
[00:23:36.775 --> 00:23:41.641]  I want to tell you about Matt Redhawk and his team of patriots over at MyPatriotSupply.
[00:23:41.902 --> 00:23:49.732]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[00:23:49.992 --> 00:23:54.314]  Deciding to take action, a company run by patriots for patriots was born.
[00:23:54.534 --> 00:23:58.356]  My Patriot Supply has never taken a loan or accepted outside funding.
[00:23:58.497 --> 00:24:04.220]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:24:04.460 --> 00:24:07.221]  It is rare to find companies who practice what they preach.
[00:24:07.621 --> 00:24:12.764]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:24:12.964 --> 00:24:21.109]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:24:21.149 --> 00:24:21.429]  That's 866-229-0927.
[00:24:21.469 --> 00:24:23.510]  Do business with someone who shares your values.
