[00:00:01.732 --> 00:00:02.894]  Coast to coast.
[00:01:56.947 --> 00:01:58.347]  Oh, he was buddies with Obama.
[00:01:58.748 --> 00:02:00.368]  See how that turned out for him?
[00:02:01.189 --> 00:02:02.389]  See how that went?
[00:02:02.489 --> 00:02:03.549]  No honor among thieves.
[00:02:03.890 --> 00:02:09.212]  He'll be partially burned, but then still run for president and then completely drop it.
[00:02:09.992 --> 00:02:15.938]  So that Hillary, one of the most unpopular people in America, in a big Gallup poll yesterday, can be El Presidente.
[00:02:16.218 --> 00:02:16.398]  Why?
[00:02:16.438 --> 00:02:19.241]  If you don't vote for her, you're against women!
[00:02:20.101 --> 00:02:22.223]  And if you don't vote for Obama, you're against black people!
[00:02:23.485 --> 00:02:29.150]  No, I thought I was against having my guns taken, and open borders, and the end of sovereignty, and being spied on.
[00:02:29.230 --> 00:02:34.475]  No, no, we all know, we all know gun ownership is about deep racism.
[00:02:35.612 --> 00:02:38.177]  And not liking Obamacare is about deep racism.
[00:02:38.798 --> 00:02:41.924]  Now there's the... Hillary Clinton ranks last on U.S.
[00:02:41.964 --> 00:02:42.926]  Most Admired list.
[00:02:43.806 --> 00:02:49.689]  Last in the United States in a new tracking poll.
[00:02:49.709 --> 00:02:50.289]  In fact, scroll down.
[00:02:50.309 --> 00:02:51.150]  I'll give them the poll there.
[00:02:51.170 --> 00:02:56.712]  If you scroll down, she ranks dead last on a new top 10 poll of Americans admire most.
[00:02:57.252 --> 00:03:10.379]  And at the bottom of the world, admires most behind celebs like Angelina Jolie and Russian President Vladimir Putin, according to YouGov.com poll conducted for the Times of London.
[00:03:11.578 --> 00:03:12.679]  That's just some of what we're going to cover.
[00:03:12.899 --> 00:03:19.023]  You know, I said I would get to this yesterday and I didn't, but sometime today I will cover this story out of the Daily Mail.
[00:03:19.883 --> 00:03:23.265]  Dealing with children who watch too much TV have damaged brain structures.
[00:03:23.726 --> 00:03:36.194]  We're going to be talking some about that, more about Obama, saying this will be his year of action, the year of the dictatorial executive, and we will also be taking your phone calls.
[00:03:37.225 --> 00:03:44.868]  And we have a special guest joining us on the transmission as well that I'll tell you about coming up after the break.
[00:03:44.888 --> 00:03:47.649]  We've got huge amounts of economic news.
[00:03:48.910 --> 00:03:56.033]  Look, just observing what's happening on the ground around the country and other parts of the world where I've traveled and just observing what's really happening.
[00:03:56.713 --> 00:04:00.875]  There is a mania, a hysteria out there in the air.
[00:04:01.035 --> 00:04:10.459]  People are going crazy at record numbers, suicide at record numbers, get-rich-quick schemes at record numbers, because we live in a fraudulent economy more and more now.
[00:04:11.459 --> 00:04:17.001]  And I'm going to just tell you this, watch who you're around, watch who you work with very, very closely.
[00:04:17.861 --> 00:04:23.844]  And watch your six in life, because there is an underlying
[00:04:25.100 --> 00:04:51.273]  Concern in the in the group collective mind about the future and I've never felt so much anxiety and dread About economic collapse war you name it and everyone's feeling A lot of people can't differentiate why they're having so much anxiety because your mind's very powerful Even if you're dumbed down your brain still knows there's big trouble going on Bad moon rising we need to get that as an intro bad moon rising
[00:04:52.864 --> 00:04:54.547]  And there's a bad moon rising.
[00:04:55.288 --> 00:04:56.249]  Trouble on the way.
[00:04:57.491 --> 00:04:59.955]  And it's coming in a bunch of different permutations.
[00:05:00.375 --> 00:05:07.966]  But admitting we're facing the crises, as we go into a very decadent bottom of a cycle, will help us hopefully have a soft landing.
[00:05:09.750 --> 00:05:12.492]  Alex Jones here with a message to fellow freedom lovers.
[00:05:12.772 --> 00:05:17.594]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:05:17.775 --> 00:05:24.958]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:05:25.099 --> 00:05:30.522]  That's why we've assembled the most vital and important preparedness items at Infowarsshop.com.
[00:05:30.742 --> 00:05:32.903]  These are items that I did research on.
[00:05:33.063 --> 00:05:34.344]  That I personally use.
[00:05:34.744 --> 00:05:39.286]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:05:39.466 --> 00:05:44.708]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:05:44.928 --> 00:05:48.010]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:05:48.190 --> 00:05:50.431]  When Disaster Strikes by Matthew Stein.
[00:05:50.691 --> 00:05:55.253]  Therosafe, used by Homeland Security to protect yourself during any radiological event.
[00:05:55.433 --> 00:05:57.874]  Hand Crank Shortwave AM FM Radios.
[00:05:58.314 --> 00:06:05.358]  Everything that we've researched and found to be the best is available at InfoWarsHop.com and your purchase makes our InfoWar possible.
[00:06:05.519 --> 00:06:06.579]  We're getting prepared.
[00:06:06.799 --> 00:06:07.240]  Are you?
[00:06:07.480 --> 00:06:09.261]  InfoWarsHop.com.
[00:06:09.801 --> 00:06:20.168]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:06:20.488 --> 00:06:22.329]  Guess what else is in the halogen family?
[00:06:22.529 --> 00:06:23.229]  Fluoride.
[00:06:23.409 --> 00:06:24.990]  Ladies and gentlemen, Alex Jones here.
[00:06:25.330 --> 00:06:31.651]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:06:31.912 --> 00:06:34.732]  It's the good halogen on the periodic table.
[00:06:34.852 --> 00:06:36.713]  And the results are on record.
[00:06:36.833 --> 00:06:42.915]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:06:43.135 --> 00:06:45.315]  Bottom line, iodine is important.
[00:06:45.575 --> 00:06:48.196]  Unbound, clean, in a glycerin base.
[00:06:48.496 --> 00:06:51.897]  Nascent iodine was the answer for myself and my family.
[00:06:51.997 --> 00:06:56.581]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:06:57.441 --> 00:07:02.245]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:07:02.545 --> 00:07:03.586]  I take it every day.
[00:07:03.726 --> 00:07:05.027]  That's InfoWarsLife.com.
[00:07:05.187 --> 00:07:06.569]  Or call toll-free 888-253.
[00:07:09.290 --> 00:07:11.291]  Introducing Pro-1.
[00:07:11.551 --> 00:07:15.072]  All of your filtration in one system, portable, on the go.
[00:07:15.212 --> 00:07:19.613]  No more do you have two or three filters to just reduce sodium fluoride.
[00:07:19.733 --> 00:07:25.735]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:07:25.855 --> 00:07:36.638]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:07:36.838 --> 00:07:43.143]  It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:07:43.343 --> 00:08:00.335]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia, and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:08:00.656 --> 00:08:05.079]  Get your Pro-Pure with a new Pro-1 filter today at Infowarsstore.com.
[00:08:05.239 --> 00:08:07.600]  We're by calling 888-253-3139.
[00:08:16.905 --> 00:08:27.770]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[00:08:31.994 --> 00:08:39.859]  You're listening to the Alex Jones Show.
[00:08:42.861 --> 00:08:46.223]  Ladies and gentlemen, it is the 13th day of January, 2014.
[00:08:46.264 --> 00:08:47.264]  I'm your host, Alex Jones.
[00:08:53.004 --> 00:09:13.516]  We are broadcasting worldwide as we steam directly into the maelstrom of corporate global governance involved in an all-out, high-tech, technocratic siege operation against nation-states, individuals, the rule of law, and anything that stands in the way of their piratical repying.
[00:09:15.137 --> 00:09:21.321]  This is one of the most important periods in human history that we're entering, if not the most important ever.
[00:09:22.358 --> 00:09:25.740]  Words cannot describe the massive changes that are happening.
[00:09:26.801 --> 00:09:36.708]  Economic, spiritual, cultural, national, international, global, galactic, with all of the spacecraft and satellites and the things that are happening.
[00:09:37.069 --> 00:09:38.610]  The things that are happening with the sun.
[00:09:38.690 --> 00:09:42.753]  We are entering a maximum period of flux and change.
[00:09:44.073 --> 00:09:45.755]  Undoubtedly, it's here.
[00:09:45.875 --> 00:09:46.856]  Everyone can feel it.
[00:09:47.257 --> 00:09:50.861]  The average person cannot differentiate it from their own personal lives.
[00:09:51.301 --> 00:09:58.009]  And we are seeing meltdown levels throughout militaries worldwide, governments worldwide, corporations worldwide.
[00:09:58.930 --> 00:10:00.591]  Everything is beginning to meltdown.
[00:10:01.471 --> 00:10:04.093]  It's all because the system's based on fraud now.
[00:10:04.453 --> 00:10:06.654]  Winners and losers are being picked by the globalists.
[00:10:07.255 --> 00:10:14.879]  They have hundreds of trillions of dollars a year to buy up the world, but it's not based in real manufacturing, real products, real ideas.
[00:10:15.159 --> 00:10:30.249]  They've had to sell a culture of fraud, lies, mental illness, and 2 plus 2 equals 5 to the world population to get away with all this corruption, but that virus of fraud has now entered the system.
[00:10:31.448 --> 00:10:32.708]  Computers are malfunctioning.
[00:10:32.988 --> 00:10:34.469]  Trains are crashing and exploding.
[00:10:34.749 --> 00:10:36.349]  More aircraft are going to be crashing.
[00:10:36.389 --> 00:10:37.029]  They already are.
[00:10:37.329 --> 00:10:38.750]  You're going to see more divorce.
[00:10:39.030 --> 00:10:40.210]  You're going to see more murder.
[00:10:40.390 --> 00:10:41.671]  You're going to see more corruption.
[00:10:41.771 --> 00:10:42.911]  Get-rich-quick schemes.
[00:10:43.211 --> 00:10:44.211]  Mass mental illness.
[00:10:44.491 --> 00:10:49.453]  There is a spiritual plague coming upon not just the West, but the world.
[00:10:50.493 --> 00:10:52.513]  Batten down the hatches, ladies and gentlemen.
[00:10:53.173 --> 00:10:53.834]  Get ready.
[00:10:54.894 --> 00:10:58.955]  Because it's only going to get more insane from here on out, as I've been telling you.
[00:11:00.421 --> 00:11:12.193]  The top story up on Infowars.com, in fact it should be red-linked, it's such a big deal, there in the featured news area, is China set to seize South China Sea by force.
[00:11:13.435 --> 00:11:16.318]  Now this is in the big Chinese daily newspapers.
[00:11:18.578 --> 00:11:22.521]  Paul Watson's wife, that works for Infowars.com, is Chinese.
[00:11:22.701 --> 00:11:24.383]  That's how we're able to have these articles every week.
[00:11:24.603 --> 00:11:28.766]  Because this never hits the Western press until we usually carry it.
[00:11:29.267 --> 00:11:35.112]  We take it, translate it, put it out, DrudgeReport.com picks it up, to the middle column today, fifth story down.
[00:11:35.832 --> 00:11:38.755]  And then, only then, does it even get picked up.
[00:11:39.775 --> 00:11:44.397]  In fact, most of the time, if we report this kind of stuff and Drudge doesn't pick it up, it doesn't even get picked up in the dinosaur media.
[00:11:44.878 --> 00:11:47.619]  Drudge has to pick it up to force them to cover it.
[00:11:48.360 --> 00:11:56.044]  But the Chinese troops to seize the islands back from Philippines, and that is in the Chinese-approved government publication.
[00:11:56.404 --> 00:11:58.705]  I mean, government-affiliated publication.
[00:11:58.825 --> 00:12:04.108]  I mean, that is, whoa, whoa, that is a big deal.
[00:12:05.242 --> 00:12:06.143]  And you've got U.S.
[00:12:06.203 --> 00:12:08.185]  ships massing in the area in the last year.
[00:12:08.205 --> 00:12:10.567]  I mean, this is a serious confrontation.
[00:12:10.607 --> 00:12:12.009]  This is a big deal.
[00:12:13.771 --> 00:12:21.618]  World War II, as you know, started for the United States when the Japanese began to go into the Philippines and other areas as well.
[00:12:22.745 --> 00:12:23.685]  This has happened before.
[00:12:23.806 --> 00:12:26.747]  I mean, I'm telling you, folks, this is how World War III starts.
[00:12:27.347 --> 00:12:35.992]  When you've got giant global bubbles of fraud and the Anglo-American banksters sitting on top of that, they will always push countries into war.
[00:12:36.532 --> 00:12:37.492]  And they've built up China.
[00:12:37.512 --> 00:12:38.473]  They're pulling the strings there.
[00:12:39.093 --> 00:12:41.274]  They've built up the EU.
[00:12:41.414 --> 00:12:45.176]  I mean, and again, they're playing all of us off against each other.
[00:12:45.196 --> 00:12:52.280]  You've got to pull back and see how this hyper-evil intelligence of the banksters, that's why they almost have world government in place right now,
[00:12:53.934 --> 00:12:57.257]  And if they've got to have a world war and kill 100 million, 200 million people to do it, they'll do it!
[00:12:59.159 --> 00:13:04.003]  They'll do whatever they have to to bring in their total control.
[00:13:04.883 --> 00:13:07.526]  That's what they crave, that's what they're going after, that's their goal.
[00:13:09.167 --> 00:13:19.256]  And the Globalists in many of their publications say that they will either have world governance and total control, and they will merge with the machines and become gods, or they will destroy the planet trying.
[00:13:20.302 --> 00:13:24.545]  That is the ultra-hyper-wildness of these people.
[00:13:24.565 --> 00:13:30.370]  I mean, you think the Wolf of Wall Street throwing naked midgets at giant targets is radical and crazy and wild?
[00:13:30.590 --> 00:13:31.090]  That's nothing.
[00:13:33.112 --> 00:13:45.402]  But that's a window for people into the power-tripping maniacalness of the elite, how they get themselves into these modes of being willing to do anything and to be totally crazed.
[00:13:46.567 --> 00:13:49.929]  While telling you to be milktoast, sit in your chair, watch TV all day.
[00:13:49.969 --> 00:13:50.729]  They're not doing that.
[00:13:51.090 --> 00:13:51.950]  They're starting wars.
[00:13:51.970 --> 00:13:52.971]  They're running black ops.
[00:13:53.571 --> 00:13:55.172]  They got 15 mistresses.
[00:13:55.712 --> 00:13:58.554]  They're killing people on the side for fun at murder parties.
[00:13:59.434 --> 00:14:00.655]  They're molesting children.
[00:14:00.675 --> 00:14:02.456]  It depends what group they're into.
[00:14:02.776 --> 00:14:15.624]  There's different guilds of evil, different armies of evil, different brigades of evil that then fit in like China dolls or Russian dolls, nesting together into the pyramid of Lucifer.
[00:14:16.548 --> 00:14:23.132]  And it is the total weapon system that they have, and they're now deploying it with their legions of doom against us.
[00:14:23.152 --> 00:14:24.873]  I mean, this is real.
[00:14:27.335 --> 00:14:31.717]  Look at every ruling culture, look at every dominant corrupt empire at the end.
[00:14:31.777 --> 00:14:39.922]  They were always running around, engaged in human sacrifice, hanging children from meat hooks, bathing in blood.
[00:14:39.943 --> 00:14:43.625]  I mean, if you see a movie like Dune, and you see Baron Harkonnen,
[00:14:45.805 --> 00:14:57.312]  Go up, you know, with his suspensor belts into the ceiling and have rotten blood dumped on him, and then he goes over and pulls a heart plug out of a man that he's about to have necrophilic sex with after he's dead.
[00:14:58.292 --> 00:15:03.996]  People think, man, how did, how did that director, because they changed the book, come up with that?
[00:15:04.016 --> 00:15:05.857]  I've interviewed the director and talked to him off air as well.
[00:15:07.798 --> 00:15:09.159]  Well, they got all that from history.
[00:15:09.199 --> 00:15:12.701]  That's the type of stuff that the elites really do, ladies and gentlemen.
[00:15:13.717 --> 00:15:16.319]  That's how a corrupt elitist actually acts.
[00:15:18.480 --> 00:15:19.901]  And so you need to understand that.
[00:15:19.941 --> 00:15:21.842]  I mean, what did Jimmy Savelle?
[00:15:23.904 --> 00:15:30.048]  People said a decade ago he was into dead bodies and raping little children and bringing them to Prime Ministers to have their throats slit.
[00:15:30.628 --> 00:15:34.450]  And I heard that and was like telling people that were on his guest, hey, don't say anymore that on the air.
[00:15:34.470 --> 00:15:35.111]  You don't have proof.
[00:15:35.131 --> 00:15:37.232]  I don't want to get sued.
[00:15:37.853 --> 00:15:39.534]  And then later, most of it came out.
[00:15:39.654 --> 00:15:41.595]  And now they've killed people to cover it up in England.
[00:15:44.158 --> 00:15:46.919]  I mean, they kill children, folks, and have sex with their dead bodies.
[00:15:47.619 --> 00:15:47.899]  Okay?
[00:15:49.879 --> 00:15:56.321]  He ran the major children's charity, and you could take one look at Savelle, and he looked like the archetypal pedophile.
[00:15:56.541 --> 00:15:58.501]  And I'm not trying to scare you here, folks.
[00:15:58.962 --> 00:16:03.403]  You need to understand, when good people stand down and do nothing, the most evil take over.
[00:16:04.103 --> 00:16:04.723]  It's automatic.
[00:16:07.392 --> 00:16:09.074]  It's absolutely automatic.
[00:16:09.094 --> 00:16:13.818]  It'd be like if you went and spread out your picnic blanket on a bed of fire ants that you hadn't gotten rid of.
[00:16:14.459 --> 00:16:17.122]  What's going to happen when you spread out your picnic blanket and pull your food out?
[00:16:17.382 --> 00:16:24.008]  The fire ants are going to crawl up on the picnic blanket, they're going to start eating the food, and they're going to start stinging you, saying, my food.
[00:16:24.569 --> 00:16:31.535]  You let tyrants take over, they're going to come on the picnic blanket, they're going to eat the food, and they're going to attack you because you're the enemy.
[00:16:32.216 --> 00:16:36.017]  So, they're not just going to rob everything, they're going to exterminate good people.
[00:16:36.277 --> 00:16:38.438]  They're going to hunt us down.
[00:16:40.098 --> 00:16:44.100]  You see, you can't just give them the world and be lazy and think, oh, they'll just go off and feed on the weak.
[00:16:44.300 --> 00:16:44.760]  They're done.
[00:16:44.820 --> 00:16:45.860]  They've already fed on the weak.
[00:16:46.540 --> 00:16:48.261]  They want to bring down the big game.
[00:16:48.701 --> 00:16:51.182]  They want to come after other elites that aren't degenerate.
[00:16:51.362 --> 00:16:52.262]  That's their number one goal.
[00:16:52.282 --> 00:16:55.743]  They cannot stand the other elites they're surveilling that are not degenerate.
[00:16:56.363 --> 00:16:57.024]  And they fear them.
[00:16:59.504 --> 00:17:01.165]  They fear that, ladies and gentlemen.
[00:17:02.972 --> 00:17:04.393]  And I'm telling you, they're coming.
[00:17:05.114 --> 00:17:07.156]  They're coming, drums, drums, drums in the deep.
[00:17:08.878 --> 00:17:09.519]  And now they're here.
[00:17:12.141 --> 00:17:15.605]  And I've got so much news, I've already gone off on a jag on this point.
[00:17:15.805 --> 00:17:18.768]  Point is, Infowars.com, Neocon's call for U.S.
[00:17:18.808 --> 00:17:25.875]  military against Al-Qaeda in Iraq, the very Al-Qaeda that is openly funded by our government.
[00:17:28.288 --> 00:17:32.572]  And I love Kurt's article, it's excellent, but I think the sub-headline should be, Neocon's call for U.S.
[00:17:32.592 --> 00:17:41.620]  military action against Al-Qaeda in Iraq, sub-headline, Problem Reaction Solution, or, or, U.S.
[00:17:41.680 --> 00:17:51.008]  forces to fight Al-Qaeda armed in Benghazi, something like that, because that's the, that's the big, and of course his article breaks that down, but people need to see it in the headline.
[00:17:51.738 --> 00:17:55.580]  I don't even have time to go in there as an editor with the Infowars editor and talk to him about that headline.
[00:17:55.600 --> 00:18:01.984]  We're just working on better headlines that actually telegraph the essence of what's going on, the incredible hypocrisy, so I'll just do it on air.
[00:18:02.344 --> 00:18:03.745]  Great article by Kurt Nemo up there.
[00:18:04.105 --> 00:18:13.631]  The very Al-Qaeda they've been arming in bases in Western Iraq to attack Syria, have now taken over Fallujah, and now it's an excuse for the U.S.
[00:18:13.671 --> 00:18:14.632]  to go back in again.
[00:18:14.712 --> 00:18:15.312]  See how this works?
[00:18:15.612 --> 00:18:19.915]  And continue to destabilize Iraq because the Iraqi government kind of kicked the globalists out.
[00:18:20.816 --> 00:18:22.457]  And is trying to actually bring their country back?
[00:18:22.697 --> 00:18:24.038]  Oh, no, no, that's not allowed.
[00:18:24.818 --> 00:18:28.560]  Al-Qaeda is not just going to attack Syria and Egypt and everybody else that he's stabilized.
[00:18:29.580 --> 00:18:35.603]  And then when the Egyptian military fights back, our media is like, how dare them attack the people launching rockets at their helicopters and attacking their bases.
[00:18:36.343 --> 00:18:40.305]  And I'm not defending the Egyptian military, but, you know, they didn't want martial law there.
[00:18:40.806 --> 00:18:45.088]  They want prosperity, but they're having to fight off Western Al-Qaeda who attack them.
[00:18:45.988 --> 00:18:48.949]  And our media, CNN, says they're the bad guys for fighting Al-Qaeda.
[00:18:48.969 --> 00:18:49.849]  Well, it's the same thing.
[00:18:50.049 --> 00:18:52.090]  They've got Al-Qaeda as agents of chaos.
[00:18:52.810 --> 00:19:06.935]  If you want to keep Syria broken in multiple pieces, Iraq broken in multiple pieces, you deploy the radical Islamic brainwashed robots, the culturally mind-controlled, perfect, idiot, useful idiots, to then attack everyone.
[00:19:07.436 --> 00:19:10.637]  It isn't that they work even for the West.
[00:19:10.717 --> 00:19:13.798]  They're empowered, they're funded, and then they're turned loose
[00:19:15.848 --> 00:19:22.310]  They're turned loose like an elephant on PCP at a PTA meeting to attack everyone.
[00:19:23.930 --> 00:19:25.991]  And the globalists all write white papers on how they do this.
[00:19:26.411 --> 00:19:40.015]  Wysensky wrote the Grand Chess Board in 1999 bragging how they would use Al-Qaeda to bring down the world and bring down Western liberty and how magic they were and how his master plan from 1979 that was adopted as the key and he's the smartest man in the world.
[00:19:43.450 --> 00:19:46.453]  Criminals love to brag, and I'm sitting here looking at this.
[00:19:47.654 --> 00:19:48.875]  That's how dumb they think you are.
[00:19:50.337 --> 00:19:52.839]  I mean, all you gotta do is pull back and see how these people operate.
[00:19:53.039 --> 00:19:54.320]  They're attacking everyone.
[00:19:54.460 --> 00:19:55.641]  They're attacking all countries.
[00:19:55.821 --> 00:19:56.882]  They're attacking everyone.
[00:19:56.982 --> 00:19:59.304]  They're even attacking themselves, because they're evil.
[00:19:59.405 --> 00:20:00.205]  They come to what?
[00:20:00.886 --> 00:20:03.068]  Kill, steal, destroy.
[00:20:03.548 --> 00:20:04.109]  What's that again?
[00:20:04.949 --> 00:20:06.050]  The goal is death.
[00:20:06.291 --> 00:20:07.271]  The goal is murder.
[00:20:07.452 --> 00:20:08.352]  The goal is blood.
[00:20:09.969 --> 00:20:12.550]  Hi folks, Alex Jones here with some important information.
[00:20:12.791 --> 00:20:17.673]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:20:17.933 --> 00:20:25.797]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:20:26.038 --> 00:20:30.360]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:20:30.580 --> 00:20:34.382]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:20:34.542 --> 00:20:40.243]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:20:40.483 --> 00:20:43.264]  It is rare to find companies who practice what they preach.
[00:20:43.644 --> 00:20:48.885]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:20:49.025 --> 00:20:57.147]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:20:57.207 --> 00:20:57.487]  That's 866-229-0927.
[00:20:57.527 --> 00:20:58.007]  Do business
[00:21:07.530 --> 00:21:13.674]  If you're a baby boomer or senior, please listen closely to this important message.
[00:21:14.134 --> 00:21:19.538]  Politicians in Washington are quietly plotting to decrease your Social Security payments drastically.
[00:21:19.838 --> 00:21:21.299]  And they want to do it soon.
[00:21:21.719 --> 00:21:32.106]  In fact, despite rising prices at the gas pump, grocery store, and doctor's office, retirees have received a mere 1.3% annual increase to their Social Security checks.
[00:21:32.546 --> 00:21:38.810]  Meanwhile, food stamp recipients have seen their payouts increase over 30% under the Obama administration.
[00:21:39.231 --> 00:21:40.111]  That's shocking.
[00:21:40.431 --> 00:21:45.895]  So when we stumbled upon a weird trick that could add up to $1,000 to your monthly Social Security checks,
[00:21:46.095 --> 00:21:47.757]  We knew we had to share it with you.
[00:21:47.957 --> 00:21:51.501]  To get started, simply go to MyBenefits311.com.
[00:21:51.721 --> 00:21:52.402]  Yes, it's true.
[00:21:52.642 --> 00:21:57.707]  You can take simple steps that could add up to $1,000 to your monthly Social Security payouts.
[00:21:58.028 --> 00:22:03.053]  Newsmax says MyBenefits311.com is a critical resource for anyone over 50.
[00:22:03.693 --> 00:22:04.955]  Go to MyBenefits311.com now.
[00:22:04.975 --> 00:22:05.796]  That's MyBenefits311.com.
[00:22:09.139 --> 00:22:14.161]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:22:14.361 --> 00:22:23.486]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:22:23.726 --> 00:22:37.752]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:22:38.032 --> 00:22:41.898]  Order the Berkey Light System today, complete with two black Berkey elements for only $231.
[00:22:42.419 --> 00:22:45.964]  And the Berkey Guy will ship your order free of charge.
[00:22:46.184 --> 00:22:51.732]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:22:53.174 --> 00:22:55.296]  That's over 30% off the retail price.
[00:22:55.517 --> 00:22:59.801]  Call the Berkey guy at 1-877-886-3653.
[00:22:59.841 --> 00:23:03.966]  That's 1-877-886-3653.
[00:23:04.186 --> 00:23:06.369]  Or order online at GoBerkey.com.
[00:23:06.509 --> 00:23:08.471]  That's GoBerkey.com today.
[00:23:09.192 --> 00:23:11.494]  Is the Second Amendment your line in the sand?
[00:23:11.835 --> 00:23:14.478]  Is the United States Constitution important to you?
[00:23:14.818 --> 00:23:16.919]  Are you worried about gun confiscation?
[00:23:17.139 --> 00:23:20.400]  You need to join us for free at gunconfiscation.com.
[00:23:20.620 --> 00:23:30.022]  At gunconfiscation.com, you will meet like-minded patriots, get the latest Second Amendment news, and find anything you need to prepare for gun confiscation.
[00:23:30.282 --> 00:23:32.703]  Visit gunconfiscation.com today.
[00:23:32.923 --> 00:23:34.924]  That's gunconfiscation.com.
[00:23:35.264 --> 00:23:36.404]  Which side are you on?
[00:23:38.428 --> 00:23:41.009]  Silver has always been nature's very own antibiotic.
[00:23:41.149 --> 00:23:45.150]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:23:45.450 --> 00:23:46.671]  Silverlungs.com.
[00:23:46.851 --> 00:23:49.332]  You'll find no wild claims or pseudoscience.
[00:23:49.512 --> 00:23:52.313]  Just a lifetime of nano-sized pure silver solutions.
[00:23:52.513 --> 00:23:54.654]  The Silverlungs generator allows you to make your own.
