[00:01:14.400 --> 00:01:15.821]  Greetings, InfoWarriors.
[00:02:48.388 --> 00:02:53.152]  And like I said, now we're over 100 days into this Michael Brown situation.
[00:02:53.332 --> 00:02:54.833]  What will the grand jury say?
[00:02:54.893 --> 00:02:56.915]  The announcement is going to be made earlier today.
[00:02:57.395 --> 00:02:59.978]  The governor came out and appealed for calm.
[00:03:00.498 --> 00:03:03.400]  One thing that's very interesting watching all the networks, CNN, Fox.
[00:03:04.961 --> 00:03:05.881]  They were all saying the same thing.
[00:03:05.921 --> 00:03:08.582]  This is very weird that they're waiting till 8 p.m.
[00:03:09.042 --> 00:03:10.263]  to make this announcement.
[00:03:10.363 --> 00:03:12.863]  It's already dark there now in Ferguson.
[00:03:12.883 --> 00:03:18.405]  In fact, why don't you guys queue up one of the live shots and just show people a preview of what is out there now.
[00:03:18.585 --> 00:03:21.406]  People are gathering at the Ferguson Police Station.
[00:03:21.966 --> 00:03:25.007]  We have people gathering in all corners of the area.
[00:03:25.047 --> 00:03:26.427]  There's a shot of Joe Biggs.
[00:03:26.447 --> 00:03:28.268]  We're going to go to him in one second.
[00:03:29.108 --> 00:03:32.729]  If you look on the Drudge Report, there's a lot of articles today.
[00:03:34.089 --> 00:03:36.231]  Um, about what's going on in Ferguson.
[00:03:36.671 --> 00:03:38.793]  So, the nation awaits Ferguson decision 8 p.m.
[00:03:38.853 --> 00:03:39.213]  tonight.
[00:03:39.834 --> 00:03:41.895]  Uh, stores close ahead of announcement.
[00:03:42.596 --> 00:03:43.977]  Uh, tensions are rising.
[00:03:44.838 --> 00:03:48.621]  And, uh, people are, uh, turning to churches for safe houses.
[00:03:49.565 --> 00:03:50.566]  There's a lot going on.
[00:03:50.966 --> 00:03:56.171]  Earlier today, Joe Biggs filed a report where they stopped at a quick trip.
[00:03:56.271 --> 00:04:00.415]  This is a quick one-minute report, and we're going to be back right after this, as soon as we go to this report.
[00:04:00.696 --> 00:04:02.878]  But just showing you that businesses are boarding up.
[00:04:02.938 --> 00:04:04.439]  They are expecting the worst.
[00:04:04.499 --> 00:04:05.921]  And we go now to that report.
[00:04:09.508 --> 00:04:14.673]  I'm Joe Biggs with Infowars.com standing right outside of Ferguson, Missouri on North Hanley Road.
[00:04:15.053 --> 00:04:18.676]  Now this quick trip right here, you can see they are starting to board the windows up.
[00:04:18.696 --> 00:04:20.217]  They are preparing for the worst.
[00:04:20.498 --> 00:04:24.821]  Just a couple of hours ago, the grand jury came to the decision and we're supposed to know at 8 p.m.
[00:04:24.841 --> 00:04:29.746]  tonight whether or not Officer Wilson will be indicted on the charges of killing Mike Brown.
[00:04:30.366 --> 00:04:32.047]  So continue watching our reports.
[00:04:32.067 --> 00:04:34.248]  We're going to be out here tonight live streaming as well.
[00:04:34.569 --> 00:04:39.091]  Make sure you're going to the Real Alex Jones Ustream and the Alex Jones Live Ustream.
[00:04:39.211 --> 00:04:42.653]  Jakari Jackson and I will be bringing you live updates.
[00:04:43.033 --> 00:04:48.537]  Go to the Twitter account, go to our Infowars.com website, and then make sure you check in with the nightly news as well.
[00:04:48.617 --> 00:04:52.379]  Once again, I'm Joe Biggs with Infowars.com in Ferguson, Missouri.
[00:04:56.167 --> 00:05:01.690]  All right, so businesses are boarding up just as they said on the Drudge Report and other news outlets out there.
[00:05:02.210 --> 00:05:03.151]  And there you have it.
[00:05:03.591 --> 00:05:04.872]  Our reporters are out in the field.
[00:05:05.652 --> 00:05:07.373]  We've got all kinds of reports they've been filing.
[00:05:07.393 --> 00:05:08.834]  They've been there for over a week now.
[00:05:08.954 --> 00:05:12.515]  I'm sure they are exhausted from all the work they've put in.
[00:05:12.576 --> 00:05:15.897]  And we're going to go to Joe Biggs if he's ready, if he's there.
[00:05:16.037 --> 00:05:17.698]  I'm looking over to the side if you're wondering.
[00:05:17.978 --> 00:05:24.882]  We actually have him on the giant screen right next to me where you can see, I think, is this our Ustream guys right here?
[00:05:26.803 --> 00:05:33.787]  Yeah, this is our Ustream and we're using a really expensive piece of equipment called a Teradek to stream it out live to people.
[00:05:33.827 --> 00:05:35.888]  But now, Joe, can you hear me out there?
[00:05:35.908 --> 00:05:38.630]  How are you doing tonight?
[00:05:39.230 --> 00:05:39.991]  I'm doing good.
[00:05:40.151 --> 00:05:41.612]  I'm sure you guys are cold out there.
[00:05:41.692 --> 00:05:42.452]  What is the mood?
[00:05:42.772 --> 00:05:44.513]  How is the crowd acting at this point?
[00:05:46.535 --> 00:05:48.456]  Tensions are high as you can expect right now.
[00:05:48.476 --> 00:05:53.739]  You know, the governor came out earlier today and basically the way he described everything
[00:05:54.324 --> 00:05:56.285]  Everyone's pretty much bracing for the worst.
[00:05:56.566 --> 00:05:58.927]  And like you saw earlier, I followed that report about the quick trip.
[00:05:59.087 --> 00:06:03.610]  That is only maybe four or five minutes outside of where the last one was burnt.
[00:06:04.251 --> 00:06:09.734]  Also, I spoke to an employee who worked at the Justice Center in downtown Clayton today.
[00:06:10.095 --> 00:06:14.798]  She was walking to work in regular attire with a bag with work clothes.
[00:06:15.098 --> 00:06:24.044]  She was told that they're not allowed to go into work with their uniforms on and or leave and told to bring supplies because they could be locked up in there for the next few days.
[00:06:24.844 --> 00:06:26.405]  Yeah, pack your trail mix, folks.
[00:06:26.665 --> 00:06:31.808]  I mean, this is pretty much worst-case scenario, I think, about to be realized.
[00:06:32.628 --> 00:06:33.609]  You know, I'll go ahead and say it.
[00:06:33.629 --> 00:06:37.731]  I believe the grand jury is gonna put down a no-indictment call.
[00:06:38.191 --> 00:06:39.352]  I guess their decision will be.
[00:06:39.372 --> 00:06:47.016]  I mean, even on the local TV channels, I was just watching before we came out here and we set up here at the Justice Center in Ferguson on South Florissant.
[00:06:47.301 --> 00:06:53.083]  You can see on the bottom tickers of the local news stations all the school closures in the area.
[00:06:53.144 --> 00:06:57.405]  None expected to open up again until Wednesday at the earliest.
[00:06:57.445 --> 00:07:01.907]  But then we also know Thanksgiving is Thursday and a lot of people have off that Thursday and Friday as well.
[00:07:02.207 --> 00:07:10.391]  So you're looking at an entire week of school probably being missed here because of this entire investigation into Darren Wilson.
[00:07:11.154 --> 00:07:22.962]  And I'll say this, this event, and if it does kick off into rioting, into lots of civil disobedience, this to me looks very, I'm going to call it a state-managed situation here.
[00:07:23.002 --> 00:07:32.009]  They've waited, they've drugged this out as long as possible, they've been changing the day to when the grand jury is going to come out and say something through different leaks.
[00:07:32.649 --> 00:07:47.587]  They haven't been official words, but even today they said it was going to come out at 4 and then it was 5.30 and then it was 8 and they just keep changing it around and it's either gross incompetence or they're trying to manage this situation which is really
[00:07:49.154 --> 00:07:51.856]  It's pretty interesting what we're going to see tonight.
[00:07:52.496 --> 00:08:03.685]  We've seen, and as you followed reports, of secret armies in the area, guys with earpieces who are not wearing any visible uniform, but they look like they are part of an army.
[00:08:04.165 --> 00:08:06.407]  Why don't you talk about that, Joe?
[00:08:06.567 --> 00:08:08.349]  What are the things that you've seen while you've been there?
[00:08:09.471 --> 00:08:11.393]  Yeah, we were in Clayton earlier today.
[00:08:11.413 --> 00:08:14.535]  You could see a larger presence of police.
[00:08:14.575 --> 00:08:18.318]  They had different security contract companies in the area.
[00:08:18.879 --> 00:08:27.345]  Actually, when I was standing on the sidewalk waiting to go on the radio with David earlier, I saw some SUVs driving up and they were asking where their staging area was.
[00:08:27.425 --> 00:08:28.086]  So there are some
[00:08:28.447 --> 00:08:33.250]  Some contract companies in here as well that are, you know, probably previous military here in the area.
[00:08:33.470 --> 00:08:36.632]  But the ones that really caught my eye are the ones that I filed a report on the other day.
[00:08:37.032 --> 00:08:39.654]  These guys look like your typical spec op kind of guys.
[00:08:40.014 --> 00:08:42.256]  Everyone keeps hassling me because one of the guys looked big.
[00:08:42.536 --> 00:08:48.700]  And apparently if you're big that means you can't be, you know, used to be special ops and they're now a contractor or whatever it may be.
[00:08:49.220 --> 00:08:50.841]  But these guys are in the area.
[00:08:50.861 --> 00:08:52.062]  They've got the earpieces in.
[00:08:52.082 --> 00:08:54.263]  It was interesting because they had North Carolina plates.
[00:08:54.643 --> 00:08:56.805]  We all know that that's where a lot of the PMC
[00:08:57.285 --> 00:08:58.525]  And you're not speaking from no experience.
[00:08:58.565 --> 00:09:00.946]  You've driven these guys around countries in Afghanistan, Iraq.
[00:09:00.986 --> 00:09:05.868]  You've dealt with these guys before, taking them on secret missions, dropping them off, then picking them up.
[00:09:05.888 --> 00:09:06.768]  You're no spring chicken to this.
[00:09:26.618 --> 00:09:29.940]  Yeah, I mean, I understand how they work, how they maneuver, how they operate.
[00:09:30.360 --> 00:09:31.300]  Pretty much how they think.
[00:09:31.640 --> 00:09:34.282]  So I can spot them really easily in crowds, you know.
[00:09:34.562 --> 00:09:35.942]  They don't act like the normal people.
[00:09:36.223 --> 00:09:47.848]  These kind of guys, they stick out like a sore thumb, especially in a crowd like this, where everyone's protesting and things like that, because they're gonna typically be the guys who are quiet with their hands in their pocket, just looking around, being very odd.
[00:09:48.148 --> 00:09:51.530]  Everyone out here, to my right, they're very emotional.
[00:09:51.590 --> 00:09:53.831]  Everyone's voicing their opinions about what's going on.
[00:09:54.309 --> 00:10:04.773]  So, when you see someone who's bearded up with a backpack on, with an American flag patch on his shoulder, with an earpiece in, for me, and I think for other people, it's going to stick out in this crowd.
[00:10:04.833 --> 00:10:11.015]  So, I don't know what they're here for, but it's something to look out for, especially if you're watching this here in the area.
[00:10:11.255 --> 00:10:12.455]  Keep an eye out for these guys.
[00:10:12.475 --> 00:10:18.017]  You know, we've seen them use things like this at the Boston bombing, so it's something to be very wary of.
[00:10:18.607 --> 00:10:28.356]  Well, just watching your Ustream reports that you've been filing every night, you guys noticed a pattern of this one guy in a mask being arrested seemingly three times in a row.
[00:10:28.896 --> 00:10:29.557]  Talk about that.
[00:10:29.577 --> 00:10:33.680]  Yeah, there was a guy who wears one of the Guy Fawkes masks.
[00:10:33.800 --> 00:10:40.086]  He's out here every night protesting, and he stands right in the middle of the road, puts his hands up, and they just arrest him and take him off.
[00:10:40.606 --> 00:10:42.328]  And it happened three nights in a row.
[00:10:43.092 --> 00:10:50.555]  And, you know, also even the KKK guys came out and said that they were going to be targeting people who actually wear those masks.
[00:10:50.955 --> 00:11:00.639]  So there's a lot of people on, you know, the tensions are high, the emotions are heavy, and everyone is just tired of being strung around and they want to find out what's going on with the verdict.
[00:11:02.425 --> 00:11:03.445]  Everyone just wants answers.
[00:11:03.465 --> 00:11:06.146]  They want closure, even if it's not the answer that they want.
[00:11:06.166 --> 00:11:12.848]  Yeah, and we're going to have David Knight in studio a little bit later to talk about how grand juries work and why their decisions really don't mean much.
[00:11:13.228 --> 00:11:18.230]  The prosecutor can still come out, even if they hand down a no indictment, and still say, hey, we're going to press charges.
[00:11:18.810 --> 00:11:22.071]  Or they could say they want to indict, and the prosecutor could not press charges.
[00:11:22.151 --> 00:11:23.832]  I mean, there's a lot of different ways this could go.
[00:11:23.852 --> 00:11:31.694]  The grand jury just kind of opens the door, and it allows people like the governor and the chief of police and the mayor and the prosecutor kind of a hands-off type approach.
[00:11:32.114 --> 00:11:32.414]  I think so.
[00:11:56.560 --> 00:12:00.382]  From talking to people in Clayton, from the local businesses, people are just tired.
[00:12:00.422 --> 00:12:01.863]  The Ferguson fatigue has set in.
[00:12:02.143 --> 00:12:02.883]  They want closure.
[00:12:02.903 --> 00:12:03.884]  They want this to be over with.
[00:12:04.144 --> 00:12:05.885]  They want to go about their normal lives.
[00:12:06.285 --> 00:12:09.947]  And the way they're handling this is just not helping the situation whatsoever.
[00:12:10.227 --> 00:12:17.110]  And the fact that they're going to release this at 8 o'clock tonight when it's dark, is that so they can see the flashbangs better and the tear gas on footage?
[00:12:17.130 --> 00:12:17.971]  I mean, I just don't get it.
[00:12:18.567 --> 00:12:21.729]  Yeah, and as you've been saying, you've talked to a lot of people there.
[00:12:21.769 --> 00:12:31.877]  I want to go to a report now, where earlier this week, you and Jakari went out and you talked to a bunch of people in a shopping center, and basically they've all come to the conclusion that it's in God's hands now.
[00:12:31.917 --> 00:12:43.385]  Whatever happens, this grand jury verdict is going to come down, and then whatever is going to happen is going to happen, and people need to, you know, people have been stocking up on food, on firearms, firearm sales are up 700%.
[00:12:43.445 --> 00:12:43.905]  So this is really
[00:12:46.227 --> 00:12:50.359]  A huge situation that's about to be ignited, depending on what this grand jury says.
[00:12:50.379 --> 00:12:52.244]  But let's go to that report now and then we'll come back with you.
[00:13:03.092 --> 00:13:05.993]  Takari Jackson reporting for InfoWars.com.
[00:13:06.013 --> 00:13:11.455]  We're once again in Ferguson, Missouri, and we want to talk to the locals and find out what they think about the coming verdict.
[00:13:11.495 --> 00:13:13.216]  What's going to happen with Officer Darren Wilson?
[00:13:13.476 --> 00:13:14.316]  Will he be indicted?
[00:13:14.356 --> 00:13:15.417]  Will he not be indicted?
[00:13:15.737 --> 00:13:17.457]  And what do they think is going to happen after that?
[00:13:17.517 --> 00:13:22.079]  We've seen a lot of talk, a lot of chatter about potential riots, looting, things of that nature.
[00:13:22.439 --> 00:13:26.461]  Thus far, I will say Ferguson, Missouri, seems to be rather a ghost town.
[00:13:26.541 --> 00:13:28.882]  Let's talk to the people and see what they think about this situation.
[00:13:29.907 --> 00:13:30.027]  Good.
[00:13:30.047 --> 00:13:31.629]  What do you think about the Darren Wilson verdict?
[00:13:31.649 --> 00:13:32.449]  What do you think is going to happen?
[00:13:32.710 --> 00:13:35.292]  Oh my God, I have no idea.
[00:13:35.952 --> 00:13:37.574]  Well, I'm really not sure.
[00:13:37.654 --> 00:13:40.296]  I just hope that justice will be served.
[00:13:41.257 --> 00:13:44.820]  I think that when you do a crime, you should be punished for it.
[00:13:45.281 --> 00:13:47.983]  Are we asking people what they think is going to happen with the Darren Wilson verdict?
[00:13:48.363 --> 00:13:49.825]  Do you ladies have any opinion on that?
[00:13:49.845 --> 00:13:49.885]  No?
[00:13:50.906 --> 00:13:53.768]  What do you think is going to happen with this Darren Wilson verdict?
[00:13:53.828 --> 00:13:54.609]  Nothing over here.
[00:13:55.333 --> 00:13:55.813]  You think so?
[00:13:56.053 --> 00:13:56.873]  Maybe in Clayton.
[00:13:57.154 --> 00:13:59.194]  Man, I just hope there don't be no riots, though.
[00:13:59.494 --> 00:13:59.694]  Right.
[00:13:59.814 --> 00:14:08.197]  Because we need these businesses out here, you know, to keep it flowing, so... So what do you think, what did you think last time when they had the riots and the looting and all that?
[00:14:11.198 --> 00:14:12.779]  It was, it was bad, man.
[00:14:13.079 --> 00:14:23.062]  Because people couldn't even come outside, you know, go to the stores or work or anything like that, so... I just basically tell the young people, man, just fall back and...
[00:14:24.611 --> 00:14:26.212]  Let God take care of this, you know?
[00:14:26.253 --> 00:14:27.173]  Not afraid of anything.
[00:14:28.214 --> 00:14:33.379]  We know people here, so we're all, you know... We pray to the good Lord, too, that everything turns out well.
[00:14:33.419 --> 00:14:33.759]  That's good.
[00:14:33.779 --> 00:14:34.179]  Yeah.
[00:14:34.940 --> 00:14:37.662]  I'm just praying God be with us and God be with St.
[00:14:37.703 --> 00:14:38.803]  Louis, you know what I'm saying?
[00:14:39.544 --> 00:14:46.931]  And we've seen a lot of stoking of racial division, and most recently the Klan has even threatened to come out here to the city of Ferguson, Missouri.
[00:14:47.751 --> 00:14:50.494]  Oh my God, that is just too much.
[00:14:51.264 --> 00:14:51.965]  Are you kidding me?
[00:14:52.605 --> 00:14:53.346]  That's what they're saying.
[00:14:53.726 --> 00:14:55.468]  Okay, so we gotta get geared up then.
[00:14:56.029 --> 00:14:59.812]  Overland is actually the Klan headquarters, from what I understand, for St.
[00:14:59.852 --> 00:15:02.915]  Louis, and that's not 10 minutes away from us, down the highway.
[00:15:03.555 --> 00:15:08.400]  Basically, I worked in West Point, where the Klan was passing out papers, asking people to join.
[00:15:08.960 --> 00:15:16.023]  I mean, to me, a white organization that's trying to recruit members is no different than a black organization trying to recruit members.
[00:15:16.443 --> 00:15:23.625]  If you got your beliefs, you hate this race for whatever reason, the black people over here hate that race for whatever reason.
[00:15:24.145 --> 00:15:27.827]  It's really a lot of ignorance in Missouri due to lack of education.
[00:15:28.627 --> 00:15:29.868]  Uh, we were separated.
[00:15:29.928 --> 00:15:31.449]  Blacks further going to West County.
[00:15:32.069 --> 00:15:34.830]  Uh, South County and Whites further going to North City.
[00:15:35.231 --> 00:15:37.572]  Everybody's divided already and we already know.
[00:15:38.072 --> 00:15:45.997]  So basically the Klan showing themselves is no different than what we're already dealing with anyway with the separation we have in St.
[00:15:46.017 --> 00:15:46.257]  Louis.
[00:15:46.317 --> 00:15:48.518]  And we've seen an increase in firearms sales.
[00:15:48.558 --> 00:15:50.479]  Some local gun stores are reporting a 300% increase in sales.
[00:15:50.539 --> 00:15:52.500]  I don't know nothing about that.
[00:15:52.520 --> 00:15:53.801]  I don't know nothing about that.
[00:15:54.321 --> 00:15:54.962]  You feelin' alright?
[00:15:54.982 --> 00:15:57.944]  I feel, you know, I give all props to them peoples.
[00:16:18.447 --> 00:16:22.069]  Yeah, that is just a fantastic report that they put together earlier in the week.
[00:16:22.089 --> 00:16:24.370]  They've been there for over seven days.
[00:16:25.350 --> 00:16:28.072]  I keep pushing out their plane ticket, actually.
[00:16:28.392 --> 00:16:32.994]  They were supposed to come back on Sunday, or originally Friday, and now we got it Wednesday.
[00:16:33.034 --> 00:16:35.415]  Ten days now, says Joe Biggs in my ear.
[00:16:36.095 --> 00:16:37.536]  And there he is on the big TV.
[00:16:37.556 --> 00:16:38.917]  We're going to go right to him in a second.
[00:16:38.937 --> 00:16:42.499]  But, you know, people really are, they're gearing up and they are scared for what's going to happen.
[00:16:43.599 --> 00:16:47.920]  Like one of the gentlemen was saying in that video, there's already a racial divide in St.
[00:16:47.980 --> 00:16:48.320]  Louis.
[00:16:48.360 --> 00:16:54.261]  You've got whites afraid to go to parts of the town and city, and then you've got blacks afraid to go to other parts.
[00:16:55.222 --> 00:16:58.362]  So this is just exacerbating things.
[00:16:58.842 --> 00:17:03.523]  Joe, have you guys run into any of the new Black Panthers that are supposedly up there?
[00:17:04.303 --> 00:17:05.704]  Have you run into any of those types of folks?
[00:17:06.124 --> 00:17:10.405]  Yes, one was kindly enough to give me a flyer and tell me to support the cause.
[00:17:12.054 --> 00:17:13.656]  And what was their cause?
[00:17:14.336 --> 00:17:15.377]  What did they want support with?
[00:17:17.119 --> 00:17:19.341]  I'm not quite sure.
[00:17:19.361 --> 00:17:23.085]  I wouldn't want to read what was on the flyer.
[00:17:23.934 --> 00:17:33.759]  Well, what's interesting is, it was last week, Derren McBrain interviewed Larry Pinckney, who is being investigated by the FBI because here's a guy who is bringing blacks and whites together.
[00:17:33.779 --> 00:17:35.140]  Yeah, pan over.
[00:17:35.180 --> 00:17:36.380]  What are we looking at, Joe?
[00:17:36.981 --> 00:17:39.162]  Well, this is going back to August now.
[00:17:39.462 --> 00:17:41.763]  The traffic is lined up all the way down.
[00:17:41.843 --> 00:17:43.984]  People are standing on top of the cars again now.
[00:17:44.425 --> 00:17:46.185]  Just like before, chaining in the middle of the road.
[00:17:46.265 --> 00:17:49.147]  The flow of traffic has completely stopped now.
[00:17:49.167 --> 00:17:50.808]  At this point, there's only
[00:17:51.708 --> 00:17:57.432]  Maybe 20 officers outside, but there are over 100 police vehicles behind the buildings here.
[00:17:57.693 --> 00:18:03.997]  So I know they're all inside gearing up right now, but maybe Jakari can help pan over real quick and let you see.
[00:18:04.417 --> 00:18:07.119]  But everyone has completely got in the middle of the road.
[00:18:07.420 --> 00:18:14.264]  There are people riding in the vehicles, sitting on top of them, hanging out the windows, chanting the flags in the background upside down.
[00:18:14.825 --> 00:18:20.289]  You know, everyone is out here in mass numbers now, and it just happened within minutes.
[00:18:21.058 --> 00:18:23.820]  Yeah, well, we're less than an hour away from this decision.
[00:18:24.581 --> 00:18:25.622]  How are they going to announce it?
[00:18:25.702 --> 00:18:30.986]  Is somebody there watching it on, is there a big screen set up or is somebody going to have it on the radio?
[00:18:31.427 --> 00:18:40.074]  There is a person here who set up a text thing, so once he's going to be at the press conference, once he gets the verdict, he will be texting it out to all that.
[00:18:40.094 --> 00:18:45.679]  I'm part of that little text group, I don't even know what you call it, but I will be getting a text in my pocket and I'm sure
[00:18:46.360 --> 00:18:51.361]  Hundreds of these people are also on it because there's over 10,000 people registered to receive that text.
[00:18:51.661 --> 00:18:53.682]  And we're going to go to it live when it happens.
[00:18:53.702 --> 00:18:59.403]  We're actually going to punch that up here in the studio so we can see exactly what happens in the press conference.
[00:18:59.423 --> 00:19:02.584]  So we may even get... Oh, there's a mob of people coming by right now.
[00:19:03.604 --> 00:19:03.984]  Yeah.
[00:19:04.804 --> 00:19:05.845]  Things are just heating up.
[00:19:05.965 --> 00:19:11.666]  I mean, this is... You know, you guys, last night you were in a different part of town, weren't you, Joe?
[00:19:12.741 --> 00:19:14.603]  At a demonstration, a protest.
[00:19:14.623 --> 00:19:22.248]  We're in the Shaw neighborhood, which is I would say about southeast of here, about 25 minute drive.
[00:19:22.688 --> 00:19:24.870]  And if you're looking at the actual downtown St.
[00:19:24.910 --> 00:19:27.432]  Louis area, it's just barely southwest.
[00:19:27.472 --> 00:19:28.573]  It's a neighborhood called Shaw.
[00:19:28.953 --> 00:19:31.455]  There were quite a few hundred people out there marching.
[00:19:31.475 --> 00:19:33.116]  They went around a few blocks.
[00:19:33.766 --> 00:19:35.708]  And it was a peaceful protest overall.
[00:19:35.748 --> 00:19:41.173]  They stopped at different intersections and they'd sit there and shut down each intersection for four minutes.
[00:19:42.073 --> 00:19:49.139]  Basically, that was a representation of the four hours that Mike Brown's body was left in the street just to bleed out and die without any help.
[00:19:49.860 --> 00:19:51.521]  Well, and I can see why people are mad.
[00:19:51.541 --> 00:19:56.546]  I mean, it just came out that Utah police killings are one of the number one causes of death.
[00:19:57.955 --> 00:20:01.776]  It beats out gang-related crime, it beats out spouse-on-spouse crime.
[00:20:02.257 --> 00:20:05.017]  People are fed up with this and they really have had enough.
[00:20:05.618 --> 00:20:09.719]  And by going out and essentially they're screaming at the top of their lungs.
[00:20:09.759 --> 00:20:14.841]  I've been watching you guys out there every night, watching the protesters just really speak their mind.
[00:20:15.701 --> 00:20:17.862]  You know, they haven't been the most eloquent of speaking.
[00:20:18.142 --> 00:20:21.403]  Some of it I think has been a little rude and nasty to the individual cops.
[00:20:22.223 --> 00:20:24.024]  But this is something that people are feeling.
[00:20:24.064 --> 00:20:24.604]  Go ahead, Joe.
[00:20:25.831 --> 00:20:28.540]  I don't know, I was just moving something really quick.
[00:20:29.302 --> 00:20:32.312]  The police are coming out right now, they're about to move into the street here.
[00:20:35.148 --> 00:20:40.731]  Hey guys, we have at least three feeds going on right now, and we have two crew members out there.
[00:20:40.771 --> 00:20:45.414]  We really are a shoestring crew out there right now.
[00:20:45.454 --> 00:20:47.495]  This is really amazing, but this is new media.
[00:20:47.535 --> 00:20:51.437]  This is what we're able to do thanks to your support out there.
[00:20:51.457 --> 00:20:56.100]  All the Prison Planet TV members, the people that go to the InfoWars store and help support us.
[00:20:56.140 --> 00:21:04.165]  I mean, it really is your support that keeps us out there on the front lines, because we are literally on the front lines right now of the information war.
[00:21:07.321 --> 00:21:08.301]  Joe, can you still hear me?
[00:21:08.802 --> 00:21:09.082]  Yes.
[00:21:10.382 --> 00:21:15.824]  One of the officers, the officer with the, well, I can't tell you now, he had a beanie on, he was the guy that was in charge the other night, the lieutenant.
[00:21:16.444 --> 00:21:20.426]  He did a tremendous job of keeping the civil unrest, you know, to a minimum.
[00:21:20.686 --> 00:21:23.026]  You know, like I said, there was only a few arrests the other night.
[00:21:24.307 --> 00:21:35.911]  He had a pretty good debate with one of the protesters, too, where she was asking in point blank, how come some nights you guys are, you come out in full body armor and are really intimidating, and then, like, tonight you guys are being really respectful.
[00:21:36.911 --> 00:21:37.892]  What is the difference in this?
[00:21:37.952 --> 00:21:44.835]  And he kind of, you know, he didn't really shrug it off, but he said, well, we're under a unified command, so there's really no one in charge.
[00:21:45.656 --> 00:21:54.320]  Compared to last time, it was the head of the highway patrol, I think, came in after the protest got out of hand, and then he was in charge at that point.
[00:21:54.460 --> 00:21:56.941]  But here, it doesn't seem to be any one person.
[00:21:58.402 --> 00:22:00.303]  We don't see the top of the pyramid, essentially.
[00:22:00.323 --> 00:22:00.923]  Do you agree with that?
[00:22:01.604 --> 00:22:05.586]  Yeah, the lieutenant that's in charge here tonight, he's been handling things pretty much outstanding.
[00:22:05.626 --> 00:22:09.048]  I mean, you can tell the way they've handled stuff the past few nights.
[00:22:09.128 --> 00:22:11.729]  It's been, you know, I haven't seen any problems with it.
[00:22:11.749 --> 00:22:14.830]  I thought it's been an overall a good performance on their part.
[00:22:15.331 --> 00:22:18.492]  But, you know, we're going to be here all night and bringing you updates.
[00:22:18.512 --> 00:22:19.993]  You know, we're getting ready to come down to the
[00:22:20.894 --> 00:22:23.596]  The verdict and find out what's going on.
[00:22:23.976 --> 00:22:35.983]  Less than 40 minutes away we're gonna have that grand jury verdict press conference and we'll see maybe they string it off for five or ten minutes talking about how you know instead of just giving the information that people want.
[00:22:36.003 --> 00:22:39.305]  Police are advancing into the street now and they are going to try to push
[00:22:39.805 --> 00:22:40.586]  We're good to go.
[00:22:54.922 --> 00:22:56.564]  And someone has brought a dog to the protest, I see.
[00:22:56.584 --> 00:22:57.905]  I'm sure that's gonna turn out well in the end.
[00:22:57.925 --> 00:22:58.065]  Yeah.
[00:23:11.357 --> 00:23:12.318]  It is a vicious poodle.
[00:23:12.598 --> 00:23:13.539]  I mean, it certainly is.
