[00:00:00.971 --> 00:00:03.257]  3139.
[00:07:59.335 --> 00:08:01.337]  Deploy prison senate TV.
[00:08:01.377 --> 00:08:03.219]  You gotta set your eye on the enemy!
[00:08:06.317 --> 00:08:08.438]  Intellectually, it's for God you can feel it!
[00:08:09.639 --> 00:08:10.319]  What's his name?
[00:08:10.359 --> 00:08:11.560]  This is an emergency transmit.
[00:08:11.580 --> 00:08:12.460]  This is an emergency transmit.
[00:08:12.480 --> 00:08:14.281]  From FEMA Region 6 in Pocono.
[00:08:33.874 --> 00:08:34.915]  There is a war.
[00:08:35.335 --> 00:08:36.335]  It's happening now.
[00:08:37.096 --> 00:08:38.997]  It will decide the fate of humanity.
[00:08:39.597 --> 00:08:41.378]  The time to choose sides has come.
[00:08:42.139 --> 00:08:43.599]  We are the resistance.
[00:08:44.060 --> 00:08:45.660]  We are the Infowar.
[00:08:49.073 --> 00:08:53.335]  It is Friday, ladies and gentlemen, the 16th day already of May 2014.
[00:08:55.315 --> 00:09:00.637]  I am your host, Alex Jones, and we're going to be live here for the next three hours.
[00:09:00.817 --> 00:09:03.178]  Again, thank you so much for joining us.
[00:09:03.418 --> 00:09:03.798]  Wow!
[00:09:03.958 --> 00:09:05.979]  Again, incredible amounts of news.
[00:09:06.799 --> 00:09:07.799]  Here's the good news.
[00:09:08.400 --> 00:09:09.240]  We have power.
[00:09:09.320 --> 00:09:14.602]  We can force the illegitimate criminals that have hijacked the federal government to do the right thing.
[00:09:15.669 --> 00:09:20.532]  On aiding Al-Qaeda in Syria, on so many issues when we say no.
[00:09:21.533 --> 00:09:37.584]  And now it's being reported that Obama is eyeing executive action to stop deportations, the Associated Press is reporting, because of massive, massive, massive public anger.
[00:09:38.785 --> 00:09:42.187]  The latest round is 36,000 illegals, aggravated felons,
[00:09:43.405 --> 00:09:45.606]  It's hundreds of thousands of illegals, period, being released.
[00:09:45.626 --> 00:09:47.527]  We're talking rapists, child molesters, you name it.
[00:09:47.927 --> 00:09:49.467]  It just shows the lawlessness.
[00:09:50.368 --> 00:09:58.471]  And now because there's been hearings in Congress, Obama's claiming he'll have some executive order to review it so he can act like he's not part of it.
[00:09:58.811 --> 00:10:04.833]  President Barack Obama's new Homeland Security Secretary is offering his first public hints that executive action
[00:10:05.293 --> 00:10:15.063]  The administration might take on immigration, suggesting changes to a much-criticized program that runs the names of people booked for local crimes through a federal immigration database.
[00:10:15.103 --> 00:10:22.971]  So, they're also spinning it back like they won't run people through a database, but that they will do something on the deportation.
[00:10:23.031 --> 00:10:24.172]  So, a lot of spin.
[00:10:24.672 --> 00:10:29.057]  And again, that's whatever Obama does, they end up claiming they're going to do one thing and then doing another.
[00:10:29.477 --> 00:10:38.262]  But advocates who have pushed Obama for bold action with immigration legislation stalled in Congress, wasted no time in declaring that such steps wouldn't go far enough.
[00:10:38.622 --> 00:10:54.671]  Homeland Security Secretary Jean Johnson, tasked by Obama with reviewing the nation's deportation policy to see whether it can be made more humane, said Thursday that the so-called Secure Communities Program needs a fresh start.
[00:10:55.211 --> 00:11:05.579]  The program allows Immigration and Customs Enforcement officials to ask local police and sheriffs to detain people who have been booked and whose fingerprints match in a federal database for immigration violations.
[00:11:05.719 --> 00:11:06.459]  Let me explain something.
[00:11:07.220 --> 00:11:13.785]  So I started that out by saying, hey, it's a good thing they're having to talk about not, you know, just deporting all these felons.
[00:11:14.225 --> 00:11:18.048]  But then they spin it back and say, but we won't even run it through the database.
[00:11:18.788 --> 00:11:20.690]  So again, it's just, it's total spin.
[00:11:21.290 --> 00:11:23.312]  ICE can then decide whether to deport them.
[00:11:24.707 --> 00:11:32.531]  That's led to complaints that people are being deported for immigration violations without being convicted of any crime other than minor offenses.
[00:11:32.851 --> 00:11:33.871]  I thought you're here illegally.
[00:11:34.352 --> 00:11:43.996]  Police and sheriff's officials also complained that people are afraid to interact with law enforcement because they worry they'll be deported following recent court rulings that raised questions about the program.
[00:11:44.016 --> 00:11:48.959]  Local governments increasingly have announced plans to refuse to honor the detention request.
[00:11:49.099 --> 00:11:50.880]  So the illegals are being legalized by FIAT.
[00:11:51.673 --> 00:12:04.485]  In comments Thursday on PBS NewsHour program, Johnson indicated he might aim to revamp the program to focus on people who actually have been convicted, not just those arrested or booked for aggravated felonies.
[00:12:04.905 --> 00:12:14.654]  In my judgment, secure communities should be an efficient way to work with state and local enforcement and reach removal priorities that have those are convicted of something.
[00:12:15.768 --> 00:12:29.375]  And it just goes on, and there's a mention in the news of, you know, oh, but we won't again deport people that are already felons, or that we will start deporting them and then won't release them, to be clear.
[00:12:29.535 --> 00:12:31.676]  You start getting into all their spin, it gets confusing.
[00:12:32.476 --> 00:12:40.120]  But they're saying, basically, that they will look
[00:12:41.292 --> 00:12:52.517]  at actually deporting someone and not releasing them if they're a felon, but then they just got done releasing 36,000 people who were felons, many of them aggravated.
[00:12:54.498 --> 00:12:55.999]  So it's just lies within lies.
[00:12:56.299 --> 00:13:04.082]  The lies are so incredible, I get confused when I was just reading over that and breaking some of that down.
[00:13:04.282 --> 00:13:07.304]  Absolutely mind-boggling.
[00:13:08.140 --> 00:13:09.361]  To see that unfolding.
[00:13:10.001 --> 00:13:16.426]  But global warming scientists cover up skeptics' damaging review paper.
[00:13:16.927 --> 00:13:18.448]  Echoes of Climategate.
[00:13:19.148 --> 00:13:20.469]  Climate McCarthyism.
[00:13:21.170 --> 00:13:26.053]  That's out of the Times of London and the Daily Mail as well as Breitbart.
[00:13:26.954 --> 00:13:29.715]  DC underwater, not if but when.
[00:13:29.735 --> 00:13:33.135]  Meanwhile, there's snowfall in Chicago.
[00:13:33.435 --> 00:13:38.437]  Those are the stories up on DrudgeReport.com in the left-hand corner, breaking that down.
[00:13:40.077 --> 00:13:41.237]  It's a total hoax.
[00:13:41.317 --> 00:13:48.619]  The Antarctic and Arctic are getting bigger than they have in the history of satellites since the 1960s, showing what's happening.
[00:13:49.479 --> 00:13:53.980]  But every summer, they show the satellite feed of it beginning to melt,
[00:13:55.074 --> 00:13:56.375]  Expand and contract.
[00:13:56.455 --> 00:13:58.437]  Expand in the winter, contract in the summer.
[00:13:58.937 --> 00:14:02.900]  And they say, look, within a few decades, it'll totally melt, we'll all be dead.
[00:14:03.301 --> 00:14:13.449]  Al Gore said back in, what, 2003, that by 2013, the entire Arctic would be melted in summer and in winter.
[00:14:14.070 --> 00:14:15.151]  And it's record size.
[00:14:15.751 --> 00:14:16.171]  Doesn't matter.
[00:14:16.231 --> 00:14:22.657]  NASA came out, one of their scientists this week, we wrote about it at Infowars.com, and said that the entire
[00:14:24.145 --> 00:14:31.067]  Section, one of the, look like up to a thirds of Antarctica, down at the bottom, would be melted.
[00:14:32.128 --> 00:14:33.888]  And it doesn't matter when it doesn't come true.
[00:14:34.329 --> 00:14:35.589]  It's the fear-mongering.
[00:14:35.909 --> 00:14:37.670]  And here's the Times of London today.
[00:14:38.430 --> 00:14:41.751]  Scientists in cover-up of damaging climate review.
[00:14:43.112 --> 00:14:48.334]  Research, which peeped out on the rate of global warming, was deliberately suppressed.
[00:14:48.354 --> 00:14:49.634]  Let's get Lord Monckton on next week.
[00:14:50.374 --> 00:14:51.915]  By scientists, maybe even this Sunday.
[00:14:52.765 --> 00:14:58.208]  Because it was less than helpful to their cause, it was claimed last night.
[00:14:58.668 --> 00:15:12.957]  In an echo of the infamous Climategate scandal at the University of East Anglia that helped coordinate the fraud worldwide with the UN and other universities, one of the world's top academic journals rejected the work of five experts after a reviewer privately denounced it as harmful.
[00:15:14.639 --> 00:15:17.540]  The bullying of climate science skeptics must end.
[00:15:18.121 --> 00:15:23.843]  When did demonstrating and demonizing your opponents become so acceptable?
[00:15:24.223 --> 00:15:26.364]  The article goes on to break down.
[00:15:26.424 --> 00:15:29.725]  We also have it up at Infowars.com.
[00:15:30.786 --> 00:15:39.730]  And the full article breaks down how they then, even in some cases, got people to lose their jobs in the U.S.
[00:15:39.930 --> 00:15:40.510]  and England.
[00:15:40.810 --> 00:15:41.571]  This is what happens.
[00:15:43.171 --> 00:15:46.333]  You've got a hit show on the Cooking Channel.
[00:15:47.273 --> 00:15:49.855]  You're two Christian brothers.
[00:15:50.135 --> 00:15:54.357]  Your show's not even about Christianity, but it's discovered that you're secretly Christian.
[00:15:54.437 --> 00:15:56.118]  You're fired from your hit show.
[00:15:58.099 --> 00:16:03.022]  I mean, this is literally the Christians having to go back underground like in Rome.
[00:16:04.656 --> 00:16:06.097]  In the catacombs or something.
[00:16:06.157 --> 00:16:11.060]  I mean, that's the level of hard core authoritarianism we're seeing.
[00:16:11.520 --> 00:16:15.202]  This is the kind of stuff you have in China against the Buddhist Falun Gong.
[00:16:16.183 --> 00:16:17.124]  They're like Buddhist-like.
[00:16:17.144 --> 00:16:17.964]  They're not even Buddhist.
[00:16:18.004 --> 00:16:20.846]  They follow Buddhist meditation for exercise.
[00:16:22.727 --> 00:16:24.068]  But because they are
[00:16:25.405 --> 00:16:36.363]  Unworldly people, they tend to be more moral, and the Chinese Communist government hunts them down, puts them in facilities, tests their DNA and blood, and then harvests their organs at leisure.
[00:16:37.674 --> 00:16:38.655]  That is the incredible evil.
[00:16:38.915 --> 00:16:42.879]  And speaking of the censorship, Dinesh D'Souza's trial is coming up.
[00:16:43.259 --> 00:16:46.042]  He's still trying to make his movie and release it by July 4th.
[00:16:46.442 --> 00:16:50.726]  President Obama's half-brother backs out of interview with Dinesh D'Souza.
[00:16:50.746 --> 00:16:54.669]  He'd already done the interview for the new film, but somehow was backed out of it.
[00:16:55.330 --> 00:17:02.857]  Mark Obama, whose political world differs from that of the president, was to appear in the conservative filmmaker's upcoming movie, America.
[00:17:06.860 --> 00:17:10.083]  And I'd rather you already interviewed him, but I guess he had a more expansive interview set up.
[00:17:10.503 --> 00:17:13.186]  Did Sousa thought that he had the Blockbuster interview set up with Mark?
[00:17:14.306 --> 00:17:28.957]  Obama that was to appear in his upcoming film, America, but President Obama's half-brother has pulled out following the conservative filmmaker's federal indictment on charges that he violated campaign finance laws, getting friends to give money to his friend who was running for the Senate.
[00:17:29.257 --> 00:17:30.699]  I mean, I thought that's what politics is.
[00:17:31.439 --> 00:17:33.581]  No, you're not allowed to give money to the Tea Party.
[00:17:34.041 --> 00:17:35.862]  You're not allowed to be a Christian or pro-life.
[00:17:36.083 --> 00:17:37.183]  You're not allowed to be a
[00:17:38.726 --> 00:17:44.992]  anthropogenic global warming skeptic because we live in a liberal country where we arrest you!
[00:17:47.454 --> 00:17:49.636]  And the FCC wants to take over the internet?
[00:17:51.657 --> 00:17:56.782]  And they want to bring in taxation, regulation, and inspectors in newsrooms that don't even broadcast?
[00:17:58.473 --> 00:18:00.334]  This is all classical tyranny!
[00:18:00.554 --> 00:18:01.255]  Of course it is!
[00:18:01.775 --> 00:18:21.067]  Because when they get this all done, they're going to devalue the dollar, and take your pension funds, and take your bank accounts, just like in Europe, just like in Iceland, just like in Greece, just like in other areas, Cyprus, and if you don't like it, all the paramilitary police have been trained, you're a terrorist!
[00:18:22.168 --> 00:18:28.351]  So we better have a public debate about all this and force this out into the open now.
[00:18:31.052 --> 00:18:34.654]  We better have a public debate about it because they don't want to have a debate.
[00:18:34.954 --> 00:18:35.655]  And why is that?
[00:18:35.695 --> 00:18:43.338]  Because if there is a debate, we'll have the moral high ground, the people will become politically awake and aware, and then this nightmare won't unfold.
[00:18:45.159 --> 00:18:48.001]  I'm going to have this added to the excellent long article
[00:18:49.304 --> 00:19:04.090]  Written by Mikhail Thelin, the articles done by Watson earlier this year concerning Virginia, where our reporters were yesterday and where they were arrested for three hours, almost three hours, for daring to go on the base to ask to talk to the public information officer.
[00:19:05.390 --> 00:19:10.192]  This dovetails, leaked documents reveal Marine Corps Urban Training Center
[00:19:11.653 --> 00:19:12.574]  Based on U.S.
[00:19:12.634 --> 00:19:15.857]  town and that the training is for the American people.
[00:19:16.317 --> 00:19:25.065]  Whistleblower says facility with Baptist churches, farmhouses used to train foreign and domestic groups to take on the American people.
[00:19:25.766 --> 00:19:27.708]  Now, Mikael Phelan is a great writer.
[00:19:27.768 --> 00:19:29.950]  He gets a lot of documents because he goes through our email.
[00:19:30.410 --> 00:19:31.711]  He has access, obviously, to it.
[00:19:31.752 --> 00:19:32.552]  One of our newest writers.
[00:19:32.933 --> 00:19:35.055]  Been writing for us for a year, working for us about six months.
[00:19:36.288 --> 00:19:41.837]  And it's an excellent article, but I want him to add the Clergy Response Team video on YouTube to show folks that this is going on.
[00:19:41.877 --> 00:19:42.878]  The preachers are spies.
[00:19:43.559 --> 00:19:51.331]  And I want him to add where the Army admits they're trying to take on the American people.
[00:19:52.688 --> 00:20:05.401]  And I want him to add our latest article dealing with all this, but here's the Marine Corps document admitting it's for America and they're training to fight their new enemy, farmers and ranchers.
[00:20:06.182 --> 00:20:10.146]  The rural community is who they're going to finally mop up during the Civil War.
[00:20:11.212 --> 00:20:16.115]  Gentlemen, in search of a million-dollar smile that'll make them take notice, I mean really get their attention?
[00:20:16.495 --> 00:20:17.415]  Then get the mud!
[00:20:17.855 --> 00:20:18.836]  My Magic Mud!
[00:20:19.256 --> 00:20:23.799]  The fluoride-free whitener with no chemicals, additives, GMOs, or bad taste.
[00:20:24.219 --> 00:20:25.179]  And safe to swallow.
[00:20:25.619 --> 00:20:31.222]  My Magic Mud detoxifies, reduces sensitivity, cleans and strengthens your teeth while it whitens.
[00:20:31.623 --> 00:20:34.044]  Comes as a powder for pure whitening power.
[00:20:34.424 --> 00:20:36.445]  Start looking good for that special someone.
[00:20:36.825 --> 00:20:37.846]  Get the mud now!
[00:20:38.226 --> 00:20:39.387]  MyMagicMud.com
[00:20:40.487 --> 00:20:43.049]  Silver has always been nature's very own antibiotic.
[00:20:43.189 --> 00:20:47.191]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:20:47.491 --> 00:20:48.732]  SilverLungs.com.
[00:20:48.892 --> 00:20:51.374]  You'll find no wild claims or pseudoscience.
[00:20:51.574 --> 00:20:54.376]  Just a lifetime of nano-sized pure silver solutions.
[00:20:54.576 --> 00:20:56.717]  The Silver Lungs Generator allows you to make your own.
[00:20:56.917 --> 00:20:58.678]  So stop paying for silver solutions.
[00:20:58.818 --> 00:21:04.161]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:21:04.402 --> 00:21:08.064]  See the Silver Lungs Generator and lung delivery system at SilverLungs.com.
[00:21:08.204 --> 00:21:09.685]  That's SilverLungs.com.
[00:21:10.625 --> 00:21:27.155]  To have a fighting chance against cold and flu bugs, get the world's best garlic extract, Allicin Plus C. Fight viruses, bacteria, and fungi with Allicin Plus C. Scientifically proven in double-blind studies using low doses to greatly reduce the number, severity, and duration of common colds.
[00:21:27.395 --> 00:21:33.076]  Allicin Plus C contains 300 milligrams of stabilized allicin, the active ingredient in crushed garlic.
[00:21:33.316 --> 00:21:38.438]  Studies show Allicin Plus C is effective against MRSA, bacterial, fungal, and viral infections.
[00:21:38.818 --> 00:21:42.378]  One tablet of Allicin Plus C has the equivalent of 40 cloves of garlic.
[00:21:42.598 --> 00:21:49.200]  Allicin Plus C supports your body's resistance to all types of conditions and can help lower high blood pressure and high cholesterol.
[00:21:49.400 --> 00:21:57.143]  So boost your body's resistance to infection with nature's best garlic extract, Allicin Plus C. To order, call 855-ALLICIN.
[00:21:57.323 --> 00:21:58.424]  That's 855-255-4246.
[00:21:59.984 --> 00:22:02.425]  Or go to allicinplus.com.
[00:22:02.485 --> 00:22:06.587]  Spelled A-L-L-I-C-I-N plus dot com.
[00:22:06.727 --> 00:22:09.228]  Get Allicin Plus C from Affinity Health Products.
[00:22:09.679 --> 00:22:12.240]  Hi folks, Alex Jones here with some important information.
[00:22:12.520 --> 00:22:17.382]  I want to tell you about Matt Redhawk and his team of patriots over at My Patriot Supply.
[00:22:17.623 --> 00:22:25.466]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed, and the charlatans willing to sell us out for a quick buck.
[00:22:25.746 --> 00:22:30.069]  Deciding to take action, a company run by patriots for patriots was born.
[00:22:30.269 --> 00:22:34.092]  My Patriot Supply has never taken a loan or accepted outside funding.
[00:22:34.252 --> 00:22:39.955]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:22:40.196 --> 00:22:42.977]  It is rare to find companies who practice what they preach.
[00:22:43.378 --> 00:22:48.501]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:22:48.721 --> 00:22:56.850]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:22:56.870 --> 00:22:57.191]  That's 866-229-0927.
[00:22:57.231 --> 00:23:00.094]  Do business with someone who shares your values.
[00:23:00.114 --> 00:23:01.055]  MyPatriotSupply.com slash Alex.
[00:23:09.264 --> 00:23:11.226]  Tired of taking handfuls of vitamin pills?
[00:23:11.426 --> 00:23:16.129]  Look and feel super with a great tasting liquid vitamin and mineral supplement called Passion For Life.
[00:23:16.349 --> 00:23:21.694]  This incredible one ounce daily drink can lead to better stamina and energy due to faster, more complete absorption.
[00:23:21.834 --> 00:23:25.456]  Passion For Life contains 135 all-natural whole food ingredients.
[00:23:25.737 --> 00:23:28.879]  It's the best tasting, most powerful product of its kind on the market.
[00:23:29.079 --> 00:23:31.321]  Order now by calling 844-TRY-LIFE.
[00:23:31.461 --> 00:23:34.843]  Or find out much more about Passion For Life by visiting 844-TRY-LIFE.com.
[00:23:34.863 --> 00:23:35.564]  844-TRY-LIFE.com.
[00:23:40.495 --> 00:23:43.136]  Warnings of an American collapse hit us nearly every day.
[00:23:43.156 --> 00:23:45.916]  Gear up while you still can with Infidel Body Armor.
[00:23:46.096 --> 00:23:47.737]  Don't spend between $500 and $600.
[00:23:48.357 --> 00:23:52.998]  Infidel is available for just $374.99 with free shipping within the U.S.
[00:23:53.238 --> 00:23:55.578]  Made in America and legal in all 50 states.
[00:23:55.778 --> 00:23:57.919]  Resist tyranny with Infidel Body Armor.
[00:23:58.079 --> 00:24:00.559]  Buy yours today at InfidelBodyArmor.com.
[00:24:01.220 --> 00:24:03.400]  Infidel Body Armor.
[00:24:03.420 --> 00:24:04.240]  Just won't quit.
[00:24:29.667 --> 00:24:31.408]  And I saw Sheriff John Brown.
[00:24:31.428 --> 00:24:34.911]  But I did it in self-defense.
[00:24:35.291 --> 00:24:43.637]  Ladies and gentlemen, we are back live.
[00:24:51.915 --> 00:24:54.998]  Dr. Nick Magus is joining us on a host of issues in the second hour.
[00:24:55.719 --> 00:25:03.406]  We will have open phones coming up during the portion of this hour and into the third hour today.
[00:25:04.407 --> 00:25:11.614]  But here's this latest article that I'm going to be covering in more detail this Sunday with Staff Sergeant Joe Biggs and David Knight in studio.
