[00:00:02.017 --> 00:00:04.842]  Coast to Coast, direct from Austin.
[00:05:00.279 --> 00:05:00.719]  Stay with us.
[00:05:00.739 --> 00:05:01.280]  We'll be right back.
[00:05:10.239 --> 00:05:11.480]  Another major health threat.
[00:05:11.500 --> 00:05:16.402]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:05:16.482 --> 00:05:19.123]  Ohio's governor declaring a state of emergency.
[00:05:19.163 --> 00:05:25.945]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:05:26.206 --> 00:05:29.067]  If there's a water emergency, will you be prepared?
[00:05:29.207 --> 00:05:32.108]  Panicked residents forming long lines throughout the day.
[00:05:32.128 --> 00:05:34.129]  We're here at a supermarket in Toledo.
[00:05:34.169 --> 00:05:37.030]  You can see the shelves empty where water once was.
[00:05:37.090 --> 00:05:42.592]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:05:42.813 --> 00:05:46.294]  Water which will not be available at your local grocery store.
[00:05:46.314 --> 00:05:49.275]  There's a mad dash on right now to stock up on supplies.
[00:05:49.295 --> 00:05:56.519]  The ProPure ProOne G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:05:56.739 --> 00:05:59.800]  Protect your family's safety during an emergency.
[00:05:59.940 --> 00:06:06.223]  Go to infowarsstore.com today to purchase your ProPure ProOne G2.0 Water Filtration System.
[00:06:06.363 --> 00:06:08.845]  Or call 1-888-253-3139.
[00:06:09.285 --> 00:06:17.432]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American made jeans.
[00:06:17.812 --> 00:06:25.138]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[00:06:25.718 --> 00:06:30.262]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[00:06:31.243 --> 00:06:36.070]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[00:06:36.610 --> 00:06:39.535]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:06:40.134 --> 00:06:43.635]  The government's Department of Homeland Security is buying up loads of ammo.
[00:06:43.795 --> 00:06:47.756]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:06:48.077 --> 00:06:49.537]  Can you put two and two together?
[00:06:49.857 --> 00:06:57.439]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:06:57.720 --> 00:06:58.560]  But for how long?
[00:06:58.860 --> 00:07:00.841]  Go to InfidelBodyArmor.com.
[00:07:01.061 --> 00:07:05.102]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:07:05.482 --> 00:07:08.303]  Infidel Body Armor just won't quit.
[00:07:10.018 --> 00:07:15.962]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:07:16.182 --> 00:07:20.365]  Most people know that iodine deficiency has been a crisis around the world.
[00:07:20.746 --> 00:07:25.309]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:07:25.729 --> 00:07:28.331]  I discovered a product being developed by Dr. Group.
[00:07:28.631 --> 00:07:33.814]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:07:34.095 --> 00:07:40.959]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:07:41.479 --> 00:07:45.242]  And the results that I personally have had have been life-changing.
[00:07:45.602 --> 00:07:50.405]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:07:50.725 --> 00:07:51.586]  This is innovating.
[00:07:51.846 --> 00:07:59.149]  And the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:07:59.169 --> 00:08:03.390]  For a limited time, experience the ancient power of Survival Shield X2.
[00:08:03.590 --> 00:08:08.792]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLife.com.
[00:08:26.791 --> 00:08:31.430]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:37.517 --> 00:08:41.379]  Welcome to the Alex Jones Show on this Monday, August 25, 2014.
[00:08:41.679 --> 00:08:43.539]  I'm David Knight, filling in for Alex today.
[00:08:44.260 --> 00:08:46.881]  We are going to have an amazing show today.
[00:08:46.941 --> 00:08:49.782]  Now, of course, we had the earthquake news that happened yesterday.
[00:08:49.842 --> 00:08:51.783]  There's wars that are being plotted.
[00:08:52.183 --> 00:08:54.924]  And we have Paul Joseph Watson joining us at the bottom of this hour.
[00:08:54.944 --> 00:08:58.625]  He's got a couple of articles up, because things are changing a little bit.
[00:08:58.645 --> 00:08:59.886]  You know, as Stalin said,
[00:09:00.886 --> 00:09:04.690]  One person dying is a tragedy, but a million dying is a statistic.
[00:09:04.730 --> 00:09:08.033]  They've tried over and over again to engineer a war in Syria.
[00:09:08.734 --> 00:09:19.204]  And so now the latest thing that is going to drive us there, and of course Obama has said that this beheading of the journalist is actually an attack on our country, but Paul Joseph Watson has a couple of articles up.
[00:09:19.245 --> 00:09:24.330]  He says that experts, and these are experts in the UK, say the James Foley beheading video is likely fake.
[00:09:25.086 --> 00:09:29.847]  And he's also then talking about how it's being used to push us into a Syria attack.
[00:09:29.867 --> 00:09:35.669]  You know, it was just a year ago that we were being told because of the sarin gas attack that we had to go to war with Syria.
[00:09:36.129 --> 00:09:38.350]  Meaning that we had to go to war against Assad.
[00:09:38.790 --> 00:09:41.811]  Now we're being told a year later that we have to go to war with Syria.
[00:09:42.071 --> 00:09:44.652]  Meaning that we have to go to war with Assad.
[00:09:44.952 --> 00:09:48.013]  Against the people that a year ago we were arming, training.
[00:09:48.673 --> 00:09:50.554]  People a year ago who were beheading
[00:09:51.334 --> 00:09:57.906]  Christians in Syria, now that they've got an American, we have to take that as an attack upon our country.
[00:09:57.966 --> 00:09:59.048]  We now have to go to war.
[00:09:59.489 --> 00:10:02.554]  Yet the idea is that maybe this is not really
[00:10:03.752 --> 00:10:05.174]  The true, a true beheading.
[00:10:05.214 --> 00:10:06.636]  Maybe this is likely fake.
[00:10:06.656 --> 00:10:13.283]  So we're going to talk about the forensic evidence from these experts, why they believe that it's fake with Paul Joseph Watson coming up in the next segment.
[00:10:13.704 --> 00:10:16.247]  Now, yesterday we had the California earthquake.
[00:10:16.267 --> 00:10:17.629]  I'm sure you've heard much about that.
[00:10:17.669 --> 00:10:20.192]  There was also an earthquake in Peru, a 6.9 versus the 6.1 in California.
[00:10:23.277 --> 00:10:27.140]  And of course there was the concern that there was going to be a volcanic eruption in Iceland.
[00:10:27.160 --> 00:10:29.761]  They subsequently stepped down on that.
[00:10:29.842 --> 00:10:33.144]  They said at first on Saturday that there were subglacial earthquakes.
[00:10:33.184 --> 00:10:35.065]  They thought it would be another volcanic eruption.
[00:10:35.085 --> 00:10:43.151]  If you remember when that happened a couple of years ago, it had a huge impact on air traffic because of the volcanic ash and what it does to airplanes.
[00:10:44.005 --> 00:10:49.167]  But we have a interview coming up in the third hour with Stan Deo.
[00:10:49.207 --> 00:10:50.348]  He's going to break that down for us.
[00:10:50.388 --> 00:10:55.250]  He was on with Alex just four months ago talking about the increase in earthquakes.
[00:10:55.891 --> 00:10:58.392]  We have an article up today on InfoWars.com.
[00:10:58.412 --> 00:11:02.574]  Why the earthquake near San Francisco is just the start of shaking in California.
[00:11:02.614 --> 00:11:03.674]  This is by Michael Snyder.
[00:11:04.114 --> 00:11:08.376]  I find it interesting that last Thursday Michael Snyder had another article.
[00:11:08.877 --> 00:11:13.899]  Said large holes forming near the New Madrid fault and a giant crack in the earth in New
[00:11:13.919 --> 00:11:15.680]  New Mexico, in North Mexico.
[00:11:16.100 --> 00:11:19.001]  And he was talking about the increase in activity.
[00:11:19.041 --> 00:11:27.885]  He said, do you know that the number of big earthquakes during the first three months of 2014 was more than double the yearly average of what we've experienced since 1979?
[00:11:28.525 --> 00:11:33.967]  Did you know that the number of earthquakes in Central and Eastern US has quintupled in recent years?
[00:11:34.047 --> 00:11:35.868]  So we're starting to see something that's very unusual.
[00:11:36.168 --> 00:11:37.929]  And he talks about the New Madrid fault.
[00:11:37.949 --> 00:11:39.390]  That's not in Spain, actually.
[00:11:39.890 --> 00:11:42.391]  That is in Illinois, Indiana.
[00:11:42.771 --> 00:11:46.033]  Missouri, Arkansas, Kentucky, Tennessee, and Mississippi.
[00:11:46.614 --> 00:11:51.057]  So it's eastern United States, central and eastern United States.
[00:11:51.537 --> 00:11:56.880]  They had an earthquake back in October, I'm sorry, December of 1811.
[00:11:57.041 --> 00:12:00.183]  It was a magnitude 7.7 earthquake.
[00:12:00.203 --> 00:12:08.048]  There weren't very many people living there at the time, but we do have information about that, and it was horrendous at the time.
[00:12:08.088 --> 00:12:12.331]  He says, now there are 15 million people living in that area, so what's going to happen?
[00:12:13.111 --> 00:12:14.673]  Are you going to get a warning?
[00:12:14.693 --> 00:12:24.243]  The people in California got actually a 10-second warning in an area where they're constantly monitoring earthquake activity because that happens all the time in San Francisco.
[00:12:25.262 --> 00:12:34.048]  Maybe you should start thinking about what you need to do to prepare for some kind of a grid down emergency, some kind of a natural disaster, or a man-made disaster.
[00:12:34.088 --> 00:12:39.072]  But we're going to be talking about what's going on with earthquakes with Stan Deo in the third hour.
[00:12:39.572 --> 00:12:41.934]  Also, Alex Jones will be joining us in the second hour.
[00:12:41.994 --> 00:12:44.095]  He's got an interview with Joe Rogan.
[00:12:44.756 --> 00:12:45.817]  You won't want to miss that.
[00:12:46.909 --> 00:12:57.708]  Now, on immigration, of course, the Congress is on vacation right now, and Obama had threatened that he would, by executive order, take action on immigration.
[00:12:59.511 --> 00:13:03.832]  Now that they're gone, he's doubling down on this, and a lot of people believe that it's very imminent.
[00:13:03.872 --> 00:13:09.334]  We have an article from Market Watch today, and they're basically saying there's three reasons why he shouldn't do this.
[00:13:09.394 --> 00:13:11.255]  Three reasons why this would backfire.
[00:13:11.735 --> 00:13:21.838]  One of the reasons is, is that even if he could survive a court challenge with his executive order, an executive order doesn't have comprehensive and permanent power of the law.
[00:13:22.498 --> 00:13:27.759]  So they say a new president that comes in, the next president in 2017, could just rescind that order.
[00:13:28.019 --> 00:13:31.360]  And basically, he could even take punitive action against the people that are here.
[00:13:32.260 --> 00:13:38.601]  He also talks about how another reason not to do this is that it's going to make a lot of people very angry.
[00:13:38.621 --> 00:13:47.563]  You know, a lot of people are getting very angry to see how the borders have been opened up, to see how illegal aliens, as they like to call them, undocumented immigrants,
[00:13:48.343 --> 00:13:49.865]  But they're really illegal aliens.
[00:13:49.925 --> 00:13:51.126]  They're from another country.
[00:13:51.166 --> 00:13:52.248]  They're not citizens here.
[00:13:52.308 --> 00:13:57.193]  They're coming here illegally, and yet we stand down and give them access to everything.
[00:13:57.233 --> 00:14:00.157]  We let them violate pretty much most of the laws.
[00:14:00.217 --> 00:14:05.383]  We give them better treatment than we do the poor who were born in this country, who are citizens of this country.
[00:14:06.604 --> 00:14:19.010]  A few weeks ago, there was an incident in Times Square with a Spider-Man getting in a fight with the cops there about panhandling, and a lot of people have started looking at that, and something very interesting has turned up about that.
[00:14:19.570 --> 00:14:30.416]  We see that it's not just the government that is giving a free ride and an exception to illegal aliens, it's also the corporations that are pushing so hard for control of the internet
[00:14:30.996 --> 00:14:32.637]  Through copyright legislation.
[00:14:32.677 --> 00:14:41.223]  In other words, saying, if you're violating my copyright, I need to be able to have legislation so that we can immediately shut down your website without any due process.
[00:14:41.563 --> 00:14:44.645]  That's called CISPA, SOPA, ACTA, PIPA, all of those things.
[00:14:44.986 --> 00:14:45.806]  That's what they want to do.
[00:14:46.206 --> 00:14:48.488]  The justification for it is copyright violation.
[00:14:48.668 --> 00:14:55.152]  And yet, these Times Square characters are violating their copyright every day in the open.
[00:14:56.053 --> 00:14:57.454]  Let's take a look at what's going on there.
[00:14:57.474 --> 00:15:00.096]  We've got a special report about that from the Nightly News on Friday.
[00:15:01.240 --> 00:15:05.564]  About two weeks ago, it went viral when Spider-Man fought cops in Times Square.
[00:15:06.185 --> 00:15:09.688]  The New York Times interviewed many of them, looking behind the masks.
[00:15:10.049 --> 00:15:21.179]  They talked to a Mexican Elmo, an Ecuadorian Spongebob, a Colombian Statue of Liberty, and another one from the Dominican Republic, Peruvian Toy Story characters, a Moroccan Spider-Man, a Colombian penguin,
[00:15:21.920 --> 00:15:22.381]  That's right.
[00:15:22.761 --> 00:15:26.525]  These costumed characters are virtually all illegal aliens.
[00:15:26.965 --> 00:15:30.109]  They came here illegally, working menial jobs that paid very little.
[00:15:30.529 --> 00:15:35.915]  Then they learned they could buy unlicensed costumes from Peru and panhandle in Times Square.
[00:15:36.395 --> 00:15:40.920]  The Ecuadorian SpongeBob made $80 in just five hours on his first day.
[00:15:41.321 --> 00:15:41.961]  COOKIE!
[00:15:42.842 --> 00:15:44.483]  Panhandling is against the law.
[00:15:44.924 --> 00:15:48.466]  Using someone else's copyrighted character in your business is against the law.
[00:15:48.727 --> 00:15:55.432]  But the New York Times gives them a pass, saying, few performers seem to fully know the rules in part because of language barriers.
[00:15:55.952 --> 00:15:57.714]  Many do not speak English.
[00:15:58.194 --> 00:15:58.394]  See?
[00:15:58.414 --> 00:15:59.395]  It's okay.
[00:15:59.615 --> 00:16:00.576]  They don't speak English.
[00:16:01.016 --> 00:16:04.839]  Illegal aliens are above all of our laws, including our copyright laws.
[00:16:05.139 --> 00:16:10.624]  Yet we're told that because of copyright violations, we have to hand over an internet kill switch to the government.
[00:16:11.064 --> 00:16:16.848]  They want to be able to instantly shut down any website on a mere accusation of copyright violation.
[00:16:17.128 --> 00:16:27.175]  And it's the very same companies that tolerate copyright violations in Times Square by illegal aliens that are screaming the loudest about internet control for copyright protection.
[00:16:27.555 --> 00:16:28.676]  Take Disney, for example.
[00:16:29.097 --> 00:16:34.642]  Except for these illegal costume characters, Disney has been incredibly aggressive in protecting their copyrights.
[00:16:35.163 --> 00:16:43.612]  They got a lot of bad publicity back in 1986 when they threatened three daycare centers with expensive lawsuits because they had painted Disney characters on their walls.
[00:16:43.972 --> 00:16:50.399]  Hanna-Barbera not only offered their characters as a replacement, they sent their own studio artists to paint the mural.
[00:16:50.879 --> 00:17:00.346]  Then three years later, Disney sued the Academy of Motion Picture Arts and Sciences, the people who do the Oscars, because they opened their Oscar show with Snow White and didn't get permission.
[00:17:00.366 --> 00:17:02.627]  It is so exciting to be here tonight!
[00:17:02.887 --> 00:17:08.371]  There are stars out tonight!
[00:17:08.891 --> 00:17:12.254]  Stars with glamour all gleaming and
[00:17:13.829 --> 00:17:17.752]  It's a shame they didn't stop that performance with a prior restraining order.
[00:17:18.332 --> 00:17:28.139]  Then in 2008, in a case exactly like what's going on in Times Square, a couple with a children's party business performed for the kids in Winnie the Pooh costumes.
[00:17:28.679 --> 00:17:35.263]  Disney sent them a cease and desist letter, which they complied with, except the demand to send Disney the costume.
[00:17:35.624 --> 00:17:39.306]  Instead, they returned it to the unlicensed Peruvian company for credit.
[00:17:39.666 --> 00:17:43.589]  The same company illegals in Times Square prefer to get their costumes from.
[00:17:43.949 --> 00:17:48.453]  Disney slapped the couple with a $1,000,000 lawsuit, plus attorney's fees.
[00:17:48.814 --> 00:17:51.096]  And at the time, Disney said this.
[00:17:51.596 --> 00:18:04.549]  Without firm licensing agreements, the company noted, it cannot control the quality and nature of the performance, the quality of the costumes, or the quality and background of the individuals providing the performance.
[00:18:05.149 --> 00:18:11.875]  Disney's already seen its character turned into a sex toy story when an illegal Woody was arrested for sex abuse.
[00:18:12.615 --> 00:18:14.717]  Even Santa Claus has weighed in on the issue.
[00:18:15.017 --> 00:18:25.085]  That's right, the real Santa Claus, a monk in North Pole, Alaska, who's legally changed his name, wants licensing of these Times Square characters to screen out pedophiles.
[00:18:25.566 --> 00:18:29.569]  But illegal costume characters want regulations to shut out competition.
[00:18:30.249 --> 00:18:34.073]  Especially those Americans who they say flout the law.
[00:18:34.553 --> 00:18:36.515]  What's the Spanish word for irony?
[00:18:37.195 --> 00:18:41.919]  But they seriously don't like Americans calling them money-grubbing aravistas.
[00:18:42.079 --> 00:18:43.020]  In other words, newcomers.
[00:18:43.521 --> 00:18:45.983]  Times Square, they say, is their territory.
[00:18:46.303 --> 00:18:51.428]  The panhandling illegal costume character business is for illegal aliens who started it.
[00:18:52.108 --> 00:18:58.275]  Yet, these black market entrepreneurs truly understand the basis of most of our business regulation.
[00:18:58.695 --> 00:19:01.118]  And that is to keep out your competition.
[00:19:01.479 --> 00:19:08.847]  Now, if they want the government to come in and regulate those money-grubbing Americans, which laws are the illegal costume characters going to obey?
[00:19:09.187 --> 00:19:12.808]  Do they want New York City to give them a license to illegally use copyrights?
[00:19:13.328 --> 00:19:20.169]  Should we ignore their copyright theft and call them undocumented costume characters until they get a license from Disney or Sesame Street?
[00:19:20.449 --> 00:19:22.950]  Are they even trying to get a copyright license?
[00:19:23.450 --> 00:19:29.591]  They pretend they're not violating the copyrights by saying that they're just street performers and they're not doing this for a living.
[00:19:29.891 --> 00:19:35.772]  But when New York City put up signs this past weekend telling tourists that photos are free, tipping is optional,
[00:19:36.152 --> 00:19:41.718]  An illegal costume character named Juan Perez complained that his income had dropped from $80 to $15.
[00:19:42.759 --> 00:19:52.588]  Another, Claudia Arias, said, we need to unite so people can see that this is our legitimate way of supporting our families.
[00:19:53.189 --> 00:19:55.211]  But wait, I thought they weren't doing this... Alright, so that's the report.
[00:19:55.251 --> 00:19:57.913]  You can see the rest of that up on Alex Jones' YouTube channel.
[00:19:57.933 --> 00:20:00.175]  That was from Friday Night's Nightly News.
[00:20:00.876 --> 00:20:02.437]  They're going to actually create a union.
[00:20:02.477 --> 00:20:06.100]  They're going to be able to keep those money-grubbing Americans out of Times Square, perhaps.
[00:20:06.260 --> 00:20:08.021]  It's La Fuente that they're turning to.
[00:20:08.482 --> 00:20:11.004]  We're going to be right back after the break with Paul Joseph Branson.
[00:20:11.044 --> 00:20:11.884]  My name's Bruno.
[00:20:11.924 --> 00:20:12.545]  I'm 52 years old.
[00:20:12.845 --> 00:20:16.307]  I've tried different protein powders over the years, and they've all tasted pretty bad.
[00:20:16.788 --> 00:20:18.829]  I tried One World Way and found it to be delicious.
[00:20:19.170 --> 00:20:24.834]  After 10 weeks on One World Way, my wife commented, you have more muscles and you're leaner than when you were 20 years old.
[00:20:25.334 --> 00:20:26.935]  My body has changed dramatically.
[00:20:27.116 --> 00:20:27.976]  I'm a cyclist.
[00:20:28.216 --> 00:20:32.480]  Normally I'll ride two days on and take two days off after being on One World Way.
[00:20:32.880 --> 00:20:40.786]  I rode 10 days in a row in over 100 degree heat and then I'd take another two servings of One World Way and then work out at the gym for another hour and a half.
[00:20:41.166 --> 00:20:42.847]  I just couldn't believe these results.
[00:20:43.208 --> 00:20:46.750]  My normal muscle tightness and soreness after working out are virtually gone.
[00:20:47.150 --> 00:20:48.271]  Don't take my word for it.
[00:20:48.632 --> 00:20:50.253]  One World Way comes in single serving.
[00:20:50.533 --> 00:20:51.434]  Just give it a try.
[00:20:52.094 --> 00:20:57.936]  One World Way is derived from Amish grass-pastured cows and is newly reformulated to be higher in protein.
[00:20:58.236 --> 00:20:58.656]  Call 888-988-3325.
[00:20:58.716 --> 00:20:58.896]  That's 888-988-3325.
[00:20:58.916 --> 00:20:59.977]  Or visit oneworldway.com.
[00:21:00.177 --> 00:21:01.297]  That's oneworld, W-H-E-Y dot com.
[00:21:10.697 --> 00:21:12.438]  Hi, I'm Dr. Edward Group.
[00:21:12.979 --> 00:21:19.943]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:21:20.403 --> 00:21:30.830]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:21:31.231 --> 00:21:40.457]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:21:41.197 --> 00:21:44.618]  It's the strongest nascent iodine on the market today.
[00:21:45.258 --> 00:21:48.719]  It delivers 650 micrograms per drop.
[00:21:49.019 --> 00:21:50.580]  Experience the new formula.
[00:21:51.080 --> 00:21:53.061]  Experience the ancient purity.
[00:21:53.641 --> 00:21:54.601]  Shield your family.
[00:21:54.981 --> 00:21:56.382]  Survival Shield X2.
[00:21:56.802 --> 00:21:59.383]  Available now at InfoWarsLife.com.
[00:21:59.963 --> 00:22:03.944]  X2 from InfoWarsLife.com or call toll free 888-253-3139.
[00:22:09.619 --> 00:22:10.499]  Clean water at home.
[00:22:10.799 --> 00:22:11.900]  Clean water at the office.
[00:22:12.220 --> 00:22:13.280]  Clean water on the go.
[00:22:13.540 --> 00:22:19.442]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:22:19.782 --> 00:22:22.583]  Thousands of satisfied customers can't be wrong.
[00:22:22.923 --> 00:22:27.164]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:22:27.184 --> 00:22:27.625]  That's 877-886-3653.
[00:22:27.665 --> 00:22:28.865]  Helping thousands prepare since 2005.
[00:22:29.045 --> 00:22:29.285]  GoBerkey.com.
[00:22:39.552 --> 00:22:47.355]  Virtually anyone can hack your cell phone and track your calls, your texts, your emails, your every movement, but only if they can detect a signal.
[00:22:47.675 --> 00:22:51.316]  Stay one step ahead of hackers and Big Brother with a BlockIt Pocket.
[00:22:51.616 --> 00:22:56.918]  A custom-made pocket infused with pure silver that creates a complete Faraday enclosure for your cell phone.
[00:22:57.138 --> 00:23:00.859]  For free shipping to the lower 48, visit BlockItPocket.com or call 888-315-9618.
[00:23:00.959 --> 00:23:01.500]  BlockItPocket.com.
[00:23:01.540 --> 00:23:02.440]  Enhancing health and privacy.
[00:23:08.948 --> 00:23:11.970]  In today's unstable environment, self-protection is critical.
[00:23:12.050 --> 00:23:13.650]  Civil unrest, riots, looting.
[00:23:13.831 --> 00:23:15.972]  It's happening now, right here in the United States.
[00:23:16.272 --> 00:23:17.632]  And your rights are at risk.
[00:23:17.893 --> 00:23:21.975]  If passed, HR 5344 would ban Level 3 and above body armor.
[00:23:22.235 --> 00:23:24.176]  KD Armor is standing up for you.
