[00:00:21.909 --> 00:00:28.512]  Tonight, the NYPD uses flag vandalism to justify mass spying.
[00:02:44.560 --> 00:02:45.881]  He never met Chris Kyle.
[00:02:47.141 --> 00:02:49.003]  And so he had to sue and had to win.
[00:02:49.303 --> 00:03:01.891]  It should also be noted that an insurance policy through News Corp is going to be paying the 1.8 million dollars, not the widow of America's most deadly sniper, according to him, Chris Kyle.
[00:03:02.691 --> 00:03:11.172]  So it is a very sad story, and I believe that Chris Kyle was being used as a pawn in all of this, the famed Ventura.
[00:03:11.873 --> 00:03:19.534]  In fact, I said back at the time when it happened, on YouTube and on my radio show, that I believed it was part of a wider psy-op.
[00:03:20.094 --> 00:03:25.075]  And we're going to play some of those clips here in a moment to discredit Ventura.
[00:03:25.275 --> 00:03:30.936]  They claim that he'd been in altercations with police, going to the airport when he was in Minnesota.
[00:03:31.676 --> 00:03:32.617]  Just it was just made up.
[00:03:32.657 --> 00:03:33.698]  He wasn't in California.
[00:03:34.339 --> 00:03:46.211]  They waited till they knew that his RV had driven into Mexico and that he didn't have a cell phone and would be out of contact for a few days so he couldn't respond so they could put the story out and try to destroy his name.
[00:03:47.386 --> 00:03:47.827]  This is false.
[00:04:02.426 --> 00:04:07.691]  To destroy politically anyone that dares challenge the establishment.
[00:04:07.731 --> 00:04:10.413]  And Jesse Ventura is a bonafide real deal.
[00:04:10.773 --> 00:04:11.714]  He is a real guy.
[00:04:11.814 --> 00:04:12.555]  I know him well.
[00:04:13.336 --> 00:04:17.419]  And he does threaten the establishment as a possible third-party presidential candidate.
[00:04:17.679 --> 00:04:19.421]  And that's what all of this is about.
[00:04:20.162 --> 00:04:29.530]  Now, Chris Kyle, as this story began to unravel, was then killed in Dallas, very mysteriously, by someone at a shooting range with PTSD, if you believe that.
[00:04:31.311 --> 00:04:33.273]  It's a lot bigger than that ladies and gentlemen.
[00:04:33.293 --> 00:04:39.257]  So I'm very sad to his widow and to his family and I think that should be investigated as well.
[00:04:39.617 --> 00:04:47.603]  But this sends a clear message to News Corp and others to not be involved in dirty tricks against people politically.
[00:04:48.244 --> 00:04:58.112]  I supported News Corp in their case in England with the phone hacking situation because clearly that was politically motivated to bring down the press.
[00:04:59.420 --> 00:05:03.801]  In this case, I support Ventura because it's another bully group going after the press.
[00:05:04.161 --> 00:05:07.442]  And I've been attacked by News Corp for that as well.
[00:05:07.903 --> 00:05:11.204]  All I'm doing is trying to stand up for what's right and justice.
[00:05:11.584 --> 00:05:20.827]  So, from the archive, here are a few clips from right when this came out in January of 2012, where we laid out what turned out to be the case.
[00:05:21.247 --> 00:05:28.109]  Then, as we come back from the clips, Leanne Mackett is going to be sitting right here with the rest of the really important news on the open borders,
[00:05:28.769 --> 00:05:40.514]  On the Syria situation, ISIS, Iraq, the Middle East, what's happening in Ukraine, you name it, it's all coming up right here on InfoWars Nightly News.
[00:05:42.215 --> 00:05:45.756]  Well, I started getting calls on the radio today, and at the end of the show I was able to watch it.
[00:05:45.856 --> 00:05:55.040]  Fox News, Dallas newspapers, Minnesota newspapers, you name it, ran with a story today that this new Navy SEAL super sniper
[00:05:59.155 --> 00:06:01.397]  I'm watching him and I'm watching his body language.
[00:06:27.486 --> 00:06:34.549]  And he's looking down, and he's giggling, and he's laughing, and they go, oh, we have a caller that says he once knocked out Ventura, and you can tell it's all staged.
[00:06:36.330 --> 00:06:43.914]  Everybody I've shown it to says it's staged, and then he says, yeah, Jesse Ventura was at a Navy Seal bar, and we know the one in San Diego.
[00:06:44.154 --> 00:06:46.135]  I talked to his son, Tyrell, and that's come up in a moment.
[00:06:46.595 --> 00:06:53.359]  Supposedly, Ventura, six years ago, in 2006, is at a wake at a Navy Seal bar.
[00:06:54.586 --> 00:06:57.467]  And they come over and say, please stop talking bad about the war.
[00:06:57.507 --> 00:07:01.647]  Some of the families here and Ventura says some of the seals deserve to die.
[00:07:02.368 --> 00:07:05.188]  Now Tyrell says that is not his father and his pure bull.
[00:07:05.628 --> 00:07:10.629]  I've been in airports with Ventura where he thanks veterans for their service and says, I hope you're safe during this war.
[00:07:10.689 --> 00:07:13.050]  Even though I disagree with it, I appreciate your sacrifice.
[00:07:13.530 --> 00:07:15.330]  He talks positively about Pat Tillman.
[00:07:15.890 --> 00:07:19.331]  He speaks at funerals and things he would never.
[00:07:20.472 --> 00:07:24.255]  I mean, he talks about how horrible it is that service people are dying in these wars.
[00:07:25.476 --> 00:07:27.398]  He would never say they deserve to die.
[00:07:28.599 --> 00:07:31.341]  So Tyrell, in his words, says it's complete BS.
[00:07:31.922 --> 00:07:38.788]  And he said the guy's story where, you know, he talks about sucker punching his dad and then running away.
[00:07:38.808 --> 00:07:42.551]  And when the guy's talking about it, he's looking down and acting like it's all scripted.
[00:07:43.392 --> 00:07:44.533]  But I wasn't sure about this.
[00:07:44.573 --> 00:07:47.155]  So for about four or five hours, I studied it this afternoon.
[00:07:48.342 --> 00:08:02.670]  And it turns out that this Navy SEAL, we're going to show you in a moment, is hooked in with Richard Pearl and Dick Cheney and some high-powered neocon and Israeli lobby groups that even the Nation Magazine and others have written about.
[00:08:02.790 --> 00:08:04.071]  And it's super creepy.
[00:08:04.512 --> 00:08:11.936]  And owns a defense contractor company with security, like Blackwater, training, sniper training, and weapons systems.
[00:08:12.947 --> 00:08:20.813]  And he's got a big book out and in all the neocon publications, New York Post, Rupert Murdoch, Fox News, they have this rollout about him.
[00:08:20.833 --> 00:08:36.824]  And I remember seeing him last month in Texas Monthly because I've been profiled in there and we take the magazine and it's him wearing a skull outfit and a skull hat talking about Jesse Ventura right as his book comes out of how he knocked him out because Ventura was saying, I'm glad the Seals are dead.
[00:08:36.884 --> 00:08:37.485]  They deserve it.
[00:08:38.891 --> 00:08:39.151]  I don't
[00:09:11.305 --> 00:09:11.845]  We're good.
[00:09:32.202 --> 00:09:33.042]  He said, I don't know.
[00:09:33.102 --> 00:09:36.564]  I guess they've been tapping my phones and know that I was considering running for president.
[00:09:37.184 --> 00:09:39.265]  Obviously they want to know they're running for president.
[00:09:39.966 --> 00:09:41.587]  So all of this has been happening.
[00:09:41.667 --> 00:09:46.309]  And then, and then this really creepy guy who's clearly part of this big psyop.
[00:09:47.598 --> 00:09:52.779]  Uh, is is pushing, you know, calling anybody they kill savages and war is great.
[00:09:52.819 --> 00:09:53.740]  Let's kill them all.
[00:09:53.780 --> 00:09:55.720]  And all this really creepy stuff.
[00:09:56.260 --> 00:09:59.181]  And we're in skull hats and he's tied into all these big groups.
[00:10:00.141 --> 00:10:15.245]  Governor Jesse Ventura, we've seen a big national news story claiming that this Navy SEAL who just had a book come out this week at a bar knocked you down and then ran away because you were saying you were glad that Navy SEALs were dead.
[00:10:15.305 --> 00:10:15.965]  I mean, it sounds
[00:10:17.087 --> 00:10:24.924]  Well Alex, anyone that's ever heard me talk knows that that's not true at all.
[00:10:25.144 --> 00:10:26.166]  I have no idea.
[00:10:27.428 --> 00:10:50.535]  Why this person is saying it or for what purpose it's to serve, but you know if he if he stated that he struck me knocked me down and then fled I want people to understand clearly He's confessing them to the crime of assault and it's assault on a former governor an elected official a former elected official twice and
[00:10:51.056 --> 00:10:58.483]  I want to clear his name because he's confessing to assaulting me and it didn't happen.
[00:10:58.503 --> 00:11:06.331]  I can unequivocally tell you that I've never been punched in Coronado, California since I've been out of the Navy.
[00:11:06.351 --> 00:11:13.398]  I got out of the Navy in active duty in 1973 and I've never been struck by anyone.
[00:11:13.578 --> 00:11:15.200]  Wouldn't there be a police report?
[00:11:15.922 --> 00:11:23.049]  I can assure you there isn't one and I can assure you this event did not happen because it never happened.
[00:11:23.149 --> 00:11:33.059]  It's plain and that simple and what does concern me is that this is two times now within about a two-week period where the mainstream media has
[00:11:33.699 --> 00:11:48.539]  Has ran with something that was completely untrue as you know they stated that I was tailgating a car a couple weeks ago out in the San Fernando Valley on the way to the airport and that was solely not true because I haven't been to California
[00:11:49.079 --> 00:11:49.319]  Do you?
[00:12:06.736 --> 00:12:20.382]  False stories have been perpetuated out there by the mainstream media against me, maybe because I support Ron Paul, who's not popular, or they say he's fringe because he stands for peace.
[00:12:21.102 --> 00:12:26.805]  Maybe because I support peace and not war in this country now, that makes you a target.
[00:12:27.085 --> 00:12:27.345]  Yeah.
[00:12:27.525 --> 00:12:44.155]  Governor Jesse Ventura joins us from Mexico down on the Baja via audio, and he just learned from his son that on Bill O'Reilly's Fox, on at least 10 other Fox shows, syndicated radio, newspapers, they are all reporting as if it's absolute fact.
[00:12:44.195 --> 00:12:48.437]  Here's a Fox News headline, Navy SEAL sniper punched out Jesse Ventura.
[00:12:48.738 --> 00:12:54.221]  But sir, his name is Chris Kyle, he has a book coming out, he's starting a big mercenary
[00:12:54.881 --> 00:13:04.450]  This is not the main issue, so you're categorically denying, saying call the owner of the bar, who was, you know, one of your main trainees when you were in Seals decades ago.
[00:13:04.950 --> 00:13:08.773]  Obviously, this would have been out in the news beforehand, but that's not the big issue.
[00:13:09.274 --> 00:13:15.820]  And I'm sad to have to raise this to you, but I know in your Facebook comment, also posted at Infowars.com, you've responded.
[00:13:16.260 --> 00:13:21.645]  He has gone on all these shows and said it's terrible, there's the family with the lake,
[00:13:22.225 --> 00:13:28.910]  He's talking bad about the Congressional Medal of Honor winner, and Jesse says, they deserve to die.
[00:13:28.950 --> 00:13:30.070]  You deserve to die.
[00:13:30.110 --> 00:13:34.833]  I mean, clearly the most horrible thing you could say, designed to destroy your character.
[00:13:34.853 --> 00:13:37.735]  If this isn't defamation, I don't know what is.
[00:13:37.795 --> 00:13:39.837]  It's one thing to say, I'm a tough guy.
[00:13:39.957 --> 00:13:43.739]  I, you know, knocked Jesse Ventura down and then ran away, which makes no sense.
[00:13:44.119 --> 00:13:47.542]  And then to defame the Seals and say they teach us to punch you once and run away.
[00:13:47.562 --> 00:13:50.504]  I've been contacted by Seals and others saying that's pure bull.
[00:13:52.082 --> 00:14:02.566]  Now Jesse Ventura might have been joking about having his phone tapped while he was thinking about running for the presidency, but that is exactly the type of thing that the intelligence community involves itself in.
[00:14:02.946 --> 00:14:06.907]  And this was echoed by William Benny, NSA whistleblower William Benny.
[00:14:06.967 --> 00:14:15.610]  He made a bombshell revelation on the Alex Jones Show today, basically saying that the intelligence community is running our country via blackmail.
[00:14:16.571 --> 00:14:20.192]  Thanks to you and others, we know about the level of deception now, but
[00:14:21.272 --> 00:14:23.613]  Now it's almost like a mainlining of this.
[00:14:25.614 --> 00:14:35.139]  Yeah, the real problem is that when you gather all kinds of information like this on everybody in the planet, that gives you leverage to blackmail anybody you want.
[00:14:35.799 --> 00:14:39.261]  And like the KGB, this is the kind of stuff that they did.
[00:14:39.321 --> 00:14:44.644]  I mean, the point is that if they can't get at you directly, they can try to get at somebody that you care about.
[00:14:45.922 --> 00:14:50.124]  Someone in your family or someone that you're really interested in protecting.
[00:14:50.324 --> 00:14:51.985]  When do you think the endgame is coming?
[00:14:52.005 --> 00:14:55.967]  And I would ask you, what is the endgame of this total surveillance society?
[00:14:56.648 --> 00:15:13.016]  Well, it seems to me that they're tending toward a European-style government or even more leaning toward a Stasi-type government, a Stasi-run government, where the intelligence service basically determines a lot of the policy of the government.
[00:15:13.076 --> 00:15:14.197]  And that's what's happening here.
[00:15:15.006 --> 00:15:24.831]  The intelligence community is more or less directing what the government is doing and how they do it, and it's basically affecting everything, even international decisions.
[00:15:24.871 --> 00:15:34.637]  Like, they used them, I guess, to start the war in Iraq, you know, and they used that kind of information back in the Tonkin Gulf, the Vietnam War.
[00:15:35.438 --> 00:15:44.104]  Well, coming up, the Department of Homeland Security has turned into a heavily armed national police force, but they're not actually protecting the nation.
[00:15:44.124 --> 00:15:45.505]  They're just policing us.
[00:15:47.631 --> 00:15:56.640]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:15:56.740 --> 00:16:04.967]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:16:05.148 --> 00:16:09.812]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:16:09.992 --> 00:16:16.719]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfoWarsLife.com.
[00:16:16.799 --> 00:16:23.866]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:16:23.966 --> 00:16:30.833]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:16:30.993 --> 00:16:35.334]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:16:35.454 --> 00:16:38.736]  Available in original or with our immune support infusion blend.
[00:16:38.856 --> 00:16:44.978]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:16:45.158 --> 00:16:47.398]  Available at InfoWarsLife.com.
[00:16:47.578 --> 00:16:50.459]  This is Alex Jones for InfoWarsLife.com.
[00:16:50.639 --> 00:16:52.560]  The latest in preparedness is now here.
[00:16:52.780 --> 00:16:58.722]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:16:58.962 --> 00:17:03.944]  Concentrated to 30 parts per million in what has been dubbed the Survival Silver Solution.
[00:17:04.024 --> 00:17:08.705]  The new InfoWars Live Silver Bullet Colloidal Silver is the answer for you and your family.
[00:17:08.905 --> 00:17:13.447]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:17:13.727 --> 00:17:22.109]  The InfoWars Live Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and it's not recommended for extended continual use.
[00:17:22.329 --> 00:17:24.290]  This is not a low-grade formula.
[00:17:24.470 --> 00:17:27.391]  We are working with one of the top laboratory manufacturers
[00:17:27.551 --> 00:17:27.911]  We're good to go.
[00:17:48.404 --> 00:17:52.408]  Well, the Department of Homeland Security was created in the aftermath of 9-11.
[00:17:52.508 --> 00:18:01.797]  We were told that they were tasked with keeping America safe from terrorists, and in the event of a hurricane or something like that, they would be there to protect us and to help us.
[00:18:02.277 --> 00:18:09.885]  Well, nowadays it seems that the DHS has actually turned into a heavily armed national police force that's actually
[00:18:10.225 --> 00:18:11.966]  Terrorizing citizens.
[00:18:12.367 --> 00:18:18.792]  Here we have six vehicles full of DHS agents descending on private property in North Carolina.
[00:18:19.232 --> 00:18:19.493]  Why?
[00:18:19.513 --> 00:18:25.698]  They went there to seize a Land Rover that apparently didn't meet CO2 emission standards.
[00:18:26.278 --> 00:18:28.860]  Now, Jennifer and Bill Brinkley were satisfied.
[00:18:28.900 --> 00:18:41.948]  They made a $60,000 purchase of a Land Rover Defender on eBay, and they checked to make sure it complied with regulations that it was a vehicle over 25 years or older, so it was exempt from these EPA rules.
[00:18:42.688 --> 00:18:52.290]  However, when the DHS agents turned up at the property, they compared the car's vehicle identification number to a list, and then they immediately seized the Land Rover.
[00:18:52.330 --> 00:18:55.891]  And the couple weren't even given a chance to debate the issue.
[00:18:56.311 --> 00:18:58.452]  So here we have the Department of Homeland Security.
[00:18:58.492 --> 00:19:01.373]  They're all geared up for a raid-type scenario.
[00:19:01.753 --> 00:19:06.134]  They descend on this couple's private property and seize their truck because the VIN numbers didn't match.
[00:19:06.474 --> 00:19:07.974]  Who knows how that happens on eBay?
[00:19:07.994 --> 00:19:10.155]  It can be kind of tricky to import a vehicle.
[00:19:10.535 --> 00:19:10.695]  I don't
[00:19:27.591 --> 00:19:35.057]  The Department of Homeland Security thinks that this is more important than protecting the porous borders and the fact that there are terrorists.
[00:19:35.498 --> 00:19:38.660]  Gang members can just roll right in through the southern border.
[00:19:39.261 --> 00:19:45.546]  And, of course, we have the TSA allowing illegal aliens to board flights without even showing any identification.
[00:19:45.987 --> 00:19:47.968]  So who is protecting the homeland?
[00:19:48.329 --> 00:19:49.129]  That's not their job.
[00:19:49.189 --> 00:19:50.911]  It's clearly to terrorize Americans.
[00:19:51.251 --> 00:19:54.194]  But here is another ridiculous excuse to violate your rights.
[00:19:54.594 --> 00:20:05.676]  The NYPD is now scanning through thousands of innocent cell users data in order to find any evidence that's related to those mysterious white flags that appeared on the Brooklyn Bridge last week.
[00:20:06.777 --> 00:20:19.219]  Yes, they are using a controversial technique known as the tower dump and this allows officers to obtain all call, text and data transmissions through cell towers during any specific time period.
[00:20:19.499 --> 00:20:20.980]  Now this was confirmed by them.
[00:20:21.480 --> 00:20:22.300]  Obviously we know
[00:20:22.840 --> 00:20:28.641]  You know, we're hearing about this tower dump technique now because of these white flags that are flying over the Brooklyn Bridge.
[00:20:28.681 --> 00:20:34.823]  Apparently, people think that that is more of a national security threat than an open border, a wide open border.
[00:20:35.263 --> 00:20:38.944]  But how many other states are employing this tower dump technique?
[00:20:38.984 --> 00:20:48.926]  We've already heard about the Stingray cell towers in Florida, but they have got to be, those type of techniques have got to be being employed in cities nationwide, and that's
[00:20:49.386 --> 00:21:02.048]  Pretty much absurd, because here we have people sneaking up, raising the white flag of surrender, and apparently that is more of a national security threat than surrendering the borders of our country.
[00:21:03.260 --> 00:21:08.344]  Now in some somewhat good news, we have the Albuquerque Police Department.
[00:21:08.665 --> 00:21:13.449]  They are considering scrapping the use of the MRAP armored vehicle.
[00:21:13.769 --> 00:21:18.153]  This was after a deluge of negative press attention and a lot of complaints.
[00:21:18.193 --> 00:21:20.055]  Citizens were going to the city council meetings.
[00:21:20.535 --> 00:21:26.062]  That they were saying that this vehicle is a sign of America's slide into a militarized police state.
[00:21:26.563 --> 00:21:33.291]  Now the APD of course is under intense scrutiny because their officers have been involved in the deaths of 27 people since 2010.
[00:21:33.351 --> 00:21:37.036]  That includes the shooting of that 38 year old homeless man
[00:21:37.376 --> 00:21:45.963]  James Boyd who was executed, shot in the back when he was running away for the crime of camping illegally on a remote hill.
[00:21:46.504 --> 00:22:02.317]  Now this is all being considered in light of a recent ACLU report which warns that such vehicles are part of a transformation into a militarized policing where Americans are now being treated like wartime enemies and of course now the APD is debating
[00:22:02.517 --> 00:22:13.185]  I don't know whether it should go ahead and scrap getting this vehicle, but it's kind of like, yeah, right, they're going to give up all of that power and all the ability to impress that tyranny upon the people there of Albuquerque.
[00:22:13.686 --> 00:22:20.771]  Now, Peter Simonson, who is actually part of the New Mexico chapter of the ACLU, says this would be a really good sign.
[00:22:20.791 --> 00:22:31.359]  It would be welcome and symbolic gesture that says they realize they are sort of descending down the wrong path and maybe these vehicles aren't really necessary to police its citizens.
[00:22:32.780 --> 00:22:42.688]  As this article points out, although they might go ahead and scrap getting this vehicle, they are still going to be acquiring those 350 assault rifles that they had been ordering.
[00:22:43.349 --> 00:22:51.676]  But that's, you know, this is just to point out how important it is for people to push back against this prison that is being built around us before it is too late.
[00:22:51.736 --> 00:22:57.881]  Here, of course, the ACLU is catching on that this is becoming increasingly an over-militarized country.
[00:22:59.162 --> 00:23:03.926]  The DHS is supposed to be protecting the homeland, not policing the homeland.
[00:23:04.306 --> 00:23:07.149]  Now here is a great article up on InfoWars.com.
[00:23:07.529 --> 00:23:14.034]  It's breaking down this theater of the absurd and that is the bureaucratic hell that is the American police state.
[00:23:14.475 --> 00:23:22.101]  Now it goes over some of the recent headlines like the working mother who was arrested for letting her nine-year-old play unsupervised at a playground.
[00:23:22.521 --> 00:23:26.665]  Then we have a teenager who was forced to have his genitals photographed by police
[00:23:27.205 --> 00:23:36.716]  They actually issued a search warrant to medically induce an erection so that they can compare photos that this 16-year-old sent to his teenage girlfriend.
[00:23:37.056 --> 00:23:42.262]  And then of course we have a 16-year-old who broke into a home and was sentenced to 23 years in prison
[00:23:43.703 --> 00:23:45.545]  For shooting a retired police dog.
[00:23:45.585 --> 00:23:48.589]  He didn't kill the police dog, he just shot the police dog.
[00:23:48.950 --> 00:23:53.455]  And he, a 16 year old, is being sentenced to 23 years in prison.
[00:23:53.495 --> 00:23:58.021]  Meanwhile, police are constantly shooting the family pet with impunity.
[00:23:58.341 --> 00:23:59.282]  So here we're just seeing...
[00:24:00.103 --> 00:24:01.224]  How absurd this is.
[00:24:01.704 --> 00:24:07.867]  But the question here is who is to blame for this bureaucratic nightmare that's being delivered by way of the police state?
[00:24:07.947 --> 00:24:08.727]  Is it the White House?
[00:24:08.787 --> 00:24:09.648]  Is it Congress?
[00:24:10.088 --> 00:24:13.450]  Is it the mobster mindset of the DHS?
[00:24:13.890 --> 00:24:16.611]  You know, is it some nefarious shadowy government?
[00:24:17.232 --> 00:24:17.292]  Or...
[00:24:18.729 --> 00:24:24.734]  Is it the sheepish masses who are mindlessly marching in lockstep to anything the government dictates?
[00:24:25.235 --> 00:24:34.924]  Here, this is a Holocaust survivor that poses this question, saying, people are expressing no outrage, they're demanding no reform, and issuing no challenge to the status quo.
[00:24:35.244 --> 00:24:41.489]  Is it these sheepish masses who are to blame for the prison walls that are being erected around us?
[00:24:42.230 --> 00:24:50.304]  And while Americans are watching sheepishly as the president surrenders our nation's borders, illegal immigrants are rallying their troops.
[00:24:50.684 --> 00:24:51.486]  That's coming up next.
[00:24:53.359 --> 00:24:57.623]  City of Austin tap water versus filtered City of Austin tap water.
[00:24:57.703 --> 00:24:58.784]  I taste dirt in it.
[00:24:58.824 --> 00:24:59.965]  God knows what's in this.
[00:25:00.105 --> 00:25:01.086]  This has an aftertaste.
[00:25:01.146 --> 00:25:02.707]  Tastes like Austin water?
[00:25:02.967 --> 00:25:03.808]  Yeah, it does.
[00:25:03.888 --> 00:25:08.032]  These people just sampled City of Austin tap water straight from the faucet.
[00:25:08.292 --> 00:25:14.417]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:25:14.597 --> 00:25:15.358]  I call it H2O.
[00:25:15.378 --> 00:25:16.919]  That one is better.
[00:25:16.979 --> 00:25:17.980]  Tastes like nothing.
[00:25:18.160 --> 00:25:19.641]  Yep, I know what good water tastes like.
[00:25:19.702 --> 00:25:20.222]  It's good water.
[00:25:20.302 --> 00:25:28.850]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:25:29.251 --> 00:25:36.778]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:25:37.038 --> 00:25:39.561]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:25:40.161 --> 00:25:42.464]  It has that processed flavor to it.
[00:25:42.805 --> 00:25:52.377]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh-tasting, deliciously clean water.
[00:25:52.897 --> 00:25:53.939]  Okay, this is very tasty.
[00:25:53.959 --> 00:25:54.900]  It's good water.
[00:25:55.575 --> 00:25:56.016]  Refreshing.
[00:25:56.456 --> 00:25:57.317]  It's good.
[00:25:57.337 --> 00:25:59.659]  Go to InfoWarsStore.com today.
[00:26:00.079 --> 00:26:03.923]  Use promo code WATER and save 10% off your Pro Pure purchase.
[00:26:04.424 --> 00:26:07.727]  Again, that's InfoWarsStore.com or call 1-888-253-3139.
[00:26:13.120 --> 00:26:13.960]  The facts are in.
[00:26:14.140 --> 00:26:15.261]  The studies are legion.
[00:26:15.561 --> 00:26:22.883]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:26:23.043 --> 00:26:28.425]  I am extremely excited to announce the exclusive InfoWarsLife fluoride shield formulation.
[00:26:28.585 --> 00:26:39.088]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:26:39.388 --> 00:26:42.709]  Secure your fluoride shield at InfoWarsLife.com today.
[00:26:44.229 --> 00:26:49.531]  The results of recent primary elections show that the American people are being roused to action.
[00:26:50.252 --> 00:26:52.993]  And once activated, their power will be felt.
[00:26:53.493 --> 00:26:55.094]  They will not be mocked.
[00:26:56.014 --> 00:27:03.377]  They have begged and pleaded for our nation's immigration laws to be enforced for 30 or 40 years.
[00:27:03.817 --> 00:27:08.279]  The politicians have refused, refused, refused, refused.
[00:27:09.220 --> 00:27:12.221]  They have defeated amnesty after amnesty after amnesty.
[00:27:12.797 --> 00:27:21.717]  And they will not sit back and allow the president to implement through unlawful fiat what they have defeated through the democratic process.
[00:27:22.694 --> 00:27:41.740]  Now Sessions also urged his colleagues to stand up and be counted, stand up to Obama's lawless actions and support any legislation that is going to block him from granting amnesty to even more illegal immigrants and of course ensure that no federal funds go to helping to further these executive actions.
[00:27:42.060 --> 00:27:52.043]  Now Sessions also emphasized that he has never seen a situation in which a president weeks in advance has announced that he's going to take action that clearly violates the law.
[00:27:52.443 --> 00:28:10.192]  He says Obama is preparing to assume for himself the absolute power to set immigration law in America and with this mentality of I'll just enforce what I wish to enforce and determine who may enter and who may work no matter what the law says by the millions.
[00:28:10.593 --> 00:28:12.974]  Now Obama has indicated that he's going to be granting
[00:28:13.574 --> 00:28:18.976]  These executive actions granting work permits to possibly 8 million more illegal immigrants.
[00:28:19.677 --> 00:28:25.519]  All of this is going to be happening while Congress is about to embark on a five-week vacation.
[00:28:25.539 --> 00:28:28.841]  They're going to have their August recess after this week.
[00:28:29.201 --> 00:28:30.561]  So isn't that convenient?
[00:28:30.822 --> 00:28:35.864]  Here we have a crisis at the border, the president who's announced weeks ago that he's going to be violating the law.
[00:28:36.624 --> 00:28:45.667]  So shame at any of our representatives who are sitting at home on vacation on the taxpayer's dime while Obama surrenders our borders.
[00:28:46.207 --> 00:28:56.070]  And, you know, it is really easy to roll all of the blame onto Obama, but of course he is just a puppet of this faceless, nameless, bureaucratic government machine.
[00:28:56.430 --> 00:28:57.610]  They are all to blame.
