[00:00:00.109 --> 00:00:00.669]  Network.
[00:02:56.251 --> 00:03:01.036]  Pentagon official says Russians likely responsible for shooting down Malaysian plane.
[00:03:02.197 --> 00:03:10.085]  And yes, it takes a more powerful missile, but dozens and dozens of countries have missiles that go above 33,000 feet.
[00:03:12.978 --> 00:03:19.083]  It was the M-PADS, around 15,000 of them that only go up to about 15,000 feet, that Al-Qaeda's been given.
[00:03:19.623 --> 00:03:24.527]  They're perfect for shooting down passenger liners as they come in to cities or go out of cities.
[00:03:26.629 --> 00:03:29.932]  Most aircraft don't get above 10,000 feet before they even get out of a city.
[00:03:30.552 --> 00:03:35.296]  Or you can just sit out a mile from the airport and the plane's at 3,000 feet and blow it out of the air.
[00:03:35.316 --> 00:03:41.181]  In fact, that's what you want to do because then it doesn't have time to recover if one of its engines gets blown
[00:03:42.369 --> 00:03:46.210]  If they're up higher, sometimes they can recover and land from just one missile.
[00:03:46.790 --> 00:03:55.212]  The point is that NATO has been caught staging false flags in Syria.
[00:03:56.392 --> 00:04:06.015]  Sy Hersh has come out and talked about how that was clearly staged as well, months after we documented it, but he's a very respected two-time Pulitzer Prize winner.
[00:04:07.375 --> 00:04:10.456]  So my issue is, this could be a false flag.
[00:04:11.960 --> 00:04:27.216]  The way the Russians are acting, though, and putting out disinformation and things, makes me begin to lead towards something even more complex.
[00:04:27.917 --> 00:04:30.980]  Now again, mainstream media wants to dominate speculation.
[00:04:31.829 --> 00:04:34.711]  Everybody loves a good mystery, especially if it could cause World War III.
[00:04:35.312 --> 00:04:43.398]  They've got articles in the Daily Mail, they've got articles in the Boston Globe, they've got them everywhere, criticizing myself and others for simply saying, who could be behind this?
[00:04:43.818 --> 00:04:46.761]  That's heresy to have your own speculation.
[00:04:47.221 --> 00:04:49.903]  You're supposed to just listen to them and listen to them speculate.
[00:04:51.244 --> 00:05:00.411]  But when I come back, I'm going to tell you where the evidence is leaning right now in my view.
[00:05:00.451 --> 00:05:00.912]  In my view.
[00:05:02.927 --> 00:05:04.708]  Hi, I'm Dr. Edward Group.
[00:05:05.229 --> 00:05:12.213]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:05:12.673 --> 00:05:23.060]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:05:23.501 --> 00:05:32.747]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:05:33.447 --> 00:05:36.888]  It's the strongest nascent iodine on the market today.
[00:05:37.528 --> 00:05:40.948]  It delivers 650 micrograms per drop.
[00:05:41.269 --> 00:05:42.869]  Experience the new formula.
[00:05:43.329 --> 00:05:45.329]  Experience the ancient purity.
[00:05:45.909 --> 00:05:46.930]  Shield your family.
[00:05:47.250 --> 00:05:48.650]  Survival Shield X2.
[00:05:49.050 --> 00:05:51.650]  Available now at Infowarslife.com.
[00:05:52.211 --> 00:05:56.191]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:06:01.653 --> 00:06:05.397]  City of Austin tap water versus filtered City of Austin tap water.
[00:06:05.477 --> 00:06:06.718]  I didn't, I taste dirt in it.
[00:06:06.738 --> 00:06:07.799]  God knows what's in there.
[00:06:08.040 --> 00:06:12.144]  These people just sampled City of Austin tap water straight from the faucet.
[00:06:12.304 --> 00:06:18.070]  Next, we had them try a sample of tap water filtered with a ProPure G2.0 filtration system.
[00:06:18.210 --> 00:06:19.231]  That one is better.
[00:06:19.271 --> 00:06:20.232]  Tastes like nothing.
[00:06:20.532 --> 00:06:21.913]  Yep, I know what good water tastes like.
[00:06:21.953 --> 00:06:22.474]  It's good water.
[00:06:22.574 --> 00:06:28.317]  Most tap water contains added substances like fluoride, chlorine, glyphosate, and many others.
[00:06:28.557 --> 00:06:35.621]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:06:35.781 --> 00:06:38.263]  It tastes like you're drinking out of the lake when you're doing tap water.
[00:06:38.503 --> 00:06:46.427]  The ProPure® G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[00:06:46.447 --> 00:06:47.568]  Okay, this is very tasty.
[00:06:47.708 --> 00:06:48.588]  It's good water.
[00:06:48.768 --> 00:06:49.229]  Refreshing.
[00:06:49.249 --> 00:06:49.689]  It's good!
[00:06:49.889 --> 00:06:54.133]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:06:54.153 --> 00:06:57.936]  Most people know that iodine deficiency has been a crisis around the world.
[00:07:12.288 --> 00:07:16.871]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:07:17.271 --> 00:07:19.893]  I discovered a product being developed by Dr. Group.
[00:07:20.193 --> 00:07:25.377]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:07:25.637 --> 00:07:32.522]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:07:33.022 --> 00:07:36.804]  And the results that I personally have had have been life-changing.
[00:07:37.165 --> 00:07:41.948]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:07:42.268 --> 00:07:50.696]  This is innovating, and the best part is, it helps fund InfoWars.com, the radio show, the TV show, the whole media operation, promoting true libertarian ideas.
[00:07:50.856 --> 00:07:54.920]  For a limited time, experience the ancient power of Survival Shield X2.
[00:07:55.140 --> 00:08:00.405]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[00:08:00.425 --> 00:08:04.188]  So we have Ian right there.
[00:08:04.208 --> 00:08:05.109]  What's his name?
[00:08:25.577 --> 00:08:26.838]  There is a war.
[00:08:27.259 --> 00:08:28.260]  It's happening now.
[00:08:28.920 --> 00:08:30.922]  It will decide the fate of humanity.
[00:08:31.483 --> 00:08:33.325]  The time to choose sides has come.
[00:08:34.065 --> 00:08:35.527]  We are the resistance.
[00:08:35.987 --> 00:08:37.589]  We are the Infowar.
[00:08:44.335 --> 00:08:52.758]  Ladies and gentlemen, it is the 18th day of July 2014 on this Friday Worldwide Edition.
[00:08:52.778 --> 00:08:55.018]  We're going to be live here for the next three hours.
[00:08:55.078 --> 00:08:57.679]  I will be live this Sunday 4 to 6 p.m.
[00:08:57.739 --> 00:08:58.139]  Central.
[00:08:59.060 --> 00:09:03.021]  The news is so hardcore and so over-the-top
[00:09:04.022 --> 00:09:23.628]  That you'll need to be watching InfoWars.com and PrisonPlanet.com over the weekend for continued breaking video and text reports detailing what's happening worldwide, from Gaza to Ukraine and the Crimea, right through the rest of the Middle East, financially here in the U.S.
[00:09:23.668 --> 00:09:24.348]  and worldwide.
[00:09:24.748 --> 00:09:29.930]  The globalists are triggering and moving on all fronts right now.
[00:09:30.770 --> 00:09:32.511]  And this swarm effect
[00:09:33.513 --> 00:09:37.235]  Is only engaged in before major world wars begin.
[00:09:38.375 --> 00:09:54.703]  And that's why every major historian, worth their salt, the vast majority, are in the Wall Street Journal, New York Times, London Guardian, Financial Times of London, this broadcast, Drudge Report, everywhere.
[00:09:55.163 --> 00:10:02.607]  Analysts are saying major global crises, major war, major currency collapse, major.
[00:10:05.134 --> 00:10:10.695]  And we've been telling you this for the last few years, and you can feel the buildup right now.
[00:10:11.796 --> 00:10:13.676]  I've got goosebumps on my face right now.
[00:10:15.197 --> 00:10:23.579]  I'm getting chills right now when I get up here and talk about how grave and how dire the situation is.
[00:10:23.879 --> 00:10:25.239]  And I'm not being melodramatic.
[00:10:25.779 --> 00:10:32.321]  If we don't get upset about all this right now, if we don't
[00:10:33.308 --> 00:10:37.832]  Get concerned about this and really get involved and try to de-escalate things.
[00:10:38.492 --> 00:10:42.455]  The globalists are going to flog this into a war.
[00:10:43.816 --> 00:10:59.789]  Now here's what I know about MH17, the Malaysian airliner that blew up right after 1400 GMT, 50 miles from the Russian border over Crimea.
[00:11:02.657 --> 00:11:03.518]  Here's what I know.
[00:11:06.720 --> 00:11:12.704]  The globalists stand to gain from all of this.
[00:11:18.369 --> 00:11:29.057]  It comes on the cusp of Israel completely destroying Gaza.
[00:11:30.248 --> 00:11:31.869]  Israel, 14 minutes.
[00:11:31.929 --> 00:11:33.549]  In fact, I have an article right here.
[00:11:33.569 --> 00:11:34.390]  I noticed this this morning.
[00:11:34.410 --> 00:11:37.391]  I went and looked it up and others had pointed it out.
[00:11:37.411 --> 00:11:47.855]  14 minutes after the plane had been hit by the missile, right as it was breaking in the news, Israel was lined up and launched a giant offensive into Gaza.
[00:11:48.555 --> 00:11:49.095]  Coincidence?
[00:11:51.056 --> 00:11:52.957]  And no, I'm not saying Israel was involved.
[00:11:54.017 --> 00:11:58.779]  I'm saying they were given word by NATO and others, as their offensive lined up, wait.
[00:12:00.950 --> 00:12:03.951]  Because it becomes a big distraction from what's happening there.
[00:12:04.312 --> 00:12:23.481]  And more importantly from what ISIS is doing, advancing all over the Middle East, in Africa, in Iraq, in Syria, with Western forces, special forces confirmed, even London Guardian reports, in there with them right now, with medium weapons and high-tech weapons like Stinger missiles that bring down aircraft.
[00:12:27.022 --> 00:12:28.243]  So what I know is this.
[00:12:30.029 --> 00:12:38.154]  This is extremely fortuitous and comes right at the perfect time for the globalists.
[00:12:42.916 --> 00:12:55.704]  John McCain has come out in just hyper-extreme rhetoric and said that there'll be hell to pay for the Russians.
[00:12:57.489 --> 00:12:58.109]  That's a U.S.
[00:12:58.149 --> 00:13:08.293]  Senator on the Defense Committee, talking like a third world dictator, trying to escalate the war rhetoric.
[00:13:08.733 --> 00:13:18.556]  Putin has blamed Ukraine for loss of flight MH17 with 298 innocent souls, but doesn't deny Russian separatists shot it down with missile.
[00:13:19.136 --> 00:13:20.977]  As McCain warns, there will be hell to pay.
[00:13:23.408 --> 00:13:28.053]  Also, you add the bizarreness that it's the same make and model of the other missing Malaysian plane.
[00:13:28.734 --> 00:13:29.936]  Yeah, that's really weird.
[00:13:30.686 --> 00:13:37.730]  Around 100 attendees heading to Australian AIDS conference among victims of downed Malaysian airline flight.
[00:13:38.130 --> 00:13:47.076]  We're looking into this top AIDS conference, and I've seen intel that they were looking at AIDS being man-made, which Nobel laureates have already come out and said.
[00:13:47.736 --> 00:13:48.537]  A bioweapon.
[00:13:48.877 --> 00:13:52.019]  A race-specific bioweapon developed for South Africa.
[00:13:52.659 --> 00:13:53.960]  Who we know is working on it.
[00:13:54.180 --> 00:13:55.181]  That's declassified.
[00:13:55.361 --> 00:13:56.461]  They just didn't call it AIDS.
[00:13:57.022 --> 00:13:57.422]  Look it up!
[00:13:58.339 --> 00:14:05.203]  That's mainstream Times of London from the 80s that South Africa got caught working on autoimmune viruses that target Africans.
[00:14:06.844 --> 00:14:09.205]  By the way, it's very hard for Northern Europeans to get AIDS.
[00:14:09.225 --> 00:14:11.446]  They don't have the receptor sites in their T-lymphocytes.
[00:14:11.807 --> 00:14:17.530]  They can still get it if they've destroyed their immune system, but it is designed to whack black people.
[00:14:19.811 --> 00:14:24.434]  And again, if the New York Times or the Daily Mail or
[00:14:25.842 --> 00:14:36.021]  The Boston Globe, who've all got articles going, look at the conspiracy theorist saying it's a false flag and then quoting me yesterday saying, we'll look at it and see if it's a false flag, I don't know.
[00:14:37.103 --> 00:14:37.403]  Listen!
[00:14:38.632 --> 00:14:49.144]  That is the dinosaur media attempting to say they have a monopoly on speculation when no one knows, except whoever did this, exactly who's behind it.
[00:14:49.864 --> 00:14:56.372]  And I said yesterday it could be the Russians, it could be the separatists, it could be a friendly fire that happens in war.
[00:14:58.336 --> 00:15:06.101]  But you look at everything else happening, and everything else going on, and who launched the war in Ukraine months ago?
[00:15:06.481 --> 00:15:08.923]  George Soros, the State Department of Albright, they did it.
[00:15:09.203 --> 00:15:15.667]  Five billion dollars, overthrowing the government, the elected government, putting in new people.
[00:15:20.427 --> 00:15:21.908]  Trying to start a war with Russia.
[00:15:21.988 --> 00:15:23.870]  The globalists are on the offensive.
[00:15:24.130 --> 00:15:26.432]  They're the ones turning Al-Qaeda and ISIS loose.
[00:15:26.692 --> 00:15:29.974]  They're the ones overthrowing Libya and all these other countries and invading Iraq.
[00:15:30.475 --> 00:15:32.576]  They're the ones handing out the heat-seeking missiles.
[00:15:33.017 --> 00:15:35.399]  They're the ones coming after our guns with executive orders.
[00:15:35.759 --> 00:15:43.585]  They're the ones training for gun confiscation and buying thousands of armored vehicles and, no hesitation, sites, you know, targets of little kids and women.
[00:15:45.199 --> 00:15:47.801]  They're the ones with Obama announcing Monday.
[00:15:47.841 --> 00:15:54.367]  They're preparing the EAS alert takeover system to take over the whole media and the internet kill switch is now operable.
[00:15:54.827 --> 00:15:56.569]  That was announced on Monday.
[00:15:57.189 --> 00:16:00.292]  And I said, folks, they don't announce it unless they're thinking about using it.
[00:16:00.352 --> 00:16:01.833]  And I got chills on Monday.
[00:16:02.554 --> 00:16:05.356]  I used to get chills maybe once a year talking about something.
[00:16:06.077 --> 00:16:07.878]  I'm getting them every minute now.
[00:16:08.619 --> 00:16:13.323]  Again, my instincts and my intellectual understanding is just burning.
[00:16:14.887 --> 00:16:17.249]  With, we're all in danger.
[00:16:17.349 --> 00:16:18.490]  My children are in danger.
[00:16:18.610 --> 00:16:19.771]  Your children are in danger.
[00:16:20.171 --> 00:16:21.532]  The culture is in danger.
[00:16:22.733 --> 00:16:24.214]  Society is in danger.
[00:16:24.594 --> 00:16:26.195]  The globalists have the hardened bunkers.
[00:16:26.636 --> 00:16:28.877]  They have the COG, Continuity of Government.
[00:16:29.298 --> 00:16:35.883]  They believe a world government will bring them into total power.
[00:16:39.065 --> 00:16:40.226]  They want a crisis.
[00:16:41.718 --> 00:16:43.800]  To end the status quo of due process and freedom.
[00:16:44.080 --> 00:17:06.739]  Paul Watson's coming up for the balance of the hour after the break, but here's what I said yesterday, and Zero Hedge is reporting on it today, this morning, and then CBS News and the San Francisco Chronicle and others came out in just the last hour and acted like rational human beings.
[00:17:08.223 --> 00:17:10.984]  And of course, maybe they'll have the New York Times call them conspiracy theorists.
[00:17:11.484 --> 00:17:14.065]  Because they ask real questions, they'll call it a theory.
[00:17:14.446 --> 00:17:17.387]  No, there's no theory that this is a war zone.
[00:17:17.427 --> 00:17:24.470]  There's no theory that it's a provocation and we're sad that 302 people or whatever it was, 298, now it's 300 and something are dead.
[00:17:24.930 --> 00:17:29.492]  But do you want that to be the pretext of a war that could kill millions or billions?
[00:17:30.952 --> 00:17:35.914]  The Russians have no motive to want to shoot down a third-party 777 jumbo jet.
[00:17:39.312 --> 00:17:40.573]  The globalists stand to gain.
[00:17:41.915 --> 00:17:49.023]  So I look at this, and then I see this headline, Zero Hedge, InfoWars.com.
[00:17:49.043 --> 00:17:51.245]  We can put the graphic up on screen for TV viewers.
[00:17:51.285 --> 00:17:52.226]  It's up on InfoWars.com.
[00:17:53.680 --> 00:17:57.723]  Was flight MH17 diverted over restricted airspace?
[00:17:58.063 --> 00:18:08.950]  I love how they call zero heads that are run by insider billionaire folks who will not go named in Wall Street who don't like the new world order and who don't like nuclear war.
[00:18:09.770 --> 00:18:12.232]  They said that early this morning at about 4 a.m.
[00:18:12.252 --> 00:18:12.913]  when I woke up.
[00:18:13.153 --> 00:18:17.476]  That article was out on InfoWars.com because Watson, six hours ahead in England, had already posted it.
[00:18:17.837 --> 00:18:18.297]  They said it.
[00:18:18.337 --> 00:18:38.814]  Then hours later, Captain Schellenberger, big question, CBS News, is why plane was flying over war zone and why the European FAA, FAA's over there as well, and why the EU air traffic system didn't announce months ago a warning and a no-fly through that
[00:18:39.454 --> 00:18:40.795]  Crimea Corridor.
[00:18:42.036 --> 00:18:46.218]  Now, we're being attacked and Zero Hedge is being attacked.
[00:18:46.258 --> 00:18:51.942]  I've got articles right here, already today, saying that we claim they flew it over a war zone.
[00:18:51.982 --> 00:18:54.143]  No, we didn't claim Jack Squat.
[00:18:54.383 --> 00:19:03.128]  And the controlled corporate press, the state-run media, doesn't control reality anymore like Karl Rove bragged you did back in 2005 in the New York Times.
[00:19:04.969 --> 00:19:06.349]  Okay, that is a war zone.
[00:19:06.630 --> 00:19:13.832]  The plane flew over an area where they have been restricting flights in Ukraine and not letting them fly over it.
[00:19:14.052 --> 00:19:17.973]  They were supposed to fly 60 miles to the south.
[00:19:20.614 --> 00:19:23.055]  And instead they flew right over the war zone.
[00:19:23.295 --> 00:19:31.778]  They were directed by Ukrainian air traffic control to fly over that.
[00:19:32.665 --> 00:19:34.566]  And again, I don't have a dog in this fight.
[00:19:34.966 --> 00:19:41.508]  I care about the Catholic Ukrainians in the West, and who've got real beefs with Russia.
[00:19:42.048 --> 00:19:48.910]  I care about the Russian Slavic Ukrainians in the East, who've got real beefs with what the Western Ukrainians did with the Nazis.
[00:19:49.330 --> 00:19:50.911]  It's tribal warfare crud.
[00:19:52.011 --> 00:19:55.892]  And I don't want it to cause World War III for a bunch of globalists.
[00:19:56.512 --> 00:19:57.913]  So, that's the bottom line.
[00:19:58.333 --> 00:20:01.414]  It's a war zone, it's a casualty of war, collateral damage.
[00:20:02.321 --> 00:20:07.646]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:20:07.786 --> 00:20:12.811]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:20:12.991 --> 00:20:13.812]  Why spend more?
[00:20:13.972 --> 00:20:21.720]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy-to-grow heirloom seeds.
[00:20:22.000 --> 00:20:22.481]  Yes, only $37.95.
[00:20:22.541 --> 00:20:23.441]  That's 70% less than our competitors.
[00:20:26.144 --> 00:20:29.326]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:20:29.546 --> 00:20:36.030]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:20:36.190 --> 00:20:38.812]  Plus, all orders over $49 ship free.
[00:20:39.012 --> 00:20:44.675]  MyPatriotSupply.com is American-owned by patriots like you, passionate about freedom and preparedness.
[00:20:44.895 --> 00:20:47.739]  Call now 866-229-0927.
[00:20:48.060 --> 00:20:51.624]  That's 866-229-0927.
[00:20:52.145 --> 00:20:56.772]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:20:56.912 --> 00:20:57.913]  Choose the original.
[00:20:58.013 --> 00:21:01.258]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:21:02.359 --> 00:21:04.902]  Alex Jones here for InfoWars.com.
[00:21:05.122 --> 00:21:10.008]  In the month of July, we have got giant specials on everything at Madein1776.com.
[00:21:10.088 --> 00:21:12.351]  The already discounted Made in 1776 t-shirts are only $17.76.
[00:21:17.176 --> 00:21:21.941]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[00:21:21.961 --> 00:21:23.383]  There's only 500 of each.
[00:21:23.623 --> 00:21:27.708]  We're talking about Made in America belt buckles in nickel brass.
[00:21:27.808 --> 00:21:29.870]  This is more than a summer blowout special.
[00:21:30.051 --> 00:21:32.954]  This is a new declaration of independence.
[00:21:33.154 --> 00:21:44.560]  But to expand the info orb, we're offering the equivalent of more than five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[00:21:44.860 --> 00:21:48.362]  That's more than five months free off the regular price.
[00:21:48.702 --> 00:21:54.945]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[00:21:55.305 --> 00:22:00.348]  Molon Labe, you can take my gun from my cold, dead hands.
[00:22:01.775 --> 00:22:02.155]  Question.
[00:22:02.536 --> 00:22:06.778]  Could too many GMO foods and toxins be overloading your digestive and immune systems?
[00:22:07.319 --> 00:22:08.159]  Answer, yes.
[00:22:08.580 --> 00:22:14.363]  If you're searching for a powerful detox that's gentle enough to use every day, use Pro-EM-1 from Teriganics.
[00:22:14.824 --> 00:22:22.068]  Pro-EM-1 is a powerful liquid probiotic that uses good bacteria to suppress pathogens and gently eliminate toxins from your body.
[00:22:22.389 --> 00:22:30.434]  A healthy digestive system will cleanse and remove toxins, support weight loss, improve absorption of food nutrients, and aid in controlling yeast and other infections.
[00:22:30.734 --> 00:22:38.417]  Pro-EM-1 is made with only non-GMO and certified organic ingredients, has no preservatives, and is dairy, soy, wheat, and gluten-free.
[00:22:38.677 --> 00:22:41.038]  Pro-EM-1 is the key to your digestive health.
[00:22:41.418 --> 00:22:45.280]  Order Pro-EM-1 Daily Probiotic Cleanse at Terragonics.com.
[00:22:45.320 --> 00:22:48.401]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:22:48.641 --> 00:22:49.642]  Or call toll-free 866-369-3678.
[00:22:49.682 --> 00:22:50.002]  That's 866-369-3678.
[00:22:50.022 --> 00:22:51.462]  Also available through Amazon Prime.
[00:22:51.483 --> 00:22:52.503]  Pro-EM-1 from Terragonics.
[00:22:52.523 --> 00:22:53.463]  Life's getting better.
[00:23:01.773 --> 00:23:04.994]  How can you save a ton of money and prepare for emergencies?
[00:23:05.395 --> 00:23:08.276]  By having your own in-home freeze dryer from Harvest Rite.
[00:23:08.616 --> 00:23:12.237]  Now you can cut down on wasted food by freeze drying your leftovers.
[00:23:12.597 --> 00:23:13.158]  That's right!
[00:23:13.318 --> 00:23:21.421]  Create your own long-term food storage by freeze drying your own fruits, meats, vegetables, even complete meals with the Harvest Rite in-home freeze dryer.
[00:23:21.801 --> 00:23:24.202]  Imagine the savings and the peace of mind!
[00:23:24.562 --> 00:23:29.164]  See how the amazing Harvest Rite freeze dryer works at HarvestRite.com
[00:23:30.794 --> 00:23:31.834]  Hi, this is Ted Anderson.
[00:23:31.914 --> 00:23:36.256]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:23:36.416 --> 00:23:42.037]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:23:42.137 --> 00:23:45.478]  Gold has outperformed paper investments, yet no word about IRAs.
[00:23:45.698 --> 00:23:48.259]  If you would like to have gold for your retirement, call 800-686-2237.
[00:23:48.379 --> 00:23:53.200]  Don't get left behind by rising inflation and low returns.
[00:23:53.340 --> 00:23:53.620]  Call 800-686-2237.
[00:23:53.640 --> 00:23:54.961]  Secure your future and call 1-800-686-2237.
[00:24:19.025 --> 00:24:31.432]  Coming up in the next segment, we're going to go over some of the articles where it was admitted a month ago that no one was supposed to fly over that airspace because it was a registered war zone in Europe.
[00:24:32.073 --> 00:24:34.214]  So actually, Europe had said, do not fly over that area.
[00:24:34.274 --> 00:24:35.555]  No one had been flying over that area.
[00:24:35.915 --> 00:24:42.579]  There were scores of flights just that day that were routed around that.
[00:24:42.819 --> 00:24:47.362]  Only that flight was sent into the war zone.
[00:24:51.229 --> 00:25:02.076]  Now, continuing, ladies and gentlemen, with the information that we're breaking down, no one stands to gain from this but the globalists.
[00:25:02.656 --> 00:25:18.807]  It is entirely possible that Russian-backed rebels, who have been given the SAM-type missiles that can shoot down high-flying aircraft, mistakened it and did shoot it down.
[00:25:19.687 --> 00:25:20.468]  That could be true.
[00:25:22.489 --> 00:25:38.123]  The issue here is that they, within minutes of the plane being shot down, it was already being announced by members of the State Department and their alumni like Strobe Talbot
[00:25:38.928 --> 00:25:44.753]  And Hillary Clinton and others that Russia was clearly behind it, that the rebels had done it, and look, here's a tweet they deleted.
[00:25:45.414 --> 00:25:49.538]  These are famous liars, so I don't by default just believe whatever they say.
[00:25:49.918 --> 00:26:01.369]  Here is Boston.com, the Boston Globe, the weirdest conspiracy theories surrounding the Malaysian Airlines flight MH17, and they mix legitimate questioning
[00:26:03.207 --> 00:26:04.249]  Is it a false flag?
[00:26:04.289 --> 00:26:05.310]  Did the Russians do it?
[00:26:06.091 --> 00:26:08.134]  Is it connected to the other missing Malaysian flight?
[00:26:08.455 --> 00:26:10.077]  Is it connected to the AIDS scientist?
[00:26:10.297 --> 00:26:10.938]  That's what you do.
[00:26:10.958 --> 00:26:12.420]  That's what police do in an investigation.
[00:26:12.621 --> 00:26:16.366]  When they come to a murder scene, they start looking and speculating and war-gaming info.
[00:26:16.686 --> 00:26:18.068]  That's normal investigation.
[00:26:18.269 --> 00:26:19.651]  That's normal thought process.
[00:26:23.362 --> 00:26:31.050]  And they say, no, that's un-kosher, that's insane, you're nuts, Alex Jones, look what people say on his website.
[00:26:31.410 --> 00:26:36.956]  And they show people in the comment section saying things and imply I said it.
[00:26:38.657 --> 00:26:41.800]  So again, that's the attempt to control reality.
[00:26:41.981 --> 00:26:43.242]  Look at DrugsReport.com.
[00:26:43.963 --> 00:26:46.025]  It has an image right now of Vladimir Putin on it.
[00:26:47.264 --> 00:26:49.725]  And it says, who shot it down?
[00:26:50.525 --> 00:26:54.066]  That's a normal question to ask, and that's what you should be asking.
[00:26:54.346 --> 00:27:01.688]  Well, only the Boston Globe, only the New York Times can ask who shot it down.
[00:27:02.689 --> 00:27:04.729]  And it is a link to the New York Times.
[00:27:05.970 --> 00:27:16.753]  See, Drudge is so smart, he knows at first, dare not even question who shot it down, because only, again, mainstream media is proper and kosher
[00:27:18.218 --> 00:27:26.525]  And I'm being a little bit tongue-in-cheek here, but the point is, the New York Times
[00:27:27.720 --> 00:27:32.882]  is allowed to say who shot it down, but we said yesterday who shot it down.
[00:27:33.302 --> 00:27:34.622]  Let's look at different angles of it.
[00:27:34.682 --> 00:27:42.725]  That's not allowed, according to the Daily Mail, and according to the Boston Globe, and according to a bunch of other publications, Time Magazine, you name it.
