[00:00:18.888 --> 00:00:21.751]  Welcome to this live edition of the InfoWars Nightly News.
[00:02:16.791 --> 00:02:21.915]  They also got pretty rough with him, shoving them around, shoving them into the drink machine from what they said.
[00:02:22.515 --> 00:02:29.620]  Now, we've had witnesses tell us that they were allowing everybody to loot, and we have this other article on Infowars.com.
[00:02:29.940 --> 00:02:33.183]  Eyewitness says Ferguson cops allowed everybody to loot.
[00:02:33.543 --> 00:02:35.004]  We've got an embedded report there.
[00:02:35.024 --> 00:02:36.085]  Let's go to that right now.
[00:02:39.841 --> 00:02:42.565]  This is essentially what they told us earlier today.
[00:02:42.585 --> 00:02:54.422]  The thing about it is they allowed everybody to loot Sunday.
[00:02:55.086 --> 00:02:55.787]  Yeah, that's what I heard.
[00:02:55.847 --> 00:03:03.472]  One of the guys we spoke to earlier said the cops were blocking an area and literally letting the masses drive by and then go into the shopping center.
[00:03:03.512 --> 00:03:09.437]  They surrounded the entire community at each end and let everybody loot and do everything they wanted to do.
[00:03:11.879 --> 00:03:12.299]  Do I know?
[00:03:14.501 --> 00:03:22.687]  I mean, when it comes down to it, I mean, this is all the ploy basically to make sure that everybody begins a war with the police.
[00:03:23.650 --> 00:03:36.174]  Even though they're rioting for a reason, for a cause, but of course they're going to try to use militia, they're going to try to use, you know, of course, the façade version of America, you know what I'm saying?
[00:03:36.194 --> 00:03:43.116]  The façade version of America just sees a bunch of people running around, hectic, and just wanting to destroy their community, and that's not what's going on right now.
[00:03:43.316 --> 00:03:45.736]  Making the weaponization even more vicious and deceptive.
[00:03:45.756 --> 00:03:48.057]  Exactly what he was telling us on Tuesday.
[00:03:48.077 --> 00:03:50.878]  We had another person that we interviewed from the area on Tuesday that
[00:03:51.218 --> 00:03:51.678]  Thank you.
[00:04:09.685 --> 00:04:20.530]  Absolutely, that was Adrian Hubbard and he thought that it was pretty suspicious actually that the cops were just sort of, they cordoned off the entire area and just allowed cars to drive in.
[00:04:20.610 --> 00:04:24.912]  They saw that things were getting really escalated there, things were being set on fire.
[00:04:25.292 --> 00:04:26.493]  People were really upset.
[00:04:26.533 --> 00:04:35.957]  Now granted, maybe it took a little time for the police to figure it all out tactically what they were going to do when they got the area cordoned off, but Adrian said
[00:04:36.537 --> 00:04:55.049]  There were clearly people coming in from other towns to take part in this free-for-all and basically just tearing everything down, causing this mayhem, this destruction, and he said it really appeared to him that they were allowing it to ramp up for what he thought was an excuse to use heavy police force.
[00:04:55.809 --> 00:05:04.612]  And, you know, there, he was a witness to the vigil, and he was at the peaceful vigil, saw the peaceful vigil escalate into this rioting.
[00:05:04.972 --> 00:05:07.793]  There, the police sort of shoved everyone off.
[00:05:07.813 --> 00:05:09.473]  They were like, your vigil is over.
[00:05:09.893 --> 00:05:14.675]  Because apparently, in Ferguson, Missouri, the First Amendment ends at dusk.
[00:05:14.955 --> 00:05:15.135]  Yeah.
[00:05:15.395 --> 00:05:17.395]  Yeah, it was a very different situation last night, wasn't it?
[00:05:17.415 --> 00:05:19.376]  They were deliberately tear-gassing journalists.
[00:05:19.790 --> 00:05:20.971]  Yes, absolutely.
[00:05:20.991 --> 00:05:25.634]  And the First Amendment, it's not just the peaceful protesting that ends at dusk.
[00:05:26.214 --> 00:05:37.722]  Apparently, if you are a journalist or someone there with your cell phone and you're filming the apparent beatdown from the police that's about to happen, you're supposed to shut your phones off as well and stop recording.
[00:05:38.082 --> 00:05:44.486]  The Ferguson police told reporters to turn off their cameras before they began attacking the press.
[00:05:44.827 --> 00:05:49.550]  Now, reporters documenting the protests in Ferguson, Missouri, were told by the police
[00:05:49.970 --> 00:06:00.379]  To cease recording just moments before they launched an attack using LRAD sound cannons, flashbang grenades, tear gas canisters, and a hail of rubber bullets.
[00:06:00.419 --> 00:06:03.902]  And like we said, our reporters were struck by some of these rubber bullets.
[00:06:03.922 --> 00:06:05.023]  They got tear gassed.
[00:06:05.643 --> 00:06:12.929]  Josh unfortunately came over with a case of incessant vomiting because he just could not catch his breath.
[00:06:13.330 --> 00:06:14.491]  But like we've always said,
[00:06:15.191 --> 00:06:17.212]  No, do not turn off your cameras.
[00:06:17.232 --> 00:06:21.673]  You're not required to stop filming a police in a public situation such as this.
[00:06:21.694 --> 00:06:26.455]  You always keep the cameras rolling and that's why we were able to catch this clip right here.
[00:06:26.475 --> 00:06:37.980]  You must leave your vehicles, leave your homes immediately.
[00:06:38.000 --> 00:06:39.360]  Please turn off your video.
[00:06:39.380 --> 00:06:42.261]  I think he said, did he say, please turn off your video?
[00:06:42.281 --> 00:06:44.142]  That's what it sounded like to me.
[00:06:47.093 --> 00:06:49.154]  Did they just tell us to turn off and stop filming?
[00:06:49.495 --> 00:06:51.676]  I think that's what they said, honestly.
[00:06:51.776 --> 00:06:57.500]  I think they said, please turn off your video?
[00:06:58.160 --> 00:07:00.142]  That's what it sounded like to me.
[00:07:00.162 --> 00:07:07.206]  Did they just tell us to turn off and stop filming?
[00:07:07.527 --> 00:07:09.728]  I think that's what they said, honestly.
[00:07:09.768 --> 00:07:11.629]  Trapping everybody in?
[00:07:11.669 --> 00:07:12.190]  They tried to.
[00:07:16.520 --> 00:07:23.090]  Front line of the infoward, Joe Biggs, Jakari Jackson, Josh Owens, the front line as they advance on it.
[00:07:27.247 --> 00:07:29.549]  So this is apparently a new tactic that they're using.
[00:07:29.589 --> 00:07:39.419]  Not only are they shutting down peaceful protests, but now they're trying to... I mean, this was a pre-recorded voice coming out of the MRAP vehicles, I mean, saying, turn your cameras off.
[00:07:39.459 --> 00:07:40.780]  So they had prepared for this.
[00:07:40.820 --> 00:07:42.201]  They knew there were journalists there.
[00:07:42.282 --> 00:07:47.687]  I mean, it's kind of... Well, what happened subsequently, it was very clear that they were targeting journalists, wasn't it?
[00:07:48.086 --> 00:08:05.759]  Yeah absolutely and you know that's just one of those interesting things is that here we have everyone with their cell phones they can't tell everyone to turn their cameras off but what what happens when they get that kill switch in all the phones that they're just so desperate to to get in all of our phones by 2015 in fact but last night
[00:08:07.961 --> 00:08:15.526]  Big said that he was aware that they were specifically targeting journalists and they were specifically coming after journalists.
[00:08:15.546 --> 00:08:17.888]  We saw them tear gassing journalists.
[00:08:18.268 --> 00:08:24.233]  Ja'Kari Jackson was there with Al Jazeera when the canisters were thrown directly at
[00:08:25.914 --> 00:08:29.536]  You see them preparing to do a live camera shot of a scene there.
[00:08:29.936 --> 00:08:39.503]  They are hit with a round of tear gas and then you'll see footage that shows militarized police then confiscating their cameras.
[00:08:39.583 --> 00:08:47.088]  They dismantle their camera equipment and another officer points a sniper rifle at the fleeing reporters.
[00:08:47.448 --> 00:08:51.691]  So you want to talk about looting the police or looting the press?
[00:08:52.011 --> 00:08:58.653]  Yeah, I want to get Jakari Jackson's take on this because he was standing right there with those Al Jazeera reporters when they did that.
[00:08:58.973 --> 00:09:01.474]  And there's an amazing story from Fox News.
[00:09:02.154 --> 00:09:08.476]  They said despite reports SWAT teams helped Al Jazeera reporters, did not take their equipment.
[00:09:08.536 --> 00:09:12.738]  They say the SWAT team was actually helping the journalists in Ferguson and not taking their equipment.
[00:09:13.098 --> 00:09:19.120]  In fact, last night, this is the Sheriff's Department, that they're of course just repeating his press releases verbatim.
[00:09:19.140 --> 00:09:20.280]  That's what the mainstream media does.
[00:09:20.700 --> 00:09:35.137]  They say, in fact, last night the SWAT team officers were assisting the media in moving their camera equipment and media personnel to a safer area with their consent so that they could continue to cover the event.
[00:09:35.277 --> 00:09:35.637]  That's it.
[00:09:35.677 --> 00:09:40.363]  They were just gassing them to motivate them to move to a safer area, right?
[00:09:40.543 --> 00:09:44.826]  When you look at the video, and let's take a look at this video right now, it's absolutely amazing.
[00:09:44.906 --> 00:09:50.710]  See, if this looks like they're just trying to move them to a safer area with their consent.
[00:09:50.791 --> 00:09:55.314]  You see them getting multiple tear gas canisters shot at them right there.
[00:09:55.754 --> 00:09:57.035]  They've got all their lights set up.
[00:09:57.135 --> 00:10:00.077]  I don't think that they wanted to move from that area.
[00:10:00.217 --> 00:10:02.499]  No, he was about to go do a live on there.
[00:10:02.559 --> 00:10:08.784]  Yeah, and if you look at this, you'll see Ja'Kari Jackson right off on the right-hand side of the screen, just on the other side of that sign, running with them.
[00:10:09.624 --> 00:10:12.586]  Now, what is interesting is what happens afterwards.
[00:10:12.646 --> 00:10:15.488]  Now, they're not taking their camera equipment, actually.
[00:10:15.728 --> 00:10:17.069]  They're taking down the lights.
[00:10:17.089 --> 00:10:17.970]  They're turning down the lights.
[00:10:17.990 --> 00:10:20.672]  They don't want to have lights shown on what they're doing.
[00:10:21.112 --> 00:10:29.217]  But you'll also see as we move along on this video here, let's fast forward that up to the point where they come out there with the MRAP or the military vehicle.
[00:10:29.397 --> 00:10:29.738]  There they are.
[00:10:29.758 --> 00:10:30.938]  They're taking the lights down.
[00:10:31.439 --> 00:10:38.744]  And then after they do this, watch this guy goes back to the camera and he actually points the camera down.
[00:10:39.644 --> 00:10:46.048]  So, he's leaving the most expensive piece of equipment up on the tripod, but he doesn't want it to record anything.
[00:10:47.189 --> 00:10:49.150]  So, I don't think they were looking after them.
[00:10:49.330 --> 00:10:54.974]  I don't think they were helping them to move to another area so they could continue to film in another area.
[00:10:55.774 --> 00:10:59.578]  And they say that, and this is the last thing here, they say the position of the St.
[00:10:59.618 --> 00:11:07.826]  Charles County Sheriff's Department is that the media has a right to cover these events and we support the freedom of press.
[00:11:08.247 --> 00:11:16.495]  And that's why, Leanne, they ordered everybody and threatened everybody they would be arrested if they didn't stop recording because they support freedom of the press.
[00:11:16.875 --> 00:11:17.735]  This is Orwellian.
[00:11:17.755 --> 00:11:29.660]  This is like North Korean level of absurdity that we're seeing from Fox News putting out these press releases from the sheriff's office saying that they were just there helping the reporters in that area.
[00:11:29.800 --> 00:11:39.803]  Right, well clearly that's why they had all the MRAP vehicles and the LRAD cannons and all the rubber bullets and everything because they were clearly protecting everyone's First Amendment rights.
[00:11:39.843 --> 00:11:40.583]  That's what they were.
[00:11:40.623 --> 00:11:44.945]  I felt a lot safer when the militarized police showed up, especially for our reporters.
[00:11:45.265 --> 00:11:45.705]  That's right.
[00:11:45.985 --> 00:11:55.789]  Well, in this next article from Kit Daniels, press suppression, InfoWars Twitter account suspended twice within 12 hours of creation, this is something that isn't quite as obvious as that.
[00:11:55.809 --> 00:12:08.774]  I mean, when you look at what they're physically doing, when they're shooting tear gas at reporters, when they're taking down their lighting, when they're turning their cameras to the ground and chasing these guys off, pointing guns at them as they're running, that's pretty obvious censorship, isn't it?
[00:12:09.651 --> 00:12:14.434]  Less obvious censorship is when they go onto social media and start controlling that.
[00:12:14.454 --> 00:12:24.701]  We've been telling you about the many defense contracts that have been coming out, trying to get companies to come on and do this type of work, and that's exactly what's going on.
[00:12:24.741 --> 00:12:26.022]  Now we see the fruits of this.
[00:12:26.522 --> 00:12:31.286]  We see in this article from Kit Daniels, he's talking about how, for a year, he's had a Twitter account.
[00:12:31.406 --> 00:12:33.688]  He's posted all kinds of InfoWars content on that.
[00:12:34.088 --> 00:12:47.519]  And yet, last night, when he started up with a brand new Kit Daniels 1776, he used it only once to tweet out an InfoWars video showing what was going on in Ferguson, Missouri, with police snipers targeting unarmed protesters.
[00:12:47.779 --> 00:12:52.823]  And he says, within hours, it was suspended as a, quote, suspected spam account.
[00:12:53.243 --> 00:12:59.105]  And he had to go back with CAPTCHA validation to unlock it and then not long after that, they shut it down again.
[00:12:59.645 --> 00:13:04.566]  It's now still down because it requires a mobile phone number to unlock and he's not giving that to them.
[00:13:05.567 --> 00:13:14.349]  He points out that in comparison, another Twitter account under Kit Daniels, he said, has been suspended for, has never been suspended and it's nearly one year existence.
[00:13:14.389 --> 00:13:20.811]  He also points out that the main Twitter account from the official Alex Jones, the real Alex Jones account,
[00:13:21.391 --> 00:13:23.673]  He says that was blocked from sending tweets last night.
[00:13:23.873 --> 00:13:28.856]  Multiple users of Facebook also reported they were unable to share YouTube videos by InfoWars.
[00:13:29.217 --> 00:13:31.939]  And of course, we've seen in the past that this has happened.
[00:13:32.519 --> 00:13:41.266]  Also last night, Facebook was adding erroneous code to shortened InfoWars.com URLs yesterday so that people would not get the correct link.
[00:13:41.826 --> 00:13:44.107]  This is something that's been going on quite some time.
[00:13:44.847 --> 00:13:46.928]  We've had this happen in the past, of course.
[00:13:47.008 --> 00:13:54.131]  Facebook suspended 20 accounts last year, actually in late 2012, because they said that they violated Facebook policies.
[00:13:54.171 --> 00:14:02.494]  They threatened to close Alex Jones' account over an image of Osama bin Laden with the words Al-CIA written underneath it.
[00:14:02.534 --> 00:14:08.137]  Because, of course, we know that the CIA created Al-Qaeda, just as they have created ISIS,
[00:14:08.837 --> 00:14:08.917]  Yes.
[00:14:31.843 --> 00:14:35.845]  Data Mining Company had been acquired by Palantir.
[00:14:36.206 --> 00:14:39.067]  Now, in case you don't know who Palantir are, we've covered that as well.
[00:14:39.107 --> 00:14:45.311]  They were involved with, the first time they came under scrutiny, with the Snowden Document Links, when that program, PRISM, was out there.
[00:14:45.611 --> 00:14:52.354]  Palantir is a company that was created with venture funding from the CIA, from In-Q-Tel, their venture capital company.
[00:14:53.135 --> 00:14:55.276]  Openly funded by the CIA, I would add.
[00:14:55.316 --> 00:14:58.758]  Now they are buying this company, which is a data mining company,
[00:14:59.943 --> 00:15:10.288]  Forbes asked, why in the world would Palantir, who's basically working for the intelligence community, why would they acquire a company that has basically been looking at social media and looking at trends?
[00:15:10.828 --> 00:15:23.834]  One of their most famous episodes is when they monitored an awards program, and they were looking for people who were A, looking at that program, and B, talking about hairstyles of some particular actresses.
[00:15:24.494 --> 00:15:33.362]  And if you were interested in the particular hairstyles of those particular actresses, they immediately sent you some information selling you some hair products.
[00:15:33.382 --> 00:15:34.523]  That was very successful.
[00:15:34.963 --> 00:15:51.318]  Not long after that then, Palantir bought them because they want to be able to monitor and data mine instantly in real time and make the kind of adjustments that we saw happening to Kit Daniel's Twitter account, to the Alex Jones Twitter account, and to our Facebook accounts.
[00:15:52.264 --> 00:15:54.465]  This is very troubling to see this kind of thing happening.
[00:15:54.845 --> 00:16:01.307]  That's the kind of not so subtle, or very subtle I should say, censorship that we're seeing.
[00:16:01.367 --> 00:16:03.408]  It's not in your face like the other stuff.
[00:16:03.588 --> 00:16:08.130]  Yeah, well and in the meantime, before they can control it, they're going to have their trolls and their government bots.
[00:16:08.510 --> 00:16:08.990]  I think so.
[00:16:23.880 --> 00:16:34.386]  Journalists photojournalists in that vehicle and just getting bombed with these Cannons and with the flashbang cannons and and he was frightened terrified.
[00:16:34.406 --> 00:16:45.532]  Yes for 30 minutes They were there just unloading on him and here we see the Ferguson's police chief freaks out after he found out that his cops are
[00:16:45.732 --> 00:16:47.272]  Had arrested two journalists.
[00:16:47.392 --> 00:16:49.013]  Two mainstream journalists?
[00:16:49.033 --> 00:16:49.833]  Yeah, exactly.
[00:16:49.853 --> 00:16:50.873]  Washington Post and Huffington Post.
[00:16:50.933 --> 00:16:58.234]  You know, it's not that they're, you know, firing flash grenades on photojournalists, but they've arrested two mainstream journalists.
[00:16:58.794 --> 00:17:05.256]  Chief Thomas Jackson was shocked and he reportedly said, oh God, after he learned of these arrests.
[00:17:05.776 --> 00:17:08.216]  And he claimed that he immediately called the St.
[00:17:08.236 --> 00:17:12.497]  Louis County Police Department, of course, to say, let these guys go, you have no idea.
[00:17:13.297 --> 00:17:13.397]  What
[00:17:30.809 --> 00:17:31.429]  We're good to go.
[00:17:52.131 --> 00:17:56.315]  Well, and of course, everybody has the right to film in public.
[00:17:56.776 --> 00:17:58.617]  It's not just the Washington Post.
[00:17:58.658 --> 00:18:10.149]  But when you arrest a Washington Post reporter, when you shove these guys into the drink machine because they won't turn off their iPhones, that has repercussions, doesn't it?
[00:18:10.970 --> 00:18:11.771]  Yeah, absolutely.
[00:18:11.971 --> 00:18:18.098]  And, you know, it could possibly be the reason why kind of these reports are changing by the hour.
[00:18:18.158 --> 00:18:25.326]  But the FBI initially was going to start taking over the control of the police operations there in Ferguson.
[00:18:25.666 --> 00:18:28.830]  Now they're saying highway police are going to be taking control over it.
[00:18:29.170 --> 00:18:31.872]  So obviously the governor of Missouri, he relieved St.
[00:18:31.892 --> 00:18:38.876]  Louis County law enforcement from policing these ongoing demonstrations, now putting the highway patrol in charge.
[00:18:39.676 --> 00:18:50.443]  Obviously it looks like a war zone there, so they're really kind of concerned about how the local police department there is actually handling this entire situation.
[00:18:50.683 --> 00:18:56.628]  I think we're going to see the FBI essentially taking over the investigation.
[00:18:57.309 --> 00:19:08.318]  And that's really what is behind all of this from the very beginning, is not only the brutality of the police to shoot someone down like that, which is what the eyewitnesses say.
[00:19:09.013 --> 00:19:24.689]  But when you've got a major conflict in stories between what a lot of eyewitnesses say, when the police immediately confiscate the cameras again of the eyewitnesses there, and when they essentially look like they're trying to cover this up as opposed to being transparent and out there,
[00:19:25.069 --> 00:19:32.192]  I think the FBI is going to investigate this, but the FBI doesn't have the manpower to police it, so I think they're going to put the highway police out there.
[00:19:32.492 --> 00:19:38.355]  It's a very different scene today, and we're going to see that as we go to our reporters who are live in Ferguson, Missouri.
[00:19:39.135 --> 00:19:41.597]  We saw looting and riot on Sunday.
[00:19:41.677 --> 00:19:45.638]  We saw them attacking peaceful protesters last night.
[00:19:47.139 --> 00:19:54.786]  Coming after them last night, it was a very intensive, very confrontational attitude, and we've got some law enforcement reactions to that.
[00:19:55.066 --> 00:20:00.311]  But I wanted to take a look at what the politicians are saying, because we've got some interesting reactions from politicians.
[00:20:00.671 --> 00:20:06.196]  We've got a Democrat congressman from Georgia, John Lewis, talking about what he thinks should happen.
[00:20:06.977 --> 00:20:10.859]  He starts out with the right thing, and he comes to an amazing conclusion here.
[00:20:11.239 --> 00:20:13.220]  He says people have the right to protest.
[00:20:13.260 --> 00:20:14.620]  He's talking on MSNBC.
[00:20:14.980 --> 00:20:23.084]  He says they have the right to dissent, they have the right to march in an orderly, peaceful, non-violent fashion, and the press has a right to cover it.
[00:20:23.524 --> 00:20:25.605]  Ferguson, Missouri is not Congo.
[00:20:26.005 --> 00:20:26.845]  It's not China.
[00:20:26.865 --> 00:20:27.726]  It's not Russia.
[00:20:27.806 --> 00:20:28.506]  We can do better.
[00:20:29.006 --> 00:20:30.487]  Now here's what he wants.
[00:20:31.167 --> 00:20:37.450]  President Obama should use the authority of his office to declare martial law, otherwise the National Guard will protect people as they protest.
[00:20:38.230 --> 00:20:38.950]  I don't think so.
[00:20:39.071 --> 00:20:48.615]  I mean, here he is, he's talking about how we don't want to have martial law, and he's talking about how this is not the Congo, this is not China, this is Russia, and then he wants Obama to act as if it's
[00:20:49.235 --> 00:20:52.116]  China, Russia and the Congo, which is martial law.
[00:20:52.476 --> 00:20:53.216]  It's what we have.
[00:20:53.276 --> 00:20:54.776]  Martial law is the problem.
[00:20:54.816 --> 00:20:55.496]  Can't you see that?
[00:20:55.896 --> 00:20:57.377]  And so then what does Obama do?
[00:20:57.437 --> 00:21:05.338]  Today he has a brief press conference and he essentially does a can't we all just get along kind of a Rodney King type of thing.
[00:21:05.378 --> 00:21:08.939]  He says, well, there's never an excuse for violence against the police.
[00:21:09.519 --> 00:21:10.239]  Wait a minute.
[00:21:10.319 --> 00:21:13.160]  Was there violence against the police last night?
[00:21:14.200 --> 00:21:14.361]  No.
[00:21:14.601 --> 00:21:16.643]  There wasn't any violence against the police.
[00:21:16.743 --> 00:21:20.888]  The police, as our reporters were pointing out, they were itching for a fight.
[00:21:20.928 --> 00:21:27.796]  As Joe Big said, he could see a guy standing there with a billy club, kind of twirling it with a smirk on his face.
[00:21:27.816 --> 00:21:28.797]  They were itching for
[00:21:28.797 --> 00:21:29.677]  We're good to go.
[00:21:54.048 --> 00:21:54.608]  That's fine.
[00:21:54.809 --> 00:21:58.090]  But, you know, that really talks around the problem.
[00:21:58.231 --> 00:22:07.596]  Because to say, you know, let's just all get along, we've got... What Obama is saying is, look, you guys on that side messed up a little bit, and you guys over here messed up a little bit.
[00:22:08.117 --> 00:22:09.758]  That's not really the issue.
[00:22:10.318 --> 00:22:11.799]  Rand Paul got to the issue.
[00:22:11.839 --> 00:22:15.361]  He said, we have to demilitarize the police.
[00:22:15.841 --> 00:22:18.063]  This is a story from Time Magazine today.
[00:22:18.343 --> 00:22:21.565]  He said, if I had been told to get out of the street as a teenager,
[00:22:22.045 --> 00:22:28.327]  There would have been a distinct possibility that I might have smarted off to the cop, but I wouldn't have expected to be shot.
[00:22:28.708 --> 00:22:31.789]  And that's what eyewitness accounts are saying happened there.
[00:22:32.309 --> 00:22:36.811]  And then he goes on to quote in this op-ed piece, Cato Institute's Walter Olson.
[00:22:36.831 --> 00:22:37.111]  He said,
[00:22:37.771 --> 00:22:41.093]  Why are armored vehicles in a Midwestern inner suburb?
[00:22:41.553 --> 00:22:47.817]  Why would cops wear camouflage gear against a terrain patterned by convenience stores and beauty parlors?
[00:22:47.837 --> 00:22:48.597]  Well, you know why they would.
[00:22:48.637 --> 00:22:50.198]  They want to intimidate people.
[00:22:50.458 --> 00:22:51.799]  They want to look like soldiers.
[00:22:52.199 --> 00:22:56.182]  And they look like soldiers, except for the small police patch there.
[00:22:56.682 --> 00:23:04.807]  He says, why would someone identifying himself as an 82nd Airborne Army veteran looking at the Ferguson police scene comment,
[00:23:05.307 --> 00:23:09.210]  We rolled lighter than that in an actual war zone.
[00:23:09.250 --> 00:23:13.133]  In other words, we weren't that heavily armored when we were fighting abroad.
[00:23:13.353 --> 00:23:14.954]  That's the amazing thing about this.
[00:23:15.355 --> 00:23:21.139]  And Rand Paul points out with a series of quotes and articles going back through the history as we have many, many times.
[00:23:21.439 --> 00:23:25.703]  He says there is a systemic problem with today's law enforcement.
[00:23:26.283 --> 00:23:29.704]  And that systemic problem is coming from the federal government.
[00:23:29.744 --> 00:23:31.065]  It's coming from Homeland Security.
[00:23:31.405 --> 00:23:34.966]  It's coming from the federal government, which is trying to change the rules of engagement.
[00:23:35.306 --> 00:23:40.908]  It has been working for a very long time to militarize our police, to give them a mindset that
[00:23:41.428 --> 00:23:59.960]  They are some kind of a paramilitary, or actually a military organization, that the people that they're there supposedly to protect are quote-unquote civilians, and now they're teaching them that those civilians are essentially counterinsurgency threats to them, wouldn't you say?
[00:24:00.000 --> 00:24:00.840]  How do you feel about that?
[00:24:00.860 --> 00:24:03.142]  What do you think about these political reactions, Liam?
[00:24:03.663 --> 00:24:09.026]  Well, I mean, I just think it's a little insane to say we need to declare martial law there.
[00:24:09.186 --> 00:24:10.987]  It appears as though it's already been declared.
[00:24:11.027 --> 00:24:12.108]  I mean, there's a curfew.
[00:24:12.128 --> 00:24:13.809]  It would be better if we declare it.
[00:24:13.829 --> 00:24:14.889]  Saying it without saying it.
[00:24:15.069 --> 00:24:16.990]  Right, yeah, to actually go out there and say it.
[00:24:17.431 --> 00:24:24.134]  But the Department of Homeland Security is the one that is responsible for arming these small town police departments.
[00:24:24.194 --> 00:24:24.675]  Obviously, St.
[00:24:24.715 --> 00:24:26.736]  Louis is a little bit bigger, but I mean, we see small town
[00:24:27.136 --> 00:24:37.183]  Indiana or here in Austin, like other small towns, are getting grants from the Department of Homeland Security for armored vehicles, guns, aircraft.
[00:24:37.644 --> 00:24:41.267]  Well, besides the billions of rounds of ammunition, Homeland Security has gotten, they've purchased 2,700 MRAPs.
[00:24:43.368 --> 00:24:48.153]  And we're being told that they're bringing 13,000 MRAPs to America.
[00:24:48.193 --> 00:24:52.136]  They've already put out 600 or so, many of them in very small communities.
[00:24:52.457 --> 00:24:56.841]  So this is something that they're planning on this getting much, much larger.
[00:24:56.901 --> 00:25:03.507]  Now, the reaction then is that this police chief is basically being told to stand down by the governor.
[00:25:03.547 --> 00:25:05.289]  They're putting the highway patrol in charge.
[00:25:05.669 --> 00:25:08.230]  Perhaps they're putting the FBI in charge of the investigation.
[00:25:08.631 --> 00:25:11.352]  And now we have a former police chief speaking out.
[00:25:11.412 --> 00:25:18.636]  This is an article today on Infowars.com saying that the Ferguson military gear was, quote, an act of provocation.
[00:25:18.676 --> 00:25:20.697]  Now this is a former Seattle police chief.
[00:25:21.138 --> 00:25:22.058]  He has been there.
[00:25:22.198 --> 00:25:22.939]  He's done that.
[00:25:23.099 --> 00:25:24.039]  He's made the mistake.
[00:25:24.119 --> 00:25:32.164]  He's admitted that he made the mistake because he said what happened in Seattle in 1999 was a police overreaction.
[00:25:32.204 --> 00:25:33.985]  That was when he was police chief there.
[00:25:34.525 --> 00:25:37.868]  And he said, it was the worst mistake of my career.
[00:25:38.369 --> 00:25:47.597]  We used chemical agents, which is a euphemism for tear gas, that's what they did last night in Ferguson, against non-violent and essentially non-threatening protesters.
[00:25:47.777 --> 00:25:50.119]  That's what they did last night in Ferguson.
[00:25:50.460 --> 00:25:55.464]  He said, if they're out there in military gear from the beginning, that's an act of provocation.
[00:25:56.005 --> 00:25:59.048]  We just simply need to use defusing techniques.
[00:25:59.608 --> 00:26:06.513]  He said that a heavy-handed response to the World Trade Organization riots in Seattle was what he was talking about back in 1999.
[00:26:06.853 --> 00:26:13.738]  He went on to say, and specifically point out, that one of the things that he was concerned about was the intimidation by attack dogs.
[00:26:13.778 --> 00:26:17.361]  And this is something I noticed, Leanne, when we were getting live feed from them.
[00:26:18.242 --> 00:26:22.905]  We saw these guys coming out, how heavily armed they were, and even coming out with the police dogs.
[00:26:22.925 --> 00:26:25.066]  And of course, they had heavy police dogs there last night.
[00:26:25.106 --> 00:26:28.189]  He said, there is a real place for dogs and police work.
