[00:00:00.049 --> 00:00:01.613]  The Alex Jones Show.
[00:03:37.466 --> 00:03:48.353]  And when you realize the CIA put Mao Zedong in, our own government helped fund and put Lenin in, funded Stalin, then it all comes into crystal stinking focus.
[00:03:49.354 --> 00:03:49.734]  Doesn't it?
[00:03:50.955 --> 00:04:05.023]  Why Google and Microsoft and Facebook and the owners of Twitter and General Electric and Miller Brewing and Walmart, all the usual suspects, all the Fortune 100.
[00:04:06.693 --> 00:04:18.738]  Lined up to an organization, to a man, funding taking our guns, funding breaking up our families, funding ending our borders, funding our Pentagon to create Al-Qaeda groups.
[00:04:21.519 --> 00:04:24.820]  Google the back, Hillary Clinton in 2016.
[00:04:28.201 --> 00:04:30.802]  Hillary Clinton, the Bush's daughter-in-law.
[00:04:32.583 --> 00:04:33.824]  Or the Bush Jr.
[00:04:33.864 --> 00:04:34.524]  sister-in-law.
[00:04:36.707 --> 00:04:46.473]  This ruling class of insiders that are anti-free market, scapegoating our precious cornucopia, our golden goose, and blaming it.
[00:04:48.314 --> 00:04:56.499]  We'll be back, ladies and gentlemen, as the war against the centralized crony capitalists accelerates into high gear.
[00:04:57.259 --> 00:04:59.621]  I don't want to be a slave and I don't want you to be one either.
[00:05:00.682 --> 00:05:03.303]  And I think that you believe like I believe and want to be free.
[00:05:03.683 --> 00:05:05.925]  So let's come together and come in for the big win.
[00:05:08.584 --> 00:05:12.085]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:12.226 --> 00:05:16.207]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:16.507 --> 00:05:17.968]  Can you put two and two together?
[00:05:18.288 --> 00:05:25.871]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:26.151 --> 00:05:26.992]  But for how long?
[00:05:27.292 --> 00:05:33.555]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:33.935 --> 00:05:36.736]  Infidel Body Armor just won't quit.
[00:05:38.399 --> 00:05:42.262]  The average person's life is filled with unexpected challenges.
[00:05:43.022 --> 00:05:49.287]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:05:49.387 --> 00:05:58.433]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:05:58.793 --> 00:06:03.617]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[00:06:09.512 --> 00:06:10.572]  In the near future.
[00:06:10.852 --> 00:06:14.494]  When you realize how fake it all is, the football, the basketball.
[00:06:14.514 --> 00:06:15.014]  Security alert.
[00:06:15.354 --> 00:06:16.414]  Security alert.
[00:06:16.574 --> 00:06:18.315]  This is Homeland Security.
[00:06:18.575 --> 00:06:22.136]  Analysis, info wars, building, independent media operations.
[00:06:22.156 --> 00:06:24.877]  You let the worst people get controlled and tell us that we
[00:06:25.077 --> 00:06:27.119]  We are the ones responsible.
[00:06:27.159 --> 00:06:29.601]  Crime directive discredit Alex Jones.
[00:06:29.741 --> 00:06:32.524]  Jones is the wildly popular conspiracy theorist.
[00:06:32.584 --> 00:06:35.667]  A popular conspiracy theory talk show called InfoWars.
[00:06:35.847 --> 00:06:38.049]  Alex Jones is now in an Austin jail.
[00:06:38.149 --> 00:06:39.671]  These people are assaulting us.
[00:06:39.691 --> 00:06:41.993]  Targeting of patriots engaged.
[00:06:42.473 --> 00:06:44.175]  They're never going to stop.
[00:06:44.435 --> 00:06:48.099]  They're never going to deviate from their program until we stop them.
[00:06:48.119 --> 00:06:54.725]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:06:55.426 --> 00:07:00.150]  Intellectually, it's begun and you can feel it.
[00:07:08.328 --> 00:07:17.852]  Using unparalleled research and the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here.
[00:07:17.992 --> 00:07:27.737]  With key ingredients backed by real clinical studies, the new Oxy Powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[00:07:27.917 --> 00:07:30.838]  Many herbal colon cleansers are harsh on the body,
[00:07:31.058 --> 00:07:31.659]  I think so.
[00:07:47.938 --> 00:07:53.383]  Instead, Oxy-Powder slowly releases monoatomic oxygen into the intestinal tract and body.
[00:07:53.623 --> 00:07:58.848]  Experience the astonishing cleansing power of superoxide and ozonide technology.
[00:07:58.968 --> 00:08:04.914]  Go to InfoWarsLife.com or InfoWarsStore.com to get started with Oxy-Powder or call 1-888-253-3139.
[00:08:22.143 --> 00:08:24.265]  Waging war on corruption.
[00:08:24.725 --> 00:08:29.608]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:08:29.668 --> 00:08:32.651]  London Dungeon by the misfits.
[00:08:52.330 --> 00:08:52.990]  Bringing us in.
[00:08:56.451 --> 00:09:01.193]  The reason we're playing this is Prince William meets with King Obama.
[00:09:02.634 --> 00:09:04.254]  Twitter responds accordingly.
[00:09:04.834 --> 00:09:08.256]  What is it like to be able to do things unilaterally without a legislature?
[00:09:08.916 --> 00:09:09.996]  That's the question.
[00:09:10.937 --> 00:09:12.977]  Prince William and Kate begin U.S.
[00:09:13.037 --> 00:09:16.839]  visit with a royal, royal treatment.
[00:09:17.499 --> 00:09:19.980]  Oh my goodness, the royalty are there.
[00:09:20.920 --> 00:09:27.423]  Billionaires paid for by taxpayers as pensioners basically have their gas allotments cut off.
[00:09:27.984 --> 00:09:29.184]  Oh, how liberal!
[00:09:29.625 --> 00:09:32.806]  Prince William, Duchess Kate kick off U.S.
[00:09:32.866 --> 00:09:39.129]  trip with visit to White House and New York City Child Development Center.
[00:09:39.750 --> 00:09:47.474]  Why don't they bring Jimmy Savelle over with them and some of the bodies they've been digging up on the royal grounds of small children?
[00:09:48.655 --> 00:09:51.519]  Continuing, Kate visits New York City kids.
[00:09:51.920 --> 00:09:53.542]  She cares about the children.
[00:09:53.863 --> 00:09:56.206]  And Prince William joins Obama!
[00:09:57.048 --> 00:09:59.992]  You go out there, dear, and care about the children and the nursery.
[00:10:00.273 --> 00:10:02.617]  Oh, we have a fine cigar!
[00:10:05.563 --> 00:10:10.065]  And of course, LeBron honored to play before the Royals.
[00:10:10.705 --> 00:10:18.648]  I'll tell you what else, LeBron James, or also known as King James, tattooed on his shoulders.
[00:10:19.128 --> 00:10:20.649]  No narcissism there.
[00:10:20.669 --> 00:10:27.572]  A literal god, much like Kate and the princeling, King James.
[00:10:28.991 --> 00:10:40.311]  LeBron James leads the way in I Can't Breathe t-shirts as hundreds of anti-police protests mob NBA game attended by William and Kate!
[00:10:41.906 --> 00:10:59.009]  They must go to the Bread and Circus to give extra support to that to get the rabble watching the distraction while they laughingly run the eugenics program for Grandpa Prince Philip, LeBron James, and other NBA players.
[00:11:00.069 --> 00:11:01.730]  Don, I can't breathe shirts.
[00:11:02.150 --> 00:11:03.550]  You know, I have mixed feelings about this.
[00:11:03.850 --> 00:11:05.470]  A, it's their First Amendment, so I support it.
[00:11:06.710 --> 00:11:08.731]  And we'll fight to the death to defend it.
[00:11:09.171 --> 00:11:09.391]  And B,
[00:11:11.267 --> 00:11:35.965]  uh... the killing of eric garner looks like manslaughter to me and if they're going to have a poster child against police brutality and murder that he would be a lot better or a kelly uh... who's the guys uh... yeah kelly thomas out in california begs for daddy for fifteen minutes all that kelly they would be a lot better examples to pin your movement on
[00:11:37.054 --> 00:11:39.235]  than Michael Brown.
[00:11:39.516 --> 00:11:52.483]  They've released the federal autopsy, signs of a scuffle, just as they have the medical report on the officer, and signs that, well, we're going to get into that whole report.
[00:11:52.883 --> 00:11:56.966]  Michael Brown's shooting federal autopsy shows evidence of scuffle in Brown's death.
[00:11:57.366 --> 00:11:58.747]  Close range shot.
[00:12:00.256 --> 00:12:03.539]  Showing that the officer was shooting him as he ran towards him.
[00:12:04.159 --> 00:12:07.182]  I'm sorry folks, it looks like the cop told the truth.
[00:12:08.242 --> 00:12:13.947]  So, I wouldn't make it the poster child to try to reform the police, be Michael Brown.
[00:12:14.187 --> 00:12:23.695]  I wouldn't make it be cases where they shoot some innocent person in the back, or where they taser an old lady to death, or where they choke poor father of six Eric Garner to death.
[00:12:23.995 --> 00:12:25.897]  And you know who they kept arresting Garner for?
[00:12:27.818 --> 00:12:29.780]  Selling things on the street.
[00:12:31.289 --> 00:12:32.809]  Swap meets without a license.
[00:12:32.849 --> 00:12:34.450]  Selling cigarettes without a license.
[00:12:35.470 --> 00:12:38.251]  The guy would just go out an entrepreneur in the neighborhood.
[00:12:39.051 --> 00:12:40.171]  And so they just kept arresting him.
[00:12:40.191 --> 00:12:41.011]  That's what you can hear him say.
[00:12:41.251 --> 00:12:42.431]  Man, I'm sick of being arrested.
[00:12:42.491 --> 00:12:43.132]  Hold on a minute.
[00:12:43.532 --> 00:12:43.872]  Boom!
[00:12:44.292 --> 00:12:45.032]  Grab his hands.
[00:12:46.932 --> 00:12:47.933]  Put him in a choke hold.
[00:12:49.293 --> 00:12:54.194]  Tell him to put his hand behind his back when he's in a wrestler hold and can't do it.
[00:12:54.534 --> 00:12:55.734]  And then promptly kill him.
[00:12:56.675 --> 00:12:58.275]  And the cop that did it got off.
[00:13:03.703 --> 00:13:18.490]  Now, there is injustice in this country, there's injustice anywhere, and the globalists are trying to ride this to a political distraction away from the power grabs, away from the unemployment doubling in the black community, away from the fact that Obamacare is a giant screwjob.
[00:13:18.790 --> 00:13:20.691]  They want to get Gruber out of the headlines.
[00:13:21.011 --> 00:13:22.972]  They want to get Fast and Furious out of the headlines.
[00:13:23.232 --> 00:13:25.713]  They want to get Obama ruling by executive power out of the headlines.
[00:13:25.953 --> 00:13:49.302]  They want to get open border, executive amnesty, end of America, North American Union treason out of the headlines and how they do that is getting the NFL and the NBA and late night TV shows and Democrats and Hollywood all endlessly hyping as if the only thing in the world
[00:13:51.044 --> 00:13:55.185]  Is some of the cases of bad cops doing the wrong thing and killing people.
[00:13:55.705 --> 00:13:57.145]  Bully cops beating people up.
[00:13:57.506 --> 00:13:59.586]  Bully cops choking asthmatic teenagers.
[00:14:00.546 --> 00:14:04.327]  But I'm telling you folks, they're doing that because one man's death is a tragedy.
[00:14:04.347 --> 00:14:07.068]  10,000 is a statistic as Joe Stalin said.
[00:14:07.448 --> 00:14:15.530]  They want to distract us with the soap opera that will never reform anything and is a political football of police brutality.
[00:14:16.735 --> 00:14:19.638]  Because they know there's a giant anti-government sentiment out there.
[00:14:19.939 --> 00:14:22.001]  They want to scapegoat it at the enforcers.
[00:14:22.482 --> 00:14:31.592]  So the enforcers will then go into full gang mentality, accept the federalization and militarization, and come out against the American people.
[00:14:32.486 --> 00:14:35.608]  So they want to harden the police against the American people.
[00:14:35.648 --> 00:14:38.830]  That is the criminal political class that's raping us from every angle.
[00:14:39.070 --> 00:14:41.011]  It's a very simple equation.
[00:14:41.031 --> 00:14:47.735]  In fact, I should break it down on a chalkboard into some type of mathematical equation with a graphic to explain this to people.
[00:14:48.095 --> 00:14:51.838]  Because it's very elementary, but sometimes it's good to have visual cues.
[00:14:53.319 --> 00:15:11.847]  Speaking of visual cues, radio listeners can always go to PrisonPlanet.tv and subscribe and see the nightly news, the live feed of the radio show, all of my films, a bunch of e-books, other documentaries, 15, 16 years of material or more, up on PrisonPlanet.tv and support the very tip of the spear in the info war.
[00:15:12.347 --> 00:15:20.791]  But separately, if you can't afford $5.95 a month for 20 memberships, 20 people can use the same username passcode, spread the word,
[00:15:21.451 --> 00:15:38.502]  You can find the free feed for the Daily Radio Show with the five-camera shoot, the document cams, the in-studio guests, the Skype guests, and everything at InfoWars.com on the navigation bar under Listen or under Show, the Alex Jones Show.
[00:15:39.043 --> 00:15:43.566]  And you go there and you can find the TV show, the radio show, the free audio feeds, video feeds.
[00:15:44.006 --> 00:15:50.711]  You can find the free podcast, the free iPhone apps, everything right there under the Alex Jones Radio Show.
[00:15:51.671 --> 00:15:55.334]  Infowars.com and PrisonPlanet.com.
[00:15:57.235 --> 00:16:01.338]  Now, I've basically kind of gotten into the royalties.
[00:16:01.518 --> 00:16:03.019]  The royalties!
[00:16:03.500 --> 00:16:10.865]  And then we're going to look at Zuckerberg lauds or praises socialism with China's internet censorship czar.
[00:16:11.165 --> 00:16:15.729]  Facebook CEO visit called hypocritical and absurd.
[00:16:17.978 --> 00:16:19.478]  But look, he's a man of the people.
[00:16:19.498 --> 00:16:25.840]  Look, he's wearing a kind of a Winston Smith blue jacket of the proletariat.
[00:16:26.460 --> 00:16:33.222]  A true man of the people with the ultra-corrupt Communist Liberation Party that executes people.
[00:16:33.262 --> 00:16:37.343]  They catch doing things on the internet the state doesn't like with mobile execution vans.
[00:16:37.703 --> 00:16:44.865]  And Zuckerberg is praising them because his dumb-effer users, as he calls them,
[00:16:46.161 --> 00:16:46.902]  I guess I won't get upset.
[00:16:46.962 --> 00:16:49.164]  Actually, people are exiting away from Facebook.
[00:16:49.204 --> 00:16:49.665]  We use it.
[00:16:50.025 --> 00:16:52.507]  We have about 3 million likes on our different channels.
[00:16:52.527 --> 00:16:53.609]  We've got one with about a million.
[00:16:54.129 --> 00:16:55.711]  And it was set up by fans and given to us.
[00:16:56.712 --> 00:16:57.412]  And we use it.
[00:16:57.713 --> 00:17:02.417]  People ask, well, why do you use something that's so corrupt and so manipulative and spies on people for the government?
[00:17:03.058 --> 00:17:04.099]  Because that's where the people are.
[00:17:04.119 --> 00:17:16.426]  It's like asking, why have you invaded Germany in World War II and does that mean you support Hitler because you're in Germany at the Battle of the Bulge in a Sherman tank fighting panzers?
[00:17:17.847 --> 00:17:18.988]  That's how nonsensical it is.
[00:17:19.388 --> 00:17:20.649]  I'm in the battle space.
[00:17:21.049 --> 00:17:25.092]  YouTube, Facebook, all these other platforms.
[00:17:26.337 --> 00:17:26.917]  Instagram.
[00:17:27.318 --> 00:17:32.681]  You need to be in them, not infighting and debating who the best patriot is.
[00:17:32.941 --> 00:17:36.643]  That's the official White House cognitive infiltration plan to make us chase our tails.
[00:17:36.964 --> 00:17:45.149]  But waking people up, creating memes, creating audio clips, capturing video clips, putting out articles, putting out blurbs, commenting.
[00:17:45.709 --> 00:17:47.510]  That's the real video game.
[00:17:47.790 --> 00:17:51.873]  The real call of duty for the Republic is a cyber war.
[00:17:53.305 --> 00:18:07.501]  With Google and Facebook and others working with the globalists to try to misdirect and control, engage the internet, and learn how to control the population and steer political angst into socialist movements that will only make us more enslaved.
[00:18:08.142 --> 00:18:10.225]  We need to culture jam.
[00:18:11.106 --> 00:18:12.447]  You see a live news feed?
[00:18:13.288 --> 00:18:16.891]  Going with local news, national news, C-SPAN, I don't care what it is.
[00:18:17.211 --> 00:18:21.094]  Jump on television, take it over with key messages of liberty.
[00:18:21.294 --> 00:18:22.495]  The Federal Reserve's private!
[00:18:22.515 --> 00:18:24.237]  9-11's an inside job!
[00:18:25.357 --> 00:18:27.479]  Or, there's cancer viruses in the vaccine!
[00:18:27.679 --> 00:18:29.120]  It's social control, eugenics!
[00:18:29.521 --> 00:18:34.024]  Or, InfoWars.com to learn what they don't want you to know about the New World Order agenda.
[00:18:34.164 --> 00:18:37.267]  Or, the amnesty plan is the end of America!
[00:18:37.587 --> 00:18:39.809]  NAU, NAU, bipartisan treason!
[00:18:40.049 --> 00:18:40.809]  InfoWars.com!
[00:18:43.018 --> 00:18:46.881]  I've done this myself, many times, and it becomes international news stories.
[00:18:48.082 --> 00:18:50.904]  You see a local news feed, think about where they're going to be doing local news feeds.
[00:18:51.184 --> 00:18:53.246]  Think about where they do local feeds you see every day.
[00:18:54.505 --> 00:19:23.439]  And the day that executives and principals and police officers off-duty and school teachers and lawyers decide they don't want to just be servile spectators for the rest of their lives, and the day you go down and take over a local TV show for 30 seconds, the day you crash city council meetings where your three-minute communication will go out over cable and end up being on the news, the day you call in to talk radio, the day you call in to C-SPAN, the day you go to the meet-and-greet with the senator,
[00:19:24.019 --> 00:19:30.021]  Or the meet-and-greet with the congressman or woman, and you get them by the hand and you say, I'm sick of you selling us out to world government.
[00:19:30.521 --> 00:19:32.702]  The label conspiracy theorist doesn't work anymore.
[00:19:33.202 --> 00:19:34.242]  Be part of humanity.
[00:19:34.422 --> 00:19:42.685]  The day that buzz gets big enough, most of those people are blackmailed in Congress and love their grandkids and actually don't want this to happen.
[00:19:43.825 --> 00:19:48.026]  Most big Hollywood directors are kept on short leashes and listen to this show and know the truth.
[00:19:48.766 --> 00:19:49.127]  Most.
[00:19:50.107 --> 00:19:51.287]  Most people in the system.
[00:19:51.867 --> 00:19:53.328]  Why do you think this show is so popular?
[00:19:54.423 --> 00:20:02.097]  Across famous writers, lecture, you know, from Kurt Vonnegut to... Conor S. Thompson was a listener.
[00:20:02.658 --> 00:20:04.582]  Because we're hardcore, folks.
[00:20:04.702 --> 00:20:05.704]  We know what's going on.
[00:20:05.864 --> 00:20:06.626]  People want freedom.
[00:20:08.206 --> 00:20:13.167]  This hour brought to you by katiarmor.com, your most affordable option for body armor.
[00:20:13.447 --> 00:20:14.267]  Packages starting at $195.
[00:20:15.347 --> 00:20:18.008]  Go now to katiarmor.com and get yours.
[00:20:18.288 --> 00:20:20.668]  That's k-a-t-i-armor.com.
[00:20:21.008 --> 00:20:22.168]  Come and take it.
[00:20:23.109 --> 00:20:24.969]  Hi, Ted Anderson with Midas Resources.
[00:20:25.209 --> 00:20:29.750]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[00:20:29.910 --> 00:20:31.490]  Get our 10 Reasons book free.
[00:20:31.670 --> 00:20:31.970]  Call 800-686-2237.
[00:20:31.990 --> 00:20:32.170]  That's 800-686-2237.
[00:20:37.751 --> 00:20:40.371]  Managing your business and customers isn't easy, huh?
[00:20:40.632 --> 00:20:44.432]  SnapForce Customer Relationship Software may be just what you need.
[00:20:44.672 --> 00:20:52.414]  SnapForce CRM is a software solution that helps you manage everything important about your customers, from sales to marketing to service and support.
[00:20:52.574 --> 00:20:56.334]  All of your customer information is right there at your fingertips for easy access.
[00:20:56.514 --> 00:20:59.275]  It's time to take control of your business in a snap.
[00:20:59.335 --> 00:21:01.775]  Get your free trial at SnapForce.com.
[00:21:01.875 --> 00:21:04.956]  That's S-N-A-P-F-O-R-C-E dot com.
[00:21:05.236 --> 00:21:06.796]  SnapForce dot com.
[00:21:07.276 --> 00:21:10.943]  We all have our own idea about what being safe and secure means.
[00:21:11.264 --> 00:21:16.514]  The doors lock, bills are paid, you've got a job that keeps the lights on, and a home to call your own.
[00:21:16.775 --> 00:21:19.179]  But what happens when Mother Nature throws a curveball?
[00:21:21.974 --> 00:21:25.898]  Are you prepared to live without electricity or passable roads for weeks at a time?
[00:21:26.258 --> 00:21:27.760]  Do you even have a plan B?
[00:21:28.361 --> 00:21:31.364]  If you do, are you willing to bet your life on it?
[00:21:31.664 --> 00:21:32.885]  Children left with no homes.
[00:21:32.905 --> 00:21:34.226]  And no one's coming to help them.
[00:21:34.727 --> 00:21:37.570]  The first step towards self-reliance in the face of disaster.
[00:21:37.790 --> 00:21:38.370]  We're good to go.
[00:22:07.202 --> 00:22:09.023]  The human body is extraordinary.
[00:22:09.323 --> 00:22:13.304]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[00:22:13.524 --> 00:22:18.505]  Thousands upon thousands of people rely upon hardened body extract to help their body stay balanced.
[00:22:18.825 --> 00:22:28.028]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[00:22:28.508 --> 00:22:36.009]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[00:22:36.269 --> 00:22:42.090]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[00:22:42.350 --> 00:22:45.211]  It's extremely effective and it starts working in just days.
[00:22:45.691 --> 00:22:50.952]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[00:22:51.232 --> 00:22:53.612]  And we've never increased our price in over 10 years.
[00:22:53.972 --> 00:22:56.833]  That makes heart and body extract as great a value now
[00:22:57.133 --> 00:23:00.517]  As it was the first day we sold it, a healthy heart is a happy heart.
[00:23:00.758 --> 00:23:01.939]  Call 866-295-5305 or go to HBextract.com.
[00:23:06.485 --> 00:23:08.326]  Mom, I can't do my math homework.
[00:23:08.526 --> 00:23:09.587]  I just don't get it.
[00:23:09.947 --> 00:23:10.847]  I hate math.
[00:23:11.428 --> 00:23:15.550]  I've always tried to be a good mother, but when it came to Jamie's math, I was at a loss.
[00:23:15.810 --> 00:23:18.452]  Then a friend told me about Math Made Easy DVDs.
[00:23:18.652 --> 00:23:21.853]  Concepts are simplified in an easy way to follow and review.
[00:23:22.093 --> 00:23:25.095]  And students can learn at their own pace in the convenience of home.
[00:23:25.355 --> 00:23:26.716]  Listen in the frustration.
[00:23:26.896 --> 00:23:27.897]  Call Math Made Easy.
[00:23:28.097 --> 00:23:28.537]  Call now.
[00:23:28.557 --> 00:23:28.957]  1-800-USA-MATH.
[00:23:28.977 --> 00:23:29.277]  That's 1-800-872-6284.
[00:23:29.297 --> 00:23:30.898]  Or visit us at mathmadeeasy.com.
[00:23:36.400 --> 00:23:40.502]  Are you happy doing your laundry with perfume detergents that irritate your skin?
[00:23:40.742 --> 00:23:45.165]  Are you happy washing your hands with stinking fragrances that gives your skin rashes?
[00:23:45.485 --> 00:23:48.886]  Are you happy paying new higher prices for smaller boxes?
[00:23:49.567 --> 00:24:00.793]  Find your happiness today with our 1 to 4 year supply of Pure Soaps or our 1 to 2 month sampler with Bar Soap, Shampoo, Laundry and Dish Soap at 5starsoap.com.
[00:24:01.433 --> 00:24:02.473]  You deserve the best.
[00:24:02.954 --> 00:24:05.295]  Happiness is 5starsoap.com.
[00:24:10.893 --> 00:24:24.296]  Monday through Friday from 11 a.m.
[00:24:24.476 --> 00:24:25.436]  to 2 p.m.
[00:24:25.476 --> 00:24:26.576]  Central, we're here live.
[00:24:26.596 --> 00:24:27.817]  I'm your host, Alex Jones.
[00:24:30.137 --> 00:24:32.478]  The testimony is still ongoing this morning.
[00:24:32.518 --> 00:24:37.299]  We're going to play some of the clips that are coming in as we speak in the next segment.
[00:24:38.662 --> 00:24:54.209]  of Jonathan Gruber, one of the main architects of the scam of how to phase in Obamacare to keep the constituents from knowing that it's really a monumental screw job, a private tax to offshore banks that own the major insurance companies.
[00:24:54.589 --> 00:24:56.149]  That's coming up in the next segment.
[00:24:58.170 --> 00:25:01.992]  We're also going to look at an amazing article
[00:25:06.505 --> 00:25:29.106]  Where the federal government has been caught, we talked about this a long time ago, we knew that it was being organized and focused outside of law, but now the House panel investigation led by Representative Daryl Issa, Republican of California, and Representative Jim Jordan of Ohio, cites confidential briefing documents, and we have copies of those, that show senior Justice Department officials
[00:25:29.947 --> 00:25:45.332]  Informing Attorney General Eric Holder that a consequence of Operation Choke Points, banks are exiting lines of business deemed high risk by regulators, and that outside of law, it's meant to shut down gun shops, gun dealers, you name it.
[00:25:46.633 --> 00:25:56.016]  It targets, quote, legal businesses, this is outside of law, such as short-term lenders, and even if you disagree with short-term lenders like I do, change the laws, don't target them.
[00:25:57.006 --> 00:26:03.496]  Firearms and ammunition merchants, coin dealers, tobacco sellers, and home-based charities.
[00:26:05.939 --> 00:26:08.603]  And see, they do that to make it sound like they're moral, breaking the law.
[00:26:09.406 --> 00:26:11.287]  But it is illegal to have the feds doing that.
[00:26:11.707 --> 00:26:24.934]  Critics of the program argue that equating legal industries such as ammunition and lottery sales with explicitly legal or offensive activities such as pornography and racist materials transforms the FDIC into the moral police.
[00:26:25.334 --> 00:26:26.115]  There's a better word.
[00:26:26.775 --> 00:26:28.616]  It's called the thought police.
[00:26:29.737 --> 00:26:34.279]  And there's copies of the emails in the article that's up on InfoWars.com.
[00:26:37.261 --> 00:26:44.745]  And then we have an actual link to the House of Representatives Committee on Oversight and Government Reform, Daryl Issa.
[00:26:45.746 --> 00:26:50.889]  And it's got all the documents in the report for you to read them for yourself.
[00:26:52.330 --> 00:27:01.195]  And we know they're doing this with not just the gun industry or the self-defense industry, the independence industry.
[00:27:01.775 --> 00:27:03.116]  They're doing it to the Tea Party.
[00:27:03.736 --> 00:27:04.937]  They're doing it to pro-lifers.
[00:27:04.957 --> 00:27:06.138]  They're doing it to evangelicals.
