[00:00:11.237 --> 00:00:12.438]  There's a new book that's come out.
[00:03:38.380 --> 00:03:45.445]  But of course, instead of giving him a larger habitat, which they couldn't do, they put him on Prozac to try to control his behavior.
[00:03:45.825 --> 00:03:53.314]  Now, some of the zookeepers who were using psychopharmaceuticals on these animals were curious if other zoos were doing the same thing.
[00:03:53.655 --> 00:03:56.378]  Half of the 31 institutions throughout the U.S.
[00:03:56.518 --> 00:04:02.546]  and Canada that responded to their survey had used psychopharmaceuticals on their gorillas.
[00:04:02.886 --> 00:04:04.649]  But here's the interesting thing about it.
[00:04:05.643 --> 00:04:08.565]  They said, no one is going to admit it.
[00:04:09.365 --> 00:04:18.350]  Why are they ashamed of the fact that they're using psycho-pharmaceuticals on animals in the zoo, and they're not ashamed of using it on humans?
[00:04:18.450 --> 00:04:20.491]  And of course, that's the real question.
[00:04:20.951 --> 00:04:27.655]  The new reboot of the Planet of the Apes series has big pharma experiments going out of control with devastating consequences for humans.
[00:04:27.735 --> 00:04:34.719]  But the reality is that big pharma has been out of control for a long time, and with devastating consequences.
[00:04:35.299 --> 00:04:44.483]  These drugs are now being prescribed even for animals in the zoo are being used so prolifically on humans that they're showing up in our water supply as well.
[00:04:45.104 --> 00:04:52.367]  And of course, one of those consequences for society is the connection between psychopharmaceuticals and mass shootings.
[00:04:53.107 --> 00:04:59.050]  If the primates in the zoo are on Prozac, Zoloft, etc., just make sure you don't give them the guns.
[00:04:59.731 --> 00:05:02.612]  We know what those drugs motivate people to do.
[00:05:11.394 --> 00:05:15.715]  You've experienced and heard about the benefits of Super Male Vitality.
[00:05:16.215 --> 00:05:18.716]  Now, the new formula has arrived.
[00:05:19.076 --> 00:05:22.957]  Introducing the new Super Female Vitality.
[00:05:23.238 --> 00:05:30.820]  I have specifically designed this formula to help the body naturally regulate itself without the use of artificial hormones.
[00:05:31.260 --> 00:05:34.581]  Key ingredients chosen from the highest quality sources.
[00:05:34.921 --> 00:05:40.963]  Secure your Super Female Vitality today from our limited stock at InfoWarsLife.com.
