[00:00:01.510 --> 00:00:02.671]  Coast to coast.
[00:07:20.373 --> 00:07:30.799]  The new Survival Shield X2 is mined from 7 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:07:31.200 --> 00:07:40.426]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:07:41.146 --> 00:07:44.587]  It's the strongest nascent iodine on the market today.
[00:07:45.227 --> 00:07:48.648]  It delivers 650 micrograms per drop.
[00:07:48.988 --> 00:07:50.549]  Experience the new formula.
[00:07:51.049 --> 00:07:53.010]  Experience the ancient purity.
[00:07:53.610 --> 00:07:54.550]  Shield your family.
[00:07:54.950 --> 00:07:56.331]  Survival Shield X2.
[00:07:56.771 --> 00:07:59.352]  Available now at InfoWarsLife.com.
[00:07:59.932 --> 00:08:03.893]  X2 from InfoWarsLife.com or call toll free 888-253-3139.
[00:08:19.537 --> 00:08:21.718]  Waging war on corruption.
[00:08:22.179 --> 00:08:23.940]  It's Alex Jones.
[00:08:32.202 --> 00:08:44.685]  So much of what we see on the news concerning the CIA, the FBI, the NSA, MI6, different intelligence agencies, doesn't even have to do with the public.
[00:08:45.506 --> 00:08:49.347]  It is different agencies that are basically fighting with each other.
[00:08:50.907 --> 00:08:54.788]  So many times, it turns out that that's really what's going on.
[00:08:56.269 --> 00:09:00.250]  And earlier last week, we had the Washington Times break the story
[00:09:01.360 --> 00:09:03.061]  That was then picked up by the other media.
[00:09:03.502 --> 00:09:16.312]  Obama insists on protecting incel sources days after blowing CIA agents cover the head agent in Kabul, in Afghanistan.
[00:09:16.332 --> 00:09:29.083]  Three days after the White House inadvertently blew the cover, yeah right, of the CIA's top officer in Kabul, President Obama on Wednesday said his administration is committed to effective intelligence gathering and protecting sources and methods abroad.
[00:09:30.836 --> 00:09:35.821]  And again, not that this story in and of itself is that important, unless you use it to learn how things really work.
[00:09:37.263 --> 00:09:53.159]  At a first approximation of this, looking at it this weekend, the Beau Bergdahl army story, who's been in captivity for almost five years supposedly, looks like an infiltration operation where you purposefully claim you've defected to the Taliban.
[00:09:55.033 --> 00:09:59.016]  And then they don't trust you, they grab you, and then you're a quasi-prisoner.
[00:09:59.917 --> 00:10:04.240]  And then you act like you've got Stockholm Syndrome, and then you basically join them.
[00:10:05.359 --> 00:10:08.081]  And then you have the dad with his Twitter, reportedly.
[00:10:08.542 --> 00:10:09.562]  It looks like it's his real Twitter.
[00:10:09.602 --> 00:10:18.849]  It's not verified, but it's been operating for years, saying, you know, people will pay for the death of Afghan children and growing a big beard and all the rest of it.
[00:10:19.670 --> 00:10:20.911]  The whole thing stinks to high heaven.
[00:10:20.931 --> 00:10:25.615]  The fact that Obama has him and his wife out there, they wouldn't trot some soldier's dad and mom out.
[00:10:26.235 --> 00:10:28.418]  Unless they absolutely knew who they were and trusted them.
[00:10:28.799 --> 00:10:35.488]  This is the same Obama ran the whole fake Bin Laden death deal that's been proven to be a fraud, hands down, up one side and down the other.
[00:10:35.829 --> 00:10:38.352]  We should probably on the nightly news tonight and then I'll air it tomorrow.
[00:10:39.480 --> 00:10:45.223]  Recap the lies of the Bin Laden raid with the fact that they court-martialed a record number of people on the aircraft carrier.
[00:10:45.463 --> 00:10:46.443]  They said they never saw it.
[00:10:46.703 --> 00:10:58.689]  The Navy SEALs, the families who've been on the show, two different families, saying, no, we know the name of the Bin Laden double lookalike who was killed at the compound, a CIA asset they set up.
[00:10:59.049 --> 00:11:03.291]  Turned out the CIA was running in that whole area, the fake inoculation program.
[00:11:03.511 --> 00:11:04.252]  That was their cover.
[00:11:05.092 --> 00:11:07.293]  Again, ladies and gentlemen, this is ridiculous.
[00:11:07.313 --> 00:11:08.454]  You send Navy SEALs in.
[00:11:10.080 --> 00:11:13.642]  You literally kill your own double asset bin Laden look-alike.
[00:11:14.262 --> 00:11:17.143]  And then you blow up their helicopter on the ground trying to get rid of them.
[00:11:17.463 --> 00:11:18.604]  The experimental helicopter.
[00:11:18.884 --> 00:11:21.765]  Then you bury the fake body on the ship, but there is no body.
[00:11:22.025 --> 00:11:22.765]  No one sees it.
[00:11:22.966 --> 00:11:25.667]  You put fake photos out claiming their Pentagon leaked.
[00:11:26.547 --> 00:11:27.888]  Fake Situation Room photos.
[00:11:28.188 --> 00:11:29.708]  Fake video feeds that weren't real.
[00:11:31.649 --> 00:11:32.610]  Dr. Steve Pachinik
[00:11:33.664 --> 00:11:35.767]  Who is about the most high-level spy we've ever had on.
[00:11:35.807 --> 00:11:37.890]  I mean he co-wrote the books with Tom Clancy.
[00:11:39.513 --> 00:11:45.602]  He obviously ran the Camp David Accords, helped found Delta Force with General Boykin.
[00:11:48.226 --> 00:11:57.131]  He has run all sorts of clandestine operations, snuck into North Korea last year for us, because he knows the North Koreans, basically got in and then admitted he was there.
[00:11:59.032 --> 00:12:07.176]  He said that was totally staged on my show in 2002, before it came out on CBS News, that bin Laden had been treated at a U.S.
[00:12:07.196 --> 00:12:08.617]  military hospital in Dubai.
[00:12:09.758 --> 00:12:11.098]  He said that before it was in the news.
[00:12:11.539 --> 00:12:17.422]  And after he broke that on our show, also a member of the Council on Foreign Relations, high level at the time, until he resigned,
[00:12:18.835 --> 00:12:24.126]  He then came out and basically predicted even more.
[00:12:25.351 --> 00:12:31.374]  And he said this was staged then, that his body was on ice, that they would stage his death later.
[00:12:31.914 --> 00:12:33.375]  Maybe even in a new administration.
[00:12:33.635 --> 00:12:35.316]  And then it all came true, like he said.
[00:12:36.576 --> 00:12:42.639]  So that said, until about 45 after, we're joined by Staff Sergeant Joe Biggs, a combat veteran, of course.
[00:12:43.179 --> 00:12:51.543]  Been written about in Esquire magazine for some of the big battles he was in that were covered by the late Michael Hastings, who I believe was probably a
[00:12:53.917 --> 00:13:06.380]  agency asset we don't know which agency but he had the whole cut out of that inside interagency battles probably killed with a car bomb to cover that up told friends and family he was running for his life minutes before his car blew up
[00:13:07.904 --> 00:13:10.046]  And the FBI was investigating and said they weren't.
[00:13:10.166 --> 00:13:18.755]  So again, Michael Hastings, friend, combat veteran of Afghanistan and Iraq, just immediately said things didn't fit Friday and Saturday.
[00:13:18.775 --> 00:13:21.738]  And I said, hold, hold off, stand down.
[00:13:22.239 --> 00:13:23.901]  I don't want to be the first out front on this.
[00:13:24.021 --> 00:13:24.581]  I believe you.
[00:13:25.442 --> 00:13:28.724]  It is coming on the heels of this head CIA asset having their cover blown.
[00:13:29.465 --> 00:13:32.186]  That probably meant that this other guy's got cover blown.
[00:13:32.486 --> 00:13:35.869]  And so they said, OK, we've got to now stage you coming back.
[00:13:36.169 --> 00:13:41.172]  And I've seen this before, where they will have a, quote, al-Qaeda operative and their cover gets blown.
[00:13:41.192 --> 00:13:43.573]  It's really CIA or defense intelligence.
[00:13:43.833 --> 00:13:46.315]  And then they'll quietly release them and change their name.
[00:13:46.675 --> 00:13:48.717]  So this has been done over and over again.
[00:13:48.957 --> 00:13:50.598]  Now, I'm not saying Bo Bergdahl
[00:13:51.278 --> 00:13:56.140]  is a CIA asset or is a defense intelligence asset and this is all staged.
[00:13:56.280 --> 00:14:01.283]  I'm saying all the pieces and the timing of this points at that.
[00:14:02.284 --> 00:14:05.387]  Now, sometimes things point at something and that's not what it is.
[00:14:05.847 --> 00:14:15.217]  But a bunch of red flashing arrows, you know, like it's a late night diner, are pointing into this thing and we're just analyzing it.
[00:14:15.257 --> 00:14:23.565]  We don't claim we have all the answers, but we have a great pool of experts from, you know, staff sergeants who knew some of the people, talked to folks involved in the unit.
[00:14:24.245 --> 00:14:27.650]  He said that to me Saturday, and I said, well, I haven't seen that yet.
[00:14:27.670 --> 00:14:36.722]  Then Sunday, it was in CNN, and we'll put that article on screen, that people in his unit are saying something was weird, looked, staged us, walked off into the desert.
[00:14:37.724 --> 00:14:38.905]  This is pretty crazy.
[00:14:39.766 --> 00:14:46.012]  And again, that would be the cover for him actually defecting or going AWOL and then getting captured.
[00:14:46.813 --> 00:14:48.595]  So we'll get Staff Sergeant Joe Biggs on this.
[00:14:48.995 --> 00:14:57.003]  Leanne McAdoo has been following this since she was following the CIA asset section leader in that area, having this cover blown.
[00:14:57.443 --> 00:15:00.086]  And again, when they claim this is done by accident, give me a break.
[00:15:00.666 --> 00:15:02.770]  When Bush did this, it was a huge deal and should be.
[00:15:03.211 --> 00:15:04.473]  Why is it now happening?
[00:15:04.734 --> 00:15:07.459]  Because there's inter-agency fighting going on, bare minimum.
[00:15:07.879 --> 00:15:09.282]  And it's not a good trade either.
[00:15:10.168 --> 00:15:15.709]  Four Taliban commanders, or is it five, for some army soldier.
[00:15:16.129 --> 00:15:17.269]  They wouldn't normally do this.
[00:15:17.409 --> 00:15:18.610]  Why are they doing it now?
[00:15:18.950 --> 00:15:21.010]  This will encourage the grabbing of more soldiers.
[00:15:21.690 --> 00:15:25.551]  And again, this may not be clandestine, may be a great guy.
[00:15:25.891 --> 00:15:28.632]  I'm not even saying that I believe that's happening.
[00:15:28.652 --> 00:15:30.232]  I'm saying things point towards that.
[00:15:30.532 --> 00:15:31.912]  We'd be crazy if we didn't bring it up.
[00:15:32.212 --> 00:15:34.233]  Staff Sergeant Joe Biggs, what's your take on this?
[00:15:34.793 --> 00:15:40.195]  Well, Saturday, just like a lot of people, I woke up to the news that Bo Bergdahl was finally coming home.
[00:15:40.995 --> 00:15:44.316]  And I was sitting there thinking, just like most people, that gut reaction, wow, this is great.
[00:15:44.696 --> 00:15:51.178]  But as I started really going back and looking at a lot of the stuff that was going on, I saw my buddy Jason Leopold out of L.A.
[00:15:51.759 --> 00:15:56.760]  He said that he's known about Bergdahl coming back since last Saturday.
[00:15:56.840 --> 00:15:58.621]  He is on the White House email list.
[00:15:59.639 --> 00:16:03.042]  And the first email came out saying, Bo Bergdahl's coming back.
[00:16:03.082 --> 00:16:08.946]  And then he said he got another email that, you know, a person, you know, unknown was coming back.
[00:16:09.006 --> 00:16:14.070]  So for some reason, the White House went from saying him to then not saying his name again.
[00:16:14.090 --> 00:16:15.752]  So I found that interesting.
[00:16:16.032 --> 00:16:21.736]  But if you want, pull up that video of Bo's father talking to the president Saturday morning.
[00:16:21.756 --> 00:16:28.802]  I missed you in all the aspects of your recovery to full health.
[00:16:30.771 --> 00:16:44.764]  But most of all, I'm proud of how much you wanted to help the Afghan people and what you were willing to do to go to that length.
[00:16:47.126 --> 00:16:55.673]  My father did an interview yesterday on CNN and what he was talking about, and I just found it chilling.
[00:16:56.636 --> 00:17:12.264]  He, the whole interview, he's very calm and collective, but as soon as he talks about what his son's doing for Afghanistan, you see that vein pop up out of his head, and you see him get real teary-eyed and choked up, and I found that to be just very, you know, unusual.
[00:17:12.284 --> 00:17:25.391]  You know, a lot of the people were saying that his son, even before deployment, talked about, he said, hey, if this deployment is bogus, I will walk off the base and into the mountains of Pakistan.
[00:17:26.872 --> 00:17:27.593]  You told me that, sir.
[00:17:27.613 --> 00:17:32.321]  You have that article up on InfoWars.com.
[00:17:34.605 --> 00:17:39.927]  Well, when I got to Bob Bergdahl's account, the Twitter account, I saw that tweet.
[00:17:40.448 --> 00:17:42.108]  And I saw it right before it got deleted.
[00:17:42.428 --> 00:17:45.350]  He says, I'm still working to free all Guantanamo prisoners.
[00:17:45.730 --> 00:17:48.571]  God will repay for the death of every Afghan child.
[00:17:49.051 --> 00:17:49.391]  Amen.
[00:17:49.932 --> 00:17:57.035]  Well, Beau's father is supposed to be a devout Christian, so the fact that he misspells Amen, I found that to be a little weird too as well.
[00:18:00.006 --> 00:18:06.796]  Immediately they took that tweet down and I find that, you know, that in itself right there is a little shady too.
[00:18:07.497 --> 00:18:11.543]  You know, yesterday with that press release from his father when he goes and talks about that.
[00:18:13.826 --> 00:18:15.467]  It just sent chills down my back.
[00:18:15.887 --> 00:18:20.790]  You know, now we know Obama released five Gitmo detainees for Bo's release.
[00:18:21.190 --> 00:18:22.171]  You know, what does that mean?
[00:18:22.511 --> 00:18:29.555]  Well, the President's message to the Taliban and other enemies out there is America will pay any price to get someone out.
[00:18:29.575 --> 00:18:37.260]  I mean, these are bad things for our enemies to know that five Gitmo detainees are equivalent to one American.
[00:18:38.740 --> 00:18:41.042]  Now what if a Taliban kidnaps someone tomorrow?
[00:18:42.210 --> 00:18:45.971]  You know, if that's a civilian, are we going to just forget about them because they're military?
[00:18:46.471 --> 00:18:46.691]  No!
[00:18:47.632 --> 00:18:49.192]  You know, we're going to go after them.
[00:18:49.492 --> 00:18:57.094]  And when you put the price of an American, you know, put the price on an American head like Sergeant Bo Bergdahl, you put prices on everyone's head.
[00:18:57.455 --> 00:19:01.716]  Now it's unsafe for all Americans all over the world now to be out.
[00:19:01.996 --> 00:19:02.596]  Sure, sure.
[00:19:02.736 --> 00:19:04.517]  Let me ask you this question though, separately.
[00:19:05.157 --> 00:19:08.418]  On the heels of the CIA assets cover being blown,
[00:19:09.378 --> 00:19:10.639]  We now learn weeks before.
[00:19:10.659 --> 00:19:16.543]  I mean, that to me is a big connection to suddenly this guy's being sent back.
[00:19:17.704 --> 00:19:19.004]  What does this sound like to you?
[00:19:19.024 --> 00:19:20.746]  I mean, what's your gut tell you is going on there?
[00:19:21.046 --> 00:19:29.992]  Yeah, I mean, when I had time to sit down and think about this, you know, they're talking about how they blew a CIA operatives cover and all of a sudden Bo Bergdahl needed to be pulled out.
[00:19:30.632 --> 00:19:32.594]  You know, of being captive because he was in danger.
[00:19:32.894 --> 00:19:36.817]  But he wasn't in danger for the entire five years he was held captive?
[00:19:36.837 --> 00:19:38.118]  I mean, that doesn't make sense.
[00:19:38.158 --> 00:19:43.042]  The Haqqani Network is one of the most vile, evil terrorist networks out there.
[00:19:43.062 --> 00:19:45.484]  They're called the Sopranos of Afghanistan.
[00:19:45.964 --> 00:19:51.128]  You know, these guys chop people's heads off, and he was fine for those five years, but now he's in danger?
[00:19:51.148 --> 00:19:52.109]  I don't get that.
[00:19:53.971 --> 00:20:00.414]  Well, let's come back and continue to break this down and what this means for Obama with all the different resignations in his administration and the rest of it.
[00:20:00.434 --> 00:20:01.754]  Straight ahead with Staff Sergeant Joe Biggs.
[00:20:02.095 --> 00:20:02.815]  I'm Alex Jones.
[00:20:02.875 --> 00:20:05.096]  It's June 2nd on this Monday edition.
[00:20:05.136 --> 00:20:05.476]  Stay with us.
[00:20:10.078 --> 00:20:13.920]  How long would you last if all grocery stores ceased to exist?
[00:20:15.001 --> 00:20:15.861]  Not in America.
[00:20:15.881 --> 00:20:17.341]  This can't happen in America.
[00:20:17.701 --> 00:20:19.402]  Because I'm not concerned about our government.
[00:20:19.942 --> 00:20:21.422]  I'm looking at survival stuff.
[00:20:21.762 --> 00:20:24.843]  I was raised as a Girl Scout and their motto was to be prepared.
[00:20:25.223 --> 00:20:30.484]  Food for Patriots was an opportunity for me to be able to put some things aside.
[00:20:30.504 --> 00:20:34.404]  I said, well, this is a product worth having, because it's so good.
[00:20:34.424 --> 00:20:36.865]  I like the pricing for what I got.
[00:20:37.385 --> 00:20:39.525]  I like the containers they were shipped in.
[00:20:39.545 --> 00:20:41.026]  They keep in touch with you.
[00:20:41.046 --> 00:20:41.926]  You get your emails.
[00:20:41.966 --> 00:20:43.326]  You get your confirmations.
[00:20:43.766 --> 00:20:47.149]  Customer service is just absolutely fantastic.
[00:20:47.550 --> 00:20:51.394]  Plan on buying probably about four more of these minimum.
[00:20:51.474 --> 00:20:52.615]  And this just came so quick.
[00:20:52.695 --> 00:20:54.216]  It came right when they said it would come.
[00:20:54.296 --> 00:20:59.842]  Thanks for supplying all this stuff for us, because I think we're all going to be needing it in a very short time.
[00:21:00.430 --> 00:21:03.812]  Join over 50,000 Americans who have trusted Food for Patriots.
[00:21:04.252 --> 00:21:06.934]  Go to GetSurvivalFood.com to learn more.
[00:21:07.194 --> 00:21:09.355]  That's GetSurvivalFood.com.
[00:21:10.416 --> 00:21:17.220]  If you're worried about your health and you're tired of the nasty side effects of harsh drugs or antibiotics, then look no further.
[00:21:17.680 --> 00:21:19.782]  Supernatural Silver is the answer.
[00:21:20.502 --> 00:21:29.670]  Supernatural Silver is a powerful immune system enhancer that can be used every day to help keep you healthy and well, with none of those nasty side effects.
[00:21:30.210 --> 00:21:38.877]  It's extremely safe for use internally as well as topically, and Supernatural Silver is hundreds of times more effective than colloidal or ionic silver.
[00:21:39.277 --> 00:21:43.841]  It is perfect for use in the sinuses, eyes, ears, and on any wound or skin issue.
[00:21:44.281 --> 00:21:53.886]  Supernatural Silver is also extremely effective when taken orally and can help fight off bacteria, viruses and mold that may be overwhelming your immune system.
[00:21:54.287 --> 00:22:08.935]  Go to SupernaturalSilver.com SupernaturalSilver.com and use the promo code Silver2014 for 20% off of your entire order and give yourself and your loved ones a fighting chance with Supernatural Silver.
[00:22:09.502 --> 00:22:15.610]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential foreclosure situation?
[00:22:15.630 --> 00:22:18.954]  The police are shoving people, shoving Alex, shoving the crowd.
[00:22:19.055 --> 00:22:20.637]  Here we go, folks, I'm being assaulted!
[00:22:20.697 --> 00:22:26.865]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:22:27.005 --> 00:22:32.949]  Is this another false flag stage attack to take our civil liberties and put more homeless security by sticking their hands down on the streets?
[00:22:33.049 --> 00:22:36.791]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:22:36.991 --> 00:22:39.913]  And that's what PrisonPlanet.TV is designed to do.
[00:22:39.933 --> 00:22:48.079]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:22:48.319 --> 00:22:50.360]  What we see now is a war against reality.
[00:22:50.420 --> 00:22:51.461]  It's a war against the truth.
[00:22:51.821 --> 00:23:00.529]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:23:00.729 --> 00:23:03.171]  Visit InfoWarsNews.com today.
[00:23:03.371 --> 00:23:07.655]  Become a member, share your membership, and help take the info war to the next level.
[00:23:08.954 --> 00:23:09.975]  Hi, this is Ted Anderson.
[00:23:10.055 --> 00:23:14.397]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:23:14.557 --> 00:23:20.179]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:23:20.259 --> 00:23:23.621]  Gold has outperformed paper investments, yet no word about IRAs.
[00:23:23.841 --> 00:23:26.402]  If you would like to have gold for your retirement, call 800-686-2237.
[00:23:26.522 --> 00:23:31.345]  Don't get left behind by rising inflation and low returns.
[00:23:31.485 --> 00:23:31.765]  Call 800-686-2237.
[00:23:31.785 --> 00:23:33.086]  Secure your future and call 1-800-686-2237.
[00:23:38.448 --> 00:23:40.569]  Attention all radio listeners.
[00:23:40.830 --> 00:23:47.133]  Survival Life is giving away free credit card knives exclusively to our radio listeners.
[00:23:47.814 --> 00:23:55.558]  Visit freecovertknife.com to see this covert knife in action and to claim yours free.
[00:23:56.039 --> 00:23:58.840]  It's the same knife you've seen in airline magazines for $29.95.
[00:24:00.241 --> 00:24:02.182]  But today, it's yours free.
[00:24:02.723 --> 00:24:03.943]  Just pay shipping and handling.
[00:24:04.384 --> 00:24:07.366]  Go to freecovertknife.com.
[00:24:07.586 --> 00:24:07.966]  Go now!
[00:24:09.998 --> 00:24:10.658]  I don't know.
[00:24:32.101 --> 00:24:38.406]  Ladies and gentlemen, thank you for joining us with this Monday, Worldwide, June 2nd, 2014 Global Transmission.
[00:24:38.867 --> 00:24:58.121]  I am Alex Jones, reporting from on the road, and I will be reporting for the next few days from the road, but the great part about the InfoWars operation is we have the amazing team of the writers, the researchers, the investigative journalists, the reporters, everyone working together with that great team behind the scenes, technically as well.
[00:25:03.288 --> 00:25:06.652]  Chris Jordan, John Bowne, Nico, everyone.
[00:25:06.692 --> 00:25:07.412]  I mean, there's a lot of folks.
