[00:00:19.571 --> 00:00:25.374]  Welcome to InfoWars Nightly News and this vitally important Thursday edition.
[00:12:07.314 --> 00:12:10.195]  They started the civil war four years ago in Syria.
[00:12:10.556 --> 00:12:11.956]  They were given massive funding.
[00:12:12.196 --> 00:12:15.838]  They're 65%, according to NATO, of the rebel force.
[00:12:16.178 --> 00:12:20.280]  The Council on Foreign Relations last year had the headline, Why We Need Al-Qaeda.
[00:12:22.341 --> 00:12:26.423]  And they said, give them air support to take over the country and we'll remove them later.
[00:12:26.723 --> 00:12:27.023]  Boom!
[00:12:27.881 --> 00:12:28.401]  That's right.
[00:12:28.441 --> 00:12:36.207]  These are clandestine operations orchestrated by the CIA to take over Middle Eastern governments.
[00:12:36.787 --> 00:12:40.650]  The United States used Al-Qaeda example to take over Libya.
[00:12:41.530 --> 00:12:53.898]  And remember it was Senator John McCain when he went into Benghazi, he was there to campaign for financial and military support for the militants who were fighting Muammar Gaddafi.
[00:12:54.259 --> 00:12:55.660]  And well, what happened to that money?
[00:12:55.720 --> 00:12:57.241]  That money and those
[00:12:58.181 --> 00:13:02.223]  Weapons, they actually ended up in the hands of Al-Qaeda.
[00:13:02.884 --> 00:13:07.687]  We may actually have the photographic evidence of the handshakes that set those deals in motion.
[00:13:08.727 --> 00:13:09.828]  Yeah, Marcos, pull that up.
[00:13:09.848 --> 00:13:10.848]  I want to take a look at that.
[00:13:11.208 --> 00:13:15.911]  Here's John McCain standing next to a known Al-Qaeda leader.
[00:13:16.451 --> 00:13:22.275]  But I guess when he's standing next to John McCain, they call him a pro-democracy rebel.
[00:13:22.964 --> 00:13:23.805]  Yeah, you like that name.
[00:13:23.825 --> 00:13:26.867]  That sounds like something George Orwell would have come up with.
[00:13:27.187 --> 00:13:28.368]  Marcos, what's his real name?
[00:13:28.709 --> 00:13:31.711]  It says his name is Abdel Hakim Belhaj.
[00:13:31.811 --> 00:13:33.272]  He's a known Al Qaeda leader.
[00:13:33.833 --> 00:13:41.219]  It's well known that we've been funding destabilization campaigns in these developing regions for long periods of time.
[00:13:41.599 --> 00:13:43.660]  They made a whole movie about it starring Tom Hanks.
[00:13:44.381 --> 00:13:50.106]  So if you have any questions about whether or not the government's actually doing this, they have been.
[00:13:50.686 --> 00:13:58.169]  We send people in to destabilize the region, and then turn them into an enemy that gets us in the region to take control.
[00:13:58.589 --> 00:14:02.070]  That's right, and McCain, pictured there, caught with his pants down.
[00:14:02.090 --> 00:14:07.972]  I mean, we are giving Muslim extremists billions of dollars in weapons, cash, and equipment.
[00:14:08.352 --> 00:14:12.494]  Like I said, and like you said, Marcos, this is to destabilize the region.
[00:14:13.174 --> 00:14:27.322]  The CIA arms Al Qaeda, they create ISIS to go in there and butcher Christians, behead journalists, to the point where the American people start demanding that we finally go in there and do something about it.
[00:14:28.422 --> 00:14:30.504]  And ISIS wasn't created overnight.
[00:14:31.024 --> 00:14:36.027]  The United States has a long history of arming terrorists.
[00:14:37.040 --> 00:14:39.602]  And there's always the blowback factor as well.
[00:14:40.102 --> 00:14:43.405]  And that usually comes back to bite us in the ass.
[00:14:44.045 --> 00:14:47.148]  The people we are fighting today, we funded 20 years ago.
[00:14:49.514 --> 00:14:51.836]  Spoken like a true insider.
[00:14:52.676 --> 00:14:54.517]  Hey, we're going to take a quick break right now.
[00:14:54.577 --> 00:15:06.225]  When we come back, Dan Dix is going to join us from Ottawa where Parliament is on a lockdown right now and Canadian officials are intimidating journalists.
[00:15:06.605 --> 00:15:09.407]  This as a result from yesterday's deadly shooting.
[00:15:09.748 --> 00:15:13.110]  Dan Dix from Ottawa, when we come back, right after this.
[00:15:14.721 --> 00:15:15.741]  DNA Force.
[00:15:15.801 --> 00:15:19.022]  When cells become toxic, they die early and aging sets in.
[00:15:19.082 --> 00:15:20.102]  DNA Force.
[00:15:20.242 --> 00:15:28.263]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:15:28.383 --> 00:15:33.444]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:15:33.484 --> 00:15:34.484]  DNA Force.
[00:15:34.524 --> 00:15:36.365]  We now have the synergistic solution.
[00:15:36.505 --> 00:15:40.625]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:15:40.685 --> 00:15:41.105]  DNA Force.
[00:15:44.446 --> 00:15:47.767]  The globalist social engineers are not just targeting us with propaganda.
[00:15:47.887 --> 00:15:50.127]  They are manipulating our genetics.
[00:15:50.287 --> 00:15:58.589]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:15:58.890 --> 00:16:09.112]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[00:16:09.432 --> 00:16:22.860]  Sourced from powerful organic herbs and then concentrated for maximum potency, Super Mel Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:16:23.260 --> 00:16:29.363]  Super Mel Vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[00:16:29.603 --> 00:16:38.208]  For a limited time, we are offering 15% off Super Mel Vitality at InfoWarsLife.com to introduce you to this powerful supplement.
[00:16:38.328 --> 00:16:42.309]  Visit Infowarslife.com today to secure your super male vitality.
[00:16:42.489 --> 00:16:43.390]  Infowarslife.com.
[00:16:45.790 --> 00:16:53.353]  Now earlier today on the Alex Jones Show, Dan Dix gave us an update on the shooting at Parliament in Ottawa.
[00:16:53.873 --> 00:16:56.294]  And he joins us again live on the scene.
[00:16:56.374 --> 00:16:57.474]  Dan, thanks for joining us.
[00:16:58.234 --> 00:16:58.754]  No problem.
[00:16:58.774 --> 00:16:59.595]  My pleasure to be here.
[00:17:00.215 --> 00:17:06.137]  Hey, what's this I hear about that they're not releasing any security footage of the gunman from Parliament?
[00:17:06.177 --> 00:17:07.397]  Can you tell us a little bit about that?
[00:17:08.137 --> 00:17:36.147]  Yeah, I heard a little bit about that on the way to cover this, that conveniently none of the footage from inside Parliament actually shows any clips from this individual who apparently walked in there, past security, past metal detectors, with a long gun in hand, and some speculate that he knew where the cameras was and knew where to dodge things, but it is very, very fishy.
[00:17:37.492 --> 00:17:40.014]  It's interesting, to say the least.
[00:17:40.174 --> 00:17:43.877]  So we're going to try to keep a very close eye on that one, that's for sure too.
[00:17:44.498 --> 00:17:53.645]  Now what about Canadian officials telling the public not to post any pictures or any videos that they may have captured on the internet or on social media?
[00:17:53.885 --> 00:17:59.310]  Because naturally there would be people that just happen to be caught up at the scene that maybe have witnessed something.
[00:17:59.550 --> 00:18:03.553]  Why would they tell people not to share any of their experiences on the internet?
[00:18:04.374 --> 00:18:05.995]  Well they're the propaganda spin masters.
[00:18:06.910 --> 00:18:11.473]  They need to control the official narrative that is going to come of this.
[00:18:11.914 --> 00:18:23.061]  And so far, they've already shaped and molded the official narrative, which is this guy is a terrorist and he's a radical extremist who is doing things in retaliation for ISIS.
[00:18:23.121 --> 00:18:28.525]  Now, they have already came out and said this flat out, even though the fact that this just happened yesterday.
[00:18:28.605 --> 00:18:32.448]  We really don't know all the facts, but the Canadian media has already labeled this
[00:18:32.998 --> 00:18:40.486]  As a terrorist incident, as I said earlier, there's newspapers all over the world now saying terrorism has arrived in Canada.
[00:18:41.090 --> 00:18:46.774]  And they've already done the damage by conditioning Canadians to think that this indeed was a terrorist attack.
[00:18:46.814 --> 00:18:47.814]  Meanwhile, we don't even know.
[00:18:47.854 --> 00:18:57.140]  This guy could be set up, could be an informant, could have been incubated and coerced and co-opted into pulling off something like this or allowed to let this happen.
[00:18:57.501 --> 00:19:04.085]  It's still too early to say, but there's a lot of still very, very fishy things and a lot of questions that we have here.
[00:19:04.505 --> 00:19:10.269]  And that's why we wanted to come down to counter a little bit of this MSM spin machine that's going on here.
[00:19:11.291 --> 00:19:20.342]  Well, I also heard that not only did they tell the public, but the Canadian officials also told the Canadian press not to share pictures as well.
[00:19:20.542 --> 00:19:24.707]  I mean, since when did they tell the press not to share what they may have uncovered on video?
[00:19:24.767 --> 00:19:25.969]  I mean, I think that's pretty strange.
[00:19:26.471 --> 00:19:36.896]  Yeah, yeah, they in fact have already made it rather difficult for myself to even acquire media accreditation to get into Ottawa's press gallery.
[00:19:37.516 --> 00:19:47.780]  They're making us run through loops, but of course, if you're part of the approved mainstream media who's going to tout the party line, then you're allowed in.
[00:19:49.001 --> 00:19:54.543]  But, you know, we are here on the ground still, so yeah, you know, it's
[00:19:56.374 --> 00:19:59.516]  We're here just doing everything we can do to uncover everything.
[00:19:59.696 --> 00:20:00.797]  There's a lot going on right now.
[00:20:01.358 --> 00:20:02.258]  I'll show you.
[00:20:02.338 --> 00:20:05.260]  There's some huge media presence across the street.
[00:20:05.300 --> 00:20:06.701]  There's a lot of police officers here.
[00:20:07.002 --> 00:20:13.426]  This is actually the memorial itself, right here, where the individual was shot yesterday.
[00:20:13.927 --> 00:20:17.149]  And they have set up a little memorial here, as you can see.
[00:20:17.209 --> 00:20:19.330]  People have been visiting it all day long.
[00:20:19.671 --> 00:20:22.993]  That is the tomb of the unknown soldier that you can see back there.
[00:20:23.373 --> 00:20:24.174]  This is where the
[00:20:25.247 --> 00:20:31.209]  A Canadian soldier was standing there on guard when the gunman walked up and shot him.
[00:20:31.509 --> 00:20:36.310]  This soldier was armed with a weapon, however, they're not loaded.
[00:20:36.770 --> 00:20:41.252]  They don't let the Canadian soldiers here load their weapons when they're standing on guard.
[00:20:42.232 --> 00:20:47.614]  So unfortunately, he was fatally shot and our thoughts and prayers go out to the family members.
[00:20:48.554 --> 00:20:51.415]  But had he been armed, perhaps this could have been avoided.
[00:20:51.977 --> 00:20:55.400]  Yeah, that's a shame and hopefully that'll change in the future.
[00:20:55.920 --> 00:21:06.550]  Now, we've also heard reports, and I wanted to ask you about this, that the Canadian police were actually pointing their weapons at journalists in order to intimidate them.
[00:21:06.570 --> 00:21:07.951]  I mean, have you heard anything about that?
[00:21:08.669 --> 00:21:10.570]  I've seen some of that online.
[00:21:10.770 --> 00:21:25.318]  I just got in late last night and have just been filming out on the grounds filming the whole time so I haven't seen a whole lot of what's been coming in just yet from the mainstream media other than what I'm hearing you know around me here on the grounds here.
[00:21:26.158 --> 00:21:29.760]  But that is certainly no surprise as I said they need to be the
[00:21:30.436 --> 00:21:49.107]  It's propaganda spin masters, so if that means controlling Canadian journalists to the point of sticking guns in their faces, it looks like they're going to go to those extremes here to make sure that either the truth doesn't get out or that they make sure that they have all angles covered when it comes to telling the people what happened here.
[00:21:50.007 --> 00:21:52.348]  Alright, well great report Dan, we really appreciate it.
[00:21:52.388 --> 00:21:55.110]  Before we go, have you learned anything else that you'd like to share with us?
[00:21:56.127 --> 00:22:04.196]  Well, I think the bottom line and the most important thing here is that we need to be very careful of the response to things like this.
[00:22:04.236 --> 00:22:10.903]  The Canadian government, we simply can't go on to bomb other countries in the Middle East because of this.
[00:22:11.003 --> 00:22:14.687]  We simply can't restrict Canadians' freedoms because of this.
[00:22:15.228 --> 00:22:17.670]  And so I would just encourage people to not
[00:22:18.672 --> 00:22:31.597]  Live in fear of the terrorists, they've conditioned you to be this way, and let's just ensure that we don't call for stricter gun control, more powers for the state, because they're the ones who always benefit from these types of events.
[00:22:32.517 --> 00:22:33.217]  Fantastic.
[00:22:33.277 --> 00:22:34.078]  Alright, thanks Dan.
[00:22:34.158 --> 00:22:37.559]  From Ottawa, Canada, we look forward to more reports to come.
[00:22:38.257 --> 00:22:38.517]  Thanks.
[00:22:38.758 --> 00:22:49.072]  For more coverage from Dan Dix and the shooting at Parliament and the lockdown at Parliament, be sure to check out PressForTruth.ca.
[00:22:49.473 --> 00:22:51.015]  Now, we're going to take a quick break.
[00:22:51.135 --> 00:22:54.119]  The InfoWars Nightly News will return right after this.
[00:22:54.740 --> 00:22:55.201]  Stick around.
[00:22:56.829 --> 00:23:03.154]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:23:03.515 --> 00:23:04.976]  I believe our research is conclusive.
[00:23:05.016 --> 00:23:06.377]  This is the best iodine out there.
[00:23:06.657 --> 00:23:07.778]  And I know this for a fact.
[00:23:08.319 --> 00:23:13.103]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:23:13.223 --> 00:23:16.966]  For a limited time, experience the ancient power of Survival Shield X2.
[00:23:17.506 --> 00:23:22.691]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLife.com.
[00:23:26.949 --> 00:23:32.934]  Introducing the first proprietary oxygen-based intestinal cleanser, Oxy-Powder.
[00:23:33.574 --> 00:23:37.798]  Backed by FDA-approved Phase 1, 2, and 3 clinical trials.
[00:23:38.278 --> 00:23:44.583]  All the toxins from the air, the food, the water ultimately ends up in the gut or affects the gut.
[00:23:44.703 --> 00:23:49.868]  Take your health into your own hands and start cleansing your body today with Oxy-Powder.
[00:23:50.408 --> 00:23:54.151]  Secure your Oxy-Powder today at InfoWarsLife.com.
[00:23:54.291 --> 00:23:56.093]  That's InfoWarsLife.com.
[00:24:06.673 --> 00:24:07.795]  I want to explain something.
[00:24:09.657 --> 00:24:14.524]  Interviewing multiple medical doctors, Harvard medical doctors, you name it, over the years.
[00:24:15.025 --> 00:24:16.627]  A lot of articles have been written about this.
[00:24:16.667 --> 00:24:17.708]  You can look them up for yourself.
[00:24:18.189 --> 00:24:21.433]  There's a lot of evidence that Ebola was developed in laboratories.
[00:24:22.093 --> 00:24:26.336]  And then released in the jungles of Western and Central Africa.
[00:24:26.616 --> 00:24:35.463]  Larry Ford had mutated cholera, typhoid, anthrax, botulism, bubonic plague, and had also come up with germs that he called kaffir-killing germs.
[00:24:36.123 --> 00:24:40.627]  Kaffir, as you may know, in Afrikaans, is the equivalent of the N-word.
[00:24:41.887 --> 00:24:46.231]  So these are germs that were specifically engineered to kill only black people.
[00:24:47.351 --> 00:24:50.594]  In other words, an ethnic biological weapon.
[00:24:51.946 --> 00:24:57.751]  As it mutates, it will become more aggressive and even airborne.
[00:24:59.152 --> 00:25:09.141]  And then one of the heads of the University of Texas Biology Department, who is a global exterminist, he believes that at least 90% of the population should be reduced.
[00:25:10.060 --> 00:25:28.620]  His acolytes, his graduate students that are now medical doctors, PhDs, microbiologists, responded to us criticizing him six years ago and the FBI visiting him by sending me open letters that we published saying, listen, we will exterminate everyone.
[00:25:29.292 --> 00:25:32.993]  In fact, here's quotes from the Texas newspapers that reported on it out of Houston.
[00:25:33.413 --> 00:25:48.036]  I watched in amazement as a few hundred members of the Texas Academy of Sciences rose to their feet and gave standing ovation to a speech that enthusiastically advocated the elimination of 90% of the Earth's population by airborne Ebola.
[00:25:48.757 --> 00:25:54.358]  We are an epidemic waiting to happen and because we're so mobile and so dense,
[00:25:55.282 --> 00:25:57.663]  We can get on airplanes and fly across oceans.
[00:25:57.683 --> 00:25:59.804]  Disease is going to spread fast.
[00:25:59.984 --> 00:26:04.965]  And the people who have studied this, the epidemiologists and medical people are very, very concerned about the next pandemic.
[00:26:04.985 --> 00:26:08.166]  The 2014 wave of upwards of 300,000 illegals crossing the United States southern border is only the beginning.
[00:26:16.109 --> 00:26:28.536]  He's told the world that with a stroke of his pen he will, by presidential directive, by executive order, provide legal status to five to six million people unlawfully in the country.
[00:26:28.977 --> 00:26:38.242]  Allowing any president to nullify law is a threat to the future of our republic and to the ultimate power of the people to control it.
[00:26:38.442 --> 00:26:49.628]  As Obama's failed policies, scandals, and questionable leadership open a deep wound in the Democratic Party's dwindling chances... Do you approve of the job President Obama is doing?
[00:26:49.768 --> 00:26:52.429]  Now, there'll be a chance to follow up, but this is a yes or no answer.
[00:26:52.869 --> 00:26:54.150]  Do you approve, yes or no?
[00:26:56.151 --> 00:26:58.552]  In some ways I approve, in some things I don't approve.
[00:27:00.093 --> 00:27:04.595]  President Barack Obama's administration missed their projected September 21st deadline.
[00:27:05.953 --> 00:27:06.394]  What's your name?
[00:27:06.794 --> 00:27:07.095]  Charlie.
[00:27:07.575 --> 00:27:07.896]  Charlie?
[00:27:08.076 --> 00:27:08.256]  Yeah.
[00:27:08.376 --> 00:27:09.257]  Who are you with, Charlie?
[00:27:09.297 --> 00:27:09.918]  Breitbart News.
[00:27:10.199 --> 00:27:11.340]  Okay.
[00:27:11.380 --> 00:27:17.308]  The recent story on the USCIS preparing for a surge of government IDs, do you have a response to that?
[00:27:18.557 --> 00:27:18.897]  I don't.
[00:27:18.978 --> 00:27:21.519]  I'd refer you to USCIS on that.
[00:27:22.020 --> 00:27:23.080]  I don't have any information about that.
[00:27:23.521 --> 00:27:24.501]  But it is coming.
[00:27:24.862 --> 00:27:27.624]  Leon Rodriguez, the Director of the U.S.
[00:27:27.664 --> 00:27:37.330]  Citizen and Immigration Services, is hiring more asylum officers as a greater tsunami of illegals is expected by year's end.
[00:27:37.350 --> 00:27:41.233]  So would you please tell us what is next on the President's agenda?
[00:27:42.014 --> 00:27:44.035]  The directive that we have received
[00:27:44.871 --> 00:27:52.741]  Uh, is to examine, uh, possibilities, uh, for different, uh, avenues to exercising that, uh, that prosecutorial discretion.
[00:27:52.762 --> 00:28:02.474]  Uh, I know that our secretary is in a process of engaging with frontline employees, uh, at DHS, members of Congress from both sides of the aisle.
