[00:00:08.203 --> 00:00:12.810]  The most humbling part of my job is serving as Commander-in-Chief to the world's finest military.
[00:04:17.751 --> 00:04:22.434]  Um, and a counselor to help me with some of the, you know, the crap I was dealing with.
[00:04:22.534 --> 00:04:25.315]  And I got tired of it and I ended up moving from Florida to Texas.
[00:04:25.376 --> 00:04:28.737]  So, um, and San Antonio really isn't any better.
[00:04:28.858 --> 00:04:36.622]  I, I ended up going there for, um, I didn't know I had type two diabetes and I ended up going there with a blood sugar of like eight, uh, 90 something.
[00:04:37.082 --> 00:04:46.128]  So the VA in Gainesville never even called onto the fact that you had diabetes and you've gone an extended amount of time without even getting that taken care of?
[00:04:46.148 --> 00:04:46.908]  Yep.
[00:04:47.355 --> 00:04:50.854]  They told me, you know, you're like, you were like a soda pop away from a coma.
[00:04:51.496 --> 00:04:52.836]  I mean, that's a prime example.
[00:04:52.896 --> 00:04:57.058]  I mean, you could have been on a secret list like the one in Phoenix, Arizona.
[00:04:57.498 --> 00:05:08.681]  I mean, that's scary to know that these guys could have known or did know and decided just to kind of let that slide and just, you know, whatever, you know, sort itself out over time.
[00:05:08.881 --> 00:05:14.682]  Over the past three days, I've had the opportunity to speak with four separate whistleblowers that worked at VA clinics across the nation.
[00:05:15.222 --> 00:05:17.303]  Now, they all had something interesting to add.
[00:05:17.483 --> 00:05:20.604]  They made statements, racial slurs against veterans.
[00:05:21.284 --> 00:05:26.226]  One of the biggest issues with the VA care is the fact that we all know there's a rise in suicides and anxiety and depression.
[00:05:26.287 --> 00:05:32.149]  And instead of actually treating the underlying issues through new technologies,
[00:05:44.585 --> 00:05:45.765]  They just hand out pills.
[00:05:46.606 --> 00:05:52.588]  And they hand out so much medication at the VA that at the VA, pills have become a currency.
[00:05:53.308 --> 00:05:59.130]  And veterans get arrested or they get detained because it's federal property because they're just handed out these pills.
[00:05:59.550 --> 00:06:04.512]  I mean, I could go, I have a back problem, I could go to the VA right now and probably get a three month supply of Vicodin.
[00:06:04.532 --> 00:06:06.913]  In the private industry, that won't happen.
[00:06:07.925 --> 00:06:16.311]  And I really believe that they rely on veterans being addicted because they go to what's called the addiction clinic, where they receive funding per head.
[00:06:16.551 --> 00:06:30.741]  Is there a reason that a lot of these VA clinics, and I don't know if this trickles to you at all, but I keep getting reports from a lot of the veterans saying that when they go in and they have problems, they're being asked if they have weapons, how much ammo they have, and where they store them at.
[00:06:31.141 --> 00:06:32.842]  Now is that something that is a
[00:06:33.763 --> 00:06:35.283]  Across the board type question?
[00:06:53.388 --> 00:07:04.551]  Without that due process, you know, we would send them a letter basically saying that, yeah, you're not allowed to own weapons or, you know, it's against the Brady Bill or the Brady Law.
[00:07:04.732 --> 00:07:12.614]  You have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[00:07:12.694 --> 00:07:18.479]  Mainstream media is not going to do their job covering this story whatsoever, so it's our job here at InfoWars to get the story out.
[00:07:18.859 --> 00:07:23.743]  If you have any tips or anything like that, please email them to vets at InfoWars.com.
[00:07:24.123 --> 00:07:27.827]  And don't forget, our oath to the Constitution has no expiration date.
[00:07:28.507 --> 00:07:29.327]  The facts are in.
[00:07:29.527 --> 00:07:30.648]  The studies are legion.
[00:07:30.928 --> 00:07:38.270]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:07:38.450 --> 00:07:41.891]  So why are the social engineers adding it to the water?
[00:07:42.251 --> 00:07:42.651]  Simple.
[00:07:42.831 --> 00:07:47.252]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:07:47.552 --> 00:07:50.773]  We may not have been able to get fluoride out of the water supply yet.
[00:07:50.973 --> 00:07:53.015]  But we can help to get it out of our bodies.
[00:07:53.255 --> 00:07:58.661]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield formulation.
[00:07:58.821 --> 00:08:09.311]  Fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:08:09.611 --> 00:08:11.453]  Let's take a stand against the globalists.
[00:08:11.553 --> 00:08:12.174]  We're good to go.
