[00:00:00.009 --> 00:00:01.270]  Broadcasting Network.
[00:05:18.756 --> 00:05:23.079]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:05:23.299 --> 00:05:27.102]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:05:27.242 --> 00:05:32.966]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:05:33.206 --> 00:05:35.967]  It is rare to find companies who practice what they preach.
[00:05:36.368 --> 00:05:41.591]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:05:41.751 --> 00:05:49.876]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:05:49.896 --> 00:05:50.096]  That's 866-229-0927.
[00:05:56.440 --> 00:05:58.807]  Do business with someone who shares your values.
[00:05:59.088 --> 00:06:01.755]  BuyPatriotsupply.com slash Alex.
[00:06:02.540 --> 00:06:05.882]  The globalist social engineers are not just targeting us with propaganda.
[00:06:05.982 --> 00:06:08.224]  They are manipulating our genetics.
[00:06:08.404 --> 00:06:16.709]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:06:16.990 --> 00:06:32.320]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula sourced from powerful organic herbs and then concentrated for maximum
[00:06:32.560 --> 00:06:33.040]  I don't know.
[00:07:02.606 --> 00:07:11.613]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:07:11.693 --> 00:07:19.780]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:20.080 --> 00:07:24.804]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:07:24.964 --> 00:07:31.689]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:31.769 --> 00:07:38.854]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:38.934 --> 00:07:45.799]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:45.959 --> 00:07:50.323]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:50.443 --> 00:07:53.706]  Available in original or with our immune support infusion blend.
[00:07:53.826 --> 00:07:59.972]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:00.132 --> 00:08:01.813]  Available at Infowarslife.com
[00:08:20.353 --> 00:08:26.854]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:26.874 --> 00:08:28.395]  It's Alex Jones.
[00:08:34.196 --> 00:08:38.677]  Well, we have got a jam-packed transmission lined up today, to say the least.
[00:08:39.397 --> 00:08:46.719]  Quite frankly, I should just cancel both the guests that are coming up today, but I'm not going to do it because both of the topics they're going to be covering are so incredibly important.
[00:08:46.759 --> 00:08:48.059]  But the situation with Russia
[00:08:49.557 --> 00:08:55.239]  Has deteriorated so fast and is going the worst possible direction it could go.
[00:08:57.399 --> 00:09:04.141]  And exactly the way we thought it probably would go, but hoped it wouldn't, that we should all be at prayer vigils.
[00:09:04.922 --> 00:09:06.802]  We should all be getting right with God.
[00:09:07.142 --> 00:09:09.043]  People should be freaking out right now.
[00:09:10.799 --> 00:09:36.033]  Because John Kerry has said, and NATO has said, and the Joint Chiefs of Staff Chairman has said, Dempsey, that the United States with NATO is preparing military action, not just massive sanctions, against Russia by Monday, if Vladimir Putin does not hand over Crimea and the gas pipelines that the Russians own, and their bases, basically to the EU for full looting.
[00:09:36.983 --> 00:09:46.185]  And it's two different global mafias fighting over control of that plum, the bread basket, and the gas basket, where they bring most of the gas to Europe out of Gazprom.
[00:09:47.045 --> 00:09:48.885]  The problem is, it's Russia's backdoor.
[00:09:49.305 --> 00:09:52.226]  Crimea used to be part of Russia, and the West started this.
[00:09:53.346 --> 00:09:57.127]  So, it's kind of like Stalin was bad, but Hitler attacked Russia.
[00:09:58.827 --> 00:10:00.127]  So, he's known as the bad guy.
[00:10:00.627 --> 00:10:01.988]  But Putin is no Stalin.
[00:10:02.588 --> 00:10:04.048]  He's certainly becoming craved.
[00:10:06.450 --> 00:10:12.833]  And expelling Western executives who he believes are operatives for things like jaywalking and speeding.
[00:10:13.353 --> 00:10:14.274]  Any excuse they've got.
[00:10:14.294 --> 00:10:17.056]  Because, I mean, quite frankly, they know they're operatives, a lot of them.
[00:10:17.396 --> 00:10:18.236]  That's in Bloomberg.
[00:10:21.578 --> 00:10:22.018]  Look at this.
[00:10:24.420 --> 00:10:27.482]  I now get Amber Alerts on the company phone.
[00:10:27.782 --> 00:10:29.623]  I have two company reporter phones in here.
[00:10:30.933 --> 00:10:40.336]  This is the New World Order, and we get Obama alerts on these as well, where the state's going to be taking over TV, radio, you name it, even with video feeds of El Presidente.
[00:10:40.816 --> 00:10:46.999]  Even when the audio was turned off on these, it overrode it.
[00:10:47.119 --> 00:10:49.179]  That's all the back doors and everything, folks.
[00:10:50.280 --> 00:10:51.580]  Great example right there.
[00:10:52.861 --> 00:10:55.121]  I've got two reporter phones right here that I've been reviewing footage of.
[00:10:55.141 --> 00:10:59.543]  Some of the footage Yacari shot at the Super Bowl, stuff like that.
[00:11:00.947 --> 00:11:01.647]  Where was I?
[00:11:02.408 --> 00:11:07.129]  Going back, there are alerts going off in there.
[00:11:07.389 --> 00:11:19.034]  I mean, this is just total government control, and at first it's amber alerts about floods or missing kids, and then it's report illegal guns, or report this alleged terrorist, Alex Jones, who's on the run.
[00:11:20.294 --> 00:11:22.595]  And your alert went off as well in there?
[00:11:24.704 --> 00:11:25.385]  Yeah, there you go.
[00:11:25.485 --> 00:11:27.287]  It's Temple, Texas, Amber Alert.
[00:11:27.948 --> 00:11:29.109]  That's 90 miles away.
[00:11:29.129 --> 00:11:32.614]  A 2007 Maroon Mazda 6 Sedan.
[00:11:34.896 --> 00:11:35.717]  Here, come get your phone.
[00:11:36.659 --> 00:11:36.899]  Thanks.
[00:11:37.460 --> 00:11:37.720]  Thanks.
[00:11:38.441 --> 00:11:42.125]  And then coming out, they're going to have all the license plates federally controlled.
[00:11:42.145 --> 00:11:42.966]  They're going to be digital.
[00:11:43.307 --> 00:11:43.947]  Little TVs.
[00:11:45.296 --> 00:11:51.222]  And you'll pay for that with your taxes, and then it's going to be giving you constant brainwashing messages, constant tattletale messages.
[00:11:51.262 --> 00:12:00.690]  I mean, this is a hellish system that's being built, because we're letting technocrats use our money, use our ingenuity, use our taxes to build a hellish nightmare.
[00:12:01.211 --> 00:12:04.754]  That's why the sky's the limit, because they're just totally going for broke.
[00:12:04.814 --> 00:12:06.796]  The public is just now figuring out
[00:12:08.308 --> 00:12:22.237]  That everything is being totally criminally surveilled to socially engineered society and to give select, inside, corporate data to the insiders to be able to corner every market.
[00:12:22.517 --> 00:12:24.218]  And Snowden has now come out with that.
[00:12:24.478 --> 00:12:28.541]  You know, you heard it here 16, 17 years ago and now the documents have been released.
[00:12:28.901 --> 00:12:31.322]  Of course they're using spy data to corner markets.
[00:12:31.863 --> 00:12:34.024]  Of course they're using spy data on the Senate and the House.
[00:12:34.364 --> 00:12:36.766]  Of course different intelligence agencies are spying on each other.
[00:12:37.546 --> 00:12:44.307]  Of course they're using it to steal patents and technologies and give them to select corporations.
[00:12:44.708 --> 00:12:50.949]  Of course it's used to wreck the free market and that's why it's a crime to spy on someone illegally.
[00:12:51.549 --> 00:13:00.971]  You gotta have a warrant with an oath or affirmation and the person placed papers and effects to be seized and the oath or affirmation of why that's happening.
[00:13:02.000 --> 00:13:10.786]  I saw dead bodies in a trunk in John Doe's basement when I was there fixing the pipes on April 14th.
[00:13:12.067 --> 00:13:16.630]  And I have sworn this, and I can be confronted in court.
[00:13:17.610 --> 00:13:23.834]  They got rid of the right of facing your accuser with confidential informants, folks, who go around lying and setting people up.
[00:13:23.874 --> 00:13:24.875]  Professional liars.
[00:13:26.896 --> 00:13:31.099]  Professional snitches who will say anything the system wants.
[00:13:32.947 --> 00:13:35.808]  You notice the media and the system always demonizes defense lawyers?
[00:13:37.028 --> 00:13:40.629]  It's really the defense lawyers that are holding back the total onslaught of evil takeover.
[00:13:42.550 --> 00:13:49.732]  I mean, these prosecutors in many areas, and the federal prosecutors, are absolute flaming crooks.
[00:13:51.492 --> 00:13:54.953]  Do they go after the trillions being laundered through the big banks every decade?
[00:13:54.973 --> 00:13:58.074]  Do they go after the white slavery grids?
[00:13:58.094 --> 00:13:59.975]  Do they go after any of the real stuff, DynCorp?
[00:14:00.235 --> 00:14:00.815]  The answer is no.
[00:14:02.318 --> 00:14:10.444]  But if you are selling marijuana out of your house, they're going to SWAT team raid you, kill your dog, the SWAT team's going to beat you up and say, shouldn't be a doper!
[00:14:10.945 --> 00:14:18.110]  Man, I was on this website, I think I sent it to Watson, I forget the name the other night, watching SWAT team raid videos that they shot.
[00:14:18.851 --> 00:14:23.795]  And like half the time they come in the house, the people are all asleep, don't resist, a fat
[00:14:25.049 --> 00:14:32.999]  Basset Hound runs out, and they shoot it, and it's squealing, and they've got night vision cameras, and it's blood's everywhere, and then they beat up the dad and everything, and they go, look!
[00:14:33.640 --> 00:14:35.582]  And it's like a, you know, half pound of marijuana.
[00:14:36.884 --> 00:14:38.266]  Look at this, you doper!
[00:14:38.286 --> 00:14:39.047]  You're going to jail!
[00:14:39.087 --> 00:14:40.328]  I mean, just what a joke.
[00:14:40.689 --> 00:14:43.653]  Well, the government brings in the hard narcotics on record.
[00:14:44.616 --> 00:14:51.122]  And then they push psychotropics, and amphetamines, and Adderall on the kids, and then GMO, and add deadly chemicals to the water.
[00:14:51.182 --> 00:14:55.386]  Over 200 plus chemicals on average are added to the water in the so-called fluoride mix.
[00:14:55.907 --> 00:15:04.215]  Lead, mercury, arsenic, Rignard reagents, heavy metals of every smattering, total brain damage, massive cancer, total psycho takeover.
[00:15:04.815 --> 00:15:17.700]  Tens of thousands of declassified government projects, some cases thousands of people killed per project, radiating foster children, injecting AIDS in foster children, Bayer injecting people with HIV, I mean, just on and on.
[00:15:18.020 --> 00:15:21.481]  Just mass murder, forced sterilization, ongoing currently.
[00:15:22.261 --> 00:15:24.182]  Just total psycho-evil.
[00:15:28.783 --> 00:15:30.104]  And now they want to start war with Russia.
[00:15:31.834 --> 00:15:36.896]  And it's just funny that Napoleon finally was taking over everything, so he attacked the Russians.
[00:15:37.736 --> 00:15:40.277]  Hitler did the same thing, and now the New World Order is going to do it.
[00:15:43.579 --> 00:15:44.359]  It just never ends.
[00:15:45.880 --> 00:15:48.461]  Absolutely never ends, ladies and gentlemen.
[00:15:51.222 --> 00:15:51.742]  Never ends.
[00:15:53.516 --> 00:15:57.477]  And if you go out and try to talk to the average person about it, they just go, what are you, for Putin?
[00:15:57.877 --> 00:15:58.738]  I say nuke him!
[00:15:59.458 --> 00:16:03.919]  Well, the only problem is it's not like Iraqis or somebody that don't have anything to fight back with.
[00:16:05.460 --> 00:16:14.422]  And yeah, the United States, run by the globalists, probably has double the nukes that are deliverable in reality and a lot of high-tech weapons, but it's not going to matter.
[00:16:14.442 --> 00:16:23.125]  A lot of those Russian nukes are going to make it here, and the cruise missiles are going to make it, and they're going to nuke Western Europe.
[00:16:25.134 --> 00:16:28.335]  And, you know, where's that going to be for all you trendies?
[00:16:29.115 --> 00:16:32.776]  I mean, that's going to kind of mess up your plan to make all the little boys wear dresses, isn't it?
[00:16:32.836 --> 00:16:35.956]  I mean, you people are out of control.
[00:16:36.536 --> 00:16:38.797]  Napoleon Bonaparte was a lot smarter than you are.
[00:16:38.897 --> 00:16:40.317]  Adolf Hitler was smarter than you are.
[00:16:41.397 --> 00:16:42.737]  And look what happened to them.
[00:16:43.158 --> 00:16:48.219]  I mean, you just really need to back off right now and not start World War III.
[00:16:48.279 --> 00:16:50.279]  I mean, John Kerry looks like
[00:16:51.417 --> 00:16:54.719]  I was on a Knoxville, uh, one of our affiliates in the talk show.
[00:16:54.799 --> 00:16:56.180]  Some of those guys are on as guests sometimes.
[00:16:56.700 --> 00:17:00.203]  Uh, they made the point that he looks like the Eastern Island, uh, statues.
[00:17:00.243 --> 00:17:05.726]  Kerry, I've always described him like Lurch or something from the Addams Family.
[00:17:05.746 --> 00:17:08.528]  There's so much Botox, but well, I can know what he personally looks like.
[00:17:08.868 --> 00:17:19.395]  He's a skull and bones occultist who thinks he's invincible on a power trip and
[00:17:20.851 --> 00:17:24.874]  He publicly tried to launch a war with Al Qaeda, with the U.S.
[00:17:24.914 --> 00:17:25.714]  as its air force.
[00:17:25.734 --> 00:17:27.836]  The military said no five, six months ago.
[00:17:28.837 --> 00:17:30.718]  And that was all about a proxy war with Russia.
[00:17:31.438 --> 00:17:34.280]  And now they are launching a big attack in Ukraine.
[00:17:35.721 --> 00:17:38.663]  And again, it doesn't mean the Russians are perfect, doesn't mean they're good.
[00:17:39.164 --> 00:17:40.805]  The West is starting this, folks.
[00:17:40.905 --> 00:17:41.665]  It's dangerous.
[00:17:42.246 --> 00:17:42.866]  It's bad.
[00:17:43.527 --> 00:17:44.187]  It's not good.
[00:17:45.568 --> 00:17:46.169]  And I know that's
[00:17:48.035 --> 00:17:48.956]  A simple way of putting it.
[00:17:49.196 --> 00:17:51.357]  I mean, it's outrageously dangerous.
[00:17:51.878 --> 00:17:53.399]  It's over-the-top insane.
[00:17:53.759 --> 00:18:00.484]  There are no words to describe how bad this is.
[00:18:01.124 --> 00:18:03.366]  And we're just so used to being comfortable.
[00:18:06.528 --> 00:18:09.550]  We are so accustomed
[00:18:13.533 --> 00:18:18.295]  To just getting away with everything and everything's comfortable, everything's nice.
[00:18:18.315 --> 00:18:23.496]  Because we've been living off the liberty and freedom and due process that our ancestors fought for.
[00:18:23.876 --> 00:18:24.917]  But the bank's empty now.
[00:18:26.377 --> 00:18:28.038]  And the chickens are coming home to roost.
[00:18:28.098 --> 00:18:33.259]  And you know, I've got articles here where Zuckerberg phones Obama to blast him about NSA.
[00:18:33.659 --> 00:18:35.300]  We have the New York Post PR pieces.
[00:18:36.440 --> 00:18:38.501]  Facebook is the NSA on record.
[00:18:39.315 --> 00:18:51.190]  So that's PR, and George Soros comes out and says, we better not have sanctions on Russia, we better de-escalate this, because he doesn't want his name on this big war that's about to start, while he's in the middle of it.
[00:18:52.391 --> 00:18:58.639]  Because he realizes that once he starts a war, flat out, which he's doing with Russia, that, you know, your name's on this, boy.
[00:19:00.069 --> 00:19:00.970]  Your name's on this.
[00:19:01.010 --> 00:19:02.451]  You think you're going to get away with this?
[00:19:03.131 --> 00:19:05.093]  While you try to shut down the First Amendment and the Second Amendment here?
[00:19:05.573 --> 00:19:09.156]  You think you're going to just... You're not going to get away with this, Soros.
[00:19:10.037 --> 00:19:12.859]  In the French news agency saying this, here it is.
[00:19:12.899 --> 00:19:20.525]  It's very important to respond and respond the right way, which is not necessarily to impose sanctions on Russia, but to actually help Ukraine financially.
[00:19:20.565 --> 00:19:21.425]  That means come in and loot them.
[00:19:21.806 --> 00:19:23.187]  And also technical assistance.
[00:19:23.587 --> 00:19:25.829]  Something like European Marshall Plan for Ukraine.
[00:19:25.889 --> 00:19:26.910]  Yeah, OECD.
[00:19:28.191 --> 00:19:29.552]  That would be the right response.
[00:19:31.052 --> 00:19:32.493]  He's like, let's be friendly to Russia.
[00:19:32.513 --> 00:19:36.016]  Yeah, let's come in, build them up militarily, financially loot them.
[00:19:37.837 --> 00:19:38.238]  Don't run.
[00:19:38.258 --> 00:19:39.278]  We are your friends, Russia.
[00:19:41.080 --> 00:19:42.321]  And then they just spin all that.
[00:19:42.341 --> 00:19:45.884]  Of course, you know Soros has got access to Side R there in Maryland.
[00:19:48.746 --> 00:19:52.909]  But you don't have access to Side R. Or to Cheyenne Mountain.
[00:19:53.670 --> 00:19:55.291]  Or to any of the other deep cover bases.
[00:19:55.331 --> 00:19:56.512]  Those are a few of the public ones.
[00:19:58.166 --> 00:20:01.115]  Alright, we're gonna come back, tell you about some of the guests that are coming up, get into the big news.
[00:20:04.016 --> 00:20:05.417]  My name is Jessica Armand.
[00:20:05.537 --> 00:20:08.219]  I'm an activist, a GCN listener, and mother of three.
[00:20:08.379 --> 00:20:13.042]  Our drinking water and food are filled with fluoride and other contaminants that harm our teeth and gums.
[00:20:13.222 --> 00:20:18.405]  To protect my family, I created My Magic Mud, an all-natural teeth whitening and strengthening remedy.
[00:20:18.545 --> 00:20:25.149]  My Magic Mud is a soft powder that polishes your teeth, reduces sensitivity, and removes harmful toxins from deep inside your mouth.
[00:20:25.249 --> 00:20:27.190]  You deserve a bright, healthy smile.
[00:20:27.250 --> 00:20:29.692]  Visit MyMagicMud.com and get yours today.
[00:20:29.792 --> 00:20:31.653]  That's MyMagicMud.com.
[00:20:33.135 --> 00:20:35.717]  Silver has always been nature's very own antibiotic.
[00:20:35.857 --> 00:20:39.859]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:20:40.159 --> 00:20:41.380]  SilverLungs.com.
[00:20:41.560 --> 00:20:44.042]  You'll find no wild claims or pseudoscience.
[00:20:44.242 --> 00:20:47.043]  Just a lifetime of nano-sized pure silver solutions.
[00:20:47.224 --> 00:20:49.365]  The Silver Lungs Generator allows you to make your own.
[00:20:49.585 --> 00:20:51.346]  So stop paying for silver solutions.
[00:20:51.466 --> 00:20:56.829]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:20:57.050 --> 00:21:00.732]  See the Silver Lungs Generator and lung delivery system at SilverLungs.com.
[00:21:00.852 --> 00:21:02.353]  That's SilverLungs.com.
[00:21:03.054 --> 00:21:07.408]  Extend your life with ExtendoVite!
[00:21:08.399 --> 00:21:10.221]  So, Dad, you're sounding a lot better.
[00:21:10.241 --> 00:21:12.402]  How have you been feeling since your heart attack?
[00:21:12.643 --> 00:21:14.864]  Well, son, I am feeling a lot better.
[00:21:15.145 --> 00:21:19.488]  Ever since your sister ordered me a bottle of Heart Drop 2000's Xtendivite for my heart.
[00:21:19.949 --> 00:21:20.489]  Heart Drop?
[00:21:20.649 --> 00:21:21.270]  Xtendivite?
[00:21:21.530 --> 00:21:21.970]  What's that?
[00:21:22.411 --> 00:21:27.074]  Well, it's just seven herbs that are approved for helping keep my heart healthy.
[00:21:27.355 --> 00:21:28.155]  That's great, Dad.
[00:21:28.496 --> 00:21:29.556]  I was getting worried about you.
[00:21:29.977 --> 00:21:30.998]  I am so glad it's helping.
[00:21:31.398 --> 00:21:32.119]  So am I, son.
[00:21:32.659 --> 00:21:34.621]  I'm very glad your sister got it for me.
[00:21:35.181 --> 00:21:37.223]  I wish I had known about it before my heart attack.
[00:21:37.583 --> 00:21:39.183]  Yeah, but would you have taken it, though?
[00:21:39.903 --> 00:21:41.424]  You know, I'm not sure if I would have.
[00:21:42.064 --> 00:21:43.904]  But I'm awful glad I'm taking it now.
[00:21:44.624 --> 00:21:45.565]  To order, call 1-877-928-8822.
[00:21:45.585 --> 00:21:46.045]  That's 1-877-928-8822.
[00:21:46.085 --> 00:21:47.085]  Or visit our website at heartdrop.com.
[00:21:47.365 --> 00:21:48.945]  Extend your life with ExtendoVite.
[00:22:02.774 --> 00:22:09.198]  With new and ever-increasing health threats on the rise, there has never been a more crucial time to support your immune system.
[00:22:09.418 --> 00:22:24.067]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to be several hundred times more effective than colloidal or ionic silver, and is powerful enough to help protect you and your family from deadly viruses, bacterias, and fungus.
[00:22:24.428 --> 00:22:28.230]  Supernatural Silver is scientifically supported, highly effective,
[00:22:28.530 --> 00:22:31.894]  And perfect for everyday use inside the body as well as out.
[00:22:32.134 --> 00:22:35.938]  The Science Digest Journal says, Silver is our mightiest germ fighter.
[00:22:36.158 --> 00:22:40.022]  It is virtually non-toxic and is emerging as a wonder of modern science.
[00:22:40.302 --> 00:22:45.727]  Supernatural Silver is the number one choice of thousands for improved health and immune system support.
[00:22:45.988 --> 00:22:48.970]  Find out how Supernatural Silver can change your life.
[00:22:49.211 --> 00:22:51.273]  Go to SupernaturalSilver.com
[00:22:51.673 --> 00:22:57.178]  SupernaturalSilver.com and use the promo code silver 2014 for 20% off.
[00:22:57.438 --> 00:23:01.582]  Give yourself and your loved ones a fighting chance with Supernatural Silver.
[00:23:02.043 --> 00:23:04.585]  Hi folks, Alex Jones here with some important information.
[00:23:04.865 --> 00:23:06.607]  I want to tell you about Matt Redhawk.
[00:23:06.767 --> 00:23:06.967]  We're good.
[00:23:26.587 --> 00:23:32.291]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:23:32.531 --> 00:23:35.313]  It is rare to find companies who practice what they preach.
[00:23:35.693 --> 00:23:40.917]  And that's why I stock my pantry with high-quality, storable foods from My Patriot Supply.
[00:23:41.057 --> 00:23:49.202]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:23:49.242 --> 00:23:49.422]  That's 866-229-0927.
[00:23:56.987 --> 00:24:14.900]  We are being conquered by an ideology of tyranny.
[00:24:15.681 --> 00:24:24.387]  That is the spirit of our enemy that throughout history and every culture and every race has preyed upon the public.
[00:24:25.589 --> 00:24:33.493]  It is a mutated form of culture, a predatory system, where the establishment set themselves up like the Morlock, and we the Eloi of H.G.
[00:24:33.533 --> 00:24:38.075]  Wells' time machine, which is an allegory in his own words of how the world system actually works.
[00:24:38.415 --> 00:24:42.797]  He was a top Fabian socialist and bioethicist eugenicist.
[00:24:44.418 --> 00:24:46.679]  Now, continuing, ladies and gentlemen,
[00:24:48.038 --> 00:24:51.822]  Or simply put, an adherent of this system that governs our world.
[00:24:52.162 --> 00:24:59.029]  And it's time to eradicate normal human activity in a revolution against humanity.
[00:24:59.449 --> 00:25:01.251]  A final revolution in their own way.
[00:25:02.432 --> 00:25:03.173]  In their own words.
[00:25:04.314 --> 00:25:06.697]  Here are some of the headlines up on InfoWars.com.
[00:25:07.197 --> 00:25:09.539]  United Nations attacks Second Amendment.
[00:25:10.396 --> 00:25:12.378]  New Iraq law legalizes rape.
