[00:00:12.912 --> 00:00:16.494]  Well, it sounds like the perfect script for a horror movie.
[00:03:34.366 --> 00:03:39.950]  One will not likely catch the virus just by nearing someone who has it.
[00:03:40.170 --> 00:03:42.571]  In 1989, Ebola made its way to the U.S.
[00:03:43.452 --> 00:03:47.294]  This new strain of Ebola had shown the potential to spread through the air.
[00:03:48.158 --> 00:03:50.101]  They are now calling this a true pandemic.
[00:03:50.801 --> 00:03:53.605]  Five years on, still no cure.
[00:03:53.865 --> 00:04:00.693]  The Bill and Melinda Gates Foundation has given £31 million to help battle the Ebola epidemic in Africa.
[00:04:01.153 --> 00:04:06.719]  It is hoped it will also speed up the development of drugs and vaccines as Ebola has killed more than half of its 4,300 victims.
[00:04:09.612 --> 00:04:11.073]  First we've got population.
[00:04:11.474 --> 00:04:18.078]  Now if we do a really great job on new vaccines, health care, we could lower that by perhaps 10 or 15 percent.
[00:04:19.207 --> 00:04:26.349]  A preventative vaccine for the Ebola virus could be available as early as next year, as British pharma company GlaxoSmithKline.
[00:04:26.529 --> 00:04:40.673]  So you want to balance the need to get a potentially effective vaccine to the people who need it in a way that you can get some meaningful information as to A, whether it does work or not, and whether it does harm.
[00:04:41.013 --> 00:04:52.657]  A confidential GlaxoSmithKline document recently linked to the press exposed that within a two-year period, a total of 36 infants died after receiving the 6-in-1 vaccine of Infrix Hexa.
[00:04:52.917 --> 00:05:04.301]  UK pharmaceutical giant GlaxoSmithKline will plead guilty and pay a record-breaking US$3 billion to settle the largest case of healthcare fraud in US history.
[00:05:05.062 --> 00:05:06.222]  I'm going right out to get vaccinated.
[00:05:06.738 --> 00:05:12.922]  The vaccine uses a modified chimpanzee common cold virus to carry a single Ebola protein.
[00:05:13.102 --> 00:05:14.663]  We're ready to move on to the next phase.
[00:05:15.724 --> 00:05:16.264]  Does it work?
[00:05:16.785 --> 00:05:17.585]  Like we predicted.
[00:05:18.446 --> 00:05:19.867]  With one exception.
[00:05:20.167 --> 00:05:21.228]  We can't dawdle on this one.
[00:05:21.428 --> 00:05:29.213]  We have to move with force and make sure that we are catching this as best we can.
[00:05:29.493 --> 00:05:31.574]  Nearly two and a half thousand people have died.
[00:05:31.895 --> 00:05:33.396]  Thousands more have been infected.
[00:05:33.996 --> 00:05:35.857]  I made an international call for action.
[00:05:36.037 --> 00:05:38.418]  President Obama announced America's plan.
[00:05:38.518 --> 00:05:39.979]  Which will see 3,000 U.S.
[00:05:40.359 --> 00:05:42.020]  troops head to the region.
[00:05:42.040 --> 00:05:43.501]  3,000 U.S.
[00:05:43.541 --> 00:05:44.321]  military personnel.
[00:05:44.341 --> 00:05:45.102]  Compare that to Iraq.
[00:05:45.122 --> 00:05:46.683]  There are 1,600 U.S.
[00:05:46.703 --> 00:05:47.843]  military troops in Iraq right now.
[00:05:47.863 --> 00:05:49.164]  We're talking about 3,000 troops.
[00:05:49.224 --> 00:05:52.145]  The true goal of this project is power.
[00:05:52.786 --> 00:05:55.007]  Complete and total hegemonic domination.
[00:05:55.734 --> 00:06:07.726]  At the request of the Liberian government, we're going to establish a military command center in Liberia under the pretext of humanitarian aid and dominate and occupy Africa through AFRICOM.
[00:06:08.346 --> 00:06:12.510]  The security firm HaloCorp announced it will conduct a zombie apocalypse training exercise.
[00:06:14.099 --> 00:06:20.242]  Al-Faraji will join about 40 other ghoulish friends in the Third World Village, where they'll bring on the apocalypse.
[00:06:20.542 --> 00:06:26.845]  Strategic Operations has trained some 600,000 military and law enforcement members using this technique.
[00:06:27.125 --> 00:06:29.226]  We've got it down to a science, if you will.
[00:06:29.306 --> 00:06:30.707]  If there is such a thing, it's an art.
[00:06:31.187 --> 00:06:37.470]  It's a government-made virus, designed, manufactured to put us out of our misery.
[00:06:37.670 --> 00:06:38.751]  They euthanized us.
[00:06:39.631 --> 00:06:42.553]  Probably one of these numbers is going to have to get pretty near to zero.
[00:06:43.584 --> 00:06:46.766]  Now that's back from high school algebra, but let's take a look.
[00:06:46.786 --> 00:06:50.228]  If you are receiving this transmission, you are the resistance.
[00:07:12.878 --> 00:07:15.779]  This is Alex Jones for InfoWarsLife.com.
[00:07:15.959 --> 00:07:17.900]  The latest in preparedness is now here.
[00:07:18.100 --> 00:07:24.082]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:07:24.282 --> 00:07:29.264]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:07:29.364 --> 00:07:34.046]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[00:07:34.246 --> 00:07:38.748]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:07:39.048 --> 00:07:47.437]  The Infowars LifeSilver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:07:47.658 --> 00:07:49.600]  This is not a low-grade formula.
[00:07:49.800 --> 00:07:56.948]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver.
[00:07:57.128 --> 00:08:03.694]  Using electrical processes within a base of deionized water for your preparedness storage or your home kitchen.
[00:08:03.794 --> 00:08:18.626]  Purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com You'll find links to all of our content there and a free 15-day trial for Prison Planet TV.
[00:08:19.087 --> 00:08:23.791]  More than 60 movies and documentaries all in one place at InfoWars.com
