[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[00:04:59.979 --> 00:05:01.762]  That's coming up and a lot more.
[00:05:02.503 --> 00:05:04.546]  Wait to hear what Jeb Bush said about immigration.
[00:05:05.367 --> 00:05:05.867]  Stay with us.
[00:05:10.896 --> 00:05:14.818]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:05:14.878 --> 00:05:18.980]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:05:19.180 --> 00:05:22.561]  What are the health effects of having these drugs in our drinking water?
[00:05:22.801 --> 00:05:25.663]  It's forced medical treatment without the consent of residents.
[00:05:25.823 --> 00:05:33.086]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:05:33.326 --> 00:05:36.949]  On average, the county says it sprays with the glyphosate at least once a week.
[00:05:37.149 --> 00:05:40.111]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:06:03.166 --> 00:06:07.389]  On all ProPure systems at InfowarsStore.com or call toll free 888-253-3139.
[00:06:11.155 --> 00:06:15.138]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:06:15.218 --> 00:06:19.300]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:06:19.501 --> 00:06:22.903]  What are the health effects of having these drugs in our drinking water?
[00:06:23.123 --> 00:06:25.965]  It's forced medical treatment without the consent of residents.
[00:06:26.145 --> 00:06:33.410]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:06:33.630 --> 00:06:37.293]  On average, the county says it sprays with the glyphosate at least once a week.
[00:06:37.453 --> 00:06:40.435]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:07:03.750 --> 00:07:14.013]  Alex Jones here with a message to fellow freedom lovers.
[00:07:14.293 --> 00:07:19.134]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:07:19.314 --> 00:07:26.496]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:07:26.636 --> 00:07:32.041]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:07:32.261 --> 00:07:35.965]  These are items that I did research on, that I personally use.
[00:07:36.285 --> 00:07:40.809]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:07:41.009 --> 00:07:46.234]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:07:46.474 --> 00:07:49.556]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:07:49.696 --> 00:07:51.977]  When Disaster Strikes by Matthew Stein.
[00:07:52.217 --> 00:07:56.779]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:07:56.980 --> 00:07:59.421]  Hand crank shortwave AM FM radios.
[00:07:59.861 --> 00:08:06.905]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:08:07.065 --> 00:08:08.105]  We're getting prepared.
[00:08:08.346 --> 00:08:08.766]  Are you?
[00:08:09.006 --> 00:08:10.106]  Infowarshop.com
[00:08:28.886 --> 00:08:35.309]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:35.369 --> 00:08:36.930]  It's Alex Jones.
[00:08:46.334 --> 00:08:48.014]  Well, Mickey Rooney dead at 93.
[00:08:51.405 --> 00:08:55.907]  Rob Lowe has come out in the New York Times and said, I want the government out of almost everything.
[00:08:56.707 --> 00:08:58.768]  That is the sentiment across the world.
[00:08:58.808 --> 00:09:00.189]  Libertarianism is rising.
[00:09:00.769 --> 00:09:07.632]  At least people identifying as libertarians globally now is a majority in most countries, according to the Financial Times of London.
[00:09:09.033 --> 00:09:11.954]  But do people actually make those choices then in their lives?
[00:09:12.595 --> 00:09:15.236]  Let other people have freedom, even if you disagree with what they're doing.
[00:09:15.636 --> 00:09:17.057]  That's really what it's going to take to be free.
[00:09:18.191 --> 00:09:20.792]  And all of us are hypocrites to one extent or another.
[00:09:21.312 --> 00:09:28.116]  Again, ladies and gentlemen, thank you for joining us on this Monday, the seventh day of April 2014.
[00:09:28.976 --> 00:09:41.242]  Max Keiser is going to be popping in for 30 minutes, as he did last week for two hours, dealing with the breaking intel from an insider who witnessed it of insider trading on 9-11.
[00:09:42.242 --> 00:09:44.283]  That interview has now aired on RT.
[00:09:44.323 --> 00:09:50.506]  We're going to hear excerpts of it and have Max Keiser popping in at the start of the next hour.
[00:09:50.546 --> 00:09:52.207]  Then we will continue with your phone calls.
[00:09:52.627 --> 00:10:06.915]  Then Dr. John Liebert is going to be coming on for 30 minutes to give us his breakdown on what's happening at the VA and why we're seeing a massive increase, record increase, in mass suicides in the military.
[00:10:08.030 --> 00:10:14.732]  And he, of course, served as a flight surgeon in Vietnam and chief resident in psychiatry at Seattle VA Hospital.
[00:10:15.492 --> 00:10:18.593]  And he's done a lot more than just that since then.
[00:10:19.033 --> 00:10:25.434]  He's going to be joining us, Wounded Minds, Understanding and Solving the Growing Menace of Post-Traumatic Stress Disorder.
[00:10:25.914 --> 00:10:26.675]  This is a big deal.
[00:10:28.055 --> 00:10:31.716]  You know, I meant to shoot a video of it this weekend, but with my children at the beach,
[00:10:33.089 --> 00:10:34.009]  Spending some time with them.
[00:10:34.529 --> 00:10:35.750]  I just didn't get around to it.
[00:10:36.170 --> 00:10:46.093]  But we should probably send one of the reporter crews out to show all the flags at half-mast over four dead people, including the shooter at Fort Hood.
[00:10:47.373 --> 00:10:52.495]  And they seem to lower flags now anytime the media reports on a dead soldier.
[00:10:53.135 --> 00:10:56.896]  But when you get 22 soldiers committing suicide a day and growing,
[00:10:58.291 --> 00:11:07.333]  And being used like toilet paper in 5, 6, 7, 8, 9, 10 or more tours, which is like putting 5 million miles on a pair of tires, they will blow out.
[00:11:09.033 --> 00:11:11.814]  In 90 plus percent of the public, I mean, they are just shredding these people.
[00:11:12.934 --> 00:11:14.254]  And they say, oh, well, they volunteered.
[00:11:14.354 --> 00:11:19.796]  Actually, it's a scam in most cases where there's an automatic re-up and they force them back in.
[00:11:20.176 --> 00:11:21.196]  An automatic re-up.
[00:11:22.571 --> 00:11:31.637]  But the issue is that they can't get jobs once they get out in most cases, because of the economy and the rest of it, and a stigma against veterans, and so they're basically slaves.
[00:11:34.118 --> 00:11:42.604]  So, this is the type of garbage that we're facing, and there's a video up on InfoWars.com that is very, very important.
[00:11:44.588 --> 00:11:55.294]  Titled, Secret of Military Suicides Exposed, and it's the video slash audio report that I shot Friday that aired on the Sunday radio show when David Knight sat in for me.
[00:11:55.915 --> 00:12:03.579]  And it's a very, very important eight-minute video that boils everything down so people can understand the reason they're committing suicide has been solved.
[00:12:04.520 --> 00:12:07.481]  You make them serve too many tours in a questionable war.
[00:12:07.942 --> 00:12:13.585]  All the psychology shows that's bad for people's minds, even if it's one tour, and they later think the war was wrong or questionable.
[00:12:16.055 --> 00:12:22.459]  So you have them being used and abused, rode hard and put away wet over and over again.
[00:12:24.041 --> 00:12:30.885]  You have them trained to kill, and then you put them on a cocktail of drugs, even before they get out of the military.
[00:12:31.366 --> 00:12:33.087]  What do you expect is going to happen?
[00:12:33.327 --> 00:12:34.568]  Well, they want to wreck them.
[00:12:34.808 --> 00:12:35.849]  They want to ruin them.
[00:12:36.109 --> 00:12:42.794]  The globalists have stated that the military, retiring veterans, returning veterans, are the number one terror threat and the enemy.
[00:12:43.482 --> 00:12:45.082]  We first broke this six years ago.
[00:12:45.583 --> 00:12:58.726]  It was so incredible when we first got the secret documents from federal marshals and then confirmed them through state police, state versions, that Ron Paul, his office called me and said, is that really real, Mr. Jones?
[00:12:58.746 --> 00:13:01.507]  Because we know you're a credible person, but you're kidding.
[00:13:02.107 --> 00:13:04.447]  Returning veterans and Ron Paul are terrorists.
[00:13:05.628 --> 00:13:07.288]  And I said, listen, call the phone number on it.
[00:13:07.328 --> 00:13:08.488]  The FBI is going to flip out.
[00:13:08.928 --> 00:13:09.369]  It's real.
[00:13:10.429 --> 00:13:10.809]  It's real.
[00:13:13.462 --> 00:13:16.023]  And the FBI wanted to come to my house when I called them.
[00:13:17.003 --> 00:13:21.124]  The other reporters were intimidated at that time, you know, wouldn't call phone numbers on government documents.
[00:13:21.404 --> 00:13:21.704]  I do.
[00:13:21.724 --> 00:13:32.847]  And we got those documents a few weeks ago where they were saying that they're training to take on web dissent during martial law and to quote, take out constitutionalists to quote, against socialist tyranny.
[00:13:32.867 --> 00:13:33.628]  That's a close quote.
[00:13:35.208 --> 00:13:36.328]  Against socialist tyranny.
[00:13:36.829 --> 00:13:38.309]  And I, people said, is it real?
[00:13:38.349 --> 00:13:38.649]  Is it real?
[00:13:38.709 --> 00:13:39.729]  And I said, yeah, it looks real.
[00:13:40.089 --> 00:13:41.690]  Looks like ADL, Southern Poverty Law Center.
[00:13:42.898 --> 00:13:43.659]  Call the phone numbers.
[00:13:44.659 --> 00:13:49.623]  Oh, I just, I got in here, picked the phone up, started calling those phone numbers, and they were flipping out.
[00:13:50.303 --> 00:13:52.045]  Like, I ought to call those numbers back and record them.
[00:13:52.085 --> 00:13:52.745]  That's even better.
[00:13:53.766 --> 00:13:55.127]  Just to illustrate what's going on.
[00:13:55.167 --> 00:14:00.490]  The point is, people said veterans are the terror threat, and who Homeland Security's for?
[00:14:00.611 --> 00:14:01.551]  Of course you are.
[00:14:01.851 --> 00:14:03.853]  It's a criminal foreign takeover.
[00:14:06.769 --> 00:14:11.371]  Just like in Nazi Germany, just like anywhere else, you get special interests that take over, it's happening here.
[00:14:11.731 --> 00:14:16.694]  And admitting how much trouble we're in is the only hope we have of reversing this.
[00:14:18.235 --> 00:14:29.020]  Now the good news is, in popular culture across the board, whether it's Man of Steel or the new Captain America, it's about secret government groups staging false flag terror to bring in martial law.
[00:14:30.293 --> 00:14:31.213]  It's about eugenics.
[00:14:31.293 --> 00:14:32.054]  It's about tyranny.
[00:14:32.394 --> 00:14:34.675]  It's about being dishonorable and how horrible that is.
[00:14:35.655 --> 00:14:38.396]  I see more and more positive movies out of Hollywood.
[00:14:38.737 --> 00:14:39.557]  Movies like Up.
[00:14:41.038 --> 00:14:44.219]  More and more I see horrible anti-human garbage out of television.
[00:14:45.458 --> 00:14:47.499]  It's run by the old commanders of Hollywood.
[00:14:47.979 --> 00:14:49.359]  That's where the real money's at, by the way.
[00:14:50.020 --> 00:14:53.201]  They can make a hundred million dollars a year profit off one hit TV show or more.
[00:14:53.221 --> 00:14:57.662]  In fact, some of them made a hundred million in a month, like Seinfeld made almost a hundred million in one month.
[00:14:57.982 --> 00:14:58.623]  It's last season.
[00:14:58.983 --> 00:14:59.943]  And then into syndication.
[00:15:00.183 --> 00:15:04.665]  The point is, is that the old guard is absolutely human exterminus pure evil.
[00:15:05.445 --> 00:15:13.488]  But there is a total rebellion across Hollywood that I keep telling you about that is indicative of what's about to happen when Sumner Redstone and others die.
[00:15:14.568 --> 00:15:23.033]  That almost everyone in Hollywood, and I mean lawyers, producers, I mean even people that are 55, 60 years old, you'd think they'd be in control?
[00:15:23.433 --> 00:15:27.856]  No, they're under the control of 85, 95 year old men, and they absolutely hate it.
[00:15:28.436 --> 00:15:40.624]  And it is cult level on fire, I mean that in a good way, like, you know, fans of cult this, cult that, like cult film, cult cinema, like Road Warrior is a cult classic.
[00:15:42.233 --> 00:15:44.934]  Liberty is on fire in Hollywood.
[00:15:47.576 --> 00:15:53.558]  I know almost no one in Hollywood, I know a lot of people, who isn't a closet anti-New World Order conspiracy theorist.
[00:15:53.818 --> 00:15:56.740]  That just means you question the official narrative of the establishment.
[00:15:58.060 --> 00:16:02.503]  Rob Lowe has come out and said, quote, I want the government out of almost everything, close quote.
[00:16:03.583 --> 00:16:06.865]  And says he's sick of the entire rotten system and it's totally corrupt and going down.
[00:16:08.765 --> 00:16:09.726]  You see what I'm talking about?
[00:16:10.899 --> 00:16:13.020]  Bruce Willis has said the same thing in Vanity Fair.
[00:16:13.240 --> 00:16:14.280]  I could go on for hours.
[00:16:15.620 --> 00:16:17.781]  And my point is, people say, well, why do we care about Hollywood?
[00:16:17.861 --> 00:16:26.123]  It's been the cultural dominant system to make people comply and say, I'm anti-gun, I'm anti-family, I'm a liberal.
[00:16:26.563 --> 00:16:27.944]  That's not liberal, that's authoritarian.
[00:16:28.304 --> 00:16:31.085]  That whole system is coming down.
[00:16:31.365 --> 00:16:33.725]  And don't think the power structure doesn't know it.
[00:16:35.306 --> 00:16:39.627]  There's probably six or seven guys that run Hollywood up at the top of the big production companies.
[00:16:40.763 --> 00:16:46.369]  And when anybody puts out any type of message of liberty, they call them up and threaten them and threaten to blackball them.
[00:16:46.669 --> 00:16:47.470]  Happened to Mark Cuban.
[00:16:47.610 --> 00:16:48.130]  I witnessed it.
[00:16:48.150 --> 00:16:49.732]  Later came out in the New York Times.
[00:16:52.254 --> 00:16:54.376]  And the reason I get back to this Hollywood thing is...
[00:16:55.765 --> 00:16:58.366]  The whole house of cards is coming down.
[00:16:58.486 --> 00:17:01.028]  That's why the system wants to bring in authoritarianism.
[00:17:01.488 --> 00:17:04.589]  Ninety percent of warfare is psychological.
[00:17:04.929 --> 00:17:07.150]  Hollywood is the tip of the spear for the New World Order.
[00:17:07.691 --> 00:17:10.692]  And if they lose their own people, it's over.
[00:17:11.793 --> 00:17:19.016]  That's why they want to just skip all that, bring in authoritarianism now, where they can actually disappear you or arrest you.
[00:17:19.316 --> 00:17:21.157]  Because threatening everyone doesn't work anymore.
[00:17:21.357 --> 00:17:22.458]  Because what happens when
[00:17:23.991 --> 00:17:26.153]  Everybody starts speaking out.
[00:17:27.694 --> 00:17:30.637]  What happens when no one's intimidated anymore?
[00:17:30.677 --> 00:17:32.018]  You can't stop everybody.
[00:17:32.899 --> 00:17:34.500]  Unless you already had a total tyranny in.
[00:17:34.800 --> 00:17:36.882]  So we're in a race to the finish line with the tyrants.
[00:17:36.902 --> 00:17:37.903]  I mean, I'll give you an example.
[00:17:38.263 --> 00:17:43.487]  Willie Nelson about eight years ago came to one of my film premieres for Endgame and showed up and came around the counter.
[00:17:43.548 --> 00:17:47.291]  I was signing DVDs afterwards and, you know, hey, give me your number.
[00:17:47.331 --> 00:17:48.111]  I'm going to call you.
[00:17:48.191 --> 00:17:49.152]  I really like what you do.
[00:17:49.493 --> 00:17:50.934]  I listen to your show almost every day.
[00:17:52.571 --> 00:17:53.852]  And I'm like, well, thank you, Willie.
[00:17:53.892 --> 00:17:55.292]  I heard you were here and didn't believe it.
[00:17:56.413 --> 00:17:57.414]  And then he left.
[00:17:58.254 --> 00:18:03.557]  So I got to know Willie Nelson, started playing chess with him, hanging out with him, you know, here and there, eating dinner here and there.
[00:18:04.657 --> 00:18:06.278]  And people started death-threatening him.
[00:18:06.698 --> 00:18:15.163]  We're going to kill you if you don't say you're... He started saying he was pro-gun, that 9-11 was an inside job, that eugenics was the threat.
[00:18:17.204 --> 00:18:19.725]  And he was about 72 years old then.
[00:18:19.745 --> 00:18:19.885]  He's 80.
[00:18:20.326 --> 00:18:20.706]  He wasn't
[00:18:21.784 --> 00:18:22.885]  He was still super sharp.
[00:18:23.666 --> 00:18:25.208]  He's still somewhat sharp, but not at 80.
[00:18:26.410 --> 00:18:27.471]  And not as sharp as he used to be.
[00:18:27.491 --> 00:18:28.572]  The point is, I mean, who would be?
[00:18:29.193 --> 00:18:39.125]  The point is, is that, I mean, I watched that where they literally death-threaded him, and then he had Ventura and I to speak at some deal, and
[00:18:40.100 --> 00:18:41.601]  They were threatening to blow the place up.
[00:18:41.641 --> 00:18:42.562]  Nobody ever even knew about this.
[00:18:42.602 --> 00:18:43.323]  I didn't talk about it.
[00:18:44.003 --> 00:18:45.824]  And he said, OK, you guys can still speak.
[00:18:45.844 --> 00:18:46.965]  Ventura said, we don't care.
[00:18:46.985 --> 00:18:47.966]  Go have a good time, Willie.
[00:18:48.226 --> 00:18:53.210]  We're here to watch the show, as if Ventura cares about speaking to 4,000, 5,000 people, as if I care.
[00:18:53.230 --> 00:18:55.452]  I can go flip a switch and talk to 3 million every day.
[00:18:56.433 --> 00:18:59.875]  But the issue is, is that's the type of stuff that goes on.
[00:19:00.156 --> 00:19:03.438]  The establishment is there trying to keep everybody on the reservation.
[00:19:03.778 --> 00:19:05.179]  And there is a major pushback.
[00:19:05.440 --> 00:19:07.081]  Where do you think the biggest pushback is going to be?
[00:19:07.381 --> 00:19:08.122]  Inside Hollywood.
[00:19:09.107 --> 00:19:11.128]  People are sick of it.
[00:19:12.429 --> 00:19:20.532]  The Republican Tea Party is sick of the Republican leadership trying to prop up Obamacare and trying to prop up open borders and trying to prop up gun control.
[00:19:20.892 --> 00:19:24.654]  It's an establishment working together to suppress real change.
[00:19:25.094 --> 00:19:34.719]  And we ever shatter that with the incredible allure, the sexiness of freedom, true freedom, true Americana, it's over.
[00:19:35.139 --> 00:19:37.200]  People are buying what we're selling, freedom.
[00:19:38.476 --> 00:19:41.457]  People are not buying what the establishment is selling.
[00:19:41.717 --> 00:19:45.499]  They're a bunch of gangster bullies, intimidating everyone.
[00:19:45.659 --> 00:19:59.065]  And then your local talk show hosts and local reporters, they all comply with whatever the party line is, because the word's out, you do what the establishment says, you repeat what the national talk show host says, and you'll go far in life.
[00:19:59.745 --> 00:20:00.666]  No, you'll go nowhere.
[00:20:01.741 --> 00:20:07.490]  So there's a total revolution in understanding happening right now, and the battle is joined.
[00:20:07.510 --> 00:20:09.553]  We're gonna come right back with big breaking news on Obamacare.
[00:20:10.976 --> 00:20:19.662]  With the globalists making more and more advances into our freedoms every day, and ruining our healthcare system, it's important to be able to take back control of our own personal healthcare.
[00:20:19.762 --> 00:20:22.644]  Colloidal Silver Water even fights against the new designer bugs.
[00:20:22.984 --> 00:20:26.086]  The best price is found anywhere, along with the highest quality.
[00:20:26.246 --> 00:20:29.888]  That's why you'll love Silver Creams and Water from ColloidalResearch.com.
[00:20:30.168 --> 00:20:34.991]  Silver's been used for thousands of years to fight against germs and bacteria, because it works.
[00:20:35.372 --> 00:20:37.933]  Check it out for yourself at ColloidalResearch.com.
[00:20:38.093 --> 00:20:39.614]  That's ColloidalResearch.com.
[00:20:41.171 --> 00:20:44.374]  How can you save a ton of money and prepare for emergencies?
[00:20:44.774 --> 00:20:47.676]  By having your own in-home freeze dryer from Harvest Rite!
[00:20:47.996 --> 00:20:51.639]  Now you can cut down on wasted food by freeze drying your leftovers!
[00:20:51.999 --> 00:20:52.560]  That's right!
[00:20:52.720 --> 00:21:00.826]  Create your own long-term food storage by freeze drying your own fruits, meats, vegetables, even complete meals with the Harvest Rite in-home freeze dryer!
[00:21:01.206 --> 00:21:03.608]  Imagine the savings and the peace of mind!
[00:21:03.968 --> 00:21:08.552]  See how the amazing Harvest Rite freeze dryer works at HarvestRite.com
[00:21:14.446 --> 00:21:16.087]  Curious about what comes next?
[00:21:16.868 --> 00:21:23.073]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[00:21:23.553 --> 00:21:26.596]  Fool the bad guys with a new improved fake TV.
[00:21:26.936 --> 00:21:33.201]  You asked for it, we listened, and we made our new fake TV three times brighter than our previous model.
[00:21:33.421 --> 00:21:36.764]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[00:21:37.484 --> 00:21:42.265]  It simulates the color and motion of a real TV while you're away from home.
[00:21:42.806 --> 00:21:48.927]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[00:21:49.267 --> 00:21:53.689]  The new, brighter Fake TV is only $39.95 and includes free shipping.
[00:21:54.089 --> 00:21:56.689]  Go to faketv.com or call 1-877-5-FAKE-TV.
[00:21:56.709 --> 00:21:56.969]  That's 877-532-5388.
[00:21:56.989 --> 00:21:57.610]  Or go to faketv.com.
[00:22:06.313 --> 00:22:07.177]  Fake TV.
[00:22:07.579 --> 00:22:08.765]  The Burglar Deterrent.
[00:22:10.307 --> 00:22:10.687]  Hi there.
[00:22:11.288 --> 00:22:12.348]  My name is Frank Bates.
[00:22:12.829 --> 00:22:16.031]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:22:16.631 --> 00:22:25.437]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:22:25.797 --> 00:22:31.821]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:22:32.502 --> 00:22:34.083]  Some have called this a conspiracy.
[00:22:34.683 --> 00:22:39.787]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:22:40.487 --> 00:22:47.591]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:22:48.451 --> 00:22:53.354]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:22:54.014 --> 00:22:59.897]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:23:00.518 --> 00:23:05.860]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:23:06.241 --> 00:23:07.401]  Again, that's 123coverup.com.
[00:23:09.292 --> 00:23:10.933]  Introducing Pro-1.
[00:23:11.193 --> 00:23:14.694]  All of your filtration in one system, portable, on-the-go.
[00:23:14.834 --> 00:23:19.255]  No more do you have two or three filters to just reduce sodium fluoride.
[00:23:19.395 --> 00:23:25.377]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:23:25.497 --> 00:23:36.260]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:23:36.460 --> 00:23:42.803]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code WATER.
[00:23:42.963 --> 00:23:59.911]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:24:00.271 --> 00:24:05.596]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:24:22.554 --> 00:24:24.315]  That's Johnny Cash bringing us in.
[00:24:24.395 --> 00:24:25.976]  Don't send your kin folks.
[00:24:26.136 --> 00:24:26.636]  I'll be gone.
[00:24:26.656 --> 00:24:27.517]  Money through Friday.
[00:24:48.812 --> 00:24:49.433]  From 11 a.m.
[00:24:49.513 --> 00:24:50.373]  to 2 p.m., we're here.
[00:24:50.834 --> 00:24:53.616]  By the way, we have a scheduling issue with Kaiser.
[00:24:53.656 --> 00:24:55.317]  He's coming on later in the week with that breaking news.
[00:24:55.337 --> 00:24:57.699]  So we're just going to have that one guest on.
[00:24:58.540 --> 00:25:05.005]  Army psychiatrist who headed up major bases to break down the inside scoop on the increase in suicides.
[00:25:05.025 --> 00:25:07.227]  So we'll have a lot of time to take calls today.
[00:25:08.988 --> 00:25:10.289]  First off, Jeb Bush.
[00:25:10.369 --> 00:25:12.611]  Illegal immigration, an act of love.
[00:25:13.151 --> 00:25:15.693]  Yes, they broke the law, but it's not a felony.
[00:25:16.465 --> 00:25:18.767]  And they did it to get back with their family.
