[00:00:00.229 --> 00:00:00.590]  Call 888-253-3139.
[00:04:09.002 --> 00:04:09.042]  No.
[00:04:25.720 --> 00:04:27.001]  Connections with Obama.
[00:04:27.381 --> 00:04:29.904]  Jeffrey Immelt is perhaps his favorite CEO.
[00:04:30.104 --> 00:04:34.227]  The guy that he continually goes to to talk about jobs and the way things should be run.
[00:04:34.748 --> 00:04:39.792]  He gets a pass on taxes and he seems to get a pass on dangerous devices from the FDA.
[00:04:40.052 --> 00:04:46.858]  And when somebody who is a respected radiologist complains about this, the FDA uses NSA type of tactics to come after him.
[00:04:47.198 --> 00:04:49.861]  So we're going to be talking to Kathleen Willey, live on the phone.
[00:04:49.881 --> 00:04:51.822]  We're going to also be taking your calls.
[00:04:52.644 --> 00:04:54.329]  Stay tuned, we've got an interesting show.
[00:04:54.409 --> 00:04:57.921]  The Ukraine, the FDA, the Clintons, all coming up.
[00:04:58.001 --> 00:04:58.422]  Stay tuned.
[00:05:14.221 --> 00:05:23.228]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[00:05:23.308 --> 00:05:31.535]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:31.715 --> 00:05:36.379]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:05:36.579 --> 00:05:43.304]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfoWarsLife.com.
[00:05:43.364 --> 00:05:50.469]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:05:50.549 --> 00:05:57.414]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:05:57.574 --> 00:05:58.856]  Brought by the site today.
[00:05:59.056 --> 00:06:01.919]  Order a bag or two and I don't think you're going to be disappointed.
[00:06:02.059 --> 00:06:05.303]  Available in original or with our immune support infusion blend.
[00:06:05.443 --> 00:06:07.105]  You will be supporting a free press.
[00:06:07.325 --> 00:06:11.590]  All the while enjoying a truly great tasting cup of my favorite coffee.
[00:06:11.750 --> 00:06:13.933]  Available at InfoWarsLife.com
[00:06:14.213 --> 00:06:17.436]  Globalist social engineers are not just targeting us with propaganda.
[00:06:17.536 --> 00:06:19.777]  They are manipulating our genetics.
[00:06:19.958 --> 00:06:28.264]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:06:28.564 --> 00:06:43.876]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula sourced from powerful organic herbs and then concentrated for maximum
[00:06:44.316 --> 00:06:44.596]  I'm good.
[00:07:14.329 --> 00:07:24.696]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:07:25.016 --> 00:07:26.877]  Guess what else is in the halogen family?
[00:07:27.078 --> 00:07:27.758]  Fluoride!
[00:07:27.958 --> 00:07:30.240]  Ladies and gentlemen, Alex Jones here.
[00:07:30.380 --> 00:07:36.204]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:07:36.464 --> 00:07:41.247]  It's the good halogen on the periodic table, and the results are on record.
[00:07:41.367 --> 00:07:44.089]  Reports documented a 15-point IQ increase.
[00:07:44.409 --> 00:07:44.909]  We're good.
[00:08:31.554 --> 00:08:36.056]  Live from the InfoWars.com studios, it's Alex Jones.
[00:08:40.118 --> 00:08:41.679]  Welcome back to the Alex Jones Show.
[00:08:41.719 --> 00:08:45.541]  I'm David Knight, filling in for Alex, and we've got an exciting show today.
[00:08:45.561 --> 00:08:54.566]  We're going to be joined by Paul Joseph Watson, talking about what's going on in the Ukraine, as well as parental rights that are being challenged in the UK.
[00:08:54.606 --> 00:09:00.569]  We've also got Anthony Gucciardi that's going to be coming on and talking to us about different things that are happening with the FDA.
[00:09:01.249 --> 00:09:06.152]  We see a power grab going on with not just the FDA, but also with the FCC.
[00:09:06.212 --> 00:09:07.753]  We're going to be talking about that as well.
[00:09:08.394 --> 00:09:10.175]  And we have Kathleen Willey.
[00:09:10.716 --> 00:09:21.883]  Now, she was one of the ladies who accused Bill Clinton of sexual harassment, and she and the rest of them were vilified by the feminists, by the supporters of Bill Clinton, and by Hillary Clinton.
[00:09:22.363 --> 00:09:29.809]  One of the things that Kathleen Willey said about Hillary Clinton is, she's orchestrated a terror campaign against every one of these women, including me.
[00:09:30.569 --> 00:09:32.514]  Well, we're going to have her in the third hour.
[00:09:32.574 --> 00:09:36.583]  She's going to be talking to us about what she's experienced, what she thinks about the Clintons.
[00:09:36.603 --> 00:09:39.650]  I think we kind of know, but we're going to fill in some details there.
[00:09:40.947 --> 00:09:44.168]  But look at what is happening in the Ukraine.
[00:09:44.188 --> 00:09:49.571]  We've got Kerry telling Russia, you can't just invade a country on false pretenses.
[00:09:49.591 --> 00:09:52.692]  This is a story that's up on Infowars.com right now.
[00:09:52.732 --> 00:09:54.473]  This is from Lew Rockwell's blog.
[00:09:55.233 --> 00:09:56.394]  Does he see the irony in that?
[00:09:57.194 --> 00:09:59.515]  You can't just invade a country on false pretenses.
[00:10:00.035 --> 00:10:07.699]  Wasn't that the major policy thrust of the Obama administration all last year, trying to invade Syria on a false pretense?
[00:10:08.599 --> 00:10:12.921]  And this article points out that in Kiev, the demonstrators are called people power.
[00:10:13.701 --> 00:10:18.744]  But in other cities, like Donetsk and Sebastopol, they're called armed gunmen.
[00:10:18.784 --> 00:10:19.704]  Do you see how that works?
[00:10:20.644 --> 00:10:35.571]  If they're fighting for the American government in Syria, Al-Qaeda is called freedom fighters and liberators, but then of course they use that to scare us into giving up our liberties that are guaranteed in the Constitution, and many Americans go along with it.
[00:10:36.124 --> 00:10:37.484]  A lot of people are waking up to that.
[00:10:37.564 --> 00:10:50.529]  Even Rachel Maddow last week was talking about how the FBI's had 150 shooting incidents and they have investigated them themselves and found that in every one of these they were absolutely innocent of any wrongdoing.
[00:10:50.569 --> 00:10:51.669]  That's a pretty good record, isn't it?
[00:10:52.691 --> 00:11:07.206]  Even Rachel Maddow found that hard to believe, just as she also found it hard to believe that Ibrahim Tordashev, someone who knew the Tsarnaev brothers, was picked up by the FBI for questioning, shot six times, and then once in the back of the head for good measure.
[00:11:07.226 --> 00:11:12.812]  You know, that's not unrelated to what's going on in the Ukraine right now.
[00:11:13.632 --> 00:11:29.178]  We told you at the time that there was a lot of red flags back and forth about the Tsarnaev brothers, their involvement in Chechnyan terrorists that had historically been run by the CIA and were possibly being still run by them at the time that the Tsarnaev brothers were going back and forth.
[00:11:29.858 --> 00:11:34.020]  Russia noticed that this was happening and sent some inquiries to the U.S.
[00:11:34.160 --> 00:11:38.282]  saying, do you guys know that these guys are affiliated with terrorists here in Chechnya?
[00:11:39.341 --> 00:11:44.267]  As a way, I think, really more than anything of letting them know, we know that you're sending these guys back and forth.
[00:11:44.327 --> 00:11:56.842]  And of course, Uncle Ruslan, who helped to forward the narrative of the false flag that was going with the Boston bombing, Uncle Ruslan was married to the daughter of the CIA head in that region.
[00:11:57.938 --> 00:12:09.633]  So there was a lot of going back and forth with Chechen terrorists and we even see now people in the West are calling on the Chechen Osama Bin Laden to get involved in the Ukraine to do something.
[00:12:09.653 --> 00:12:11.435]  They're inciting him to try to riot.
[00:12:11.936 --> 00:12:14.379]  I think it's interesting that when all of this stuff started happening
[00:12:15.160 --> 00:12:17.922]  That Russia leaked to the press here in the U.S.
[00:12:17.982 --> 00:12:25.649]  the fact that these Sarnia brothers had been going back and forth and that they were linked to CIA-supported terrorists in the Russian area.
[00:12:26.269 --> 00:12:34.456]  I think that was a way of essentially throwing a shot across the bow of the CIA as well as also criticizing the CIA.
[00:12:34.476 --> 00:12:36.738]  You know, Russia's got its own agenda.
[00:12:37.751 --> 00:12:39.511]  Outlets like RT have their own agenda.
[00:12:39.552 --> 00:12:43.112]  You can trust them to tell the truth about what's going on in the US.
[00:12:43.393 --> 00:12:46.313]  You can't necessarily trust them to tell you the truth about what's going on in Russia.
[00:12:46.333 --> 00:12:53.195]  They're going to sugarcoat it, just like CNN sugarcoats what Obama does, but they might point out the corruption that's going on in the Ukraine.
[00:12:53.735 --> 00:12:55.376]  We try to point out both sides of that.
[00:12:55.436 --> 00:12:56.716]  We don't have a dog in this pony.
[00:12:56.776 --> 00:12:58.377]  We don't work for either one of these governments.
[00:12:58.397 --> 00:12:59.437]  We're not like CNN.
[00:12:59.457 --> 00:13:00.577]  We're not like RT.
[00:13:01.177 --> 00:13:07.299]  And so we're going to try to tell you what we see as honestly as we can, but it's very difficult to understand what's going on there.
[00:13:08.592 --> 00:13:10.773]  Putin is saying that he's not going to stop at the Crimea.
[00:13:10.813 --> 00:13:13.894]  This is another article that's up on Infowars today.
[00:13:13.914 --> 00:13:15.055]  It's from CNS News.
[00:13:16.035 --> 00:13:23.819]  You know, he was threatened when he didn't play along with our agenda, I should say, the Obama regime's agenda in Syria.
[00:13:23.859 --> 00:13:29.862]  He was threatened that something might happen during the Olympics that Prince Bandar said he might not be able to control.
[00:13:30.162 --> 00:13:35.745]  He could guarantee that nothing would happen with terrorists, according to a Muslim news agency that reported this.
[00:13:36.545 --> 00:13:41.309]  That's the only source we have for that story, but supposedly he was threatened about that.
[00:13:41.349 --> 00:13:47.535]  Well, what actually happened was we saw this revolution going on right at the doorstep of Russia.
[00:13:47.935 --> 00:13:51.479]  Many would argue that Ukraine is really actually a part of Russia.
[00:13:51.499 --> 00:13:53.060]  They see themselves differently.
[00:13:53.761 --> 00:13:54.701]  We have to remember that
[00:13:55.722 --> 00:14:00.223]  That the UK has been fighting against even old imperial czarist Russia.
[00:14:00.783 --> 00:14:01.843]  Remember the Crimean War?
[00:14:01.863 --> 00:14:08.445]  Remember the charge of the light brigades, half a league, half a league onward, you know, into the Valley of Death Road, the, what was it, 500?
[00:14:08.485 --> 00:14:09.785]  I don't remember the poem exactly.
[00:14:10.385 --> 00:14:11.605]  That was the Crimean War.
[00:14:11.845 --> 00:14:13.586]  We had a lot of metaphors that came out of that.
[00:14:13.826 --> 00:14:18.707]  That was the British Empire attacking the Russian czars over the Crimea.
[00:14:19.207 --> 00:14:23.728]  The Crimea is very important to Russia strategically, militarily, economically,
[00:14:24.588 --> 00:14:31.613]  It's not something that NATO and the US can just come in and make demands about without expecting to see something happening there.
[00:14:31.633 --> 00:14:37.998]  So what we're seeing is a brinksmanship that really kind of borders on what we saw with the Cuban Missile Crisis.
[00:14:38.618 --> 00:14:40.479]  Very troubling to see what's happening with this.
[00:14:40.499 --> 00:14:44.642]  This is a very dangerous game that John Kerry and Obama are playing.
[00:14:45.063 --> 00:14:48.745]  We're going to be talking to Paul Joseph Watson about this in more detail at the bottom of the hour.
[00:14:48.785 --> 00:14:51.727]  I just want to run through some of the news stories that have come out over the weekend.
[00:14:52.808 --> 00:14:55.270]  Had a real personal effect for me.
[00:14:55.290 --> 00:15:01.575]  At least 28 dead, 109 injured after a gang of knife-wielding men attack a train station in China.
[00:15:01.595 --> 00:15:04.497]  This is one that was picked up from the Daily Mail in the UK.
[00:15:05.218 --> 00:15:06.659]  We had it on InfoWars this weekend.
[00:15:07.912 --> 00:15:15.737]  When I went to China with my family to adopt my daughter, we made the mistake of trying to travel internally in the country on a train.
[00:15:16.137 --> 00:15:22.521]  We were concerned about the, we'd heard a lot of tales about the very small planes, the puddle jumpers that went internally between the different cities.
[00:15:23.866 --> 00:15:37.573]  And although the train service going between Guangzhou and Hong Kong is the finest that you'll see in the world, it's the equivalent of the best trains in Europe, the trains going within the country is a very different story.
[00:15:37.913 --> 00:15:44.097]  And when we decided that we wanted to take the train, they tried everything they could at the adoption agency to talk us out of it.
[00:15:44.357 --> 00:15:46.318]  But we were dead set that we really didn't want to fly.
[00:15:46.398 --> 00:15:47.919]  So we took this train
[00:15:49.417 --> 00:15:54.562]  They actually bought tickets so they could escort us physically onto the train.
[00:15:54.602 --> 00:15:56.343]  They bought tickets to go where we were going.
[00:15:56.664 --> 00:15:59.306]  They were so concerned about safety at the train station.
[00:15:59.707 --> 00:16:00.567]  And when we got there...
[00:16:01.442 --> 00:16:05.384]  There was this large loudspeaker that was broadcasting stuff in Chinese.
[00:16:05.684 --> 00:16:06.645]  A mass of people.
[00:16:06.685 --> 00:16:13.228]  You just cannot imagine how many people you see on the streets, especially someplace like a train station in China.
[00:16:13.948 --> 00:16:16.329]  And they were broadcasting on this loudspeaker.
[00:16:16.390 --> 00:16:18.030]  It was a blue and white thing.
[00:16:18.050 --> 00:16:19.211]  We could tell it was the police.
[00:16:19.491 --> 00:16:22.513]  And we asked our translator what they were saying.
[00:16:23.213 --> 00:16:26.555]  And they said, well, they're telling us how many people were killed here last week.
[00:16:27.595 --> 00:16:28.475]  And I said, wow.
[00:16:28.515 --> 00:16:29.816]  I said, I don't see any police.
[00:16:29.836 --> 00:16:30.556]  They go, oh, no, no, no.
[00:16:30.596 --> 00:16:32.157]  The police are too afraid to come here.
[00:16:33.037 --> 00:16:36.259]  They just broadcast messages warning you how dangerous this place is.
[00:16:36.299 --> 00:16:38.019]  So they escorted us onto the train.
[00:16:38.539 --> 00:16:42.041]  But this is an example of how government fails.
[00:16:42.141 --> 00:16:48.243]  When government is no longer concerned to protect the people, it just continues to get worse and worse and worse.
[00:16:48.583 --> 00:16:52.305]  We've seen this for a very long time in America, where the police make it very clear
[00:16:52.625 --> 00:16:57.230]  Courts have made it very clear that they're not there to provide security to you, or protection.
[00:16:57.511 --> 00:16:59.273]  They're there to enforce policies.
[00:16:59.653 --> 00:17:02.296]  This is the logical end of where this all happens.
[00:17:02.336 --> 00:17:11.046]  And of course, the people there in China are disarmed, and so if you've got a bunch of knife-wielding thugs coming through, it's a question of strength.
[00:17:11.386 --> 00:17:12.988]  It's a question of who's got the knives.
[00:17:14.190 --> 00:17:17.171]  Guns are an equalizing factor for the population.
[00:17:17.671 --> 00:17:23.274]  We've seen some police chiefs, like this one police chief who is now the police chief in Detroit.
[00:17:23.474 --> 00:17:24.474]  He came to this conclusion.
[00:17:24.514 --> 00:17:26.275]  He was a police officer in California.
[00:17:26.315 --> 00:17:27.455]  He was all for gun control.
[00:17:27.955 --> 00:17:33.958]  He got converted when he went to Maine and saw that he had a lot of farmers that were licensed to carry guns, that had guns.
[00:17:35.018 --> 00:17:37.260]  They were widely used, very low crime.
[00:17:37.300 --> 00:17:41.204]  He saw the sense of that and now he sees the sense of it in Detroit.
[00:17:41.785 --> 00:17:52.976]  And then we had this case just a week or two ago where a lady whose house is broken into many times fought off some attackers who were trying to do a home invasion into her house.
[00:17:53.356 --> 00:17:54.777]  She fought them off with a gun.
[00:17:55.518 --> 00:17:56.458]  It's the equalizer.
[00:17:56.619 --> 00:18:02.942]  The gun is an equalizer for someone who is a female, someone who is weaker than someone else, someone who doesn't know martial arts.
[00:18:02.962 --> 00:18:04.362]  It's a way that you can equalize it.
[00:18:04.382 --> 00:18:05.523]  It's a very important thing.
[00:18:05.563 --> 00:18:07.284]  It's one of the reasons we need to have it.
[00:18:07.684 --> 00:18:11.466]  Another reason we need to have it is so that we don't have a tyrannical government.
[00:18:12.006 --> 00:18:14.107]  I don't know if you're a Prison Planet TV subscriber.
[00:18:14.147 --> 00:18:15.087]  If you aren't, you ought to be.
[00:18:15.547 --> 00:18:18.149]  Last week, I talked to the Ukraine
[00:18:19.150 --> 00:18:23.174]  Right to Keep and Bear Arms Foundation, actually it's a Ukrainian Gun Owners Association.
[00:18:23.615 --> 00:18:32.784]  I talked to him and the quote that stuck out the most for me from that interview was he said, if you lose your guns in America, you will wind up like the Ukraine.
[00:18:33.425 --> 00:18:34.065]  That's right, you're going to be
[00:18:35.086 --> 00:18:39.089]  Stuck between oligarchs and globalist bankers.
[00:18:39.189 --> 00:18:41.990]  And you're not going to know who the players are.
[00:18:42.030 --> 00:18:43.671]  You're just going to have endless corruption.
[00:18:44.152 --> 00:18:44.872]  Nothing will happen.
[00:18:44.912 --> 00:18:46.513]  The government will not be afraid of you.
[00:18:46.933 --> 00:18:48.534]  That's the situation that's in the Ukraine.
[00:18:49.115 --> 00:18:51.096]  The people took to the streets about the corruption.
[00:18:51.676 --> 00:19:05.503]  Of course, there's other elements that are being involved there, and we know that there's a Western influence there that's trying to undermine and trying to create tension, and of course there's a lot of things that the military-industrial complex would like to see come out of this.
[00:19:05.583 --> 00:19:06.543]  Maybe they don't want a war.
[00:19:06.583 --> 00:19:07.544]  Maybe they just want another
[00:19:08.004 --> 00:19:15.714]  Cold War, where they can ramp up the military spending like they had before the Soviet Union lost its credibility as a threat in 1989.
[00:19:16.114 --> 00:19:18.017]  Here's some other articles that we're coming to.
[00:19:18.137 --> 00:19:22.302]  One third of Americans say that Obamacare had negative personal impact.
[00:19:22.722 --> 00:19:26.227]  Nearly 60% say that they view the law unfavorably.
[00:19:27.796 --> 00:19:29.038]  Everybody is seeing their rates go up.
[00:19:29.078 --> 00:19:29.959]  People cannot afford it.
[00:19:30.019 --> 00:19:30.259]  Why?
[00:19:30.319 --> 00:19:33.443]  Because we're having to buy insurance for things that we don't even need.
[00:19:33.683 --> 00:19:35.886]  Insurance, in the first place, is not health care.
[00:19:36.206 --> 00:19:45.056]  Insurance can help you pay for your health care, but you can't pay for your health care if you've got to buy insurance as a single man if they force you to buy maternity insurance as a single man.
[00:19:45.737 --> 00:19:50.440]  And your insurance rates double, triple, sometimes go up by a factor of five.
[00:19:50.941 --> 00:19:52.081]  That's not affordable care.
[00:19:52.422 --> 00:19:53.522]  That's simply a lie.
[00:19:54.003 --> 00:19:54.423]  Stay tuned.
[00:19:54.443 --> 00:19:55.844]  We're going to be talking to Kathleen Willey.
[00:19:55.864 --> 00:20:02.148]  We're going to talk about how America fell into this moral decline by excusing the lies of their presidents.
[00:20:02.188 --> 00:20:03.269]  It all began with Bill Clinton.
[00:20:03.589 --> 00:20:04.049]  Stay tuned.
[00:20:04.070 --> 00:20:04.850]  We're going to talk to her.
[00:20:04.870 --> 00:20:05.971]  We'll be right back.
[00:20:14.818 --> 00:20:18.801]  Who has the perfect piece of gear for your bushcraft pack or bug out bag?
[00:20:18.881 --> 00:20:20.302]  Canteenshop.com.
[00:20:20.422 --> 00:20:22.523]  Want to be able to start a fire in any weather?
[00:20:22.583 --> 00:20:24.224]  Canteenshop.com.
[00:20:24.384 --> 00:20:28.187]  Need a well-built, handcrafted knife that'll be passed down for generations?
[00:20:28.347 --> 00:20:33.510]  Get to Canteenshop.com for the best selection of high-quality, hand-picked gear from over 20 small U.S.
[00:20:33.530 --> 00:20:39.114]  businesses and big-name brands to bring you the best that the bushcraft survival world has to offer.
[00:20:39.374 --> 00:20:40.875]  Canteenshop.com.
[00:20:41.035 --> 00:20:41.556]  What's missing?
[00:20:41.596 --> 00:20:43.297]  What's missing from your kit?
[00:20:43.888 --> 00:20:53.151]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:20:53.191 --> 00:20:53.911]  This capitalism?
[00:20:53.991 --> 00:21:00.092]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:00.152 --> 00:21:03.793]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[00:21:03.833 --> 00:21:04.774]  Call for your copy 800-686-2237.
[00:21:04.794 --> 00:21:06.294]  It's time to understand the system.
[00:21:06.314 --> 00:21:06.454]  Call 800-686-2237.
[00:21:06.494 --> 00:21:06.774]  That's 800-686-2237.
[00:21:13.556 --> 00:21:15.017]  It's very easy to be a criminal.
[00:21:15.297 --> 00:21:18.399]  All you need to burglarize a home is one simple household tool.
[00:21:18.740 --> 00:21:19.760]  A pair of scissors.
[00:21:20.000 --> 00:21:24.944]  If your home security system can be compromised by a criminal using scissors, then you're making it easy for them.
[00:21:25.124 --> 00:21:29.467]  Almost every home security system, even those sold by big-name companies, has a weakness.
[00:21:29.807 --> 00:21:30.667]  The phone line.
[00:21:30.828 --> 00:21:36.171]  You shell out $1,500, get locked into a long-term contract, and think you're safe.
[00:21:36.491 --> 00:21:40.054]  But a burglar can destroy your alarm in seconds with one snip.
[00:21:40.274 --> 00:21:43.236]  And when a burglar cuts your phone line, you're defenseless.
[00:21:43.836 --> 00:21:46.298]  SimpliSafe Home Security is the smarter choice.
[00:21:46.438 --> 00:21:50.620]  Built by Harvard engineers, SimpliSafe uses a wireless connection to call the cops.
[00:21:50.920 --> 00:21:51.961]  Scissors can't cut it.
[00:21:52.181 --> 00:21:54.502]  And that means your home stays safe.
[00:21:54.522 --> 00:21:57.623]  24-7 professional monitoring is under $15 a month.
[00:21:57.804 --> 00:22:02.126]  With no contract, SimpliSafe Home Security keeps you safer than the other guys.
[00:22:02.406 --> 00:22:03.607]  For half the cost.
[00:22:03.707 --> 00:22:05.709]  Protect your home with the alarm you can trust.
[00:22:05.969 --> 00:22:06.630]  SimpliSafe.
[00:22:06.910 --> 00:22:10.754]  Go to GetSimpliSafe.com now for an exclusive 10% offer.
[00:22:10.854 --> 00:22:12.816]  That's GetSimpliSafe.com.
[00:22:13.237 --> 00:22:13.657]  Question.
[00:22:13.997 --> 00:22:18.241]  Could too many GMO foods and toxins be overloading your digestive and immune systems?
[00:22:18.802 --> 00:22:19.122]  Answer.
[00:22:19.362 --> 00:22:19.663]  Yes.
[00:22:20.063 --> 00:22:25.749]  If you're searching for a powerful detox that's gentle enough to use every day, use Pro-EM-1 from Terragonix.
[00:22:26.289 --> 00:22:33.559]  Pro-EM1 is a powerful liquid probiotic that uses good bacteria to suppress pathogens and gently eliminate toxins from your body.
[00:22:33.899 --> 00:22:41.950]  A healthy digestive system will cleanse and remove toxins, support weight loss, improve absorption of food nutrients, and aid in controlling yeast and other infections.
[00:22:42.270 --> 00:22:49.976]  Pro-EM1 is made with only non-GMO and certified organic ingredients, has no preservatives, and is dairy, soy, wheat, and gluten-free.
[00:22:50.256 --> 00:22:52.598]  Pro-EM1 is the key to your digestive health.
[00:22:52.978 --> 00:22:56.701]  Order Pro-EM1 Daily Probiotic Cleanse at Terragonics.com.
[00:22:56.881 --> 00:22:59.984]  Spelled T-E-R-A-G-A-N-I-X dot com.
[00:23:00.224 --> 00:23:01.045]  Or call toll-free 866-369-3678.
[00:23:01.165 --> 00:23:01.465]  That's 866-369-3678.
[00:23:01.485 --> 00:23:02.746]  Also available through Amazon Prime.
[00:23:02.866 --> 00:23:03.747]  Pro-EM1 from Terragonics.
[00:23:03.967 --> 00:23:04.928]  Life's getting better.
[00:23:12.870 --> 00:23:15.451]  Hi folks, Alex Jones here with some important information.
[00:23:15.692 --> 00:23:20.574]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:23:20.834 --> 00:23:28.698]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:23:28.939 --> 00:23:33.261]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:23:33.481 --> 00:23:37.283]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:23:37.443 --> 00:23:43.145]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:23:43.385 --> 00:23:46.165]  It is rare to find companies who practice what they preach.
[00:23:46.545 --> 00:23:51.787]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
