[00:00:19.497 --> 00:00:21.020]  Welcome to NAMFA Wars Nightly News.
[00:04:41.702 --> 00:04:46.146]  Just one year ago, in Syria, there was a sarin gas attack.
[00:04:46.646 --> 00:04:54.393]  We were told at the time that the only possible suspect could be the Assad government, that they were the only ones who had sarin gas.
[00:04:54.813 --> 00:04:57.735]  However, there had been previous sarin gas attacks.
[00:04:58.416 --> 00:05:08.485]  And we learned from UN investigations, as well as from Russian investigations, that that sarin gas attack was done by rebel forces, not by government forces.
[00:05:09.119 --> 00:05:14.203]  Still, the Obama administration pushed forward, trying to push us into an escalated war.
[00:05:14.823 --> 00:05:20.287]  At that point, American forces released information showing the same intel.
[00:05:20.827 --> 00:05:22.568]  And that started to bring things down.
[00:05:22.649 --> 00:05:24.230]  Now we see the same thing happening here.
[00:05:24.690 --> 00:05:30.374]  We're told precisely what this missile is, even though they don't have any pictures or eyewitnesses of this missile.
[00:05:30.614 --> 00:05:32.656]  They say it must be this Buk launcher.
[00:05:33.456 --> 00:05:37.900]  And we're told that rebels had Buk launchers because they stole them from the Ukrainian government.
[00:05:38.220 --> 00:05:43.565]  So it must have been the rebels, even though both sides have possession of that same rocket launcher.
[00:05:44.026 --> 00:05:47.829]  Now, Strobe Talbert of the Brookings Institute has wasted no time at all.
[00:05:47.869 --> 00:05:54.835]  Remember that the Brookings Institute is a very influential think tank, perhaps the most influential think tank for the Democrats.
[00:05:54.895 --> 00:05:55.736]  It's left-leaning.
[00:05:56.217 --> 00:05:57.418]  And he tweeted out right away.
[00:05:57.998 --> 00:06:09.507]  That Russia was to blame for shooting down the Malaysian airline plane, and he said he subsequently pulled that down, even though it had by that time been retweeted about a thousand times.
[00:06:10.048 --> 00:06:21.657]  Now, an expert, an aviation expert in this article that Paul Joseph Watson quotes, Major Charles Heyman, told Sky News in the UK that it's likely that he thought Ukrainians were responsible for the incident.
[00:06:22.495 --> 00:06:22.976]  Why not?
[00:06:23.116 --> 00:06:24.858]  We're going to talk about that in just a moment.
[00:06:25.198 --> 00:06:26.700]  But let's look at some more reactions.
[00:06:26.800 --> 00:06:30.624]  More Democrats are blaming Russia for the passenger plane shoot down.
[00:06:30.664 --> 00:06:32.266]  This is an article from Kurt Nemo.
[00:06:33.047 --> 00:06:36.151]  This is a quote from the New Republic and this is what this writer says.
[00:06:36.892 --> 00:06:40.015]  Make no mistake, this is a really, really, really big deal.
[00:06:40.336 --> 00:06:42.919]  This is the first downing of a civilian jetliner in this conflict.
[00:06:43.499 --> 00:06:46.543]  And if it were the rebels who brought it down, all kinds of ugly things will follow.
[00:06:46.583 --> 00:06:55.795]  For one thing, what seemed to be gelling into a frozen local conflict has now broken into a new phase that directly threatens European security.
[00:06:57.148 --> 00:07:00.130]  The plane, let's recall, was flying from Amsterdam.
[00:07:00.650 --> 00:07:01.511]  Now, she's not alone.
[00:07:02.272 --> 00:07:05.094]  CNN has also said this is a watershed event.
[00:07:05.534 --> 00:07:10.257]  For the first time, it focuses world attention on this Russian-Ukraine conflict.
[00:07:10.657 --> 00:07:10.958]  Really?
[00:07:11.278 --> 00:07:12.158]  For the first time?
[00:07:12.178 --> 00:07:15.421]  This is something that is not a local conflict.
[00:07:16.241 --> 00:07:24.646]  Our Western press has been pushing this so hard that they have succeeded in reviving the Cold War to the levels that it hasn't been for decades.
[00:07:25.167 --> 00:07:26.588]  So this is not anything new.
[00:07:26.648 --> 00:07:33.112]  What's new is that they now have another excuse that they can try to push, just as they did the sarin gas attack.
[00:07:33.852 --> 00:07:36.513]  And it's not just Democrats, it's Republicans as well.
[00:07:37.073 --> 00:07:40.254]  John McCain, of course, and I'm sure Lindsey Graham will be joining him.
[00:07:40.314 --> 00:07:45.556]  Those are the two war hawks that love to always push for war in every event, no matter what happens.
[00:07:45.996 --> 00:07:50.678]  Well, McCain says that Putin should pay if the Malaysian airline jet was shot down.
[00:07:51.178 --> 00:07:59.001]  He says it's determined that Ukrainian separatists, if it's determined that Ukrainian separatists shot down the Malaysian Airlines plane that crashed on Thursday,
[00:07:59.761 --> 00:08:04.763]  Vladimir Putin should face the consequences, said John McCain, and this is reported by Roll Call.
[00:08:04.803 --> 00:08:06.904]  Well, you know, what would those consequences be?
[00:08:07.684 --> 00:08:14.487]  We need to ask about that, just as we need to ask what the consequences would be if we escalated the Syrian war as well.
[00:08:14.927 --> 00:08:20.829]  Now, is this something that could have been done by the Ukrainians, as other people have suggested?
[00:08:21.369 --> 00:08:25.371]  Let's remember history before we jump into an even broader war.
[00:08:25.951 --> 00:08:41.423]  Remember that even though it was largely ignored in the American press because it happened right after September 11th in 2001, it was back in October of 2001 that the Ukrainians actually did shoot down a Russian airliner over the Black Sea.
[00:08:42.023 --> 00:08:45.826]  And it took them nine days to admit it, but going back to this Guardian article and
[00:08:46.707 --> 00:08:59.373]  12th of October 2001, they say a Ukrainian official today admitted that his country's military may have mistakenly shot down a Russian commercial airliner over the Black Sea last week, killing all 78 people on board.
[00:08:59.873 --> 00:09:10.298]  And they went on to say, the reason for the crash could be an unintentional hit by an S-200 missile during Ukrainian air defense exercises.
[00:09:10.358 --> 00:09:13.500]  Well, they didn't need to have a Buk missile system.
[00:09:13.920 --> 00:09:15.300]  They could have shot it down with an S-200.
[00:09:15.960 --> 00:09:20.041]  Who knows what kind of missile shot it down, if it was in fact shot down by a missile.
[00:09:20.101 --> 00:09:22.962]  I mean, it could have been blown up by a terrorist bomb on board.
[00:09:23.022 --> 00:09:29.703]  But note that they said that this happened, they think, by mistake, during a Ukrainian air defense missile drill.
[00:09:30.564 --> 00:09:31.644]  Does that sound familiar?
[00:09:32.384 --> 00:09:38.605]  Does that sound like something that happened in America 18 years ago, on this very day, July 17th, 1996?
[00:09:41.601 --> 00:09:45.064]  Well, that's what Anderson Cooper said on CNN.
[00:09:45.104 --> 00:09:45.884]  Here's his comment.
[00:09:46.445 --> 00:09:47.105]  No doubt about it.
[00:09:47.145 --> 00:09:49.026]  I want to go to our Ben Wiedemann, who's in Gaza City.
[00:09:49.066 --> 00:09:52.189]  Before I do, I just want to correct something I said regarding the plane crash earlier.
[00:09:52.209 --> 00:09:59.234]  I said that today was the anniversary of Flight TWA 800 crashing off the coast of Long Island in 1996.
[00:09:59.674 --> 00:10:01.696]  I believe I said it was shot down.
[00:10:01.756 --> 00:10:07.140]  Obviously, the government said it was a center fuel tank explosion, though some people had indicated they saw a rocket.
[00:10:07.160 --> 00:10:08.901]  There's no evidence of that.
[00:10:09.521 --> 00:10:15.208]  It was ruled to be a center fuel tank explosion so I apologize for for misspeaking about that anniversary.
[00:10:15.568 --> 00:10:16.750]  That was his retraction.
[00:10:17.491 --> 00:10:21.175]  Earlier he had said and just moved on that flight 800 was shot down on this same day in 1996.
[00:10:21.395 --> 00:10:23.778]  Over 200 people were killed in that incident.
[00:10:27.742 --> 00:10:29.963]  And there were many, many eyewitnesses.
[00:10:30.063 --> 00:10:41.248]  It was just a year ago, remember, that Yahoo News covered and we put up on Infowars.com that TWA Flight 800 crash was not due to a gas tank explosion, says former investigators.
[00:10:41.288 --> 00:10:51.192]  Now this is an article about a documentary that was about to be released a year ago and they said six former investigators who took part in the film say there was a cover-up and they want the case reopened.
[00:10:51.952 --> 00:11:02.779]  This is a senior accident investigator for the National Transportation Safety Board who said there was a lack of coordination and willful denial of information.
[00:11:03.039 --> 00:11:08.503]  He said there were 755 witnesses to Flight 800, TWA Flight 800.
[00:11:08.583 --> 00:11:16.368]  At no time was any of their information provided by the witnesses shared by the FBI with the National Transportation Safety Board.
[00:11:16.829 --> 00:11:21.272]  Jim Spear, an accident investigator at the time of the crash for the Airline Pilots Association,
[00:11:21.952 --> 00:11:23.472]  So before we jump into war, let's understand
[00:11:45.618 --> 00:11:50.903]  That the Ukraine actually did, in 2001, actually did shoot down a Russian airliner.
[00:11:51.163 --> 00:11:51.704]  They admitted it.
[00:11:52.044 --> 00:11:53.065]  They said it was an accident.
[00:11:53.425 --> 00:11:55.888]  That it flew over an area where they were having naval exercises.
[00:11:56.328 --> 00:12:02.013]  We have 755 witnesses who actually saw a missile going towards Flight 800.
[00:12:02.734 --> 00:12:19.891]  We have pilots who said they saw a flare going up into the plane for flight 800 and yet our government lied about that and they covered that up and yet our government knows exactly what the missile was and who fired it within just a short period of time in the Ukraine.
[00:12:20.831 --> 00:12:27.193]  I don't think we need to take that very seriously, but let's look at something else that touches on government lies about plane crashes.
[00:12:27.573 --> 00:12:29.973]  Let's take a look at the pictures of this plane crash.
[00:12:29.993 --> 00:12:39.716]  Now remember, this is a plane crash that as of this moment everyone agrees it was hit by a missile at about 30,000 feet in the air, broke up in the air and crashed to the ground.
[00:12:40.416 --> 00:12:53.587]  And I want you to take a look at the pictures online at this crash site and compare the pictures of this crash site in the Ukraine where we have a plane that exploded at 30,000 feet and then hit the ground.
[00:12:53.607 --> 00:12:55.689]  We had a lot of witnesses say they saw it come in.
[00:12:56.349 --> 00:13:03.697]  I want you to compare that to Flight 93 that we're told drove straight into the ground that did not explode in midair.
[00:13:04.317 --> 00:13:11.544]  Now, at this plane site in Malaysia, they said they had at least 100 bodies that have been found so far at the scene.
[00:13:12.005 --> 00:13:16.689]  Wreckage has spread across an area of about 9 miles in diameter.
[00:13:17.350 --> 00:13:24.517]  Now, when we go back and we look at the Flight 93 crash, what happened there, there were three debris fields, actually.
[00:13:25.157 --> 00:13:27.679]  Sorry, make that four if we count the engine.
[00:13:28.500 --> 00:13:33.825]  In addition to the primary crash site, there were two other large debris fields separated by miles.
[00:13:33.925 --> 00:13:35.727]  In this case, it was about eight miles.
[00:13:35.847 --> 00:13:40.351]  So, in the case of the plane today, it was about a nine-mile radius for the crash debris.
[00:13:40.911 --> 00:13:44.014]  In the case of Flight 93, it was about 8 miles.
[00:13:44.094 --> 00:14:02.774]  And if you look at the pictures of the crash sites, you see that there is one primary crash site on this map, and then there's an engine located a good distance away from that, and then two other major debris fields about the same size as United Flight 93, which we're told hit the ground.
[00:14:03.732 --> 00:14:05.714]  But now, of course, there were airplane parts there.
[00:14:06.074 --> 00:14:08.176]  Were there any airplane parts at the Pentagon?
[00:14:08.637 --> 00:14:16.143]  We were told that a plane flew into the Pentagon, flew into a building, and completely vaporized, completely disappeared.
[00:14:16.644 --> 00:14:22.749]  That building was more destructive to the plane than a plane flying directly into the ground.
[00:14:23.649 --> 00:14:25.629]  That simply is not believable.
[00:14:26.009 --> 00:14:29.030]  It's not believable from the size of the whole of the Pentagon either.
[00:14:29.110 --> 00:14:41.692]  So, compare the information that you're getting, compare the summaries and the conclusions that they have arrived at that fit their political agenda, compare that to the stories that we've heard previously.
[00:14:42.472 --> 00:14:45.553]  Stories that have also fit a political agenda.
[00:14:45.613 --> 00:14:48.233]  Stories about planes on 9-11.
[00:14:48.313 --> 00:14:49.874]  Stories about Flight 800 and TWA.
[00:14:51.934 --> 00:14:56.295]  Now, there were 295 people who died in this plane crash today.
[00:14:56.955 --> 00:15:05.698]  There have been over 200 people, even before the Israeli invasion today, over 200 Palestinians had been killed by Israeli rockets.
[00:15:06.138 --> 00:15:09.999]  And today, Israel began a ground assault of the Gaza Strip.
[00:15:10.019 --> 00:15:12.500]  This is a massive assault, air, land and sea.
[00:15:12.900 --> 00:15:16.441]  Israel began its ground invasion of the Gaza Strip shortly after 10 p.m.
[00:15:17.661 --> 00:15:23.823]  Thursday night, that's Tel Aviv time, saying it would target tunnels that infiltrate its territory.
[00:15:23.843 --> 00:15:36.448]  That was just yesterday that the BBC reported the death toll of over 209 days of shelling by the Israelis, and of course that came in the wake of these four children who were killed on a Gaza beach.
[00:15:37.168 --> 00:15:43.733]  And as they were attacking today, CNN was saying that it was one of the most densely populated areas.
[00:15:43.773 --> 00:15:48.876]  They didn't know what the casualties were yet, but they knew that there would be a lot of casualties of Palestinians.
[00:15:49.416 --> 00:15:50.137]  Well, yes.
[00:15:50.297 --> 00:15:54.340]  Take a look at how densely populated Gaza City is.
[00:15:54.760 --> 00:15:57.922]  Comparing it to some of the other cities around the world, it has 42,600
[00:16:00.464 --> 00:16:01.784]  People per square mile.
[00:16:01.824 --> 00:16:09.706]  Now, to give you an idea of what that is, the Washington Post has an article here showing these relative sizes of different cities.
[00:16:09.746 --> 00:16:13.947]  Now, they've got some cities like Mumbai and Hong Kong and Karachi, Pakistan.
[00:16:14.268 --> 00:16:20.049]  But if you want to compare it to some American cities or to some other cities in Europe, for example, let's compare it to Tel Aviv.
[00:16:20.089 --> 00:16:20.869]  There they are right there.
[00:16:20.889 --> 00:16:21.069]  About 15,000.
[00:16:22.530 --> 00:16:26.171]  Same approximate size, population density as London.
[00:16:26.671 --> 00:16:26.931]  Those
[00:16:27.691 --> 00:16:32.534]  Are about three times less dense in terms of population than Gaza City is.
[00:16:33.155 --> 00:16:35.016]  New York City for reference is about 27,000.
[00:16:36.137 --> 00:16:38.639]  If you look at Manhattan, it's 69,000.
[00:16:38.679 --> 00:16:39.880]  Those aren't shown on the chart.
[00:16:40.680 --> 00:16:41.521]  Miami is 10,000.
[00:16:42.041 --> 00:16:42.902]  LA is 10,000.
[00:16:43.462 --> 00:16:47.085]  So that gives you an idea that when Gaza City has 42,000 people per square mile,
[00:16:50.427 --> 00:16:53.568]  That is a very heavily populated area.
[00:16:53.988 --> 00:16:55.749]  Washington and Chicago, only about 3,500.
[00:16:56.609 --> 00:16:59.670]  About one twelfth as densely populated.
[00:16:59.710 --> 00:17:06.693]  So when they invade this small area with this many people in there, the casualties are going to be gigantic.
[00:17:06.733 --> 00:17:11.314]  And we don't have much information right now other than the fact that the invasion has started.
[00:17:11.775 --> 00:17:15.496]  There will of course be more information about that as the situation develops.
[00:17:16.741 --> 00:17:25.984]  Now, today, Obama banned the purchasing of any AK-47s, and this, of course, is also tied into the Ukrainian conflict.
[00:17:26.245 --> 00:17:28.565]  This is part of the sanctions on Russia.
[00:17:28.986 --> 00:17:36.428]  But there's something else to this that should cause us all some concern, and that is what the Treasury Department put on their site.
[00:17:36.968 --> 00:17:43.251]  Many of the sanctions are based on United Nations and other international mandates.
[00:17:44.031 --> 00:17:51.918]  They are multilateral in scope and involve close cooperation with allied governments, according to the Treasury Department.
[00:17:51.958 --> 00:17:55.722]  That, of course, is the article up on Infowars.com by Kurt Nemo.
[00:17:56.122 --> 00:17:57.984]  And Kurt Nemo also points out this.
[00:17:58.044 --> 00:18:07.172]  He said the criminalization of an entire line of foreign-manufactured firearms is possible, they say, under, quote, national emergency powers.
[00:18:07.953 --> 00:18:10.755]  And there is no appeal process.
[00:18:11.455 --> 00:18:13.497]  This should frighten us a great deal.
[00:18:14.057 --> 00:18:23.263]  The fact that he could maintain that what is going on in the Ukraine, even before this airliner was shot down, constituted a national emergency.
[00:18:23.844 --> 00:18:27.987]  And that he could prohibit the purchasing of AK-47s, which happen to be
[00:18:28.647 --> 00:18:35.832]  The most effective weapon for a civilian population to protect itself because they are so forgiving of maintenance.
[00:18:35.872 --> 00:18:38.214]  They're very easy to keep using them.
[00:18:38.294 --> 00:18:40.856]  They take all kinds of abuse and they keep clicking.
[00:18:41.296 --> 00:18:44.599]  They're kind of like the Energizer bunny of military rifles.
[00:18:45.319 --> 00:18:53.122]  Now, I think it's also interesting to look back about a year again, back to August of last year, 2013, a story by Kit Daniels, where the U.S.
[00:18:53.262 --> 00:18:59.004]  Army bought 600,000 Soviet AK-47 magazines.
[00:18:59.244 --> 00:18:59.724]  Magazines.
[00:18:59.744 --> 00:19:06.727]  They're trying to get those magazines, I guess, off of the market, just like they're trying to dry up the market for other types of ammunition.
[00:19:07.307 --> 00:19:10.969]  So these are 600,000 magazines, each of them fully loaded.
[00:19:10.989 --> 00:19:13.750]  That means they've got 18 million rounds.
[00:19:13.810 --> 00:19:30.476]  And to try to give people an idea of just how large this would be, how heavy it would be, Kit Daniels, to put it in perspective, said all these magazines combined weigh more than 718 wheelers at the maximum legal weight of 80,000 pounds.
[00:19:30.516 --> 00:19:33.658]  In other words, that's a lot of magazines.
[00:19:33.698 --> 00:19:34.998]  And these were AK-47s.
[00:19:35.058 --> 00:19:36.679]  Now, it gets even more interesting.
[00:19:37.159 --> 00:19:47.629]  Because the federal government, in buying all of these AK-47 fully loaded magazines, is buying something that's not even being used by the U.S.
[00:19:47.669 --> 00:19:49.251]  military or by NATO.
[00:19:50.031 --> 00:20:01.122]  And now, of course, Obama has used an executive order to infringe on the Second Amendment, saying that what's going on in the Ukraine is already a national emergency.
[00:20:01.602 --> 00:20:05.645]  They're pushing for war, just as they pushed for war in Syria.
[00:20:06.025 --> 00:20:07.847]  We got them to back down last year.
[00:20:08.227 --> 00:20:19.335]  We need to get people to back off of this rhetoric that's being pushed by both Fox News and CNN and MSNBC, all the mainstream mockingbird media is pushing that we need to do something about this.
[00:20:19.375 --> 00:20:30.823]  The Republicans and the Democrats are both trying to use this airliner going down as justification to come after Russia, to come after Putin, to expand the new Cold War.
[00:20:31.243 --> 00:20:31.583]  I think so.
[00:20:51.829 --> 00:20:57.411]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:20:57.611 --> 00:21:04.834]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:21:04.994 --> 00:21:08.235]  Radioactive contamination is now in most of the food supply.
[00:21:08.355 --> 00:21:10.116]  There's only two ways to avoid this.
[00:21:10.376 --> 00:21:14.939]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:21:15.039 --> 00:21:17.780]  Looking to protect my family, I've done deep research.
[00:21:17.940 --> 00:21:23.723]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:21:23.903 --> 00:21:27.385]  It's made right here in the USA, completely non-GMO.
[00:21:27.585 --> 00:21:32.628]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:21:32.848 --> 00:21:35.790]  Exclusively available at Infowarslife.com.
[00:21:36.050 --> 00:21:41.914]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:21:42.034 --> 00:21:44.015]  Survival Shield Nascent Iodine.
[00:21:44.195 --> 00:21:49.619]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:21:49.719 --> 00:21:51.080]  That's InfoWarsLife.com.
[00:21:55.683 --> 00:22:02.850]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:22:02.950 --> 00:22:05.132]  But it's not just the air outside that's toxic.
[00:22:05.312 --> 00:22:10.517]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:22:10.657 --> 00:22:15.762]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:22:15.902 --> 00:22:19.003]  There are more than 42 million smokers in the United States.
[00:22:19.283 --> 00:22:23.204]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:22:23.405 --> 00:22:27.726]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:22:27.806 --> 00:22:37.909]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:22:38.170 --> 00:22:42.151]  Made with organic and wild cultivated herbs and manufactured in the USA.
[00:22:42.631 --> 00:22:49.075]  The new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:22:49.236 --> 00:22:53.238]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:23:01.087 --> 00:23:02.268]  There's a new book that's come out.
[00:23:02.328 --> 00:23:03.989]  It's called Animal Madness.
[00:23:04.349 --> 00:23:10.013]  How anxious dogs, compulsive parrots, and elephants in recovery can help us to understand ourselves.
[00:23:10.573 --> 00:23:26.143]  Now the interesting thing about this book is that rather than looking at drugs being tested on animals, it takes drugs that have first been, of course, tested on animals, then used routinely on humans, and now have gone full circle back into the zoo.
[00:23:26.243 --> 00:23:28.685]  And so it provides us some interesting insights.
[00:23:29.125 --> 00:23:32.769]  And of course, in reviews, people have talked about anthropomorphism.
[00:23:32.909 --> 00:23:35.992]  In other words, projecting human characteristics onto animals.
[00:23:36.012 --> 00:23:40.637]  They say to speak of mental illness in animals requires a degree of anthropomorphizing.
[00:23:40.837 --> 00:23:47.163]  Or, this is a humane, insightful, beautifully written book, Animal Madness Gives Anthropomorphism a Good Name.
[00:23:47.884 --> 00:23:50.306]  What about anthropomorphism in reverse?
[00:23:50.526 --> 00:23:53.107]  Yes, are we treating humans like animals?
[00:23:53.648 --> 00:24:01.973]  Let's take a look at a couple of the excerpts from the book, but before we do, there's also another school of thought in how we control animals, and that, of course, is the B.F.
[00:24:02.013 --> 00:24:04.415]  Skinner Behavioral Modification School.
[00:24:04.755 --> 00:24:07.957]  We use positive operant conditioning to control the animals.
[00:24:08.337 --> 00:24:11.059]  Skinner's techniques are actually a humane way to communicate with
[00:24:11.599 --> 00:24:22.507]  And to control animals, the problem arises with the reverse anthropomorphism when Skinner starts to treat humans as animals, devoid of freedom and dignity.
[00:24:23.307 --> 00:24:32.653]  Of course, much of our government's interaction with everyone from children in schools to airplane travelers with TSA is based on positive operant conditioning.
[00:24:33.094 --> 00:24:38.698]  In other words, let me touch you wherever I want and I'll reward you with allowing you to get on a plane.
[00:24:39.338 --> 00:24:43.146]  Now, of course, the other popular way to control people is with pharmaceuticals.
[00:24:43.507 --> 00:24:50.020]  If Mr. McMurphy doesn't want to take his medication orally, I'm sure we can arrange that he can have it some other way.
[00:24:52.537 --> 00:24:54.979]  Brightman's book gives us some perspectives on that.
[00:24:55.599 --> 00:24:58.181]  Now Thorazine, of course, was first tested on rats.
[00:24:58.261 --> 00:25:06.627]  And what they found was that even though rats could easily climb up a rope to get to some food, once they put them on Thorazine, they couldn't be bothered.
[00:25:07.147 --> 00:25:10.730]  Even when they knew a shock was coming on, they would just sit there.
[00:25:10.990 --> 00:25:14.312]  What happened when they gave Thorazine to a gorilla in the zoo?
[00:25:14.873 --> 00:25:21.137]  This is a gorilla that was going to have to be relocated to a very small cage for a period of six months while his usual habitat was repaired.
[00:25:21.678 --> 00:25:26.281]  So what they did to help him cope was what any good psychiatrist would do.
[00:25:26.341 --> 00:25:28.083]  They put some Thorazine in his coke.
[00:25:28.843 --> 00:25:29.763]  What did that do for him?
[00:25:29.823 --> 00:25:33.504]  Well, the zookeeper said he shuffled back and forth across his cage with dulled eyes.
[00:25:34.085 --> 00:25:38.246]  It was a little like watching the men in One Flew Over the Cuckoo's Nest.
[00:25:38.706 --> 00:25:47.309]  Now, a review of her book that's on Wired.com today covers a couple of interesting anecdotes, entitled, Even the Gorillas and Bears in Our Zoo Are Hooked on Prozac.
[00:25:47.329 --> 00:25:54.751]  They look at what happens when we take these drugs that we've now approved for massive use on humans, and then turn around and use them on animals in the zoo.
[00:25:55.171 --> 00:26:02.855]  Gus, the famous polar bear from the Central Park Zoo, was put on Prozac because he was swimming for 12 hours a day.
[00:26:03.516 --> 00:26:06.297]  Now, as an aside, that's what polar bears do.
[00:26:06.337 --> 00:26:12.001]  They range over hundreds of miles and, of course, that's why you see all these pictures of polar bears sitting on
