[00:00:00.287 --> 00:00:01.129]  Let's do this!
[00:05:59.091 --> 00:06:06.257]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:06:06.257 --> 00:06:08.599]  But it's not just the air outside that's toxic.
[00:06:08.599 --> 00:06:13.883]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:06:13.883 --> 00:06:19.047]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:06:19.047 --> 00:06:22.090]  There are more than 42 million smokers in the United States.
[00:06:22.370 --> 00:06:26.453]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:06:26.453 --> 00:06:30.776]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[00:06:30.776 --> 00:06:41.004]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:06:41.004 --> 00:06:43.526]  Made with organic and wild cultivated herbs
[00:06:43.706 --> 00:06:51.914]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:06:51.914 --> 00:06:55.878]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:07:00.012 --> 00:07:01.373]  In the near future.
[00:07:01.373 --> 00:07:05.857]  When you realize how fake it all is, the football, the basketball.
[00:07:05.857 --> 00:07:07.078]  Security alert.
[00:07:07.078 --> 00:07:09.100]  This is Homeland Security.
[00:07:09.100 --> 00:07:12.804]  Analysis, InfoWars, building independent media operation.
[00:07:12.804 --> 00:07:15.166]  Let the worst people get controlled and tell us that we
[00:07:15.606 --> 00:07:17.667]  We are the ones responsible.
[00:07:17.667 --> 00:07:18.707]  Prime Directive.
[00:07:18.707 --> 00:07:20.228]  Discredit Alex Jones.
[00:07:20.228 --> 00:07:23.110]  Jones is the wildly popular conspiracy theorist.
[00:07:23.110 --> 00:07:26.351]  A popular conspiracy theory talk show called InfoWars.
[00:07:26.351 --> 00:07:28.652]  Alex Jones is now in an Austin jail.
[00:07:28.652 --> 00:07:30.173]  These people are assaulting us.
[00:07:30.173 --> 00:07:32.474]  Targeting of patriots engaged.
[00:07:33.014 --> 00:07:34.955]  They are never going to stop.
[00:07:34.955 --> 00:07:38.816]  They're never going to deviate from their program until we stop them.
[00:07:38.816 --> 00:07:45.919]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[00:07:45.919 --> 00:07:50.221]  Intellectually, it's begun and you can feel it.
[00:08:09.150 --> 00:08:13.231]  Resistance to tyrants is obedience to God.
[00:08:13.231 --> 00:08:25.233]  It's Alex Jones.
[00:08:25.233 --> 00:08:31.354]  Ladies and gentlemen, thank you for joining us on this live Monday edition, the 11th day of August, 2014.
[00:08:36.218 --> 00:08:40.119]  And we will be here for the next three hours live.
[00:08:40.119 --> 00:08:59.085]  Pastor Chuck Baldwin, former presidential candidate for the Constitution Party, and a leading patriot out there exposing how our churches have been federalized, how our churches have been seized, will be joining us to talk about the Hitlerian doctrine.
[00:09:00.387 --> 00:09:10.150]  of Romans 13, and how the churches have been turned into engines of politically correct brainwashing.
[00:09:10.150 --> 00:09:13.031]  So he's going to be joining us in the second hour today.
[00:09:13.031 --> 00:09:27.455]  For 30 minutes, in the last 30 minutes of the third hour, New York TV host and syndicated radio host, Lionel, who was attacked along with myself and Matt Drudge last week, by Keith Oberman and a bunch of other individuals, for daring
[00:09:29.049 --> 00:09:32.493]  You know, to question establishment orthodoxy.
[00:09:32.493 --> 00:09:38.999]  He's going to be joining us to talk about a whole bunch of important news issues and more today.
[00:09:38.999 --> 00:09:41.842]  And we will have open phones as well.
[00:09:43.962 --> 00:09:58.590]  In fact, I want to take phone calls for first-time callers today to discuss Obama's bombing of ISIS and what's really behind that, to get into the escalations in Ukraine, to get into a stack of news of more political correctness that is
[00:10:00.086 --> 00:10:04.870]  Being deployed as an authoritarian blanket across the nation.
[00:10:04.870 --> 00:10:13.719]  Also IBM has developed a functioning computer chip with 1 million neurons that again functions like a human brain.
[00:10:13.719 --> 00:10:15.981]  That's out of the Daily Mail.
[00:10:15.981 --> 00:10:21.546]  That integrates in with a story out of the Charlotte CBS affiliate.
[00:10:23.240 --> 00:10:27.982]  Report, robots will take over more jobs than they create.
[00:10:27.982 --> 00:10:29.703]  Yes, that's the big issue.
[00:10:29.703 --> 00:10:31.744]  That's how that's being set up and implemented.
[00:10:31.744 --> 00:10:38.326]  We're going to talk about some of the technocracy at the bottom of the hour.
[00:10:38.326 --> 00:10:49.011]  We're also going to get into the big developments with the rioting in Ferguson that's tied into the Obama race baiting promotions via
[00:10:51.061 --> 00:11:04.932]  All the propaganda we've seen on MSNBC and CNN with Trayvon Martin, that is all coming up today here on this syndicated broadcast.
[00:11:04.932 --> 00:11:08.075]  I'll give the number out coming up at the start of the next segment.
[00:11:08.075 --> 00:11:13.739]  In fact, let me just move here in the stack from right to left today.
[00:11:14.952 --> 00:11:26.895]  And begin with what's happening with Obama's airstrikes that started last Thursday against IS, Islamic State, formerly ISIS, formerly Al-Qaeda.
[00:11:26.895 --> 00:11:29.515]  And there are some whoppers today.
[00:11:29.515 --> 00:11:34.356]  Obama says Iraq airstrike effort could be long-term.
[00:11:34.356 --> 00:11:41.078]  So the war never ended there, now it's back on for the foreseeable future.
[00:11:41.078 --> 00:11:42.718]  And again, what is behind that?
[00:11:44.386 --> 00:12:02.600]  IS was set up for the last four years, giving billions of dollars in Eastern Syria by Turkey, by Israel, by Saudi Arabia, by Qatar, by NATO, by France, by the British, and by the United States on record.
[00:12:02.600 --> 00:12:03.341]  You can just pull up
[00:12:04.622 --> 00:12:14.488]  Hundreds of articles in the New York Times and even in the Council on Foreign Relations admitting that 60-plus percent of the fighters were Islamic State.
[00:12:14.488 --> 00:12:24.995]  And then our media would be like, well, that's why we need to get behind the nice fighters that only blow up the churches and only cut off the men's heads and rape the women.
[00:12:24.995 --> 00:12:26.776]  They don't kill the babies.
[00:12:26.776 --> 00:12:30.619]  And then the Al-Qaeda people, they even behead the children.
[00:12:31.408 --> 00:12:37.353]  of the Christians and of the Sunnis, not the Shia.
[00:12:37.353 --> 00:12:40.456]  I mean the Shia, not the Sunnis.
[00:12:40.456 --> 00:12:45.019]  And so they just play on your incredible ignorance and the general public's ignorance.
[00:12:45.019 --> 00:12:58.771]  They think that the people that are uninformed just have no idea what's even going on and can't find the Middle East if the country's even had names on them.
[00:13:01.198 --> 00:13:05.201]  And so now people ask, well, why is Obama bombing IS?
[00:13:05.201 --> 00:13:07.282]  Because they don't completely control it.
[00:13:07.282 --> 00:13:11.785]  They just funded it, helped radicalize it, gave it basis.
[00:13:11.785 --> 00:13:22.393]  IS is now even attacking Jordan, which helped arm them and train them probably more than any other country when it came to physical basis.
[00:13:25.362 --> 00:13:34.444]  Our military was made to tolerate IS bases on the border in the last three plus years with Syria, with Iraq.
[00:13:34.444 --> 00:13:45.487]  Turkey has given artillery support and shelled the military of Syria that has been fighting them for three plus years.
[00:13:45.487 --> 00:13:49.748]  And that's why a bunch of military officers and the Marines, the Army, the Air Force,
[00:13:50.990 --> 00:14:03.682]  And the Navy all went public last year when we were going to bomb openly the Syrian capital and Syrian power plants and water treatment and military bases and airports to show that Al-Qaeda could take over.
[00:14:04.994 --> 00:14:06.435]  It was a big backlash.
[00:14:06.435 --> 00:14:10.397]  It stunned the globalists, completely confused them.
[00:14:10.397 --> 00:14:13.239]  Bilderberg was beside itself from our sources.
[00:14:13.239 --> 00:14:15.821]  It was one of the main topics, how to spin it.
[00:14:15.821 --> 00:14:20.364]  And they decided to spin it by rebranding as ISIS, then as IS.
[00:14:20.364 --> 00:14:23.986]  They'll probably rename it a couple more times.
[00:14:23.986 --> 00:14:27.088]  To then confuse everybody and sheep-dip Al-Qaeda.
[00:14:27.932 --> 00:14:32.856]  And then we pointed out they would then come into Iraq when they started attacking four months ago in Fallujah.
[00:14:32.856 --> 00:14:37.179]  Our military was not allowed to strike back when their convoys came in by the hundreds of vehicles per convoy.
[00:14:37.179 --> 00:14:39.601]  Then the artillery was moved in.
[00:14:39.601 --> 00:14:42.763]  They were allowed to set up their states so they can't be kicked out.
[00:14:42.763 --> 00:14:50.149]  But now they've got to be contained when they try to go into Shiite areas in the east and south and into Kurd areas in the north.
[00:14:51.826 --> 00:15:02.353]  And in a special report on this Friday that's up on Infowars.com and PrisonPlanet.com titled, Obama's bombing of IS is a hoax.
[00:15:02.353 --> 00:15:07.156]  And I want to retweet that at RealAlexJones right now so folks can send that on to your friends and family.
[00:15:07.156 --> 00:15:17.043]  It's a 15 minute video and it breaks down everything that's happening in that video with the documents, with the proof, even with the mainstream news articles.
[00:15:17.043 --> 00:15:19.064]  So that's what's happening currently on that front.
[00:15:19.064 --> 00:15:20.425]  Obama says Iraq
[00:15:21.969 --> 00:15:38.841]  Airstrike effort could be long-term and that's only to bomb them when they try to go into Kurdish areas to the north or when they try to go into south easterly areas in the east that are Shiite and Iranian controlled.
[00:15:38.841 --> 00:15:49.829]  This is the criminal breakup of Iraq and the areas mainly where the Christians lived in the traditionally
[00:15:51.202 --> 00:15:57.244]  Central areas and western areas will now be expunged, and the mass murder will continue.
[00:15:57.244 --> 00:16:11.728]  And you won't see any rioting by Christians, be they black or white or hispanic across the U.S., burning down grocery stores like we're seeing in Ferguson, Missouri, because hundreds of thousands of Christians have and will be now slaughtered.
[00:16:11.728 --> 00:16:12.989]  Have been and are going to be.
[00:16:14.616 --> 00:16:29.774]  Of course, what would you burn down to protest the fact that our government's arming people and protecting people to murder Christians and only now bombing them because they're killing Kurd minorities, about 10,000 of them, hiding up on a mountain, which I'm all for bombing ISIS, by the way.
[00:16:31.428 --> 00:16:36.389]  You notice I'm only for bombing people the globalists created and are protecting.
[00:16:36.389 --> 00:16:38.570]  I'm never for bombing any of these countries.
[00:16:38.570 --> 00:16:50.834]  I'm never for attacking Libya, never for attacking Syria, never for getting involved with trying to overthrow the Egyptian government and put Al-Qaeda basically in charge, the Muslim Brotherhood.
[00:16:50.834 --> 00:16:54.355]  See, the globalists are for the toppling of all those regimes.
[00:16:54.355 --> 00:16:55.475]  I was against it.
[00:16:55.475 --> 00:16:59.316]  Now, they didn't want to bomb ISIS when their convoys were pouring in four months ago.
[00:17:01.035 --> 00:17:03.097]  Because then they could have been taken out easily.
[00:17:03.097 --> 00:17:18.613]  Now that they're in place, you'll have a few bombings of some old broken artillery, uh, and, you know, to basically send the message, hey, don't come here in the backs of your Toyotas with your .50 calibers and your Stinger missiles, or we'll bomb you.
[00:17:18.613 --> 00:17:19.694]  See how sick that is?
[00:17:21.235 --> 00:17:23.397]  A message from ISIS to the U.S.
[00:17:23.397 --> 00:17:28.681]  Islamist militants tweet gruesome images of dead American soldiers and vow to blow up U.S.
[00:17:28.681 --> 00:17:35.205]  embassies as terrorist convoy is wiped out in second round of airstrikes.
[00:17:35.205 --> 00:17:40.970]  But only teaching them you don't get the curd oil, basically Europe's agreed to get that third.
[00:17:41.980 --> 00:17:49.026]  And then Saudi Arabia and others, they get the West, the Iranians get the East and part of the South.
[00:17:49.026 --> 00:17:54.490]  See, this is a deal to break the country up, and so ISIS is being told, no, no, no, no, no.
[00:17:54.490 --> 00:18:03.237]  You can kill all the Christians you want, and all the Muslim minorities you want, you just can't go into the Kurd areas, okay?
[00:18:03.237 --> 00:18:04.478]  Think about how sick that is.
[00:18:06.505 --> 00:18:13.614]  You're not going to hear a word at your glitterbug church, your big mega church, about this this week when you go to church.
[00:18:13.614 --> 00:18:18.961]  Clinton blames Islamic militants' rise on Obama, French news agency.
[00:18:18.961 --> 00:18:23.367]  Hillary Clinton came out and basically said she liked George Bush two weeks ago on CNN.
[00:18:25.919 --> 00:18:29.060]  Now she's saying she wouldn't have open borders like Obama's doing.
[00:18:29.060 --> 00:18:32.880]  Now she came out and said, well, you know, we don't need too much more gun control.
[00:18:32.880 --> 00:18:34.741]  Pure baloney.
[00:18:34.741 --> 00:18:36.661]  She runs Obama.
[00:18:36.661 --> 00:18:40.942]  Clintons run Obama on record.
[00:18:40.942 --> 00:18:54.145]  So this is pure mindless positioning for moron, yellow dog, Ku Klux Klan, Southern Democrats who want their welfare checks to go vote for Hillary.
[00:18:54.145 --> 00:18:55.445]  That's how dumb they think you are.
[00:18:57.128 --> 00:18:57.928]  Here's another one.
[00:18:57.928 --> 00:18:59.149]  Hillary Clinton.
[00:18:59.149 --> 00:19:03.592]  Failure to help Syrian rebels led to the rise of ISIS.
[00:19:03.592 --> 00:19:04.152]  That's right.
[00:19:04.152 --> 00:19:14.558]  Remember they said we need to have air bombing campaigns of the Syrian forces or Al-Qaeda will get a training base in Syria and take over the Middle East.
[00:19:14.558 --> 00:19:19.261]  While they were through the Turkish ambassador from Benghazi who was there that day.
[00:19:20.512 --> 00:19:27.870]  Giving the heavy weapons, the artillery, the Stinger missiles, the TOW missiles, the Chinese Red Arrows, all of it.
[00:19:27.870 --> 00:19:29.133]  Anything the CIA could buy.
[00:19:30.868 --> 00:19:33.689]  Hundreds of thousands of machine guns bought from the U.S.
[00:19:33.689 --> 00:19:35.330]  sent over there, just everything.
[00:19:35.330 --> 00:19:37.290]  Then they think you're so dumb now.
[00:19:37.290 --> 00:19:40.131]  Oh, we didn't topple Assad.
[00:19:40.131 --> 00:19:41.852]  That's why Al-Qaeda's doing this.
[00:19:41.852 --> 00:19:45.894]  Oh, I'm sure Al-Qaeda would have been, you know, not bad at all if they would have got serious.
[00:19:45.894 --> 00:19:47.934]  See, they need them to get a country.
[00:19:47.934 --> 00:19:56.758]  So they're making a new country for them to now terrorize everything, attack the U.S., hijack jets, blow up embassies, kill our military to keep the war going.
[00:19:56.758 --> 00:19:57.478]  See how that works?
[00:19:59.443 --> 00:20:02.884]  A 30-day GMO-free emergency food supply for only $99?
[00:20:02.884 --> 00:20:12.306]  At 30dayfoodsupply.com, you can purchase Oregon Trail Foods' one-month supply of high-quality, nutritious, and healthy emergency meals.
[00:20:12.306 --> 00:20:20.849]  For less than $100, these vegetarian meals are naturally high in fiber, carbs, and protein, and they're packed with oxygen absorbers in mylar pouches.
[00:20:20.849 --> 00:20:21.689]  They're completely free.
[00:20:21.849 --> 00:20:23.650]  of any artificial flavors and colorings.
[00:20:23.650 --> 00:20:28.173]  Have a 20-year shelf life and take up to 70% less space than number 10 cans.
[00:20:28.173 --> 00:20:30.374]  They even offer a gluten-free option.
[00:20:30.374 --> 00:20:33.336]  Oregon Trail Foods and 30dayfoodsupply.com.
[00:20:33.336 --> 00:20:38.199]  Keep prices low by buying directly from the producers in Oregon and then passing the savings to you.
[00:20:38.199 --> 00:20:46.064]  Purchase a 30-day, 90-serving emergency food supply for only $99 this month and $10 ships your entire order.
[00:20:46.064 --> 00:20:46.925]  Visit the website
[00:20:47.085 --> 00:20:52.375]  At 30dayfoodsupply.com or call 541-229-0010.
[00:20:52.375 --> 00:20:57.145]  That's 30dayfoodsupply.com where they make preparedness affordable.
[00:20:57.145 --> 00:20:57.986]  30dayfoodsupply.com.
[00:20:59.656 --> 00:21:01.938]  Hi, I'm Dr. Edward Grew.
[00:21:01.938 --> 00:21:09.383]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:21:09.383 --> 00:21:20.210]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:21:20.210 --> 00:21:29.436]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:21:30.176 --> 00:21:34.239]  It's the strongest nascent iodine on the market today.
[00:21:34.239 --> 00:21:38.001]  It delivers 650 micrograms per drop.
[00:21:38.001 --> 00:21:40.043]  Experience the new formula.
[00:21:40.043 --> 00:21:42.624]  Experience the ancient purity.
[00:21:42.624 --> 00:21:43.965]  Shield your family.
[00:21:43.965 --> 00:21:45.786]  Survival Shield X2.
[00:21:45.786 --> 00:21:48.928]  Available now at Infowarslife.com.
[00:21:48.928 --> 00:21:52.911]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:21:58.547 --> 00:21:59.308]  Question.
[00:21:59.308 --> 00:22:04.091]  Could too many GMO foods and toxins be overloading your digestive and immune systems?
[00:22:04.091 --> 00:22:05.352]  Answer, yes.
[00:22:05.352 --> 00:22:11.597]  If you're searching for a powerful detox that's gentle enough to use every day, use Pro-EM-1 from Teriganics.
[00:22:11.597 --> 00:22:19.163]  Pro-EM-1 is a powerful liquid probiotic that uses good bacteria to suppress pathogens and gently eliminate toxins from your body.
[00:22:19.163 --> 00:22:27.209]  A healthy digestive system will cleanse and remove toxins, support weight loss, improve absorption of food nutrients, and aid in controlling yeast and other infections.
[00:22:27.509 --> 00:22:35.454]  Pro-EM-1 is made with only non-GMO and certified organic ingredients, has no preservatives, and is dairy, soy, wheat, and gluten-free.
[00:22:35.454 --> 00:22:38.196]  Pro-EM-1 is the key to your digestive health.
[00:22:38.196 --> 00:22:46.362]  Order Pro-EM-1 Daily Probiotic Cleanse at Terragonics.com, spelled T-E-R-A-G-A-N-I-X dot com, or call toll-free 866-369-3678.
[00:22:46.362 --> 00:22:46.702]  That's 866-369-3678.
[00:22:46.702 --> 00:22:48.263]  Also available through Amazon Prime.
[00:22:48.263 --> 00:22:49.304]  Pro-EM-1 from Terragonics.
[00:22:49.304 --> 00:22:50.244]  Life's getting better!
[00:22:58.121 --> 00:23:00.822]  Silver has always been nature's very own antibiotic.
[00:23:00.822 --> 00:23:05.144]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:23:05.144 --> 00:23:06.524]  Silverlungs.com.
[00:23:06.524 --> 00:23:09.205]  You'll find no wild claims or pseudoscience.
[00:23:09.205 --> 00:23:12.206]  Just a lifetime of nano-sized pure silver solutions.
[00:23:12.206 --> 00:23:14.567]  The Silverlungs generator allows you to make your own.
[00:23:14.567 --> 00:23:16.288]  So stop paying for silver solutions.
[00:23:16.468 --> 00:23:22.014]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:23:22.014 --> 00:23:25.838]  See the Silverlungs generator and lung delivery system at Silverlungs.com.
[00:23:25.838 --> 00:23:27.640]  That's Silverlungs.com.
[00:23:27.640 --> 00:23:31.184]  You've been hearing about the in-home freeze dryer from Harvest Ride for months now.
[00:23:31.184 --> 00:23:32.706]  Have you invested in yours yet?
[00:23:32.706 --> 00:23:35.288]  As you know, we live in a politically and economically troubled time.
[00:23:35.288 --> 00:23:38.011]  You should be preparing for an uncertain future today.
[00:23:38.752 --> 00:23:44.997]  Right now is the time to start freeze drying your own food so you can become self-reliant and less dependent upon others.
[00:23:44.997 --> 00:23:49.060]  To invest in your own home freeze dryer, go to HarvestRight.com.
[00:23:49.060 --> 00:23:50.781]  Hurry, supplies are limited.
[00:23:50.781 --> 00:23:53.644]  Again, that's a home freeze dryer from HarvestRight.com.
[00:23:53.644 --> 00:23:55.845]  And be sure to mention this ad to save $200 through the month of August.
[00:24:09.022 --> 00:24:15.905]  While you were sleeping, they came and took it all away, folks.
[00:24:15.905 --> 00:24:21.367]  And until we wake up, we're not gonna get any of it back.
[00:24:21.367 --> 00:24:25.769]  A servile population will be slaves.
[00:24:25.769 --> 00:24:31.651]  A cowardly population will be the property, the vassals of others.
[00:24:33.447 --> 00:24:39.148]  And in this tyranny that we live in, they will even steal our consciousness, our free will.
[00:24:39.148 --> 00:24:49.311]  So, Hillary Clinton says that Obama didn't do enough to hand Syria over to the rebels, who were mainly Al-Qaeda.
[00:24:49.311 --> 00:25:00.974]  And so, because he didn't give enough to Al-Qaeda, that's the reason now Al-Qaeda's changed its name and taken over much of Iraq, and is now running around wildly murdering everybody.
[00:25:02.768 --> 00:25:09.452]  I have photos here today of small children holding up people's heads that have been chopped off in Iraq.
[00:25:09.452 --> 00:25:20.300]  And again, this has all been part of a strategic plan to shut down any sovereign nation that is sustainable.
[00:25:20.300 --> 00:25:23.942]  The globalists want to do the very same stuff here, they just can't get away with it yet.
[00:25:23.942 --> 00:25:28.025]  Hillary Clinton, failure to help Syrian rebels led to rise of ISIS.
[00:25:29.045 --> 00:25:29.605]  That's right.
[00:25:29.605 --> 00:25:37.951]  Then they give all this twisted logic explaining it and people read the New York Times and think they're real smart or read the Atlantic and, oh, you read the New York Times?
[00:25:37.951 --> 00:25:40.573]  Oh, you're an intellectual.
[00:25:40.573 --> 00:25:45.497]  Laura Ingraham has come out and said Iraq is worse off now than under Saddam Hussein.
[00:25:45.497 --> 00:25:54.663]  Yeah, so why did you support the bipartisan Republicans and Democrats toppling Hussein in 1991 and then in
[00:26:00.546 --> 00:26:04.310]  99 with the Clintons bombing and then in 2003 and then his capture in 2007.
[00:26:04.310 --> 00:26:09.694]  On and on and on.
[00:26:09.694 --> 00:26:14.038]  She says after 11 years Iraq is worse off and that Obama's doing a terrible job.
[00:26:14.038 --> 00:26:16.159]  No he's not!
[00:26:16.159 --> 00:26:18.521]  But I appreciate you telling part of the truth, Laura.
[00:26:18.521 --> 00:26:19.182]  You're a smart lady.
[00:26:21.616 --> 00:26:22.497]  She's been around a long time.
[00:26:22.497 --> 00:26:24.458]  Wasn't she in the Reagan administration?
[00:26:24.458 --> 00:26:26.440]  She's getting ready to run for office.
[00:26:26.440 --> 00:26:27.961]  I'd like to be able to support somebody like her.
[00:26:27.961 --> 00:26:33.986]  She's good on guns and taxes and things, but really bad on warmongering.
[00:26:33.986 --> 00:26:35.967]  Did any of these wars turn out good for anybody?
[00:26:35.967 --> 00:26:44.814]  Our troops, our country, we're in debt, and we got a dead million Iraqis plus, and that's on our name until we repent of it.
[00:26:47.708 --> 00:26:56.757]  The Iraqis were some of the most pro-Western people in the whole Middle East, folks, until we screwed them over for more than two decades.
[00:26:56.757 --> 00:27:07.528]  And both political parties and the political class are behind it, and now they're breaking the country in three parts again, giving Saudi Arabia a third, Iran a third, and basically the EU a third.
[00:27:07.528 --> 00:27:09.150]  And we all paid for it.
[00:27:09.150 --> 00:27:10.892]  That's what a joke this country's become!
[00:27:13.280 --> 00:27:18.405]  Oh look at this headline out of the Washington Post so intellectuals can read it and learn about things.
