[00:00:00.029 --> 00:00:04.954]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:09:46.041 --> 00:09:56.496]  Now, one strain of Ebola, the Ebola Reston, was actually found to be transmitted between monkeys via air, and that was in Reston, Virginia.
[00:09:56.936 --> 00:09:58.619]  Yes, yes.
[00:09:58.659 --> 00:10:00.782]  What it was, was it was because it's considered a
[00:10:03.465 --> 00:10:03.525]  I'm
[00:10:20.576 --> 00:10:21.616]  Um, from you coughing.
[00:10:22.016 --> 00:10:28.278]  And so that way it can be transmitted through the air, but it's not really like an airborne airborne threat.
[00:10:28.698 --> 00:10:29.779]  It's within a certain parameter.
[00:10:29.799 --> 00:10:33.580]  And that's why in Reston, it is actually, they're quarantined off.
[00:10:33.620 --> 00:10:42.282]  And then after that happened, they tested everybody and they cleared down the room and actually shut, um, what's called, um, flooded the room with UV with UV rays after that.
[00:10:43.317 --> 00:10:46.979]  So one of the things we really would need to worry about is if there are any human error.
[00:10:47.299 --> 00:11:02.128]  Obviously we've reported before how the CDC and a lot of these other maximum lab facilities, maximum security facilities have mistakenly put smallpox vials like on a shelf back in a storage room and just forgot about it and things like that.
[00:11:02.209 --> 00:11:07.352]  So there's always the potential for something like this to cause an outbreak.
[00:11:08.152 --> 00:11:09.093]  But you don't really think that that's
[00:11:09.921 --> 00:11:12.744]  Yeah, I mean there is potential.
[00:11:12.764 --> 00:11:14.686]  There's human error, you know.
[00:11:14.846 --> 00:11:29.060]  The one thing about Ebola as opposed to other contagions is there are actually people who have PhDs in virology that will not work with Ebola because it is so deadly and it is so dangerous.
[00:11:29.640 --> 00:11:32.003]  So I feel that the level of fear here actually
[00:11:32.503 --> 00:11:40.250]  Would help to minimize, not eliminate, you know, because you can almost never eliminate human error, but minimize human error in that.
[00:11:40.290 --> 00:11:41.912]  Now, is there a chance it can get out?
[00:11:42.853 --> 00:11:44.414]  Yes, it can.
[00:11:44.615 --> 00:11:46.176]  You know, I mean, there's a chance for anything, really.
[00:11:47.237 --> 00:11:57.547]  But it's minimal, and I personally, I am not afraid of it, or even to go into the facility where the Ebola patient is being housed, if you will.
[00:11:58.837 --> 00:12:07.725]  Now when we were speaking yesterday, you were saying that the potentiality of Ebola being used as a bioweapon was, you know, just really didn't even make sense.
[00:12:08.226 --> 00:12:12.950]  But the Navy Times published an article just recently speaking about how U.S.
[00:12:13.030 --> 00:12:16.394]  biowarfare scientists have been interested in Ebola since the 1970s.
[00:12:19.375 --> 00:12:29.397]  Mainly because Ebola and its fellow viruses have high mortality rates and its stable nature in aerosol make it attractive as a potential biological weapon.
[00:12:30.916 --> 00:12:31.136]  Right.
[00:12:32.336 --> 00:12:51.681]  Well, the thing about bioweapons is we as a country have basically signed agreements, and I believe it's part of the Geneva Convention, that says that the only reason we cannot create bioweapons, we cannot create chemical weapons, we can on the other hand keep a stockpile of
[00:12:52.461 --> 00:13:04.528]  Certain materials like, you know, Ebola or, you know, Spanish flu or whatever around to do tests on them to figure out how to create deterrent from other countries using bioweapons.
[00:13:05.068 --> 00:13:14.853]  Now, the idea of an actual Ebola, the only way to actually create an Ebola bioweapon is to actually take the Ebola virus and mutate it into something you can control.
[00:13:14.933 --> 00:13:17.955]  But right now we don't know hardly anything about Ebola.
[00:13:18.715 --> 00:13:22.977]  In order to actually create treatments for it, let alone turn it into a bioweapon.
[00:13:23.317 --> 00:13:30.400]  The idea of using Ebola as a bioweapon is, in my mind, just, it's a terrible idea because you can't control it.
[00:13:30.900 --> 00:13:35.282]  You know, you drop, you say, you turn Ebola into a bioweapon in a bomb form.
[00:13:35.502 --> 00:13:36.462]  You drop it on a country.
[00:13:36.782 --> 00:13:41.965]  Next thing you know, the entire country is infected with Ebola because it spreads ridiculously fast.
[00:13:42.065 --> 00:13:44.786]  It has a burner, it basically, from
[00:13:45.686 --> 00:13:55.393]  As an incubation period of 2 to 21 days, meaning you don't show any symptoms from 2 to 21 days, so you're running around, flying around, interacting with people, you know, shaking hands, spreading bodily fluids, all that jazz.
[00:13:56.193 --> 00:14:02.878]  In that case, it could probably, in my opinion anyway, it could probably take out the entire world's population in a few months.
[00:14:03.358 --> 00:14:05.840]  So in that way, it's a terrible idea.
[00:14:05.920 --> 00:14:07.001]  It's not a good idea at all.
[00:14:07.241 --> 00:14:08.362]  I don't think
[00:14:08.962 --> 00:14:09.122]  What's
[00:14:29.292 --> 00:14:29.533]  I'm good.
[00:14:42.381 --> 00:14:45.543]  And that way it would be, that way it would be feasible, but not Ebola.
[00:14:45.883 --> 00:14:54.687]  You know, to actually make a virus into a bioweapon, especially when we can't cure viruses, we can treat them and we can vaccinate against some of them, but we can't cure them.
[00:14:54.747 --> 00:14:59.129]  It's just, it's, in my, in my head, it's just, it's not, it's not feasible, really.
[00:14:59.429 --> 00:15:01.630]  So what about the fact that we have U.S.
[00:15:01.730 --> 00:15:04.611]  biowarfare researchers in the Ebola zone?
[00:15:04.951 --> 00:15:14.534]  Fort Detrick, people there, they just released a paper to the CDC about a month ago admitting that the particular strain that they're working with, that the U.S.
[00:15:14.574 --> 00:15:20.695]  government has a patent on, may have been responsible for the particular outbreak that's going on in Sierra Leone.
[00:15:21.836 --> 00:15:22.496]  That's frightening.
[00:15:23.132 --> 00:15:23.833]  That is, that is.
[00:15:24.673 --> 00:15:29.376]  I personally don't know really much about that, that particular statement.
[00:15:31.137 --> 00:15:39.702]  But you can, think of it this way, the, you know, with bioweapons researchers, they're, you know, especially working for the U.S.
[00:15:39.742 --> 00:15:41.584]  military in that aspect, they're going to be the top in the field.
[00:15:43.084 --> 00:15:51.570]  And they're going to know the most about a certain subject, you know, in this case Ebola, BDV, I'm sorry, BDBV, you know.
[00:15:52.310 --> 00:16:03.459]  So, they're the ones who are going to be out there knowing, okay, so this strain does this, this, this, and this, you know, and by using these synthesized proteins or whatever, we may be able to put a stop on it.
[00:16:03.559 --> 00:16:14.147]  And by them actually, you know, to comment on the quote itself, if they're the cause of it, I don't know.
[00:16:14.267 --> 00:16:16.069]  I honestly couldn't tell you.
[00:16:16.489 --> 00:16:18.010]  I know that that would actually be in
[00:16:19.151 --> 00:16:19.772]  We're good.
[00:16:30.834 --> 00:16:36.219]  You know, early 2000s was because they were using chemical weapons on, you know, in northern Iraq.
[00:16:36.279 --> 00:16:37.360]  We went there to stop that.
[00:16:38.000 --> 00:16:45.326]  And, I mean, if we're doing that to, you know, Central Africa censors Southern Africa, then that pretty much just makes us hypocrites.
[00:16:45.386 --> 00:16:47.969]  But I don't know anything about that personally.
[00:16:47.989 --> 00:16:50.711]  I haven't seen that article or read about it.
[00:16:51.692 --> 00:16:55.395]  So I really can't make an informed comment on that, if that makes sense.
[00:16:55.675 --> 00:16:56.416]  Right, absolutely.
[00:16:56.456 --> 00:17:03.321]  Well, it just kind of proves that we need to have a deeper investigation into what exactly they're studying there at that lab.
[00:17:03.341 --> 00:17:15.389]  I'm sure they'll claim all sorts of national security issues with finding out what they're doing in there, but that's a huge cause for concern if they're actually admitting that that could potentially have caused that current outbreak.
[00:17:16.670 --> 00:17:20.414]  Are we seeing here with this, you know, the media here is really hyping it up.
[00:17:20.454 --> 00:17:26.980]  We've got CNN standing outside the hospitals reporting on all of these people that are showing symptoms of Ebola.
[00:17:27.040 --> 00:17:33.466]  Meanwhile, you know, like we discussed yesterday, you said having the flu or, you know, mono could give you Ebola-like symptoms.
[00:17:34.747 --> 00:17:41.173]  I feel like this is kind of what we saw leading up to the swine flu when they really rolled it out and rushed out the vaccines.
[00:17:42.287 --> 00:17:44.489]  Yeah, it's... I mean, there are a lot of things.
[00:17:44.529 --> 00:17:46.911]  I mean, it's a worst-case scenario, you know?
[00:17:47.011 --> 00:17:55.079]  So, once... It's like, okay, say you're in college and you're taking a... You haven't taken a psychology class, but you're gonna just take an abnormal psychology class.
[00:17:55.659 --> 00:18:00.043]  All of a sudden, you have everything in that class because you start fitting certain criteria, you know?
[00:18:01.184 --> 00:18:05.265]  What the doctors will do when a person's like, I think I got Ebola, right?
[00:18:05.285 --> 00:18:06.545]  They're going to quarantine them.
[00:18:06.565 --> 00:18:07.606]  They're going to do it.
[00:18:07.626 --> 00:18:08.686]  I mean, because it's protocol.
[00:18:09.026 --> 00:18:19.008]  And then they're going to test for certain things like malaria, typhoid fever, shinglosis, cholera, and a whole slew of other things, you know, because it's...
[00:18:21.349 --> 00:18:36.013]  They have to rule out these other ones first because, I mean, basically Ebola is a death sentence, you know, and they can actually do, they can actually combat, if you will, maybe not cure, but combat some of these other viruses and other diseases.
[00:18:36.973 --> 00:18:40.174]  But again, it's just really, these people are
[00:18:40.754 --> 00:18:42.095]  You know, oh, I'm sick.
[00:18:42.175 --> 00:18:44.237]  I have it because I have so many symptoms.
[00:18:44.257 --> 00:18:44.738]  I have a headache.
[00:18:44.798 --> 00:18:45.718]  I have a backache, you know.
[00:18:45.859 --> 00:18:49.221]  Oh, you know, I mean that could be any number of things, you know.
[00:18:49.622 --> 00:18:55.207]  It starts out like a lot of other viruses or diseases and then, you know, goes from there.
[00:18:55.247 --> 00:18:58.289]  I mean, you'll know you have Ebola after about two weeks when you start bleeding out.
[00:18:58.530 --> 00:18:58.790]  Just saying.
[00:18:59.249 --> 00:18:59.489]  Right.
[00:19:00.089 --> 00:19:07.833]  Well, it seems like there are certain, you know, people that are going to profit off of having this potential scare.
[00:19:07.973 --> 00:19:14.856]  Obviously, you know, we heard about Donald Rumsfeld and Dick Cheney, you know, really profiting off Tamiflu with the whole swine flu thing.
[00:19:14.896 --> 00:19:19.118]  Of course, a lot of people died as a result of the rushing out of that vaccine.
[00:19:19.158 --> 00:19:20.279]  We don't really hear about that.
[00:19:20.319 --> 00:19:22.220]  They pulled, you know, Tamiflu off the shelves.
[00:19:22.720 --> 00:19:23.541]  And everything like that.
[00:19:23.621 --> 00:19:27.084]  And now they're saying they want to rush out this new Ebola vaccine.
[00:19:27.604 --> 00:19:32.528]  Meanwhile, Ebola isn't even, it's not even a huge pandemic at the moment.
[00:19:32.548 --> 00:19:37.052]  We've got two cases of people we've actually brought in to the country.
[00:19:37.152 --> 00:19:38.453]  Nothing that's actually been here.
[00:19:39.139 --> 00:19:39.579]  Exactly.
[00:19:39.940 --> 00:19:47.526]  I mean, yeah, we've had Ebola as the virus itself in the United States at least since the 80s.
[00:19:47.946 --> 00:19:52.630]  It's been, like I said, been in four labs, at least four labs in DC and in Atlanta.
[00:19:53.371 --> 00:19:57.294]  But you said something earlier that, or yesterday, that actually really connects to this.
[00:19:57.434 --> 00:19:59.656]  It's the best way to control people is through fear.
[00:20:00.116 --> 00:20:03.479]  You know, so you want to sell a product, make these people think they need it.
[00:20:03.999 --> 00:20:04.079]  Yeah.
[00:20:14.844 --> 00:20:16.465]  But, you know, that's what I see.
[00:20:16.525 --> 00:20:22.007]  I see causing a panic, and then causing a need for something, and then creating profits out of it.
[00:20:22.027 --> 00:20:22.687]  Does that make sense?
[00:20:23.067 --> 00:20:23.987]  Yeah.
[00:20:24.027 --> 00:20:25.448]  Yeah, I mean, to me, that's what it is.
[00:20:25.548 --> 00:20:26.648]  It's just, they're creating this panic.
[00:20:26.668 --> 00:20:29.969]  You bring a guy over, all of a sudden, oh, opportunity for money, you know?
[00:20:30.430 --> 00:20:40.393]  In my opinion, and, you know, this is just me, in my opinion, there is no reason to be afraid, because the CDC has things under control, you know?
[00:20:40.733 --> 00:20:42.474]  Yes, there is a potential for human error,
[00:20:43.462 --> 00:21:12.381]  But I believe given the circumstances of this virus and the fact that there's really only two people that we know of for a fact that have it in the United States, and they're both under quarantine by the CDC who works directly with the World Health Organization, who are the two greatest, you know, companies or organizations rather on the planet for, you know, biological, you know, and biologically contagion, you know, elements of science, if you will.
[00:21:14.664 --> 00:21:17.689]  To bring these people into the country.
[00:21:26.411 --> 00:21:38.702]  Well, so do you have any advice for people, anything that they can particularly do if they are just very fearful, you know, short of going, rushing out, getting this experimental vaccine that they're talking about pushing out in September?
[00:21:39.242 --> 00:21:43.266]  What are some other things people can be aware of, take precautions, things like that?
[00:21:44.218 --> 00:21:45.239]  Inform yourself, really.
[00:21:45.979 --> 00:21:48.100]  The best thing you can do is become knowledgeable.
[00:21:48.781 --> 00:21:53.583]  Go to the CDC websites, go to the World Health Organization websites, pick up a book.
[00:21:53.743 --> 00:21:55.224]  Actually learn about this thing.
[00:21:55.304 --> 00:22:01.628]  Learn about what it does, how it does, and then once you see that, actually figure out, okay, now how are they controlling it?
[00:22:02.008 --> 00:22:07.111]  Again, the CDC websites have all this information, the World Health Organization have all this information, and they're actually hotlines.
[00:22:07.791 --> 00:22:07.911]  Yeah.
[00:22:26.681 --> 00:22:31.143]  You know, obviously make him wear a mask and then get him to the doctor to get him checked out.
[00:22:31.443 --> 00:22:32.824]  That's the best you can do.
[00:22:33.284 --> 00:22:34.944]  There is no magical cure.
[00:22:34.984 --> 00:22:39.626]  Like I read someplace that it said, if I eat three onions a day, I won't get, you know, Ebola.
[00:22:39.967 --> 00:22:41.187]  No, that's a terrible idea.
[00:22:41.227 --> 00:22:48.190]  It might help your ulcers, but no, you know, um, there is no magical pill or magical cure or magical anything for this.
[00:22:48.210 --> 00:22:50.051]  You just have to be informed and
[00:22:50.931 --> 00:23:04.145]  Cautious, you know, not don't be afraid of it, you know, because you're afraid of it then it's gonna cause you to do Erratic things and things that you wouldn't normally do which may actually end up in a self-fulfilling prophecy, but just be knowledgeable about it, really All right.
[00:23:04.165 --> 00:23:12.214]  Well, thank you so much for joining us I mean, I'm still a little you know, even though I want to put all my trust into the CDC and the World Health Organization we know
[00:23:13.288 --> 00:23:19.210]  They get kind of their bread and butter from vaccines and big pharma, so it's a little, you know, caught in those things.
[00:23:19.270 --> 00:23:27.093]  But I am kind of really wanting people to be cautious about getting caught up in all the fear surrounding this because it's definitely a form of control.
[00:23:27.873 --> 00:23:28.334]  I agree.
[00:23:28.414 --> 00:23:33.476]  And like I said, the best thing you could do is just to form yourself, you know, learn about it, study it, know it.
[00:23:33.896 --> 00:23:34.116]  So.
[00:23:35.036 --> 00:23:35.256]  All right.
[00:23:35.296 --> 00:23:36.477]  Well, thank you so much for your time.
[00:23:37.097 --> 00:23:37.337]  Thank you.
[00:23:38.527 --> 00:23:43.229]  Well, Christopher Palo has more than 10 years of extensive research into this disease.
[00:23:43.269 --> 00:23:46.490]  He doesn't believe that Ebola is something we need to be really concerned with.
[00:23:47.070 --> 00:23:55.814]  At the moment, presently as today, there are just a little over 900 cases of people who have actually died from this current outbreak of Ebola.
[00:23:56.634 --> 00:23:58.715]  No cases so far here in the U.S.
[00:23:58.915 --> 00:24:05.757]  save for those two Americans who have been brought in by the State Department, who says it's perfectly fine, perfectly safe that they are being brought in.
[00:24:06.238 --> 00:24:06.938]  So the question is,
[00:24:07.478 --> 00:24:13.143]  Why are the media really ramping this up as a potential national health scare?
[00:24:13.183 --> 00:24:15.085]  Something we really need to be concerned about.
[00:24:15.425 --> 00:24:19.949]  Why are they pushing out an experimental Ebola vaccine in September?
[00:24:20.409 --> 00:24:25.314]  Why does Obama all of a sudden grant himself new executive authority
[00:24:25.754 --> 00:24:30.377]  To detain and quarantine people who are showing Ebola-like symptoms.
[00:24:30.417 --> 00:24:40.903]  He already had the authority to quarantine and detain people showing symptoms of kind of flu-like symptoms, but now he specifically granted himself the authority with Ebola.
[00:24:41.264 --> 00:24:49.849]  Of course, then we have the CDC changing their website, updating it really to give the American people tips on how they can protect themselves and prevent
[00:24:50.369 --> 00:24:50.969]  I think so.
[00:25:10.714 --> 00:25:14.515]  Who stands to profit from a potential pandemic?
[00:25:14.915 --> 00:25:22.257]  Is it, you know, the same with the swine flu, where people who are creating this vaccine are going to be making all of this money?
[00:25:22.657 --> 00:25:30.219]  Speaking of vaccines, that experimental vaccine that the two American patients have been treated with, it seems to be helping them.
[00:25:30.359 --> 00:25:37.601]  In fact, that doctor who created that was actually one that was caught on video several years ago joking
[00:25:38.161 --> 00:25:45.605]  About wiping out the population of, you know, a large portion of the population with a GMO vaccine.
[00:25:45.985 --> 00:25:47.206]  He was kind of joking about that.
[00:25:47.286 --> 00:25:50.888]  So, you know, that could just be obviously a coincidence here.
[00:25:51.048 --> 00:25:59.693]  But the fact that Ebola is now being touted as something that could be wiping out large portions of the population, something that we really need to be concerned with,
[00:26:00.273 --> 00:26:06.619]  Like Christopher Palo said, turning something like Ebola into a bioweapon would be completely mental.
[00:26:06.959 --> 00:26:14.146]  You can't control it and it would wipe out 90% of the population if it was allowed to spread like wildfire.
[00:26:14.646 --> 00:26:25.676]  And just refer back to the Georgia Guidestones and something like Ebola wiping out the population is directly in line with the globalist plan to clean up the planet.
[00:26:26.337 --> 00:26:28.378]  So, I don't really know where to go with this.
[00:26:29.059 --> 00:26:30.860]  Presently, I would agree with Christopher.
[00:26:30.980 --> 00:26:31.801]  Educate yourself.
[00:26:32.261 --> 00:26:34.402]  Don't buy into the fear at this moment.
[00:26:34.462 --> 00:26:37.545]  Don't go lining up to get those experimental vaccines.
[00:26:38.325 --> 00:26:45.830]  But again, we're just going to have to do a little bit more research and find out what the endgame is with this current pandemic.
[00:26:46.470 --> 00:26:51.414]  Now, coming up right after this, we are going to be giving you an update on Jesse Ventura.
[00:26:53.134 --> 00:26:55.536]  This is Alex Jones for InfoWarsLife.com.
[00:27:23.434 --> 00:27:27.236]  City of Austin tap water versus filtered City of Austin tap water.
[00:27:27.656 --> 00:27:28.877]  I didn't, I taste dirt in it.
[00:27:28.917 --> 00:27:30.037]  God knows what's in this.
[00:27:30.177 --> 00:27:31.178]  This has an aftertaste.
[00:27:31.198 --> 00:27:32.799]  Tastes like Austin water?
[00:27:33.059 --> 00:27:33.499]  Yeah, it does.
[00:27:33.699 --> 00:27:33.899]  Ugh.
[00:27:33.959 --> 00:27:38.121]  These people just sampled City of Austin tap water straight from the faucet.
[00:27:38.361 --> 00:27:44.464]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[00:27:44.604 --> 00:27:45.425]  High quality H2O.
[00:27:45.445 --> 00:27:46.985]  That one is better.
[00:27:47.065 --> 00:27:48.046]  Tastes like nothing.
[00:27:48.326 --> 00:27:49.727]  Yep, I know what good water tastes like.
[00:27:49.787 --> 00:27:50.287]  It's good water.
[00:27:50.387 --> 00:27:58.934]  Most tap water contains added substances, like fluoride, chlorine, Monsanto's deadly pesticide, glyphosate, and many others.
[00:27:59.334 --> 00:28:06.840]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[00:28:07.121 --> 00:28:09.623]  It tastes like you're drinking out of the lake when you're drinking tap water.
[00:28:10.203 --> 00:28:12.547]  Yeah, there's that processed flavor to it.
[00:28:12.887 --> 00:28:22.461]  The ProPure® G2.0 filtration system removes these deadly substances and many more, leaving only fresh tasting, deliciously clean water.
[00:28:22.581 --> 00:28:24.023]  Okay, this is very tasty.
[00:28:24.043 --> 00:28:24.985]  It's good water.
[00:28:25.640 --> 00:28:26.101]  Refreshing.
[00:28:26.541 --> 00:28:26.902]  It's good.
[00:28:27.422 --> 00:28:29.785]  Go to InfoWarsStore.com today.
