[00:00:02.455 --> 00:00:03.395]  According to the U.S.
[00:04:45.141 --> 00:04:50.706]  No one's trying to go to Washington right now and take that fence down, but, you know, the border fence, that's racist.
[00:04:51.479 --> 00:05:00.808]  You know, it's funny, when I went down to Lackland Air Force Base, Jed Johnson, the Secretary of Homeland Security, scurried away and ran, and then Nancy Pelosi once again down in Brownsville.
[00:05:01.268 --> 00:05:05.512]  You know, once you go out there and you try to hit them with some real questions about the issue, they run from you.
[00:05:05.932 --> 00:05:11.017]  Yeah, and the thing about Pelosi, she's all talking about how if she could, she would take all the kids home with her.
[00:05:11.057 --> 00:05:12.238]  You and I were both down there.
[00:05:12.939 --> 00:05:17.223]  Maybe I'm miscounting, but I'm counting a grand total of zero children she took home with her.
[00:05:17.463 --> 00:05:18.864]  Yeah, I didn't see any kids go with it.
[00:05:18.904 --> 00:05:21.825]  Well, what about all the kids that are homeless in this country?
[00:05:22.466 --> 00:05:26.908]  I just went to go get lunch a few days ago and I saw a homeless kid walking down the street.
[00:05:27.348 --> 00:05:27.768]  Absolutely.
[00:05:27.788 --> 00:05:35.432]  We're talking about bringing in kids that can't speak the language, they don't understand our culture, they don't understand what it is to be a naturalized citizen.
[00:05:35.872 --> 00:05:40.775]  All they're going to do is add more of an economic destruction to our economy.
[00:05:41.095 --> 00:05:44.217]  And then you have to understand about it, because then you have to have the cultural sensitivity.
[00:05:44.457 --> 00:05:47.980]  Then you can't wear an American flag to school because you may offend somebody.
[00:05:48.100 --> 00:05:52.162]  Well, I had friends who died in combat to become citizens of this country.
[00:05:52.242 --> 00:05:57.946]  Mexican-American men who fought and died in Iraq and Afghanistan to go through the process the correct way.
[00:05:57.966 --> 00:05:58.307]  Absolutely.
[00:05:58.327 --> 00:06:05.291]  And these kids are being shipped over, they're being flown over by the busloads, by the plane, and we're wasting our resources and draining our economy.
[00:06:05.551 --> 00:06:09.294]  And there's a right way and there's a wrong way to do it, and this is no way the right way to do it.
[00:06:09.454 --> 00:06:09.714]  Absolutely.
[00:06:09.734 --> 00:06:10.835]  And only America knows that.
[00:06:11.516 --> 00:06:12.258]  You can feel it.
[00:06:12.379 --> 00:06:12.659]  Yeah.
[00:06:13.141 --> 00:06:16.369]  Just like in California yesterday when they stormed the buses and they were protesting.
[00:06:16.770 --> 00:06:19.918]  And now finally people are standing up and they're saying, no, go back.
[00:06:20.814 --> 00:06:24.975]  Well, let's talk a little bit about how you went to Lackland Air Force Base.
[00:06:24.995 --> 00:06:29.556]  You were there to go to a press conference, and there were no other media there.
[00:06:29.636 --> 00:06:32.416]  You were the only one that was there, and they fled.
[00:06:32.436 --> 00:06:35.117]  Yeah, I got on the Department of Homeland Security website.
[00:06:35.197 --> 00:06:36.617]  I printed out the press release.
[00:06:37.057 --> 00:06:37.898]  He told me about it.
[00:06:38.198 --> 00:06:44.119]  We took it down there because, you know, I had this feeling that if I got down there, there'd be some kind of excuse, like there always is with the government.
[00:06:44.679 --> 00:06:47.720]  We get down there and they're like, whoa, we're not expecting any kind of media.
[00:06:47.740 --> 00:06:48.460]  What are you doing here?
[00:06:48.880 --> 00:06:51.081]  And next thing you know, they go grab a Secret Service guy.
[00:06:51.121 --> 00:06:53.022]  They go grab a Homeland Security guy.
[00:06:53.042 --> 00:06:58.483]  And they come over, they take my ID, my military ID, my VA card, everything.
[00:06:58.563 --> 00:07:01.364]  Take the plates down on the vehicle and harass us.
[00:07:01.824 --> 00:07:09.727]  Meanwhile, Jed Johnson and company get, you know, pulled out of there, thrown in their motorcade and, you know, drive off because
[00:07:10.327 --> 00:07:12.388]  They wanted to say that they wanted the media there.
[00:07:12.408 --> 00:07:17.132]  I think it was just another beard, another famous beard that the government throws on all the time.
[00:07:17.172 --> 00:07:23.636]  Jimmie Johnson is responsible for creating this mass exodus, this illegal, destructive exodus to our country.
[00:07:23.776 --> 00:07:29.840]  Right, they're continually sending mixed messages, and the mainstream media really isn't doing anything to help this.
[00:07:30.460 --> 00:07:34.123]  Basically, the way they're covering it, they're clearly showing what side they're taking.
[00:07:34.163 --> 00:07:36.404]  They're supporting the collapse of America.
[00:07:36.805 --> 00:07:38.546]  We have today anchor Matt Lauer.
[00:07:38.906 --> 00:07:39.426]  He declared,
[00:07:40.447 --> 00:07:41.668]  We want you to weigh in on this.
[00:07:41.828 --> 00:07:44.451]  Tweet out to the hashtag Refugee Riders.
[00:07:44.791 --> 00:07:45.712]  So now they're refugees.
[00:07:45.752 --> 00:07:51.757]  So they're just, they're pulling up this whole thing that all these children are flooding the borders and their families because there's some crisis there.
[00:07:52.178 --> 00:07:56.582]  What has changed in Central America in the last two years, few years?
[00:07:56.742 --> 00:07:57.022]  Nothing.
[00:07:57.162 --> 00:08:08.573]  We gotta think that what's funny though, when Jakari and I were down in Brownsville, Pelosi was talking about, well, all these people, these families, these young children from Honduras are fleeing to America and it's our job to take care of them.
[00:08:08.994 --> 00:08:14.038]  What they don't mention is in 2009, we're the one who funded the coup that took over Honduras.
[00:08:14.239 --> 00:08:17.802]  We put in the new government that now kills all the people there.
[00:08:17.962 --> 00:08:21.245]  So it's another instance of us creating terrorists
[00:08:22.570 --> 00:08:29.234]  You create the crisis, and then when they come here, it's like, well, we have to let them in because they're here.
[00:08:29.254 --> 00:08:33.196]  And that's the thing I keep hearing from these people, like, well, these children didn't ask to come here.
[00:08:33.236 --> 00:08:35.898]  Maybe they didn't, but, you know, we can't just bust them in.
[00:08:35.938 --> 00:08:41.361]  Now I hear reports that they're looking in the city of Dallas to start using some of these abandoned schools to house these people.
[00:08:41.681 --> 00:08:48.785]  Up in New York, they're talking about using old burnout Walmart facilities because we have so many people, we can't even keep them in the churches and on the military bases.
[00:08:48.925 --> 00:08:50.366]  Yeah, now our Border Patrol wants to quit.
[00:08:50.946 --> 00:08:52.087]  These guys are getting fed up.
[00:08:52.187 --> 00:08:55.369]  They can't... No, it's a joke.
[00:08:55.389 --> 00:09:03.613]  Both you guys, we drove through the Border Patrol checkpoint, once with Bound and once with Biggs, and both times we pulled up, we said, hey man, you guys know you're paying the bus tickets.
[00:09:03.793 --> 00:09:12.598]  Those stations, now the Border Patrol themselves that are helping the ranchers and the bankrupt cities north of the border, they're a tremendous help.
[00:09:12.678 --> 00:09:12.898]  Yeah.
[00:09:13.318 --> 00:09:13.699]  But they're...
[00:09:14.999 --> 00:09:17.402]  They have to sit on their hands, too, because they don't have enough resources.
[00:09:17.462 --> 00:09:20.786]  But the border patrol stations themselves, they're checking us.
[00:09:21.146 --> 00:09:22.668]  The TSA is checking us.
[00:09:23.248 --> 00:09:26.512]  And meanwhile, America, they're all coming up through our border.
[00:09:26.532 --> 00:09:29.655]  We're being invaded, and the President of the United States is letting this happen?
[00:09:30.016 --> 00:09:30.817]  Wake up, man!
[00:09:30.937 --> 00:09:35.361]  The thing about it is, because you remember, both times we went through, everybody said they knew what was going on.
[00:09:35.942 --> 00:09:38.463]  Yeah, you know they're doing it, but yeah, it's no big deal.
[00:09:38.583 --> 00:09:45.287]  Well, it looks like more civilians are willing to step up to the plate and help watch the border than the actual Border Patrol are, you know, in that report that I saw that you did.
[00:09:45.467 --> 00:10:00.095]  Yeah, yeah, there are a lot of volunteers that come down, give their time from all over the country to help these ranchers, and it really doesn't dawn on you until you're standing there on their land, realizing that while you're talking to them, that there may be
[00:10:01.605 --> 00:10:05.208]  Uh, and this terminology, migrants?
[00:10:05.988 --> 00:10:06.468]  Immigrants?
[00:10:07.429 --> 00:10:07.629]  No.
[00:10:08.149 --> 00:10:10.411]  These people are illegal aliens.
[00:10:10.631 --> 00:10:10.811]  Right.
[00:10:10.971 --> 00:10:18.596]  And I've even added the terminology, illegal citizens, because what is a citizen except somebody that enjoys the rights and protection of their country?
[00:10:18.937 --> 00:10:23.600]  Well, these people are illegally enjoying the rights and protection of our country.
[00:10:23.760 --> 00:10:30.725]  The naturalized citizens, like ourselves and the rest of America, are here on this 4th of July witnessing our president
[00:10:31.744 --> 00:10:42.453]  Naturalized, for I think the third year in a row, on the 4th of July, his liberal agenda to basically cloward and pivot the country.
[00:10:42.653 --> 00:10:50.059]  The Vice President of the Border Patrol Union said that he wants the National Guard to come down and help out on the administrative side.
[00:10:50.499 --> 00:10:53.441]  So the Border Patrol agents themselves can actually get back to the border.
[00:10:53.942 --> 00:10:56.444]  But the thing is, like you said, they're not really doing anything.
[00:10:56.744 --> 00:11:02.266]  So I asked him, I said, I heard there's reports of militia coming down and they're willing to help out the Border Patrol.
[00:11:02.286 --> 00:11:04.527]  Would that be some kind of help that you'd be willing to take?
[00:11:04.787 --> 00:11:05.507]  And he said, no.
[00:11:06.087 --> 00:11:07.167]  He said, it doesn't make sense.
[00:11:07.187 --> 00:11:08.668]  They don't have arresting authority.
[00:11:08.928 --> 00:11:10.329]  And I looked at him and I said, guess what?
[00:11:10.369 --> 00:11:11.329]  Who are you guys arresting?
[00:11:11.789 --> 00:11:13.890]  You're not arresting anybody.
[00:11:13.910 --> 00:11:22.752]  The gates are open, and you're letting everyone in, and you're giving them a health card, and you're giving them food, and you're letting them go, and you're letting them make what they call anchor babies.
[00:11:23.052 --> 00:11:27.633]  So when the immigrants come in and they have a kid, do you think a judge is going to kick them out after that?
[00:11:28.033 --> 00:11:28.273]  No!
[00:11:28.333 --> 00:11:29.514]  Their kid is now a U.S.
[00:11:29.554 --> 00:11:30.894]  citizen, and they will stay!
[00:11:31.594 --> 00:11:40.138]  We're talking about the destruction of this country, hyper-destruction of this country by our government.
[00:11:40.438 --> 00:11:41.818]  That's what we're talking about here.
[00:11:41.978 --> 00:11:43.499]  And it's a tactic that they're using.
[00:11:43.539 --> 00:11:46.720]  I mean, you see how the mainstream media is covering it.
[00:11:46.760 --> 00:11:49.201]  They won't even call them illegal immigrants.
[00:11:49.241 --> 00:11:51.102]  They call them undocumented immigrants.
[00:11:51.502 --> 00:11:54.924]  ABC's Good Morning America, they just simply called them immigrants.
[00:11:55.424 --> 00:12:06.449]  So now, I mean, what a slap in the face to people who have been spending thousands of dollars every year, waiting year after year, doing everything they can to play by the law to become citizens of the United States of America.
[00:12:06.549 --> 00:12:09.150]  And then now we're just inviting all these people in and saying, eh.
[00:12:09.710 --> 00:12:12.311]  They use that hearts and minds card every time.
[00:12:12.551 --> 00:12:13.172]  Look at these kids!
[00:12:13.212 --> 00:12:13.992]  Look at these kids!
[00:12:14.393 --> 00:12:15.654]  You know, it's just look at the kids.
[00:12:15.714 --> 00:12:20.739]  It's not look at these kids who are bringing in, you know, hepatitis and tuberculosis.
[00:12:21.300 --> 00:12:27.105]  And the thing is, though, is the people at the border who are checking for the diseases and screening them, they're basic EMTs.
[00:12:27.146 --> 00:12:30.989]  They are not in any kind of way trained to deal with diseases like that.
[00:12:31.149 --> 00:12:35.254]  Well, as we speak, there was a TB outbreak in Sacramento at a high school.
[00:12:35.914 --> 00:12:43.361]  And Sacramento, 20% of their population, or 19% of their population, is undocumented immigrants.
[00:12:43.401 --> 00:12:43.881]  But you know what?
[00:12:44.142 --> 00:12:44.862]  They're illegals.
[00:12:45.182 --> 00:12:49.626]  Well, I just went back to Lackland Air Force Base, and that's where they have the outbreak of the swine flu.
[00:12:50.007 --> 00:12:55.231]  From when I went a couple weeks ago until today, it looks like a contagion, like an outbreak scene.
[00:12:55.632 --> 00:13:00.076]  All these huge tents, medical personnel all over the place, but there's nothing going on there.
[00:13:01.337 --> 00:13:10.421]  You've got to consider other things that are coming in, because when you drive into California, you're asked, are you carrying any exotic fruit or exotic animals?
[00:13:10.701 --> 00:13:11.782]  Why are they asking you that?
[00:13:12.142 --> 00:13:15.944]  When the borders are wide open, there's no telling what's coming across that border.
[00:13:15.964 --> 00:13:20.186]  Well, we're starting to get reports on a few things that are coming across.
[00:13:20.826 --> 00:13:24.268]  In 1943, we eradicated the fever tick.
[00:13:24.728 --> 00:13:26.389]  That got into our livestock.
[00:13:26.429 --> 00:13:30.311]  It was a huge problem for our livestock or cattle industry in South Texas, in the South.
[00:13:30.851 --> 00:13:39.916]  Well, now as the illegals are crossing that water, they're getting the larva all over their clothes and their skin and they're bringing that back in.
[00:13:40.256 --> 00:13:44.198]  So that's going to eradicate our already struggling beef industry.
[00:13:44.658 --> 00:13:45.378]  Exactly.
[00:13:45.519 --> 00:13:50.181]  And then not to mention the bed bug outbreaks that we've had in the past here in America.
[00:13:50.521 --> 00:13:56.902]  You know, the amount of bed bug outbreaks that we're about to see, TB outbreaks, there's no telling.
[00:13:56.942 --> 00:14:03.304]  And then the mutation, the hybridization of what they're bringing up into what we already have.
[00:14:03.544 --> 00:14:04.884]  It's a complete disaster.
[00:14:04.904 --> 00:14:06.765]  And these are just the people that we know coming through.
[00:14:07.745 --> 00:14:13.326]  For the hundreds that we know coming through every day, double that, that's who's getting through that we don't see.
[00:14:13.885 --> 00:14:24.170]  Right, and we have reports now that the medical staff here at these border facilities are being told to keep your mouth shut about the diseases that you're witnessing here, or face arrest.
[00:14:24.330 --> 00:14:30.894]  Yeah, I went down and got pictures of those, what they call the brown shirt guys, the security forces, driving around Lackland Bay, you know, watching.
[00:14:30.914 --> 00:14:34.836]  And I tried to talk to one of the personnel out there, and they just kind of scurried by.
[00:14:34.876 --> 00:14:35.736]  They just kept walking.
[00:14:35.796 --> 00:14:39.138]  They wouldn't look over my way whatsoever and give me any kind of acknowledgement.
[00:14:39.138 --> 00:14:45.586]  Yeah, because you remember I talked to the ice whistleblower and he said, yeah, we have people come in with TB and I said, well, what kind of treatment do you give?
[00:14:45.626 --> 00:14:52.173]  He said, well, we examine them, we give them chest x-rays and all this, but they still have those illnesses in the facilities.
[00:14:52.213 --> 00:14:59.422]  And the thing he told me, the kicker is, they have such a small bed space in those facilities that they just let a lot of people go.
[00:14:59.622 --> 00:15:01.484]  Right, they don't have time to quarantine people.
[00:15:01.524 --> 00:15:05.607]  They've got to get them, pass them through as quickly as they can and send them on into the interior.
[00:15:05.627 --> 00:15:09.111]  But the funny thing is though, is that President Obama set aside $2 billion for this.
[00:15:09.831 --> 00:15:11.733]  And he's asking for more.
[00:15:11.833 --> 00:15:12.534]  Yeah, they're asking for more.
[00:15:12.714 --> 00:15:14.495]  But they have no money to take care of this stuff.
[00:15:14.515 --> 00:15:16.257]  They have no money to get the CDC out there.
[00:15:16.497 --> 00:15:17.438]  And that's a whole other issue.
[00:15:17.458 --> 00:15:19.400]  They don't even care anything about what's going on down there.
[00:15:19.800 --> 00:15:22.963]  But you would think we would have the money, with $2 billion, to be able to take care of this stuff.
[00:15:23.203 --> 00:15:23.944]  Where's that money going?
[00:15:24.485 --> 00:15:34.292]  And John, you actually reported on some of these border towns or towns close to the border that are actually being bankrupt from having to house and take care of all of these illegals.
[00:15:34.593 --> 00:15:38.536]  Meanwhile, they're getting absolutely no help from the federal government, which created this.
[00:15:39.175 --> 00:15:52.002]  Well yeah, there actually is not so much housing as it is burying them in their local cemeteries because there's just so many of them that die from dehydration and wild animals killing them basically and then other causes.
[00:15:52.042 --> 00:16:08.210]  There are women that are coming up now pushed by Jay Johnson to get up here, young girls that are being raped repeatedly on the way up and then killed when they get here and to understand what's actually going on you have to understand that what I keep repeating is the funnel effect
[00:16:08.730 --> 00:16:15.815]  Where the border crossing, where the border stations are, the coyotes bring them up and then they have to go around that.
[00:16:15.875 --> 00:16:18.137]  So they have to go through people's land.
[00:16:19.078 --> 00:16:23.961]  And it just all depends on how hospitable that land is.
[00:16:24.021 --> 00:16:25.102]  That landowner, right.
[00:16:25.222 --> 00:16:25.502]  Right.
[00:16:25.662 --> 00:16:34.368]  So as far as these towns, Falfurrias, we spoke with a county judge and he reported that the year before they spent $800,000
[00:16:36.570 --> 00:16:45.777]  Just burying, dealing with all the things they deal with, with the illegals, but you go to that town and it's completely broke.
[00:16:45.978 --> 00:16:50.401]  I mean, Detroit's bad, but Valfurias is pretty bad too.
[00:16:51.302 --> 00:16:59.748]  And it's just amazing to see that and to be there and witness it and realize that this is coming to the rest of America.
[00:16:59.789 --> 00:17:01.650]  This isn't fear mongering.
[00:17:02.010 --> 00:17:03.531]  This is about being smart.
[00:17:04.272 --> 00:17:05.894]  And realizing that this is coming.
[00:17:05.914 --> 00:17:06.716]  Right.
[00:17:06.936 --> 00:17:08.879]  And we all have to get together.
[00:17:08.919 --> 00:17:16.469]  We have to do something now because this is a hyper activity that the administration is pushing as soon as they can.
[00:17:16.890 --> 00:17:18.472]  Well let's watch a clip from that report.
[00:17:19.133 --> 00:17:21.757]  It was the loss of oil and gas revenue.
[00:17:22.611 --> 00:17:24.913]  compounded by the amount that we spend.
[00:17:25.494 --> 00:17:39.646]  And that figure is dealing with autopsies, it's dealing with wear and tear of the vehicles, the sheriff's department, the JP's, the magistrates, the death certificates, all the paperwork that's entailed, getting out to these areas that are very, very remote.
[00:17:40.518 --> 00:17:47.184]  I personally have been taken to pronounce a body when the police, the sheriff officer with me says, oh, there went the transmission.
[00:17:47.725 --> 00:17:49.146]  And we had to call a wrecker to come get us.
[00:17:49.166 --> 00:17:50.147]  Thank God for Border Patrol.
[00:17:50.167 --> 00:17:53.070]  They were able to take us to where the immigrant was.
[00:17:53.410 --> 00:17:56.312]  And a lot of these immigrants are dying of dehydration.
[00:17:56.373 --> 00:17:57.514]  Is that the main cause?
[00:17:57.574 --> 00:18:02.238]  We refer to them as the elements, you know, it's compounded by
[00:18:02.836 --> 00:18:12.219]  The 100 plus weather degrees out there, rattlesnake bites, and a lot of them we order autopsies because we don't know what was the cause of death.
[00:18:12.859 --> 00:18:16.220]  We now do autopsies on everybody and DNA on everybody.
[00:18:16.500 --> 00:18:19.401]  All these expenses, you know, we don't budget for.
[00:18:20.061 --> 00:18:22.062]  And we've had to, and the law says we have to pay for them.
[00:18:22.555 --> 00:18:25.036]  And have you asked for grants from the federal government?
[00:18:25.056 --> 00:18:26.736]  We have gotten nothing from the federal government.
[00:18:27.316 --> 00:18:33.457]  Governor Perry's office last year stepped up to the plate and they helped us with $150,000 this year.
[00:18:33.897 --> 00:18:36.998]  We were in Austin, Texas this week and they're going to help us with another $150,000.
[00:18:37.198 --> 00:18:40.979]  That's to defray a lot of the costs that the Sheriff's Department has.
[00:18:41.219 --> 00:18:44.260]  There was a boom time with the gas and oil and the creamery.
[00:18:44.360 --> 00:18:47.580]  In 2007 when I took office, our taxable value was $1,000,000. $1,000,093,000.
[00:18:51.750 --> 00:18:53.771]  Last year was 541 million.
[00:18:54.272 --> 00:18:56.533]  We've lost more than 60% of our oil and gas.
[00:18:57.614 --> 00:19:00.416]  So that makes, you know, and we live by oil and gas.
[00:19:00.996 --> 00:19:04.979]  In 1959, we were the only one in South Texas that had an all-concrete stadium.
[00:19:06.079 --> 00:19:07.661]  We had four dealerships and we had a hospital.
[00:19:08.021 --> 00:19:19.708]  Are you aware of the administration of Obama, how they're professing to the Central American countries that if you come across the border and proclaim that you're a dreamer,
[00:19:21.085 --> 00:19:25.508]  Especially these younger kids that are coming across, that you will receive amnesty.
[00:19:27.250 --> 00:19:30.652]  I think that you can't make the rules just to apply them.
[00:19:30.672 --> 00:19:33.034]  If you're going to be fair, let's be fair to everybody.
[00:19:33.054 --> 00:19:42.881]  If you're going to allow people to come in, you should have standards, you should have a program in play that would allow them to enter the country legally, not illegally.
[00:19:44.013 --> 00:19:51.754]  Wow, John, so it looks like we are seeing the typical Cloward-Piven strategy collapsing America under the weight of a welfare state.
[00:19:51.894 --> 00:20:01.536]  There you can get more people on welfare, you can shore up the Democratic voter base, and then you can create sort of a national solution to this Hunger Games society.
[00:20:01.636 --> 00:20:06.117]  Well, yeah, the national solution according to Cloward and Piven is a guaranteed annual income.
[00:20:06.877 --> 00:20:10.017]  So, their strategy was based off of the 1965 Watts riots.
[00:20:13.237 --> 00:20:28.123]  And they saw the tension that was created by that in the country, so they realized the only way to get the poor what they want, which is basically, i.e., socialism, because socialism works great until they run out of your money, right?
[00:20:29.023 --> 00:20:41.077]  Is to scare the pants off of the entire country and our culture and bring us into, through fear, bring a welfare state that the rest of us can agree upon.
[00:20:41.538 --> 00:20:47.144]  Well that's never going to happen because this is a capitalist society, there are people that live on all levels of
[00:20:47.785 --> 00:20:48.806]  I think so.
[00:21:01.229 --> 00:21:01.449]  Right.
[00:21:01.549 --> 00:21:03.970]  And once again, how are we going to pay for all of this?
[00:21:04.290 --> 00:21:07.731]  We have elected officials that aren't even allowed to enter these facilities.
[00:21:07.791 --> 00:21:10.171]  We have a representative in Oklahoma.
[00:21:10.272 --> 00:21:15.493]  He was told that he needed to make an appointment for three weeks away if he wanted to get inside the facility.
[00:21:15.893 --> 00:21:18.874]  It was Jim Bridenstine, Republican out of Oklahoma.
[00:21:19.394 --> 00:21:21.915]  And he basically wants to know, what are they trying to hide?
[00:21:22.215 --> 00:21:25.936]  Is there some child trafficking, human trafficking going on?
[00:21:27.116 --> 00:21:28.897]  At least they're getting denied as well, too.
[00:21:28.957 --> 00:21:29.737]  I don't feel so bad.
[00:21:31.739 --> 00:21:37.027]  These are people that are supposed to be, you know, looking out for us and saying what's going on inside of this federal facility.
[00:21:37.047 --> 00:21:42.215]  Yeah, well... And, Jakari, I mean, you actually witnessed first-hand where our taxpayer dollars are going.
[00:21:42.526 --> 00:21:44.528]  Yeah, it was very surprising to me.
[00:21:44.588 --> 00:21:47.430]  We went to McAllen, Texas, and we talked to the emergency manager.
[00:21:48.110 --> 00:21:49.231]  And we were having a conversation.
[00:21:49.251 --> 00:21:50.892]  He says, yeah, they're paying for their bus tickets.
[00:21:50.932 --> 00:21:52.233]  I said, who's paying for the bus tickets?
[00:21:52.253 --> 00:21:53.174]  He was like, the Border Patrol.
[00:21:53.194 --> 00:21:54.475]  I was like, really?
[00:21:55.736 --> 00:21:58.338]  This is some very interesting information you're giving me here.
[00:21:58.358 --> 00:21:58.678]  Right.
[00:21:58.698 --> 00:22:05.083]  Because you think about an agency who is supposed to be housing these people, you know, prior to their court dates.
[00:22:05.424 --> 00:22:08.566]  But what they're doing is they say, hey, here's your order to appear in court.
[00:22:08.806 --> 00:22:11.568]  And here's your bus ticket to anywhere in the continental United States.
[00:22:11.888 --> 00:22:20.753]  So what's this to say, which is to say if these guys go all the way up to Maine, or if these guys go all the way up to Washington State, do you really expect them to drive all the way to South Texas just to get deported?
[00:22:20.793 --> 00:22:21.634]  Of course they don't.
[00:22:21.874 --> 00:22:22.374]  Absolutely.
[00:22:22.414 --> 00:22:24.635]  And that's a problem we've always had.
[00:22:24.735 --> 00:22:27.357]  And now the Border Patrol is strained as it is.
[00:22:27.737 --> 00:22:28.818]  I mean, yeah, right.
[00:22:28.938 --> 00:22:30.339]  They're going to get lost in the court system.
[00:22:30.359 --> 00:22:31.119]  That's what they do, though.
[00:22:31.159 --> 00:22:34.001]  Half of them don't even show up to their court dates at all, whatsoever.
[00:22:34.021 --> 00:22:34.261]  Exactly.
