[00:00:10.868 --> 00:00:16.770]  It's Paul Joseph Watson with a PrisonPlanet.tv special report earlier today on InfoWars.com.
[00:07:24.775 --> 00:07:33.219]  What do you think about the sanity of that decision on behalf of the CDC to refuse to take action at the border or at blocking the flights coming in from West Africa?
[00:07:33.880 --> 00:07:36.061]  Well, I think it's a political decision.
[00:07:36.081 --> 00:07:36.821]  Let me tell you why.
[00:07:38.122 --> 00:07:41.003]  Back on October the 2nd, there was a White House briefing.
[00:07:42.715 --> 00:07:58.728]  The DHS spokesperson's name, I believe, was Lisa Monaco, and Sylvia Burwell, who's the current Secretary of Health and Human Services, were along with USAID Director Dr. Rod Shaw.
[00:07:59.969 --> 00:08:06.574]  And they were talking about it didn't make, it wasn't worth adversely affecting
[00:08:07.873 --> 00:08:14.198]  The economy of these West African nations by quarantining the borders of those countries.
[00:08:15.540 --> 00:08:17.721]  Well, exactly who are they representing?
[00:08:17.761 --> 00:08:23.186]  Are they representing the people of West Africa and their economy, or are they out to protect the people of the United States?
[00:08:24.967 --> 00:08:30.272]  When you have the spokespersons for the Department of Homeland Security
[00:08:32.552 --> 00:08:45.465]  Dr. Tony Fauci from the National Institute of Health, Sylvia Burwell from Health and Human Services saying, no, we're not going to do everything to protect the American people at the risk of the economy of three third world African nations.
[00:08:46.366 --> 00:08:50.710]  That, sir, is an invitation for people to continue to come here illegally.
[00:08:52.148 --> 00:08:55.750]  And then we've got another issue which I wanted to get to which is ISIS.
[00:08:55.770 --> 00:09:08.296]  We've got law enforcement sources down on the border saying that ISIS militants are in Mexico planning cross-border attacks yet again the DHS says basically there's no threat whatsoever they're not going to do anything about it.
[00:09:09.237 --> 00:09:14.259]  Do you believe that the ISIS threat is genuine coming from the border and what should we do about it?
[00:09:15.460 --> 00:09:20.022]  I believe Duncan Hunter went public yesterday or day before saying that he had information
[00:09:21.460 --> 00:09:29.045]  It has yet to be refuted that Border Patrol caught 10 ISIS fighters crossing the border.
[00:09:29.325 --> 00:09:31.287]  Within, since the 29th of last month.
[00:09:33.068 --> 00:09:40.813]  So you think that is a very real threat that's not being addressed, that ISIS militants are in place, as we got from the law enforcement sources?
[00:09:40.853 --> 00:09:42.134]  Look, look, look, look.
[00:09:42.154 --> 00:09:45.216]  If we aren't getting 3% of what's coming across, why wouldn't they try it?
[00:09:47.037 --> 00:09:47.438]  Exactly.
[00:09:48.368 --> 00:09:49.670]  Okay, that's going to wrap it up.
[00:09:49.850 --> 00:09:51.092]  Amazing revelations there.
[00:09:51.112 --> 00:10:01.008]  We'll be sure to have more articles going up on InfoWars.com about these revelations of Zach Taylor of the National Association of Border Patrol Officers.
[00:10:01.348 --> 00:10:03.011]  Thanks for joining us today, Zach Taylor.
[00:10:03.911 --> 00:10:04.392]  Absolutely.
[00:10:04.432 --> 00:10:05.352]  Thanks for the invitation.
[00:10:05.653 --> 00:10:06.073]  Thank you.
[00:10:06.634 --> 00:10:20.227]  And if you're watching this on YouTube, be sure to subscribe to PrisonPlanet.tv, live streaming of the Alex Jones Show, special reports, videos, a plethora of multimedia content, and it supports the operation here at InfoWars.
[00:10:20.287 --> 00:10:23.010]  Subscribe today at PrisonPlanet.tv.
[00:10:23.550 --> 00:10:24.651]  That's going to wrap it up today.
[00:10:24.851 --> 00:10:26.033]  I'm Paul Joseph Watson.
[00:10:26.053 --> 00:10:27.274]  We'll see you again next time.
[00:10:38.567 --> 00:10:44.352]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:10:44.813 --> 00:10:54.561]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:10:54.861 --> 00:10:58.585]  DNA force is one of the most expensive formulas to produce.
[00:10:59.165 --> 00:11:03.829]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:11:04.210 --> 00:11:10.435]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:11:10.756 --> 00:11:13.058]  You want the best that's out there at the lowest price anywhere?
[00:11:13.698 --> 00:11:16.140]  Well, we're bringing you a total win-win.
[00:11:16.541 --> 00:11:22.066]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the InfoWarp.
[00:11:22.466 --> 00:11:29.131]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:11:29.472 --> 00:11:34.396]  Secure your DNA Force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:11:34.516 --> 00:11:35.697]  DNA Force from InfoWarsLife.
