[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[00:10:07.312 --> 00:10:12.095]  In fact, I don't even know Sergeant Biggs, Joe Biggs' take on that, so we'll get his take.
[00:10:12.135 --> 00:10:20.961]  If not today on the radio, tonight on the nightly news, good to have him around as a source and commentary on military operations.
[00:10:21.581 --> 00:10:25.344]  I'm intending to send him and maybe Jakari Jackson or somebody,
[00:10:26.404 --> 00:10:41.329]  Up to that military base that they've built on the East Coast, that we covered a few months ago, where they've got models of churches and things to be raided, and then a model of the DC subway and things.
[00:10:42.149 --> 00:10:43.510]  I think that's something important to cover.
[00:10:44.510 --> 00:10:47.651]  But all that is basically an on-air brainstorm of ideas.
[00:10:48.943 --> 00:10:52.507]  As you know, ladies and gentlemen, it broke last Friday.
[00:10:52.528 --> 00:10:54.009]  Ah, yes, there's the headline.
[00:10:54.390 --> 00:10:54.550]  U.S.
[00:10:54.590 --> 00:10:57.954]  Army builds fake city in Virginia to practice military occupation.
[00:10:58.395 --> 00:10:59.496]  Martial law training.
[00:10:59.516 --> 00:11:04.302]  300-acre town includes sports stadium, school, underground subway.
[00:11:05.589 --> 00:11:11.032]  And there's a new article out by Kurt Nemo that's short but extremely powerful, poignant, and to the point.
[00:11:11.572 --> 00:11:14.274]  Recruiting thugs for the police state in New Mexico.
[00:11:14.694 --> 00:11:17.656]  The state considers the American people the enemy.
[00:11:18.256 --> 00:11:21.337]  And it shows a police training video that documents that.
[00:11:21.798 --> 00:11:27.201]  Very powerful article by Kurt Nemo that I will attempt to read on air later.
[00:11:28.301 --> 00:11:33.746]  And also play that police training video for the larger radio TV audience.
[00:11:34.066 --> 00:11:38.730]  But everyone can watch the video at Infowars.com and PrisonPlanet.com.
[00:11:39.070 --> 00:11:51.101]  Before I get to the big news that broke Friday and some new developments on that front that Cliven Bundy is going to be joining us to talk about for 30 minutes at the start of the next hour today, let me just give you the headlines here.
[00:11:52.143 --> 00:11:59.433]  Harry Reid calls Cliven Bundy supporters domestic terrorists and White House counter-terror chief says confrontational children could be terrorists.
[00:11:59.453 --> 00:12:02.077]  We're going to be playing the audio of that coming up.
[00:12:02.117 --> 00:12:05.441]  I know we covered it Friday, but it's a big deal and it's still our top story.
[00:12:06.901 --> 00:12:14.726]  Because it ties into the new rollout of us being the enemy, everyone being the suspects, but the government that actually runs Al-Qaeda publicly.
[00:12:15.066 --> 00:12:16.006]  But forget about Al-Qaeda.
[00:12:16.366 --> 00:12:31.335]  I told you six years ago they were going to come out with white Al-Qaeda, and conservative Al-Qaeda, and libertarian Al-Qaeda, and gun owner Al-Qaeda, and farmer Al-Qaeda, and people are all freaking out now saying, how did Alex Jones know all that?
[00:12:31.375 --> 00:12:34.817]  In fact, Rob Deuce put a compilation together that we're going to play today or tomorrow
[00:12:36.573 --> 00:12:36.993]  We're good to go.
[00:12:54.054 --> 00:13:09.606]  As murderers who are going to blow up the government, and who are child molesters, and who are killers, and who plan to nerve gas New York, and then we start getting government documents where the Pentagon's being trained for that to be the new enemy, obviously Homeland Security was set up for that in the beginning.
[00:13:11.188 --> 00:13:15.091]  They just got you to accept a rollout for Al-Qaeda, who they actually run.
[00:13:16.572 --> 00:13:18.273]  And again, they publicly run them.
[00:13:18.574 --> 00:13:19.915]  They publicly protect them.
[00:13:20.686 --> 00:13:23.970]  And now they're going to move the script on to, who do they fear?
[00:13:25.171 --> 00:13:31.438]  They fear the people that have actually been taken over the world for them, who they know aren't afraid to die and have the skills to fight back.
[00:13:32.179 --> 00:13:33.421]  It's the Night of the Long Knives.
[00:13:33.481 --> 00:13:35.503]  What did Hitler do after he'd been in power about a year?
[00:13:36.624 --> 00:13:38.867]  He killed almost everyone that brought him to power.
[00:13:41.001 --> 00:13:45.723]  Because the people that brought him to power, most of them actually really thought he was trying to help Germany.
[00:13:46.423 --> 00:13:48.304]  I'm not romanticizing them or saying they were good.
[00:13:48.324 --> 00:13:51.885]  A lot of them were absolute, total, criminal, psychopath, racist, you name it.
[00:13:52.266 --> 00:14:04.130]  But a lot of them also were so upset about the Versailles Treaty and Germany being in so much trouble and wanted to save the Reich, the land, the homeland, that they did a lot of bad things in the name of the greater good.
[00:14:04.470 --> 00:14:05.551]  Well, they had to be eliminated.
[00:14:07.048 --> 00:14:16.254]  And so all of you that aren't evil, that have served this evil system, you are the final trash that has to be taken out.
[00:14:16.595 --> 00:14:23.599]  And in every case historically, this follows an exact criminology pattern.
[00:14:27.162 --> 00:14:34.247]  You're going to be targeted and you are being targeted and now you're seeing the full shift to, oh yeah, Homeland Security is for
[00:14:36.038 --> 00:14:37.940]  Veterans and gun owners in rural communities.
[00:14:37.980 --> 00:14:42.544]  Well, yeah, all the training manuals now, all of them, have nothing to do with Muslim extremists.
[00:14:43.185 --> 00:14:49.951]  It's all land rights disputes, agenda 21, folks not getting off the land, people not paying property tax.
[00:14:50.651 --> 00:14:52.994]  They're going to use the taxes to bankrupt the country.
[00:14:54.635 --> 00:14:56.417]  The globalists are exempt from the taxes.
[00:14:57.438 --> 00:15:02.820]  They use the taxes to destroy you so they get your property, your compliance, and domesticate you.
[00:15:03.121 --> 00:15:10.584]  And if you hold on and don't pay the fines and fees and taxes that are designed to bankrupt you, they're going to send paramilitary to kill you.
[00:15:12.084 --> 00:15:17.547]  But first they have to demonize you so the paramilitary feel good about their mission.
[00:15:19.312 --> 00:15:24.113]  And then as soon as that paramilitary has done their job, they get put on the you-know-what list.
[00:15:24.473 --> 00:15:27.754]  Because they're not going to ever pay that paramilitary their pension funds.
[00:15:28.174 --> 00:15:30.194]  You're not going to get your military pension funds.
[00:15:30.875 --> 00:15:32.175]  It's all being set up.
[00:15:32.235 --> 00:15:33.315]  It's all being prepared.
[00:15:33.595 --> 00:15:34.615]  It's already happening in Europe.
[00:15:34.635 --> 00:15:35.336]  It's all being announced.
[00:15:35.756 --> 00:15:37.496]  They will first cut them by 30-40 percent.
[00:15:37.816 --> 00:15:39.136]  Then they'll cut them another 34 percent.
[00:15:39.336 --> 00:15:41.357]  And you'll go along with it until it's nothing.
[00:15:42.017 --> 00:15:43.217]  And then you won't be able to live.
[00:15:43.777 --> 00:15:45.798]  You're going to be angry and disgruntled, and they know that.
[00:15:47.648 --> 00:15:50.851]  Rome had riots with their military not getting their pensions.
[00:15:51.892 --> 00:15:52.652]  Over and over again.
[00:15:52.672 --> 00:15:53.313]  The Roman Empire.
[00:15:53.933 --> 00:15:55.555]  The Babylonian Empire had problems.
[00:15:55.955 --> 00:15:57.356]  The British Empire had problems.
[00:15:57.956 --> 00:15:58.417]  The U.S.
[00:15:58.457 --> 00:16:02.620]  military after World War I didn't pay the bonuses they promised to the disabled vets.
[00:16:03.041 --> 00:16:09.406]  So, they camped out outside the White House and so they pulled up with army tanks and soldiers and horses and killed them.
[00:16:12.728 --> 00:16:15.631]  So, they've always had to throw you in the garbage can.
[00:16:20.370 --> 00:16:24.134]  Because they know veterans tend to come back and actually try to build a better country after a war.
[00:16:24.314 --> 00:16:26.135]  After World War II, who led the Civil Rights Movement.
[00:16:26.716 --> 00:16:26.976]  U.S.
[00:16:27.276 --> 00:16:28.578]  veterans, military veterans.
[00:16:29.699 --> 00:16:30.099]  Look it up.
[00:16:31.260 --> 00:16:33.142]  They were the main group pushing for civil rights.
[00:16:34.083 --> 00:16:38.207]  Because they're like, we just beat Hitler, but we're going to do some of the same stuff here?
[00:16:39.454 --> 00:16:42.176]  See, they know you've got to be taken out and targeted.
[00:16:42.556 --> 00:16:47.158]  You've got to at least be put on a bunch of drugs, given PTSD designations, and thrown out like trash.
[00:16:47.198 --> 00:16:48.819]  So, we're going to be covering that today.
[00:16:48.839 --> 00:16:49.720]  That's our top story.
[00:16:50.160 --> 00:16:52.141]  And Bundy's coming on, because it's bigger than Bundy.
[00:16:53.122 --> 00:16:59.685]  And notice the FBI, Harry Reid, they're all saying in congressional hearings that they're not going to let this stand, that they've got to arrest everybody.
[00:16:59.986 --> 00:17:01.266]  They've got to come after Bundy.
[00:17:02.587 --> 00:17:07.550]  Because they can't let you get the idea that you could ever stand up against them.
[00:17:09.019 --> 00:17:24.415]  We need to make an InfoWars image to tweet out that says, Perry Reid declares Nevadan's terrorist, the new terrorist, and show those images, those still images off our hi-def video, of the cowboys.
[00:17:27.130 --> 00:17:30.932]  And that image of them with the American flag, and they're saying these are domestic terrorists.
[00:17:31.452 --> 00:17:31.912]  Literally.
[00:17:31.932 --> 00:17:44.238]  They're going to have a tough sell with a bunch of people on horseback, most of them unarmed, not pointing their guns at the feds, with the feds pointing their guns at them saying, we're going to shoot you if you come across that line.
[00:17:45.859 --> 00:17:46.759]  This is so historic.
[00:17:46.859 --> 00:17:52.562]  Now also coming up, we're going to get into something that really illustrates the power of the real media.
[00:17:53.282 --> 00:17:54.663]  Two years before Drudge,
[00:17:56.215 --> 00:18:00.839]  Broke the missile secrets, the Monica Lewinsky, all the stuff that basically scuttled Clinton.
[00:18:01.439 --> 00:18:03.461]  So a lot of his agenda couldn't go through, thank God.
[00:18:04.782 --> 00:18:14.390]  Clinton administration feared Internet's ability to democratize news three years before Drudge Bombshell.
[00:18:15.745 --> 00:18:19.546]  And they said, we dominate the media with their fake liberal garbage.
[00:18:19.606 --> 00:18:25.148]  Every channel, print, radio, TV, Fairness Doctrine, banned any conservative talk or libertarian talk.
[00:18:25.708 --> 00:18:30.049]  So they feared the internet and said, it will be a channel for these people.
[00:18:31.090 --> 00:18:32.330]  Because it's not really conservative.
[00:18:32.910 --> 00:18:35.571]  All thought that isn't basically Soviet.
[00:18:37.216 --> 00:18:39.577]  The bankers use a Soviet management model, that's what it is.
[00:18:40.438 --> 00:19:00.767]  The bankers in 1917 developed the plan out of British population control programs and British imperial management systems that they've been using to deploy to the Bolsheviks to bring down their ancestral enemy, their cousin, the Russians, the Tsars, the British royalty ran Germany.
[00:19:01.834 --> 00:19:03.395]  That it was basically itself German royalty.
[00:19:03.936 --> 00:19:05.797]  And so they just brought down their own family there.
[00:19:06.658 --> 00:19:07.359]  That's classic.
[00:19:07.419 --> 00:19:08.880]  Royalty's always killing its own people.
[00:19:09.180 --> 00:19:11.122]  Here's the WorldNet Daily exclusive released.
[00:19:11.602 --> 00:19:13.424]  Clinton files on media enemies.
[00:19:13.864 --> 00:19:16.786]  Learn what Hillary meant by vast right-wing conspiracy.
[00:19:17.147 --> 00:19:21.530]  When Bundy leaves us at the bottom of the next hour, remind me, guys, I really want to spend 10 minutes on this.
[00:19:22.051 --> 00:19:22.872]  This is really important.
[00:19:22.892 --> 00:19:23.572]  Make me cover that.
[00:19:23.592 --> 00:19:27.215]  Because I'll get ahead of myself, run out of time, and not do it.
[00:19:27.235 --> 00:19:28.997]  1230 Central, or wherever your station re-airs us,
[00:19:30.614 --> 00:19:45.968]  At the midway point of the transmission 1230 or an hour and a half from now or an hour and 10 minutes from now now I will be covering that We've got that we've got new Obamacare news we've got news dealing with
[00:19:48.470 --> 00:19:54.958]  Very important information with Justice Scalia saying, hey, TSA groping you, NSA, whatever.
[00:19:55.719 --> 00:19:56.500]  That's all okay.
[00:19:56.520 --> 00:19:58.041]  That's going to be coming up as well.
[00:19:58.602 --> 00:20:03.247]  We'll tell you some of the news up on InfoWars.com and PrisonPlanet.com.
[00:20:03.708 --> 00:20:05.911]  It is all coming up straight ahead.
[00:20:07.247 --> 00:20:10.909]  Clean water at home, clean water at the office, clean water on the go.
[00:20:11.169 --> 00:20:17.093]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[00:20:17.433 --> 00:20:20.235]  Thousands of satisfied customers can't be wrong.
[00:20:20.575 --> 00:20:24.817]  For free shipping within the US, go to GoBerkey.com or call 877-886-3653.
[00:20:24.857 --> 00:20:25.037]  That's 877-886-3653.
[00:20:25.057 --> 00:20:26.518]  Helping thousands prepare since 2005.
[00:20:26.698 --> 00:20:27.038]  GoBerkey.com.
[00:20:36.904 --> 00:20:39.486]  Silver has always been nature's very own antibiotic.
[00:20:39.626 --> 00:20:43.629]  And only one system allows you to generate an endless supply of natural silver solutions.
[00:20:43.929 --> 00:20:45.150]  Silverlungs.com.
[00:20:45.331 --> 00:20:47.812]  You'll find no wild claims or pseudoscience.
[00:20:48.013 --> 00:20:50.795]  Just a lifetime of nano-sized pure silver solutions.
[00:20:50.995 --> 00:20:53.156]  The Silverlungs generator allows you to make your own.
[00:20:53.357 --> 00:20:55.118]  So stop paying for silver solutions.
[00:20:55.258 --> 00:21:00.582]  The unique lung delivery system targets respiratory infections where other silver solutions simply cannot reach.
[00:21:00.822 --> 00:21:04.445]  See the Silverlungs generator and lung delivery system at Silverlungs.com.
[00:21:04.605 --> 00:21:06.166]  That's Silverlungs.com.
[00:21:06.646 --> 00:21:19.434]  The Victory Seed Company is a family-owned, farm-based organization working to keep rare, open-pollinated heirloom seeds available for your home garden with no unstable hybrids or GMO seeds sold.
[00:21:19.634 --> 00:21:22.636]  Learn about their mission at VictorySeeds.com.
[00:21:22.956 --> 00:21:29.119]  And for a limited time, enter Victory at checkout to receive a free garden planning tool on orders over $10.
[00:21:30.140 --> 00:21:33.241]  Grow your Victory Garden with Victory Brand Seeds.
[00:21:33.541 --> 00:21:35.241]  VictorySeeds.com.
[00:21:36.041 --> 00:21:38.862]  Do you want to feel awesome all day long?
[00:21:38.882 --> 00:21:45.664]  Do you want to sleep so good you wake up feeling awesome the way you did when you were a kid?
[00:21:46.424 --> 00:21:48.724]  Feel awesome with no caffeine.
[00:21:48.925 --> 00:21:50.685]  Just awesome tasting nutrition.
[00:21:51.305 --> 00:21:54.546]  Try Passion for Life and rediscover your awesomeness.
[00:21:55.246 --> 00:21:55.867]  Call today.
[00:21:55.887 --> 00:21:57.828]  844-TRY-LIFE.
[00:21:58.368 --> 00:22:05.313]  Call 844-879-5433 or visit 844trylife.com.
[00:22:05.733 --> 00:22:09.696]  A chemical spill contaminating the water supply in nine West Virginia counties.
[00:22:09.716 --> 00:22:13.739]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[00:22:13.959 --> 00:22:17.342]  What are the health effects of having these drugs in our drinking water?
[00:22:17.602 --> 00:22:20.425]  It's forced medical treatment without the consent of residents.
[00:22:20.565 --> 00:22:27.852]  My friend's water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[00:22:28.012 --> 00:22:31.595]  On average, the county says it sprays with glyphosate at least once a week.
[00:22:31.895 --> 00:22:36.057]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[00:22:36.217 --> 00:22:42.061]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[00:22:42.121 --> 00:22:46.043]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[00:22:46.063 --> 00:22:48.484]  It is our responsibility to protect our families.
[00:22:48.504 --> 00:22:50.005]  The establishment's not going to do it.
[00:22:50.125 --> 00:22:51.346]  It's time to take action.
[00:22:51.486 --> 00:22:53.187]  It's time to filter our water.
[00:22:53.247 --> 00:23:00.731]  For a limited time, use the promo code WATER15 and get 15% off on all ProPure systems at InfowarsStore.com.
[00:23:00.951 --> 00:23:01.814]  Or call toll free 888-253-3139.
[00:23:09.528 --> 00:23:11.168]  Curious about what comes next?
[00:23:11.949 --> 00:23:18.150]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[00:23:18.630 --> 00:23:21.671]  Fool the bad guys with a new improved fake TV.
[00:23:22.011 --> 00:23:22.871]  You asked for it.
[00:23:23.151 --> 00:23:23.851]  We listened.
[00:23:24.151 --> 00:23:28.272]  And we made our new fake TV three times brighter than our previous model.
[00:23:28.492 --> 00:23:32.093]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[00:23:32.573 --> 00:23:37.334]  It simulates the color and motion of a real TV while you're away from home.
[00:23:37.894 --> 00:23:44.018]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[00:23:44.359 --> 00:23:48.782]  The new, brighter Fake TV is only $39.95 and includes free shipping.
[00:23:49.162 --> 00:23:51.764]  Go to FakeTV.com or call 1-877-5-FakeTV.
[00:23:51.904 --> 00:23:52.204]  That's 877-532-5388.
[00:23:52.244 --> 00:23:53.285]  Or go to FakeTV.com.
[00:23:53.465 --> 00:23:53.945]  Fake TV.
[00:23:53.985 --> 00:23:55.526]  The burglar deterrent.
[00:24:39.295 --> 00:24:41.817]  Ladies and gentlemen, we are back live.
[00:24:41.997 --> 00:24:43.858]  Thank you so much for joining us.
[00:24:45.259 --> 00:24:47.000]  Some of the news up on InfoWars.com.
[00:24:52.435 --> 00:24:54.276]  ...is extremely important, obviously.
[00:24:54.316 --> 00:24:59.280]  We've got a report, Ebola, suspected in Europe, broken through all containment efforts.
[00:24:59.881 --> 00:25:02.082]  That's being reported by Reuters.
[00:25:02.122 --> 00:25:11.289]  Officials at the World Health Organization are feverishly working to stop the spread of the Ebola virus in what is now seven African nations.
[00:25:11.329 --> 00:25:12.690]  That's an unprecedented outbreak.
[00:25:13.591 --> 00:25:16.273]  Their efforts may be for naught in Geneva.
