[00:00:13.836 --> 00:00:18.438]  Self-proclaimed hood billionaire Rick Ross dropped his seventh studio album today.
[00:03:03.669 --> 00:03:08.773]  And just like any industry that needs a constant supply of raw materials to keep up with demand,
[00:03:09.513 --> 00:03:11.154]  Prisons need prisoners.
[00:03:12.014 --> 00:03:18.678]  RapRehab.com has done some really great legwork exposing the facts about hip-hop and prison for profit.
[00:03:19.398 --> 00:03:26.902]  According to public analysis from Bloomberg, the largest holder in Corrections Corporation of America is Vanguard Group Inc.
[00:03:27.202 --> 00:03:31.666]  Vanguard is the third largest holder in both Viacom and Time Warner.
[00:03:32.126 --> 00:03:46.379]  Vanguard is also the third largest holder in the GEO Group, whose correctional, detention, and community re-entry services boast 101 facilities, approximately 73,000 beds, and 18,000 employees.
[00:03:46.919 --> 00:03:52.364]  Now the number one holder of both Viacom and Time Warner is a company called BlackRock.
[00:03:52.904 --> 00:04:02.329]  BlackRock is the second largest holder in Corrections Corporations of America, second only to Vanguard, and the sixth largest holder in the GEO Group.
[00:04:02.869 --> 00:04:04.550]  Not so fast, Leanne.
[00:04:05.130 --> 00:04:08.252]  A reduction in crime would harm the bottom line.
[00:04:08.892 --> 00:04:15.976]  The prison industrial complex, of which I am a proud investor, depends on incarceration to make profits.
[00:04:16.769 --> 00:04:24.179]  We gotta keep all drugs illegal, make our prison sentences longer, and promote more gangster rap.
[00:04:24.859 --> 00:04:28.104]  And I will have more money in my bags.
[00:04:33.200 --> 00:04:34.121]  So let me say that again.
[00:04:34.141 --> 00:04:39.645]  The people who own the media are also the same exact people who own the private prisons.
[00:04:39.985 --> 00:04:46.950]  Now, these people are using hip-hop to generate a constant stream of new inmates to keep business booming.
[00:04:47.571 --> 00:04:49.692]  These are the real hood billionaires.
[00:04:50.433 --> 00:04:54.676]  Now, prior to the 1980s, private prisons did not exist in the U.S.
[00:04:55.016 --> 00:05:02.202]  But thanks to the War on Drugs, as implemented by the Reagan administration, incarceration rates skyrocketed.
[00:05:02.702 --> 00:05:08.744]  The demand for more prison space resulted in privatization and the for-profit prison industry.
[00:05:09.185 --> 00:05:15.547]  In 2012, the biggest name in the private prison industry offered to buy up the prisons in 48 states.
[00:05:16.147 --> 00:05:28.392]  One curious stipulation, states would have to guarantee a sufficient inmate population to maintain a minimum 90% occupancy rate over the term of the contract.
[00:05:28.872 --> 00:05:34.717]  Oh, but how could states possibly guarantee a minimum 90% occupancy rate?
[00:05:35.137 --> 00:05:53.831]  Well, enforcing mandatory minimums was one great start, but then there's the Kids for Cash scandal, in which two judges in Luzerne County, Pennsylvania, were receiving judicial kickbacks for sending youths convicted of minor crimes to a privatized, for-profit juvenile facility.
[00:05:54.511 --> 00:06:04.175]  So legislation that's favorable to the industry is one great way to keep incarceration rates up, but so is the glamorization of the gangster lifestyle.
[00:06:04.396 --> 00:06:09.418]  It's absolutely essential as a continued advertisement for imprisonment.
[00:06:09.878 --> 00:06:20.430]  Now you see many artists with an empowering message just fall off and you're actually brainwashed to believe that this music is somehow inferior because it's not thug life.
[00:06:20.770 --> 00:06:28.519]  The music that gets pushed is that which breaks down the community and guarantees a 90% prison occupancy rate.
[00:06:28.959 --> 00:06:30.240]  And that is not my opinion.
[00:06:30.561 --> 00:06:33.143]  That is a pipeline-to-prison fact.
[00:06:33.643 --> 00:06:46.976]  It is no coincidence the very same people who are disproportionately incarcerated are being inundated on a daily basis with this message that jail is just an ordinary and even expected fact of life.
[00:06:47.456 --> 00:06:51.640]  It's very important that I redeem myself for the wrongs that I've done.
[00:06:53.602 --> 00:06:54.603]  And I feel that the way
[00:06:55.322 --> 00:07:02.245]  That I can redeem myself the best is by helping others not fall in the same footsteps that I fell in.
[00:07:02.265 --> 00:07:04.746]  Because I believe that it's a trap.
[00:07:05.647 --> 00:07:06.667]  It's a trap to catch you.
[00:07:08.148 --> 00:07:08.428]  Yeah.
[00:07:09.328 --> 00:07:16.232]  Just because you're doing bad, and you're looking for a way to make an income, there's people that'll take your freedom.
[00:07:17.152 --> 00:07:17.612]  Forever.
[00:07:18.933 --> 00:07:19.233]  And ever.
[00:07:20.654 --> 00:07:22.154]  Don't make the same mistake I made.
[00:07:22.755 --> 00:07:23.455]  Don't get caught up.
[00:07:25.086 --> 00:07:26.548]  It's time for us to wake up and face it.
[00:07:28.090 --> 00:07:28.630]  Get the truth.
[00:07:30.312 --> 00:07:30.733]  And you're done.
[00:07:40.919 --> 00:07:48.782]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:07:49.042 --> 00:07:51.102]  All the major networks are state-run.
[00:07:51.282 --> 00:07:53.903]  We are partnering this year with the NFL.
[00:07:53.963 --> 00:07:58.065]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:07:58.385 --> 00:08:01.546]  MSNBC tells us that our children belong to the state.
[00:08:01.566 --> 00:08:08.828]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:08:09.028 --> 00:08:13.152]  It is more important than ever to realize that we are not the alternative media.
[00:08:13.332 --> 00:08:14.973]  We are the true media.
[00:08:15.134 --> 00:08:17.756]  The establishment dinosaur press is dying.
[00:08:17.856 --> 00:08:21.499]  We are in an information war and we are losing that war.
[00:08:21.579 --> 00:08:25.703]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:08:25.923 --> 00:08:28.786]  Members can share their memberships with up to 11 people.
[00:08:28.886 --> 00:08:33.250]  By subscribing, you will literally be buying war bonds in the Info War.
[00:08:33.550 --> 00:08:36.462]  To expand our operation in the face of the tyrants.
[00:08:36.763 --> 00:08:38.490]  Join us at PrisonPlanet.tv
