[00:00:07.090 --> 00:00:10.513]  Excuse me?
[00:04:45.845 --> 00:04:47.346]  I'm your host, Alex Jones.
[00:04:47.346 --> 00:04:49.427]  We're live, broadcasting worldwide.
[00:04:49.427 --> 00:04:54.109]  David Knight's coming up, Anthony Gucciardi and other investigative reporters, and a lot more today.
[00:04:54.109 --> 00:04:58.891]  And your phone calls, I'm going to give the number out on the other side for first-time callers.
[00:04:58.891 --> 00:05:00.752]  We'll talk the spaceship disaster and more.
[00:05:00.752 --> 00:05:07.395]  When you're out on the road, the last place you want to be is on the road.
[00:05:07.395 --> 00:05:12.537]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:05:12.537 --> 00:05:13.998]  There's a place down in Tennessee
[00:05:16.618 --> 00:05:21.261]  Well, they make blue diamond gusset jeans.
[00:05:21.261 --> 00:05:25.323]  They sew pride in every stitch.
[00:05:25.323 --> 00:05:27.625]  Guarantee you'll love the way they fit.
[00:05:27.625 --> 00:05:34.369]  They put a diamond gusset in the crotch where you need it most.
[00:05:34.369 --> 00:05:37.431]  Blue diamond gussets got it.
[00:05:39.416 --> 00:05:41.557]  We turn jeans inside out.
[00:05:41.557 --> 00:05:43.339]  Diamond Gusset Jeans.
[00:05:43.339 --> 00:05:46.220]  Made in the USA with unparalleled quality.
[00:05:46.220 --> 00:05:50.463]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:05:50.463 --> 00:05:52.845]  So you can ride all day with confidence.
[00:05:52.845 --> 00:05:55.547]  Order yours at gusset.com.
[00:05:55.547 --> 00:05:57.148]  Diamond Gusset Jeans.
[00:05:57.148 --> 00:05:57.928]  Got it.
[00:05:57.928 --> 00:05:58.729]  Others don't.
[00:06:07.322 --> 00:06:09.424]  Big Brother.
[00:06:09.424 --> 00:06:12.207]  Mainstream media.
[00:06:12.207 --> 00:06:14.729]  Government cover-ups.
[00:06:14.729 --> 00:06:16.711]  Do you want answers?
[00:06:16.711 --> 00:06:18.632]  Well, so does he.
[00:06:18.632 --> 00:06:25.278]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:32.546 --> 00:06:39.148]  Yes, my friends, we're live and we're broadcasting worldwide on this second day of November 2014.
[00:06:39.148 --> 00:06:42.149]  I am your host, Alex Jones.
[00:06:42.149 --> 00:06:45.971]  The news websites are InfoWars.com and PrisonPlanet.com.
[00:06:45.971 --> 00:06:47.671]  We're not just here Sundays, 4 to 6 p.m.
[00:06:47.671 --> 00:06:48.331]  Central.
[00:06:48.331 --> 00:06:49.572]  We're also back weekdays, 11 a.m.
[00:06:49.572 --> 00:06:49.892]  to 2 p.m.
[00:06:49.892 --> 00:07:01.716]  You can find all the showtimes, affiliates, everything at InfoWars.com in the Listen tab area, as well as the free podcast, free video feeds, audio feeds, all of it, InfoWars.com forward slash show.
[00:07:03.044 --> 00:07:19.518]  Well obviously there's a lot of new election news coming up and we're going to be covering the election in the second hour with David Knight and of course Anthony Gucciardi analyzing both election 2014 that is so key this midterm election and we're also going to be looking at the latest on Ebola.
[00:07:20.479 --> 00:07:27.504]  In the meantime, I want to open the phones up early in this first hour, something we really don't ever do on this Sunday broadcast.
[00:07:27.504 --> 00:07:38.671]  But I want to open it up for first-time callers on the Virgin Atlantic spaceplane crash, on Ebola, on Ben Stein saying Obama is the most racist president in U.S.
[00:07:38.671 --> 00:07:39.372]  history.
[00:07:39.372 --> 00:07:43.535]  Stein calls Obama most racist president there has ever been in America.
[00:07:43.535 --> 00:07:48.838]  Well, he certainly promotes racial division and race-baiting more than anybody before.
[00:07:48.838 --> 00:07:49.759]  We'll be looking at that
[00:07:51.138 --> 00:07:55.622]  In detail today, ladies and gentlemen, and we'll be taking your phone calls.
[00:07:55.622 --> 00:08:02.668]  As I said, the Sunday number is a little different than the weekday number because we produce it all here in-house.
[00:08:02.668 --> 00:08:03.929]  The toll-free number is 877-789-ALEX.
[00:08:03.929 --> 00:08:03.969]  877-789-2539.
[00:08:11.716 --> 00:08:16.259]  And we will get you up and on the air with us.
[00:08:16.259 --> 00:08:17.420]  877-789-2539.
[00:08:17.420 --> 00:08:22.303]  We'll get you up and on the air here today.
[00:08:22.303 --> 00:08:25.765]  First time callers.
[00:08:25.765 --> 00:08:29.507]  877-789-2539.
[00:08:29.507 --> 00:08:34.791]  Before I hit everything that I'm going to get to, the whole bunch of economic news, police state news, you name it.
[00:08:35.919 --> 00:08:48.869]  First and foremost, I don't particularly like some of the politics of Global Warming Bull and the rest of it that get put out by the head of Virgin Galactic.
[00:08:48.869 --> 00:08:59.957]  They have Virgin Atlantic, where he made all his money, but you have Virgin Galactic and its space plane, Spaceship Two, crashing last Friday.
[00:08:59.957 --> 00:09:03.380]  We covered it live as it happened on the Friday transmission.
[00:09:04.987 --> 00:09:16.289]  But it's hard to join the critics and so-called experts criticizing him because one of the pilots died and the other is extremely injured and parachuted down.
[00:09:17.438 --> 00:09:20.139]  When all innovation has cost lives.
[00:09:20.139 --> 00:09:22.980]  When this is what it is to be a human is to take risk.
[00:09:22.980 --> 00:09:39.326]  It's the nanny state that wants to take that out of the equation and have all the aircraft of the future and all the spaceships of the future be pilotless drones when it comes to exploration with humans taking a backseat if any role in the future.
[00:09:39.326 --> 00:09:42.567]  Time Magazine two weeks ago came out and told you what I told you 15 years ago.
[00:09:43.646 --> 00:09:51.413]  They're going to push for humans to not be allowed to drive cars anywhere in the world, and the computers will drive them, because they're, quote, safer.
[00:09:51.413 --> 00:09:54.315]  That's the end of humans being involved in anything.
[00:09:54.315 --> 00:10:02.342]  Just like calculators are great, except that it shows that arithmetic has lost about half of its test scores in the West since the
[00:10:03.786 --> 00:10:10.392]  Texas Instruments' cheaper calculator came out 30-something years ago.
[00:10:10.392 --> 00:10:12.994]  It has turned us into mindless idiots.
[00:10:12.994 --> 00:10:22.662]  And I'm not against technology, but I'm saying let's build it and direct it and promote it in a way that promotes humanity being at the center of it.
[00:10:22.662 --> 00:10:24.904]  But the elite have decided we're not involved in that equation at all.
[00:10:26.007 --> 00:10:28.509]  So I talk about trailblazers, Lewis and Clark.
[00:10:28.509 --> 00:10:31.051]  I talk about Albert Einstein.
[00:10:31.051 --> 00:10:34.753]  Again, I like sports as much as the next person.
[00:10:34.753 --> 00:10:41.138]  But still, it shouldn't be the apple of our eye, the top of our pyramid, when it comes to what we admire and what we promote.
[00:10:41.138 --> 00:10:48.984]  I think a firefighter that goes into a burning building to save a family is much more important than Michael Jordan or anybody else for that matter.
[00:10:50.455 --> 00:10:57.940]  That's what it comes down to is that I don't care about some star in an entertainment venue like Brad Pitt.
[00:10:57.940 --> 00:11:05.224]  I care about real humans that are a great example of the highest goals and aspirations of our species.
[00:11:05.224 --> 00:11:07.326]  I'm a fan of humanity.
[00:11:07.326 --> 00:11:13.510]  And the technocrats that have stolen their wealth through fractional reserve banking and derivatives, they don't have that view about us.
[00:11:13.510 --> 00:11:18.613]  They see the seven and a half billion people as a disease, as a scourge, and in many levels we are.
[00:11:19.548 --> 00:11:26.671]  But because we're being directed by globalists who set the world up the last 60 years in their own words for us to fail.
[00:11:26.671 --> 00:11:29.072]  And of course there's a lot of lazy, bad people out there.
[00:11:29.072 --> 00:11:38.956]  But we shouldn't write off all of humanity just because there's a bunch of scum out there in low places, in middle places, and in very, very high places.
[00:11:38.956 --> 00:11:40.136]  We should demand excellence.
[00:11:40.136 --> 00:11:41.237]  We should demand quality.
[00:11:41.237 --> 00:11:43.058]  We should demand innovation.
[00:11:43.058 --> 00:11:43.658]  And let me tell you,
[00:11:44.588 --> 00:11:52.070]  The head of Virgin Galactic is a trailblazer, is a risk taker, is an amazing individual.
[00:11:52.070 --> 00:12:00.313]  And despite the fact he's on global warming bandwagons and gun control bandwagons that I absolutely detest, I can still not throw out the baby with the bathwater.
[00:12:00.313 --> 00:12:01.433]  I can still admire that.
[00:12:01.433 --> 00:12:08.976]  I can still look at somebody who's putting their money where their mouth is and innovating with humans in those spacecraft.
[00:12:08.976 --> 00:12:11.717]  They've had space planes that are pilotless for at least 30 years.
[00:12:14.093 --> 00:12:18.978]  Virgin ignored space safety warnings before crash, says expert.
[00:12:18.978 --> 00:12:21.701]  And within hours.
[00:12:21.701 --> 00:12:32.833]  At first, right as it happened, right as the last 30 minutes of the show and it broke, I said, you know, that guy was saying he wasn't worried about safety and there was some criticisms of NASA with their rockets blowing up.
[00:12:32.833 --> 00:12:34.254]  I mean, look, this is a dangerous business.
[00:12:35.869 --> 00:12:44.552]  But then within minutes, I saw pundits on CNN and Fox criticizing him, and there shouldn't be people in those, and oh, he's in trouble, and ooh, this is bad.
[00:12:44.552 --> 00:12:46.332]  They want us to all just sit down and shut up.
[00:12:46.332 --> 00:12:49.233]  They've banned dodgeball all across the United States.
[00:12:49.233 --> 00:12:50.414]  They're trying to ban sports.
[00:12:50.414 --> 00:12:52.474]  They're banning kids playing with Nerf guns.
[00:12:52.474 --> 00:12:57.476]  They're domesticating us while militarizing the military-industrial complex against the people.
[00:12:59.582 --> 00:13:02.404]  So as soon as I saw that, I went, wait a minute, you're always promoting innovation.
[00:13:02.404 --> 00:13:03.664]  You're always promoting trailblazing.
[00:13:03.664 --> 00:13:05.045]  You're always promoting taking action.
[00:13:05.045 --> 00:13:16.412]  You're always promoting risk-taking and putting humans first and building a world where humans are at the center of it for our future progeny, not just us currently.
[00:13:16.412 --> 00:13:20.794]  You promote a free market system where we vote with our dollars and we vote with innovation.
[00:13:20.794 --> 00:13:27.578]  And so all I can say is I totally admire what they've done and my heart goes out to the family of the lost space plane pilot.
[00:13:29.374 --> 00:13:31.615]  But at the same time, I mean, they'll live forever.
[00:13:31.615 --> 00:13:33.016]  People will know their names.
[00:13:33.016 --> 00:13:35.998]  They won't know the timid souls that never get in the arena.
[00:13:35.998 --> 00:13:46.485]  That famous poem I read every month on air or so, written by President Teddy Roosevelt about, it doesn't matter who the critic is shitting back in the bleachers, it matters the man or the woman in the arena.
[00:13:46.485 --> 00:13:48.326]  You guys print me that, I want to read that quote again.
[00:13:50.632 --> 00:14:00.017]  AFP reports a rocket science safety expert today on Sunday said Virgin Galactic ignored safety warnings in the years leading up to the deadly crash.
[00:14:00.017 --> 00:14:01.538]  What was it supposed to do?
[00:14:01.538 --> 00:14:02.879]  Innovation isn't safe.
[00:14:02.879 --> 00:14:04.040]  I'm sorry, I'm ranting.
[00:14:04.040 --> 00:14:09.223]  Of its spacecraft in California as investigators hunt for clues to the accident's cause.
[00:14:09.223 --> 00:14:09.803]  Well, I don't know.
[00:14:09.803 --> 00:14:14.646]  We've lost hundreds and hundreds of admitted test pilots.
[00:14:16.155 --> 00:14:18.598]  Everybody knows Chuck Yeager's name, but he never died.
[00:14:18.598 --> 00:14:21.801]  I mean, he fought in World War II and shot down something like 30 Nazis.
[00:14:21.801 --> 00:14:24.364]  I mean, was he supposed to not go over there and risk his life?
[00:14:24.364 --> 00:14:25.345]  Like my grandfathers did?
[00:14:25.345 --> 00:14:27.087]  It's the same thing.
[00:14:27.087 --> 00:14:28.908]  Of course, the government loses people.
[00:14:28.908 --> 00:14:30.350]  Private industry is going to lose people.
[00:14:30.350 --> 00:14:33.113]  But they're freaking out over this because it's private industry.
[00:14:33.113 --> 00:14:35.075]  Remember, Obama said you didn't build your business.
[00:14:35.075 --> 00:14:37.678]  And two weeks ago, Hillary said businesses don't hire people.
[00:14:39.147 --> 00:14:50.195]  Caroline Campbell, a rocket propulsion expert with the Netherlands-based International Association for the Advancement of Space Safety, oh, give me a break, said she could not speculate on the cause of Friday's crash without all the data.
[00:14:50.195 --> 00:14:57.860]  However, she said multiple warnings have been issued to Virgin since 07, when three engineers died testing a rocket on the ground.
[00:14:57.860 --> 00:15:06.586]  Based on the work we've done, including me writing a paper on the handling of nitrous oxide, we were concerned about what was going on at Virgin Galactic.
[00:15:07.549 --> 00:15:14.032]  I sent copies of the paper to various people at Virgin Galactic in 2009 and they were ignored, she said.
[00:15:14.032 --> 00:15:18.435]  Campbell said she outlined concerns to Virgin Galactic in a subsequent telephone conversation.
[00:15:18.435 --> 00:15:20.096]  Of course there's concerns, lady!
[00:15:20.096 --> 00:15:23.597]  You don't think they don't want the safest system out there so they don't have a disaster?
[00:15:23.597 --> 00:15:25.418]  You don't think they don't want dead pilots?
[00:15:25.418 --> 00:15:26.859]  Dead astronauts?
[00:15:26.859 --> 00:15:33.463]  You sit back over there with your nanny state organization telling a bunch of people that are on the field how to live their lives.
[00:15:33.463 --> 00:15:35.804]  It's people like you that are ruining civilization.
[00:15:37.557 --> 00:15:46.322]  British tycoon, and I say hero, Richard Branson, told reporters on the Mojave on Saturday afternoon that he'd always been Virgin's paramount concern.
[00:15:46.322 --> 00:15:49.663]  And now he's saying he'll go up soon.
[00:15:49.663 --> 00:15:50.984]  Whatever.
[00:15:50.984 --> 00:15:52.825]  It's just so... I'm just sick of it.
[00:15:52.825 --> 00:15:59.508]  Do you realize the IRS in this country arrests tens of thousands of people with no judge, no jury, no proof every year?
[00:15:59.508 --> 00:16:00.189]  That's the real threat.
[00:16:01.308 --> 00:16:02.629]  The experts are clear.
[00:16:02.629 --> 00:16:09.755]  Sunlight, purified water, healthy non-GMO food, and having a good attitude is essential to a healthy immune system.
[00:16:09.755 --> 00:16:16.041]  But I go further with Super Nascent Iodine X2 from Infowarslive.com.
[00:16:16.041 --> 00:16:19.604]  50% stronger than our original and revolutionary Nascent Iodine formula.
[00:16:19.744 --> 00:16:23.967]  Coming from a deep earth crystal source that no other supplier has.
[00:16:23.967 --> 00:16:29.290]  Most other forms of iodine come from seaweed in areas plagued by Fukushima and other contaminants.
[00:16:29.290 --> 00:16:30.290]  Not our iodine.
[00:16:30.290 --> 00:16:34.093]  It comes from over 200 million year old crystal salt deposits.
[00:16:34.093 --> 00:16:36.654]  And is tested and proven to be completely pure.
[00:16:36.654 --> 00:16:38.675]  Visit InfoWarsLife.com today.
[00:16:38.675 --> 00:16:40.256]  See the informational videos.
[00:16:40.256 --> 00:16:42.218]  Read the information there compiled.
[00:16:42.218 --> 00:16:46.120]  And for a limited time, will you use promo code NOW at checkout.
[00:16:46.220 --> 00:16:51.568]  You get an additional 5% off the entire family of InfoWarsLife.com products.
[00:16:51.568 --> 00:16:57.017]  Secure your Survival Shield X2 today at InfoWarsLife.com or call toll free 888-253-3139.
[00:17:01.178 --> 00:17:10.844]  Using unparalleled research in the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here.
[00:17:10.844 --> 00:17:20.769]  With key ingredients backed by real clinical studies, the new oxy powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[00:17:20.769 --> 00:17:23.691]  Many herbal colon cleansers are harsh on the body,
[00:17:23.891 --> 00:17:24.171]  I think?
[00:17:38.848 --> 00:17:39.108]  We're good.
[00:18:01.135 --> 00:18:07.279]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forklift situation?
[00:18:07.279 --> 00:18:10.581]  The police are shoving people, shoving Alex, shoving the crowd.
[00:18:10.581 --> 00:18:12.362]  Here we go folks, I'm being assaulted!
[00:18:12.362 --> 00:18:18.726]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:18:18.726 --> 00:18:24.610]  Is this another false flag stage attack to take our civil liberties and put more homeless security on sticking their hands down on the streets?
[00:18:24.770 --> 00:18:28.711]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:18:28.711 --> 00:18:31.672]  And that's what PrisonPlanet.TV is designed to do.
[00:18:31.672 --> 00:18:40.075]  If you watch, the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:18:40.075 --> 00:18:42.176]  What we see now is a war against reality.
[00:18:42.176 --> 00:18:43.216]  It's a war against the truth.
[00:18:43.576 --> 00:18:52.519]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:18:52.519 --> 00:18:55.180]  Visit InfoWarsNews.com today.
[00:18:55.180 --> 00:18:59.481]  Become a member, share your membership, and help take the info war to the next level.
[00:19:00.990 --> 00:19:04.651]  The government's Department of Homeland Security is buying up loads of ammo.
[00:19:04.651 --> 00:19:08.933]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:19:08.933 --> 00:19:10.713]  Can you put two and two together?
[00:19:10.713 --> 00:19:18.556]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:19:18.556 --> 00:19:19.696]  But for how long?
[00:19:19.696 --> 00:19:21.917]  Go to InfidelBodyArmor.com.
[00:19:21.917 --> 00:19:26.338]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:19:26.338 --> 00:19:28.219]  Infidel Body Armor.
[00:19:28.219 --> 00:19:29.159]  Just won't quit.
[00:19:30.601 --> 00:19:41.165]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[00:19:41.165 --> 00:19:47.607]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:19:47.607 --> 00:19:49.948]  I jump out of bed ready to fight these criminals every day.
[00:19:49.948 --> 00:19:53.049]  I look forward to waking up and taking my super male vitality.
[00:19:53.049 --> 00:19:59.911]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:20:03.914 --> 00:20:11.441]  You're listening to the Alex Jones Show!
[00:20:11.441 --> 00:20:16.486]  From the front lines of the Information War, it's Alex Jones!
[00:20:38.916 --> 00:20:45.379]  Yeah, I get wound up when I watch this culture where they're trying to end human innovation.
[00:20:45.379 --> 00:20:58.225]  I learned, oh, about 15 years ago, I've been on air 20 years, that there was a public plan hatched by Bertrand Russell, Julian Huxley, and others.
[00:20:58.225 --> 00:21:03.808]  Aldous Huxley was his brother, wrote Brave New World and other books, at the United Nations.
[00:21:04.704 --> 00:21:06.005]  This is all public, by the way.
[00:21:06.005 --> 00:21:24.094]  To create a global computerized surveillance grid and to have all machines, all cars, all industry run by central computers that would then surveil and control all human activity and even be able to predict
[00:21:25.091 --> 00:21:29.575]  Human activity by mass surveillance before it took place.
[00:21:29.575 --> 00:21:39.185]  Now Google brags that they want to be a artificially intelligent crystal ball that can predict the future and they say they can now do it to a certain extent.
[00:21:39.185 --> 00:21:44.530]  But imagine reading stuff written by people in the 30s.
[00:21:44.530 --> 00:21:47.493]  Funded by the Queen of England, the King of England at the time.
[00:21:48.916 --> 00:21:52.718]  Remember, he wrote in 1932, Aldous Huxley, Brave New World.
[00:21:52.718 --> 00:21:57.279]  You read that book in 2014, a lot of it's come true.
[00:21:57.279 --> 00:22:01.861]  How they used pharmakeia, drugs, social engineering to control the population.
[00:22:01.861 --> 00:22:11.205]  But then you merge that with kind of a 1984 scenario, and then you add to that a Terminator-type scenario with Skynet, and you've got where they're going.
[00:22:13.703 --> 00:22:16.407]  And Huxley wrote Brave New World Revisited in 61.
[00:22:16.407 --> 00:22:18.349]  Before he died, gave a speech in 62.
[00:22:18.349 --> 00:22:20.612]  We've aired in full here on the radio at Berkley.
[00:22:20.612 --> 00:22:21.173]  It's online.
[00:22:21.173 --> 00:22:23.375]  It's an hour long.
[00:22:23.375 --> 00:22:24.857]  Where he laid all this out, see?
[00:22:25.816 --> 00:22:37.664]  People used to hear me 15 years ago say there's an MIT Department of Transportation plan, and it's also in Europe, to tax you by the mile and to track everywhere you go with GPS wireless systems.
[00:22:37.664 --> 00:22:45.289]  Now, for at least 6 years, but it's been in for about 10 most places, from Australia to Germany, from England to the United States to Canada,
[00:22:46.801 --> 00:22:57.111]  All cars have a tracker box in them, and it was in CBS News last week, they're about to set... In fact, it already started last year, actually, 2013.
[00:22:57.111 --> 00:23:01.275]  The tests have come in from Chicago, Austin, New York, D.C.
[00:23:01.275 --> 00:23:02.396]  Ten test cities.
[00:23:02.396 --> 00:23:04.258]  They've already got them in Europe as well.
[00:23:04.258 --> 00:23:08.742]  They're going, oh, the results are great, we're gonna start taxing you by the mile.
[00:23:09.853 --> 00:23:21.305]  And Time Magazine came out and said time to ban drivers and said by 2024 all driving will be illegal, only robots will drive you.
[00:23:21.305 --> 00:23:22.546]  They're safer, they're better.
[00:23:22.546 --> 00:23:30.755]  We'll use insurance actuaries to charge you so much you can't afford to drive and we'll bankrupt you and only the richest people will be able to drive.
[00:23:32.503 --> 00:23:35.645]  Do you understand the level of the social engineering?
[00:23:35.645 --> 00:23:39.468]  This is a thousand times past making you get on trains or buses.
[00:23:39.468 --> 00:23:40.769]  And it's all public.
[00:23:40.769 --> 00:23:48.915]  And listen, if you're a listener or you've passively listened to me, I've been on, I had a hundred affiliates back in like 2000.
[00:23:48.915 --> 00:23:53.298]  I went down to as low as like 40 affiliates when I said 9-11 was an inside job and nobody else would.
[00:23:53.298 --> 00:23:55.780]  I've gone back up to about 180 affiliates now.
[00:23:55.780 --> 00:23:57.381]  People have been listening to me for years.
[00:23:57.381 --> 00:23:58.062]  Tens of millions.
[00:24:01.465 --> 00:24:07.888]  Matt Drudge says in tweets he listens to this show over other shows.
[00:24:07.888 --> 00:24:10.029]  In the top 20 of Talkers Magazine.
[00:24:10.029 --> 00:24:12.271]  I'm not bragging, I'm saying it's a big show.
[00:24:12.271 --> 00:24:16.933]  So, you've basically already heard me say this 10 years ago.
[00:24:16.933 --> 00:24:19.174]  Some of you heard me say it 15 years ago.
[00:24:19.174 --> 00:24:20.995]  My first five years on air.
[00:24:20.995 --> 00:24:22.356]  I was like a Ron Paul.
[00:24:22.356 --> 00:24:23.456]  Let's audit the Fed.
[00:24:23.456 --> 00:24:24.937]  Let's lower taxes.
[00:24:24.937 --> 00:24:28.979]  A mainline Libertarian Republican.
[00:24:28.979 --> 00:24:30.320]  And then my listeners educated me.
[00:24:31.229 --> 00:24:32.090]  And I would laugh at them.
[00:24:32.090 --> 00:24:33.312]  There's no black helicopters.
[00:24:33.312 --> 00:24:34.795]  Fluoride isn't bad for you.
[00:24:34.795 --> 00:24:36.477]  My dad's a dentist.
[00:24:36.477 --> 00:24:37.659]  GMO's good for you.
[00:24:37.659 --> 00:24:39.522]  That's a bunch of leftists that don't want to feed the world.
[00:24:41.795 --> 00:24:42.855]  Until I got educated.
[00:24:42.855 --> 00:24:49.157]  And the last 15 years has been just over the top.
[00:24:49.157 --> 00:24:52.218]  It's so hardcore, ladies and gentlemen, what's going on.
[00:24:52.218 --> 00:24:53.558]  It's so horrible.
[00:24:53.558 --> 00:24:57.499]  But if we would just wake up to it, we could turn it around so quickly.
[00:24:57.499 --> 00:25:00.480]  I don't get up here and say these wild things to be sensational.
[00:25:00.480 --> 00:25:02.720]  I say them because it's true.
[00:25:02.720 --> 00:25:04.881]  They're building a world where we're not part of it.
[00:25:05.816 --> 00:25:07.357]  They're phasing humans out.
