[00:00:20.051 --> 00:00:22.873]  Welcome to the InfoWars Nightly News live coverage.
[00:08:51.481 --> 00:09:03.511]  But, if you scroll a little further down, and you can see the 150 plus firearms that would just cease to exist in the United States of America, including but not limited to AK-47 assault rifles.
[00:09:03.811 --> 00:09:10.957]  Now I'm sure you guys all recall the very famous clip with President Obama, I will not take your rifle away, I will not take your shotgun away.
[00:09:11.297 --> 00:09:17.843]  But the thing, they do these sleight of hand techniques, because President Obama was content to hide behind Dianne Feinstein.
[00:09:18.103 --> 00:09:20.265]  I'll let her put out just whatever she can get through.
[00:09:20.545 --> 00:09:21.165]  That's what I'll sign.
[00:09:21.185 --> 00:09:21.886]  That's what I'll back.
[00:09:22.146 --> 00:09:26.770]  And we see here, I don't know about you guys, but I think an AK-47 is a rifle.
[00:09:26.790 --> 00:09:28.931]  I'm not a master of arms or anything.
[00:09:29.171 --> 00:09:30.853]  But Joe Biggs, you spent many years in combat.
[00:09:30.873 --> 00:09:33.054]  Would you consider an AK-47 to be a rifle?
[00:09:34.375 --> 00:09:36.677]  Um, I mean, basically.
[00:09:36.717 --> 00:09:39.059]  I mean, it's just a regular rifle, yeah.
[00:09:39.079 --> 00:09:40.020]  I mean, it's an assault rifle.
[00:09:41.682 --> 00:09:42.984]  It's pretty typical.
[00:09:43.004 --> 00:09:43.604]  I mean, they're everywhere.
[00:09:43.624 --> 00:09:44.445]  I mean, everyone uses them.
[00:09:45.026 --> 00:09:45.746]  It's in every country.
[00:09:45.967 --> 00:09:46.167]  Right.
[00:09:46.627 --> 00:09:48.489]  It's one of the most famous rifles on the planet.
[00:09:48.509 --> 00:09:49.570]  It's one of the most durable ones.
[00:09:49.590 --> 00:09:51.753]  You could drop it in mud, water, dirt, anything like that.
[00:09:51.793 --> 00:09:52.714]  It's still going to be reliable.
[00:09:53.014 --> 00:09:53.214]  Right.
[00:09:53.655 --> 00:09:58.600]  So that's the precursor, but now let's talk more about the guys who are currently involved in this gun debate.
[00:09:58.620 --> 00:10:01.483]  Let's start with one William Gates, and we'll have a special report following
[00:10:02.063 --> 00:10:02.323]  I think?
[00:10:18.317 --> 00:10:20.239]  They don't want to call themselves anti-gun.
[00:10:20.279 --> 00:10:22.060]  I guess they prefer the term gun control.
[00:10:22.420 --> 00:10:25.403]  We want to control how many bullets you can have in your magazine.
[00:10:25.443 --> 00:10:28.465]  We want to control the type of stock that you have on your firearm.
[00:10:28.485 --> 00:10:29.206]  Things such as this.
[00:10:29.226 --> 00:10:33.329]  You know, they want to control who you can sell your firearm to, or buy your firearm from.
[00:10:33.690 --> 00:10:39.555]  But the problem is, is that that's the way you turn a fundamental right into a government-granted privilege.
[00:10:39.575 --> 00:10:40.215]  That is exactly right.
[00:10:40.235 --> 00:10:47.201]  By gradual infringement, moving around in the edges, taking, shaving off a little bit here, shaving off a little bit there, and pretty soon you've got nothing.
[00:10:47.521 --> 00:10:47.701]  Right.
[00:10:47.761 --> 00:10:48.962]  Except what they allow you to have.
[00:10:49.062 --> 00:10:49.962]  So it becomes a privilege.
[00:10:50.242 --> 00:10:50.623]  That's right.
[00:10:50.723 --> 00:10:51.543]  And that's what we see.
[00:10:51.603 --> 00:10:52.584]  And that's what we don't want.
[00:10:52.744 --> 00:10:55.585]  Because I want the right to go out and buy whatever I want to buy.
[00:10:55.605 --> 00:11:02.429]  Because we saw the famous, or should I say infamous, clip that Paul Joseph Watson did an article on, talking about the guys in the field.
[00:11:02.469 --> 00:11:07.531]  And they had the DHS training video showing the guys, you know, transacting a gun transaction.
[00:11:07.572 --> 00:11:09.292]  You know, buying guns out the trunk of a car.
[00:11:09.593 --> 00:11:13.555]  They try to play this off as if it was some type of... Aerial view, as if they're looking at it with a drone.
[00:11:14.735 --> 00:11:15.656]  Illegal activity.
[00:11:15.736 --> 00:11:17.577]  We'll talk more about that here in a second.
[00:11:17.617 --> 00:11:22.539]  Now we see Gun Control Group joins forces with $50 million from Michael Bloomberg.
[00:11:22.839 --> 00:11:24.160]  And you guys know Michael Bloomberg.
[00:11:24.720 --> 00:11:25.000]  What's it?
[00:11:25.100 --> 00:11:26.061]  They keep changing the name, Dave.
[00:11:26.101 --> 00:11:26.921]  It's hard for me to keep up.
[00:11:26.981 --> 00:11:28.682]  It was Mayors Against Illegal Guns.
[00:11:28.702 --> 00:11:30.222]  Yeah, because they're not getting any traction.
[00:11:30.262 --> 00:11:30.883]  They're losing.
[00:11:30.983 --> 00:11:35.045]  And when they lose, they try to essentially rebrand themselves and come back in a different way.
[00:11:35.305 --> 00:11:38.266]  And that's a large part of why he's covering different people.
[00:11:39.267 --> 00:11:44.089]  In many cases, like any special interest or PAC group, he wants to look like he's got a winning record.
[00:11:44.449 --> 00:11:54.272]  So he's kind of picking and choosing, and a lot of the incumbents that he's supporting are not necessarily people that are such hardcore gun control addicts.
[00:11:54.292 --> 00:12:07.316]  They've got some other people that he's basically taken a pass on that have been doing it for years, would truly do want an outright ban as soon as possible, as quickly as they can get it, and he doesn't give them any money because he wants to push this.
[00:12:07.336 --> 00:12:09.077]  But he's funding both sides of this.
[00:12:09.117 --> 00:12:11.898]  He's funding anti-gun Republicans.
[00:12:12.318 --> 00:12:17.140]  And he's also funding anti-gun Democrats against pro-gun Democrats.
[00:12:17.160 --> 00:12:20.821]  That's a key thing for people to realize, what he's doing there.
[00:12:20.941 --> 00:12:22.081]  Yeah, it's controlled opposition.
[00:12:22.121 --> 00:12:26.603]  And we see the article, Bloomberg Gun Control Group's endorsement are incumbent heavy.
[00:12:26.963 --> 00:12:31.705]  And you can see this, you can read this article for yourself, The Washington Wire, and see the tail of the tape on that.
[00:12:32.085 --> 00:12:42.209]  But you know, it's these guys, these Bloombergs, these Bill Gateses, as I said earlier, and you'll see in the report coming up, you know, these guys have armed bodyguards to protect themselves.
[00:12:42.369 --> 00:12:44.369]  You know, you'll see the video coming up here shortly.
[00:12:44.630 --> 00:12:50.572]  Somebody approaches Bloomberg, he says, Mayor Bloomberg, in the spirit of gun control, will you disarm your entire security force?
[00:12:50.592 --> 00:12:53.853]  And he stumbles around and goes, I'll try to get back to you on that.
[00:12:54.153 --> 00:12:55.514]  And this is what they do.
[00:12:55.794 --> 00:12:58.056]  They don't want you to have the means to protect yourself.
[00:12:58.096 --> 00:12:59.417]  Meanwhile, they're surrounded.
[00:12:59.437 --> 00:13:00.378]  Their children are protected.
[00:13:00.398 --> 00:13:03.561]  They ride around with the bodyguards and all that.
[00:13:03.581 --> 00:13:09.125]  A lot of these college students I encounter, I go and talk to, they're all like, I don't think we should have guns anymore.
[00:13:09.566 --> 00:13:11.547]  I really think that's the job for the police.
[00:13:11.948 --> 00:13:13.269]  They need to be the ones with guns.
[00:13:13.909 --> 00:13:18.091]  Us as the citizens to just give our guns up and trust them to do the right thing.
[00:13:18.472 --> 00:13:20.833]  And that's what's going, that's what's being taught in these schools.
[00:13:21.093 --> 00:13:26.276]  That's what a lot of our youth are growing up with the mindset that we don't need guns, those are bad, let's just give them up.
[00:13:26.496 --> 00:13:30.158]  Yeah, and we'll talk about that, talking about the police are coming here to save you in our next segment.
[00:13:30.578 --> 00:13:34.100]  But, you know, talking more about that, I've been to the same college campuses that you have, Joe Biggs.
[00:13:34.200 --> 00:13:35.301]  Gone out and done some reports.
[00:13:35.801 --> 00:13:41.945]  And, you know, I did a report when I went out and I asked particularly young ladies, you know, do you think that you should be able to conceal carry on campus?
[00:13:42.545 --> 00:13:44.866]  And, you know, I'm not trying to force a gun into anybody's hands.
[00:13:44.886 --> 00:13:45.627]  You know, that's what they always say.
[00:13:45.647 --> 00:13:46.848]  You want everybody to be packing the gun.
[00:13:46.888 --> 00:13:50.089]  If you want a gun, if you're a sane mind and body, you know, go for it.
[00:13:50.130 --> 00:13:52.231]  But I don't want some Obamacare doctor to tell you you can't.
[00:13:52.791 --> 00:13:57.592]  But, you know, talking about the young ladies and the firearms, and I asked them, you know, would you carry a firearm?
[00:13:57.612 --> 00:13:58.452]  And a lot of them said no.
[00:13:58.472 --> 00:14:01.453]  I said, well, what do you expect to happen if you are attacked?
[00:14:01.473 --> 00:14:04.294]  You know, lo and behold, it's like, well, I'll just call 911.
[00:14:04.814 --> 00:14:05.974]  So then I tested them.
[00:14:06.014 --> 00:14:13.496]  I said, so this, you know, big, strong, scary man with the ninja skills to pull a loaded gun out of your hand for some reason won't be able to take your phone away.
[00:14:14.136 --> 00:14:16.857]  You know, and that's not saying let's give everybody a gun.
[00:14:16.877 --> 00:14:17.857]  Look at the sheriff in Milwaukee.
[00:14:17.877 --> 00:14:18.418]  What was his name?
[00:14:18.558 --> 00:14:19.618]  David Clark.
[00:14:20.038 --> 00:14:23.219]  Now, Bloomberg targeted him directly because he said that.
[00:14:23.459 --> 00:14:28.381]  He honestly went out and told the people, he said, look, we can't be everywhere to defend you.
[00:14:28.581 --> 00:14:30.402]  So, you know, we'll do what we can to catch the people.
[00:14:30.442 --> 00:14:33.203]  But, you know, if somebody attacks you, it's going to be a while before we can get there.
[00:14:33.243 --> 00:14:37.304]  So you should get a firearm and you should take classes and learn how to use it.
[00:14:37.424 --> 00:14:39.945]  And so for that, Bloomberg targeted him.
[00:14:40.225 --> 00:14:47.531]  Okay, they had a half million dollars spent on that sheriff's race, and of course it was just a Democrat primary because there wasn't any Republican opposition.
[00:14:47.571 --> 00:14:49.672]  So essentially, Dave Clark won.
[00:14:50.213 --> 00:14:59.600]  And the interesting thing to me about it is even though Bloomberg by himself gave $150,000, Dave Clark said, the people are going to realize that this is not for sale.
[00:15:00.300 --> 00:15:01.481]  And I think that's the key.
[00:15:01.521 --> 00:15:09.948]  We're going to see this as we go through this tonight, we're going to see this as a common recurring theme of these billionaires who basically have turned into one-man political action committees.
[00:15:10.208 --> 00:15:10.488]  Oh yes.
[00:15:10.528 --> 00:15:17.233]  Because they have so much money, so much clout, and I think there's a lot more to it than just guns with Bloomberg.
[00:15:17.513 --> 00:15:19.415]  He's anti-freedom on a lot of different issues.
[00:15:19.435 --> 00:15:20.195]  He's a control freak.
[00:15:20.235 --> 00:15:22.817]  He wants to tell you, you know, what kind of soda you can have.
[00:15:22.877 --> 00:15:23.218]  That's right.
[00:15:23.418 --> 00:15:28.241]  If you look at it, the guy who's head of the CDC now, Frieden, was his soda guy back in New York.
[00:15:28.301 --> 00:15:33.985]  Okay, he's against your freedom in every respect, but he also wants to empower himself.
[00:15:34.306 --> 00:15:37.528]  That's what's behind a lot of this money that he's targeting people on.
[00:15:37.628 --> 00:15:43.792]  I mean, he is definitely against the Second Amendment because that allows the people to have a check on uncontrolled government power.
[00:15:44.153 --> 00:15:45.814]  And he wants uncontrolled government power.
[00:15:46.234 --> 00:15:50.978]  But he also wants to endear himself to certain politicians.
[00:15:51.038 --> 00:15:56.982]  And we'll see that as a recurring theme with Sheldon Adelson, with the amendment in Florida with medical marijuana.
[00:15:57.242 --> 00:16:01.085]  We'll see that over and over again that these guys have so much money.
[00:16:01.105 --> 00:16:03.847]  So we're going to be looking at a follow the money as we come back up.
[00:16:04.107 --> 00:16:05.908]  But let's take the discussion to
[00:16:06.909 --> 00:16:08.130]  Militarization of the police.
[00:16:08.630 --> 00:16:13.132]  Joe, you guys saw that firsthand, both of you guys saw that firsthand in Ferguson.
[00:16:13.152 --> 00:16:15.174]  We've been reporting about that for a long time.
[00:16:15.634 --> 00:16:20.556]  Alex has been warning people about this for 20 years, that this is where everything is heading.
[00:16:21.237 --> 00:16:25.159]  The John Birch Society has been talking about it probably for 50 years.
[00:16:25.239 --> 00:16:30.022]  I mean, this is something that has been in the cards, they've been gradually building for, but now
[00:16:30.822 --> 00:16:32.122]  We're really at the event horizon.
[00:16:32.183 --> 00:16:37.564]  I mean, this is happening now and accelerating very rapidly as if we're going into some kind of a black hole.
[00:16:37.724 --> 00:16:40.305]  Yeah, but why isn't this a major political issue right now?
[00:16:40.646 --> 00:16:41.006]  Exactly.
[00:16:41.046 --> 00:16:41.826]  Nobody's talking about it.
[00:16:41.846 --> 00:16:49.869]  This is something that needs to be talked about on a large scale nationwide because police violence is rampant right now.
[00:16:50.569 --> 00:16:52.189]  I mean, it is out of control.
[00:16:52.569 --> 00:16:57.030]  You give a child a toy and he doesn't know how to use it, he's just going to play with it.
[00:16:57.070 --> 00:17:03.932]  However, you know, these guys are being given military gear, funding, without proper training.
[00:17:04.652 --> 00:17:06.172]  As a matter of fact, this is a live show.
[00:17:06.412 --> 00:17:16.434]  If somebody wants to contact us and tell us if you have a race in your area where there is a local city councilman or a state legislator or somebody running for statewide office,
[00:17:17.074 --> 00:17:24.642]  Or maybe even somebody running for federal office where they have actually said they're concerned about out-of-control police, they're concerned about militarization of the police.
[00:17:24.942 --> 00:17:25.403]  Let us know.
[00:17:25.483 --> 00:17:26.464]  We'll give that person a plug.
[00:17:26.484 --> 00:17:27.905]  Tomorrow's the day that everybody's going to vote.
[00:17:27.945 --> 00:17:28.486]  Go ahead, Joe.
[00:17:28.506 --> 00:17:30.488]  What did you want to say about that?
[00:17:31.429 --> 00:17:33.831]  It all goes down to the fact, back with Ferguson.
[00:17:33.871 --> 00:17:35.974]  Ferguson was a huge eye-opener.
[00:17:36.554 --> 00:17:36.754]  For
[00:17:57.771 --> 00:18:00.653]  That's something that you see overseas in combat.
[00:18:00.894 --> 00:18:04.457]  To see it on the streets here, that's something that people need to open their eyes.
[00:18:04.717 --> 00:18:06.839]  And like you said, this needs to be a big issue.
[00:18:07.119 --> 00:18:09.881]  People need to talk about this, and it's something that needs to stop.
[00:18:10.201 --> 00:18:16.707]  And, you know, after a lot of these issues happened in Ferguson, people are like, whoa, a lot of these police stations are like, I don't want this equipment anymore.
[00:18:17.267 --> 00:18:20.490]  I want to turn it back in, you know, and they're not letting them take it.
[00:18:21.030 --> 00:18:21.410]  Exactly.
[00:18:21.671 --> 00:18:24.493]  And we had a situation earlier this summer when you talked about the
[00:18:26.774 --> 00:18:35.082]  This is the Defense Logistics 1033 program where they want to give the MRAPs and all this heavy equipment to the local police stations.
[00:18:35.623 --> 00:18:44.351]  Interestingly enough, even though they are basically opening the floodgates for these police departments, they stopped it this summer for fire departments.
[00:18:44.891 --> 00:18:52.714]  A 60-year-old program that basically gave surplus trucks that would have had to pay $200,000, $300,000, they could do it for a tenth of the cost, to upfit that.
[00:18:52.754 --> 00:18:55.474]  That's a program that's been going on for 60 years.
[00:18:55.955 --> 00:18:59.736]  And the Pentagon 1033 program basically said, we're going to stop that.
[00:19:00.416 --> 00:19:02.437]  At the same time, they're opening the floodgates.
[00:19:02.777 --> 00:19:03.777]  Now, that got turned back.
[00:19:03.837 --> 00:19:06.878]  It took about three weeks because the firemen are a pretty activist group.
[00:19:07.338 --> 00:19:09.479]  And it affected the local fire departments.
[00:19:09.499 --> 00:19:10.579]  They were the ones who really needed it.
[00:19:10.619 --> 00:19:13.640]  It was local, rural fire departments, volunteer fire stations.
[00:19:13.940 --> 00:19:16.621]  They take care of 83% of the fires, okay?
[00:19:16.921 --> 00:19:18.521]  Many of them on federal land.
[00:19:18.801 --> 00:19:25.063]  They're in large, rural areas where it's going to take them a very long time to truck in equipment or to truck in water.
[00:19:25.383 --> 00:19:29.144]  So they need this kind of equipment to fight those fires effectively.
[00:19:29.224 --> 00:19:31.045]  Well, they're first responders half the time, too.
[00:19:31.305 --> 00:19:31.586]  Exactly.
[00:19:31.606 --> 00:19:32.446]  They're quicker than police.
[00:19:32.966 --> 00:19:39.430]  But see, we hear that this program is being given to police because they're concerned they want them to have equipment for emergency situations.
[00:19:39.811 --> 00:19:40.631]  That's not the case.
[00:19:41.112 --> 00:19:43.373]  Why would you cut it off to the fire departments?
[00:19:43.393 --> 00:19:49.997]  They said they were cutting it off because they were going to start enforcing an EPA regulation that they've ignored for 25 years.
[00:19:50.037 --> 00:19:51.078]  Suddenly they're going to enforce it.
[00:19:51.098 --> 00:19:55.501]  It looks like they're strategically placing all this equipment all over the place, like we were talking about.
[00:19:56.061 --> 00:20:05.787]  They're not letting these police stations turn the equipment back in, but what they're making them do is run the maintenance on it and keep everything up to date.
[00:20:05.827 --> 00:20:07.968]  You can't take these things down to Jiffy Lube.
[00:20:08.008 --> 00:20:10.090]  These are hardcore military vehicles.
[00:20:10.330 --> 00:20:11.631]  Somebody has to pay for this.
[00:20:11.891 --> 00:20:15.553]  How they get them is they give them these MRAPs at dirt cheap prices.
[00:20:15.573 --> 00:20:17.194]  Two grand, three grand is nothing.
[00:20:17.274 --> 00:20:20.136]  They spend more on graphics, a lot of them do, than putting the sirens on.
[00:20:20.376 --> 00:20:29.763]  Well, the MRAPs in particular, they were rushed to the theater, okay, of battle because they wanted something that was going to withstand the roadside bombs and everything.
[00:20:30.344 --> 00:20:33.266]  So, they've had a lot of maintenance issues with these vehicles.
[00:20:33.646 --> 00:20:35.628]  Been very, very expensive to maintain.
[00:20:36.108 --> 00:20:42.113]  So, their solution, I think, as we've talked about this, I think they're basically, it's like the white elephant.
[00:20:42.193 --> 00:20:45.414]  You know, where the Indian Raja used to give you this sacred elephant, and now you had to feed it.
[00:20:45.854 --> 00:20:52.516]  They're sending this equipment to local municipalities and telling them, okay, this still belongs to the DOD.
[00:20:52.976 --> 00:20:53.836]  This is a lease thing.
[00:20:53.896 --> 00:20:58.978]  You don't own it, but you have to maintain it, and you can't get rid of it without our permission.
[00:20:59.018 --> 00:21:04.559]  And so when these people, like you're talking about, want to get rid of it, they basically get silence on the other end of the line.
[00:21:04.799 --> 00:21:06.600]  They don't tell them they're going to take it back or anything.
[00:21:06.820 --> 00:21:11.161]  Meanwhile, they're on the hook to maintain this stuff, and it's pre-positioned
[00:21:11.721 --> 00:21:14.222]  For martial law in all these different localities.
[00:21:14.402 --> 00:21:22.424]  Because you see, just like what happened in Ferguson, you know, in the early days when we first got out there, you know, we were interacting with crowds that were 98% peaceful.
[00:21:22.444 --> 00:21:25.285]  You know, there's, you know, definitely been some things that have gone on since then.
[00:21:25.505 --> 00:21:33.767]  But they come out there and they use these military tactics, aiming guns at people in the crowd, firing pretty much indiscriminately with rubber bullets into blinding clouds of smoke.
[00:21:34.067 --> 00:21:39.689]  And then they come out and they say, well, yeah, we gave it to them, you know, the Pentagon, DOD, whoever, but we didn't know they would actually use it.
[00:21:40.269 --> 00:21:44.073]  Like I said, you give a kid a toy, he's gonna play with it.
[00:21:44.574 --> 00:21:49.799]  Well, they made it clear that in order to get this equipment, they want you to have arrest and apprehension powers.
[00:21:49.839 --> 00:21:52.121]  That's why they don't want the firemen to have it, okay?
[00:21:52.361 --> 00:22:02.632]  Now, when they got a pushback from the Congress, and the Congress sent the letter to the Pentagon and got them to reverse this program, they said, all right, all right, we won't give them the equipment anymore, we'll loan it to them.
[00:22:03.112 --> 00:22:04.713]  But they were already loaning it to them.
[00:22:04.833 --> 00:22:07.795]  I mean, there were multiple papers talking about how there was one in Indiana.
[00:22:07.835 --> 00:22:14.320]  They said $12 million worth of surplus equipment is now on loan to more than 250 volunteer fire departments in Indiana.
