[00:00:10.856 --> 00:00:11.656]  I'm Alex Jones.
[00:04:14.020 --> 00:04:26.266]  This is part of a pattern of trying to let Ebola get a foothold in this country so the CDC, FEMA, and NORTHCOM can engage in a giant domestic power grab of medical tyranny.
[00:04:26.626 --> 00:04:32.349]  The feds have been buying millions of firearms, billions of bullets, and other forms of ammunition.
[00:04:32.670 --> 00:04:38.473]  They've been buying huge armored vehicles and deploying them in every city and digging in for biological catastrophe.
[00:04:39.133 --> 00:04:41.675]  I don't know if this Ebola event is that.
[00:04:42.456 --> 00:04:47.399]  What I do know is they're making preparations while telling us that we shouldn't be prepared.
[00:04:47.619 --> 00:04:57.526]  Just like they tell us we shouldn't own guns, even though the highest crime rates are in Chicago, New York, and D.C., where they have an abolition of the individual's right to keep and bear arms.
[00:04:57.847 --> 00:04:59.748]  Well, I personally am getting prepared.
[00:05:00.128 --> 00:05:06.233]  I saw them take the guns in Katrina and raid the houses of people that had their own solar power and were high and dry.
[00:05:06.713 --> 00:05:15.890]  I witnessed people a few years ago with a hurricane that hit the East Coast begging for FEMA to help them and getting zero help for week after week after week.
[00:05:17.116 --> 00:05:23.600]  And who could forget that famous sign that FEMA hung on their door saying, we're closed because of bad weather.
[00:05:24.441 --> 00:05:29.324]  I'm not sitting back waiting for the government to come protect me and take care of me.
[00:05:29.644 --> 00:05:36.689]  They've shown time and time again they have very bad intent and bad will against the people, not good will.
[00:05:37.109 --> 00:05:40.452]  They want crises to get out of control so they can pose as the saviors.
[00:05:41.132 --> 00:05:44.655]  And sell their toxic vaccines and other poisons as a solution.
[00:05:45.255 --> 00:05:51.640]  Well, I'm personally getting my body ready with plenty of sunshine, organic food, purified water.
[00:05:51.960 --> 00:05:59.246]  Myself and my family are taking high-quality colloidal silver from Infowarslife.com, the silver bullet.
[00:05:59.626 --> 00:06:06.712]  I'm taking Survival Shield X2, true nascent iodine, that I believe is even more important than things like colloidal silver.
[00:06:06.992 --> 00:06:08.713]  Because if you don't have iodine in your body,
[00:06:09.591 --> 00:06:11.732]  If you're deficient in it, you will die.
[00:06:12.033 --> 00:06:19.237]  It's something you've got to absolutely have, so governments keep lowering and lowering the allowance they claim that we need.
[00:06:19.678 --> 00:06:21.499]  This needs to be looked into, ladies and gentlemen.
[00:06:21.799 --> 00:06:22.800]  We've been investigating it.
[00:06:23.160 --> 00:06:31.085]  It's why I'm doing everything I can to boost my body's natural defenses, and why I'm trying to warn people that they can't have confidence in the system.
[00:06:31.466 --> 00:06:35.448]  But at the same time, we shouldn't just sit here and wait for things to spiral out of control.
[00:06:35.969 --> 00:06:39.191]  None of this, in the final equation, is a silver bullet.
[00:06:39.611 --> 00:06:48.796]  Nothing is perfect, but just laying there and being horrified and watching mainstream media deceive us and scare us is not going to do a damn thing.
[00:06:49.156 --> 00:06:52.538]  We all need to get involved and do our own research.
[00:06:53.058 --> 00:06:56.160]  So, don't stand behind us, stand right beside us.
[00:06:56.920 --> 00:07:05.246]  Looking at every angle of this, researching what's really happening, and understanding that there is clearly a cover-up going on with this Ebola situation.
[00:07:05.746 --> 00:07:14.192]  Now, I've said many times, I don't think this Ebola will probably really get out of hand here in the United States, even if the Feds try everything they can to let it spread.
[00:07:14.652 --> 00:07:20.336]  But in Africa, the UN is saying it could be up to 1.4 million people or more that end up getting it.
[00:07:21.036 --> 00:07:23.458]  That is just an incredible number.
[00:07:24.118 --> 00:07:32.124]  What I'm really concerned about is the MRSA and the drug-resistant bacteria and the drug-immune TB that is spreading across this country.
[00:07:32.464 --> 00:07:33.865]  The flesh-eating bacteria.
[00:07:34.305 --> 00:07:50.217]  That's why it's essential for all of us going into this flu season to do our own research and find out that the H1N1 shot five years ago lowered people's immune systems and doubled their chances of getting the regular flu that was the big killer.
[00:07:50.737 --> 00:07:59.406]  That's why it's vital going into this winter that we all wash our hands and boost our immune systems however we can naturally.
[00:07:59.966 --> 00:08:03.770]  Well, that's it for this Emergency Ebola News Update Alert.
[00:08:04.350 --> 00:08:08.314]  I'm Alex Jones signing off for this edition of InfoWars Nightly News.
[00:08:08.695 --> 00:08:09.896]  We don't have all the answers.
[00:08:10.236 --> 00:08:22.112]  But we know the Feds and the Globalist and the UN, the people caught doing secret, lethal medical testing all over the world, we know that that's a group that we are certainly going to keep an eye on.
[00:08:22.881 --> 00:08:30.704]  If you'd like to check out the entire family of InfoWarsLife.com nutraceutical supplement products, visit InfoWarsLife.com today.
[00:08:31.184 --> 00:08:38.487]  Or call the InfoWars staff and we can answer your questions or take your order over the phone at 888-253-3139.
[00:08:39.448 --> 00:08:42.089]  Because you're not only the resistance, you are the answer.
[00:08:42.409 --> 00:08:44.610]  And it's your job to take care of yourself and your family.
[00:08:55.273 --> 00:09:03.116]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:09:03.376 --> 00:09:05.456]  All the major networks are state-run.
[00:09:05.616 --> 00:09:08.257]  We are partnering this year with the NFL.
[00:09:08.317 --> 00:09:12.419]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[00:09:12.739 --> 00:09:15.880]  MSNBC tells us that our children belong to the state.
[00:09:15.900 --> 00:09:23.162]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:09:23.362 --> 00:09:27.483]  It is more important than ever to realize that we are not the alternative media.
[00:09:27.663 --> 00:09:29.323]  We are the true media.
[00:09:29.463 --> 00:09:32.084]  The establishment dinosaur press is dying.
[00:09:32.184 --> 00:09:35.825]  We are in an information war, and we are losing that war.
[00:09:35.925 --> 00:09:40.045]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:09:40.265 --> 00:09:43.106]  Members can share their memberships with up to 11 people.
[00:09:43.226 --> 00:09:47.587]  By subscribing, you will literally be buying war bonds in the Info War.
[00:09:47.887 --> 00:09:50.790]  To expand our operation in the face of the tyrants.
[00:09:51.090 --> 00:09:52.811]  Join us at PrisonPlanet.tv
