[00:00:01.078 --> 00:00:03.941]  Coast to Coast, direct from Austin.
[00:05:39.539 --> 00:05:46.425]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[00:05:46.805 --> 00:05:54.151]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[00:05:54.731 --> 00:05:59.255]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[00:06:00.255 --> 00:06:05.059]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[00:06:05.640 --> 00:06:08.562]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:06:09.594 --> 00:06:23.479]  If I could have gotten 51 votes in the Senate of the United States for an outright ban, picking up every one of them, Mr. and Mrs. America, turn them all in, I would have done it.
[00:06:23.659 --> 00:06:29.321]  But I also believe that a lot of gun owners would agree that AK-47s belong in the hands of soldiers, not in the hands of criminals.
[00:06:30.765 --> 00:06:32.627]  We just have to be repetitive about this.
[00:06:32.727 --> 00:06:37.351]  It's not enough to simply have a catchy ad on a Monday and then only do it every Monday.
[00:06:37.371 --> 00:06:44.176]  We need to do this every day of the week and just really brainwash people into thinking about guns in a vastly different way.
[00:06:44.297 --> 00:06:44.577]  Enough.
[00:06:45.137 --> 00:06:45.418]  Enough.
[00:06:45.938 --> 00:06:46.218]  Enough.
[00:06:46.939 --> 00:06:47.139]  Enough.
[00:06:47.479 --> 00:06:48.500]  Mayor Bloomberg, how you doing?
[00:06:48.520 --> 00:06:49.721]  Jason, I grew up in Brooklyn.
[00:06:49.801 --> 00:06:53.124]  In the spirit of gun control, will you disarm your entire security team?
[00:06:53.144 --> 00:06:55.606]  Uh, you will get right back to me.
[00:06:55.626 --> 00:06:56.327]  You'll get back to me?
[00:07:05.560 --> 00:07:10.786]  They may feel that it's part of a romanticized culture.
[00:07:10.807 --> 00:07:14.491]  There's an aspect of this, a kind of Wild West, cowboy, Dirty Harry aspect.
[00:07:14.672 --> 00:07:17.455]  There's also an aspect... So they're macho men and they gotta have a gun?
[00:07:17.535 --> 00:07:18.076]  Go ahead.
[00:07:19.118 --> 00:07:19.899]  Make my day.
[00:07:20.319 --> 00:07:23.743]  Anybody that wants to disarm me can drop dead.
[00:07:24.143 --> 00:07:28.528]  A trio of would-be burglars picked the wrong Albuquerque house to break into.
[00:07:28.688 --> 00:07:36.276]  Police say when the three teens pried open the door, a brave little girl was waiting for them, locked and loaded.
[00:07:36.556 --> 00:07:39.860]  It's harder to use an assault weapon than hit something that is a shotgun, okay?
[00:07:49.375 --> 00:07:50.676]  You don't need an AR-15.
[00:07:50.836 --> 00:07:53.058]  It's harder to aim.
[00:07:53.419 --> 00:07:54.640]  It's harder to use.
[00:08:00.125 --> 00:08:03.368]  In fact, you don't need 30 rounds to protect yourself.
[00:08:03.968 --> 00:08:04.609]  Buy a shotgun.
[00:08:06.127 --> 00:08:06.767]  Why shotgun?
[00:08:07.268 --> 00:08:23.315]  Vice President Biden and I had a meeting with a group of technology people and talked about how guns can be made more safe by making them either through fingerprint identification, the gun talks to a bracelet or something that you might wear.
[00:08:23.575 --> 00:08:28.918]  Anybody that wants to make me unarmed and helpless, people that want to literally create the proven
[00:08:30.038 --> 00:08:35.144]  Places where more innocents are killed called gun-free zones, we're gonna beat you.
[00:08:35.344 --> 00:08:38.208]  We're gonna vote you out of office or suck on my machine gun.
[00:08:38.248 --> 00:08:45.496]  That's why you're going to fail and the establishment knows no matter how much propaganda, the Republic will rise again when you attempt to take our guns.
[00:08:45.576 --> 00:08:46.437]  Guns will be taken.
[00:08:46.477 --> 00:08:47.679]  No one will be able to be armed.
[00:08:47.959 --> 00:08:48.780]  We will take all weapons.
[00:08:49.160 --> 00:08:57.486]  I believe that as Americans, we have a right to arm ourselves against criminals, but we don't need the ability to arm ourselves against the army or the police.
[00:08:57.826 --> 00:08:59.828]  The United States military is not out to get us.
[00:09:00.273 --> 00:09:04.735]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:09:04.836 --> 00:09:08.798]  It comes out to like 1.6 billion rounds of ammunition.
[00:09:08.818 --> 00:09:18.883]  The Second Amendment is there, and it was put in there not for hunting and fishing, like they like to say, because back when they did it, if you didn't hunt or fish, you didn't eat.
[00:09:19.424 --> 00:09:29.089]  It was put in there so the citizens would have the ability, if their government became oppressive, they could defend themselves against oppressive government.
[00:09:29.249 --> 00:09:40.999]  Hitler took the guns, Stalin took the guns, Mao took the guns, Fidel Castro took the guns, Hugo Chavez took the guns, and I'm here to tell you, 1776 will commence again if you try to take our firearms!
[00:09:47.593 --> 00:09:49.394]  I don't want that man to have a gun.
[00:09:49.914 --> 00:09:56.197]  I wouldn't feel comfortable having an argument with him in his home where he had access to his 50 weapons.
[00:09:56.457 --> 00:10:02.460]  Challenge Alex Jones to a boxing match, show up with a semi-automatic that you got legally, and pop him!
[00:10:02.680 --> 00:10:03.400]  I'd love to see that!
[00:10:03.520 --> 00:10:04.000]  In uniform!
[00:10:04.020 --> 00:10:04.761]  The answer to 1984 is 1776.
[00:10:04.821 --> 00:10:08.142]  You're listening to the Alex Jones Show.
[00:10:17.921 --> 00:10:21.126]  And we're not running and we're not backing down!
[00:10:21.507 --> 00:10:23.550]  If you want them, come and take them!
[00:10:27.928 --> 00:10:31.109]  Welcome to this Sunday edition of the Alex Jones Show.
[00:10:31.189 --> 00:10:33.630]  It's Sunday, August 17th, 2014.
[00:10:34.050 --> 00:10:35.330]  I'm David Knight here in Austin.
[00:10:35.750 --> 00:10:38.151]  We have Alex Jones coming up with Max Keiser.
[00:10:38.691 --> 00:10:40.712]  There's some breaking news, of course, in Ferguson.
[00:10:40.752 --> 00:10:43.193]  Our reporters are there covering that live.
[00:10:43.233 --> 00:10:50.275]  And again, there was more tear gas last night against demonstrators who were exercising their First Amendment rights to
[00:10:51.275 --> 00:10:52.396]  We're good to go.
[00:11:09.944 --> 00:11:21.492]  And take over the narrative, pretending that the federal government is the savior, coming in on a horse to take this away from everybody because, you know, they had nothing to do with these militarized vehicles.
[00:11:21.552 --> 00:11:24.674]  He complains about how militarized the police are there.
[00:11:25.154 --> 00:11:28.075]  How did they get those weapons, those vehicles, that training?
[00:11:28.335 --> 00:11:30.596]  Well, of course, it has been coming from the federal government.
[00:11:30.616 --> 00:11:33.797]  We've been talking about that for a very long time.
[00:11:33.837 --> 00:11:35.297]  For years, we've been talking about it.
[00:11:35.578 --> 00:11:51.543]  All we hear from the mainstream media is scoffs when we talk about 2,700 MRAPs, about 2 billion rounds of ammunition, about all these vehicles being put in very small police towns, encouraging these people, telling them, you need a mine-resistant armored personnel carrier.
[00:11:53.003 --> 00:11:58.865]  This is what's happening from the federal government, and yet they're coming in as if they're going to save the day.
[00:11:59.526 --> 00:12:02.147]  Of course, this is really all about corruption.
[00:12:02.667 --> 00:12:17.452]  And as Alex Jones had a couple of weeks ago, retired Colonel Pete Martino, who got involved in this because of the federal government militarizing a small town in New Hampshire where he lived, he said, can't you see what they're doing to our country?
[00:12:18.132 --> 00:12:21.793]  He had seen this abroad when he was fighting in Iraq and Afghanistan.
[00:12:22.394 --> 00:12:24.194]  And he said it's about the mission statement.
[00:12:24.314 --> 00:12:27.395]  What is the mission of our various agencies?
[00:12:27.435 --> 00:12:28.476]  They've lost their way.
[00:12:28.916 --> 00:12:30.656]  They've lost their way from the top down.
[00:12:31.337 --> 00:12:33.737]  It's really fundamentally about corruption.
[00:12:33.797 --> 00:12:38.299]  And I think a good example of this is what's happened here just this last weekend.
[00:12:38.759 --> 00:12:46.562]  Late on Friday there was breaking news that Governor Rick Perry has been indicted for abuse of office and for coercion.
[00:12:47.242 --> 00:12:50.386]  Yes, it's a story about corruption, but that's not the story.
[00:12:50.406 --> 00:12:57.774]  I think the real story is the corruption that is encouraged and tolerated because it can result in political gain.
[00:12:58.515 --> 00:13:06.464]  And what we see with what was about a, it was a local story, I guess about a month, it was four months ago, a year, it was back in April of 2013.
[00:13:08.306 --> 00:13:20.797]  That the district attorney here in Travis County, the highest ranking law enforcement official here in Travis County and in the state, was convicted of drunk driving.
[00:13:20.958 --> 00:13:21.878]  And what happened there?
[00:13:21.918 --> 00:13:25.782]  It wasn't just a single drunk driving conviction, but it was the way that it happened.
[00:13:26.102 --> 00:13:28.645]  And I want to play for you a short tape of this.
[00:13:28.705 --> 00:13:33.809]  And if you're watching this, you can see the B-roll of how she reacted once she was arrested for drunk driving.
[00:13:33.849 --> 00:13:34.450]  Here's a little clip.
[00:13:35.587 --> 00:13:37.108]  And you're going to ruin my career.
[00:13:37.849 --> 00:13:40.490]  That's not the intent of what I'm here for.
[00:13:44.321 --> 00:13:47.843]  Now that clip is, she just keeps going on about her career.
[00:13:48.303 --> 00:13:49.864]  She can barely stand up.
[00:13:50.244 --> 00:14:01.769]  You don't see it in that clip right there, but we have some other clips where there's a very long, about a 15 minute video that they recorded on the police car dash cam, and she was staggering so much that both officers had to help her.
[00:14:01.809 --> 00:14:03.250]  Now, they didn't pull her over.
[00:14:03.350 --> 00:14:05.511]  She was reported to the police by a motorist.
[00:14:05.591 --> 00:14:06.131]  It was so bad.
[00:14:06.171 --> 00:14:07.331]  She was going across the lanes.
[00:14:07.612 --> 00:14:10.333]  She was actually three times the legal limit.
[00:14:11.093 --> 00:14:13.013]  She had an open bottle of vodka in the car.
[00:14:13.073 --> 00:14:14.974]  She told the police that she'd had some vodka.
[00:14:15.034 --> 00:14:19.995]  Later she changed her story saying that she had a few glasses of wine while she was watching a movie.
[00:14:20.095 --> 00:14:21.215]  Maybe both of those are true.
[00:14:21.315 --> 00:14:21.775]  I don't know.
[00:14:21.835 --> 00:14:23.396]  But she got very abusive.
[00:14:23.656 --> 00:14:25.756]  You can see in this B-roll that we've been running here.
[00:14:25.796 --> 00:14:30.457]  She got so abusive in the jail, so violent, that they had to constrain her.
[00:14:30.917 --> 00:14:33.118]  She just kept shouting about her career.
[00:14:33.158 --> 00:14:34.118]  You're doing this to my career.
[00:14:34.518 --> 00:14:37.119]  Absolutely no concern about
[00:14:37.799 --> 00:14:42.662]  The danger that she put people in on the road simply concerned about her career.
[00:14:42.702 --> 00:14:45.403]  And of course, the Democrats did not want her to step down.
[00:14:45.763 --> 00:14:54.348]  Even though it was very embarrassing for her and for the Democrats to stand behind her, they didn't want Perry to appoint a Republican in her place.
[00:14:54.408 --> 00:14:56.549]  So instead, they stood with the corruption.
[00:14:56.989 --> 00:14:59.009]  Because it suited their power play.
[00:14:59.289 --> 00:15:01.630]  It was purely political that they stood with her.
[00:15:02.050 --> 00:15:15.252]  Now the interesting thing about this, and where this comes in to charges against Governor Perry, is that she was in charge of a state fund where she had seven and a half million dollars as part of the, quote, public integrity unit.
[00:15:15.672 --> 00:15:23.174]  That's right, somebody who was screaming abusively at the people in jail, so much so that they had to constrain her.
[00:15:24.090 --> 00:15:30.973]  Who was picked up for three times the legal limit and didn't have the integrity to step down.
[00:15:31.193 --> 00:15:39.357]  Instead she wanted to run this office and have the public trust and they were getting seven and a half million dollars worth of state funds.
[00:15:39.437 --> 00:15:46.560]  So Perry said basically either she steps down or I'm not going to give state funds to that organization.
[00:15:47.061 --> 00:15:49.482]  Instead what they have now done is come against
[00:15:50.342 --> 00:15:55.485]  Rick Perry, and charge him with felonies for exercising his gubernatorial veto.
[00:15:56.045 --> 00:15:57.686]  What he has a legitimate right to do.
[00:15:57.706 --> 00:16:01.749]  Now stay with us, we're going to be joining our reporters in Ferguson, Missouri.
[00:16:02.149 --> 00:16:07.052]  Jakari Jackson, Joe Biggs, they're going to tell us what happened last night and what's going on right now.
[00:16:07.072 --> 00:16:09.293]  There was more tear gas last night, stay with us.
[00:16:10.421 --> 00:16:13.342]  This is Alex Jones for InfoWarsLife.com.
[00:16:13.502 --> 00:16:15.423]  The latest in preparedness is now here.
[00:16:15.643 --> 00:16:21.626]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:16:21.826 --> 00:16:26.808]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:16:26.888 --> 00:16:31.590]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[00:16:31.770 --> 00:16:36.315]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:16:36.596 --> 00:16:44.985]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a two-ounce bottle and is not recommended for extended continual use.
[00:16:45.185 --> 00:16:46.647]  This is not a low-grade
[00:16:46.647 --> 00:16:47.348]  We're good to go.
[00:17:11.277 --> 00:17:13.038]  Hi, I'm Dr. Edward Grove.
[00:17:13.559 --> 00:17:20.523]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:17:20.983 --> 00:17:31.390]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:17:31.811 --> 00:17:41.057]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:17:41.777 --> 00:17:45.199]  It's the strongest nascent iodine on the market today.
[00:17:45.839 --> 00:17:49.280]  It delivers 650 micrograms per drop.
[00:17:49.600 --> 00:17:51.201]  Experience the new formula.
[00:17:51.661 --> 00:17:53.642]  Experience the ancient purity.
[00:17:54.242 --> 00:17:55.243]  Shield your family.
[00:17:55.563 --> 00:17:56.963]  Survival Shield X2.
[00:17:57.384 --> 00:17:59.985]  Available now at Infowarslife.com.
[00:18:00.545 --> 00:18:04.507]  X2 from Infowarslife.com or call toll free 888-253-3139.
[00:18:09.801 --> 00:18:15.887]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forfeiture situation?
[00:18:15.907 --> 00:18:19.249]  The police are shoving people, shoving Alex, shoving the crowd.
[00:18:19.350 --> 00:18:20.931]  Here we go, folks, I'm being a sergeant!
[00:18:20.991 --> 00:18:27.237]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:18:27.357 --> 00:18:33.242]  Is this another false flag stage attack to take our civil liberties and promote homeless security by sticking our hands down on the streets?
[00:18:33.402 --> 00:18:37.165]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:18:37.345 --> 00:18:40.247]  And that's what PrisonPlanet.TV is designed to do.
[00:18:40.427 --> 00:18:48.453]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:18:48.714 --> 00:18:50.755]  What we see now is a war against reality.
[00:18:50.815 --> 00:18:51.856]  It's a war against the truth.
[00:18:52.216 --> 00:19:00.968]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:19:01.168 --> 00:19:03.611]  Visit InfoWarsNews.com today.
[00:19:03.832 --> 00:19:08.117]  Become a member, share your membership, and help take the info war to the next level.
[00:19:09.449 --> 00:19:19.651]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[00:19:20.012 --> 00:19:26.053]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:19:26.453 --> 00:19:28.714]  I jump out of bed ready to fight these criminals every day.
[00:19:28.814 --> 00:19:31.854]  I look forward to waking up and taking my super male vitality.
[00:19:31.894 --> 00:19:38.756]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[00:19:39.196 --> 00:19:42.698]  The government's Department of Homeland Security is buying up loads of ammo.
[00:19:42.858 --> 00:19:46.820]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:19:47.140 --> 00:19:48.601]  Can you put two and two together?
[00:19:48.921 --> 00:19:53.944]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds.
[00:19:54.244 --> 00:19:56.505]  It's reasonably priced and fully legal.
[00:19:56.785 --> 00:19:57.626]  But for how long?
[00:19:57.926 --> 00:19:59.927]  Go to InfidelBodyArmor.com.
[00:20:00.127 --> 00:20:04.169]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[00:20:04.549 --> 00:20:05.730]  Infidel Body Armor.
[00:20:06.430 --> 00:20:07.371]  Just won't quit.
[00:20:11.371 --> 00:20:14.252]  Coast to coast, direct from Austin.
[00:20:14.952 --> 00:20:19.034]  You're listening to the Alex Jones Broadcasting Network.
[00:20:22.995 --> 00:20:30.698]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:20:35.515 --> 00:20:38.937]  Welcome back to the Alex Jones Show on this Sunday, August 17, 2014.
[00:20:39.037 --> 00:20:40.018]  I'm David Knight.
[00:20:40.158 --> 00:20:42.440]  Alex is going to be coming up with Max Keiser.
[00:20:43.000 --> 00:20:50.285]  And we have on the phone with us now, we have Jakari Jackson and Joe Biggs there in Ferguson, Missouri, where the riots have been going.
[00:20:50.325 --> 00:20:52.166]  And there's some updates from last night.
[00:20:52.766 --> 00:20:57.830]  We had some more confrontations with the police and protesters, peaceful protesters.
[00:20:58.730 --> 00:21:02.753]  And we're going to talk to them about what happened and what their plans are, what's going on today.
[00:21:02.793 --> 00:21:06.376]  There's a lot of news coming out of there and a lot of different angles that are coming out of this.
[00:21:06.456 --> 00:21:11.359]  Of course, the federal government is trying to pretend that they're going to save the local residents.
[00:21:12.000 --> 00:21:17.644]  Many of them are buying that, even though it was the federal government that started the militarization of the police.
[00:21:18.184 --> 00:21:20.846]  So we need to talk about this as a country.
[00:21:20.886 --> 00:21:23.709]  We need to have a discussion, as Rand Paul pointed out last week.
[00:21:24.409 --> 00:21:27.451]  The real issue is the militarization of the police.
[00:21:28.172 --> 00:21:30.994]  But there's also some eyewitness reports that are coming out of the area.
[00:21:31.014 --> 00:21:32.094]  We're going to talk about those.
[00:21:32.275 --> 00:21:39.179]  And of course there is Second Amendment news because we had a district judge in Maryland rule on a Maryland law.
[00:21:40.080 --> 00:21:52.165]  Saying that the AR-15 bans that Maryland has put in, along with other so-called assault rifles, the court seriously doubts that these banned assault long guns are commonly possessed for lawful purposes.
[00:21:52.665 --> 00:21:59.688]  And it's inclined to find that the weapons fall outside of the Second Amendment protection because they are dangerous and unusual.
[00:22:00.208 --> 00:22:00.908]  So there you have it.
[00:22:01.068 --> 00:22:03.029]  A federal judge was appointed by Clinton
[00:22:03.749 --> 00:22:09.972]  Is saying that AR-15s are dangerous and unusual weapons that are not protected by the Second Amendment.
[00:22:10.032 --> 00:22:14.394]  Clearly the Second Amendment was about military weapons.
[00:22:14.955 --> 00:22:19.677]  Because it was talking about the militia being used to defend the country.
[00:22:20.337 --> 00:22:25.598]  And, of course, the Constitution says that the militia is there to put down insurrections and invasions.
[00:22:25.839 --> 00:22:27.939]  It's a military perspective.
[00:22:27.979 --> 00:22:31.000]  But, of course, it also falls into being able to protect yourself.
[00:22:31.040 --> 00:22:46.244]  And we've seen in Ferguson, Missouri, that the store owners, who still have stores in the areas where they were looting and burning stores, were the ones who stood there with guns, many of them AR-15s, because they're far more effective than shotguns in many cases.
[00:22:47.355 --> 00:22:54.639]  Now, just before we came up to the break, we were talking about what's going on here and the corruption that we see in government.
[00:22:54.679 --> 00:23:06.765]  And of course, the corruption of our police forces by militarizing them, the corruption that comes from not understanding, as retired Colonel Pete Martino said, not understanding the mission statement.
[00:23:07.265 --> 00:23:12.267]  Well, the mission statement is laid out pretty clearly in the Constitution as to what the government is supposed to do.
[00:23:12.327 --> 00:23:14.168]  So it starts from the top down.
[00:23:14.228 --> 00:23:16.068]  It starts from the federal government down.
[00:23:16.428 --> 00:23:25.372]  But we also see that it is now moving up from a local story here in Austin to a national story as what began last April.
[00:23:25.432 --> 00:23:28.973]  I guess it was about a year and four months ago.
[00:23:29.033 --> 00:23:35.816]  There was a drunk driving arrest of the district attorney here who happened to be in charge of the State Public Integrity Unit.
[00:23:36.556 --> 00:23:40.599]  That got seven and a half million dollars from the state government.
[00:23:41.160 --> 00:23:43.782]  And it was such an egregious arrest.
[00:23:43.882 --> 00:23:53.090]  It was videotaped both by the dash cam of the police and also because she was so abusive physically, verbally, in the jail that they began videotaping it.
[00:23:53.230 --> 00:23:54.551]  That all eventually came out.
[00:23:54.751 --> 00:23:59.535]  It was a local story at first, but then she refused to stand down when Governor Perry
[00:24:00.276 --> 00:24:01.577]  Tried to get her to resign.
[00:24:01.617 --> 00:24:04.798]  Of course, she didn't have enough integrity to resign.
[00:24:04.958 --> 00:24:08.880]  The Democrat Party didn't want her to resign because they wanted the power.
[00:24:08.940 --> 00:24:11.521]  They didn't care what kind of person was in charge.
[00:24:11.801 --> 00:24:14.402]  And this is what they've used that organization for in the past.
[00:24:14.422 --> 00:24:18.404]  This is from the Washington Post, and of course they make it sound as if
[00:24:19.224 --> 00:24:22.005]  Governor Perry defunded her entire department.
[00:24:22.025 --> 00:24:31.007]  Of course, she's district attorney for the county, but it was the Public Integrity Unit that was not going to get $7.5 million of state money.
[00:24:31.647 --> 00:24:41.829]  They say that her predecessor indicted then-Senator Kay Bailey Hutchinson, who was a Republican and he was a Democrat, for allegedly misusing state resources when she was state treasurer.
[00:24:42.509 --> 00:24:49.073]  They say, and this is a Washington Post reporting, the prosecution crumbled on the first day of the trial.
[00:24:49.933 --> 00:25:03.702]  The same guy, the predecessor of Rosemary Lindbergh, his name is Ronnie Earle, he also brought a case against then House Whip Tom DeLay, again another national story, for violations of Texas campaign finance laws.
[00:25:04.062 --> 00:25:07.184]  He got a conviction, but that conviction was overturned.
[00:25:07.944 --> 00:25:21.075]  Now we have Rosemary Lindbergh, who even though she had this egregious incident as a drunken driver, as she was three times the legal limit, she was given 45 days in jail, only served half that time.
[00:25:21.636 --> 00:25:23.497]  Her license was suspended for six months.
[00:25:24.518 --> 00:25:29.062]  And as a person in charge of the Public Integrity Unit, Rick Perry wanted her to step down.
[00:25:29.102 --> 00:25:30.083]  But instead of doing that,
[00:25:30.979 --> 00:25:32.920]  She is fighting back.
[00:25:33.560 --> 00:25:43.144]  And they got an indictment against Rick Perry, charging him with coercion and abuse of office because he vetoed the funding for that organization.
[00:25:43.464 --> 00:25:49.066]  Now, there are things that they could come after Rick Perry for, probably, like the Gardasil connection.
[00:25:49.666 --> 00:25:57.052]  We've talked about that many times, how they were trying to make it mandatory in the schools for all the children to have Gardasil.
[00:25:57.092 --> 00:26:03.937]  And of course there were ethical connections to people who had been on Rick Perry's staff that now worked for the company that made Gardasil.
[00:26:04.998 --> 00:26:05.278]  I don't
