[00:00:07.529 --> 00:00:08.690]  Forget about the NSA.
[00:06:31.404 --> 00:06:36.886]  I will most likely find it first, as social media trolling is not what the WSP does best.
[00:06:37.066 --> 00:06:43.628]  Bank of America has a team of 20 people, and that's all they do all day, and then pass it to us around the country.
[00:06:43.908 --> 00:06:52.052]  Page 12 of the public records release, which details an October email exchange, also shows the bank's relationship with the Joint Terrorism Task Force.
[00:06:52.233 --> 00:06:53.873]  Sorry for not getting back to you sooner.
[00:06:54.174 --> 00:06:57.495]  Hectic weeks lately with foreclosures and this Million Mask March.
[00:06:57.896 --> 00:07:02.118]  And this is just one example of the government using private groups to spy on Americans.
[00:07:02.498 --> 00:07:08.602]  The Stingray cell tracking device works by mimicking a real cell phone tower, tricking phones into connecting to it.
[00:07:08.882 --> 00:07:13.725]  Florida police have used the Stingray device at least 200 times without a warrant.
[00:07:13.885 --> 00:07:28.535]  Through a recent motion for public access, the ACLU determined that at least one Florida police department never told judges about its use of Stingray because the department signed a non-disclosure agreement with the Stingray's manufacturer to keep its use from being publicly known.
[00:07:28.735 --> 00:07:35.838]  The manufacturer further aided in the secrecy by retaining ownership of its stingrays and only letting the department borrow them.
[00:07:36.339 --> 00:07:48.965]  These businesses, combined with the government, form a state-corporate nexus that is continuously focusing its surveillance not on a real threat, but rather on freedom-loving Americans who counter unconstitutional abuses.
[00:07:49.665 --> 00:07:58.748]  Pick up a copy of Police State 4 Rise of FEMA at Infowarshop.com to learn just how out of control this police state panopticon has gotten.
[00:07:59.188 --> 00:08:01.188]  That's at Infowarshop.com.
[00:08:01.549 --> 00:08:04.449]  And remember, you're not going to hear about this from the mainstream media.
[00:08:04.749 --> 00:08:09.731]  They view you as no more than a rat in a maze to be lured with cheesy disinfo.
