[00:00:06.488 --> 00:00:07.255]  I'm good.
[00:01:44.505 --> 00:01:46.426]  This is press over here!
[00:01:48.226 --> 00:01:49.747]  He's shooting at us!
[00:01:49.787 --> 00:01:50.807]  What's going on?
[00:01:50.827 --> 00:01:51.108]  Wow!
[00:01:51.128 --> 00:01:51.748]  Are you still on?
[00:01:54.497 --> 00:01:57.159]  There's a bunch of media over here trying to cover the story!
[00:01:58.641 --> 00:01:58.921]  Hello?
[00:02:00.623 --> 00:02:04.306]  Yeah, well we're getting shot at with rubber bullets right now, okay?
[00:02:04.346 --> 00:02:05.928]  So I don't know what to tell you.
[00:02:06.048 --> 00:02:06.488]  Yeah!
[00:02:07.169 --> 00:02:09.391]  That's a rubber bullet barrel, they've been shooting them at everybody.
[00:02:12.914 --> 00:02:18.219]  I mean, as of right now, we're okay until they start shooting rubber bullets in our direction.
[00:02:30.222 --> 00:02:31.743]  Whoa!
[00:02:31.783 --> 00:02:32.803]  They threw it at the news!
[00:02:32.863 --> 00:02:35.424]  Well, I'm news too, but you know what I'm talking about.
[00:02:35.444 --> 00:02:38.545]  We're moving!
[00:02:40.006 --> 00:02:41.726]  We're moving!
[00:02:42.127 --> 00:02:42.847]  Usher!
[00:02:42.887 --> 00:02:43.587]  Get Usher!
[00:02:43.927 --> 00:02:44.247]  Get out!
[00:02:44.508 --> 00:02:44.688]  Alright.
[00:02:46.048 --> 00:02:46.308]  Look!
[00:02:46.588 --> 00:02:48.049]  So they did it to the new media too!
[00:02:48.069 --> 00:02:48.349]  Usher!
[00:02:52.291 --> 00:02:54.351]  You got hit, bro?
[00:02:54.371 --> 00:02:55.652]  Hey, who do you guys work for?
[00:02:56.803 --> 00:02:57.944]  We're with Al Jazeera America.
[00:02:58.004 --> 00:02:59.025]  Al Jazeera America.
[00:02:59.045 --> 00:03:01.508]  So they pop smoke at Al Jazeera America.
[00:03:03.429 --> 00:03:07.273]  They fired a rubber bullet at us and then tear gassed us.
[00:03:07.493 --> 00:03:10.576]  They tear gassed Al Jazeera America.
[00:03:10.917 --> 00:03:12.839]  So you see, it's not just InfoWars.com.
[00:03:13.099 --> 00:03:14.840]  They'll pop it at anybody who's out here with a camera.
[00:03:15.663 --> 00:03:16.264]  So there it is.
[00:03:16.344 --> 00:03:18.646]  Proof positive of them targeting reporters.
[00:03:18.706 --> 00:03:20.487]  But according to them, it never happened.
[00:03:20.507 --> 00:03:21.488]  They were just there to help.
[00:03:21.868 --> 00:03:25.772]  So they come and they tell you to turn your video camera off before they storm you.
[00:03:25.972 --> 00:03:33.158]  And then if they catch you with your video camera on, then they bomb you with smoke grenades and then they shoot you with rubber bullets.
[00:03:33.178 --> 00:03:36.961]  But everything's fine because the Sheriff's Department came out and said so.
[00:03:37.241 --> 00:03:40.144]  You can find more reports at InfoWars.com.
[00:03:52.810 --> 00:03:55.711]  This is Alex Jones for InfoWarsLife.com.
[00:03:55.871 --> 00:03:57.832]  The latest in preparedness is now here.
[00:03:58.012 --> 00:04:04.014]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:04:04.194 --> 00:04:09.196]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:04:09.276 --> 00:04:13.977]  The new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family.
[00:04:14.157 --> 00:04:18.659]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:04:18.979 --> 00:04:27.347]  The Infowars LifeSilver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:04:27.567 --> 00:04:29.529]  This is not a low-grade formula.
[00:04:29.709 --> 00:04:40.799]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[00:04:40.899 --> 00:04:51.901]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com
