[00:00:19.338 --> 00:00:21.521]  You're watching the InfoWars Nightly News.
[00:06:35.561 --> 00:06:39.705]  So go to our main Facebook page, that's the main place to protest, and get our article.
[00:06:40.085 --> 00:06:41.086]  Copy it to your page.
[00:06:41.186 --> 00:06:41.867]  Give it to others.
[00:06:42.307 --> 00:06:46.191]  Media organizations, even if you're not pro-gun, you should be pro-First Amendment.
[00:06:46.691 --> 00:06:56.000]  Let's defend the First Amendment from Bloomberg and others, Moms Demand Action, who are now trying to silence their critics.
[00:06:57.065 --> 00:07:00.046]  Look at how Piers Morgan destroyed himself in the ratings being anti-gun.
[00:07:00.526 --> 00:07:02.767]  A foreigner lecturing Americans down his nose.
[00:07:03.187 --> 00:07:06.508]  Look at how everything the system pushes is falling apart.
[00:07:06.668 --> 00:07:07.828]  MSNBC, you name it.
[00:07:08.349 --> 00:07:11.950]  And that's what tyrants always do when their propaganda fails.
[00:07:12.290 --> 00:07:17.832]  They move to silence those who they can't compete with in the arena of ideas.
[00:07:18.552 --> 00:07:21.293]  We have a chance to turn this country and the world around.
[00:07:21.793 --> 00:07:25.254]  People all over the world hunger for a right to defend themselves.
[00:07:25.894 --> 00:07:27.516]  That's why I don't deserve your thanks.
[00:07:27.957 --> 00:07:34.587]  I need you to stand beside me in defense of the entire Bill of Rights, the entire Constitution, and all basic human liberty.
[00:07:35.548 --> 00:07:37.110]  Never forget, you're important.
[00:07:37.491 --> 00:07:38.232]  You have power.
[00:07:38.772 --> 00:07:39.694]  They're scared of you.
[00:07:39.754 --> 00:07:41.216]  That's why they tell you you don't have power.
[00:07:42.097 --> 00:07:45.981]  If you are watching this transmission, my friends, you are the resistance.
[00:07:46.321 --> 00:07:49.484]  If you're awake and outraged about what's happening, you are the resistance.
[00:07:49.964 --> 00:07:53.988]  And it's time to speak out against these tyrants and call them out for what they are.
[00:07:54.428 --> 00:07:58.432]  A bunch of authoritarians trying to exterminate all of our basic liberties.
[00:08:04.076 --> 00:08:06.818]  Well, in its ongoing battle for hegemony, the U.S.
[00:08:06.918 --> 00:08:12.221]  is now threatening Russia with sanctions in retaliation for the intervention in Crimea.
[00:08:12.501 --> 00:08:14.583]  The Russian government says that if the U.S.
[00:08:14.703 --> 00:08:20.106]  does impose these sanctions, it may not repay the loans that are owed to the financial cartel.
[00:08:20.566 --> 00:08:24.669]  A Kremlin economist said that, indeed, sanctions are a double-edged weapon.
[00:08:25.029 --> 00:08:25.789]  And if the U.S.
[00:08:25.970 --> 00:08:31.253]  chooses to freeze our assets, then our equities and liabilities and dollars will also be frozen.
[00:08:31.673 --> 00:08:36.498]  So this means that our banks and businesses will not return the loans to American partners.
[00:08:36.939 --> 00:08:41.463]  Additionally, Russia would likely dump the dollar to reduce its dependence on the U.S.
[00:08:41.583 --> 00:08:44.106]  financial system and switch to other currencies.
[00:08:44.667 --> 00:08:53.476]  But in addition to battering the banking system, Russia could have the ability to inflict serious economic damage on Europe because it's a major supplier of their oil.
[00:08:54.116 --> 00:08:55.877]  Sanctions imposed by the U.S.
[00:08:55.917 --> 00:08:58.197]  are going to need the support of Britain and Europe.
[00:08:58.437 --> 00:09:02.138]  Otherwise, there's not going to be much change in behavior from Moscow.
[00:09:02.679 --> 00:09:04.139]  But it looks like for now, the U.K.
[00:09:04.199 --> 00:09:08.240]  is only going to be supporting visa restrictions and travel bans.
[00:09:08.740 --> 00:09:09.521]  Now, the U.S.
[00:09:09.721 --> 00:09:11.941]  is considering sanctions for Russia.
[00:09:12.421 --> 00:09:20.784]  Meanwhile, they're considering giving generous loans for the coup regime in Kiev that overthrew the elected government in Ukraine.
[00:09:21.444 --> 00:09:24.227]  What a mess we have gotten ourselves into.
[00:09:24.788 --> 00:09:30.594]  And of course, I say we, but you know, it's the hubris and those in charge.
[00:09:30.975 --> 00:09:42.007]  But it is because of this hubris, this arrogance and evil in the government on all sides, the stage for war has been set, while the citizens of these countries are just suffering under this.
[00:09:42.387 --> 00:09:50.670]  The puppet politicians who Washington had intended to put in charge of the Ukraine, they've lost control now to organized and armed neo-Nazis.
[00:09:50.950 --> 00:09:59.733]  Of course, Washington just wants missile bases in the Ukraine in order to degrade Russia's nuclear deterrent, thus reducing Russia's ability to resist U.S.
[00:09:59.793 --> 00:10:00.333]  hegemony.
[00:10:00.613 --> 00:10:04.595]  There are only three countries who stand in the way of Washington's hegemony over the world.
[00:10:04.975 --> 00:10:05.815]  That is Russia,
[00:10:06.155 --> 00:10:07.316]  China and Iran.
[00:10:07.756 --> 00:10:09.237]  Now, recently the U.S.
[00:10:09.317 --> 00:10:16.642]  Secretary of State John Kerry had the audacity to denounce Russia for violating international law by invading Ukraine.
[00:10:17.143 --> 00:10:29.091]  But does Kerry really think that the irony is lost on all of us that he is the foreign minister of a country that has illegally invaded Iraq, Afghanistan, Somalia, he organized the overthrow of the government in Libya,
[00:10:29.571 --> 00:10:30.032]  We're good to go.
[00:10:48.031 --> 00:10:48.852]  Indeed.
[00:10:49.292 --> 00:10:50.953]  And this is Washington, though.
[00:10:51.013 --> 00:10:53.795]  They lied about the nukes in Iran.
[00:10:54.176 --> 00:10:56.757]  They lied about weapons of mass destruction in Iraq.
[00:10:57.078 --> 00:11:02.061]  They lied about the Syrian President Assad sending out the chemical weapons.
[00:11:02.522 --> 00:11:06.444]  They've lied about Afghanistan, Libya, NSA spying, torture.
[00:11:06.985 --> 00:11:08.926]  What haven't they lied about?
[00:11:09.326 --> 00:11:12.649]  But that is that American exceptionalism that
[00:11:13.269 --> 00:11:13.709]  We're good.
[00:11:33.996 --> 00:11:45.361]  The city of Houston has now issued a cease and desist order to prevent citizens from emailing them requesting that they allow a company to start business in Houston.
[00:11:46.001 --> 00:11:55.306]  This company had asked its users to lobby the representatives to allow Uber, which is a mobile phone enabled taxi ordering service, into the city.
[00:11:55.826 --> 00:11:58.247]  Now this was here to counter what they assumed
[00:11:58.767 --> 00:11:59.589]  We're good to go.
[00:12:14.051 --> 00:12:18.273]  With the police and the government, because that's what helps keep our DUIs on the rise.
[00:12:18.753 --> 00:12:27.377]  So the company had asked people and asked the users to encourage emailing their city officials and allow the business to come into the city.
[00:12:27.457 --> 00:12:42.404]  But there was such an influx of emails that the police department sent a cease and desist order saying that the excessive number of emails has gone unabated to the point of becoming harassing in nature and arguably unlawful.
[00:12:43.764 --> 00:12:51.007]  Now, citizens contacting their own elected officials is a form of harassment and somehow illegal.
[00:12:51.087 --> 00:13:04.712]  Therefore, if those of us who are going to flood our representatives with demands to label GMOs or get the fluoride out of the water, now we are seen as harassing and we're illegal.
[00:13:05.192 --> 00:13:05.632]  Meanwhile,
[00:13:06.192 --> 00:13:07.793]  Hello, that's American.
[00:13:07.933 --> 00:13:13.776]  And now we're being labeled as anti-American because we're questioning these questionable laws.
[00:13:14.176 --> 00:13:22.800]  Much like a group in Connecticut who is now calling on the government there to either enforce this gun confiscation law or repeal it in full.
[00:13:23.240 --> 00:13:41.514]  Now, following the Sandy Hook shooting in December, Connecticut passed a law which banned ammo magazines that could carry more than 10 rounds, and any residents who had acquired such magazines before the law came into effect were mandated to register them with state police by the first of the year.
[00:13:41.974 --> 00:13:50.521]  Well, weeks after the deadline had expired, authorities there had revealed that a very small minority of people had actually
[00:13:51.101 --> 00:13:51.701]  We're good to go.
[00:14:13.493 --> 00:14:14.413]  Now, get this.
[00:14:15.034 --> 00:14:23.778]  One woman called and asked a Connecticut State Police spokesman if police would be engaging in this door-to-door gun confiscation as they said that they would.
[00:14:24.838 --> 00:14:27.659]  During this phone call, she was labeled anti-American.
[00:14:28.020 --> 00:14:28.380]  She said,
[00:14:28.940 --> 00:14:30.521]  I want to know if it comes down to it.
[00:14:30.782 --> 00:14:39.749]  Will the police go to my home if my husband refuses to give up a weapon that was formerly legal and now it's been made illegal by a corrupt legislature?
[00:14:40.370 --> 00:14:44.393]  And he said, ma'am, it sounds like you're anti-American.
[00:14:44.614 --> 00:14:46.275]  It sounds like you're anti-law.
[00:14:46.675 --> 00:14:47.836]  I can't answer your question.
[00:14:48.437 --> 00:14:53.942]  And then she reminded him that he's a public servant, to which he responded, I'm the master, ma'am.
[00:14:54.322 --> 00:14:55.043]  The master.
[00:14:56.864 --> 00:14:58.245]  Is that not infuriating?
[00:14:58.625 --> 00:15:04.169]  This is how your elected representatives, this is how your public servants see themselves.
[00:15:04.629 --> 00:15:05.630]  They are the masters.
[00:15:05.990 --> 00:15:07.111]  We are the slaves.
[00:15:07.411 --> 00:15:08.432]  They don't care.
[00:15:08.712 --> 00:15:16.457]  But that shouldn't stop us from calling in and demanding that they change their draconian laws that are against the Constitution.
[00:15:16.617 --> 00:15:18.018]  They are anti-American.
[00:15:18.398 --> 00:15:26.544]  And here we have Oklahoma has now voted to nullify Agenda 21 due to the amount of people that demanded that they stop
[00:15:27.324 --> 00:15:27.604]  Okay.
[00:15:49.776 --> 00:15:51.618]  This is absolutely fantastic.
[00:15:51.698 --> 00:16:00.104]  The word has gotten out there, at least in Oklahoma, they have elected representatives that are responding and that know that property rights, it's in our Constitution.
[00:16:00.604 --> 00:16:01.485]  This is what we need.
[00:16:01.785 --> 00:16:08.410]  People like this who are going to stand up and know that they are our public servants, they are our representatives, not our masters.
[00:16:08.691 --> 00:16:10.732]  And it's high time for some change.
[00:16:11.453 --> 00:16:16.697]  Now stick around because we've got a very special report-heavy portion of the news coming your way.
[00:16:25.592 --> 00:16:29.996]  Symbols are powerful, and the globalists have hijacked the symbols of America.
[00:16:30.296 --> 00:16:32.578]  They've turned them into their own symbols.
[00:16:32.878 --> 00:16:42.567]  Well, we are restoring the idea of the true republic, not the counterfeit globalist empire, by promoting the icon George Washington and others.
[00:16:42.907 --> 00:16:51.109]  That's why we're rolling out on a 100% made in America line of incredible pro-liberty apparel.
[00:16:51.329 --> 00:16:53.850]  We are re-popularizing liberty.
[00:16:54.270 --> 00:16:58.511]  We are helping fellow Americans rediscover what made this country great.
[00:16:58.891 --> 00:16:59.771]  We are the spirit of 1776.
[00:17:01.291 --> 00:17:03.572]  We are 1776 worldwide.
[00:17:03.632 --> 00:17:08.853]  We are all brothers and sisters in arms in the animating contest of liberty.
[00:17:09.133 --> 00:17:13.318]  In the long march towards humanity's ultimate destiny of freedom.
[00:17:13.738 --> 00:17:25.451]  Visit MadeIn1776.com today and vote with your dollars to promote truly made in America high quality products and promote the ideals of liberty.
[00:17:30.111 --> 00:17:39.116]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:17:39.196 --> 00:17:47.580]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:17:47.600 --> 00:17:52.302]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:17:52.483 --> 00:17:58.866]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:17:59.266 --> 00:18:06.349]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:18:06.429 --> 00:18:13.311]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:18:13.451 --> 00:18:17.793]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:18:17.933 --> 00:18:21.174]  Available in original or with our immune support infusion blend.
[00:18:21.334 --> 00:18:27.465]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:18:27.625 --> 00:18:29.308]  Available at Infowarslife.com
[00:18:45.083 --> 00:18:53.014]  They say any press is good press, but when it comes to Obamacare, brand-conscious celebs just aren't willing to back this PR disaster.
[00:18:53.455 --> 00:19:00.645]  In spite of the intention to enlist celebrities for a landmark social media blitz, The Hill reports that Obamacare's stars are fading.
[00:19:00.985 --> 00:19:16.275]  With A-list backers mainly sticking to Twitter to voice support for Obamacare, while others have just only appeared in inexpensive online videos, or they've chosen to promote California's insurance marketplace instead of the notoriously troubled website healthcare.gov.
[00:19:16.655 --> 00:19:20.718]  And celebrity endorsements are necessary to counter these dismal poll numbers.
[00:19:20.998 --> 00:19:25.781]  Support for Obamacare is dropping, and especially among its target constituencies.
[00:19:26.221 --> 00:19:38.369]  Millennials, the group so necessary to the Affordable Care Act's success, are largely disaffected with Obama and his health care law, with nearly half thinking their expenses will rise while their quality of care will fall.
[00:19:38.990 --> 00:19:45.254]  Support for the health care law declined among the uninsured this month, who are supposed to be its primary beneficiaries.
[00:19:45.854 --> 00:19:56.439]  Perhaps more troubling for Obama as he tries to rebrand and resell Obamacare is the Kaiser Health tracking poll that found that Obamacare is losing support among women and Democrats.
[00:19:57.079 --> 00:20:04.283]  48% of women find it unfavorable and approval ratings among Democrats saw a 15% drop in one month.
[00:20:04.663 --> 00:20:11.286]  The problem for Obama is that now Americans can actually see and suffer through what Obamacare actually is.
[00:20:11.966 --> 00:20:23.480]  No amount of good PR can change the fact that in Georgia, the fourth hospital in two years is shutting its doors due to severe financial difficulties caused by Obamacare's payment cuts for emergency services.
[00:20:24.101 --> 00:20:31.109]  And A-listers won't be able to quell the rate shock that consumers are experiencing once they do sign up for the Affordable Care Act.
[00:20:31.429 --> 00:20:39.675]  Including a 539% increase for a couple in Texas and increased premiums for 11 million workers, according to Fox News.
[00:20:39.976 --> 00:20:50.724]  These rate hikes even prompted liberal blogger Terj Capps to express his outrage over his family's rate increase, saying, I'm canceling insurance for us and I'm not paying any penalty.
[00:20:51.004 --> 00:20:53.026]  What the hell kind of reform is this?
[00:20:53.806 --> 00:20:54.387]  Exactly.
[00:20:54.507 --> 00:20:56.049]  Because it's not a reform.
[00:20:56.289 --> 00:20:57.090]  It's a subsidy.
[00:20:57.451 --> 00:21:02.617]  A mandate that forces you to turn over even more of your paycheck to insurance companies.
[00:21:03.038 --> 00:21:03.499]  Or else.
[00:21:04.380 --> 00:21:08.925]  One celebrity tweeting about Obamacare is former MSNBC host Dylan Rattigan.
[00:21:09.386 --> 00:21:13.849]  He had his insurance cancelled thanks to Obamacare and he wasn't pleased about it.
[00:21:14.290 --> 00:21:22.136]  And now experts predict almost 80 million people with employer health care plans could have coverage cancelled because they aren't compliant with Obamacare.
[00:21:22.456 --> 00:21:28.260]  Those losses would be in addition to the millions who've already lost their individual coverage for the same reason.
[00:21:28.841 --> 00:21:38.628]  But Vice President Joe Biden thinks it's great that Obamacare is going to cost 2 million jobs because now women can stay at home and make their husbands a sandwich or something.
[00:21:38.991 --> 00:21:39.991]  This is about freedom.
[00:21:40.551 --> 00:21:45.753]  How many of you are single women with children in a dead-end job?
[00:21:45.773 --> 00:21:48.434]  You're there because of your health insurance.
[00:21:49.154 --> 00:21:56.816]  You would rather have the opportunity to spend the next couple years with your child, if that was your choice, until they get into primary school.
[00:21:57.636 --> 00:22:01.838]  You're now trapped in that job because if you leave, you lose your health insurance.
[00:22:02.398 --> 00:22:06.819]  Now, you'll be able to make an independent choice.
[00:22:07.119 --> 00:22:10.743]  And here's what another celeb thinks of Obama's signature legislation.
[00:22:10.763 --> 00:22:18.311]  You know, I'm a socialist enough that I want everybody to have access to healthcare, poor or rich.
[00:22:18.331 --> 00:22:23.156]  You know, that old line, the rich should live and the poor should die.
[00:22:23.216 --> 00:22:24.577]  I'm not for that.
[00:22:25.318 --> 00:22:28.702]  But I think when you turn something over to one industry,
[00:22:29.462 --> 00:22:32.484]  As opposed to another industry, they're going to do what's self-serving.
[00:22:32.504 --> 00:22:36.306]  You know, the bill seems, you know, incredibly complex.
[00:22:36.346 --> 00:22:38.087]  And why are they getting exemptions?
[00:22:38.168 --> 00:22:43.191]  And why is Congress not participating in the same kind of system as everybody else is?
[00:22:43.211 --> 00:22:47.073]  You know, I really think that it's a big, big, big bullocks.
[00:22:47.808 --> 00:22:50.771]  Obamacare doesn't need to be rebranded and resold.
[00:22:51.152 --> 00:22:52.613]  It needs to be repealed.
[00:22:52.974 --> 00:23:00.462]  How many more millions of Americans need to lose their health insurance and doctors that they like just because the government doesn't like their insurance?
[00:23:16.181 --> 00:23:21.748]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:23:21.968 --> 00:23:29.197]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:23:29.377 --> 00:23:32.601]  Radioactive contamination is now in most of the food supply.
[00:23:32.722 --> 00:23:34.484]  There's only two ways to avoid this.
[00:23:34.744 --> 00:23:39.307]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:23:39.387 --> 00:23:42.169]  Looking to protect my family, I've done deep research.
[00:23:42.289 --> 00:23:48.093]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:23:48.274 --> 00:23:51.736]  It's made right here in the USA, completely non-GMO.
[00:23:51.936 --> 00:23:56.980]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:23:57.200 --> 00:24:00.182]  Exclusively available at Infowarslife.com.
[00:24:00.402 --> 00:24:06.265]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:24:06.385 --> 00:24:08.386]  Survival Shield Nascent Iodine.
[00:24:08.546 --> 00:24:13.968]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:24:14.068 --> 00:24:15.429]  That's InfoWarsLife.com.
[00:24:21.052 --> 00:24:27.539]  We're on the march, the empire's on the run, and the InfoWars Army is standing strong.
[00:24:27.880 --> 00:24:33.966]  Wake up your family, friends, and neighbors and break the matrix at InfoWarsStore.com.
[00:24:34.367 --> 00:24:42.295]  Learn the truth and spread the message of liberty with the world's most comprehensive collection of books and documentary films.
[00:24:43.056 --> 00:24:51.246]  Maintain a healthy metabolism and energize your body to perform at peak health with survival shield nascent iodine.
[00:24:51.686 --> 00:24:57.333]  Protect your family and be prepared with survival foods and emergency preparedness kits.
[00:24:58.033 --> 00:25:09.300]  And now you can drink safe water with your own ProPure water filtration system, which removes fluoride and other harmful chemicals from your family's water supply.
[00:25:09.740 --> 00:25:12.561]  Save 10% with the promo code WATER.
[00:25:12.922 --> 00:25:14.462]  So join the revolution.
[00:25:14.923 --> 00:25:16.143]  Infowarsstore.com
[00:25:27.845 --> 00:25:31.888]  I didn't concede it was torture then, and I don't concede it's torture now.
[00:25:32.169 --> 00:25:42.637]  That's John Rizzo, former acting general counsel for the CIA, who's making the rounds promoting his book about his 33 years at the bureaucracy, accurately entitled Company Man.
[00:25:43.157 --> 00:25:45.720]  Rizzo is definitely a company man.
[00:25:46.460 --> 00:25:52.807]  After watching the CIA's criminal activities exposed in the Church Committee hearings, Rizzo wasn't disgusted like most Americans.
[00:25:53.227 --> 00:26:04.618]  His response was... That was the reason I decided to join CIA, reading the revelations in the media of the findings of what was called the Church Committee, led by a senator named Frank Church.
[00:26:05.510 --> 00:26:17.360]  It exposed for the first time a number of eyebrow-raising CIA activities from the 50s and 60s, including assassination plots against foreign leaders, drug experiments on unsuspecting U.S.
[00:26:17.440 --> 00:26:20.883]  citizens, mail openings during the Vietnam War.
[00:26:20.923 --> 00:26:25.366]  It was a rather breathtaking array of misdeeds, is the only way to put it.
[00:26:26.317 --> 00:26:35.345]  And I was reading it as a young lawyer and thinking to myself, I have no idea whether the CIA has lawyers, but if they don't, they're probably going to need some now.
[00:26:35.970 --> 00:26:43.872]  And he's been defending the CIA ever since, saying that he sees himself as belonging to an exclusive, selective, secretive club.
[00:26:44.232 --> 00:26:48.053]  Working as a lawyer for the CIA for decades didn't help his moral compass either.
[00:26:48.713 --> 00:26:59.275]  His book recounts how he was at the epicenter of the ethical and legal debate on the CIA torturing suspects by waterboarding, providing legal cover for the barbaric abuses of the American government.
[00:26:59.955 --> 00:27:11.320]  The book is little more than sycophantic propaganda for the CIA, but it is interesting when he talks about Hollywood and how the CIA uses them to propagandize and manipulate the American public more effectively.
[00:27:11.926 --> 00:27:17.249]  In talking about Hollywood, he said, these are people who made a lot of money basically creating make-believe stuff.
[00:27:17.789 --> 00:27:22.732]  And that explains why actors are such perfect covers for intelligence operations.
[00:27:23.113 --> 00:27:27.855]  And he says, movie industry vets are receptive to helping the CIA in any way they can.
[00:27:28.436 --> 00:27:36.400]  He was even approached by one actor who refused to take any money, but told him that instead all he wanted was to score the best $50,000 stash of cocaine they could find.
[00:27:37.021 --> 00:27:40.983]  Where would anyone get the idea that the CIA would be involved in the drug trade?
[00:27:41.514 --> 00:27:48.275]  I will tell you, Director Deutch, as a former Los Angeles police narcotics detective, that the agency has dealt drugs throughout this country for a long time.
[00:27:52.213 --> 00:27:52.533]  The L.A.
[00:27:52.573 --> 00:27:54.674]  detective knows the CIA is dealing drugs.
[00:27:54.734 --> 00:27:57.574]  The community knows that the CIA is a drug gang.
[00:27:57.994 --> 00:28:01.295]  And the actor knew where the main source of drugs was coming from.
[00:28:01.875 --> 00:28:05.596]  But the company man, Rizzo, pretends he has no idea.
[00:28:05.976 --> 00:28:13.778]  Gary Webb went into more detail about how the CIA created the crack craze through freeway Ricky Ross and used it to fund their covert wars.
