[00:00:07.665 --> 00:00:10.766]  Because it's such a deadly disease, people are scared.
[00:03:45.067 --> 00:03:50.292]  I expected that they were going to take my temperature, they were going to ask me lots of questions, but they didn't.
[00:03:50.392 --> 00:03:54.556]  I said, I'm a journalist, I've come back from Liberia, I was covering Ebola.
[00:03:54.877 --> 00:04:06.328]  He started to hand my passport back and say, welcome home, but instead he said, oh wait a second, I got an email about passengers like you, hold on a second, and he went and conferred with someone, and he didn't know, and they conferred with someone else, and in the end he said,
[00:04:06.648 --> 00:04:09.130]  You need to watch yourself for signs of Ebola.
[00:04:09.430 --> 00:04:10.891]  And I said, well, what am I watching for?
[00:04:10.931 --> 00:04:11.732]  And he couldn't tell me.
[00:04:12.172 --> 00:04:19.197]  Meanwhile, we have the scientists who first discovered Ebola, warning of an apocalyptic type scenario if this mutates.
[00:04:19.597 --> 00:04:28.504]  And then we've got the federal government on the other side, refusing to shut down any air travel from the Ebola-stricken nations, refusing to even implement a quarantine.
[00:04:28.884 --> 00:04:33.087]  So, of course, the Ebola false flag is going to roll out as predicted.
[00:04:41.840 --> 00:04:47.646]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:04:48.106 --> 00:04:57.836]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:04:58.157 --> 00:05:01.861]  DNA force is one of the most expensive formulas to produce.
[00:05:02.441 --> 00:05:07.103]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:05:07.503 --> 00:05:13.726]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:05:14.027 --> 00:05:16.308]  You want the best that's out there at the lowest price anywhere?
[00:05:16.988 --> 00:05:19.409]  Well, we're bringing you a total win-win.
[00:05:19.809 --> 00:05:25.312]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the info war.
[00:05:25.752 --> 00:05:32.420]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:05:32.760 --> 00:05:37.546]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:05:37.566 --> 00:05:38.968]  DNA Force from InfoWarsLife.
