[00:00:00.009 --> 00:00:02.199]  You're listening to the Alex Jones Show!
[00:12:55.278 --> 00:13:02.303]  They said it's going to get people in the South thinking about what it takes to get rid of this North Korean regime, especially Kim Jong-un.
[00:13:03.084 --> 00:13:08.188]  And of course, these are going to find their way into North Korea from South Korea.
[00:13:08.268 --> 00:13:10.349]  So they'll get them thinking about it too.
[00:13:10.429 --> 00:13:12.351]  That was a very chilling
[00:13:12.891 --> 00:13:13.311]  Revelation.
[00:13:13.331 --> 00:13:17.534]  We're going to talk to Paul Joseph Watson at the bottom of the hour about all the different fallout from Sony.
[00:13:17.574 --> 00:13:23.518]  How absurd it's gotten that they're now banning Team America that some of the theaters are going to play in its place.
[00:13:24.098 --> 00:13:24.678]  What's next?
[00:13:24.778 --> 00:13:25.379]  Red Dawn?
[00:13:26.439 --> 00:13:29.841]  They held that up for a year because of complaints from the Chinese government.
[00:13:29.861 --> 00:13:33.684]  Then they made the North Koreans the bad guys and that finally when they came out.
[00:13:33.704 --> 00:13:36.986]  I guess that's now been banned too out of political correctness and fear.
[00:13:38.006 --> 00:13:50.049]  In the last segment I was talking about how Nebraska and Oklahoma are going to sue Colorado over marijuana legalization saying the Attorney General's there saying that it has increased their law enforcement burden to have marijuana be legal in Colorado.
[00:13:50.609 --> 00:13:58.811]  Look, if they're worried about their law enforcement burden, they need to talk to the federal government about the open borders and the Mexican drug cartels.
[00:13:59.091 --> 00:14:01.532]  They don't need to try to destroy the Tenth Amendment.
[00:14:01.952 --> 00:14:07.216]  And what they're saying is, well, we believe that federal marijuana prohibition preempts Colorado's law.
[00:14:07.696 --> 00:14:12.159]  There is no legitimate federal prohibition of marijuana in the first place.
[00:14:12.199 --> 00:14:15.181]  They never passed a constitutional amendment to prohibit it.
[00:14:15.561 --> 00:14:16.742]  They don't have the power.
[00:14:17.022 --> 00:14:25.088]  The reason we have a prohibition of alcohol, we got two amendments in the Constitution, one prohibiting alcohol, another one making it legal again.
[00:14:25.128 --> 00:14:31.372]  The reason they put that in there was because once upon a time in America, we had a Congress that respected the Constitution.
[00:14:32.312 --> 00:14:45.059]  These guys know fully well that the Tenth Amendment stands, that if they don't have specifically delegated authority, then they don't have the authority to prohibit anything in any country, in any state.
[00:14:45.359 --> 00:14:50.782]  And of course, the states reserve those rights, and they have just exercised it in Colorado.
[00:14:50.802 --> 00:14:52.863]  So they're now trying to overthrow that in adjacent states.
[00:14:53.243 --> 00:14:56.865]  We also see a head fake from Verizon talking about they have a new encrypted app.
[00:14:57.866 --> 00:14:59.147]  It's offered by Cellcrypt.
[00:14:59.167 --> 00:15:00.269]  They released this yesterday.
[00:15:00.309 --> 00:15:05.054]  They say they're going to offer encryption for business and government customers end-to-end.
[00:15:05.675 --> 00:15:06.676]  And then there's an asterisk.
[00:15:06.776 --> 00:15:12.722]  And they say, well, law enforcement agencies will be able to access communications that take place over voice cipher.
[00:15:13.403 --> 00:15:17.525]  As long as there's a legitimate law enforcement reason for doing so.
[00:15:17.946 --> 00:15:18.986]  Now you know how that works out.
[00:15:19.387 --> 00:15:23.049]  You know that they don't need to have a search warrant.
[00:15:23.189 --> 00:15:24.489]  They don't need to have a reason.
[00:15:24.529 --> 00:15:26.831]  They just pass some legislation in the Congress doing that.
[00:15:26.871 --> 00:15:28.692]  So that's nothing but a head fake.
[00:15:30.473 --> 00:15:35.516]  Also as a head fake, we see autism linked to particulate air pollution.
[00:15:35.916 --> 00:15:39.078]  This is something that the EPA has been trying to do for a very long time.
[00:15:40.029 --> 00:15:41.550]  We'll talk about that more in detail.
[00:15:41.610 --> 00:15:47.394]  Also, the FDA just slipped through approval of a more potent form of Gardasil.
[00:15:48.075 --> 00:15:49.076]  Twice the aluminum!
[00:15:49.256 --> 00:15:49.696]  There you go.
[00:15:49.736 --> 00:15:51.938]  That's what you were calling for.
[00:15:51.978 --> 00:15:55.140]  You said, you know what we need is we need a vaccine with twice the aluminum.
[00:15:55.200 --> 00:15:56.541]  So, you've got it.
[00:15:56.621 --> 00:16:01.125]  And we're going to talk about what the numbers really tell us from Merck's study.
[00:16:01.185 --> 00:16:02.445]  How much more risky
[00:16:03.886 --> 00:16:12.729]  Coming down with a very serious adverse side effect from the vaccine is how much greater risk that is than there is for cervical cancer in the population.
[00:16:13.350 --> 00:16:14.410]  Yet another one of the lies.
[00:16:14.470 --> 00:16:30.596]  But before we go to those stories and before we cover at the bottom of the hour the Sony hack with Paul Joseph Watson, I wanted to go back to some very disturbing news that's come out about the tortures that our government has done in our name.
[00:16:32.216 --> 00:16:33.377]  And that they're getting away with.
[00:16:33.637 --> 00:16:41.563]  I want to read first this story that has gotten Europeans very upset and talking about how they need to get arrest warrants out.
[00:16:42.123 --> 00:16:45.626]  Ed Snowden's lawyer has called for Europeans to prosecute U.S.
[00:16:45.746 --> 00:16:46.627]  torture architects.
[00:16:46.667 --> 00:16:57.174]  He says, we need to work the case up so that when people like George Tenet, former head of the CIA, come to Europe, we have the documents ready to arrest them because they are war criminals.
[00:16:57.995 --> 00:17:01.820]  We used to not just prosecute war criminals for doing this kind of stuff.
[00:17:02.100 --> 00:17:03.341]  We actually executed them.
[00:17:04.022 --> 00:17:04.783]  The ones on the bottom.
[00:17:04.803 --> 00:17:06.905]  The ones who were following the orders.
[00:17:07.206 --> 00:17:10.469]  Some of those we executed from Japan when they did water torture.
[00:17:10.490 --> 00:17:11.931]  We now call it waterboarding.
[00:17:11.971 --> 00:17:13.633]  We now call it enhanced interrogation.
[00:17:14.537 --> 00:17:20.200]  But we used to execute tortures at one point in time when America was a moral country.
[00:17:20.960 --> 00:17:22.081]  Now we excuse it.
[00:17:22.181 --> 00:17:23.181]  Now we promote it.
[00:17:24.081 --> 00:17:30.925]  But it's something that is going to follow these people and it is something that perhaps in Europe they will get arrested for it.
[00:17:31.505 --> 00:17:38.448]  Some of these guys in their old age are going to find that they're going to be spending that in prison or they're going to be spending it on the run.
[00:17:38.868 --> 00:17:43.711]  Let me read you what happened to this one fellow who was, his last name is El Masri.
[00:17:45.140 --> 00:17:52.370]  He was seized at the Macedonian border, officials say, after being mistaken for being a member of Al-Qaeda.
[00:17:52.910 --> 00:17:54.573]  Now, he was a German citizen.
[00:17:54.993 --> 00:17:57.917]  He was held in Macedonian custody for 23 days, and then he was rendered.
[00:18:00.683 --> 00:18:04.664]  That's what they call it when they transport you without any kind of a court order.
[00:18:05.164 --> 00:18:11.585]  This is the type of thing that shows where the NDAA is going to go for Americans in the future.
[00:18:11.665 --> 00:18:15.946]  Now let me tell you what they did after they sent him somewhere where they could conveniently torture him.
[00:18:15.966 --> 00:18:20.527]  The CIA put him through a process the agency refers to as capture shock.
[00:18:21.587 --> 00:18:22.447]  He was a German citizen.
[00:18:22.487 --> 00:18:29.689]  He was subjected as part of his capture shock to being stripped, hooded, shackled, and severely beaten and sodomized.
[00:18:30.768 --> 00:18:36.372]  The man was then drugged and taken to a secret detainee facility located in Afghanistan called the Salt Pit.
[00:18:37.632 --> 00:18:44.937]  At the secret prison, he was held for four months, frequently beaten, kicked, tortured, smashed into walls, among other various forms of abuse that we've now seen in this report.
[00:18:45.898 --> 00:18:49.560]  At no time was he ever charged, this German, with a crime.
[00:18:50.020 --> 00:18:52.442]  He was never given the ability to contact his family or his country.
[00:18:53.102 --> 00:18:55.884]  To the outside world, he had simply disappeared.
[00:18:56.624 --> 00:18:57.245]  That's what we call
[00:18:58.180 --> 00:19:02.764]  Indefinite detention with the NDAA and rendering.
[00:19:03.184 --> 00:19:10.730]  Eventually, the agency realized that they had apprehended the wrong man, but they continued to hold him captive for another few weeks before they decided to give him his freedom back.
[00:19:10.810 --> 00:19:14.853]  I guess they were deciding as to whether they could safely release him or they just needed to kill him.
[00:19:15.453 --> 00:19:21.418]  Even in his release, they say, this is Activist Post article, oops, CIA abducts and tortures wrong man.
[00:19:21.458 --> 00:19:27.022]  They say, even when he was released, the CIA demonstrated how little they value or respect human life.
[00:19:27.082 --> 00:19:32.907]  He was blindfolded, earmuffed, and chained to the seat of an airplane that eventually dropped him in Albania.
[00:19:33.907 --> 00:19:38.331]  This German citizen was dumped on the side of the road with $14,500 to buy his silence and zero explanations.
[00:19:42.930 --> 00:19:45.971]  When we come back from the break, I have something that is far more troubling than that.
[00:19:46.552 --> 00:19:56.876]  Stay with us, we're going to be joined at the bottom of the hour by Paul Joseph Watson, Alex Jones will be with us in the next hour, and we have our reporters Joe Biggs and Darren McBreen in Washington State joining us in the third hour.
[00:20:09.537 --> 00:20:12.138]  Managing your business and customers isn't easy, huh?
[00:20:12.399 --> 00:20:16.201]  SnapForce Customer Relationship Software may be just what you need.
[00:20:16.461 --> 00:20:24.225]  SnapForce CRM is a software solution that helps you manage everything important about your customers, from sales to marketing to service and support.
[00:20:24.365 --> 00:20:28.127]  All of your customer information is right there at your fingertips for easy access.
[00:20:28.307 --> 00:20:31.069]  It's time to take control of your business in a snap.
[00:20:31.129 --> 00:20:33.570]  Get your free trial at SnapForce.com.
[00:20:33.670 --> 00:20:36.732]  That's S-N-A-P-F-O-R-C-E dot com.
[00:20:37.012 --> 00:20:38.593]  SnapForce dot com.
[00:20:39.273 --> 00:20:40.474]  You know about RVs.
[00:20:40.674 --> 00:20:41.915]  You've heard about bunkers.
[00:20:42.135 --> 00:20:44.698]  But surviving is not recreation.
[00:20:44.898 --> 00:20:47.420]  And man wasn't made to live underground.
[00:20:47.660 --> 00:20:49.662]  Introducing Survivalist Camps.
[00:20:49.822 --> 00:20:58.289]  The ultimate, fully functional, off-the-grid survival bug-out house that's mobile, well-equipped, and custom-built to outlast any other RV or trailer.
[00:20:58.529 --> 00:21:01.311]  Go to survivalistcamps.com to learn more.
[00:21:01.511 --> 00:21:03.713]  That's survivalistcamps.com.
[00:21:03.853 --> 00:21:06.035]  Providing your basic needs to survive.
[00:21:06.455 --> 00:21:07.756]  survivalistcamps.com
[00:21:09.137 --> 00:21:16.239]  2015 is almost here, and with it comes those New Year's resolutions to finally transform your body the way you want it.
[00:21:16.459 --> 00:21:20.259]  There's a reason over 88% of New Year's resolutions fail.
[00:21:20.379 --> 00:21:26.481]  Make this year different by equipping yourself with Oxy Powder, the next level in cleansing the body naturally.
[00:21:26.801 --> 00:21:32.602]  Using Super Oxygenation Oxy Powder, available through Infowarslife.com, gently cleanses the body.
[00:21:32.802 --> 00:21:40.732]  While you sleep with easy capsules, tens of thousands of individuals have used oxy powder to cleanse their bodies and aid in their transformations.
[00:21:41.132 --> 00:21:46.459]  Even InfoWars Nightly News director Rob Dew has been using oxy powder with incredible success.
[00:21:46.779 --> 00:21:49.142]  Took it that first day, then I took it for six more days after that.
[00:21:49.282 --> 00:21:51.124]  Twelve pounds melted off in about a week.
[00:21:51.204 --> 00:21:51.745]  I'd say a week.
[00:21:51.845 --> 00:21:52.306]  Seven days.
[00:21:53.386 --> 00:21:54.467]  2015 can be different.
[00:21:54.587 --> 00:21:57.528]  Diet and exercise are important, but a lot of us have already tried that.
[00:21:57.788 --> 00:21:59.588]  Oxy Powder flushes it out.
[00:22:00.008 --> 00:22:02.749]  Secure your Oxy Powder at Infowarslife.com.
[00:22:02.989 --> 00:22:04.870]  That's Infowarslife.com or 888-253-3139.
[00:22:08.451 --> 00:22:16.995]  What disaster is so powerful it unleashes a chain of mass pandemics, economic meltdowns, and violent food riots all at the same time?
[00:22:17.375 --> 00:22:23.958]  NASA has already set the countdown timer and right now the 21st century apocalypse is less than 13 months away.
[00:22:24.478 --> 00:22:27.919]  Former CIA Director James Woolsey says two-thirds of U.S.
[00:22:27.959 --> 00:22:29.160]  population could perish.
[00:22:29.600 --> 00:22:32.601]  In a matter of seconds, the world as we know it will cease to exist.
[00:22:33.081 --> 00:22:34.862]  The world's economy will be wiped out.
[00:22:35.322 --> 00:22:36.582]  Mass riots will follow.
[00:22:36.963 --> 00:22:38.683]  Ancient diseases will reemerge.
[00:22:39.143 --> 00:22:42.665]  How will you shield yourself and your loved ones from this upcoming apocalypse?
[00:22:43.225 --> 00:22:48.887]  Go to darkestdays.info to find out proven methods of protecting yourself, your loved ones,
[00:22:49.187 --> 00:22:53.128]  And even your entire community when this worst case scenario unravels.
[00:22:53.628 --> 00:22:58.149]  That's D-A-R-K-E-S-T-D-A-Y-S dot I-N-F-O.
[00:22:58.530 --> 00:23:00.150]  DarkestDays.info.
[00:23:00.550 --> 00:23:04.971]  Go there before this life-saving information becomes unavailable to the large public.
[00:23:05.431 --> 00:23:07.592]  Go to DarkestDays.info now.
[00:23:07.992 --> 00:23:11.476]  Hey everyone, I'm having lots of fun with my new Ghost 80% AR-15.
[00:23:11.736 --> 00:23:13.998]  This baby shoots like a dream.
[00:23:14.118 --> 00:23:15.120]  Hey, thanks Guns80.com.
[00:23:15.180 --> 00:23:18.984]  You know, friends ask me all the time why I wanted a Ghost AR-15.
[00:23:19.204 --> 00:23:20.345]  That's easy.
[00:23:20.365 --> 00:23:27.673]  You see, my buddy Mark kept telling me that I'd better go to Guns80.com to get myself a Ghost AR-15 before they outlawed them.
[00:23:27.953 --> 00:23:29.695]  I thought he was just paranoid, so I ignored it.
[00:23:29.775 --> 00:23:30.375]  Well, at first.
[00:23:30.976 --> 00:23:39.019]  But then I started hearing government media types talking about making guns illegal, about the president signing on to a UN treaty that could take my gun rights away.
[00:23:39.039 --> 00:23:40.500]  You know, it really bugged me.
[00:23:40.560 --> 00:23:44.502]  So I dug in, I did the research, and I realized that Mark was right all along.
[00:23:45.322 --> 00:23:49.283]  I know now that having an unregistered Ghost AR-15 is the right answer.
[00:23:49.824 --> 00:23:52.485]  I'm a proud 80% Ghost AR-15 convert.
