[00:00:03.300 --> 00:00:04.661]  In 1996, the U.N.
[00:04:47.680 --> 00:04:52.923]  Because what you're intolerant to is glyphosate that will literally kill you long term, grow cancers, you name it.
[00:04:53.363 --> 00:04:58.026]  So this is the same thing where it's in the shots, it's in the vaccines, it's in the vaccines they're giving the cows.
[00:04:58.905 --> 00:05:01.007]  Particularly, it starts growing in them.
[00:05:01.667 --> 00:05:03.108]  You eat them, you get sick.
[00:05:03.449 --> 00:05:10.954]  And see, now people can't eat beef anymore, just like we saw wheat sales get cut in half the last 15, 16, 17 years.
[00:05:11.795 --> 00:05:13.316]  And, oh, I just suddenly can't eat gluten.
[00:05:13.517 --> 00:05:14.657]  It's not the gluten, folks.
[00:05:14.958 --> 00:05:18.020]  It's you have a Roundup allergy because it's a poison.
[00:05:18.320 --> 00:05:30.288]   So we're gonna go over to the desk right here, and I'm gonna show you this in part two, then part three, part four, part five, at least six parts just on this, because they tell you imminently You're not going to be able to eat beef or other meats anymore.
[00:05:31.189 --> 00:05:33.189]  And they're the ones running the whole system.
[00:05:33.529 --> 00:05:34.589]  So we're going to break this down.
[00:05:34.609 --> 00:05:35.089]  Stay with us.
[00:05:35.709 --> 00:05:37.750]  Rob, we really know what they're about to do.
[00:05:37.790 --> 00:05:38.650]  They always pre-plan.
[00:05:38.670 --> 00:05:39.630]  They always pre-program.
[00:05:40.230 --> 00:05:41.170]  Let's go over this research.
[00:05:41.210 --> 00:05:42.550]  Yeah, so we got the Mayo Clinic here.
[00:05:42.570 --> 00:05:44.011]  Just talking about alpha-gal syndrome.
[00:05:44.071 --> 00:05:47.411]  It's a food allergy that makes people allergic to red meat and other products from mammals.
[00:05:47.431 --> 00:05:53.632]  So anything that a mammal, that would be goat, that would be pig, anything like that, you're going to become allergic to it.
[00:05:54.092 --> 00:05:54.613]  Now here's the thing.
[00:05:54.633 --> 00:05:55.713]  One of the cow identifies as a duck.
[00:05:55.733 --> 00:05:56.173]  I'm sorry.
[00:05:56.193 --> 00:05:56.913]  Yeah, exactly.
[00:05:57.433 --> 00:06:00.855]  Uh, and they're saying here, of course, it's just the Lone Star tip, nothing else.
[00:06:01.196 --> 00:06:03.277]  But here, these products may contain Alpha-Gal.
[00:06:03.797 --> 00:06:06.059]  So, of course, they talk about meats, but that's from the CDC.
[00:06:06.099 --> 00:06:07.640]  And this is a CDC document right here.
[00:06:07.860 --> 00:06:08.541]  You flip this over.
[00:06:08.761 --> 00:06:10.402]  Non-food products that contain Alpha-Gal.
[00:06:10.642 --> 00:06:11.462]  Oh, vaccines.
[00:06:12.103 --> 00:06:12.423]  Oh, okay.
[00:06:12.503 --> 00:06:14.685]  And it's an additive, a stabilizer, or a coating.
[00:06:15.405 --> 00:06:19.990]  And it said it could be in the gelatin, in the glycerin, magnesium cerate, or bovine extract.
[00:06:20.031 --> 00:06:27.880]  Bovine extract is what you get when you basically take a fetal cow and, you know, grind it up and turn it into a medium that this stuff grows on.
[00:06:28.360 --> 00:06:32.785]  So it could also be from other... Yeah, they used to grow it on dead babies, now they grow it on dead cows.
[00:06:32.945 --> 00:06:33.406]  Exactly.
[00:06:33.706 --> 00:06:35.869]  Yeah, they don't do... Well, they still do some, but yeah.
[00:06:36.209 --> 00:06:37.510]  But then you go to the link here.
[00:06:37.550 --> 00:06:38.270]  There's a link right here.
[00:06:38.430 --> 00:06:38.991]  You go to that.
[00:06:39.151 --> 00:06:42.973]  Here's the link that shows all the vaccines that could potentially have this.
[00:06:43.353 --> 00:06:46.275]  And I just highlighted the ones with bovine serum in it.
[00:06:46.295 --> 00:06:48.336]  So the DTaP vaccine is one.
[00:06:48.416 --> 00:06:50.278]  Hepatitis A, MMR.
[00:06:50.298 --> 00:06:52.499]  They have similar lipid particles that grow protein.
[00:06:52.719 --> 00:06:54.600]  Right, different MMRs, the rotavirus.
[00:06:54.720 --> 00:06:56.641]  So they're obsessed with colonizing us with proteins.
[00:06:56.942 --> 00:06:57.422]  Exactly.
[00:06:57.662 --> 00:07:01.164]  And they can add to the protein, the type of protein it is, to cause an allergic response.
[00:07:01.184 --> 00:07:08.628]  Kind of like the UN got caught adding a hormone in second trimester pregnancies to tetanus shots to create spontaneous miscarriages.
[00:07:09.029 --> 00:07:09.509]  Exactly.
[00:07:09.989 --> 00:07:13.690]  So you have all these different vaccines that have the different products that they mentioned in here.
[00:07:14.030 --> 00:07:17.312]  Gelatin, glycerin, bovine extract, magnesium serrate.
[00:07:17.332 --> 00:07:19.012]  Now here's an interesting article here.
[00:07:19.392 --> 00:07:20.973]  And again, the tick puts the same protein in you.
[00:07:21.293 --> 00:07:26.715]  Anaphylaxis after zoster vaccine, that's your shingles vaccine, implicating alpha-gal allergy as possible mechanism.
[00:07:27.015 --> 00:07:29.296]  Now what's one of the things you do get from the COVID vaccine?
[00:07:29.376 --> 00:07:33.317]  A side effect is herpes zoster virus, which is also known as shingles.
[00:07:33.778 --> 00:07:36.559]  So right there, here's a connection from PubMed.
[00:07:38.041 --> 00:07:43.706]  Right there on their website, anaphylaxis after zoster vaccine implicating alpha-gal allergy is possible mechanism.
[00:07:43.786 --> 00:07:51.674]  So somehow the alpha-gal is getting into the vaccines, of course they're doing it on purpose, then it's getting into your body and then all of a sudden you have an allergy to red meat.
[00:07:53.171 --> 00:07:55.092]  And that's how we're going to be taught to eat the bugs.
[00:07:55.512 --> 00:08:00.133]  We warned you nine years ago with Dr. Edward Gribb about mRNA shots now that we're coming.
[00:08:00.754 --> 00:08:03.134]  We predicted everything that happened three and a half years ago.
[00:08:03.194 --> 00:08:04.155]  We told you what would unfold.
[00:08:04.695 --> 00:08:06.576]  Ladies and gentlemen, they are pre-programming everybody.
[00:08:06.916 --> 00:08:07.536]  Everybody ready.
[00:08:08.036 --> 00:08:10.817]  Everybody prepared that you're not going to be able to eat meat anymore.
[00:08:10.877 --> 00:08:18.980]  And already I know a bunch of people who can't eat red meat now that have this allergy and they weren't bitten by a tick, but they have been taking the quote modern vaccines.
[00:08:19.600 --> 00:08:21.241]  So, they don't want you eating meat.
[00:08:21.361 --> 00:08:22.941]  They give you a very serious allergy.
[00:08:22.981 --> 00:08:24.422]  And they can do this right down the line.
[00:08:24.442 --> 00:08:25.522]  They don't want you to have a baby.
[00:08:25.862 --> 00:08:26.802]  You take the tetanus shot.
[00:08:26.822 --> 00:08:29.663]  The UN got caught doing it on record in the mid-90s in Africa.
[00:08:30.544 --> 00:08:34.705]  They add the hormone that the mother releases at the start of the second trimester.
[00:08:35.065 --> 00:08:36.866]  The body then creates an autoimmune response to that.
[00:08:37.126 --> 00:08:38.966]  Attacks the baby 100% of the time.
[00:08:39.366 --> 00:08:40.767]  Spontaneous miscarriage.
[00:08:45.330 --> 00:09:04.920]  Normally Christmas is our biggest sale of the year, but because of supply chain breakdowns and other issues, this is our biggest sale because finally almost all of our best-selling products are finally back in stock, including sold out for more than a year, X2, the only true nascent iodine out there, is finally back.
[00:09:05.020 --> 00:09:09.203]  What it does for your immune system, your body, all your cells, is miraculous.
[00:09:09.603 --> 00:09:11.164]  It's discounted at FortWorthShore.com.
[00:09:11.524 --> 00:09:16.367]   Double Patriot points, free shipping, Biggest sale, hands down, of 2023.
[00:09:17.028 --> 00:09:19.731]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[00:09:19.791 --> 00:09:21.593]  So, Christmas has come early.
[00:09:21.673 --> 00:09:22.834]  Black Friday's come early.
[00:09:23.214 --> 00:09:24.415]  And it funds the InfoWar.
[00:09:24.556 --> 00:09:25.456]  Get X2.
[00:09:25.777 --> 00:09:27.338]  Get Vazzo Beats back in stock.
[00:09:27.659 --> 00:09:32.844]  Get all the other great products at InfoWarStore.com right now.
[00:09:32.884 --> 00:09:36.491]   But again, Our fan favorite, my favorite, is X2.
[00:09:36.972 --> 00:09:38.114]  Sold out for over a year.
[00:09:38.455 --> 00:09:39.998]  Could be our last run if we're shut down.
[00:09:40.299 --> 00:09:41.161]  Get it while you can.
[00:09:41.381 --> 00:09:41.802]  X2.
[00:09:42.103 --> 00:09:43.887]  Discount at info or store.com.
