[00:00:00.000 --> 00:00:15.000]  [Music]
[00:04:10.136 --> 00:04:14.340]   Trump isn't just the frontrunner, he's 30 points ahead of DeSantis.
[00:04:14.640 --> 00:04:22.685]  In a national poll of Republicans, he got 69% of the votes in a field of six Republican contenders.
[00:04:22.965 --> 00:04:27.128]  He's 15 to 30 points, depending on the poll, ahead of Joe Biden.
[00:04:27.508 --> 00:04:29.589]  And this is direct election meddling.
[00:04:30.009 --> 00:04:32.311]  Oh, they can claim they didn't steal the 2020 election.
[00:04:32.591 --> 00:04:34.472]  They can claim they didn't manipulate the midterms.
[00:04:34.992 --> 00:04:35.953]  But the evidence is overwhelming.
[00:04:36.453 --> 00:04:41.997]  But now they're openly trying to block the candidate who is way ahead.
[00:04:42.972 --> 00:04:46.434]  If this was the Indy 500, Trump's like 10 laps ahead!
[00:04:48.735 --> 00:04:52.297]  By the way, in the Indy 500, if you're two laps ahead, you're gonna win unless your engine blows.
[00:04:52.977 --> 00:05:01.301]  He's 10 laps ahead, heading into the checkered flag, heading into the homestretch, and they tell you, sorry, he's a traitor.
[00:05:02.796 --> 00:05:13.663]  The traitor that controlled our border, the traitor that stood up to China, the traitor that started shutting down the fentanyl, the traitor that stood up against the gun control, the traitor that stood up against the U.N.
[00:05:13.723 --> 00:05:14.703]  and the W.H.O.
[00:05:14.963 --> 00:05:16.404]  trying to take control of our medical care.
[00:05:18.105 --> 00:05:19.466]  And you notice it's the former U.N.
[00:05:19.506 --> 00:05:22.168]  prosecutor now who's indicted our president.
[00:05:22.915 --> 00:05:24.516]  Just like we have the U.N.
[00:05:24.556 --> 00:05:26.357]  taking over this treaty, our health care.
[00:05:26.997 --> 00:05:33.720]  Ladies and gentlemen, mark my words, this is the end of the Republic as we know it, if they're able to move forward with this.
[00:05:33.840 --> 00:05:38.322]  And look, his poll numbers exploded when they did the ridiculous indictment in New York.
[00:05:38.902 --> 00:05:45.965]  And they exploded when they had the fake rape trial, where they said, well, the jury says you did a raper, but you're not allowed to say you're innocent, so $5 million, you're saying you're innocent.
[00:05:46.365 --> 00:05:48.086]  And now we have this Jack Smith indictment.
[00:05:48.446 --> 00:05:49.847]  And it's only to make Trump more popular.
[00:05:50.540 --> 00:06:03.549]  But they've got more indictments ready as well for January 6th and other issues until he's so overwhelmed and so distracted that they're able to basically take him out of the race.
[00:06:03.829 --> 00:06:04.830]  But Trump isn't going to give up.
[00:06:05.190 --> 00:06:10.554]  So this is a classic case of the unstoppable force comes into contact with the immovable object.
[00:06:11.075 --> 00:06:13.216]  This is going to be explosive.
[00:06:13.556 --> 00:06:19.537]  And that's why it's so important for all of us to not be violent and to not offensively go out and do anything destructive.
[00:06:19.717 --> 00:06:20.518]  That's what the left does.
[00:06:20.938 --> 00:06:24.799]  But they've been pre-programming false flags claiming right-wingers are going to do it and populists.
[00:06:25.059 --> 00:06:28.440]  They've been pre-programming power outages that right-wingers are going to stage.
[00:06:28.900 --> 00:06:30.960]  So make no mistake, we're in for very hard times.
[00:06:31.401 --> 00:06:33.721]  The globalists are making their move on America.
[00:06:34.341 --> 00:06:36.242]  They're trying to get through Trump to get to us.
[00:06:36.837 --> 00:06:42.121]  We'll continue weekdays, 11am to 3pm, with my show, Central Time, Battling the New World Order.
[00:06:42.381 --> 00:06:46.064]  Harrison Smith, 8am to 11am, doing a great job at American Journal.
[00:06:46.524 --> 00:06:49.927]  Owen Schroyer, weekdays, 3 to 6pm, with The War Room.
[00:06:49.947 --> 00:06:53.510]  We will continue to fight as hard as we can at MFORWARS.com.
[00:06:54.070 --> 00:06:59.433]  The only way this message gets past the censors and the AI and the controlled algorithms is you.
[00:06:59.733 --> 00:07:01.994]  And I've seen you taking the show and promoting it.
[00:07:02.254 --> 00:07:03.575]  Taking the articles and promoting them.
[00:07:03.795 --> 00:07:05.336]  Taking clips out of the show and reposting them.
[00:07:05.516 --> 00:07:07.997]  You're doing a great job, but let's redouble our efforts.
[00:07:08.458 --> 00:07:12.760]  Because if you think bowing down to these tyrants is going to make things better, it's going to make it a lot worse.
[00:07:13.160 --> 00:07:16.342]  Now I've been a major critic in closing of President Trump.
[00:07:16.822 --> 00:07:17.823]  He's got a lot of problems.
[00:07:18.963 --> 00:07:20.004]  He's silly, he's ignorant.
[00:07:20.918 --> 00:07:24.437]   But he's got guts and guts is enough to quote full metal jacket.
[00:07:24.437 --> 00:07:28.437]   He means well, he really was the president, he cares about America, he got conned with
[00:07:28.437 --> 00:07:29.596]  the shots, we all know that.
[00:07:29.596 --> 00:07:34.997]   But on the other subjects like Roe v. Wade and so much more, he was dead on.
[00:07:34.997 --> 00:07:38.398]   And now that the system is trying to tell the American voters that we can't vote for
[00:07:38.398 --> 00:07:42.797]   him when he's way in the lead, is an attack on us and our right to choose our destiny.
[00:07:43.327 --> 00:07:43.947]  So that's why.
[00:07:44.587 --> 00:07:49.729]  I was a big Trump supporter previously, got really mad at him trying to get him to do the right thing on shots, and I pulled back.
[00:07:50.449 --> 00:08:06.174]  But with this attack on the deep state, I am henceforth putting myself in 100% to stop this criminal prosecution and to make sure he gets re-elected because that's what you and I voted for and that's the will of the people and that's what this globalist coup d'etat doesn't want.
[00:08:06.994 --> 00:08:08.275]  So now it's up to you, my friends.
[00:08:08.295 --> 00:08:22.347]  It's up to all of us to spread the word, to go to the town halls, to confront Comey, peacefully, with the truth, like Laura Limer did, and like Owen Schroyer did, and like Rob Agueros did, and others, and to let these globalists know everywhere they go.
[00:08:23.285 --> 00:08:29.427]  We're aware of their operation, and we do not submit, and we do not certify, and we do not condone their tyranny.
[00:08:29.928 --> 00:08:33.169]  I'll see you all live at Infowars.com forward slash show and band dot video.
[00:08:34.049 --> 00:08:35.350]  We're in the thick of the fight right now.
[00:08:35.370 --> 00:08:38.951]  1776 Part II is happening in front of our faces.
[00:08:39.431 --> 00:08:45.432]   Let's be part of history and not sideline spectators, which these Globalist hope we are.
[00:08:45.833 --> 00:08:49.538]  Let's be men and women in the arena that actually decide our own destiny.
[00:08:49.817 --> 00:08:53.977]   I'm betting on you, I'm counting on you, and I'll see you on the other side of victory.
[00:08:53.977 --> 00:09:06.177]   In the short time we have, I can't get into all the incredible ingredients in Superfimal
[00:09:07.105 --> 00:09:15.618]  Go to MFORestore.com, read about the ingredients, look them up for yourself, and then understand this is cold-pressed herbs, so it has a more powerful effect to the body.
[00:09:15.938 --> 00:09:18.322]  Get yours today at MFORestore.com for 50% off.
[00:09:20.908 --> 00:09:22.809]  Super Mel Vitality is selling out.
[00:09:22.929 --> 00:09:25.490]  It's an incredible formula for stamina, energy, libido.
[00:09:25.771 --> 00:09:26.831]  Only a few hundred bottles left.
[00:09:27.111 --> 00:09:32.134]  But the good news is we have several thousand bottles left of Super Female Vitality that's the same formula.
[00:09:32.474 --> 00:09:33.155]  It boosts men.
[00:09:33.275 --> 00:09:33.915]  It boosts women.
[00:09:34.275 --> 00:09:34.936]  It works great.
[00:09:35.056 --> 00:09:36.777]  But women like pink labels.
