[00:00:30.319 --> 00:00:31.280]  We are launch.
[00:04:35.931 --> 00:04:40.374]  So again, it's not just guns directly shipped by ATF to Sinaloa.
[00:04:40.835 --> 00:04:50.041]  Sinaloa has been confirmed to be allowed, they're the main cartel along the Texas-Mexico border, to bring in around half of the 500 billion dollars a year in drug money.
[00:04:50.842 --> 00:05:03.754]  The rest of the story is this is like Iran-Contra with the Reagan administration shipping guns down to Central and South America to drug cartels to knock out their competition and then ship the cocaine into the US.
[00:05:05.255 --> 00:05:07.237]  Business has always stayed the same.
[00:05:07.718 --> 00:05:13.963]  And that's why ISSA, in this article, if you actually read the quotes out of Politico,
[00:05:15.267 --> 00:05:28.234]  from uh... him as the chairman up there today speaking he said let me give you a chance holder to come back we know you made a mistake saying you didn't authorize and command this tell us you didn't know everything it's ok
[00:05:29.465 --> 00:05:30.765]  But you've been caught in perjury.
[00:05:31.105 --> 00:05:31.826]  Clarify this.
[00:05:32.546 --> 00:05:33.846]  He's not trying to catch him.
[00:05:33.886 --> 00:05:35.626]  He's just trying to score some political points.
[00:05:36.287 --> 00:05:40.988]  Because if it all comes out, it's going to be discovered this was happening during the Bush administration as well.
[00:05:41.468 --> 00:05:48.410]  Obama went one further blaming the Second Amendment to try to disarm the American would-be slaves.
[00:05:49.790 --> 00:05:51.370]  But that's, I mean, read the quote here.
[00:05:51.410 --> 00:05:53.671]  You can go to the end of the article in
[00:05:56.676 --> 00:05:58.398]  In Politico, this is Issa speaking.
[00:05:59.058 --> 00:06:03.442]  This is a man who carefully, if he doesn't like the question, answers it in the way he wants to, he said.
[00:06:04.243 --> 00:06:08.107]  He has every obligation to say, I may not
[00:06:09.471 --> 00:06:17.757]  have known about all the details but of course I knew about Fashion Furious because I was briefed someone on it weekly because they have all the briefing minutes.
[00:06:18.357 --> 00:06:25.342]  He needs to come forward and at least admit that because right now he has said it's untrue and he needs to clarify before the committee.
[00:06:25.903 --> 00:06:27.284]  So they're giving him a way out.
[00:06:27.804 --> 00:06:29.065]  Look, the memos are all out.
[00:06:29.105 --> 00:06:29.605]  They're public.
[00:06:29.665 --> 00:06:30.906]  It's in federal filings.
[00:06:31.006 --> 00:06:32.207]  We're running the drugs in here.
[00:06:32.247 --> 00:06:34.168]  We're running the guns in.
[00:06:34.188 --> 00:06:34.709]  Come out and say
[00:06:36.630 --> 00:06:39.393]  Look, we gotta do something if you don't come out and give us some good bull.
[00:06:40.554 --> 00:06:41.575]  This goes back to Bush.
[00:06:41.755 --> 00:06:42.857]  Help us cover this up.
[00:06:43.938 --> 00:06:46.040]  And instead, Holder's going, no, you're all involved.
[00:06:47.101 --> 00:06:48.482]  I'm not saying jack crap.
[00:06:48.843 --> 00:06:50.805]  You're not going to get political points, Issa.
[00:06:51.205 --> 00:06:52.847]  Go ahead and bring it all out.
[00:06:53.227 --> 00:06:54.529]  Bring the whole system down.
[00:06:55.586 --> 00:07:02.399]  And that, my friends, is the rest of the story on that issue, and that is Fast and Furious.
[00:07:02.779 --> 00:07:07.889]  Let's shift gears into Occupy Wall Street movement, started by great grassroots people, but
[00:07:09.002 --> 00:07:13.605]  Sends completely and totally hijacked by the White House.
[00:07:13.625 --> 00:07:17.667]  That's now admitted that the big unions and MoveOn are all involved in it.
[00:07:18.548 --> 00:07:25.672]  The NYPD, the mafia that runs New York, is whining right now that
[00:07:27.076 --> 00:07:29.858]  There's a hefty price tag of millions of dollars.
[00:07:30.658 --> 00:07:39.304]  It's been so expensive to break people's arms and crack peaceful protesters over the heads who dare protest Wall Street in some nebulous way.
[00:07:40.624 --> 00:07:41.205]  But wait!
[00:07:41.865 --> 00:07:44.827]  I heard this a week ago and thought, that's impossible, that's not true.
[00:07:45.488 --> 00:07:53.132]  But one of my crew, Marcos, actually brought me a screenshot from JPMorganChase.com where they actually gave $4.6 million.
[00:07:56.607 --> 00:08:04.493]  The day before the Occupy Wall Street movement was launched, to them basically as a payoff.
[00:08:05.153 --> 00:08:23.768]  And of course, we launched a protest the Fed movement a few months ago and that ended up being a national story because the protesters that went out there in New York, even though it was just a few hundred of them, had already been surveilled on and reported on by the NYPD and they admitted, yeah, we watch people that protest the Fed, their paymasters.
[00:08:24.798 --> 00:08:28.383]  Now, Obama's trying to co-opt the Occupy Wall Street movement.
[00:08:28.403 --> 00:08:29.464]  The people on the ground are great.
[00:08:29.744 --> 00:08:31.767]  We've got reporters up there, Rob Jacobson and others.
[00:08:32.868 --> 00:08:40.958]  But the media, the dominant corporate, dying dinosaur media, but it's still dominant, kind of like a dead elephant in your living room, rotting everywhere.
[00:08:40.978 --> 00:08:42.100]  It's dominating your house.
[00:08:43.630 --> 00:09:01.382]  They are sitting there giving attention to the George Soros people, acting like all of Occupy Wall Street just hates free market, anybody that has a dollar more than them, and wants socialism, and this whole list of demands of free education, all these imaginary pipe dreams, and more taxes to pay the bankers, bailout money.
[00:09:02.382 --> 00:09:08.364]  But there's a report in Reuters that Wall Street Cash has now shifted from Romney to Obama.
[00:09:08.684 --> 00:09:11.385]  They own both political parties, but they always shift.
[00:09:11.425 --> 00:09:17.166]  You know, Maul McCain's not going to win, so they gave four or five times the money, depending on which bank it was, to Obama.
[00:09:17.766 --> 00:09:26.049]  Well, now on a real sign that Obama is in deep, deep doo-doo, Wall Street Cash shifts to Romney from Obama 10 to 1.
[00:09:28.055 --> 00:09:34.000]  And this article goes over all of it, about a quarter of the...
[00:09:35.819 --> 00:09:41.643]  Eighteen million dollars that has been raised is coming directly from Wall Street on that front.
[00:09:42.224 --> 00:09:45.506]  And so meet the new boss, same as the old boss.
[00:09:46.367 --> 00:09:49.129]  Meanwhile, our report is up on Drudge Report today.
[00:09:49.609 --> 00:09:53.532]  Why are occupied Wall Street protesters repeating White House talking points?
[00:09:53.572 --> 00:09:57.155]  And then the article basically goes over that information.
[00:09:57.495 --> 00:10:02.859]  Continuing with this, Ron Paul tried
[00:10:03.962 --> 00:10:05.023]  to get a full audit.
[00:10:05.083 --> 00:10:06.825]  He passed it in the House, it was killed in the Senate.
[00:10:07.166 --> 00:10:13.793]  So the Senate passed a partial, paltry, really ceremonial audit.
[00:10:15.001 --> 00:10:24.343]  And Ron Paul says that it's only ceremonial, but it still allows him to grill Bernanke and others and have them try to whitewash things and not tell him where the trillions went, so it's a step in the right direction.
[00:10:24.683 --> 00:10:35.406]  Remember when Ron Paul was first in Congress decades ago, he was unable to get one co-sponsor to audit the Fed, but now he was able to pass a good bill through the House, but it was killed in the Senate.
[00:10:35.426 --> 00:10:38.787]  So that is a historical move in the right direction.
[00:10:40.047 --> 00:10:49.489]  Announced job cuts have risen two hundred and twelve percent, and most of the big green jobs were just payoffs to Democratic Party executives.
[00:10:49.509 --> 00:10:56.391]  That's now been admitted, including big, quote, test green office parks have now basically laid off their employees.
[00:10:56.991 --> 00:11:07.054]  And so it's a two hundred twelve percent increase in job layoffs from a year ago, but still the globalists are telling us that they have basically fixed the economy for us.
[00:11:08.135 --> 00:11:15.664]  One more article I wanted to get to is the fact that eleven percent, I saw the other day, of Texans have an arrest warrant out for them.
[00:11:16.185 --> 00:11:16.826]  Eleven percent!
[00:11:17.827 --> 00:11:25.957]  And I've seen reports in Lago Vista, outside Austin where I live and other parts of the country, where if you aren't wearing a seatbelt,
[00:11:26.820 --> 00:11:29.702]  They arrest you and take you to jail, even though the statute wasn't written for that.
[00:11:30.702 --> 00:11:33.624]  Or if you're speeding, you now go to jail, because they somehow get more fines.
[00:11:34.365 --> 00:11:38.667]  And I saw an article out of Fox News where it says, Auto Owners Beware!
[00:11:39.068 --> 00:11:42.290]  DC Cops Throw Drivers in Jail for Expired Tags!
[00:11:42.890 --> 00:11:44.631]  AAA Cries Foul!
[00:11:45.332 --> 00:11:49.855]  And it goes on to say their favorite is women with children, because then the CPS gets to grab them.
[00:11:50.875 --> 00:11:59.203]  And women driving kids to school or whatever, even if your tags are a few days out, they arrest you and seize your children and then try to keep them.
[00:12:00.484 --> 00:12:03.047]  So the government is literally hunting you.
[00:12:03.447 --> 00:12:05.910]  And a lot of people out there can't even pay for the tags anymore.
[00:12:05.950 --> 00:12:06.670]  They're bankrupt.
[00:12:06.991 --> 00:12:08.312]  Their whole world's falling down.
[00:12:08.352 --> 00:12:09.593]  They're trying not to be homeless.
[00:12:10.094 --> 00:12:10.654]  It doesn't matter.
[00:12:10.994 --> 00:12:14.938]  All over the country, not just D.C., they find one thing.
[00:12:15.882 --> 00:12:18.224]  You're going to jail, and they're taking your kids.
[00:12:18.704 --> 00:12:20.385]  Because this is literal slavery.
[00:12:20.745 --> 00:12:28.891]  The government ships the drugs in, your kids are dumb enough to use them, they put them in the private prisons owned by big drug cartels that launder their money through major banks.
[00:12:28.911 --> 00:12:29.452]  That's come out.
[00:12:31.053 --> 00:12:31.653]  It's incredible.
[00:12:32.534 --> 00:12:34.495]  Now, we're going to be occupying the real enemy.
[00:12:34.535 --> 00:12:37.858]  We're going to be going up against the actual globalists, the enemies of our republic.
[00:12:38.258 --> 00:12:43.562]  Not some vague attack on people that are part of the free market that these monopoly capitalists are actually enemies of.
[00:12:44.480 --> 00:13:01.787]  We're going to come back with G. Edward Griffin breaking all of this down, but I wanted to go to break with a clip we played a few nights ago of an interview or a question that Luke Rudowsky of We Are Change was able to ask the man that's worth over $200 million who says capitalism is the problem.
[00:13:02.427 --> 00:13:05.028]  G. Michael, why couldn't you make your films in Russia or China?
[00:13:05.828 --> 00:13:08.030]  Why couldn't you make him a Venezuelan or Hugo Chavez?
[00:13:08.450 --> 00:13:14.334]  You know, America's not perfect, but freedom is what produced the culture and the money for you to make $200 million.
[00:13:15.075 --> 00:13:16.816]  The truth is, you know exactly what's going on.
[00:13:17.116 --> 00:13:24.081]  Your job is with Goldman Sachs and the big banks that finance the fake green movement, the carbon taxes, the austerity, all of it.
[00:13:24.422 --> 00:13:25.662]  You know what your mission is.
[00:13:25.703 --> 00:13:28.905]  We're going to expose that with Gilbert Griffin coming up, so here's that clip.
[00:13:29.225 --> 00:13:32.888]  Michael, what do you think about ending the Federal Reserve banking system, the private banking system?
[00:13:34.676 --> 00:13:37.578]  I think there's a larger issue to deal with.
[00:13:37.598 --> 00:13:40.461]  End capitalism.
[00:13:40.541 --> 00:13:41.341]  That's the problem.
[00:13:41.662 --> 00:13:43.043]  Capitalism has to go.
[00:14:08.419 --> 00:14:10.383]  Now, we're going to be occupying the real enemy.
[00:14:10.403 --> 00:14:13.770]  We're going to be going up against the actual globalists, the enemies of our republic.
[00:14:14.171 --> 00:14:19.462]  Not some vague attack on people that are part of the free market that these monopoly capitalists are actually enemies of.
[00:14:26.175 --> 00:14:31.719]  We are back, it's InfoWars Nightly News, and we're going to do something a little bit different tonight.
[00:14:32.499 --> 00:14:55.775]  We're going to interview G. Edward Griffin, and then I'm going to continue to interview him after the show, and air that on Friday night, because Aaron Dykes is going to be sitting here, hosting InfoWars Nightly News, weeknights, 7pm Central, at PrisonPlanet.tv, because I'm going to be up in Dallas, kicking off the Occupy the Fed
[00:14:57.556 --> 00:15:04.999]  So we'll air the second part of this interview with Gilbert Griffin coming up on InfoWars Nightly News on Friday.
[00:15:05.039 --> 00:15:14.404]  We're also going to air some excerpts Friday during the radio show that I'll be hosting via Skype from the RV InfoWars command pod in Dallas.
[00:15:14.924 --> 00:15:16.805]  But we are joined now by Gilbert Griffin.
[00:15:17.045 --> 00:15:18.006]  Sir, thank you for being with us.
[00:15:19.006 --> 00:15:19.646]  Thank you, Alex.
[00:15:19.706 --> 00:15:20.447]  Thanks for inviting me.
[00:15:21.092 --> 00:15:24.855]  Now, you don't need any introduction, but you're the best-selling author of The Creature from Jekyll Island.
[00:15:25.235 --> 00:15:28.738]  For close to 50 years, you've been exposing the private banking cartel.
[00:15:28.798 --> 00:15:34.383]  And I can't think of anybody out there who explains the pressure from above, pressure from below system.
[00:15:34.423 --> 00:15:39.087]  People ask me, why would elite bankers, why would they support communists?
[00:15:39.387 --> 00:15:40.748]  Why would they support socialists?
[00:15:40.768 --> 00:15:42.550]  Why would they support collectivism?
[00:15:42.570 --> 00:15:46.933]  And we see moveon.org, the White House, all Wall Street financed, Soros financed.
[00:15:47.774 --> 00:15:51.116]  Pumping millions into co-opting the Occupy Wall Street movement.
[00:15:51.416 --> 00:15:55.138]  That's why I'm calling for an Occupy the Fed.
[00:15:55.658 --> 00:15:58.960]  And so I want to get your view on that idea, and if you think that's a good one.
[00:15:58.980 --> 00:16:05.924]  And then I want to segue into what Carol Quigley and others wrote about, that you made films about, this pressure from above and below.
[00:16:05.964 --> 00:16:09.666]  Why do we see so many billionaires supporting collectivism?
[00:16:09.706 --> 00:16:10.306]  G. Edward Griffin.
[00:16:11.616 --> 00:16:23.863]  Well, you really raised a good point there, Alex, because there's a tremendous amount of confusion today between having a lot of money and being wealthy and being a capitalist.
[00:16:24.203 --> 00:16:26.545]  Those words need to be defined, don't they?
[00:16:27.826 --> 00:16:32.668]  Capitalism does not necessarily mean that you're not a socialist.
[00:16:32.929 --> 00:16:37.651]  What we have today, let's cut to the chase, is that we have a lot of very wealthy socialists in the world.
[00:16:38.132 --> 00:16:39.813]  A lot of very wealthy collectivists.
[00:16:40.573 --> 00:16:44.914]  And the old definition of capitalism was more accurate than the new one.
[00:16:44.954 --> 00:16:49.015]  The new definition of capitalism is, or a capitalist, is anybody with a lot of money.
[00:16:49.055 --> 00:16:50.575]  And that doesn't cover it at all.
[00:16:50.775 --> 00:16:54.736]  Because the wealthiest people in the world today are not free enterprise capitalists.
[00:16:54.756 --> 00:16:56.036]  They're monopoly capitalists.
[00:16:56.436 --> 00:16:57.896]  You need to make that distinction.
[00:16:58.337 --> 00:17:05.038]  People make their money today in the world not by free enterprise competition, not by producing a better product at a better price.
[00:17:05.658 --> 00:17:06.439]  Or anything like that.
[00:17:06.679 --> 00:17:22.171]  They make their money today by buying politicians, and buying political favoritism, and sending their lobbyists into the legislative power centers of whatever governments there are in the world, and getting them to pass special laws that favor them.
[00:17:22.551 --> 00:17:31.258]  Money today is made, the great wealth today, is made by political maneuvering and favoritism, and that is not capitalism.
[00:17:31.758 --> 00:17:40.642]  So when people go out there and they say, our crisis today in the banking system proves that capitalism doesn't work, they don't understand any of this at all.
[00:17:40.702 --> 00:17:44.023]  They're still thinking that capitalism is the same as wealth.
[00:17:44.563 --> 00:17:51.106]  So you're right on target, I think, especially when you want to emphasize that we need to occupy, not Wall Street.
[00:17:51.126 --> 00:17:51.626]  What is that?
[00:17:51.706 --> 00:17:52.447]  Wall Street is a...
[00:17:53.587 --> 00:17:56.828]  It's where a lot of brokerage houses are.
[00:17:57.028 --> 00:17:58.388]  It's where the banks are centered.
[00:17:58.748 --> 00:18:02.149]  But the real problem is the Federal Reserve System.
[00:18:02.629 --> 00:18:03.470]  That's the problem.
[00:18:03.530 --> 00:18:04.470]  It's a monopoly.
[00:18:04.550 --> 00:18:08.371]  It's a cartel that's been given this monopolistic power by Congress.
[00:18:08.751 --> 00:18:11.052]  And it's the perfect example of what I'm talking about.
[00:18:11.092 --> 00:18:11.952]  It's this marriage.
[00:18:12.512 --> 00:18:14.915]  between corporations and government.
[00:18:15.235 --> 00:18:16.277]  That's not capitalism.
[00:18:16.337 --> 00:18:19.040]  That is collectivism in its purest form.
[00:18:19.080 --> 00:18:30.734]  So when these people say, let's overthrow capitalism, they miss the point because capitalism has been gone, really totally gone, in the sense of the word that I'm using it, been totally gone since World War II.
[00:18:30.914 --> 00:18:31.796]  Well, that's my point!
[00:18:33.696 --> 00:18:42.518]  Exactly, that's what I want you to elaborate on, is that even Ross Perot, who claims he's free market, made the lion's share of his money selling EDS to the government.
[00:18:43.459 --> 00:18:52.081]  You look at all these big fortunes, it's the monopoly power of government, and one of the clearest examples is Barack Obama and General Electric, the head of his economic council.
[00:18:52.741 --> 00:18:56.842]  They, the very day that his new carbon rules went into effect,
[00:18:58.234 --> 00:19:06.779]  They were given an exemption, and now they're shutting power plants down all over the country, but General Electric can still operate, and their profits are going way up.
[00:19:06.799 --> 00:19:10.542]  I mean, this is so dangerous, and it destroys progress.
[00:19:10.622 --> 00:19:24.210]  And then to see the monopoly capitalists using collectivism to destroy their competition, to consolidate power, to see Michael Moore, who's made hundreds of millions of dollars in the so-called free market system, saying capitalism is the problem, not the Federal Reserve.
[00:19:24.230 --> 00:19:25.631]  We have a clip of that we played.
[00:19:26.651 --> 00:19:30.076]  Earlier, as we went out to break, and he's saying that's the problem.
[00:19:30.096 --> 00:19:31.257]  The problem is capitalism.
[00:19:31.538 --> 00:19:37.565]  And so people now think monopoly corruption is capitalism, and they're selling them on more collectivism.
[00:19:37.585 --> 00:19:40.629]  I mean, isn't that just putting our leg in a bigger bear trap?
[00:19:40.649 --> 00:19:42.652]  Because I remember you decades ago.
[00:19:43.012 --> 00:19:58.004]  Talking about this juncture we've now entered, where when the collectivism causes society to implode, the danger is the establishment will use that as an excuse to sell more of the same as the solution, instead of getting back to true freedom.
[00:19:58.064 --> 00:20:04.290]  So, break that down and the choice we have between the monopoly capitalist and true freedom.
[00:20:05.325 --> 00:20:06.946]  Well, you've said it so well, Alex.
[00:20:07.346 --> 00:20:15.691]  All I can do is go over the same ground, and I think it does need to be repeated over and over again, because it's foreign to the ears of most Americans.
[00:20:15.711 --> 00:20:19.793]  You don't hear this sort of thing on ABC, CBS, NBC, and all that.
[00:20:20.673 --> 00:20:27.698]  The major news outlets continue to spew out the same old propaganda about this is a capitalist system.
[00:20:27.718 --> 00:20:28.318]  Well, it's not.
[00:20:28.398 --> 00:20:29.559]  It's a collectivist system.
[00:20:29.799 --> 00:20:41.807]  There's not much difference anymore between the system in America and the system you find in Red China or in Cuba or in what used to be called the old Soviet Union or Russia.
[00:20:42.628 --> 00:20:49.716]  They have different labels, but once you peel off the label and look down underneath, you've got bedrock collectivism everywhere in the world today.
[00:20:50.337 --> 00:20:58.646]  And you're quite right when you say that the advocates of collectivism who want more, more, and more, create a boogeyman.
[00:20:58.706 --> 00:21:03.392]  They say, capitalism is what's causing all this problem, let's have more government intervention.
[00:21:03.692 --> 00:21:05.413]  Let's have more government control.
[00:21:05.633 --> 00:21:09.095]  Let's have more marriage between corporate and state.
[00:21:09.155 --> 00:21:14.138]  Let's have these private partnership relationships with the government.
[00:21:14.158 --> 00:21:14.838]  You know, all these things.
[00:21:15.278 --> 00:21:20.181]  They're advocating, as you say, more of the same poison that's killing the patient.
[00:21:20.201 --> 00:21:23.043]  They're advocating that is supposed to be the medicine for him.
[00:21:23.803 --> 00:21:30.025]  And the only real solution is, first of all, the American people have to understand this little trick that's being played on them.
[00:21:30.505 --> 00:21:32.645]  And then they have to understand, well, what is the alternative?
[00:21:32.705 --> 00:21:38.467]  It's something that, you know, we haven't seen in America in the lifetime of any of us living today.
[00:21:38.507 --> 00:21:42.628]  You have to go back to the history books to find out what the solution is.
[00:21:43.108 --> 00:21:45.089]  People say, well, you don't want to go backwards.
[00:21:45.349 --> 00:21:50.750]  Well, moving backwards in time would be moving forward in ideology.
[00:21:50.770 --> 00:21:53.031]  It would be moving forward in solutions.
[00:21:53.391 --> 00:21:53.992]  We're good to go.
[00:22:14.349 --> 00:22:14.789]  We're good to go.
[00:22:32.276 --> 00:22:36.602]  So, we've got to get this in our brains that this is the reality of today.
[00:22:36.883 --> 00:22:42.190]  And the only solution to this problem is to go forward to where we were about 80 years ago.
[00:22:42.210 --> 00:22:46.276]  I mean that literally, go forward to where we were 80 or 100 years ago and get the
[00:22:48.078 --> 00:23:01.462]  Government out of all of these things, go back to a true free enterprise system, where competition is the only thing that will produce the best products, the best service, the lowest prices, the best amount of freedom for the individual.
[00:23:02.162 --> 00:23:17.727]  And not that it's not without problems, because of course it does have problems, but those problems are minuscule compared to the problems that we have today, which is the result of government control and regulations supposedly to protect the people, when in fact it's to protect the corporations.
[00:23:17.967 --> 00:23:19.908]  Well, very well said.
[00:23:20.028 --> 00:23:28.134]  Historically, here's an analogy to be added to what you were talking about, about going forward to the past.
[00:23:29.034 --> 00:23:45.365]  Collectivism, centralized gangs, cartels, Letter of Mark, all of that goes back thousands of years to the king rats, the strongmen, the emperors, all the gladiatorial horrors and wars that came along with it.
[00:23:46.385 --> 00:23:50.167]  Kill and be killed, just a terrible system.
[00:23:50.807 --> 00:23:54.569]  The furthest we ever went was the flower of the Renaissance.
[00:23:55.249 --> 00:23:59.351]  The greatest extension of it, or the Enlightenment, was 1776, 1789.
[00:24:00.611 --> 00:24:08.955]  The American true free market diverse system wasn't perfect because we were still reaching towards more liberty.
[00:24:09.335 --> 00:24:11.376]  So it'd be like if I was on a trip to say
[00:24:13.077 --> 00:24:13.677]  California.
[00:24:14.418 --> 00:24:18.541]  And I drove to the California line and then drove back to New Mexico.
[00:24:19.242 --> 00:24:26.947]  It wouldn't be that, you know, Dallas was closer to California just because I turned back.
[00:24:27.408 --> 00:24:32.011]  I had gotten closer to California by driving to the state line, but I turned back.
[00:24:32.372 --> 00:24:37.115]  We want to go back to where we were, which was the furthest that we'd basically gone.
[00:24:37.135 --> 00:24:39.177]  I mean, that's an analogy off the top of my head.
[00:24:39.377 --> 00:24:40.578]  I'm saying we've never been to the moon.
[00:24:41.318 --> 00:24:48.802]  We need to go back to actually going to the moon, which is the furthest we've gone, because we haven't tried to go forward since then.
[00:24:50.723 --> 00:24:52.584]  Well, I think their point is well taken, Alex.
[00:24:53.204 --> 00:25:00.688]  We have to go forward, because what we've been doing for the last 80 to 100 years is moving backward in history.
[00:25:01.128 --> 00:25:06.051]  We've been going back to the Middle Ages, to the element of serfdom.
[00:25:06.271 --> 00:25:08.494]  By the way, that's what the Club of Rome, as you know, speak to that.
[00:25:08.774 --> 00:25:10.136]  They're very conscious about this.
[00:25:10.176 --> 00:25:20.030]  They say they want a post-industrial world for the general public, high-tech reservations with the elite in government and corporations, and they say they want us back to a feudal state.
[00:25:20.050 --> 00:25:22.653]  I mean, that's an official UN Club of Rome dogma.
[00:25:23.851 --> 00:25:25.052]  Well, they're doing very well.
[00:25:25.352 --> 00:25:26.073]  They're succeeding.
[00:25:26.113 --> 00:25:29.335]  In fact, I'd say we're probably more than halfway there already.
[00:25:29.936 --> 00:25:33.218]  And the trouble is, it's incremental and you get used to it, you know?
[00:25:34.239 --> 00:25:38.582]  Every year, we lose a significant amount of our personal liberties.
[00:25:40.863 --> 00:25:53.891]  And our children coming up have never heard about much of this stuff, so with the passage of a couple of generations, the new generation in place is perfectly content to be living in a feudalist system because they don't know anything better.
[00:25:54.211 --> 00:26:00.915]  They think that's the way it's always been, and they're told, well, you're in America now, this is free enterprise because you're in America, right?
[00:26:01.115 --> 00:26:02.276]  This is capitalism, right?
[00:26:02.776 --> 00:26:03.117]  Wrong!
[00:26:03.737 --> 00:26:10.582]  That's the point, and you and I are in total agreement on that, but I'm afraid the people out there on the streets today, a lot of them don't understand that.
[00:26:10.622 --> 00:26:14.986]  And so they're angry, obviously angry, and they're justified in being angry.
[00:26:15.186 --> 00:26:18.669]  And they're saying, you know, let's occupy Wall Street.
[00:26:19.309 --> 00:26:20.050]  Okay, that's good.
[00:26:20.090 --> 00:26:20.450]  Now what?
[00:26:20.490 --> 00:26:22.052]  Now we've occupied Wall Street.
[00:26:22.072 --> 00:26:23.333]  What are we going to do?
[00:26:23.413 --> 00:26:23.854]  I don't know.
[00:26:24.154 --> 00:26:26.617]  We'll just occupy Wall Street and show them that we're mad.
[00:26:26.977 --> 00:26:27.378]  That's it.
[00:26:27.758 --> 00:26:31.382]  And somebody will say, okay, then what are we going to do?
[00:26:31.402 --> 00:26:33.965]  Get the government involved and take over Wall Street?
[00:26:34.225 --> 00:26:35.286]  Yeah, that's a good idea.
