[00:00:21.462 --> 00:00:25.986]  Hey folks, Alex Jones here reporting for InfoWars Nightly News.
[00:03:15.424 --> 00:03:17.846]  Because they're not going to go along either with the Bankster Takeover.
[00:03:17.886 --> 00:03:19.847]  We know Papandreouf's in the banker's pocket.
[00:03:20.287 --> 00:03:34.797]  Or has Papandreouf had a change of heart because he knows rebellion is on and the collapse of Greece and a total overthrow of the government, which a lot of experts say is about to happen, and he's trying to just stave it off to have a quote referendum and then try to steal the vote to get it.
[00:03:35.237 --> 00:03:36.138]  Or has he woken up
[00:03:36.778 --> 00:03:40.501]  And the military wasn't going to go along or something, and so he's about to kick them out.
[00:03:40.821 --> 00:03:44.123]  I mean, you're looking at major coup, counter coup.
[00:03:44.463 --> 00:03:46.785]  We're not sure what's going on right now, but it's wild.
[00:03:47.285 --> 00:03:58.012]  We're talking about the collapse of the Euro, or the birth of open world government, as the Pope calls for a bank of the world run out of Europe that stops the evil corrupt bankers, but is run by the evil corrupt bankers.
[00:03:58.552 --> 00:04:00.734]  You've got Time Magazine calling for a bank of the world.
[00:04:00.874 --> 00:04:02.055]  All this stuff is happening.
[00:04:02.995 --> 00:04:06.299]  All this stuff is taking place right now and it's so incredible.
[00:04:06.599 --> 00:04:07.920]  There's a quickening happening.
[00:04:10.423 --> 00:04:16.129]  I'm gearing up for the big 24-hour plus hour transmission that kicks off at InfoWars.com with all these guests.
[00:04:16.510 --> 00:04:19.553]  We'll have video streams, audio streams, free to the public.
[00:04:20.093 --> 00:04:43.442]  It's already up right now in the prelude to that the info wars nightly news is posted in full words calm and a 24-hour marathon section article We're also streaming into Justin TV you stream and tomorrow on our own system free of the public Because this is a big media event with a whole bunch of guests joining us to be extremely powerful Information so that is all
[00:04:44.684 --> 00:04:47.485]  I'm coming up with that information, but these are the insane times.
[00:04:48.066 --> 00:04:54.108]  And it's just going to get crazier and crazier and crazier as open world government is pushed on everybody.
[00:04:54.268 --> 00:04:57.350]  And it's just mind-blowing to see this happening.
[00:04:57.370 --> 00:04:58.510]  In fact, I'm coming to a red light.
[00:04:59.331 --> 00:05:00.831]  Maybe I can just show you some of these articles.
[00:05:00.851 --> 00:05:01.352]  I mean, look at this.
[00:05:01.792 --> 00:05:05.193]  Federally funded street lights capable of recording conversations.
[00:05:05.614 --> 00:05:10.256]  Our Wellington Intellistreet system now being installed in major cities with your tax money.
[00:05:11.127 --> 00:05:13.968]  Texas is launching taser drones with Homeland Security funding.
[00:05:14.028 --> 00:05:16.169]  I mean, it's just criminal government going wild.
[00:05:17.089 --> 00:05:21.631]  Wall Street firm spies on protesters in tax-funded center.
[00:05:23.392 --> 00:05:26.813]  AP, pregnant mom sandwich arrest was horrifying.
[00:05:26.873 --> 00:05:27.894]  CPS took her kid.
[00:05:28.434 --> 00:05:29.254]  No criminal record.
[00:05:31.295 --> 00:05:33.756]  Law bans cash for second-hand transactions.
[00:05:35.233 --> 00:05:49.363]  And then I've got Papandreou calls for this special election, referendum, because the Greeks will have EU enforcers making sure all the new taxes they raise, sales tax, VAT, is being paid because the public's rebelling against it.
[00:05:49.603 --> 00:05:52.645]  And they don't owe it, like Iceland or Ireland.
[00:05:54.026 --> 00:06:03.553]  I mean, that's what's incredible is, Iceland finally said no after a year and they got the documents and over 90% of it was owned by the very banksters that were telling them it's your national debt when it's not.
[00:06:03.813 --> 00:06:04.594]  It's the derivatives.
[00:06:05.598 --> 00:06:06.938]  Make them take a total haircut.
[00:06:06.978 --> 00:06:07.799]  We don't owe this.
[00:06:08.359 --> 00:06:15.560]  You know, the globalists take a $100 billion haircut, or 50% of their bonds from Greece, and then they get $5 trillion in exchange.
[00:06:15.620 --> 00:06:18.601]  I mean, it's just, it's just, you're always told it's one thing and it's another.
[00:06:18.941 --> 00:06:19.621]  Okay, that's it.
[00:06:20.041 --> 00:06:22.202]  The main nightly news is coming up with Aaron Dyckson again.
[00:06:22.242 --> 00:06:23.222]  It's free for everybody.
[00:06:23.522 --> 00:06:24.742]  Spread the word about this.
[00:06:25.163 --> 00:06:31.384]  It's got to be listener-supported so we can pay for the infrastructure and the crew and everybody who's doing a wonderful job, but
[00:06:32.639 --> 00:06:37.263]  And we're beta testing it for television right now, so you're really funding the true revolution in alternative media.
[00:06:38.805 --> 00:06:46.051]  But for the next three days, we're going to have it free in the video box at PrisonPlanet.tv.
[00:06:46.372 --> 00:06:47.192]  It's up there right now.
[00:06:47.833 --> 00:06:53.798]  At InfowarsMoneybomb.com, the box is up there right now where you can watch all the shows, including today's live radio show I did, Slash TV.
[00:06:55.179 --> 00:06:56.500]  You can find it all over the site.
[00:06:56.560 --> 00:06:57.481]  Spread the word about it.
[00:06:57.781 --> 00:07:06.027]  We had 3.5 million views when Aaron Dykes and Paul Watson were in Bilderberg this year covering it, just on the JustinTV channel.
[00:07:06.307 --> 00:07:11.951]  We want to get millions watching for the money bomb extravaganza of information warfare against the tyrants.
[00:07:12.492 --> 00:07:13.993]  Okay folks, that's it.
[00:07:15.121 --> 00:07:17.082]  Um, for this transmission.
[00:07:17.882 --> 00:07:19.202]  More with Aaron Dykes coming up.
[00:07:19.222 --> 00:07:22.384]  But again, spread the word about the money bomb coming up.
[00:07:23.384 --> 00:07:26.545]  Uh, that is this Thursday, 11 a.m.
[00:07:26.605 --> 00:07:28.946]  Central, 12 noon Eastern, 9 a.m.
[00:07:29.006 --> 00:07:30.766]  Mountain, 10 a.m.
[00:07:31.026 --> 00:07:32.887]  Um, no, no, 9 a.m.
[00:07:32.907 --> 00:07:35.428]  Pacific, 10 a.m.
[00:07:37.205 --> 00:07:39.628]  And it's going to go for 27 hours from 11 a.m.
[00:07:39.928 --> 00:07:40.428]  to 2 p.m.
[00:07:40.448 --> 00:07:41.890]  the next day at the end of the radio show.
[00:07:42.771 --> 00:07:45.013]  And I couldn't do it without all your help and support out there.
[00:07:45.053 --> 00:07:46.434]  We're really fired up about this.
[00:07:46.755 --> 00:07:47.936]  So please spread the word about it.
[00:07:48.216 --> 00:07:50.278]  The globalists are coming down on us like a ton of bricks.
[00:07:50.679 --> 00:07:52.921]  But for every action, there's an equal and opposite reaction.
[00:07:53.241 --> 00:07:54.302]  You are the resistance.
[00:07:54.342 --> 00:07:56.925]  If you're watching this transmission, you are the resistance.
[00:07:57.085 --> 00:07:57.745]  Thanks, Alex.
[00:07:57.865 --> 00:08:00.207]  And this is the InfoWars Nightly News.
[00:08:00.267 --> 00:08:02.167]  Tonight is Tuesday, November 1st, 2011.
[00:08:03.008 --> 00:08:05.069]  I'm Aaron Dyk sitting in.
[00:08:05.409 --> 00:08:14.413]  And of course, the top story tonight has to do with Greece and Papandreou's announcement calling for a referendum sometime early next year.
[00:08:14.794 --> 00:08:19.216]  But many people in his government believe that the government itself may not last.
[00:08:19.276 --> 00:08:21.977]  Many have called for Papandreou to be ousted.
[00:08:22.317 --> 00:08:23.698]  They've called for new elections.
[00:08:24.318 --> 00:08:30.020]  And so the Daily Mail is reporting that the Greek referendum could kill off the European Union as well.
[00:08:30.740 --> 00:08:42.644]  Many people are questioning if Greece votes no on the referendum, that it would trigger a default which would unravel the entire Eurozone and the Euro itself.
[00:08:43.244 --> 00:08:44.744]  And so everyone is upset.
[00:08:45.204 --> 00:08:46.105]  They're saying that
[00:08:47.065 --> 00:08:55.729]  Greece's political class has failed to even persuade the Greeks of the need for spending cuts and tax rises, let alone convince them they've got the detail right.
[00:08:56.009 --> 00:09:00.451]  Don't let them tell you the cuts aren't real, that austerity isn't being implemented in Athens.
[00:09:00.871 --> 00:09:11.116]  It has been dictated by the EU and IMF, and goes on to discuss how the popular mandate, how a no vote could unravel the entire EU project,
[00:09:11.776 --> 00:09:19.625]  Already, labor peer Lord Soleil is calling it the economic equivalent of the assassination of Archduke Ferdinand in Sarajevo in 1914.
[00:09:20.005 --> 00:09:26.933]  This is a banker-created crisis, but it could have big repercussions for all the world's markets.
[00:09:27.273 --> 00:09:32.039]  Just the announcement of this referendum has triggered market plunges across the board.
[00:09:33.240 --> 00:09:47.387]  Greece, Papandreou in Greece has replaced military chiefs, a number of high-level members of the military, including the heads of General Staff, Army, Navy, Air Force, and discharged a dozen or so other officers.
[00:09:48.187 --> 00:09:52.129]  And that really is part of a larger coup, counter-coup within Greece.
[00:09:52.490 --> 00:09:55.671]  We're not sure exactly what's going to happen, but they are reshuffling here.
[00:09:57.612 --> 00:10:03.359]  The majority for the Socialist Party is down to a razor-thin majority of only two members.
[00:10:04.020 --> 00:10:09.767]  One member just declared himself independent today, drawing that margin even closer.
[00:10:09.787 --> 00:10:15.154]  And really, everything could hinge on this, even though it's a Baker-created
[00:10:16.235 --> 00:10:23.857]  Crises and Papandreou himself, the Bilderberg attendee, would sure like to know what they discussed there as these bigger problems loom.
[00:10:24.297 --> 00:10:38.781]  And of course Hermann von Ruppe, the EU president, and Jose Manuel Barroso, also head of the EU, are pretty upset about it and they're sort of implying that we trust Greece will honor the commitments they made in this deal last week.
[00:10:39.081 --> 00:10:42.722]  But of course the Greek people are up in arms about it, completely upset.
[00:10:43.542 --> 00:10:52.607]  And that's why many believe Papandreou is doing this just as a political stunt, a ploy to maintain power, as there are calls for him to step down and a whole lot more.
[00:10:52.947 --> 00:10:54.308]  We'll keep an eye on that.
[00:10:54.488 --> 00:10:56.589]  Alex will be covering it in detail tomorrow.
[00:10:58.482 --> 00:11:06.067]  In other news, Operation Armas Crusadas has been revealed to be a Department of Homeland Security run.
[00:11:06.928 --> 00:11:14.713]  Janet Napolitano herself's own version of Mexican arms trafficking, this one openly with cooperation from the Mexican government.
[00:11:15.373 --> 00:11:17.895]  The Attorney General himself is known to know about this.
[00:11:18.375 --> 00:11:24.780]  You saw her testimony last week, we're going to play it here in just a moment, where she denied any knowledge of the Fast and Furious scandal.
[00:11:25.160 --> 00:11:28.283]  And really refuse to talk about anything related to it at all.
[00:11:28.684 --> 00:11:39.174]  Now we know there's all kinds of operations going on like this, so-called stings, where they're really just arming the Mexican drug gangs, allowing them to ship in the cocaine and other drugs.
[00:11:39.575 --> 00:11:46.722]  We know about the Sinaloa cartel in particular being given alleged government immunity.
[00:11:47.362 --> 00:11:54.086]  And, of course, the corrupt Mexican government and the corrupt United States government are in on all these cartel activities.
[00:11:54.446 --> 00:12:07.094]  And, of course, they have numerous smokescreen operations like Fast and Furious designed to look like they're targeting the drug gangs while only fueling the problems of making them worse, among other reasons, to target the Second Amendment.
[00:12:07.514 --> 00:12:08.915]  And that's Janet Napolitano.
[00:12:09.255 --> 00:12:10.176]  Let's play that clip now.
[00:12:11.837 --> 00:12:14.098]  When did you learn of Fast and Furious for the first time?
[00:12:15.011 --> 00:12:17.954]  I learned of it after the death of Agent Terry.
[00:12:18.634 --> 00:12:22.478]  And when did you learn that gun walking was part of Fast and Furious?
[00:12:24.059 --> 00:12:30.764]  I would say sometime between his death and the early spring.
[00:12:31.125 --> 00:12:42.334]  To your knowledge, has anyone ever communicated or did anyone communicate with Mexican authorities that guns were being allowed to cross our border into Mexico in contravention of their gun laws?
[00:12:43.750 --> 00:12:48.931]  I can only speak for communications that I know of, and I know of no such communications.
[00:12:49.251 --> 00:12:56.953]  So someone at the Department of Justice had to know about Fast and Furious for the T3 to ever have been approved, correct?
[00:12:57.133 --> 00:12:58.433]  I just can't comment.
[00:12:58.473 --> 00:13:01.233]  I don't know that there was a T3 approved in Fast and Furious.
[00:13:01.693 --> 00:13:09.395]  If there were a T3 approved in Fast and Furious, and there were, the Department of Justice would have had to have known about it, correct?
[00:13:10.612 --> 00:13:12.633]  I'm going to leave that for your own investigation, sir.
[00:13:12.673 --> 00:13:27.662]  I'm just not going to comment or go beyond what I know, and what I know is that after the death of Agent Terry, the Fast and Furious label became apparent, and we became knowledgeable about it.
[00:13:28.523 --> 00:13:30.684]  Obviously, there were problems with the operation.
[00:13:30.904 --> 00:13:37.288]  Obviously, it did not succeed, and the Inspector General has that under investigation right now.
[00:13:38.709 --> 00:13:42.772]  And that's Napolitano last week saying, I'm not going to cooperate with your questions.
[00:13:43.153 --> 00:13:47.476]  Just try to get past the national security wall and figure out what's going on.
[00:13:47.856 --> 00:13:52.160]  Of course, it was also revealed that there were similar operations under the Bush era.
[00:13:52.520 --> 00:14:00.506]  And really, this is just classic Iran-Contra type behavior that's been going on in the shadowy parts of the national security state for years.
[00:14:00.826 --> 00:14:07.692]  Now, here's a clip from Napolitano back in March of 2009, where they're discussing this exact kind of gun trafficking program.
[00:14:08.595 --> 00:14:12.317]  But our department has a very broad mission, and we have to be able to multitask.
[00:14:13.257 --> 00:14:22.141]  And as we multitask, one of the things that has happened, one of the changes in the threat environment, has been what is going on in Mexico.
[00:14:22.501 --> 00:14:29.504]  How successful do you expect to be in this effort to clamp down on the trafficking of power going into Mexico?
[00:14:29.945 --> 00:14:30.525]  Several things.
[00:14:31.165 --> 00:14:33.326]  One is, first of all, you've got to interdict the arms.
[00:14:33.346 --> 00:14:35.227]  You've got to stop them from going into Mexico.
[00:14:36.797 --> 00:14:43.100]  We're coordinating with Mexico because they can do more by way of southbound screening on their side of the border.
[00:14:43.961 --> 00:14:51.125]  But then the Department of Justice moving their agents down there, as David said, and increasing tracing.
[00:14:51.786 --> 00:15:02.652]  That will help us identify who is putting those arms into the arms, those guns into the arms of the traffickers moving south.
[00:15:03.813 --> 00:15:04.934]  And out of that,
[00:15:06.394 --> 00:15:14.779]  Again, recently we've seen more prosecution of actual arms dealers who are intentionally and knowingly putting arms into the hands of the smugglers.
[00:15:16.720 --> 00:15:17.581]  And so there you have it.
[00:15:17.601 --> 00:15:24.444]  They're essentially caught red-handed, but my guess would be not much will happen unless they plan to target the entire national security state.
[00:15:24.784 --> 00:15:25.305]  And we'll see.
[00:15:25.385 --> 00:15:32.649]  But now, meanwhile, Big Sis acknowledges that Homeland Security is now monitoring Twitter for signs of social unrest.
[00:15:33.049 --> 00:15:33.289]  I don't
[00:15:54.216 --> 00:15:55.517]  Not yet proven guilty.
[00:15:56.038 --> 00:15:58.700]  No reason to believe they're involved in criminal activity.
[00:15:59.040 --> 00:16:08.889]  People on Twitter, Facebook and other social network sites to find out if they're engaged in so-called subversive activities or just economic riots and so forth.
[00:16:09.569 --> 00:16:16.638]  And, you know, it's just more of the police state coming down on the people as the government's increasingly proved to be criminal itself.
[00:16:17.039 --> 00:16:25.148]  Just as we've already covered how Louisiana is banning cash transactions for second-hand goods, they also
[00:16:26.445 --> 00:16:26.745]  I don't
[00:16:43.641 --> 00:16:48.102]  So it somehow seems to reinforce the idea that a preemptive search is okay.
[00:16:48.382 --> 00:16:55.044]  What it's really doing is empowering police and getting back to this cash ban on second-hand transactions.
[00:16:55.704 --> 00:16:59.405]  I've heard the lawyer quoted in this story, Thad Ackle Jr.
[00:16:59.445 --> 00:17:01.966]  talking about how it was the law enforcement lobby
[00:17:02.666 --> 00:17:10.031]  And kind of the national security state lobby who pushed this bill through, slipped it under the radar and kept it from really being questioned.
[00:17:10.372 --> 00:17:12.793]  And the problem really is the language of the bill.
[00:17:12.893 --> 00:17:21.119]  It's so open-ended, it creates a slippery slope to where basically anyone engaged in second-hand transactions will be placed under suspicion.
[00:17:21.500 --> 00:17:25.482]  There's already laws and regulations forcing, you know,
[00:17:26.643 --> 00:17:31.225]  Uh, pawn shops as well as, uh, wire trade stores.
[00:17:31.965 --> 00:17:33.846]  Uh, yeah, we have a clip here.
[00:17:34.146 --> 00:17:40.408]  They give a check or a cashier's money order or electronic.
[00:17:42.071 --> 00:17:44.092]  One of those three mechanisms is used.
[00:17:44.152 --> 00:17:50.636]  Hardy says the bill is targeted at criminals who steal anything from copper to televisions and sell them for a quick buck.
[00:17:50.716 --> 00:17:54.199]  We are being targeted for something that we shouldn't be.
[00:17:54.299 --> 00:18:02.624]  Besides non-profit resalers like Goodwill along with garage sales, the language of the bill encompasses stores like the Pioneer Trading Post and flea markets.
[00:18:04.403 --> 00:18:08.685]  Now really the whole idea behind this bill was supposedly to target copper thieves.
[00:18:08.905 --> 00:18:22.490]  You've seen it reported on the Drudge Report and other places, but really copper thieves can only sell those wires to a few places and those places already require you to provide identification that could be used by law enforcement.
[00:18:22.990 --> 00:18:32.593]  In the case of thievery, what it really does is just crack down on regular people trying to make money off ordinary transactions, garage sales, antiques, and the rest of it.
[00:18:32.893 --> 00:18:35.414]  It's very dangerous language and we should keep an eye on that.
[00:18:35.714 --> 00:18:41.316]  Now, we also have a clip from the earlier ruling that a hunch is somehow enough to search a car in Louisiana.
[00:18:42.415 --> 00:18:45.517]  I don't think the Supreme Court has opened any bigger door than that was there before.
[00:18:45.938 --> 00:18:48.840]  They reaffirmed what the New Orleans police officer did was correct.
[00:18:49.300 --> 00:18:54.664]  Police say this ruling changes nothing, but local criminal defense attorney Kirk Piccioni feels differently.
[00:18:54.884 --> 00:19:02.090]  I would imagine that this is going to result in more searches, more arrests, more investigatory stops.
[00:19:02.530 --> 00:19:08.615]  Piccioni says that this allows an opinion or a hunch of an officer the right to search a vehicle and apply it in court.
[00:19:10.191 --> 00:19:13.834]  So, therefore, somehow a hunch is enough to violate the Fourth Amendment.
[00:19:14.215 --> 00:19:18.999]  Meanwhile, you also have heard about the pregnant mom who says the sandwich arrest was horrifying.
[00:19:19.519 --> 00:19:22.963]  She says she accidentally walked out of the store without paying for a sandwich.
[00:19:23.403 --> 00:19:31.030]  Her and her husband were arrested and their kid was seized by Child Welfare Services, who say that's the automatic response.
[00:19:31.070 --> 00:19:35.694]  So you see, again, how the system is set up for petty crime, for no crime at all.
[00:19:36.054 --> 00:19:36.994]  We're good to go.
[00:19:58.559 --> 00:20:01.199]  It was never our intent to separate a mother from her child.
[00:20:01.239 --> 00:20:04.840]  That was a very unfortunate consequence to the situation, Huffton said.
[00:20:04.880 --> 00:20:06.220]  We understand the outrage.
[00:20:06.260 --> 00:20:08.541]  We are concerned about how this was handled.
[00:20:08.901 --> 00:20:15.962]  But you see the larger child welfare system, CPS, just ready to snatch and grab kids for any reason at all.
[00:20:16.402 --> 00:20:20.463]  Any suspicion placed on parents can be used as justification to take those kids.
[00:20:20.923 --> 00:20:23.183]  And then getting them back is the hard part.
[00:20:23.623 --> 00:20:24.523]  And it's just tragic.
[00:20:24.883 --> 00:20:27.024]  And the system is obviously ramping up again.
[00:20:28.044 --> 00:20:29.545]  I think we have another quote from that as well.
[00:20:30.785 --> 00:20:33.347]  The pregnant mom says, I got completely hysterical.
[00:20:33.367 --> 00:20:34.687]  I went to the bathroom and threw up.
[00:20:34.727 --> 00:20:35.788]  That was when they took the kid.
[00:20:36.528 --> 00:20:41.791]  Leszczynski called the incident so horrifying it seemed to escalate and no one could say this is too much.
[00:20:41.851 --> 00:20:46.854]  Now, the couple offered to pay for the sandwich, but the store said that was not good enough.
[00:20:47.834 --> 00:20:56.378]  And really, it's kind of reminiscent of the direction that the movie Idiocracy showed satirically that society was headed towards.
[00:20:56.418 --> 00:20:57.459]  That's the Mike Judge film.
[00:20:58.228 --> 00:20:58.628]  Charged.
[00:20:58.848 --> 00:21:00.390]  Your balance is zero.
[00:21:00.910 --> 00:21:03.772]  Please come back when you can afford to make a purchase.
[00:21:03.892 --> 00:21:06.073]  I'm sorry you're having trouble.
[00:21:06.133 --> 00:21:08.935]  I'm sorry you're having trouble.
[00:21:10.957 --> 00:21:12.237]  This should help you calm down.
[00:21:13.879 --> 00:21:16.320]  Please come back when you can afford to make a purchase.
[00:21:16.981 --> 00:21:18.362]  Your kids are starving.
[00:21:18.782 --> 00:21:19.482]  Carl's Jr.
[00:21:19.522 --> 00:21:21.484]  believes no child should go hungry.
[00:21:21.884 --> 00:21:23.105]  You are an unfit mother.
[00:21:23.725 --> 00:21:26.007]  Your children will be placed in the custody of Carl's Jr.
[00:21:27.458 --> 00:21:38.569]  So somewhere between the corporate state takeover of the state and the bureaucracy of, you know, poor mothers have their children taken away because they allegedly can't provide for them because they got angry at the machine.
[00:21:38.969 --> 00:21:41.912]  Satirical look at where our society really is basically headed.
[00:21:42.172 --> 00:21:45.736]  We're going to go to break now and come back with a whole lot more police state news.
[00:21:46.156 --> 00:21:49.379]  How the corrupt Wall Street cronies who work with government
[00:21:50.220 --> 00:21:50.641]  We're good to go.
[00:21:50.681 --> 00:21:51.362]  We're good to go.
[00:22:13.780 --> 00:22:14.460]  Ron Paul.
[00:22:15.000 --> 00:22:17.521]  A visionary who predicted the financial crisis.
[00:22:18.141 --> 00:22:20.042]  A leader with a plan to solve it.
[00:22:20.502 --> 00:22:21.262]  The Paul Plan?
[00:22:21.642 --> 00:22:22.562]  Balance the budget.
[00:22:22.982 --> 00:22:24.923]  Cut a trillion dollars year one.
[00:22:25.523 --> 00:22:27.663]  Eliminate five federal bureaucracies.
[00:22:28.243 --> 00:22:30.104]  End the foreign wars and nation building.
[00:22:30.624 --> 00:22:32.024]  Reign in the Federal Reserve.
[00:22:32.464 --> 00:22:33.625]  Pay down the debt.
[00:22:34.065 --> 00:22:36.245]  Cut taxes to create jobs.
[00:22:36.966 --> 00:22:37.666]  Ron Paul.
[00:22:38.026 --> 00:22:40.406]  A plan to restore America now.
[00:22:40.766 --> 00:22:42.707]  I'm Ron Paul and I approve this message.
[00:22:43.103 --> 00:22:49.525]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:22:49.845 --> 00:22:50.706]  We've got the new G.I.
[00:22:50.746 --> 00:22:52.686]  Joe InfoWars t-shirts.
[00:22:53.046 --> 00:22:59.169]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:22:59.709 --> 00:23:04.090]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:23:04.790 --> 00:23:08.732]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:23:09.392 --> 00:23:10.033]  It's all there.
[00:23:10.053 --> 00:23:12.898]  Wristbands, citizen rule books, in every order.
[00:23:13.358 --> 00:23:16.083]  Order online at InfoWars.com today.
[00:23:16.323 --> 00:23:19.368]  The water filters, the canteens, it's all there.
[00:23:19.769 --> 00:23:20.710]  InfoWars.com
[00:23:27.392 --> 00:23:38.654]  Our mission in fullwords.com is to audit the Fed, abolish the Fed, restore the Constitution, abolish the TSA, restore the Second Amendment, restore the Constitution, restore the Republic.
[00:23:38.994 --> 00:23:50.197]  And if you believe in those goals, then it is your free will, responsibility, and honor to spread the word about our operation and to donate to the 2011 Money Bomb.
[00:23:52.585 --> 00:23:56.429]  For many years, I tried to basically stay small, make my films, do my radio show.
[00:23:56.649 --> 00:23:57.850]  But it grew and grew and grew.
[00:23:58.391 --> 00:24:06.059]  Think about how a money bomb that listeners started four years ago led to us being able to move into this bigger office.
[00:24:06.880 --> 00:24:11.785]  A later money bomb helped us expand into the empty warehouse next door.
[00:24:11.805 --> 00:24:14.587]  And in the last year, we have built
[00:24:15.694 --> 00:24:25.277]  The TV studios and put the equipment in and are now doing a nightly news show every night at seven o'clock that we're now beta testing and getting ready for television.
[00:24:26.497 --> 00:24:32.519]  Right now going out to members at PrisonPlanet.tv and then reaching millions as it spills out onto YouTube and other systems.
[00:24:33.464 --> 00:24:35.907]  Help us go to the next level.
[00:24:36.427 --> 00:24:41.252]  Not reaching 15 million a week, but reaching 30, 40, 50 million a week.
[00:24:41.653 --> 00:24:47.038]  Our growth curve is exponential, but we need to hit our afterburners and turbocharge.
[00:24:47.499 --> 00:24:48.740]  History is happening now.
[00:24:48.840 --> 00:24:53.685]  The war for human liberty against total dehumanization is on now.
[00:24:54.186 --> 00:24:54.706]  Join us.
[00:24:55.427 --> 00:24:58.688]  Thursday, November 3rd at InfoWars.com.
[00:24:59.189 --> 00:25:06.331]  We're going to have a 24-hour plus live transmission with guests and interviews starting at 11 a.m.
[00:25:06.371 --> 00:25:09.633]  and running into my next radio show the next day.
[00:25:10.660 --> 00:25:16.403]  We're going to have a huge lineup of liberty-loving patriots from all over the world joining us.
[00:25:16.503 --> 00:25:17.503]  It's going to be amazing.
[00:25:18.244 --> 00:25:25.967]  And this Money Bomb is going to have a lot of new things added to it that's going to make it even more powerful than past years.
[00:25:26.027 --> 00:25:35.032]  So please, donate at InfoWarsMoneyBomb.com or InfoWars.com forward slash Money Bomb, or simply spread the word about the Money Bomb.
[00:25:35.672 --> 00:25:42.618]  Stand with InfoWars.com and my incredible crew and all of our other supporters and help us get the word out even more.
[00:25:42.998 --> 00:25:44.520]  The ball is in your court.
[00:25:45.020 --> 00:25:46.862]  The rest is up to you.
[00:25:47.262 --> 00:25:50.364]  It's InfoWars Moneybomb 2011.
