[00:00:23.021 --> 00:00:27.385]  Welcome to the December 1, 2011 broadcast of the Infowars Nightly News.
[00:07:58.466 --> 00:08:03.688]  Overall, the GOA looked at nearly 100,000 foster children in five states only.
[00:08:04.109 --> 00:08:05.609]  Forty-five other states not studied.
[00:08:05.649 --> 00:08:10.392]  Found nearly one-third of foster children were prescribed at least one psychotic drug.
[00:08:10.732 --> 00:08:14.234]  The GOA found foster children were prescribed psychotropic drugs
[00:08:14.674 --> 00:08:25.417]  At rates up to nearly five times higher than non-foster children, with foster children in Texas being the most likely to receive the medications compared with foster children and the other four states studied.
[00:08:25.877 --> 00:08:35.979]  In Texas, foster children were 53 times more likely to be prescribed five or more psychiatric medications at the same time.
[00:08:36.359 --> 00:08:39.260]  Five or more psychiatric medications at the same time.
[00:08:40.459 --> 00:08:41.000]  That's right.
[00:08:59.179 --> 00:09:02.544]  This is absolute Nazi experimentation with our children.
[00:09:02.604 --> 00:09:03.365]  It's disgusting.
[00:09:03.966 --> 00:09:04.867]  The quotes go on here.
[00:09:04.907 --> 00:09:14.561]  Foster children were also more than nine times more likely than non-foster children to be prescribed drugs for which there was no FDA-recommended dose for their age.
[00:09:15.779 --> 00:09:26.193]  For the most vulnerable foster children, those less than one year old, foster children were nearly twice as likely to be prescribed as a psychiatric drug compared to non-foster children.
[00:09:26.534 --> 00:09:31.260]  And it goes on to discuss how these psychotropics were even given to infants.
[00:09:31.281 --> 00:09:32.723]  We have a clip from that report now.
[00:09:33.143 --> 00:09:35.968]  These are the meds that I've been taking since I was four.
[00:09:36.689 --> 00:09:42.219]  One, two, three, eleven, twelve, thirteen.
[00:09:42.700 --> 00:09:43.462]  Lexapro.
[00:09:44.003 --> 00:09:45.445]  The last one is Abilify.
[00:09:47.045 --> 00:10:00.472]  Consider the case of seven-year-old Brooke, taken from a drug-addicted mother, just 43 pounds, but given five mind-altering drugs at the same time, a combination that is deemed too risky even for adults.
[00:10:00.973 --> 00:10:04.835]  And Brooke went from this, being weaned off the strongest medications,
[00:10:06.436 --> 00:10:11.539]  No adult should be receiving the drugs of that different variety.
[00:10:11.739 --> 00:10:12.740]  Certainly not at these ages.
[00:10:13.180 --> 00:10:19.124]  And foster parents who want to help soon learn that if they don't give medications, the child can be taken away.
[00:10:19.264 --> 00:10:21.645]  We were told to put our faith in the system and that's what we did.
[00:10:21.665 --> 00:10:24.267]  No one said the medications could be causing the problem.
[00:10:24.487 --> 00:10:26.488]  They kept saying she needs more medications.
[00:10:27.728 --> 00:10:34.470]  And of course, they're calling this a failure to oversee foster children, where they're much more likely to be abused.
[00:10:34.530 --> 00:10:37.530]  CPS custody, far more likely to be abused.
[00:10:37.570 --> 00:10:39.771]  The system is not good for children.
[00:10:39.791 --> 00:10:43.692]  And of course, this is part of a larger agenda, as we all know.
[00:10:44.272 --> 00:10:46.393]  Why are they prescribing these things in the first place?
[00:10:46.433 --> 00:10:54.855]  But especially in combination with these very vulnerable foster children who don't have good parents to oversee them, etc., because of the situation we're in.
[00:10:55.215 --> 00:10:55.655]  Now, of course,
[00:10:56.155 --> 00:11:12.071]  Alex reported on this in the 2007 film, Endgame, and we have a clip there from a top psychiatric official in Texas saying that it was okay that there were children on up to seven or more psychotropic drugs because they're from a bad gene pool.
[00:11:12.531 --> 00:11:14.894]  Yeah, so tell me this isn't part of the eugenics plan.
[00:11:15.935 --> 00:11:20.019]  Planners said that they'd use mind-altering drugs to control the population.
[00:11:21.556 --> 00:11:24.917]  By 2007, more than 20% of the U.S.
[00:11:24.957 --> 00:11:28.498]  population were on some type of prescription antidepressant.
[00:11:30.938 --> 00:11:42.521]  But in the case of foster children, a sector where the state has total control, at least two-thirds are forced to take a cocktail made up of, on average, seven psychotropic drugs.
[00:11:44.392 --> 00:12:05.025]  Chairman of the Texas Society of Psychiatric Physicians, Joe Burkett, testified before the Statehouse Select Committee hearing on psychotropic drugs in foster care and shocked the public when he said that two-thirds of foster children in Texas had been placed on psychiatric drugs because they were very, very sick from a bad gene pool.
[00:12:06.446 --> 00:12:08.568]  A lot of these kids come from bad gene pools.
[00:12:09.408 --> 00:12:11.870]  They don't have stable parents making good decisions.
[00:12:12.964 --> 00:12:19.850]  Besides the gene pools, they've then been traumatized by abuse, neglect, and problems, and then they've been traumatized by separation and all those things predisposed to mental illness.
[00:12:26.334 --> 00:12:37.424]  Now if you want to get all judgmental about the parents of these foster children and the irresponsible decisions they may or may not have made, don't forget they've said the families of disease.
[00:12:37.865 --> 00:12:44.791]  Organizations like UNESCO have said that the disease of nationalism is spread through the parents and that
[00:12:45.211 --> 00:12:45.351]  Yes.
[00:13:05.612 --> 00:13:15.416]  This case study, but the GOA study does highlight the fact that they are giving massive amounts of mixed together psychotropic drugs to these poor foster children.
[00:13:15.796 --> 00:13:16.476]  Just awful.
[00:13:17.017 --> 00:13:25.680]  In political news, the rise of Newt Gingrich is just another sign that the New World Order is still behind the scenes of both political parties.
[00:13:26.140 --> 00:13:33.484]  Ron Paul has put out a new ad bringing to light the fact that he's a hypocritical flip-flopper, but B,
[00:13:34.804 --> 00:13:39.327]  That his real record is being a globalist for no borders and so on and so forth.
[00:13:39.367 --> 00:13:53.697]  Now, RonPaul2012.com issued this statement including this quote, Our campaign is making a bold move to debunk the myth that the new we are seeing in the 2012 campaign trail is the conservative he has been touted to be all along.
[00:13:54.157 --> 00:14:01.742]  This step we are taking is necessary as voters are seeking authenticity among conservatives who are able to show decades-long career
[00:14:02.102 --> 00:14:05.564]  I think this is the core challenge of America is that beyond the words is a real question of policy.
[00:14:30.732 --> 00:14:35.154]  It's a real question of values, and a real question of seriousness.
[00:14:35.594 --> 00:14:37.254]  It's a real question of policy.
[00:14:39.855 --> 00:14:42.616]  We don't always see eye to eye, do we Newt?
[00:14:43.136 --> 00:14:47.158]  No, but we do agree our country must take action to address climate change.
[00:14:47.478 --> 00:14:52.860]  Newt Gingrich has been on both sides of a long list of issues, sometimes in the same week.
[00:14:54.352 --> 00:14:57.454]  And I believe we're going to play the entire clip during the break.
[00:14:57.514 --> 00:14:59.074]  It's also on Infowars.com.
[00:14:59.355 --> 00:15:01.356]  But what are the real policies of Newt Gingrich?
[00:15:01.696 --> 00:15:04.637]  You've heard about his third wave plan for America.
[00:15:04.998 --> 00:15:10.961]  He wrote the foreword for Alvin and Heidi Toffler's Creating a New Civilization, The Politics of the Third Wave.
[00:15:10.981 --> 00:15:15.403]  Some of the quotes from that book include, nationalism is the first wave.
[00:15:15.823 --> 00:15:27.640]  The globalization of business and finance required by advancing third wave economies routinely punctures the national sovereignty the nationalists hold so dear, obviously part of the larger globalist plan.
[00:15:28.080 --> 00:15:32.687]  Also, a quote from that book, the Constitution of the United States needs to be reconsidered
[00:15:33.027 --> 00:15:33.207]  I think?
[00:15:54.222 --> 00:15:55.743]  Doing the minion work at best.
[00:15:56.043 --> 00:16:01.906]  Now, of course, Newt supported NAFTA, GATT, other United Nations and globalist treaties.
[00:16:02.266 --> 00:16:05.088]  He was an advisor for Freddie Mac before they went...
[00:16:06.280 --> 00:16:06.800]  Kaput.
[00:16:07.300 --> 00:16:13.042]  And of course he's a member of Bohemian Grove, the Council on Foreign Relations, and an open border advocate.
[00:16:13.682 --> 00:16:21.464]  And so in other open border news, I covered this this morning, secret US-Canada border deal hides GMO takeover.
[00:16:21.484 --> 00:16:31.867]  Now this is a beyond borders border security perimeter deal that Harper and Obama have been secretly working on for more than a year.
[00:16:31.987 --> 00:16:33.287]  I covered it back in April.
[00:16:33.727 --> 00:16:41.392]  Now, they're set to sign the deal, still secret at this point in time, next week, at which point it'll become, I guess, treaty law.
[00:16:42.093 --> 00:16:43.774]  Now, this bill is significant.
[00:16:43.814 --> 00:16:54.341]  Of course, obviously, it's part of the larger North American Union deal that was leaked, that was also pursued in secrecy, started during the George W. Bush administration in 2005.
[00:16:54.401 --> 00:17:00.865]  They've had a number of meetings since then, and Harper's been part of this all along.
[00:17:01.366 --> 00:17:02.947]  Now, it would merge
[00:17:03.727 --> 00:17:03.947]  Yes.
[00:17:22.381 --> 00:17:30.167]  Surveillance, quote, track everyone coming and leaving Canada by air, land and sea, giving that power to the United States authorities.
[00:17:30.667 --> 00:17:35.751]  But there's more to this secret agreement and the parts that are known about it because it was leaked to the press.
[00:17:36.111 --> 00:17:40.635]  We currently don't know everything about this 32 point border perimeter plan.
[00:17:41.155 --> 00:17:50.844]  What's lying in plain sight here is that they also plan to, quote, streamline and harmonize regulations in the automotive and food sectors.
[00:17:51.364 --> 00:18:05.596]  Now, this is very significant, especially the food sector portion, because it would probably, most likely, many observers believe, open up Canada to a total assault from the biotechnology companies, Monsanto chief among them.
[00:18:06.357 --> 00:18:14.583]  The Council of Canadians reports that what kind of regulatory alignment might we expect to see as a result of the Beyond the Border Action Plan?
[00:18:14.883 --> 00:18:26.952]  The Biotechnology Industry Association asked that both countries adopt consistent science-based processes that would significantly decrease the time required for authorization of biotech crops and their products.
[00:18:27.252 --> 00:18:32.155]  They've asked for a harmonization of the maximum permissible pesticide residual levels.
[00:18:32.756 --> 00:18:35.878]  And again, many Canadians, farmers and activists among them
[00:18:36.078 --> 00:18:36.398]  I think?
[00:18:57.282 --> 00:18:58.263]  We're good to go.
[00:19:21.853 --> 00:19:25.596]  All to do these so-called free trade deals, which are not free at all.
[00:19:25.636 --> 00:19:27.377]  They create trade blocks.
[00:19:27.437 --> 00:19:32.300]  If you don't become a member, then you're essentially discriminated against for your exports.
[00:19:32.680 --> 00:19:34.101]  So it's all very interesting.
[00:19:34.121 --> 00:19:36.282]  They say the wheat board's probably just the beginning.
[00:19:36.983 --> 00:19:39.824]  They're going to go after the dairy and egg boards as well.
[00:19:39.864 --> 00:19:46.368]  They won't be satisfied until Vetera and Cargill and Monsanto control every bit of farmland in this country.
[00:19:46.388 --> 00:19:49.971]  That's a statement from Member of Parliament Romeo Saganash.
[00:19:50.908 --> 00:19:57.574]  Now these boards in Canada are very socialistic, but at the same time tariffs are not necessarily socialistic.
[00:19:57.975 --> 00:20:01.017]  They're historically part of the American experiment as well.
[00:20:01.658 --> 00:20:08.624]  Makes sense, but it's something all this free trade and globalization has sought to do away with or significantly limit.
[00:20:09.085 --> 00:20:13.149]  And one more thing about GMO introduction in Canada is the
[00:20:13.769 --> 00:20:17.510]  Other issue of low-level presence of GM contamination.
[00:20:17.890 --> 00:20:29.954]  They are also separately seeking to legitimize the export of crops, which are genetically modified and banned in certain countries, such as places in Europe, where they will not accept these crops.
[00:20:29.974 --> 00:20:35.115]  They're now trying to pressure them to accept low-level contaminated GMO crops.
[00:20:35.235 --> 00:20:38.996]  A dangerous slippery slope towards total introduction of GM crops.
[00:20:39.036 --> 00:20:42.457]  Right now, by the way, there's about 30 commercial GM crops
[00:20:42.837 --> 00:20:51.951]  By 2015, a European Commission study estimates there will be more than 120 GMO crops, something to keep an eye on.
[00:20:53.487 --> 00:20:57.249]  In financial news, a very significant headline story here.
[00:20:57.629 --> 00:21:02.091]  A bank courier van spills money on the roadway in Upper St.
[00:21:02.191 --> 00:21:11.155]  Clair and the police have tried to round up the money after the public grabbed it and they recovered only $400 out of tens of thousands.
[00:21:11.796 --> 00:21:15.257]  The police have issued a statement saying this is not a free-for-all situation.
[00:21:15.417 --> 00:21:17.418]  Obviously this money is bank property.
[00:21:17.818 --> 00:21:18.859]  Lieutenant Englert
[00:21:19.219 --> 00:21:19.820]  We're good to go.
[00:21:41.340 --> 00:21:44.503]  The Fed's European rescue, another backdoor U.S.
[00:21:45.464 --> 00:21:55.373]  bank Goldman bailout, where there is more than $7.7 trillion, with a T, of bank subsidies given to various European banks.
[00:21:56.764 --> 00:22:02.866]  And that's just another part of this larger looting that's going to come with the economic collapse.
[00:22:03.006 --> 00:22:13.329]  Also, you heard about the MF Global story, where they came up short on their European bets, and suddenly the pension money and bank accounts from their customers went missing.
[00:22:13.989 --> 00:22:23.792]  Well, now one of the executives from MF Global, who resigned, by the way, in September before the company went bankrupt, has landed a new job.
[00:22:24.372 --> 00:22:27.496]  He's a pension manager now on Wall Street.
[00:22:28.298 --> 00:22:37.971]  New York City Comptroller John Liu has hired former chief executive of MF Global Holdings to help develop and manage the city's pension investments.
[00:22:38.111 --> 00:22:40.695]  MF Global was sued by four public pension systems
[00:22:41.155 --> 00:22:54.599]  Outside New York they claim the firm misrepresented its risk management practices to investors, but now one of those executives has a new cozy job that would be Kevin Davis who was quietly hired back in September.
[00:22:54.619 --> 00:22:56.040]  Another interesting angle.
[00:22:57.577 --> 00:23:03.341]  Now, the Fukushima situation continues to be severe.
[00:23:03.461 --> 00:23:18.111]  TEPCO again underplays severity of situation at Fukushima, writes Kurt Nimmo today, bringing up how the Tokyo Electric Power Company is once again trying to mislead the public on the severity of the situation at the crippled Fukushima nuclear plant in Japan.
[00:23:19.469 --> 00:23:22.951]  The government is also actively working to sweep the disaster under the rug.
[00:23:22.991 --> 00:23:32.036]  Its Ministry of Health, Labor and Welfare recently eliminated Fukushima data from a patient survey it conducts every three years, according to the Fukushima Diary.
[00:23:32.356 --> 00:23:39.400]  According to the survey, leukemia cases have been increasing seven-fold over the last year, the highest rate since 1978.
[00:23:40.160 --> 00:23:41.621]  But there's nothing to see here.
[00:23:42.301 --> 00:23:47.044]  Find out who took the banknotes from the road when the truck spilled them out.
[00:23:48.737 --> 00:23:51.639]  Now in other news, there's a new sex scandal.
[00:23:51.999 --> 00:23:57.443]  Feds charged 20 with luring illegal immigrants to work in the New York area strip clubs.
[00:23:57.483 --> 00:24:08.911]  They're saying it was mob run with Italian and Russian mobs who arranged sham marriages to bring Eastern European and other illegal immigrants into the country.
[00:24:10.140 --> 00:24:13.024]  And to work as strippers and exotic dancers.
[00:24:13.685 --> 00:24:17.189]  And it doesn't mention prostitution here, but I would imagine that's waiting in the wings.
[00:24:18.030 --> 00:24:19.232]  Now, sure, that's a bad scandal.
[00:24:19.252 --> 00:24:26.341]  There is lots of illicit mob and sex trade activity going on, especially in that part of the world.
[00:24:26.741 --> 00:24:32.045]  It spills over to here, but that's kind of the small part of the iceberg that's above the water level.
[00:24:32.385 --> 00:24:40.590]  The large, massive, important part of the iceberg is well below the surface, the thing nobody likes to talk about, but you've heard about it on this program before.
[00:24:41.010 --> 00:24:48.075]  Stuff like the homosexual prostitution inquiry that ensnared VIPs within the Reagan and Bush administration.
[00:24:48.555 --> 00:24:50.897]  Cowboys took midnight tour of the White House.
[00:24:51.397 --> 00:25:02.496]  You heard about the gay porn stars serving moguls, including at places like Bohemian Grove, Chad Savage, a guy who later would visit the George W. Bush White House.
[00:25:03.706 --> 00:25:14.148]  All of us valets in the Grove are tittering about it, says our bohemian blabbermouth, to think there's all these powerful conservative guys having their drinks and food served to them by a gay porn star.
[00:25:14.508 --> 00:25:18.509]  He makes their beds and attends to their every need and they have no idea who he really is.
[00:25:18.529 --> 00:25:27.571]  Of course, even that's just the tip of the iceberg to all the terrible and satanic sexual slavery stuff going on, including in political circles.
[00:25:27.951 --> 00:25:30.112]  There's, of course, all the stuff to do with
[00:25:31.352 --> 00:25:32.313]  We're good to go.
[00:25:51.627 --> 00:25:52.068]  We're good to go.
[00:26:10.134 --> 00:26:16.556]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:26:16.856 --> 00:26:17.737]  We've got the new G.I.
[00:26:17.777 --> 00:26:19.717]  Joe InfoWars t-shirts.
[00:26:20.077 --> 00:26:26.200]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:26:26.740 --> 00:26:31.121]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:26:31.801 --> 00:26:35.763]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:26:36.423 --> 00:26:37.064]  It's all there.
[00:26:37.085 --> 00:26:39.930]  Wristbands, citizen rule books, in every order.
[00:26:40.391 --> 00:26:43.117]  Order online at InfoWars.com today.
[00:26:43.357 --> 00:26:46.383]  The water filters, the canteens, it's all there.
[00:26:46.804 --> 00:26:47.686]  InfoWars.com.
[00:26:58.621 --> 00:27:04.225]  And we are back from break on this first transmission of December 2001 on the InfoWars Nightly News.
[00:27:04.605 --> 00:27:08.227]  We're joined now by two filmmakers producing The Great Culling.
[00:27:08.667 --> 00:27:11.489]  It is a follow-up to What in the World Are They Spraying?
[00:27:11.829 --> 00:27:14.911]  Great film on the geoengineering and chemtrail phenomenon.
[00:27:14.951 --> 00:27:16.932]  We have it here at the InfoWars store.
[00:27:17.353 --> 00:27:22.556]  That is director Paul Wittenberg, and he is joined by first-time filmmaker, right, Chris Maple?
[00:27:22.696 --> 00:27:23.136]  That's right.
[00:27:23.536 --> 00:27:24.497]  Thanks for coming on, guys.
[00:27:24.517 --> 00:27:25.678]  Yeah, thanks for having us.
[00:27:26.298 --> 00:27:26.678]  Of course.
[00:27:26.758 --> 00:27:31.300]  So tell us about the previous film and how it led to the new project.
[00:27:31.940 --> 00:27:40.343]  Well, we finished up What In The World Is Brain last year around this time and we started with this new film, The Great Calling, immediately after.
[00:27:40.363 --> 00:27:42.443]  So it's going great.
[00:27:42.523 --> 00:27:49.886]  We just finished up shooting the rest of the interviews and we're going to go into post and finish this up real quick.
[00:27:50.706 --> 00:28:01.130]  What got us really going into the Great Culling, we did, once what in the world of the spraying was completed, we kept hearing these, the resonation of heavy metal contamination in the air.
[00:28:01.751 --> 00:28:09.354]  And we were doing research with the water as well, and the fluoride, and again we keep hearing these, the aluminum kept resonating.
[00:28:09.914 --> 00:28:12.095]  And it's what got us going with the Great Culling.
[00:28:12.115 --> 00:28:16.977]  Because with the Great Culling, in addition to the air, we're also looking at the water, as well as the food.
[00:28:17.117 --> 00:28:18.698]  So our three essential
[00:28:19.998 --> 00:28:21.139]  Thanks for having me.
[00:28:35.052 --> 00:28:48.002]  Certainly, and you're covering stuff like fluoride, you're covering all the stuff in the vaccines and really kind of the modern way of life where cancer is almost an expectation or a one out of several kind of deal.
[00:28:48.622 --> 00:28:50.103]  So what are you guys finding?
[00:28:50.283 --> 00:28:53.746]  Are there important tie-ins with political dimensions?
[00:28:53.786 --> 00:28:57.629]  Does it relate back to this geoengineering plan you've covered so extensively?
[00:28:58.935 --> 00:29:10.823]  I mean, politics does play a role, what we're learning, because at first we weren't completely sure whether or not, you know, this is a big accident or whether there's some design involved here, and that's one thing that we wanted to uncover.
[00:29:11.643 --> 00:29:12.644]  And we have.
[00:29:13.164 --> 00:29:18.768]  We're finding the deeper we go down the rabbit hole that, you know, there is deceit that is taking place.
[00:29:20.689 --> 00:29:26.474]  As far as the, you mentioned vaccinations, that was what really got us going.
[00:29:28.536 --> 00:29:32.079]  Personally, myself, it was seeing these children who were being injured.
[00:29:32.939 --> 00:29:38.604]  I believe back in 1983, it was when the vaccination schedule went from 10 to 36.
[00:29:38.784 --> 00:29:42.948]  I believe it's now 60-something that the kids are taking.
[00:29:43.968 --> 00:29:50.512]  And it wasn't until 1986 that the National Childhood Vaccine Injury Act was put into place.
[00:29:51.032 --> 00:29:55.275]  What bothered me the most with that act was that it didn't look at the injured.
[00:29:55.475 --> 00:29:58.757]  What it did was protect the manufacturers.
[00:29:59.457 --> 00:30:05.539]  So there you have that, you know, corporation is being looked after prior to the people.
[00:30:06.519 --> 00:30:16.922]  It wasn't until 1988 that the actual Vaccine Injury Compensation Program was created, where they actually started looking at the injured and compensating them.
[00:30:17.022 --> 00:30:25.024]  So, and that right there, just, you know, if you look at the timelines from 83 to 86, it's a three-year period, I mean, when they increased the schedule.
[00:30:27.144 --> 00:30:35.568]  A perfect amount of time to see what's taking place with these 36 new shots as far as children now showing up on the autistic spectrum.
[00:30:38.149 --> 00:30:44.271]  Like I said, what bothered me the most was that they went after protecting the corporations, the manufacturers, prior to looking at the injured.
[00:30:45.152 --> 00:30:47.293]  It was that fuel that really kind of got me up.
[00:30:48.113 --> 00:30:49.554]  I've always been that kind of person.
[00:30:50.874 --> 00:30:52.975]  I find myself sticking up for other people.
[00:30:54.536 --> 00:30:55.656]  Sometimes people I don't even know.
[00:30:55.676 --> 00:31:00.338]  I can't stand bullies or that sort of thing.
[00:31:00.378 --> 00:31:08.262]  I found myself throughout my life fighting battles that weren't even mine just for people who weren't able to fight them themselves and here we are today.
[00:31:09.224 --> 00:31:09.424]  Yeah.
