[00:00:17.662 --> 00:00:18.942]  My name is Ben Livingston.
[00:04:05.692 --> 00:04:07.674]  Yeah, I did these for about seven years.
[00:04:07.894 --> 00:04:08.875]  You fly them all, huh?
[00:04:10.576 --> 00:04:11.077]  That's neat.
[00:04:11.217 --> 00:04:13.539]  And these were our own airplanes.
[00:04:14.439 --> 00:04:17.862]  The airplanes I had in my commercial flight team business.
[00:04:20.364 --> 00:04:20.564]  See?
[00:04:21.925 --> 00:04:28.571]  I had a Duke, a turbocharged Duke of course, and a Cessna 310 and a turbo 210.
[00:04:29.211 --> 00:04:32.534]  And we built the flares that built them into the wings of our airplanes so that they
[00:04:33.453 --> 00:04:35.796]  We're good to go!
[00:04:52.034 --> 00:04:56.395]  A pair, or cut in half in two, or cut in three pieces, or cut in five pieces.
[00:04:56.895 --> 00:05:05.417]  So you can see obviously here, although these are dispensed in the vertical, they are essentially a horizontal cloud seeding device.
[00:05:06.798 --> 00:05:14.980]  That's how we made these clouds like in Vietnam work, because we could take a cloud, take a pyrotechnic like this,
[00:05:15.896 --> 00:05:23.301]  It had a little bitty piece in it and would fly by and just barely, just barely touch the cloud with one part.
[00:05:23.961 --> 00:05:28.964]  So, that kept from blowing the thing apart, blowing the cloud up.
[00:05:30.806 --> 00:05:44.074]  But what we would do, like in Carla or Rita, those kind of clouds, we would maybe use, this is just one, this is one cloud seeding device here, cut into five pieces.
[00:05:45.931 --> 00:05:59.136]  One like this, you may be flying 350 miles an hour, kicking one out every two or three hundred meters and just essentially seed the whole area on the horizontal and the whole top will blow away.
[00:05:59.156 --> 00:05:59.537]  Amazing.
[00:06:00.997 --> 00:06:06.539]  We were the first ones to fly into hurricanes for the purpose of modifying them, if you will.
[00:06:06.559 --> 00:06:07.960]  That was Project Storm Fury.
[00:06:08.700 --> 00:06:15.463]  I began to be extremely confident that we could do about what we wanted to with a hurricane.
[00:06:16.383 --> 00:06:26.388]  Project Stormfury had been going on since 1961, and they had already done, or had done two experiments, one in 61 and 63.
[00:06:26.849 --> 00:06:40.736]  Well, by 1964, when I was there in 1964, I wrote the plan and started to have them track an emission for every flight that was on the hurricane cloud seeding experiments.
[00:06:41.457 --> 00:06:43.998]  So we had documentation for everything.
[00:06:44.904 --> 00:06:47.145]  Operations at Project Stormfury are very positive.
[00:06:47.606 --> 00:06:55.310]  This report said that we claim they should consider now if a hurricane heads straight towards Miami.
[00:06:56.410 --> 00:07:01.873]  Some wanted to continue hurricane reductions and the other part did not want to.
[00:07:02.574 --> 00:07:12.519]  It was a political football and there are people that were wanting to do more pure research and less application engineering wanted to kill Project Stormfury.
[00:07:13.100 --> 00:07:23.142]  So they built up an artificial barrier that prevented hurricanes from ever qualifying to be experimented or seeded for damage reduction.
[00:07:23.922 --> 00:07:40.246]  NOAA research people came up with data that suggested that if a hurricane went through a certain little geographical area, there was no history in a hundred years that a hurricane had been through that area and ever reached land.
[00:07:40.946 --> 00:07:42.286]  So they made a requirement
[00:07:43.186 --> 00:07:53.912]  That the storm must go through this area of improbability before it would qualify for hurricane damage reduction attention.
[00:07:54.193 --> 00:08:12.884]  So after about 10 years, no hurricanes went through there, and the people, that is the scientists who didn't want to spend money on aircraft reconnaissance, decided, well it's just too expensive, we can't wait any longer, so they killed the project altogether.
[00:08:13.616 --> 00:08:21.759]  I am terribly disappointed that the government has decided a long time ago not to do the hurricane damage reduction anymore.
[00:08:22.819 --> 00:08:40.625]  They can talk about the scientifically rigorous data, the inability of civilian aircraft and so forth to collect this data, and poo-poo the empirical, I mean to say the observations you
[00:08:41.124 --> 00:08:46.086]  That you make just by looking out the window or watching your instruments, saying it has no value.
[00:08:47.527 --> 00:08:52.629]  In order to change the weather and know that you're changing it, you must have implementation or document it.
[00:08:53.229 --> 00:08:59.692]  So my line of business really was to design and make equipment that would document changes in the weather.
[00:09:02.293 --> 00:09:07.295]  You take a cloud that Mother Nature or God has provided and you alter that cloud.
[00:09:08.148 --> 00:09:14.493]  Well, the reason the cloud doesn't expand on its own, in most cases, is the fact that there's a lot of moisture, but there's no nuclei.
[00:09:14.533 --> 00:09:16.835]  There's nothing for the moisture to stick to.
[00:09:17.656 --> 00:09:30.087]  So, when you provide the silver iodide nuclei, it causes the water to coalesce to that nuclei, and when it does, it releases heat, which means everything starts to rise.
[00:09:31.238 --> 00:09:39.523]  If you produce enough nuclei at the right places in a cloud, there's essentially no limit to how fast and how far it'll grow.
[00:09:39.543 --> 00:09:43.305]  Because it just keeps releasing heat as it goes up.
[00:09:43.786 --> 00:09:45.607]  And of course the heat keeps trying to rise.
[00:09:46.767 --> 00:09:54.712]  So the nuclei, it's very small and they're put off by these flares, but then water starts attracting to it and then it builds condensation.
[00:09:54.892 --> 00:09:59.315]  Well, you put out a gene of these, put out a gene of these
[00:10:01.491 --> 00:10:02.711]  Silver iodide nuclei.
[00:10:03.772 --> 00:10:04.752]  And they attract water.
[00:10:05.212 --> 00:10:06.372]  They just sponge it up.
[00:10:06.512 --> 00:10:13.354]  But when they do, that water condenses and it releases what they call the late heat of condensation.
[00:10:13.394 --> 00:10:14.414]  The heat goes out of it.
[00:10:15.234 --> 00:10:16.774]  And the whole thing starts rising.
[00:10:17.574 --> 00:10:29.237]  If you're in the business of trying to kill clouds, then of course you go up to the area where there are some vertical shear, the wind blowing some direction or other.
[00:10:29.818 --> 00:10:34.080]  And you provide the nuclei at a level above where the raindrops are.
[00:10:34.820 --> 00:10:42.343]  They are then so light that the wind, vertical shear, merely blows the top of the cloud away.
[00:10:42.743 --> 00:10:46.905]  Then there's no place for the coalescence or the nucleation to take place.
[00:10:47.705 --> 00:10:58.910]  Well, the Joint Chiefs of Staff had been wishing for quite some time, in terms of years, that they had some way of slowing the truck down in Vietnam.
[00:10:59.434 --> 00:11:05.799]  That led me to advise the Joint Chiefs of Staff that we had a potential weapon system.
[00:11:06.500 --> 00:11:19.651]  And so I was asked to start to put together a top-secret operation to go to Vietnam to see if we couldn't make it rain more over there as a military operation.
[00:11:20.052 --> 00:11:26.157]  All the roads over there were dirt roads and when it rained it caused a lot of problems.
[00:11:27.005 --> 00:11:34.149]  So that during the monsoon season, there was so much rain and water in the roads that the trucks really couldn't move very freely.
[00:11:35.370 --> 00:11:39.893]  Our mission was to make it rain during the dry season.
[00:11:40.533 --> 00:11:44.116]  On that particular day, the clouds were very small.
[00:11:44.256 --> 00:11:47.438]  There just weren't any real big thunderstorms or anything like that.
[00:11:49.879 --> 00:11:56.243]  But I picked a cloud that was sitting out essentially by itself with a number of small clouds
[00:11:56.724 --> 00:12:02.669]  I'm talking about clouds at two stops or somewhere near the freezing level but not high enough to really grow.
[00:12:03.369 --> 00:12:10.414]  And I nurtured one of those clouds until it finally got it well past the freezing level.
[00:12:10.975 --> 00:12:15.158]  And then the cloud developed a lot of convective activity and it started sucking clouds into it.
[00:12:15.939 --> 00:12:18.020]  Just building up and building up.
[00:12:18.501 --> 00:12:20.662]  And I took a series of pictures where I called the 41 minutes.
[00:12:22.626 --> 00:12:29.290]  By the end of 41 minutes, we had flown up to over 65,000 feet and we still couldn't reach the top of the cloud.
[00:12:29.971 --> 00:12:31.772]  So we knew we had a barn burner there.
[00:12:32.392 --> 00:12:44.460]  And by the next morning, we had washed out everything in the world and did a lot of damage to people and all that sort of thing, but it was a real success as far as blocking the roads off.
[00:12:44.780 --> 00:12:51.384]  With just two of us involved, myself and a civilian, but we conducted that operation with aircraft
[00:12:51.877 --> 00:12:58.839]  Military aircraft, mostly from the Marine Corps, and then shortly thereafter we started involving the U.S.
[00:12:58.919 --> 00:12:59.359]  Air Force.
[00:13:00.280 --> 00:13:09.803]  Well, we actually began the 3rd or 4th of September, and by the 13th of October, we had a couple of storms that had actually washed out bridges.
[00:13:10.683 --> 00:13:19.866]  And the results were so successful until I was called down to Saigon to bring the generals, the Air Force generals, the Army generals down there,
[00:13:20.580 --> 00:13:26.225]  And they suggested that I need to go make this report to President Johnson back in Washington, D.C.
[00:13:26.505 --> 00:13:32.670]  They were excited about it, but they had no authorization, if you will, to use this as a military weapons system.
[00:13:33.631 --> 00:13:38.635]  I was there in very top secret classification as a research project.
[00:13:39.555 --> 00:13:47.982]  That's the way we were able to conduct the mission without the international community, if you will, being apprised of what we were doing and how we were doing it.
[00:13:48.282 --> 00:13:50.304]  It was kept top secret for a long time.
[00:13:51.147 --> 00:13:53.828]  It was first reported that this was going on in 1972.
[00:13:54.348 --> 00:13:57.629]  That's the first time the Congress ever heard about it.
[00:13:58.510 --> 00:14:04.432]  So, as you can see, it was not something everyone knew about for a long time.
[00:14:05.452 --> 00:14:06.392]  It must feel good, though.
[00:14:06.432 --> 00:14:07.433]  You're the father of something.
[00:14:07.473 --> 00:14:09.373]  You used weather weapons first.
[00:14:11.314 --> 00:14:13.415]  And for all we know, is that the only time they've been used?
[00:14:13.975 --> 00:14:16.696]  Well, that same project went on through 1972 when we got out of Vietnam.
[00:14:20.643 --> 00:14:22.184]  But the Air Force was still doing it.
[00:14:22.844 --> 00:14:24.024]  Was it only used in Vietnam?
[00:14:24.064 --> 00:14:24.845]  Never anywhere else?
[00:14:24.985 --> 00:14:25.945]  No, it's the only place ever.
[00:14:27.206 --> 00:14:29.987]  We've had no requirements for it anywhere else that I can think of.
[00:14:32.188 --> 00:14:33.688]  But it could be used anywhere.
[00:14:34.889 --> 00:14:36.690]  Did you ever do any testing in the U.S.?
[00:14:37.230 --> 00:14:37.570]  Did I?
[00:14:38.370 --> 00:14:39.651]  Oh yeah, a lot, yeah.
[00:14:40.511 --> 00:14:41.732]  You were the head of what base?
[00:14:42.012 --> 00:14:43.872]  You were the head of an acting commander of what base?
[00:14:43.973 --> 00:14:47.574]  I was the acting commanding officer at the Corona Naval Weapons Research Center.
[00:14:49.343 --> 00:14:51.584]  And they worked on a lot more there than just weather weapons, didn't they?
[00:14:51.784 --> 00:14:52.405]  Yes, they do.
[00:14:52.425 --> 00:15:03.690]  But my main contribution at Corona was to write a plan for weather modification control for the whole world at any given time.
[00:15:04.591 --> 00:15:14.876]  We could send a number of airplanes with the materials and dispensing equipment we had and probably control the weather all the way around the world.
[00:15:15.656 --> 00:15:15.796]  Why?
[00:15:15.816 --> 00:15:19.178]  Because you said it's on several major, seven major front lines?
[00:15:19.602 --> 00:15:33.125]  Well, there are only from five to seven major troughs around the world at any given time, and they undulate just like ocean waves move back and forth and back and forth.
[00:15:35.066 --> 00:15:39.867]  And at any time, there's a front associated with those where all the thunderstorms are located.
[00:15:40.967 --> 00:15:47.209]  And with having a few airplanes, a couple of airplanes at the right place, you could run down that
[00:15:47.881 --> 00:15:50.423]  That line of thunderstorms and do whatever you want to do with them.
[00:15:51.804 --> 00:16:00.730]  This is out of the June 1974 Science Magazine.
[00:16:06.314 --> 00:16:10.697]  And this article was actually written in 19... Well, it says it was written in 1974.
[00:16:10.737 --> 00:16:11.278]  Yeah, it was.
[00:16:11.298 --> 00:16:11.278]  1974.
[00:16:11.318 --> 00:16:12.219]  This is when the Senate
[00:16:20.731 --> 00:16:24.314]  Got wind that something had been going on in Vietnam that they didn't know about.
[00:16:25.175 --> 00:16:26.256]  And they wanted to know about it.
[00:16:27.037 --> 00:16:30.460]  Well, it's interesting to note that this project ended in 1972.
[00:16:30.580 --> 00:16:33.002]  It started in 1966.
[00:16:33.983 --> 00:16:36.965]  So you can see the secrecy.
[00:16:38.387 --> 00:16:44.192]  Senator Pale, was the kind of aggressive senator about people doing things the Senate didn't know about.
[00:16:44.813 --> 00:16:46.974]  He got wind of it, and he asked for a briefing.
[00:16:47.194 --> 00:17:04.883]  And Colonel Satcher, I believe his name was, may have been something else, but an Air Force colonel gave him a briefing, gave his committee a briefing, and told them it had been going on in a research configuration from 1966 to the present time.
[00:17:05.404 --> 00:17:08.185]  President Johnson was very mild.
[00:17:09.306 --> 00:17:13.868]  It turned out that he had known my father.
[00:17:14.608 --> 00:17:28.572]  So we had a little old homecoming there for just a few minutes and then he asked me what I was doing and told me he had read and been briefed on what we were doing and how we were doing it and he asked me my opinion of it and asked if I thought that we could continue that.
[00:17:29.032 --> 00:17:44.397]  I said, well, I see no reason why we can't continue it because we'll have the same kind of weather coming up again in March of next year and we can seed and make rain right into the monsoon system and we can then extend the monsoon system
[00:17:45.409 --> 00:17:49.330]  Well, perhaps it's August in to maybe the first week in November.
[00:17:50.890 --> 00:18:08.614]  He didn't say a whole lot about it, except he thought it was real weird, if you will, that people could take a little weather modification and change the whole climate of the country.
[00:18:09.834 --> 00:18:14.675]  When I came back to the States, where I had time to do something
[00:18:15.933 --> 00:18:29.398]  As far as weather modification is concerned, I went back to my duties, if you will, as being the military member of the Project Storm Fury Advisory Committee.
[00:18:30.239 --> 00:18:33.340]  Without getting anything classified, can you tell us about some of the tests you did in China Lake?
[00:18:33.380 --> 00:18:41.563]  Well, of course, in China Lake, we had different manufacturers of these cloud-cheating devices.
[00:18:42.883 --> 00:18:44.044]  We had different yields.
[00:18:45.668 --> 00:18:49.833]  We had different burn times on how fast we wanted to put all this nuclei out.
[00:18:50.293 --> 00:18:52.135]  And so we tested all those things at China Lake.
[00:18:53.256 --> 00:18:56.340]  We'd pick a cloud out in the middle of the desert out there.
[00:18:56.360 --> 00:18:59.643]  We had 100 miles test range out there that belonged to the weapons center.
[00:19:00.264 --> 00:19:02.646]  And we'd just pick a thunderstorm and go do what we wanted to do with it.
[00:19:05.629 --> 00:19:18.800]  We had all the latest state-of-the-art equipment in a number of airplanes, and we also had aircraft equipped with dispensing equipment to put sero-iodide into a hurricane.
[00:19:19.680 --> 00:19:32.931]  The hypothesis for how to do this had been designed and developed by Dr. Joanne Simpson, and her husband, Dr. Robert Simpson, was the director of Project Storm Theory for a number of years.
[00:19:33.837 --> 00:19:57.747]  And we followed her hypothesis which said that if you seed enough clouds in a right front quadrant of a hurricane, where the energy cells are, you may build a second eye, or as a minimum make the original eye much bigger, which means you have a reduction in wind velocity.
[00:19:59.308 --> 00:19:59.928]  Tell us again,
[00:20:00.765 --> 00:20:03.906]  Mr. Livingston, Ben, just exactly who Mr. Simpson is?
[00:20:05.546 --> 00:20:14.008]  Dr. Simpson, at the time Project Stormfury started, he was the head of the United States Weather Bureau.
[00:20:15.648 --> 00:20:28.191]  With the funds being made available for Project Stormfury, they created a new department or new entity of government called the National Hurricane Research Center.
[00:20:29.079 --> 00:20:35.824]  And Dr. Simpson, Dr. Bob Simpson, was the director of that group.
[00:20:36.405 --> 00:20:37.125]  So he's preeminent.
[00:20:37.926 --> 00:20:38.847]  He is preeminent.
[00:20:39.047 --> 00:20:56.981]  And his wife Joanne, I attended a ceremony for her induction into the National Center for Atmospheric Research Laboratory Wall of Fame last summer, in which her name was placed on the wall
[00:20:57.842 --> 00:21:02.303]  One of the five preeminent scientists in the nation in the 20th century.
[00:21:03.164 --> 00:21:10.266]  That's his wife Joanne, who was the head of Project Stormfury for the two years I worked with her for those two years.
[00:21:10.486 --> 00:21:13.147]  And they're saying right here that this is conclusive.
[00:21:13.587 --> 00:21:17.508]  So why aren't we saving people hundreds of billions of dollars and thousands of lives?
[00:21:17.868 --> 00:21:18.988]  This needs to be implemented.
[00:21:19.649 --> 00:21:27.411]  This book, Hurricane Watch here, is very important because it's written by a person who's a former director of the National Hurricane Center.
[00:21:28.257 --> 00:21:32.300]  So he's had world experience in researching these things.
[00:21:32.860 --> 00:21:39.964]  And I might add that I took Dr. Bob Sheets on his first airplane ride into a hurricane in 1964.
[00:21:45.067 --> 00:21:57.355]  But he has documented a number of things that are important to the subject we're talking about, in which he's described every storm, the background to those storms, what was done to them,
[00:21:57.904 --> 00:21:58.565]  And the results.
[00:22:00.386 --> 00:22:06.030]  He's also described Dr. Bob Simpson.
[00:22:06.070 --> 00:22:14.976]  He says, all in all, Bob Simpson undoubtedly has had more impact on hurricane research and forecasting than any other single person.
[00:22:16.457 --> 00:22:23.702]  And I might add, the second most important person in this direction, or this field, is his wife, Dr. Joanne Simpson.
[00:22:24.878 --> 00:22:29.881]  Ben, what do you say to the folks that say, oh, well, if you mess with a hurricane, that might cause some unintended consequence?
[00:22:32.243 --> 00:22:34.604]  You know, as if that energy has to go somewhere.
[00:22:34.644 --> 00:22:36.746]  Doesn't it just dump into the ocean as cold water?
[00:22:37.726 --> 00:22:39.688]  It may just spread out and go across the ocean.
[00:22:41.209 --> 00:22:44.050]  It may not go anywhere where anyone cares.
[00:22:44.791 --> 00:22:50.915]  And there's certainly going to be, if there are going to be unintended consequences, you would know within an hour.
[00:22:51.555 --> 00:22:54.197]  If you conceded a hurricane, you would know.
[00:22:55.049 --> 00:22:59.391]  That something is not going right, we have to do something different before it causes damage.
[00:22:59.471 --> 00:23:01.592]  So you'd have days to be adjusting?
[00:23:02.233 --> 00:23:03.153]  You'd have days.
[00:23:03.173 --> 00:23:06.054]  The way we planned on doing it, we'd only have two days.
[00:23:06.715 --> 00:23:07.575]  We'd only work on a hurricane.
[00:23:07.595 --> 00:23:11.437]  Well this is a pretty exact science now, from Vietnam to the hurricanes you did earlier.
[00:23:11.737 --> 00:23:13.598]  Seems like you guys know how to knock them out.
[00:23:14.138 --> 00:23:19.541]  Well, for the operation we hoped to get last fall, I wrote a flight plan for every flight.
[00:23:21.142 --> 00:23:23.563]  How far they would go, how many part-takers they would take,
[00:23:24.872 --> 00:23:29.455]  And statistically, how many nuclei they need to dispense.
[00:23:29.615 --> 00:23:31.576]  How many tons of nuclei would it have taken?
[00:23:31.596 --> 00:23:34.418]  You said two airplanes, but how many tons of nuclei would it have taken?
[00:23:34.438 --> 00:23:35.818]  How many airplanes to knock out Rita?
[00:23:36.299 --> 00:23:36.679]  Or Katrina?
[00:23:37.219 --> 00:23:40.741]  You don't measure these particles in terms of tons.
[00:23:41.622 --> 00:23:44.203]  You measure them in terms of half pounds.
[00:23:45.364 --> 00:23:49.166]  So a cloud seeding device with 14 grams of several iodide
[00:23:51.553 --> 00:23:55.614]  The composition of a hurricane may have dozens of energy cells in it, and they're like the pistons in an engine.
[00:23:55.634 --> 00:23:57.935]  They just chug, chug, chug.
[00:23:58.075 --> 00:24:02.736]  They get stronger and stronger and stronger because they feed off the warm air below them.
[00:24:20.140 --> 00:24:26.145]  And they eventually turn into this thing they call a hurricane with all these energy cells in it.
[00:24:26.746 --> 00:24:28.408]  We know where those energy cells are.
[00:24:29.208 --> 00:24:30.509]  We know what makes them tick.
[00:24:31.270 --> 00:24:43.141]  We have the materials, if you will, to alter those energy cells and decrease the maximum surface winds in a hurricane.
[00:24:44.142 --> 00:24:44.742]  On August 18th in 1969,
[00:24:47.981 --> 00:24:52.663]  Hurricane Debbie was seeded five times at two hour intervals.
[00:24:54.343 --> 00:25:00.345]  And the maximum wind speeds had decreased by 115 to 80 miles per hour.
[00:25:00.365 --> 00:25:07.167]  That's a pretty remarkable reduction of more than 45 percent in damage reduction potential.
[00:25:08.047 --> 00:25:16.870]  The cloud was left, the storm was left alone on the 19th and on the 20th went back and seeded that cloud the second time and decreased the winds again
[00:25:17.574 --> 00:25:24.896]  To just under 100 miles per hour are about 24% more damage reduction potential.
[00:25:25.577 --> 00:25:36.820]  The results from the Hurricane Debbie experiment seem so positive that many individuals believe the project should go operational, seeding major hurricanes that threaten land.
[00:25:37.520 --> 00:25:45.343]  A team of scientists at Stanford Research Institute at Stanford University did a decision analysis on all past seeding events
[00:25:46.221 --> 00:25:52.342]  Including the ESTER, that's the 1961 and 1963 experiments.
[00:25:52.762 --> 00:26:03.264]  Dr. James Matheson of that group, reflecting their views, stated, we claim they should consider seating down if a big hurricane comes straight from Miami.
[00:26:04.344 --> 00:26:15.366]  These scientists said the government may have to accept responsibility for not seating and thereby exposing the public to higher probabilities of severe storm damage and possible higher
[00:26:15.888 --> 00:26:16.528]  Death tolls.
[00:26:18.449 --> 00:26:27.651]  A number of people, scientists if you will, who didn't necessarily endorse applications engineering in these storms.
[00:26:27.691 --> 00:26:30.912]  They thought they needed more scientific data.
[00:26:31.652 --> 00:26:37.293]  They demanded that a third party investigate all of what Storm Fury had done.
[00:26:37.993 --> 00:26:40.614]  Stanford University was the party
[00:26:41.206 --> 00:26:45.587]  Well, the institution that did this study of the activity Project Storm Theory had done.
[00:26:46.128 --> 00:26:58.092]  In summary, the results of the Hurricane Deb experiments seemed so positive that many individuals believed the project should go operational, seeding major hurricanes that threatened any landmass.
[00:26:58.692 --> 00:27:07.695]  And a team of scientists at Stanford Research Institute did a decision analysis on all past seeding events
[00:27:08.661 --> 00:27:11.984]  Including the ones in 1961-1963.
[00:27:12.564 --> 00:27:33.040]  And Dr. Matheson from Stanford University, the head of the Research Institute, reported that the government may have to accept the responsibility for not seeding and thereby exposing the public to higher probabilities of severe storm damage and possible higher death tolls.
[00:27:33.985 --> 00:27:39.770]  It's interesting that we were able to do that and have the results confirmed by Stanford University in 1969.
[00:27:40.691 --> 00:27:52.462]  Since 1947, the government has used the excuse, has used the logic or reasoning that liability is the killer for weather modification.
[00:27:52.942 --> 00:27:58.708]  But that's not why I thought a storm period was killed, and that's not why they aren't doing it now.
[00:28:00.083 --> 00:28:23.602]  In my opinion, the reason they're not doing it is well stated by a very senior official from the National Center of Atmospheric Research at Boulder, Colorado, and he says, Even if a well-supported theory of hurricane modification existed, the potential legal aspects of weather modification on this scale argue strongly, in my opinion, against any such efforts.
[00:28:24.423 --> 00:28:35.089]  Just a few of the many possibilities include, A, the storm is not modified at all, but some people perceive that it is, get hurt, and sue the modifiers.
[00:28:35.869 --> 00:28:50.657]  The storm is modified according to theory, but still does not significantly damage, does significant damage, and some people blame the modification on the damage, even though the modification actually reduced the overall damage and impact.
[00:28:51.718 --> 00:28:52.078]  And third,
[00:28:52.625 --> 00:28:58.968]  The modified storm produced winners and losers, and the perceived losers sued.
[00:28:59.849 --> 00:29:04.431]  For example, what if soon after the seeding, the hurricane abruptly changed course?
[00:29:04.832 --> 00:29:06.513]  This happens all the time in nature.
[00:29:07.853 --> 00:29:14.977]  The people affected by the new course might well blame the modification effort and sue.
[00:29:15.497 --> 00:29:21.661]  Yeah, if you study the situation, you may learn, and very diabolically so,
[00:29:22.892 --> 00:29:39.559]  You don't like to believe this, but there's a possibility and the economics of it verifies the fact that there is so much damage done that the construction industry in general all over the United States benefits because the cost of material goes up.
[00:29:40.399 --> 00:29:46.882]  So the insurance company may or may not gain from having these damage reductions take place.
[00:29:47.563 --> 00:29:50.804]  As far as the energy industry is concerned,
[00:29:51.693 --> 00:29:56.777]  We all know that they get their money back almost immediately by increasing the price of their product.
[00:29:57.717 --> 00:30:07.744]  And it's not unheard of to believe that the actions performed by FEMA or the government is not a surefire way to buy votes.
[00:30:08.425 --> 00:30:19.032]  So there may not be any political or economic motivation on the government or some major industry's part to reduce the damage from hurricanes.
[00:30:20.250 --> 00:30:26.294]  The material that we put in the atmosphere are not toxic.
[00:30:28.135 --> 00:30:31.297]  And by volume, they're nothing.
[00:30:33.238 --> 00:30:40.363]  It's my contention that we have a sure defense against those liability lawsuits.
[00:30:42.904 --> 00:30:48.768]  We place in our seeding materials a trace element
[00:30:49.286 --> 00:31:14.695]  of zinc or some other exotic material so that any rainfall that falls that uses our nuclei to cause the rainfall or the hail, whatever comes out of it, all they need to do is collect some of that water, find some of our traces of some of our material, and we would then concede that we had something to do with it.
[00:31:16.209 --> 00:31:27.735]  And the other, of course, good defense is that we've had such horrendous hurricanes the last several years without any weather modification in the past 30, 35 years.
[00:31:28.495 --> 00:31:31.677]  You sure can't blame a weather modifier for causing damage.
[00:31:31.937 --> 00:31:35.919]  The other governments are using weather control for many purposes.
[00:31:36.719 --> 00:31:46.004]  And Indonesia, for instance, Canada, Turkey, Greece, Russia, they're all using weather control to their benefit.
[00:31:46.932 --> 00:31:47.532]  And we aren't.
[00:31:48.553 --> 00:31:55.397]  Well, for several years the Russians have had weather control product as one of their national goals.
[00:31:55.857 --> 00:32:06.963]  They're using weather control primarily to protect the large sites, or the sites where large numbers of people are congregating for a celebration.
[00:32:07.623 --> 00:32:14.707]  So, such as in Moscow or Stalingrad, when they have these big military events there, or parades, so forth.
[00:32:15.305 --> 00:32:21.948]  They bring their cloud seeding people in and their objective is to keep it from raining or to knock the clouds down.
[00:32:23.028 --> 00:32:24.669]  It's not just the Russians that do that.
[00:32:25.929 --> 00:32:28.671]  Our company, for instance, does the same thing in Calgary every summer.
[00:32:30.291 --> 00:32:38.415]  The idea is to keep the hailstorm and the heavy rain down so that the construction business can flourish.
[00:32:38.835 --> 00:32:44.317]  It's a contract we've had for nine years and every summer
[00:32:44.810 --> 00:32:58.438]  We send two airplanes up there, or whatever it takes, and their only mission is to prevent hail and keep weather from doing damages in the city limits of Calgary.
[00:32:58.858 --> 00:33:00.179]  You've obviously been successful.
