[00:00:22.150 --> 00:00:28.152]  Welcome, ladies and gentlemen, to this Friday, December 2nd, 2011 InfoWars Nightly News Broadcast.
[00:05:04.502 --> 00:05:08.545]  Law professor Edward Fallon told reporters you can't put a price on the First Amendment.
[00:05:08.865 --> 00:05:13.508]  He's a little skeptical or it's supposed to be a fundamental right never to be violated.
[00:05:13.548 --> 00:05:14.329]  Just disgusting.
[00:05:15.769 --> 00:05:20.851]  Of course, the indefinite detention bill passed 93 to 7 in the Senate.
[00:05:21.171 --> 00:05:23.071]  Similar version in the House has gone through.
[00:05:23.091 --> 00:05:24.272]  They have to reconcile it.
[00:05:25.752 --> 00:05:28.753]  The Senate last night codified into law the power of the U.S.
[00:05:28.813 --> 00:05:38.055]  military to indefinitely detain an American citizen with no charge, no trial, and no oversight whatsoever in the passage of S.
[00:05:38.075 --> 00:05:40.816]  1867, the National Defense Authorization Act.
[00:05:41.416 --> 00:05:44.217]  And though the White House has threatened to veto this bill,
[00:05:44.697 --> 00:05:52.063]  The fact that the Obama administration's lawyers yesterday reaffirmed their backing for state-sponsored assassination of U.S.
[00:05:52.083 --> 00:06:06.635]  citizens would suggest otherwise, and of course there are a number of executive orders and precedents of executive overreach which already have many aspects of this on the book, but the idea of passing this legislation is of course nightmarish.
[00:06:07.036 --> 00:06:13.001]  Paul Joseph Watson has also uncovered an even worse amendment in this bill which was narrowly defeated
[00:06:13.941 --> 00:06:21.064]  This amendment would have made the Senate bill give it allowance to detain Americans even after they had been found innocent.
[00:06:21.704 --> 00:06:26.266]  The details of that report are up on Infowars.com and PrisonPlanet.com.
[00:06:26.486 --> 00:06:31.008]  But before you go to those websites, I do want to draw attention to a little bit of the details.
[00:06:31.068 --> 00:06:36.130]  Amendment number 1274 would have given the federal government the power to detain
[00:06:36.650 --> 00:06:36.870]  U.S.
[00:06:36.910 --> 00:06:44.017]  citizens until Congress declared the War on Terror over, which we've been told is a never-ending multi-generational conflict.
[00:06:44.377 --> 00:06:51.303]  The provision also gave the feds the power to keep an American incarcerated even if it were tried and found not guilty.
[00:06:51.704 --> 00:06:56.188]  So much monstrous legislation coming through this larger National Defense Act.
[00:06:56.228 --> 00:07:00.872]  Of course, Alex Jones and many other patriots have cried shame over it.
[00:07:01.192 --> 00:07:07.887]  But are ordinary Americans even paying any attention to it at all with Black Friday and the holiday season underway?
[00:07:08.408 --> 00:07:10.232]  To find out, we went to Darren McBreen.
[00:07:13.888 --> 00:07:17.491]  The National Defense Authorization Act empowers the U.S.
[00:07:17.551 --> 00:07:20.213]  military to operate on American soil.
[00:07:20.514 --> 00:07:25.678]  They can arrest American citizens and cart them off to detention centers anywhere in the world.
[00:07:26.018 --> 00:07:34.965]  Basically turning the entire homeland into a battlefield and allowing the military to arrest individuals and detain them indefinitely without trial.
[00:07:35.126 --> 00:07:42.532]  Now this violates every aspect of a free society by denying Americans their constitutionally protected right to due process.
[00:07:43.854 --> 00:07:45.996]  How do you think the average American is going to respond?
[00:07:46.756 --> 00:07:56.843]  The same way they responded at the Kent State Massacre, when National Guard troops were used to fire live ammunition on students who were non-violently protesting the Vietnam War.
[00:07:57.684 --> 00:07:59.285]  The American public was outraged.
[00:07:59.405 --> 00:08:04.388]  The military is here to defend us, not to prosecute us and arrest us and throw us in jail.
[00:08:04.448 --> 00:08:06.390]  I think it's a sneak attack by Congress.
[00:08:07.008 --> 00:08:10.389]  People to, you know, counter the movement on Wall Street.
[00:08:10.449 --> 00:08:15.931]  These people are saying that the passing of the bill, basically it means to them that the Rubicon has been crossed.
[00:08:16.551 --> 00:08:23.493]  That this means America will become complete, and possibly irreversible, a totalitarian military state.
[00:08:23.713 --> 00:08:26.594]  Well then our only hope is some defective armed force members.
[00:08:26.614 --> 00:08:36.097]  I think that's our only chance, is the military needs to enforce our constitution and our congressmen are trampling over the rules that were established over 200 years ago.
[00:08:37.723 --> 00:08:40.505]  And that's the whole problem.
[00:08:40.525 --> 00:08:44.427]  There's too much corruption in the executive branch and in the congressional.
[00:08:44.828 --> 00:08:50.531]  What would you say to active military who might be told to enforce this bill?
[00:08:51.191 --> 00:08:55.734]  Listen, I'm a veteran of the United States Army, 31 uniform, airborne.
[00:08:55.754 --> 00:08:57.095]  I'll tell you what.
[00:08:57.816 --> 00:09:03.259]  Very simply, we take an oath to protect this country from threats both foreign and domestic.
[00:09:03.766 --> 00:09:04.586]  It's not good.
[00:09:04.646 --> 00:09:08.307]  It's not healthy for our democracy, for the American army to be involved.
[00:09:08.648 --> 00:09:14.009]  For those people who say that, oh, it could never happen here, it could never happen to us, those are called the famous last words.
[00:09:14.549 --> 00:09:20.851]  Many times throughout history, situations have happened where governments have turned their military against its citizens.
[00:09:21.071 --> 00:09:21.472]  You know what?
[00:09:21.572 --> 00:09:22.612]  History repeats itself.
[00:09:23.152 --> 00:09:25.293]  If that eventuality does happen,
[00:09:26.373 --> 00:09:32.837]  You have to remind yourself that these are your brothers and sisters and neighbors and people you went to school with.
[00:09:34.298 --> 00:09:35.659]  Remember what you're truly fighting for.
[00:09:35.879 --> 00:09:41.082]  It's for our Constitution, not for these puppets who are actually our servants who have run amok.
[00:09:41.423 --> 00:09:53.210]  Now, Stuart Rhodes, the founder of Oath Keepers, recently appeared on the InfoWars Nightly News and he warned people that we are now at the point where all that will save liberty in America is another American Revolution.
[00:09:53.769 --> 00:09:57.791]  But really, you should see this as a declaration of war against the American people.
[00:09:58.091 --> 00:09:59.011]  That's how we should see it.
[00:09:59.031 --> 00:10:00.452]  We need to stop this right now.
[00:10:00.812 --> 00:10:05.514]  If we don't, Alex, I do believe that there will be no recourse except another revolution.
[00:10:05.894 --> 00:10:07.435]  Otherwise, we are going to be lost.
[00:10:07.475 --> 00:10:10.917]  We will be put in the same position as the founding fathers were in 1775.
[00:10:11.517 --> 00:10:13.518]  I want to tell the military and police
[00:10:14.198 --> 00:10:18.981]  The globalists are going to sit offshore and watch you get chewed up in a fight with the American people.
[00:10:19.721 --> 00:10:25.865]  It's very important that police and military really make a decision now which side they're going to be on.
[00:10:26.225 --> 00:10:27.286]  The military, you're right.
[00:10:27.346 --> 00:10:29.287]  Choose now whom you shall serve.
[00:10:30.267 --> 00:10:31.088]  Either you or...
[00:10:32.250 --> 00:10:33.852]  I'm talking to the military out there especially.
[00:10:33.953 --> 00:10:46.811]  Either you are a son of the Republic and you will defend the Bill of Rights and the Constitution, or you are a traitor to your country and you are nothing but a lowly dog, an obedient dog to the powers that be.
[00:10:46.871 --> 00:10:48.514]  Choose now whom you shall serve.
[00:10:50.626 --> 00:11:05.177]  There's a lot of constitutionalists out there who are in such an uproar that they're saying that this bill places us in almost exactly the same position that our forefathers were in when they were forced to take up arms in defense of liberty back in 1775.
[00:11:06.758 --> 00:11:17.187]  Well, to those people I would say it's a culmination of things that have put us in that position and I would agree that the architects, the great and highly intelligent
[00:11:17.967 --> 00:11:29.708]  Architects that constructed our infrastructure the way we do business and the way we do politics and the way we live here in America.
[00:11:30.680 --> 00:11:35.923]  They would turn over in their graves and they would be very ashamed of us and how far we've let this go.
[00:11:36.663 --> 00:11:45.888]  Indefinite detention without due process leaves citizens without the legal protection of the Constitution and it strikes at the very heart of the essence of U.S.
[00:11:45.968 --> 00:11:46.269]  law.
[00:11:46.689 --> 00:11:57.155]  It is positively shameful that any elected representative would even consider voting for such an assault on so sacred a fundamental value as the right to due process.
[00:11:58.015 --> 00:12:00.737]  I'm Darren McBreen for InfoWars Nightly News.
[00:12:02.218 --> 00:12:08.322]  And of course, John McCain is the one who introduced legislation in 2010 along very similar lines.
[00:12:08.402 --> 00:12:18.629]  Great report from Derny, obviously put a lot into it, but we don't do what the mainstream media does, interview 40, maybe 100 people and then show just the handful who fit in with our views.
[00:12:18.909 --> 00:12:25.554]  We're going to show you the other people who will accept any government power and probably even serve to enforce that undue power.
[00:12:25.594 --> 00:12:27.215]  Let's go to that side of the report now.
[00:12:27.759 --> 00:12:34.164]  What do you think is going to be the response of American citizens once they start seeing American troops on the street?
[00:12:34.765 --> 00:12:36.566]  I think that most people are going to be divided.
[00:12:36.787 --> 00:12:40.470]  I don't do anything wrong, so I don't have anything to fear, so I'm not afraid of the military.
[00:12:40.590 --> 00:12:44.273]  The military being on the streets of America, there's a new bill that's being passed.
[00:12:44.293 --> 00:12:45.594]  It's a great idea, I'm all for it.
[00:12:45.694 --> 00:12:48.617]  So you support to fight terrorism, military on the street?
[00:12:48.637 --> 00:12:49.417]  Of course, I do.
[00:12:49.778 --> 00:12:55.622]  So you think in order to fight terrorism that would make you feel a little safer seeing military on the street?
[00:12:56.103 --> 00:12:56.263]  Yeah.
[00:12:57.130 --> 00:13:06.079]  So I think the only people that are afraid of the military is people that commit crimes or, you know, that are in criminal organizations.
[00:13:07.967 --> 00:13:12.772]  And the combination of pure corruption and pure ignorance will be the death of this country.
[00:13:13.112 --> 00:13:24.003]  We're going to be back with a whole lot more after this, but just a quick reminder, you support us on this show, getting the word out with these hard-hitting reports by buying the subscriptions and the DVDs.
[00:13:24.423 --> 00:13:30.749]  But right now, for the holiday season, we have an incredible discount, $39.95 for the yearly prison plan subscription.
[00:13:30.769 --> 00:13:32.311]  You can share it with five other people.
[00:13:32.871 --> 00:13:39.716]  Or you can get it with 18 of Alex's DVDs and shiny packages to give out as gifts at Christmas or any other holiday.
[00:13:40.237 --> 00:13:43.599]  And we would appreciate that support and urge you to do so.
[00:13:43.980 --> 00:13:46.882]  Give information instead of plastic junk and everything else.
[00:13:47.162 --> 00:13:48.963]  We'll be back in a moment with a whole lot more.
[00:13:49.003 --> 00:13:49.464]  Stay tuned.
[00:13:52.932 --> 00:13:59.355]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:13:59.655 --> 00:14:00.535]  We've got the new G.I.
[00:14:00.576 --> 00:14:02.516]  Joe InfoWars t-shirts.
[00:14:02.877 --> 00:14:08.999]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:14:09.560 --> 00:14:13.922]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:14:14.622 --> 00:14:18.564]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:14:19.224 --> 00:14:19.865]  It's all there.
[00:14:19.885 --> 00:14:20.525]  Wristbands.
[00:14:20.625 --> 00:14:21.606]  Citizen rule books.
[00:14:22.006 --> 00:14:22.726]  In every order.
[00:14:23.187 --> 00:14:25.889]  Order online at InfoWars.com today.
[00:14:26.149 --> 00:14:26.969]  The water filters.
[00:14:27.009 --> 00:14:27.810]  The canteens.
[00:14:28.490 --> 00:14:29.171]  It's all there.
[00:14:29.571 --> 00:14:30.472]  InfoWars.com.
[00:14:37.222 --> 00:14:39.943]  I'm Aaron Dykes, and we're back on the InfoWars Nightly News.
[00:14:39.983 --> 00:14:45.786]  Of course, coming up, we have Pepe Escobar on everything geopolitical, and a report from Alex Jones.
[00:14:45.826 --> 00:14:48.208]  But first, more news.
[00:14:48.628 --> 00:14:51.989]  Draconian EPA regulations to cause rolling blackouts.
[00:14:52.330 --> 00:14:54.711]  That's another Paul Joseph Watson report from today.
[00:14:55.311 --> 00:15:10.283]  On how the cost of complying with draconian new EPA rules on carbon emissions will force coal plants in Texas to close and increase the likelihood of rolling blackouts as the Obama administration's vow to bankrupt the coal industry takes full effect.
[00:15:11.024 --> 00:15:22.552]  Now of course we reported on this several times earlier this year on Texas, the key state where more than 50% of power comes from the coal plants, all kinds of insider deals going on with that.
[00:15:22.872 --> 00:15:30.477]  But here today the Austin American-Statesman admits what the White House and others said we were lying about previously.
[00:15:30.818 --> 00:15:36.862]  Ten months down the line and the Austin American-Statesman reports today that Texas could face power shortages
[00:15:37.282 --> 00:15:45.825]  As soon as next year, as aging plants are mothballed in response to new environmental standards according to the state's grid operator and the organization that monitors U.S.
[00:15:45.845 --> 00:15:47.025]  power grids for the feds.
[00:15:47.445 --> 00:15:58.669]  The report by the North American Electric Reliability Corporation found that many older power plants in Texas will be retired rather than retrofitted to meet new federal emission standards, reports the statesman.
[00:15:59.549 --> 00:16:09.575]  And then from the statesman itself, it gets into how many of the well-meaning environmentalist groups are helping to really economically squeeze America even further.
[00:16:09.876 --> 00:16:12.097]  Of course, it's not just Texas with these coal plants.
[00:16:12.117 --> 00:16:13.978]  They supply to many other states.
[00:16:14.538 --> 00:16:23.044]  Environmental groups, however, argued that reserves are generally sufficient and will be augmented by energy-efficient measures and new power supplies already being planned.
[00:16:23.584 --> 00:16:37.009]  A recent report by the Clean Energy Group Consortium notes that the power providers have other means of handling the state's needs, such as offering customers discounts in exchange for curtailing their electric use when demand is straining the grid.
[00:16:37.449 --> 00:16:46.853]  So you've got all this phony environmentalism, the climate change lies and more, but now they're actually going to be clamping down on industry and American consumption through it.
[00:16:47.273 --> 00:16:52.178]  Not that that's entirely a bad deal, but the way they're doing it fits with Agenda 21 and more.
[00:16:52.539 --> 00:16:55.001]  So that's in the Austin American-Statesman today.
[00:16:55.102 --> 00:16:59.486]  And just to remind you, Alex Jones did several reports breaking this down.
[00:16:59.546 --> 00:17:01.709]  Again, the White House accused him of lying about it.
[00:17:01.989 --> 00:17:03.571]  We're going to play one of those reports right now.
[00:17:06.235 --> 00:17:13.840]  Obama hit struggling Americans with energy rate hikes following Barack Obama's vow to bankrupt the coal power industry.
[00:17:14.320 --> 00:17:23.645]  Americans are set to be hit with a wave of utility bill hikes as draconian EPA regulations drive up the cost of energy.
[00:17:23.765 --> 00:17:26.127]  So if somebody wants to build a coal power plant, they can.
[00:17:26.807 --> 00:17:34.654]  It's just that it will bankrupt them because they're going to be charged a huge sum for all that greenhouse gas that's being emitted.
[00:17:35.194 --> 00:17:53.710]  The Obama administration's crusade against coal-fired power plants, which was launched on the back of discredited junk science about hyped global warming threats, has little to do with improving the environment and everything to do with lowering living standards by creating artificial scarcity.
[00:17:54.190 --> 00:18:01.615]  The EPA has now listed as harmful carbon dioxide that is part of the life cycle of the planet.
[00:18:02.195 --> 00:18:16.284]  New EPA rules dictate that utility companies will be forced to spend an initial outlay of $800 million to conform with regulations that mandate harmful emissions be reduced under the Clean Air Act.
[00:18:16.764 --> 00:18:28.151]  And yet power plants supplied by General Electric, one of Barack Obama's biggest campaign contributors, have received an EPA waiver and will not be subject to the new regulations.
[00:18:28.812 --> 00:18:37.157]  The new rules will exacerbate the problem of rolling blackouts, warns Donna Nelson, head of the Texas Public Utility Commission.
[00:18:37.797 --> 00:18:46.526]  Nelson said, quote, I have no doubt in my mind that this rule will result in reliability issues and rolling outages in Texas.
[00:18:47.126 --> 00:19:01.321]  Obama's strict enforcement of draconian EPA regulations has led to new clean-burning coal-fired plants being mothballed and other existing ones being shut down, which has in turn led to Texas and other states becoming energy-dependent.
[00:19:02.498 --> 00:19:07.246]  All of this, of course, will lead to significantly higher utility bills for U.S.
[00:19:07.286 --> 00:19:16.261]  citizens, who are being assaulted with more and more expenses, even as the threat of a double-dip recession lowers living standards.
[00:19:19.793 --> 00:19:34.457]  And so how many different ways in the midst of this vast economic global crisis have they said that it's the populations who have to pay for all these problems, whether it's economic or environmental or what have you, while the banks get all these secret insider loans and much worse.
[00:19:34.777 --> 00:19:39.938]  Now we also have a report that Darren McBreen filed on this subject a few months ago as well.
[00:19:40.018 --> 00:19:41.758]  Again, we've been covering this in depth.
[00:19:42.158 --> 00:19:43.559]  Alex has other videos on it too.
[00:19:43.599 --> 00:19:44.279]  Let's go to that now.
[00:19:46.238 --> 00:20:01.529]  I'm Darren McBreen with InfoWars Nightly News and I'm here today at the Texas State Capitol and we're about to find out if the people of Austin are aware that they are about to be hit by a wave of utility bill hikes as new EPA regulations drive up the cost of energy.
[00:20:02.213 --> 00:20:08.118]  What do you think about paying higher utility bills because of the EPA's new regulations against power plants?
[00:20:08.438 --> 00:20:23.911]  You know, there may be some new regulations coming up against power plants at this point, but unfortunately right now I think that our citizens statewide and nationwide are basically overburdened, especially with today's economic developments and situations that are going on.
[00:20:24.431 --> 00:20:31.817]  I think rate hikes should be at a minimal to at least try to alleviate some of the burden on our taxpayers and our citizens nationwide and statewide.
[00:20:32.077 --> 00:20:35.960]  I know a lot of people that are going to be not only shocked, but a little bit irritated about that as well.
[00:20:36.080 --> 00:20:38.282]  I mean, they're already, I mean, because it's such a hot summer.
[00:20:38.322 --> 00:20:38.842]  Exactly.
[00:20:39.122 --> 00:20:41.604]  You know, everybody's bills is already up through the roof.
[00:20:41.824 --> 00:20:45.107]  You're already paying through the roof because the ACs are running non-stop.
[00:20:45.267 --> 00:20:52.252]  And then all of a sudden it's like, you know, on top of that and with a downturn economy, yeah, it's, it's doesn't seem to jive that well.
[00:20:52.466 --> 00:20:54.867]  Of course I don't want to pay higher utility bills.
[00:20:54.887 --> 00:20:58.249]  They're already extremely high right now as it is.
[00:20:58.349 --> 00:21:02.452]  Well, I don't want to pay more because of the carbon dioxide thing.
[00:21:02.492 --> 00:21:03.372]  That doesn't seem right.
[00:21:03.693 --> 00:21:04.973]  Especially if it's not even proven.
[00:21:05.474 --> 00:21:14.279]  Generally, I prefer regulations that deter pollution and paying a little bit more for that than an unregulated environment.
[00:21:14.739 --> 00:21:16.981]  It all has to be regulated some way, right?
[00:21:17.421 --> 00:21:19.062]  What are you going to mess our environment up?
[00:21:19.628 --> 00:21:26.111]  I understand the tax on carbon footprints, but I mean, who's, you know, getting a new Lexus, you know what I mean?
[00:21:26.311 --> 00:21:29.093]  Do you think that carbon dioxide is dangerous?
[00:21:30.614 --> 00:21:33.835]  I think carbon dioxide can be very dangerous.
[00:21:34.896 --> 00:21:36.236]  Okay, what do plants breathe?
[00:21:37.597 --> 00:21:38.598]  Carbon dioxide.
[00:21:39.858 --> 00:21:49.023]  Yeah, I think carbon dioxide is definitely dangerous, otherwise there wouldn't be any, like, rules and laws to prevent it being... What do plants breathe?
[00:21:50.626 --> 00:21:51.346]  Carbon dioxide.
[00:21:51.887 --> 00:21:54.288]  Carbon dioxide is turned into oxygen by plants.
[00:21:55.729 --> 00:21:59.451]  So, I mean, it has to be in the world.
[00:21:59.511 --> 00:22:01.673]  Obviously, it's not all dangerous.
[00:22:02.373 --> 00:22:06.816]  Carbon dioxide isn't a dangerous gas, but when there's too much of it, it's a problem.
[00:22:07.256 --> 00:22:16.862]  Carbon dioxide, even though it's a natural gas consumed by plants, it can be dangerous because, well, everyone says it has to do with global warming.
[00:22:17.282 --> 00:22:19.744]  Behind me is the Holly Street Power Plant.
[00:22:19.984 --> 00:22:24.708]  It was partially closed in 2004 and officially shut down in 2007.
[00:22:25.488 --> 00:22:28.971]  Now it's simply a reminder of Austin's energy independence.
[00:22:29.712 --> 00:22:36.717]  What do you think about the fact that General Electric, one of Obama's biggest donors, that they get a waiver and they will not be subject to the regulations?
[00:22:37.057 --> 00:22:38.899]  That sounds like politics and lobbyists' web work.
[00:22:39.259 --> 00:22:40.260]  I mean, it's government, right?
[00:22:41.100 --> 00:22:41.641]  No surprise.
[00:22:41.661 --> 00:22:42.061]  Sounds possible.
[00:22:42.442 --> 00:22:43.122]  Yeah, it sounds possible.
[00:22:43.142 --> 00:22:44.083]  There's no surprise about that.
[00:22:44.577 --> 00:22:46.718]  General Electric doesn't need any favors from anybody.
[00:22:46.738 --> 00:22:48.679]  They're a multi-billion dollar corporation.
[00:22:48.939 --> 00:22:56.562]  Are you aware that some of these new regulations are also shutting down power plants and this is causing some of the rolling blackouts throughout Texas?
[00:22:56.922 --> 00:22:58.363]  No, I wasn't familiar with that actually.
[00:22:58.383 --> 00:22:59.864]  I didn't realize that was going on.
[00:23:00.164 --> 00:23:02.465]  Lobbyists make a lot of money striking these deals.
[00:23:03.025 --> 00:23:04.226]  There's a lot of things that we don't know.
[00:23:04.846 --> 00:23:09.408]  And how government, you know, the tax breaks, the incentives, loopholes, you name it.
[00:23:09.868 --> 00:23:11.409]  So I think it's just one more to add to the list.
[00:23:12.591 --> 00:23:20.338]  Well, as you can see, Alex, the people here in Austin, they're aware that their utility rates are going up, but they're not sure of the real cause.
[00:23:20.358 --> 00:23:23.881]  This is Darren McBrain with InfoWars Nightly News.
[00:23:26.267 --> 00:23:28.389]  And of course there's a lot more to discuss on that.
[00:23:28.570 --> 00:23:30.572]  Another story about energy.
[00:23:30.592 --> 00:23:34.555]  A dead heat crematorium to sell power for National Grid.
[00:23:35.156 --> 00:23:36.117]  Just kind of interesting.
[00:23:36.177 --> 00:23:44.165]  A crematorium is planning to become the first in the UK to generate electricity to sell the National Grid by using heat from its furnaces.
[00:23:44.666 --> 00:23:45.707]  Off the dead, essentially.
[00:23:46.387 --> 00:23:53.533]  And it says the first phase due to be completed early next year will see a heat recovery system fitted to one burner providing heat for the building.
[00:23:53.673 --> 00:24:00.398]  A second phase is planned which then will see the installation of turbines on the other two burners to generate electricity.
[00:24:00.738 --> 00:24:04.821]  A series of open days are planned in an effort to get public support for the scheme.
[00:24:05.421 --> 00:24:09.625]  Now another part that's interesting about that story is there's a story within that story
[00:24:10.285 --> 00:24:21.555]  It talks about how many crematoria are currently replacing their pharmacies to meet new government targets on preventing mercury emissions from escaping into the atmosphere, undeniably toxic.
[00:24:22.036 --> 00:24:28.482]  Up to 16% of all mercury emitted in the UK comes from the crematoriums because of the fillings in the teeth.
[00:24:28.842 --> 00:24:30.724]  Left unchecked, they predicted a rise to 25%.
[00:24:32.245 --> 00:24:38.611]  The substance accumulates in air, water, is harmful to brains, kidneys, nervous system, and unborn children.
[00:24:38.691 --> 00:24:41.974]  So why are we allowing dentists to put it in our teeth?
[00:24:42.034 --> 00:24:42.634]  Good question.
[00:24:43.135 --> 00:24:46.017]  Other news about toxic substances.
[00:24:46.378 --> 00:24:52.823]  Curt Nemo has detailed a new study, a 2011 study, proving fluoride causes brain damage.
[00:24:53.843 --> 00:25:09.235]  A study conducted by scientists in India demonstrates that consumption of sodium fluoride results in brain and neurological damage, published by K. Pratap Reddy of the University College of Sciences, Osmania University in Hyderabad, India.
[00:25:09.656 --> 00:25:14.780]  Now, we have some images from that study showing what actually happens to the nerve cells
[00:25:16.308 --> 00:25:17.349]  We're going to pull that up right here.
[00:25:17.689 --> 00:25:26.176]  And on the left you see undamaged healthy nerve cells, and on the right you see what happens under the conditions of fluoride.
[00:25:26.877 --> 00:25:32.982]  Kind of a larger nerve cell on the left, smaller ones on the right, and you can find that report
[00:25:33.442 --> 00:25:36.425]  Linked in Kurt's article on InfoWars.com.
[00:25:36.865 --> 00:25:39.367]  But really this stuff does have a powerful effect.
[00:25:39.387 --> 00:25:42.790]  We've had the experts on, Dr. Paul Conant and others.
[00:25:43.170 --> 00:25:45.872]  So please look into that if you're not already informed.
[00:25:46.333 --> 00:25:49.936]  Meanwhile, it's not just fluoride they want to add to our water supply.
[00:25:50.456 --> 00:25:53.899]  Now there's yet another call to add lithium to the water supply.
[00:25:53.919 --> 00:25:58.383]  This time from a psychiatrist in Ireland who wants it added to the water.
