[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[00:07:25.407 --> 00:07:34.831]  And so all the more reason that we need well-educated Infowarriors to get out there and try to spread the message and get people on our side recognizing the right issues.
[00:07:35.571 --> 00:07:39.212]  Now, I know a lot of your films have dealt with the past G20 meetings.
[00:07:39.232 --> 00:07:42.814]  They have another one coming up in Cannes, if I'm not mistaken.
[00:07:43.474 --> 00:07:49.200]  And one of the things you highlight in there is all the attempts to steer those protests in the wrong direction.
[00:07:49.600 --> 00:07:53.584]  Provocateurs, people infiltrating, trying to spread the message and change it.
[00:07:54.324 --> 00:07:56.787]  And obviously that can go in both directions.
[00:07:57.127 --> 00:08:05.575]  But we've really seen Occupy being drawn towards the lure of the seemingly promising global solutions that they have.
[00:08:06.215 --> 00:08:07.216]  Ready and waiting.
[00:08:07.556 --> 00:08:09.818]  How do we get people steered in the right direction?
[00:08:09.938 --> 00:08:16.624]  And also, what kind of infiltration and provocateur things have we seen in this movement and in the coming G20 meetings?
[00:08:16.644 --> 00:08:28.214]  Well, with the G20 kicking off today, I believe, in France, I often refer to it as the traveling circus of tyranny, because that's really what it does.
[00:08:28.274 --> 00:08:30.055]  Every city that it goes to every year
[00:08:30.956 --> 00:08:45.061]  They're pretty much not only conditioning the people and showing them the pure power and might that they have, they are also conditioning the police forces to go ahead and enforce all of these things.
[00:08:45.461 --> 00:08:52.123]  And of course, this is an area where a lot of people have learned about this group called the Black Block, as you mentioned.
[00:08:52.684 --> 00:08:58.546]  And as you'll see in my film, Into the Fire, these guys pretty much anywhere where the Black Block
[00:08:59.386 --> 00:09:02.428]  Was, um, police were nowhere to be found.
[00:09:02.448 --> 00:09:16.819]  Uh, what ended up happening is you had a group of about, uh, 70 or 80 of these guys who were pretty much given a green light to go ahead and rampage the city and, uh, you know, smash up the banks and do whatever they want downtown.
[00:09:17.379 --> 00:09:20.181]  But, you know, that's, that is what the elite wants.
[00:09:20.561 --> 00:09:20.661]  Um,
[00:09:21.622 --> 00:09:23.183]  They want you to get out into the streets.
[00:09:23.243 --> 00:09:30.426]  They want you to start smashing things up, causing a big scene, a big ruckus, so that they can step in and say, whoa, look at these guys.
[00:09:30.446 --> 00:09:31.687]  Look how crazy this is.
[00:09:31.707 --> 00:09:34.548]  We're going to have to step in and deal with the situation.
[00:09:34.568 --> 00:09:40.151]  It all goes back to this whole order out of chaos concept, which they're doing now.
[00:09:40.271 --> 00:09:43.652]  And I do worry a little bit about the current Occupy movement.
[00:09:45.373 --> 00:09:50.617]  I've been speaking with a lot of the people here in Toronto, and I'm starting to feel it's kind of 50-50.
[00:09:50.757 --> 00:09:56.622]  I mean, there's a lot of people around here who are fully aware of the problems with fractional reserve banking.
[00:09:57.202 --> 00:10:02.846]  And, you know, the Bank of Canada does have the ability to print its own money interest-free, but we don't do that.
[00:10:03.287 --> 00:10:04.828]  So a lot of people are aware of that.
[00:10:05.448 --> 00:10:07.290]  However, I'm still finding a lot of these people
[00:10:08.366 --> 00:10:17.972]  These anti-capitalist type people who are pushing for socialism and communism and kind of trying to steer the movement into a direction which is not going to help anyone.
[00:10:18.813 --> 00:10:26.178]  So certainly it's something we have to keep an eye on because it's tough to say right now where this thing is going to go.
[00:10:28.351 --> 00:10:32.193]  Yeah, but we do know they're offering all these global solutions.
[00:10:32.233 --> 00:10:51.643]  So many different groups, none of them officially speaking for the movement, are trying to draw people in to, whether it's a global Tobin tax or whatever the solution may be, a new global constitution, supposedly trying to democratize the IMF and other really awful, hegemonic global institutions, Dan.
[00:10:52.544 --> 00:10:54.545]  That has to play into these G20 meetings.
[00:10:55.005 --> 00:10:56.526]  What are they aiming for specifically?
[00:10:57.298 --> 00:10:59.400]  Well, that's why we need to get to the root of the problem.
[00:11:00.260 --> 00:11:07.946]  That's why people need to focus on what the real root of the problem is, and it's the issuance of currency out of thin air.
[00:11:07.986 --> 00:11:12.269]  The ability for private banks to print money and lend it out at interest.
[00:11:15.191 --> 00:11:20.796]  People are aware that our whole financial institutions are a major problem.
[00:11:20.816 --> 00:11:24.840]  That's why there's such huge protests that come out to the G20 summits.
[00:11:26.161 --> 00:11:29.985]  So again, we just need to continue to raise awareness about what some of the
[00:11:30.345 --> 00:11:30.425]  Hmm.
[00:11:50.356 --> 00:11:51.978]  Yeah, we'll see how this all develops.
[00:11:52.078 --> 00:12:05.174]  But of course, I mean, another thing these groups like the IMF have done is really cast a wide net that gradually over time draws in all these client states into this new world order system, really making us all debt slaves.
[00:12:05.234 --> 00:12:06.776]  And so if we don't figure this out,
[00:12:07.497 --> 00:12:22.677]  The end of it all is going to be coming soon, but of course everything's changing right now We got the whole European zone in crisis And they're ready to blame the people for not accepting this debt for the whole fall the next part of the crash But we know who set this up.
[00:12:22.697 --> 00:12:23.559]  We know who designed it
[00:12:24.687 --> 00:12:25.047]  Yeah.
[00:12:25.567 --> 00:12:26.208]  Yeah, for sure.
[00:12:26.288 --> 00:12:31.230]  And we have a fairly good idea of where this could potentially lead.
[00:12:31.810 --> 00:12:53.000]  One aspect of the occupation movement that somewhat worries me is how it all could potentially tie into this new age type of movement and type of agenda about this unified consciousness concept and having the whole world unified globally under one particular issue.
[00:12:53.920 --> 00:13:07.438]  I think people need to be careful and be aware that it's very quite possible that sometimes some things within the truth movement could be used as that vehicle that the New World Order needs.
[00:13:08.499 --> 00:13:09.260]  So, you know...
[00:13:11.245 --> 00:13:15.590]  I have hope that, you know, because I have hope that people are going to do the right thing.
[00:13:15.670 --> 00:13:20.716]  I mean, things are going well because people are getting out in the streets.
[00:13:20.756 --> 00:13:22.157]  That's the beautiful thing, basically.
[00:13:22.438 --> 00:13:23.759]  I mean, people are getting active.
[00:13:23.779 --> 00:13:25.401]  People are getting out in the streets.
[00:13:25.641 --> 00:13:28.124]  They're realizing things need to change.
[00:13:28.684 --> 00:13:29.786]  And that's a good thing.
[00:13:30.106 --> 00:13:39.214]  We just have to be careful that when this gets onto a massive, global kind of scale with everybody on the same page, we gotta remember that's part of the goals of the New World Order.
[00:13:40.074 --> 00:13:42.216]  So it's a tricky one, but we gotta watch out for that.
[00:13:45.099 --> 00:13:46.220]  Yeah, well said, Dan.
[00:13:46.620 --> 00:13:58.210]  Why don't you tell us about some of the stuff you've seen in the past at these G20 events with the police provocateurs, how they were identified, and what kind of divisive actions they caused so people could look out for it in the future.
[00:13:59.275 --> 00:13:59.555]  Sure.
[00:14:00.196 --> 00:14:08.182]  My first experience with that was actually in 2007 in Montebello for the SPP Summit.
[00:14:08.382 --> 00:14:17.970]  I went there to cover it and that's when the first, the infamous three agent provocateurs were caught red-handed.
[00:14:19.090 --> 00:14:21.451]  Dressed up as aggressive protesters.
[00:14:21.491 --> 00:14:24.092]  They had the masks and the rocks in their hands.
[00:14:24.692 --> 00:14:26.913]  And the Quebec police ended up admitting to it.
[00:14:27.493 --> 00:14:30.394]  And they were totally caught red-handed.
[00:14:30.454 --> 00:14:39.477]  And it opened up Canadians' eyes to the fact that the Canadian government is willing to go to these lengths, these fascist lengths, to in order to
[00:14:40.177 --> 00:14:43.038]  Stifle into silence a legitimate protest.
[00:14:44.318 --> 00:14:49.080]  So it's a common tactic that is being used to try to silence the people.
[00:14:49.720 --> 00:14:57.523]  And, you know, there's no doubt that there's a good possibility that a lot of that took place at the G20 in Toronto.
[00:14:57.563 --> 00:15:04.685]  When you have a group like the Black Bloc, it's so perfectly convenient for that type of a situation.
[00:15:05.085 --> 00:15:06.906]  And as you'll see in our film, Into the Fire,
[00:15:07.566 --> 00:15:23.817]  Uh, there are some very questionable clips, um, where members of the black bloc can be seen running behind a police line, uh, where the police, uh, you know, are blocking off the protesters from the police, and you'll see a couple guys in black bloc clothing go running through the line.
[00:15:24.881 --> 00:15:29.127]  So that raises an eyebrow and that gets us wondering, you know, what exactly is going on?
[00:15:29.147 --> 00:15:40.201]  It's so hard when you have 22 different jurisdictions of police came into the city that day, that weekend, from all over Canada.
[00:15:40.741 --> 00:15:42.243]  So these guys are
[00:15:43.727 --> 00:15:45.807]  They're not listening to their regular bosses.
[00:15:46.388 --> 00:15:48.488]  They're listening to the peace in their ear.
[00:15:48.828 --> 00:15:53.089]  You know, when they're told to march west, they're gonna march west.
[00:15:53.849 --> 00:16:00.130]  When they're told to go and kettle this small group of people, they're gonna do it and not really question their orders.
[00:16:01.190 --> 00:16:07.352]  So that's another big part of the problem and another way that the Black Bloc was able to go in and do their things.
[00:16:07.432 --> 00:16:08.972]  I mean, there was stand-down orders.
[00:16:09.392 --> 00:16:11.963]  Here in Toronto.
[00:16:12.043 --> 00:16:13.810]  Some of the police have come out and said...
[00:16:14.864 --> 00:16:17.246]  We were ordered, we were told, do not engage.
[00:16:18.166 --> 00:16:27.533]  So again, they were just listening to the peace in their ear, and I think a lot of the police around here felt that they themselves were manipulated.
[00:16:27.553 --> 00:16:34.798]  They had to carry out this Public Works Protection Act law, which ended up being a big lie.
[00:16:35.078 --> 00:16:39.682]  We were all led to believe that we couldn't film within five meters of this fence.
[00:16:40.771 --> 00:16:43.893]  And that we had to present our ID at pretty much any time.
[00:16:44.433 --> 00:16:46.574]  It turns out that's not the case.
[00:16:46.594 --> 00:16:47.735]  It turned out not to be true.
[00:16:47.755 --> 00:16:56.120]  Toronto Chief Bill Blair at the time came out and admitted, yeah, you know what, well, I was just trying to keep the bad guys out, so we did what we had to do.
[00:16:57.180 --> 00:17:01.483]  So some of the things that went on at the G20 there in Toronto, just unbelievable.
[00:17:02.623 --> 00:17:10.350]  We did our best to document the whole event pretty much chronologically throughout the entire weekend.
[00:17:11.110 --> 00:17:14.113]  So if anybody, you want to see it for yourself, we have it online.
[00:17:14.133 --> 00:17:22.600]  You can go on YouTube, just type in Into the Fire, and of course you can get the DVD at Infowars.com or PressForTruth.ca.
[00:17:23.141 --> 00:17:27.504]  And we encourage you to do that because we went all out on this particular DVD.
[00:17:28.505 --> 00:17:35.291]  We got hours and hours of extras, extended interviews, and a lot of special features and behind-the-scenes stuff.
[00:17:36.352 --> 00:17:41.316]  So if you want to support us, pick one up from PressForTruth.ca or InfoWars.com.
[00:17:41.597 --> 00:17:46.481]  But if you'd like to just see it for yourself, just go on to YouTube and check it out and you'll see what I'm talking about.
[00:17:46.781 --> 00:17:51.124]  And of course it is important to support all the great InfoWars activists out there.
[00:17:51.484 --> 00:17:54.626]  That's how we help build each other up and how we get that word out.
[00:17:54.646 --> 00:17:55.847]  That's how we reach everyone.
[00:17:56.247 --> 00:17:57.788]  And here we are at 3 o'clock.
[00:17:57.948 --> 00:18:03.192]  I believe that puts us 16 hours into this marathon transition, uh, transmission.
[00:18:03.212 --> 00:18:13.959]  I just want to make sure we thank all the people out there who've been giving money to us, who've been helping us grow, those who can't give money, spreading the word, uh, sharing the link to this broadcast.
[00:18:14.019 --> 00:18:15.280]  It's not too late to do that.
[00:18:15.900 --> 00:18:19.464]  Uh, also sharing all the free films that are out there from Alex Jones.
[00:18:19.484 --> 00:18:25.550]  We sell them on DVD also, but they're available on YouTube and the other platforms, Dan Dick's film and the rest of them.
[00:18:26.110 --> 00:18:28.173]  And it's so important to get that word out.
[00:18:28.633 --> 00:18:32.156]  Uh, you know, right now we see the current G20 meeting in Cairns.
[00:18:32.497 --> 00:18:37.422]  A lot of the protesters there, uh, say they're joining up with the Occupy, uh, protesters.
[00:18:37.882 --> 00:19:02.102]  We're now worldwide and then at the same time we see in New York City for instance the police being bought really in many cases as a private security to work with the Wall Street firms to keep those protesters under check and just more generally to occupy the downtown area with their own surveillance and police state grid that is privately driven but also uses public resources.
[00:19:02.742 --> 00:19:04.303]  And so that's something to keep an eye on.
[00:19:04.703 --> 00:19:11.846]  But if you believe in this InfoWars mission, it's important you either donate or otherwise help us grow in one way or another.
[00:19:11.886 --> 00:19:19.350]  We have to reach more people while we still have time, while we have access to these wonderful platforms, the double-edged sword that technology gives us.
[00:19:19.930 --> 00:19:33.680]  As things change and hopefully don't move further into this global state, you know, they've sold us on globalization, saying how great it is that somehow, although it's flawed, it'll eventually become a benefit for everyone.
[00:19:33.700 --> 00:19:35.801]  But at the same time, we've seen a race to the bottom.
[00:19:36.242 --> 00:19:46.449]  Nobody really focuses on how they've shipped out the jobs, de-industrialized the U.S., shipped the jobs to China, where there's agreements for basically slave labor in many cases.
[00:19:46.989 --> 00:19:50.011]  And just really cheap products that don't build up the country.
[00:19:50.651 --> 00:19:58.096]  Something may be cheaper at Walmart, but it doesn't allow an interchange of decentralized independent businesses to grow.
[00:19:58.136 --> 00:20:05.180]  It sucks out really the backbone of America and leaves just that corporate facade running our whole country.
[00:20:05.740 --> 00:20:08.762]  Everything has really kind of hollowed out in that way.
[00:20:09.142 --> 00:20:11.864]  It's time we admit it and it's time we do something about it.
[00:20:12.464 --> 00:20:13.445]  Dan Dix, your comments.
[00:20:14.485 --> 00:20:15.565]  Yeah, absolutely.
[00:20:16.185 --> 00:20:24.068]  Another area which the globalization is fast-tracking its way right now is in regards to the North American Union.
[00:20:24.088 --> 00:20:32.530]  I mean, this agenda has been on the table for a long, long time now, and recently, even in the last few weeks,
[00:20:33.170 --> 00:20:35.051]  A lot of things are coming together.
[00:20:35.131 --> 00:20:43.733]  I know the, I believe it's called the Interstate, the I-69, pretty much the Napa Superhighway, is nearing completion.
[00:20:44.474 --> 00:20:45.794]  That's definitely underway.
[00:20:46.334 --> 00:20:52.376]  And that's something that we have to be very aware of, cautious of, vigilant of here in Canada, U.S.
[00:20:52.516 --> 00:20:53.876]  and Mexico.
[00:20:54.457 --> 00:21:02.379]  And again, that's another topic that we've covered in United We Fall, is this whole concept of those three countries coming in together.
[00:21:02.999 --> 00:21:05.340]  Very similar to what we saw with the European Union.
[00:21:06.201 --> 00:21:10.903]  So yeah, they're ramping up their efforts as well.
[00:21:11.084 --> 00:21:15.286]  So that's why it is so important at this time to continue the fight.
[00:21:15.326 --> 00:21:21.689]  And I would encourage people also to do whatever you can to donate to the Money Bomb at Infowars.com.
[00:21:22.530 --> 00:21:24.611]  It's amazing what you guys have been able to do.
[00:21:25.231 --> 00:21:32.999]  In the 15 years that you've been doing this, and especially since last Money Bomb, you've expanded your operation in such a huge way.
[00:21:33.039 --> 00:21:33.980]  It's very impressive.
[00:21:34.401 --> 00:21:35.282]  It's very encouraging.
[00:21:35.302 --> 00:21:36.443]  It's very awe-inspiring.
[00:21:36.603 --> 00:21:41.028]  And I want to encourage people to do the same as well, Aaron.
[00:21:42.318 --> 00:21:46.021]  Yeah, and you mentioned the NAFTA superhighways.
[00:21:46.041 --> 00:21:51.845]  That's one of the many areas where we've fought back, we've said no, we've told them we don't want this North American Union.
[00:21:52.165 --> 00:21:53.386]  They said it doesn't exist.
[00:21:54.086 --> 00:21:57.468]  People continue to bring out the agenda and they've continued to play possum.
[00:21:57.508 --> 00:22:03.533]  I know here in Texas, there was really a rally cry that they had been defeated, that the whole project was somehow called off.
[00:22:04.273 --> 00:22:11.358]  But then if you drive down highways, I know I went down Highway 77 that goes down to South Padre Island and so forth.
[00:22:11.758 --> 00:22:16.140]  And it tells you how the new NAFTA Super Corridor is soon to be coming in.
[00:22:16.920 --> 00:22:18.581]  You know, toll roads that they're putting up.
[00:22:18.641 --> 00:22:24.523]  So they're still moving this agenda forward, not always calling it what they originally were calling it.
[00:22:25.204 --> 00:22:29.385]  And with the larger North American Union, you've seen that fought back.
[00:22:29.425 --> 00:22:33.727]  But at the same time, you've seen greater border things coming forward.
[00:22:34.047 --> 00:22:37.028]  The stuff with the drug cartels, Fast and Furious ties into that.
[00:22:37.789 --> 00:22:38.189]  Dan Dix.
[00:22:39.690 --> 00:22:44.174]  Yeah, of course they're going to continue to tell us that this is going to be for our benefit.
[00:22:44.194 --> 00:22:47.937]  This is going to be beneficial for trade.
[00:22:48.278 --> 00:22:52.441]  It's going to move goods and services in and out of the countries quicker and easier.
[00:22:54.103 --> 00:22:55.224]  But again, this is
[00:22:55.844 --> 00:22:59.187]  This is the facade, this is what they're trying to make you believe.
[00:22:59.287 --> 00:23:03.050]  Really, it's all about, you know, the endgame is joining the three together.
[00:23:03.371 --> 00:23:10.297]  I mean, in our film, United We Fall, we talk to a lot of the major players, a lot of the guys who are really involved in the push for this thing.
[00:23:10.877 --> 00:23:16.422]  We interviewed Bilderberg members and Trilateral Commission members and members of the CFR.
[00:23:17.022 --> 00:23:18.704]  We spoke with so many different people.
[00:23:19.524 --> 00:23:27.031]  We also got, you know, a lot of activists, like Luke Hradowski, and we spoke with Alex Jones, and people like that.
[00:23:27.091 --> 00:23:37.521]  So the subtitle of the film is, uh, Three Nations, Two Sides, One Union, because we really wanted people to hear it from the horse's mouth.
[00:23:38.562 --> 00:23:48.552]  So they can get an idea of what these guys are actually pushing for, and then also hear it from the alternative information side to get that viewpoint out there as well.
[00:23:48.672 --> 00:23:56.040]  So if people are interested in learning about what this whole North American Union agenda is all about,
[00:23:56.921 --> 00:23:59.622]  Again, I would encourage you to either check it out online.
[00:23:59.702 --> 00:24:01.043]  It's called United We Fall.
[00:24:01.083 --> 00:24:02.304]  You can find it on YouTube.
[00:24:02.664 --> 00:24:08.747]  And again, if you want to support InfoWars.com or PressForTruth.ca, we'd ask that you grab the DVD.
[00:24:08.787 --> 00:24:11.028]  We got a lot of good special features on that one as well.
[00:24:12.062 --> 00:24:14.243]  Yeah, and look what InfoWars has done over the years.
[00:24:14.283 --> 00:24:20.667]  We've talked about this, but we've given spotlights to people like you said, like Luke Hradowski, to yourself, to so many others.
[00:24:20.747 --> 00:24:24.969]  Get people to become active, show what they can do, and then others come along as well.
[00:24:25.029 --> 00:24:26.310]  I mean, that's just two names.
[00:24:26.330 --> 00:24:35.475]  There's been hundreds of people who've moved through this platform, who've helped shine a light, and we continue to grow, so that's why it's important that you support us.
[00:24:38.917 --> 00:24:48.845]  Throughout history, there's been a trend that we are treated as feudal slaves, either outright slaves, or tenant farmers of various kinds throughout the years.
[00:24:49.686 --> 00:24:55.471]  Information has always been a power for those ruling classes, and the people have never had that information.
[00:24:55.511 --> 00:25:00.075]  This 20th century, now the 21st century, has really been the first time that
[00:25:02.036 --> 00:25:17.183]  really everyone has had access not of course not everyone is illiterate but everyone has the chance really at least in the Western world maybe not in the third world and this is a real chance that we have 1776 is still new in history it is not something old
[00:25:18.523 --> 00:25:30.952]  The Bill of Rights enshrining our personal rights, our liberties, our right to free speech, our right to the Second Amendment, our right to the Fourth Amendment, which is being violated by TSA and so many other entities.
[00:25:31.313 --> 00:25:37.297]  That is all new to the slavery, to the tyranny that has been set in place for so long.
[00:25:37.837 --> 00:25:41.420]  And that's just one of many reasons we're in this fight and we're in it together.
[00:25:41.460 --> 00:25:43.022]  But we have to do it right now.
[00:25:43.462 --> 00:25:47.065]  This is that short window of time where we can fight back with the tools that are out there.
[00:25:47.485 --> 00:25:49.267]  Primarily, I mean technology.
[00:25:49.687 --> 00:25:51.289]  And we've gone through all the eugenics.
[00:25:51.469 --> 00:25:53.090]  We've shown the social engineering.
[00:25:53.210 --> 00:25:54.431]  I can get more into it later.
[00:25:54.451 --> 00:25:56.253]  I've just been going over this ISRB stuff.
[00:25:56.753 --> 00:26:14.178]  At the great lengths they've gone to not only tell us in their books what they think of us, how we're a separate species that's to be dumbed down, to be taught false information a la 1984, that really they believe they are the future, those few elites and their technocrats that work with them.
[00:26:14.738 --> 00:26:19.339]  And this is our only chance to fight back and say, no, we're human beings and we're going to be part of the future.
[00:26:20.139 --> 00:26:21.860]  And so that's the fight we're all part of.
[00:26:22.600 --> 00:26:25.781]  Dan, some of your closing comments and then we have other stuff we're going to cover.
[00:26:27.507 --> 00:26:28.327]  Uh, yeah, sure.
[00:26:30.649 --> 00:26:44.535]  You know, again, back to what we were talking about, what Alex, one of the awesome things that he does is he inspires others out there to follow his example and do similar things.
[00:26:45.235 --> 00:26:46.456]  And there's no doubt...
[00:26:47.276 --> 00:27:05.358]  That he has been integral to my entire awakening process and has, you know, the whole direction of my life, he's certainly been an influence on that, and I thank you guys for that, and I have constantly been trying to pick up
[00:27:05.678 --> 00:27:14.408]  My efforts, ever since 2005, 2006, trying to figure out ways to reach more people and to do this better and just get better at it.
